"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"109"	"91"	"0"	"0"	"110"	"3"	"0"	"0"	"51"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"167"	"0"	"167"	""	""
"110"	"92"	"48"	"0"	"301"	"0"	"2"	"0"	"46"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"405"	"0"	"405"	""	""
"111"	"93"	"30"	"5"	"253"	"1"	"2"	"6"	"41"	"1"	"3"	"0"	"1"	"2"	"1"	"3"	"1"	"3"	"353"	"0"	"353"	""	""
"112"	"94"	"110"	"45"	"30"	"1"	"2"	"4"	"137"	"4"	"2"	"7"	"2"	"5"	"1"	"3"	"1"	"12"	"366"	"0"	"366"	""	""
"113"	"95"	"4"	"48"	"45"	"14"	"1"	"2"	"183"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"303"	"0"	"303"	""	""
"114"	"96"	"10"	"1"	"227"	"5"	"1"	"1"	"21"	"2"	"4"	"1"	"0"	"1"	"1"	"4"	"1"	"7"	"287"	"0"	"287"	""	""
"115"	"97"	"9"	"22"	"239"	"6"	"1"	"1"	"123"	"3"	"6"	"8"	"2"	"2"	"0"	"7"	"3"	"8"	"440"	"0"	"440"	""	""
"116"	"98"	"96"	"143"	"27"	"1"	"2"	"1"	"18"	"0"	"2"	"0"	"2"	"1"	"1"	"5"	"2"	"11"	"312"	"0"	"312"	""	""
"117"	"Round- 7"	"4278"	"2247"	"21042"	"699"	"118"	"531"	"6531"	"190"	"375"	"214"	"116"	"363"	"118"	"278"	"119"	"310"	"37529"	"0"	"37529"	""	""
"118"	"99"	"12"	"10"	"479"	"3"	"1"	"9"	"3"	"1"	"2"	"3"	"1"	"1"	"1"	"1"	"0"	"3"	"530"	"0"	"530"	""	""
"119"	"100"	"48"	"8"	"310"	"0"	"0"	"2"	"116"	"1"	"18"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"505"	"0"	"505"	""	""
"120"	"101"	"81"	"3"	"330"	"12"	"4"	"1"	"6"	"3"	"2"	"2"	"1"	"1"	"3"	"2"	"4"	"7"	"462"	"0"	"462"	""	""
"121"	"102"	"74"	"6"	"136"	"3"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"3"	"1"	"0"	"1"	"231"	"0"	"231"	""	""
"122"	"103"	"10"	"4"	"170"	"0"	"0"	"0"	"80"	"0"	"2"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"273"	"0"	"273"	""	""
"123"	"104"	"51"	"62"	"131"	"5"	"2"	"45"	"174"	"10"	"18"	"4"	"4"	"11"	"4"	"7"	"5"	"12"	"545"	"0"	"545"	""	""
"124"	"105"	"3"	"3"	"214"	"2"	"0"	"81"	"80"	"2"	"15"	"2"	"0"	"1"	"1"	"2"	"1"	"3"	"410"	"0"	"410"	""	""
"125"	"106"	"4"	"0"	"155"	"0"	"5"	"4"	"32"	"4"	"92"	"7"	"3"	"0"	"2"	"1"	"1"	"2"	"312"	"0"	"312"	""	""
"126"	"107"	"119"	"90"	"24"	"13"	"1"	"5"	"1"	"1"	"2"	"9"	"2"	"0"	"0"	"2"	"2"	"9"	"280"	"0"	"280"	""	""
"127"	"108"	"21"	"11"	"159"	"3"	"1"	"11"	"49"	"3"	"2"	"4"	"0"	"3"	"2"	"5"	"1"	"7"	"282"	"0"	"282"	""	""
"128"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"129"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"131"	"109"	"30"	"2"	"71"	"0"	"0"	"0"	"35"	"4"	"171"	"1"	"10"	"1"	"0"	"0"	"0"	"2"	"327"	"0"	"327"	""	""
"132"	"110"	"36"	"21"	"426"	"1"	"1"	"1"	"24"	"1"	"16"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"532"	"0"	"532"	""	""
"133"	"111"	"10"	"3"	"399"	"4"	"1"	"10"	"12"	"2"	"3"	"4"	"3"	"0"	"1"	"12"	"1"	"9"	"474"	"0"	"474"	""	""
"134"	"112"	"7"	"1"	"198"	"4"	"1"	"6"	"39"	"1"	"12"	"3"	"2"	"1"	"1"	"1"	"1"	"0"	"278"	"0"	"278"	""	""
"135"	"Round- 8"	"4784"	"2471"	"24244"	"749"	"135"	"706"	"7183"	"223"	"731"	"258"	"143"	"387"	"139"	"315"	"136"	"366"	"42970"	"0"	"42970"	""	""
"136"	"113"	"24"	"11"	"218"	"6"	"1"	"3"	"58"	"3"	"4"	"3"	"2"	"4"	"1"	"6"	"0"	"5"	"349"	"0"	"349"	""	""
"137"	"114"	"32"	"26"	"91"	"2"	"2"	"8"	"83"	"6"	"6"	"11"	"9"	"1"	"5"	"7"	"2"	"9"	"300"	"0"	"300"	""	""
"138"	"115"	"217"	"0"	"26"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"0"	"246"	""	""
"139"	"116"	"47"	"4"	"298"	"1"	"0"	"40"	"22"	"0"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"430"	"0"	"430"	""	""
"140"	"117"	"67"	"31"	"39"	"6"	"2"	"27"	"3"	"1"	"4"	"3"	"2"	"3"	"1"	"3"	"1"	"0"	"193"	"0"	"193"	""	""
"141"	"118"	"108"	"5"	"40"	"26"	"2"	"31"	"3"	"2"	"1"	"3"	"0"	"0"	"1"	"3"	"2"	"0"	"227"	"0"	"227"	""	""
"142"	"119"	"69"	"19"	"33"	"3"	"2"	"0"	"5"	"0"	"16"	"4"	"1"	"0"	"0"	"2"	"0"	"2"	"156"	"0"	"156"	""	""
"143"	"120"	"57"	"19"	"78"	"1"	"0"	"25"	"3"	"1"	"2"	"2"	"1"	"3"	"1"	"1"	"2"	"4"	"200"	"0"	"200"	""	""
"144"	"121"	"11"	"20"	"158"	"6"	"2"	"16"	"90"	"6"	"5"	"9"	"9"	"7"	"3"	"17"	"7"	"8"	"374"	"0"	"374"	""	""
"145"	"122"	"18"	"26"	"454"	"3"	"1"	"7"	"53"	"0"	"7"	"0"	"0"	"5"	"2"	"7"	"2"	"8"	"593"	"0"	"593"	""	""
"146"	"123"	"14"	"130"	"232"	"1"	"0"	"30"	"23"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"439"	"0"	"439"	""	""
"147"	"124"	"21"	"3"	"273"	"1"	"0"	"9"	"37"	"2"	"3"	"5"	"1"	"0"	"5"	"3"	"0"	"1"	"364"	"0"	"364"	""	""
