"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	"izfr{ksfir
erksa  dk la[;k"	""	""	""	";ksx"	""	""	""	""
"12"	"9"	""	"67"	""	""	"5"	""	"9"	""	""	"2"	""	""	"3"	""	""	"5"	""	""	"3"	""	""	"166"	""	""	"28"	""	""	"2"	""	"1"	""	""	"10"	""	""	"301"	""	""	""	""	""	"301"	""	""	""	""
"13"	"10"	""	"81"	""	""	"15"	""	"38"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"6"	""	""	"29"	""	""	"7"	""	""	"4"	""	"3"	""	""	"7"	""	""	"196"	""	""	""	""	""	"196"	""	""	""	""
"14"	"11"	""	"256"	""	""	"8"	""	"3"	""	""	"0"	""	""	"6"	""	""	"3"	""	""	"2"	""	""	"31"	""	""	"10"	""	""	"1"	""	"2"	""	""	"9"	""	""	"331"	""	""	""	""	""	"331"	""	""	""	""
"15"	"12"	""	"214"	""	""	"9"	""	"4"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"4"	""	""	"37"	""	""	"17"	""	""	"3"	""	"3"	""	""	"8"	""	""	"304"	""	""	""	""	""	"304"	""	""	""	""
"16"	"13"	""	"246"	""	""	"6"	""	"7"	""	""	"2"	""	""	"7"	""	""	"21"	""	""	"2"	""	""	"29"	""	""	"7"	""	""	"11"	""	"3"	""	""	"24"	""	""	"365"	""	""	""	""	""	"365"	""	""	""	""
"17"	"14"	""	"221"	""	""	"7"	""	"16"	""	""	"2"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"3"	""	""	"1"	""	"1"	""	""	"2"	""	""	"262"	""	""	""	""	""	"262"	""	""	""	""
"18"	";ksx"	""	"3303"	""	""	"148"	""	"144"	""	""	"37"	""	""	"66"	""	""	"105"	""	""	"49"	""	""	"992"	""	""	"216"	""	""	"38"	""	"34"	""	""	"142"	""	""	"5274"	""	"0"	""	""	""	"5274"	""	""	""	""
"19"	"fnrh; pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"21"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"23"	"15"	""	"187"	""	""	"10"	""	"10"	""	""	"5"	""	""	""	"5"	""	""	"12"	""	"5"	""	""	"121"	""	""	""	"34"	""	"5"	""	""	"8"	""	""	"32"	""	"434"	""	""	""	""	""	""	"434"	""	""	""
"24"	"16"	""	"134"	""	""	"10"	""	"6"	""	""	"1"	""	""	""	"5"	""	""	"3"	""	"7"	""	""	"63"	""	""	""	"18"	""	"4"	""	""	"9"	""	""	"35"	""	"295"	""	""	""	""	""	""	"295"	""	""	""
"25"	"17"	""	"322"	""	""	"27"	""	"5"	""	""	"10"	""	""	""	"13"	""	""	"1"	""	"1"	""	""	"6"	""	""	""	"2"	""	"1"	""	""	"1"	""	""	"6"	""	"395"	""	""	""	""	""	""	"395"	""	""	""
"26"	"18"	""	"390"	""	""	"21"	""	"29"	""	""	"8"	""	""	""	"6"	""	""	"2"	""	"3"	""	""	"37"	""	""	""	"8"	""	"6"	""	""	"2"	""	""	"13"	""	"525"	""	""	""	""	""	""	"525"	""	""	""
"27"	"19"	""	"66"	""	""	"7"	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"7"	""	"1"	""	""	"49"	""	""	""	"6"	""	"1"	""	""	"5"	""	""	"3"	""	"148"	""	""	""	""	""	""	"148"	""	""	""
"28"	"20"	""	"178"	""	""	"10"	""	"9"	""	""	"0"	""	""	""	"4"	""	""	"4"	""	"6"	""	""	"68"	""	""	""	"10"	""	"1"	""	""	"2"	""	""	"5"	""	"297"	""	""	""	""	""	""	"297"	""	""	""
"29"	"21"	""	"263"	""	""	"23"	""	"25"	""	""	"2"	""	""	""	"10"	""	""	"11"	""	"0"	""	""	"30"	""	""	""	"8"	""	"0"	""	""	"1"	""	""	"3"	""	"376"	""	""	""	""	""	""	"376"	""	""	""
"30"	"22"	""	"566"	""	""	"29"	""	"5"	""	""	"2"	""	""	""	"7"	""	""	"0"	""	"1"	""	""	"49"	""	""	""	"3"	""	"1"	""	""	"0"	""	""	"12"	""	"675"	""	""	""	""	""	""	"675"	""	""	""
"31"	"23"	""	"358"	""	""	"25"	""	"2"	""	""	"2"	""	""	""	"3"	""	""	"1"	""	"0"	""	""	"61"	""	""	""	"5"	""	"1"	""	""	"0"	""	""	"0"	""	"458"	""	""	""	""	""	""	"458"	""	""	""
"32"	"24"	""	"226"	""	""	"10"	""	"4"	""	""	"2"	""	""	""	"10"	""	""	"3"	""	"3"	""	""	"64"	""	""	""	"14"	""	"2"	""	""	"1"	""	""	"12"	""	"351"	""	""	""	""	""	""	"351"	""	""	""
"33"	"25"	""	"293"	""	""	"7"	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	"3"	""	""	"25"	""	""	""	"2"	""	"2"	""	""	"1"	""	""	"6"	""	"343"	""	""	""	""	""	""	"343"	""	""	""
"34"	"26"	""	"346"	""	""	"12"	""	"7"	""	""	"5"	""	""	""	"6"	""	""	"5"	""	"3"	""	""	"18"	""	""	""	"6"	""	"4"	""	""	"0"	""	""	"4"	""	"416"	""	""	""	""	""	""	"416"	""	""	""
"35"	"27"	""	"388"	""	""	"17"	""	"10"	""	""	"4"	""	""	""	"8"	""	""	"8"	""	"5"	""	""	"72"	""	""	""	"11"	""	"3"	""	""	"6"	""	""	"7"	""	"539"	""	""	""	""	""	""	"539"	""	""	""
"36"	"28"	""	"329"	""	""	"12"	""	"4"	""	""	"0"	""	""	""	"3"	""	""	"4"	""	"3"	""	""	"107"	""	""	""	"7"	""	"0"	""	""	"1"	""	""	"0"	""	"470"	""	""	""	""	""	""	"470"	""	""	""
"37"	";ksx"	""	"4046"	""	""	"220"	""	"118"	""	""	"42"	""	""	""	"83"	""	""	"62"	""	"41"	""	""	"770"	""	""	""	"134"	""	"31"	""	""	"37"	""	""	"138"	""	"5722"	""	""	"0"	""	""	""	"5722"	""	""	""
"38"	"r`rh; pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"40"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"42"	"29"	""	"222"	""	""	"15"	""	"9"	""	""	"3"	""	""	""	"1"	""	""	"4"	""	"1"	""	""	"30"	""	""	""	"10"	""	"2"	""	""	"3"	""	""	"31"	""	"331"	""	""	""	""	""	""	"331"	""	""	""
"43"	"30"	""	"410"	""	""	"19"	""	"14"	""	""	"3"	""	""	""	"5"	""	""	"76"	""	"2"	""	""	"36"	""	""	""	"14"	""	"1"	""	""	"6"	""	""	"21"	""	"607"	""	""	""	""	""	""	"607"	""	""	""
"44"	"31"	""	"618"	""	""	"11"	""	"4"	""	""	"1"	""	""	""	"8"	""	""	"0"	""	"1"	""	""	"4"	""	""	""	"0"	""	"0"	""	""	"1"	""	""	"3"	""	"651"	""	""	""	""	""	""	"651"	""	""	""
"45"	"32"	""	"423"	""	""	"24"	""	"42"	""	""	"1"	""	""	""	"6"	""	""	"2"	""	"3"	""	""	"80"	""	""	""	"21"	""	"0"	""	""	"1"	""	""	"8"	""	"611"	""	""	""	""	""	""	"611"	""	""	""
"46"	"33"	""	"487"	""	""	"14"	""	"6"	""	""	"1"	""	""	""	"5"	""	""	"11"	""	"2"	""	""	"15"	""	""	""	"1"	""	"3"	""	""	"0"	""	""	"6"	""	"551"	""	""	""	""	""	""	"551"	""	""	""
"47"	"34"	""	"251"	""	""	"13"	""	"36"	""	""	"7"	""	""	""	"8"	""	""	"3"	""	"3"	""	""	"51"	""	""	""	"7"	""	"2"	""	""	"2"	""	""	"7"	""	"390"	""	""	""	""	""	""	"390"	""	""	""
"48"	"35"	""	"166"	""	""	"6"	""	"4"	""	""	"1"	""	""	""	"4"	""	""	"4"	""	"3"	""	""	"39"	""	""	""	"11"	""	"0"	""	""	"0"	""	""	"5"	""	"243"	""	""	""	""	""	""	"243"	""	""	""
"49"	"36"	""	"258"	""	""	"19"	""	"45"	""	""	"5"	""	""	""	"8"	""	""	"23"	""	"4"	""	""	"49"	""	""	""	"17"	""	"5"	""	""	"5"	""	""	"13"	""	"451"	""	""	""	""	""	""	"451"	""	""	""
"50"	"37"	""	"171"	""	""	"9"	""	"55"	""	""	"4"	""	""	""	"40"	""	""	"4"	""	"3"	""	""	"172"	""	""	""	"30"	""	"3"	""	""	"3"	""	""	"17"	""	"511"	""	""	""	""	""	""	"511"	""	""	""
"51"	"38"	""	"283"	""	""	"13"	""	"5"	""	""	"6"	""	""	""	"21"	""	""	"4"	""	"5"	""	""	"63"	""	""	""	"9"	""	"2"	""	""	"4"	""	""	"17"	""	"432"	""	""	""	""	""	""	"432"	""	""	""
"52"	"39"	""	"305"	""	""	"17"	""	"38"	""	""	"3"	""	""	""	"3"	""	""	"8"	""	"5"	""	""	"12"	""	""	""	"9"	""	"4"	""	""	"5"	""	""	"18"	""	"427"	""	""	""	""	""	""	"427"	""	""	""
"53"	"40"	""	"233"	""	""	"14"	""	"4"	""	""	"3"	""	""	""	"18"	""	""	"11"	""	"3"	""	""	"40"	""	""	""	"5"	""	"5"	""	""	"7"	""	""	"29"	""	"372"	""	""	""	""	""	""	"372"	""	""	""
"54"	"41"	""	"75"	""	""	"8"	""	"12"	""	""	"4"	""	""	""	"17"	""	""	"20"	""	"4"	""	""	"84"	""	""	""	"27"	""	"5"	""	""	"8"	""	""	"31"	""	"295"	""	""	""	""	""	""	"295"	""	""	""
"55"	"42"	""	"128"	""	""	"6"	""	"3"	""	""	"1"	""	""	""	"10"	""	""	"18"	""	"1"	""	""	"23"	""	""	""	"3"	""	"2"	""	""	"2"	""	""	"7"	""	"204"	""	""	""	""	""	""	"204"	""	""	""
"56"	";ksx"	""	"4030"	""	""	"188"	""	"277"	""	""	"43"	""	""	""	"154"	""	""	"188"	""	"40"	""	""	"698"	""	""	""	"164"	""	"34"	""	""	"47"	""	""	"213"	""	"6076"	""	""	"0"	""	""	""	"6076"	""	""	""
"57"	"pkSngok pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"ernku
dsUnksa dh la[;k"	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""
"59"	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"61"	"43"	"450"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	""	"6"	""	"9"	""	""	"2"	""	""	"34"	""	""	""	"10"	""	"1"	""	""	"1"	""	""	"4"	""	"525"	""	""	""	""	""	""	"525"	""	""	""
"62"	"44"	"270"	""	""	"34"	""	""	"9"	""	""	"6"	""	""	""	"5"	""	"88"	""	""	"7"	""	""	"102"	""	""	""	"29"	""	"2"	""	""	"2"	""	""	"20"	""	"574"	""	""	""	""	""	""	"574"	""	""	""
"63"	"45"	"92"	""	""	"9"	""	""	"12"	""	""	"3"	""	""	""	"20"	""	"50"	""	""	"7"	""	""	"51"	""	""	""	"22"	""	"4"	""	""	"5"	""	""	"17"	""	"292"	""	""	""	""	""	""	"292"	""	""	""
"64"	"46"	"183"	""	""	"14"	""	""	"22"	""	""	"1"	""	""	""	"15"	""	"24"	""	""	"4"	""	""	"37"	""	""	""	"11"	""	"3"	""	""	"2"	""	""	"14"	""	"330"	""	""	""	""	""	""	"330"	""	""	""
"65"	"47"	"294"	""	""	"21"	""	""	"14"	""	""	"8"	""	""	""	"11"	""	"122"	""	""	"10"	""	""	"44"	""	""	""	"10"	""	"7"	""	""	"7"	""	""	"24"	""	"572"	""	""	""	""	""	""	"572"	""	""	""
"66"	"48"	"293"	""	""	"8"	""	""	"14"	""	""	"1"	""	""	""	"4"	""	"71"	""	""	"10"	""	""	"74"	""	""	""	"32"	""	"10"	""	""	"4"	""	""	"15"	""	"536"	""	""	""	""	""	""	"536"	""	""	""
"67"	"49"	"90"	""	""	"6"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	"32"	""	""	"0"	""	""	"27"	""	""	""	"4"	""	"2"	""	""	"2"	""	""	"2"	""	"171"	""	""	""	""	""	""	"171"	""	""	""
"68"	"50"	"214"	""	""	"28"	""	""	"9"	""	""	"7"	""	""	""	"10"	""	"29"	""	""	"4"	""	""	"55"	""	""	""	"24"	""	"3"	""	""	"9"	""	""	"25"	""	"417"	""	""	""	""	""	""	"417"	""	""	""
"69"	"51"	"177"	""	""	"7"	""	""	"2"	""	""	"1"	""	""	""	"2"	""	"27"	""	""	"1"	""	""	"50"	""	""	""	"15"	""	"0"	""	""	"1"	""	""	"0"	""	"283"	""	""	""	""	""	""	"283"	""	""	""
"70"	"52"	"185"	""	""	"15"	""	""	"6"	""	""	"0"	""	""	""	"11"	""	"76"	""	""	"4"	""	""	"58"	""	""	""	"15"	""	"3"	""	""	"3"	""	""	"8"	""	"384"	""	""	""	""	""	""	"384"	""	""	""
"71"	"53"	"301"	""	""	"7"	""	""	"5"	""	""	"5"	""	""	""	"9"	""	"138"	""	""	"9"	""	""	"68"	""	""	""	"22"	""	"10"	""	""	"4"	""	""	"14"	""	"592"	""	""	""	""	""	""	"592"	""	""	""
"72"	"54"	"109"	""	""	"21"	""	""	"8"	""	""	"2"	""	""	""	"8"	""	"51"	""	""	"3"	""	""	"51"	""	""	""	"15"	""	"4"	""	""	"11"	""	""	"19"	""	"302"	""	""	""	""	""	""	"302"	""	""	""
"73"	"55"	"286"	""	""	"16"	""	""	"16"	""	""	"5"	""	""	""	"5"	""	"25"	""	""	"5"	""	""	"135"	""	""	""	"36"	""	"2"	""	""	"5"	""	""	"13"	""	"549"	""	""	""	""	""	""	"549"	""	""	""
"74"	"56"	"191"	""	""	"15"	""	""	"6"	""	""	"2"	""	""	""	"3"	""	"6"	""	""	"2"	""	""	"136"	""	""	""	"21"	""	"2"	""	""	"6"	""	""	"5"	""	"395"	""	""	""	""	""	""	"395"	""	""	""
"75"	";ksx"	"3135"	""	""	"205"	""	""	"128"	""	""	"45"	""	""	""	"110"	""	"748"	""	""	"68"	""	""	"922"	""	""	""	"266"	""	"53"	""	""	"62"	""	""	"180"	""	"5922"	""	""	"0"	""	""	""	"5922"	""	""	""
"76"	"iape pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"ernku
dsUnksa dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""
"78"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"80"	"57"	""	"277"	""	""	"12"	""	"12"	""	""	"5"	""	""	""	"6"	""	""	"19"	""	"5"	""	""	"51"	""	""	""	"11"	""	"2"	""	""	"3"	""	""	"30"	""	"433"	""	""	""	""	""	""	"433"	""	""	""
"81"	"58"	""	"119"	""	""	"11"	""	"6"	""	""	"1"	""	""	""	"8"	""	""	"116"	""	"13"	""	""	"29"	""	""	""	"16"	""	"8"	""	""	"14"	""	""	"9"	""	"350"	""	""	""	""	""	""	"350"	""	""	""
"82"	"59"	""	"154"	""	""	"11"	""	"3"	""	""	"2"	""	""	""	"1"	""	""	"0"	""	"1"	""	""	"42"	""	""	""	"6"	""	"0"	""	""	"0"	""	""	"6"	""	"226"	""	""	""	""	""	""	"226"	""	""	""
"83"	"60"	""	"96"	""	""	"12"	""	"8"	""	""	"4"	""	""	""	"9"	""	""	"327"	""	"30"	""	""	"20"	""	""	""	"15"	""	"8"	""	""	"12"	""	""	"31"	""	"572"	""	""	""	""	""	""	"572"	""	""	""
"84"	"61"	""	"252"	""	""	"13"	""	"2"	""	""	"3"	""	""	""	"5"	""	""	"67"	""	"3"	""	""	"22"	""	""	""	"8"	""	"1"	""	""	"1"	""	""	"4"	""	"381"	""	""	""	""	""	""	"381"	""	""	""
"85"	"62"	""	"192"	""	""	"9"	""	"10"	""	""	"9"	""	""	""	"9"	""	""	"164"	""	"8"	""	""	"45"	""	""	""	"27"	""	"12"	""	""	"7"	""	""	"38"	""	"530"	""	""	""	""	""	""	"530"	""	""	""
"86"	"63"	""	"173"	""	""	"4"	""	"7"	""	""	"3"	""	""	""	"6"	""	""	"66"	""	"4"	""	""	"125"	""	""	""	"19"	""	"3"	""	""	"1"	""	""	"9"	""	"420"	""	""	""	""	""	""	"420"	""	""	""
"87"	"64"	""	"193"	""	""	"9"	""	"1"	""	""	"2"	""	""	""	"6"	""	""	"22"	""	"7"	""	""	"156"	""	""	""	"20"	""	"4"	""	""	"5"	""	""	"10"	""	"435"	""	""	""	""	""	""	"435"	""	""	""
"88"	"65"	""	"33"	""	""	"1"	""	"7"	""	""	"2"	""	""	""	"6"	""	""	"7"	""	"4"	""	""	"410"	""	""	""	"36"	""	"1"	""	""	"1"	""	""	"4"	""	"512"	""	""	""	""	""	""	"512"	""	""	""
"89"	"66"	""	"88"	""	""	"14"	""	"22"	""	""	"4"	""	""	""	"15"	""	""	"168"	""	"16"	""	""	"99"	""	""	""	"34"	""	"8"	""	""	"4"	""	""	"28"	""	"500"	""	""	""	""	""	""	"500"	""	""	""
"90"	"67"	""	"115"	""	""	"7"	""	"6"	""	""	"3"	""	""	""	"2"	""	""	"40"	""	"4"	""	""	"82"	""	""	""	"30"	""	"4"	""	""	"6"	""	""	"25"	""	"324"	""	""	""	""	""	""	"324"	""	""	""
"91"	"68"	""	"73"	""	""	"23"	""	"13"	""	""	"8"	""	""	""	"12"	""	""	"124"	""	"10"	""	""	"87"	""	""	""	"37"	""	"9"	""	""	"7"	""	""	"11"	""	"414"	""	""	""	""	""	""	"414"	""	""	""
"92"	"69"	""	"115"	""	""	"10"	""	"4"	""	""	"2"	""	""	""	"4"	""	""	"25"	""	"1"	""	""	"52"	""	""	""	"11"	""	"5"	""	""	"3"	""	""	"7"	""	"239"	""	""	""	""	""	""	"239"	""	""	""
"93"	"70"	""	"9"	""	""	"6"	""	"10"	""	""	"4"	""	""	""	"3"	""	""	"108"	""	"6"	""	""	"13"	""	""	""	"11"	""	"4"	""	""	"5"	""	""	"2"	""	"181"	""	""	""	""	""	""	"181"	""	""	""
"94"	";ksx"	""	"1889"	""	""	"142"	""	"111"	""	""	"52"	""	""	""	"92"	""	""	"1253"	""	"112"	""	""	"1233"	""	""	""	"281"	""	"69"	""	""	"69"	""	""	"214"	""	"5517"	""	""	"0"	""	""	""	"5517"	""	""	""
"95"	"\"k\"Ve pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
