"PS.NO"	"KAPIL.DEO.RAM"	"BASAWAN.PRASAD.BHAGAT"	"MANOJ.KUMAR.SINGH"	"KUMAR.VIJAY"	"VINAY.KUMAR.CHOUDHARY"	"SHAH.ALAM..SHABBU."	"ARUN.KUMAR.SINGH"	"CHANDESHWAR.RAI"	"DILIP.KUMAR"	"PRAMOD.KR..SHARMA"	"MAHESH.MAHTO"	"LAKHINDRA.PASWAN"	"BINOD.CHAUDHARY"	"BAIDYANATH.THAKUR"	"SHIV.SHANKAR.CHAUDHARY"	"SUDHIR.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"24"	24	5	111	273	6	11	58	4	2	7	4	5	5	61	11	2	10	-575	""	""
"25"	25	7	11	15	0	0	6	0	1	1	0	2	2	78	7	8	165	-303	""	""
"26"	26	14	47	177	7	4	90	1	2	5	2	4	1	33	9	11	293	-700	""	""
"27"	27	38	63	151	6	3	39	0	4	11	2	5	7	33	16	10	307	-695	""	""
"28"	28	5	146	24	1	1	5	0	2	0	1	0	0	23	0	2	11	-221	""	""
"29"	29	30	219	57	6	18	262	6	8	24	5	29	5	56	13	8	69	-815	""	""
"30"	30	18	33	70	5	10	207	11	1	15	7	15	14	56	15	11	174	-662	""	""
"31"	31	14	21	57	2	1	64	0	5	6	3	6	1	32	10	2	4	-228	""	""
"32"	32	34	117	214	9	5	8	3	5	4	3	3	3	86	9	1	8	-512	""	""
"33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"34"	33	9	56	236	10	11	135	3	5	8	8	8	9	48	15	4	4	-569	""	""
"35"	34	193	65	251	3	10	118	2	1	11	4	5	3	67	10	4	10	-757	""	""
"36"	35	7	118	132	68	2	33	2	1	4	2	5	0	24	2	2	14	-416	""	""
"37"	36	14	69	521	16	8	47	8	3	7	3	7	10	58	30	11	21	-833	""	""
"38"	37	5	64	14	2	0	26	0	0	3	1	0	4	145	7	4	5	-280	""	""
"39"	38	15	148	21	3	4	73	3	7	13	7	6	23	208	18	10	11	-570	""	""
"40"	39	21	299	65	4	9	34	1	5	5	5	11	5	221	10	10	20	-725	""	""
"41"	40	10	58	94	8	4	35	3	4	5	8	8	6	339	9	8	6	-605	""	""
"42"	41	8	83	63	7	4	213	8	3	21	8	16	14	176	19	12	85	-740	""	""
"43"	42	36	171	333	5	5	43	4	2	4	8	7	4	30	18	7	9	-686	""	""
"44"	43	19	160	247	2	0	9	0	2	1	1	1	2	83	3	11	11	-552	""	""
"45"	44	28	115	202	27	13	111	7	8	13	12	13	15	91	27	12	22	-716	""	""
"46"	45	6	37	8	3	0	55	4	4	4	1	7	10	223	2	5	10	-379	""	""
"47"	46	48	221	18	2	5	29	0	1	4	0	7	14	184	13	14	26	-586	""	""
"48"	47	11	34	188	17	3	43	0	4	5	0	4	6	124	17	4	11	-471	""	""
"49"	48	9	132	16	14	5	42	1	0	9	4	7	5	133	10	16	9	-412	""	""
"50"	49	28	105	19	29	4	64	5	8	5	6	11	10	109	25	10	24	-462	""	""
"51"	50	27	69	112	2	4	132	2	0	8	0	1	2	58	3	3	1	-424	""	""
"52"	51	9	62	73	8	11	99	4	6	15	1	7	7	179	9	8	28	-526	""	""
"53"	52	4	16	110	4	4	94	2	1	5	3	7	3	40	12	6	8	-319	""	""
"54"	53	4	65	291	7	1	5	3	3	2	4	2	2	37	11	3	7	-447	""	""
"55"	54	32	118	118	2	8	109	4	4	10	2	4	10	94	10	9	26	-560	""	""
"56"	55	50	97	59	3	0	30	0	0	1	2	6	6	169	7	2	11	-443	""	""
"57"	56	1	144	16	1	2	3	0	3	1	1	3	2	63	4	1	20	-265	""	""
"58"	57	1	69	580	3	1	4	0	1	0	0	0	3	7	2	1	4	-676	""	""
"59"	58	1	13	320	21	7	58	2	5	6	6	7	6	31	22	5	15	-525	""	""
"60"	59	3	9	150	8	2	60	1	2	2	2	5	6	106	7	1	2	-366	""	""
"61"	60	14	29	542	11	4	3	3	2	0	5	2	0	15	9	4	10	-653	""	""
"62"	61	1	6	258	3	2	113	2	1	7	0	3	0	1	5	5	4	-411	""	""
"63"	62	21	85	279	3	2	121	3	2	3	3	6	4	7	18	2	6	-565	""	""
"64"	63	7	58	502	1	3	39	0	0	4	1	1	0	10	2	2	1	-631	""	""
"65"	64	1	23	12	1	3	194	3	4	4	2	15	3	10	4	1	4	-284	""	""
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"67"	65	39	266	48	10	7	58	1	4	5	6	3	0	4	3	1	10	-465	""	""
"68"	66	19	177	237	10	4	94	2	4	6	5	6	1	9	5	7	8	-594	""	""
"69"	67	14	33	232	11	12	59	2	3	8	2	2	7	105	19	9	13	-531	""	""
"70"	68	12	96	121	5	3	10	0	2	4	2	6	3	107	28	5	4	-408	""	""
"71"	69	10	77	261	9	7	47	0	4	15	6	9	4	60	33	9	7	-558	""	""
"72"	70	24	178	188	16	3	27	5	3	7	4	6	5	15	32	30	20	-563	""	""
"73"	71	39	94	312	7	13	107	7	7	7	9	9	6	24	5	2	4	-652	""	""
"74"	72	7	79	53	3	5	14	2	1	3	3	1	0	65	3	4	6	-249	""	""
"75"	73	5	87	207	7	1	2	0	0	1	2	3	0	7	11	4	6	-343	""	""
"76"	74	17	103	235	7	2	100	0	1	5	0	2	1	4	7	0	4	-488	""	""
"77"	75	17	38	101	3	2	34	0	1	4	0	2	3	3	2	5	8	-223	""	""
"78"	76	3	33	216	9	4	99	3	5	7	0	2	1	2	8	2	4	-398	""	""
"79"	77	10	102	157	9	8	51	2	5	6	3	7	2	23	9	3	14	-411	""	""
"80"	78	8	61	67	4	4	19	1	3	4	2	3	2	16	3	1	8	-206	""	""
"81"	79	5	85	193	50	0	23	0	0	3	0	0	1	6	4	3	8	-381	""	""
"82"	80	20	186	80	3	6	40	1	5	10	5	11	5	53	13	3	87	-528	""	""
"83"	81	12	42	17	2	22	137	8	11	21	53	31	8	11	18	4	20	-417	""	""
"84"	82	1	26	187	11	2	37	0	1	1	3	2	0	43	9	1	0	-324	""	""
"85"	83	87	114	38	7	12	106	8	3	7	5	10	3	4	8	4	8	-424	""	""
"86"	84	34	176	119	10	12	77	5	9	12	9	14	4	9	11	9	15	-525	""	""
"87"	85	11	146	175	13	2	6	2	3	1	4	1	1	6	13	7	10	-401	""	""
"88"	86	24	150	411	54	5	29	4	12	4	8	9	4	23	28	11	21	-797	""	""
"89"	87	5	35	549	15	0	20	1	3	2	4	2	3	15	20	6	12	-692	""	""
"90"	88	16	155	282	8	6	120	7	6	10	7	8	5	15	22	6	15	-688	""	""
"91"	89	10	20	259	6	4	25	2	2	1	3	4	4	27	18	7	7	-399	""	""
"92"	90	24	151	198	8	7	123	6	5	13	14	17	7	24	22	5	16	-640	""	""
"93"	91	1	161	497	6	1	18	1	0	2	0	4	2	12	4	3	6	-718	""	""
"94"	92	3	67	221	1	3	260	0	0	4	0	3	0	1	2	0	0	-565	""	""
"95"	93	17	96	216	9	5	85	2	4	11	2	15	4	6	15	3	16	-506	""	""
"96"	94	13	198	211	15	9	149	8	6	10	3	11	6	14	13	4	8	-678	""	""
"97"	95	17	135	125	12	14	163	7	5	24	15	22	11	13	19	7	20	-609	""	""
"98"	96	21	146	34	2	3	63	3	0	3	1	0	1	0	3	0	7	-287	""	""
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"100"	97	10	129	71	9	6	181	5	6	13	5	20	5	3	16	12	21	-512	""	""
"101"	98	2	4	55	0	4	83	0	0	5	2	3	3	1	1	0	0	-163	""	""
"102"	99	9	120	98	1	25	150	1	0	7	4	1	2	3	3	4	19	-447	""	""
"103"	100	8	25	109	9	16	293	11	4	17	11	11	7	7	14	6	9	-557	""	""
"104"	101	20	147	248	18	5	51	6	10	8	5	7	7	74	29	10	20	-665	""	""
"105"	102	7	389	139	4	0	5	0	0	3	0	0	1	7	8	1	6	-570	""	""
"106"	103	3	197	355	7	3	27	1	0	2	1	3	0	2	3	1	2	-607	""	""
"107"	104	3	91	229	45	6	99	2	2	4	2	4	0	16	5	0	1	-509	""	""
"108"	105	7	149	107	5	8	168	3	1	22	5	10	3	23	5	6	6	-528	""	""
"109"	106	10	90	116	5	1	36	3	0	3	3	4	2	10	2	1	3	-289	""	""
"110"	107	2	71	5	0	4	217	3	1	5	1	22	5	28	0	4	13	-381	""	""
"111"	108	10	55	241	2	0	18	2	1	4	1	0	0	50	26	3	15	-428	""	""
"112"	109	16	155	269	20	3	14	1	3	4	3	3	3	19	17	5	14	-549	""	""
"113"	110	7	17	533	2	3	4	1	2	0	0	0	1	3	4	0	1	-578	""	""
"114"	111	4	43	539	1	1	5	0	0	0	0	1	1	22	4	2	4	-627	""	""
"115"	112	2	24	632	1	0	0	0	0	1	0	0	0	5	0	0	0	-665	""	""
"116"	113	12	154	98	7	0	7	2	1	1	1	2	4	30	9	2	10	-340	""	""
"117"	114	15	91	231	10	6	148	4	2	11	8	15	5	8	12	3	14	-583	""	""
"118"	115	12	106	300	11	5	147	6	6	14	3	8	5	14	13	6	4	-660	""	""
"119"	116	6	47	56	9	10	199	11	3	13	4	18	2	23	12	15	14	-442	""	""
"120"	117	3	170	106	5	8	146	4	2	6	4	2	1	17	2	1	2	-479	""	""
"121"	118	7	17	328	5	8	123	2	5	13	4	12	1	9	18	2	5	-559	""	""
"122"	119	9	111	185	8	8	145	7	3	15	5	14	2	9	7	2	9	-539	""	""
"123"	120	15	51	32	5	12	288	6	3	6	3	9	0	1	2	2	3	-438	""	""
"124"	121	8	86	385	2	2	55	0	0	3	0	1	1	3	5	2	5	-558	""	""
"125"	122	7	326	111	7	4	25	1	4	8	4	9	0	24	3	6	49	-588	""	""
"126"	123	12	150	89	2	2	109	4	2	9	4	10	3	1	11	5	18	-431	""	""
"127"	124	15	156	314	30	0	85	7	7	11	3	8	4	10	20	8	17	-695	""	""
"128"	125	50	29	275	7	2	18	1	3	1	1	2	1	6	3	1	2	-402	""	""
"129"	126	17	255	68	6	3	41	1	2	5	3	3	1	9	9	9	16	-448	""	""
"130"	127	20	10	15	1	11	526	13	2	12	2	7	2	3	2	0	3	-629	""	""
"131"	128	20	110	106	3	9	237	7	3	3	3	2	2	3	2	0	0	-510	""	""
"132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"133"	129	3	68	122	2	3	133	2	4	7	3	3	1	8	4	3	8	-374	""	""
"134"	130	1	31	22	3	1	369	0	0	1	0	2	1	0	2	0	1	-434	""	""
"135"	131	1	86	80	2	2	407	0	0	3	2	1	3	3	3	0	8	-601	""	""
"136"	132	3	72	12	0	6	312	2	0	5	0	5	1	5	1	2	1	-427	""	""
"137"	133	6	97	143	8	8	196	1	4	11	6	10	2	6	11	4	12	-525	""	""
"138"	134	4	132	258	2	4	42	0	0	2	2	1	1	19	9	4	8	-488	""	""
"139"	135	6	273	177	10	2	30	1	1	3	3	2	1	5	11	13	12	-550	""	""
"140"	136	12	302	60	2	4	14	2	1	1	1	6	2	7	8	16	5	-443	""	""
"141"	137	10	208	24	2	5	109	2	2	12	3	3	1	2	6	5	2	-396	""	""
"142"	138	16	185	291	38	3	30	1	1	0	1	6	6	12	16	3	8	-617	""	""
"143"	139	10	240	103	7	11	65	7	3	8	3	3	1	9	23	14	14	-521	""	""
"144"	140	23	322	145	4	3	21	2	1	3	9	3	1	5	14	8	46	-610	""	""
"145"	141	0	39	205	2	0	7	0	0	0	0	0	0	3	0	2	2	-260	""	""
"146"	142	6	328	62	3	11	102	6	0	11	3	16	2	3	5	6	23	-587	""	""
"147"	143	13	89	28	4	15	275	14	7	29	12	56	4	11	14	12	25	-608	""	""
"148"	144	13	149	382	13	6	131	5	6	14	49	14	5	13	15	9	17	-841	""	""
"149"	145	45	136	80	20	4	93	2	2	3	8	6	2	7	5	5	12	-430	""	""
"150"	146	11	107	147	11	6	135	6	3	10	5	13	4	8	11	5	4	-486	""	""
"151"	147	7	184	108	3	0	21	2	2	2	2	3	2	14	4	4	3	-361	""	""
"152"	148	11	268	32	1	2	43	5	6	6	2	4	1	5	5	7	5	-403	""	""
"153"	149	8	145	103	2	1	42	2	1	1	1	3	2	9	8	2	11	-341	""	""
"154"	150	8	232	108	3	3	31	4	2	4	22	6	3	5	5	12	13	-461	""	""
"155"	151	47	139	199	12	11	122	6	10	13	1	12	3	14	6	5	16	-616	""	""
"156"	152	5	38	241	7	1	34	3	2	6	3	6	12	83	30	14	17	-502	""	""
"157"	153	12	121	15	2	8	43	1	0	4	1	10	3	4	3	6	5	-238	""	""
"158"	154	31	123	78	3	3	28	1	0	5	8	6	4	14	9	6	13	-332	""	""
"159"	155	7	73	104	11	4	48	1	4	5	12	6	4	66	5	10	16	-376	""	""
"160"	156	15	144	100	3	10	65	4	4	8	4	7	5	68	12	6	10	-465	""	""
"161"	157	15	279	51	9	6	6	4	5	5	4	8	5	69	19	21	17	-523	""	""
"162"	158	3	60	82	4	3	95	8	0	10	73	4	2	2	9	6	11	-372	""	""
"163"	159	4	94	94	4	7	157	5	7	11	113	17	1	26	7	8	12	-567	""	""
"164"	160	25	229	154	6	10	198	6	8	15	19	9	5	35	11	9	10	-749	""	""
"165"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"166"	161	16	209	141	7	6	72	2	9	5	19	13	3	14	15	8	14	-553	""	""
"167"	162	10	109	239	14	1	48	4	6	7	10	4	1	23	7	9	3	-495	""	""
"168"	163	25	293	88	7	14	136	5	10	10	4	22	5	30	11	26	27	-713	""	""
"169"	164	7	225	103	11	3	67	1	2	7	14	11	3	7	16	23	25	-525	""	""
"170"	165	16	87	75	2	3	220	3	3	11	1	14	2	40	5	7	3	-492	""	""
"171"	166	26	66	61	4	12	142	9	7	13	5	8	8	45	12	7	12	-437	""	""
"172"	167	29	38	14	1	9	673	3	4	5	0	4	1	26	4	0	0	-811	""	""
"173"	168	20	18	119	15	6	71	8	2	10	9	4	3	8	5	1	10	-309	""	""
"174"	169	31	29	8	0	4	253	4	1	10	2	7	2	4	4	3	8	-370	""	""
"175"	170	40	161	221	12	3	79	4	1	2	4	7	1	16	8	1	19	-579	""	""
"176"	171	11	199	365	6	4	42	1	4	4	4	2	2	22	17	7	12	-702	""	""
"177"	172	44	80	184	8	5	85	8	3	4	8	11	1	9	12	2	11	-475	""	""
"178"	173	40	190	200	4	1	15	0	4	1	2	2	0	3	10	7	3	-482	""	""
"179"	174	2	69	1	1	1	145	1	0	2	0	1	0	3	4	0	3	-233	""	""
"180"	175	186	52	286	13	7	62	5	5	14	5	4	0	17	20	3	16	-695	""	""
"181"	176	162	48	69	4	9	247	14	4	17	5	13	0	10	5	1	5	-613	""	""
"182"	177	32	95	36	8	6	116	7	4	13	2	3	4	55	0	3	10	-394	""	""
"183"	178	0	3	6	634	3	9	0	0	0	0	0	0	0	1	0	0	-656	""	""
"184"	179	0	21	2	430	4	0	0	0	0	0	0	1	2	0	0	1	-461	""	""
"185"	180	17	206	72	4	1	35	3	2	2	5	4	4	11	10	7	31	-414	""	""
"186"	181	93	106	46	6	8	111	2	2	0	1	9	1	11	8	7	18	-429	""	""
"187"	182	13	96	262	23	3	136	6	4	12	4	4	3	7	18	3	8	-602	""	""
"188"	183	44	72	217	8	8	80	5	6	9	3	1	1	38	4	1	6	-503	""	""
"189"	184	10	25	73	2	2	173	2	2	6	1	11	0	2	8	1	4	-322	""	""
"190"	185	8	105	119	9	6	120	3	4	4	3	4	0	2	1	0	11	-399	""	""
"191"	186	12	95	67	22	2	63	0	1	5	4	3	0	2	2	4	42	-324	""	""
"192"	187	13	47	196	70	16	48	2	5	8	5	2	4	41	10	2	6	-475	""	""
"193"	188	53	24	53	10	3	65	7	1	3	1	7	1	12	6	2	7	-255	""	""
"194"	189	11	46	124	79	0	32	0	0	1	0	1	1	3	0	0	2	-300	""	""
"195"	190	7	5	10	2	4	249	2	1	8	1	6	1	0	1	0	1	-298	""	""
"196"	191	2	8	65	17	4	176	4	1	2	2	3	0	1	3	0	1	-289	""	""
"197"	192	25	51	68	10	2	238	2	1	2	11	5	2	3	3	3	6	-432	""	""
"198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"199"	193	10	10	103	17	2	56	5	4	5	4	2	0	15	6	4	8	-251	""	""
"200"	194	18	19	23	5	22	444	13	1	15	3	13	4	1	4	2	4	-591	""	""
"201"	195	10	181	151	10	6	122	1	5	9	6	13	3	21	26	11	17	-592	""	""
"202"	196	27	229	51	6	8	151	6	6	6	4	11	1	8	9	2	8	-533	""	""
"203"	197	32	319	25	5	8	161	6	5	9	0	6	3	24	1	3	4	-611	""	""
"204"	198	6	392	4	0	4	168	1	0	2	1	8	0	1	5	0	2	-594	""	""
"205"	199	36	364	22	6	18	127	5	5	11	1	11	3	3	10	2	6	-630	""	""
"206"	200	30	236	29	2	8	115	2	0	3	2	11	1	18	7	4	16	-484	""	""
"207"	201	13	369	124	5	8	113	0	4	6	3	8	1	6	12	7	27	-706	""	""
"208"	202	5	54	87	8	4	38	2	3	5	6	8	0	3	15	7	19	-264	""	""
"209"	203	10	29	148	3	8	147	12	3	12	7	27	3	3	15	4	28	-459	""	""
"210"	204	6	30	108	4	10	111	4	3	10	8	14	1	3	13	5	4	-334	""	""
"211"	205	15	31	56	4	12	136	8	2	8	4	10	3	1	3	3	4	-300	""	""
"212"	206	9	250	27	5	9	50	5	0	2	1	6	2	7	14	17	26	-430	""	""
"213"	207	5	35	89	17	9	91	3	2	11	4	11	1	6	10	5	14	-313	""	""
"214"	208	2	30	0	0	6	597	1	0	3	1	5	1	1	2	0	4	-653	""	""
"215"	209	1	17	1	0	2	489	1	0	0	0	1	0	0	2	0	1	-515	""	""
"216"	210	1	70	0	0	3	284	2	1	5	1	2	0	0	2	0	0	-371	""	""
"217"	211	1	18	0	0	7	597	2	0	1	1	2	0	1	1	1	0	-632	""	""
"218"	NA	3604	23577	29529	2780	1132	21742	667	606	1375	1077	1483	736	9064	1996	1108	3301	103777	""	""
"219"	NA	NA	NA	NA	NA	NA	NA	NA	NA	103777	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	103785	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
