"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 170- JAMUI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency- 2,48,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"86"	"68"	"0"	"672"	"3"	"5"	"0"	""	"0"	"0"	"0"	"0"	"1"	"681"	"&"	"681"	"&"	""
"87"	"69"	"14"	"130"	"32"	"254"	"11"	""	"10"	"85"	"9"	"3"	"12"	"560"	"&"	"560"	"&"	""
"88"	"70"	"0"	"1"	"1"	"234"	"0"	""	"0"	"3"	"0"	"1"	"0"	"240"	"&"	"240"	"&"	""
"89"	"71"	"1"	"33"	"9"	"248"	"2"	""	"1"	"29"	"0"	"1"	"3"	"327"	"&"	"327"	"&"	""
"90"	"72"	"3"	"30"	"4"	"299"	"8"	""	"4"	"44"	"5"	"4"	"6"	"407"	"&"	"407"	"&"	""
"91"	"73"	"8"	"105"	"15"	"417"	"8"	""	"9"	"53"	"5"	"4"	"7"	"631"	"&"	"631"	"&"	""
"92"	"74"	"9"	"99"	"20"	"56"	"4"	""	"0"	"9"	"5"	"1"	"6"	"209"	"&"	"209"	"&"	""
"93"	"75"	"19"	"243"	"25"	"85"	"3"	""	"3"	"9"	"1"	"2"	"1"	"391"	"&"	"391"	"&"	""
"94"	"76"	"12"	"167"	"70"	"144"	"13"	""	"7"	"26"	"5"	"3"	"9"	"456"	"&"	"456"	"&"	""
"95"	"77"	"6"	"99"	"16"	"264"	"5"	""	"5"	"36"	"2"	"2"	"7"	"442"	"&"	"442"	"&"	""
"96"	"78"	"9"	"174"	"42"	"193"	"5"	""	"10"	"25"	"1"	"5"	"11"	"475"	"&"	"475"	"&"	""
"97"	"79"	"11"	"671"	"8"	"11"	"0"	""	"0"	"0"	"0"	"0"	"0"	"701"	"&"	"701"	"&"	""
"98"	"80"	"0"	"3"	"4"	"750"	"0"	""	"0"	"3"	"1"	"0"	"0"	"761"	"&"	"761"	"&"	""
"99"	"81"	"17"	"112"	"4"	"224"	"3"	""	"0"	"6"	"3"	"5"	"1"	"375"	"&"	"375"	"&"	""
"100"	"82"	"45"	"87"	"145"	"150"	"11"	""	"14"	"54"	"4"	"6"	"14"	"530"	"&"	"530"	"&"	""
"101"	"83"	"19"	"166"	"147"	"103"	"18"	""	"4"	"25"	"1"	"6"	"6"	"495"	"&"	"495"	"&"	""
"102"	"84"	"9"	"53"	"18"	"572"	"5"	""	"16"	"77"	"11"	"4"	"18"	"783"	"&"	"783"	"&"	""
"103"	"85"	"28"	"115"	"23"	"233"	"3"	""	"6"	"50"	"4"	"9"	"14"	"485"	"&"	"485"	"&"	""
"104"	"86"	"30"	"249"	"11"	"310"	"9"	""	"9"	"70"	"1"	"6"	"6"	"701"	"&"	"701"	"&"	""
"105"	"87"	"17"	"151"	"34"	"148"	"4"	""	"4"	"38"	"5"	"7"	"8"	"416"	"&"	"416"	"&"	""
"106"	"88"	"3"	"66"	"31"	"168"	"4"	""	"2"	"30"	"0"	"1"	"0"	"305"	"&"	"305"	"&"	""
"107"	"89"	"3"	"33"	"8"	"184"	"5"	""	"0"	"19"	"0"	"0"	"3"	"255"	"&"	"255"	"&"	""
"108"	"90"	"3"	"104"	"48"	"458"	"16"	""	"6"	"63"	"4"	"4"	"5"	"711"	"&"	"711"	"&"	""
"109"	"91"	"5"	"107"	"15"	"287"	"9"	""	"9"	"54"	"9"	"8"	"11"	"514"	"&"	"514"	"&"	""
"110"	"92"	"1"	"115"	"9"	"203"	"2"	""	"4"	"25"	"1"	"2"	"2"	"364"	"&"	"364"	"&"	""
"111"	"93"	"19"	"148"	"9"	"288"	"3"	""	"11"	"52"	"4"	"1"	"5"	"540"	"&"	"540"	"&"	""
"112"	"94"	"7"	"210"	"6"	"151"	"4"	""	"4"	"51"	"12"	"9"	"8"	"462"	"&"	"462"	"&"	""
"113"	"95"	"11"	"198"	"9"	"148"	"5"	""	"8"	"54"	"4"	"8"	"23"	"468"	"&"	"468"	"&"	""
"114"	"96"	"7"	"50"	"11"	"194"	"5"	""	"8"	"33"	"4"	"3"	"15"	"330"	"&"	"330"	"&"	""
"115"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"117"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"118"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"120"	"97"	"21"	"199"	"27"	"178"	"6"	""	"8"	"46"	"7"	"10"	"13"	"515"	"&"	"515"	"&"	""
"121"	"98"	"22"	"154"	"33"	"160"	"6"	""	"8"	"26"	"2"	"2"	"9"	"422"	"&"	"422"	"&"	""
"122"	"99"	"13"	"163"	"10"	"244"	"4"	""	"2"	"39"	"5"	"4"	"2"	"486"	"&"	"486"	"&"	""
"123"	"100"	"10"	"180"	"10"	"408"	"5"	""	"8"	"50"	"5"	"1"	"9"	"686"	"&"	"686"	"&"	""
"124"	"101"	"2"	"67"	"12"	"316"	"5"	""	"24"	"50"	"2"	"1"	"7"	"486"	"&"	"486"	"&"	""
"125"	"102"	"2"	"35"	"17"	"264"	"11"	""	"21"	"97"	"6"	"5"	"14"	"472"	"&"	"472"	"&"	""
"126"	"103"	"14"	"103"	"51"	"310"	"8"	""	"14"	"63"	"8"	"6"	"22"	"599"	"&"	"599"	"&"	""
"127"	"104"	"0"	"502"	"1"	"0"	"0"	""	"0"	"0"	"0"	"0"	"1"	"504"	"&"	"504"	"&"	""
"128"	"105"	"17"	"153"	"109"	"268"	"16"	""	"14"	"60"	"10"	"7"	"12"	"666"	"&"	"666"	"&"	""
"129"	"106"	"1"	"72"	"5"	"44"	"1"	""	"2"	"2"	"1"	"0"	"2"	"130"	"&"	"130"	"&"	""
"130"	"107"	"21"	"222"	"49"	"399"	"3"	""	"5"	"71"	"5"	"4"	"12"	"791"	"&"	"791"	"&"	""
"131"	"108"	"5"	"197"	"8"	"146"	"8"	""	"5"	"32"	"3"	"4"	"10"	"418"	"&"	"418"	"&"	""
"132"	"109"	"11"	"182"	"15"	"185"	"4"	""	"4"	"61"	"1"	"1"	"7"	"471"	"&"	"471"	"&"	""
"133"	"110"	"10"	"483"	"15"	"404"	"5"	""	"2"	"40"	"2"	"1"	"4"	"966"	"&"	"966"	"&"	""
"134"	"111"	"5"	"139"	"10"	"231"	"1"	""	"1"	"53"	"0"	"1"	"1"	"442"	"&"	"442"	"&"	""
"135"	"112"	"8"	"489"	"22"	"286"	"4"	""	"2"	"50"	"6"	"7"	"18"	"892"	"&"	"892"	"&"	""
"136"	"113"	"2"	"596"	"25"	"168"	"0"	""	"1"	"22"	"2"	"0"	"0"	"816"	"&"	"816"	"&"	""
"137"	"114"	"11"	"141"	"22"	"303"	"5"	""	"12"	"66"	"10"	"11"	"20"	"601"	"&"	"601"	"&"	""
"138"	"115"	"9"	"362"	"9"	"126"	"8"	""	"4"	"50"	"7"	"5"	"13"	"593"	"&"	"593"	"&"	""
"139"	"116"	"11"	"227"	"22"	"174"	"5"	""	"8"	"63"	"5"	"8"	"18"	"541"	"&"	"541"	"&"	""
"140"	"117"	"9"	"64"	"1"	"208"	"4"	""	"4"	"62"	"5"	"4"	"17"	"378"	"&"	"378"	"&"	""
"141"	"118"	"7"	"52"	"25"	"225"	"3"	""	"5"	"45"	"1"	"3"	"8"	"374"	"&"	"374"	"&"	""
"142"	"119"	"132"	"54"	"6"	"115"	"5"	""	"7"	"29"	"9"	"3"	"15"	"375"	"&"	"375"	"&"	""
"143"	"120"	"19"	"97"	"5"	"171"	"4"	""	"11"	"50"	"3"	"4"	"10"	"374"	"&"	"374"	"&"	""
"144"	"121"	"9"	"372"	"5"	"140"	"2"	""	"5"	"35"	"4"	"11"	"15"	"598"	"&"	"598"	"&"	""
"145"	"122"	"24"	"358"	"12"	"181"	"5"	""	"7"	"42"	"11"	"16"	"11"	"667"	"&"	"667"	"&"	""
"146"	"123"	"11"	"114"	"60"	"317"	"15"	""	"11"	"45"	"3"	"1"	"5"	"582"	"&"	"582"	"&"	""
"147"	"124"	"15"	"135"	"9"	"237"	"12"	""	"18"	"44"	"14"	"6"	"19"	"509"	"&"	"509"	"&"	""
"148"	"125"	"17"	"160"	"17"	"221"	"5"	""	"6"	"33"	"5"	"2"	"8"	"474"	"&"	"474"	"&"	""
"149"	"126"	"16"	"60"	"8"	"231"	"8"	""	"10"	"57"	"9"	"8"	"39"	"446"	"&"	"446"	"&"	""
"150"	"127"	"4"	"144"	"8"	"101"	"5"	""	"6"	"56"	"4"	"3"	"7"	"338"	"&"	"338"	"&"	""
"151"	"128"	"27"	"191"	"17"	"149"	"6"	""	"7"	"51"	"17"	"11"	"35"	"511"	"&"	"511"	"&"	""
"152"	"129"	"1"	"1107"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1108"	"&"	"1108"	"&"	""
"153"	"130"	"1"	"515"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"516"	"&"	"516"	"&"	""
"154"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"156"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"157"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"159"	"131"	"35"	"322"	"23"	"69"	"8"	""	"9"	"26"	"4"	"8"	"21"	"525"	"&"	"525"	"&"	""
"160"	"132"	"1"	"488"	"9"	"1"	"0"	""	"0"	"1"	"0"	"0"	"0"	"500"	"&"	"500"	"&"	""
"161"	"133"	"7"	"75"	"10"	"143"	"2"	""	"5"	"35"	"8"	"4"	"14"	"303"	"&"	"303"	"&"	""
"162"	"134"	"6"	"28"	"132"	"148"	"5"	""	"6"	"27"	"5"	"4"	"17"	"378"	"&"	"378"	"&"	""
"163"	"135"	"22"	"181"	"110"	"330"	"13"	""	"13"	"78"	"8"	"7"	"13"	"775"	"&"	"775"	"&"	""
"164"	"136"	"4"	"218"	"32"	"183"	"2"	""	"2"	"22"	"2"	"1"	"3"	"469"	"&"	"469"	"&"	""
"165"	"137"	"77"	"117"	"20"	"430"	"20"	""	"12"	"108"	"9"	"4"	"21"	"818"	"&"	"818"	"&"	""
"166"	"138"	"29"	"232"	"14"	"212"	"5"	""	"7"	"49"	"7"	"5"	"7"	"567"	"&"	"567"	"&"	""
"167"	"139"	"17"	"280"	"8"	"155"	"8"	""	"5"	"51"	"4"	"11"	"30"	"569"	"&"	"569"	"&"	""
"168"	"140"	"4"	"485"	"22"	"25"	"2"	""	"0"	"8"	"1"	"2"	"2"	"551"	"&"	"551"	"&"	""
"169"	"141"	"18"	"109"	"29"	"120"	"10"	""	"10"	"35"	"4"	"5"	"11"	"351"	"&"	"351"	"&"	""
"170"	"142"	"36"	"151"	"42"	"213"	"14"	""	"17"	"62"	"6"	"7"	"24"	"572"	"&"	"572"	"&"	""
"171"	"143"	"26"	"107"	"14"	"287"	"10"	""	"7"	"70"	"3"	"2"	"11"	"537"	"&"	"537"	"&"	""
"172"	"144"	"12"	"692"	"7"	"19"	"1"	""	"1"	"2"	"0"	"3"	"4"	"741"	"&"	"741"	"&"	""
"173"	"145"	"4"	"587"	"23"	"17"	"0"	""	"4"	"3"	"1"	"1"	"1"	"641"	"&"	"641"	"&"	""
"174"	"146"	"22"	"553"	"6"	"21"	"4"	""	"2"	"10"	"2"	"0"	"1"	"621"	"&"	"621"	"&"	""
"175"	"147"	"16"	"75"	"228"	"126"	"10"	""	"8"	"15"	"6"	"1"	"3"	"488"	"&"	"488"	"&"	""
"176"	"148"	"1"	"159"	"13"	"196"	"2"	""	"16"	"35"	"0"	"1"	"2"	"425"	"&"	"425"	"&"	""
"177"	"149"	"18"	"288"	"25"	"170"	"11"	""	"3"	"23"	"7"	"10"	"14"	"569"	"&"	"569"	"&"	""
"178"	"150"	"1"	"58"	"86"	"305"	"1"	""	"4"	"9"	"0"	"0"	"0"	"464"	"&"	"464"	"&"	""
"179"	"151"	"43"	"445"	"29"	"51"	"7"	""	"6"	"15"	"3"	"4"	"8"	"611"	"&"	"611"	"&"	""
"180"	"152"	"12"	"72"	"29"	"212"	"7"	""	"11"	"39"	"6"	"10"	"18"	"416"	"&"	"416"	"&"	""
"181"	"153"	"56"	"460"	"24"	"149"	"8"	""	"13"	"46"	"15"	"19"	"50"	"840"	"&"	"840"	"&"	""
"182"	"154"	"2"	"24"	"134"	"451"	"4"	""	"1"	"4"	"0"	"0"	"0"	"620"	"&"	"620"	"&"	""
"183"	"155"	"1"	"49"	"503"	"147"	"0"	""	"0"	"0"	"0"	"0"	"0"	"700"	"&"	"700"	"&"	""
"184"	"156"	"2"	"744"	"12"	"31"	"1"	""	"1"	"8"	"0"	"0"	"2"	"801"	"&"	"801"	"&"	""
"185"	"157"	"0"	"583"	"8"	"20"	"0"	""	"1"	"1"	"0"	"0"	"0"	"613"	"&"	"613"	"&"	""
"186"	"158"	"1"	"744"	"5"	"0"	"0"	""	"1"	"0"	"0"	"0"	"0"	"751"	"&"	"751"	"&"	""
"187"	"159"	"7"	"85"	"12"	"351"	"9"	""	"9"	"49"	"8"	"3"	"22"	"555"	"&"	"555"	"&"	""
"188"	"160"	"17"	"239"	"29"	"206"	"5"	""	"4"	"29"	"7"	"8"	"12"	"556"	"&"	"556"	"&"	""
"189"	"161"	"14"	"174"	"12"	"238"	"8"	""	"6"	"44"	"4"	"5"	"15"	"520"	"&"	"520"	"&"	""
"190"	"162"	"1"	"69"	"99"	"814"	"3"	""	"0"	"3"	"0"	"0"	"2"	"991"	"&"	"991"	"&"	""
