"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"11"	"4"	""	"21"	""	""	""	"94"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"374"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	"502"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"45"	""	""	""	"566"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"35"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"651"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"651"	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"48"	""	""	""	"110"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"168"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"168"	""	""	""	""	""	""	""	""	""
"14"	"7"	""	"24"	""	""	""	"313"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"352"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""
"15"	"8"	""	"269"	""	""	""	"13"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"298"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""
"16"	"9"	""	"233"	""	""	""	"22"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"263"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""
"17"	"10"	""	"106"	""	""	""	"54"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"36"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"235"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"235"	""	""	""	""	""	""	""	""	""
"18"	"11"	""	"4"	""	""	""	"26"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"260"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	"305"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""
"19"	"12"	""	"424"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"425"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""
"20"	"13"	""	"174"	""	""	""	"91"	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	"28"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	"344"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""
"21"	"14"	""	"113"	""	""	""	"209"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"89"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"419"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	"1639"	""	""	""	"1784"	""	""	""	""	"56"	""	""	""	""	""	"16"	""	""	""	""	"1339"	""	""	""	""	""	""	"44"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"120"	""	""	""	""	""	""	"40"	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	"5116"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5116"	""	""	""	""	""	""	""	""	""
"23"	"Place      Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date        27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Total No. of Electors in Assembly Constitu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Round No. ……            2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
"32"	"of"	"AJAY PASWAN"	""	"JITAN  RAM MANJHI"	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""
"33"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"34"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"1"	"2"	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""
"36"	"15"	"621"	""	"39"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"10"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"671"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"671"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"16"	"0"	""	"592"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"22"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"615"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"615"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"17"	"71"	""	"79"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"109"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"18"	"1"	""	"702"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"43"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"751"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"751"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"19"	"158"	""	"72"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	"332"	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"20"	"79"	""	"21"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"502"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"613"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"613"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"21"	"219"	""	"15"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	"222"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"22"	"4"	""	"22"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"291"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"23"	"0"	""	"103"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"407"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"24"	"26"	""	"111"	""	""	""	"62"	""	""	""	""	"14"	""	""	""	""	""	"375"	""	""	""	""	"13"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"633"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"633"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"25"	"240"	""	"155"	""	""	""	"40"	""	""	""	""	"8"	""	""	""	""	""	"45"	""	""	""	""	"14"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"26"	"59"	""	"173"	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	""	"266"	""	""	""	""	"21"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"21"	""	""	""	""	""	"5"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"27"	"29"	""	"64"	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	""	"113"	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"64"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"28"	"206"	""	"35"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total"	"1713"	""	"2183"	""	""	""	"143"	""	""	""	""	"47"	""	""	""	""	""	"2739"	""	""	""	""	"70"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"61"	""	""	""	""	""	"22"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	"143"	""	""	""	""	""	""	"7241"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7241"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
