"PART.I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"44"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"45"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"46"	"B.F."	"4874"	"200"	"7042"	"757"	"151"	"141"	"112"	"348"	"13625"	"0"	"13625"	"0"
"47"	"29"	"216"	"15"	"541"	"29"	"5"	"17"	"9"	"15"	"847"	""	"847"	""
"48"	"30"	"255"	"12"	"321"	"7"	"2"	"12"	"2"	"9"	"620"	""	"620"	""
"49"	"31"	"69"	"13"	"306"	"26"	"8"	"10"	"4"	"8"	"444"	""	"444"	""
"50"	"32"	"139"	"1"	"77"	"82"	"2"	"1"	"1"	"9"	"312"	""	"312"	""
"51"	"33"	"283"	"8"	"221"	"18"	"7"	"19"	"9"	"10"	"575"	""	"575"	""
"52"	"34"	"268"	"6"	"193"	"96"	"3"	"2"	"2"	"7"	"577"	""	"577"	""
"53"	"35"	"215"	"11"	"327"	"39"	"7"	"8"	"5"	"11"	"623"	""	"623"	""
"54"	"36"	"94"	"6"	"416"	"14"	"2"	"7"	"1"	"11"	"551"	""	"551"	""
"55"	"37"	"110"	"6"	"263"	"21"	"5"	"3"	"3"	"17"	"428"	""	"428"	""
"56"	"38"	"221"	"9"	"387"	"19"	"11"	"7"	"7"	"10"	"671"	""	"671"	""
"57"	"39"	"11"	"0"	"283"	"1"	"0"	"0"	"0"	"0"	"295"	""	"295"	""
"58"	"40"	"112"	"6"	"129"	"93"	"9"	"11"	"6"	"32"	"398"	""	"398"	""
"59"	"41"	"13"	"5"	"435"	"35"	"0"	"9"	"0"	"5"	"502"	""	"502"	""
"60"	"42"	"101"	"13"	"314"	"62"	"14"	"18"	"8"	"19"	"549"	""	"549"	""
"61"	"Page Total"	"6981"	"311"	"11255"	"1299"	"226"	"265"	"169"	"511"	"21017"	"0"	"21017"	"0"
"62"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"66"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"67"	"B.F."	"6981"	"311"	"11255"	"1299"	"226"	"265"	"169"	"511"	"21017"	"0"	"21017"	"0"
"68"	"43"	"254"	"6"	"339"	"21"	"8"	"8"	"2"	"10"	"648"	""	"648"	""
"69"	"44"	"196"	"9"	"158"	"57"	"11"	"12"	"4"	"23"	"470"	""	"470"	""
"70"	"45"	"237"	"5"	"136"	"69"	"7"	"1"	"5"	"17"	"477"	""	"477"	""
"71"	"46"	"400"	"11"	"286"	"23"	"12"	"17"	"7"	"35"	"791"	""	"791"	""
"72"	"47"	"56"	"1"	"369"	"19"	"2"	"0"	"0"	"1"	"448"	""	"448"	""
"73"	"48"	"384"	"9"	"184"	"14"	"5"	"3"	"5"	"9"	"613"	""	"613"	""
"74"	"49"	"215"	"7"	"235"	"6"	"4"	"5"	"3"	"13"	"488"	""	"488"	""
"75"	"50"	"248"	"4"	"194"	"6"	"1"	"1"	"0"	"4"	"458"	""	"458"	""
"76"	"51"	"224"	"6"	"261"	"17"	"4"	"3"	"4"	"11"	"530"	""	"530"	""
"77"	"52"	"143"	"7"	"205"	"8"	"6"	"8"	"1"	"4"	"382"	""	"382"	""
"78"	"53"	"110"	"5"	"223"	"3"	"0"	"2"	"0"	"0"	"343"	""	"343"	""
"79"	"54"	"224"	"15"	"296"	"17"	"6"	"9"	"8"	"19"	"594"	""	"594"	""
"80"	"55"	"84"	"3"	"233"	"17"	"5"	"4"	"1"	"1"	"348"	""	"348"	""
"81"	"56"	"419"	"18"	"319"	"9"	"8"	"2"	"8"	"14"	"797"	""	"797"	""
"82"	"Page Total"	"10175"	"417"	"14693"	"1585"	"305"	"340"	"217"	"672"	"28404"	"0"	"28404"	"0"
"83"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"87"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"88"	"B.F."	"10175"	"417"	"14693"	"1585"	"305"	"340"	"217"	"672"	"28404"	"0"	"28404"	"0"
"89"	"57"	"222"	"12"	"144"	"9"	"6"	"7"	"7"	"23"	"430"	""	"430"	""
"90"	"58"	"166"	"9"	"153"	"19"	"5"	"13"	"4"	"24"	"393"	""	"393"	""
"91"	"59"	"154"	"13"	"172"	"9"	"5"	"15"	"7"	"26"	"401"	""	"401"	""
"92"	"60"	"247"	"24"	"295"	"37"	"13"	"13"	"16"	"27"	"672"	""	"672"	""
"93"	"61"	"192"	"10"	"275"	"21"	"10"	"14"	"10"	"28"	"560"	""	"560"	""
"94"	"62"	"29"	"2"	"454"	"4"	"1"	"0"	"0"	"1"	"491"	""	"491"	""
"95"	"63"	"49"	"3"	"55"	"128"	"2"	"1"	"0"	"1"	"239"	""	"239"	""
"96"	"64"	"53"	"5"	"36"	"86"	"2"	"1"	"1"	"4"	"188"	""	"188"	""
"97"	"65"	"412"	"9"	"48"	"66"	"6"	"6"	"6"	"18"	"571"	""	"571"	""
"98"	"66"	"156"	"4"	"313"	"52"	"12"	"23"	"4"	"13"	"577"	""	"577"	""
"99"	"67"	"91"	"4"	"229"	"58"	"11"	"15"	"5"	"14"	"427"	""	"427"	""
"100"	"68"	"195"	"10"	"311"	"23"	"13"	"23"	"7"	"26"	"608"	""	"608"	""
"101"	"69"	"117"	"2"	"223"	"43"	"4"	"3"	"2"	"3"	"397"	""	"397"	""
"102"	"70"	"40"	"7"	"65"	"150"	"21"	"7"	"4"	"15"	"309"	""	"309"	""
"103"	"Page Total"	"12298"	"531"	"17466"	"2290"	"416"	"481"	"290"	"895"	"34667"	"0"	"34667"	"0"
"104"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"108"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"109"	"B.F."	"12298"	"531"	"17466"	"2290"	"416"	"481"	"290"	"895"	"34667"	"0"	"34667"	"0"
"110"	"71"	"316"	"4"	"122"	"9"	"4"	"2"	"1"	"2"	"460"	""	"460"	""
"111"	"72"	"217"	"14"	"232"	"38"	"7"	"13"	"7"	"21"	"549"	""	"549"	""
"112"	"73"	"77"	"7"	"132"	"43"	"6"	"7"	"3"	"14"	"289"	""	"289"	""
"113"	"74"	"148"	"9"	"173"	"72"	"10"	"14"	"6"	"17"	"449"	""	"449"	""
"114"	"75"	"123"	"7"	"219"	"26"	"4"	"4"	"13"	"14"	"410"	""	"410"	""
"115"	"76"	"51"	"8"	"151"	"218"	"14"	"9"	"6"	"13"	"470"	""	"470"	""
"116"	"77"	"49"	"7"	"220"	"180"	"19"	"15"	"13"	"18"	"521"	""	"521"	""
"117"	"78"	"99"	"4"	"269"	"200"	"5"	"7"	"9"	"17"	"610"	""	"610"	""
"118"	"79"	"195"	"5"	"128"	"15"	"3"	"1"	"1"	"2"	"350"	""	"350"	""
"119"	"80"	"22"	"3"	"793"	"2"	"2"	"1"	"1"	"1"	"825"	""	"825"	""
"120"	"81"	"102"	"8"	"381"	"22"	"4"	"10"	"2"	"7"	"536"	""	"536"	""
"121"	"82"	"250"	"5"	"233"	"7"	"2"	"7"	"2"	"14"	"520"	""	"520"	""
"122"	"83"	"109"	"9"	"302"	"16"	"6"	"3"	"2"	"7"	"454"	""	"454"	""
"123"	"84"	"311"	"21"	"150"	"28"	"5"	"6"	"7"	"17"	"545"	""	"545"	""
"124"	"Page Total"	"14367"	"642"	"20971"	"3166"	"507"	"580"	"363"	"1059"	"41655"	"0"	"41655"	"0"
"125"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"129"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"130"	"B.F."	"14367"	"642"	"20971"	"3166"	"507"	"580"	"363"	"1059"	"41655"	"0"	"41655"	"0"
"131"	"85"	"28"	"10"	"380"	"86"	"12"	"18"	"7"	"13"	"554"	""	"554"	""
"132"	"86"	"146"	"5"	"334"	"16"	"14"	"13"	"4"	"12"	"544"	""	"544"	""
"133"	"87"	"201"	"6"	"236"	"49"	"8"	"12"	"7"	"18"	"537"	""	"537"	""
"134"	"88"	"170"	"19"	"394"	"38"	"15"	"14"	"9"	"42"	"701"	""	"701"	""
"135"	"89"	"118"	"7"	"57"	"96"	"2"	"2"	"2"	"5"	"289"	""	"289"	""
"136"	"90"	"26"	"3"	"477"	"17"	"8"	"7"	"1"	"3"	"542"	""	"542"	""
"137"	"91"	"56"	"4"	"282"	"43"	"3"	"11"	"1"	"7"	"407"	""	"407"	""
"138"	"92"	"1"	"1"	"343"	"12"	"1"	"0"	"0"	"2"	"360"	""	"360"	""
"139"	"93"	"269"	"11"	"195"	"15"	"5"	"4"	"3"	"20"	"522"	""	"522"	""
"140"	"94"	"279"	"10"	"145"	"10"	"2"	"3"	"6"	"8"	"463"	""	"463"	""
"141"	"95"	"224"	"15"	"389"	"34"	"12"	"18"	"6"	"26"	"724"	""	"724"	""
"142"	"96"	"99"	"9"	"155"	"12"	"0"	"4"	"0"	"3"	"282"	""	"282"	""
"143"	"97"	"43"	"1"	"338"	"4"	"0"	"2"	"2"	"0"	"390"	""	"390"	""
"144"	"98"	"35"	"8"	"235"	"47"	"9"	"3"	"2"	"11"	"350"	""	"350"	""
"145"	"Page Total"	"16062"	"751"	"24931"	"3645"	"598"	"691"	"413"	"1229"	"48320"	"0"	"48320"	"0"
"146"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"150"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"151"	"B.F."	"16062"	"751"	"24931"	"3645"	"598"	"691"	"413"	"1229"	"48320"	"0"	"48320"	"0"
"152"	"99"	"85"	"4"	"88"	"21"	"5"	"2"	"0"	"1"	"206"	""	"206"	""
"153"	"100"	"68"	"4"	"366"	"45"	"2"	"1"	"1"	"1"	"488"	""	"488"	""
"154"	"101"	"133"	"5"	"188"	"105"	"3"	"7"	"3"	"6"	"450"	""	"450"	""
"155"	"102"	"37"	"0"	"765"	"50"	"3"	"5"	"2"	"2"	"864"	""	"864"	""
"156"	"103"	"73"	"25"	"171"	"96"	"13"	"16"	"7"	"24"	"425"	""	"425"	""
"157"	"104"	"32"	"10"	"123"	"33"	"2"	"3"	"3"	"3"	"209"	""	"209"	""
"158"	"105"	"135"	"7"	"83"	"82"	"11"	"1"	"4"	"7"	"330"	""	"330"	""
"159"	"106"	"48"	"10"	"250"	"42"	"8"	"6"	"4"	"8"	"376"	""	"376"	""
"160"	"107"	"107"	"14"	"203"	"135"	"20"	"11"	"4"	"22"	"516"	""	"516"	""
"161"	"108"	"15"	"4"	"66"	"38"	"2"	"5"	"4"	"0"	"134"	""	"134"	""
"162"	"109"	"73"	"5"	"101"	"106"	"3"	"2"	"3"	"2"	"295"	""	"295"	""
"163"	"110"	"42"	"1"	"295"	"32"	"9"	"4"	"9"	"13"	"405"	""	"405"	""
"164"	"111"	"20"	"5"	"335"	"56"	"1"	"6"	"0"	"6"	"429"	""	"429"	""
"165"	"112"	"8"	"9"	"130"	"66"	"15"	"2"	"4"	"12"	"246"	""	"246"	""
"166"	"Page Total"	"16938"	"854"	"28095"	"4552"	"695"	"762"	"461"	"1336"	"53693"	"0"	"53693"	"0"
"167"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"171"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"172"	"B.F."	"16938"	"854"	"28095"	"4552"	"695"	"762"	"461"	"1336"	"53693"	"0"	"53693"	"0"
"173"	"113"	"25"	"31"	"222"	"170"	"10"	"6"	"7"	"17"	"488"	""	"488"	""
"174"	"114"	"153"	"15"	"388"	"64"	"18"	"10"	"8"	"24"	"680"	""	"680"	""
"175"	"115"	"67"	"11"	"156"	"90"	"8"	"13"	"4"	"18"	"367"	""	"367"	""
"176"	"116"	"246"	"10"	"330"	"74"	"14"	"18"	"6"	"21"	"719"	""	"719"	""
"177"	"117"	"83"	"1"	"35"	"59"	"0"	"0"	"1"	"0"	"179"	""	"179"	""
"178"	"118"	"33"	"13"	"428"	"92"	"5"	"7"	"1"	"7"	"586"	""	"586"	""
"179"	"119"	"192"	"11"	"187"	"32"	"5"	"10"	"10"	"25"	"472"	""	"472"	""
"180"	"120"	"147"	"9"	"192"	"35"	"7"	"14"	"6"	"23"	"433"	""	"433"	""
"181"	"121"	"163"	"23"	"183"	"154"	"14"	"13"	"6"	"31"	"587"	""	"587"	""
"182"	"122"	"66"	"45"	"215"	"40"	"14"	"14"	"10"	"14"	"418"	""	"418"	""
"183"	"123"	"35"	"2"	"49"	"81"	"3"	"3"	"2"	"9"	"184"	""	"184"	""
"184"	"124"	"4"	"0"	"150"	"6"	"6"	"0"	"0"	"6"	"172"	""	"172"	""
"185"	"125"	"13"	"6"	"376"	"17"	"1"	"2"	"2"	"4"	"421"	""	"421"	""
"186"	"126"	"26"	"45"	"185"	"78"	"13"	"9"	"15"	"24"	"395"	""	"395"	""
"187"	"Page Total"	"18191"	"1076"	"31191"	"5544"	"813"	"881"	"539"	"1559"	"59794"	"0"	"59794"	"0"
"188"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"192"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"193"	"B.F."	"18191"	"1076"	"31191"	"5544"	"813"	"881"	"539"	"1559"	"59794"	"0"	"59794"	"0"
"194"	"127"	"126"	"8"	"133"	"9"	"3"	"4"	"4"	"8"	"295"	""	"295"	""
"195"	"128"	"66"	"5"	"210"	"123"	"15"	"10"	"5"	"27"	"461"	""	"461"	""
"196"	"129"	"173"	"85"	"238"	"131"	"25"	"13"	"5"	"15"	"685"	""	"685"	""
"197"	"130"	"218"	"17"	"324"	"121"	"11"	"12"	"8"	"17"	"728"	""	"728"	""
"198"	"131"	"292"	"12"	"205"	"43"	"1"	"8"	"9"	"12"	"582"	""	"582"	""
"199"	"132"	"177"	"14"	"332"	"32"	"7"	"8"	"6"	"17"	"593"	""	"593"	""
"200"	"133"	"45"	"7"	"232"	"26"	"9"	"7"	"3"	"6"	"335"	""	"335"	""
"201"	"134"	"65"	"9"	"273"	"63"	"10"	"6"	"4"	"13"	"443"	""	"443"	""
"202"	"135"	"51"	"3"	"296"	"12"	"2"	"2"	"5"	"9"	"380"	""	"380"	""
"203"	"136"	"155"	"22"	"217"	"114"	"17"	"8"	"13"	"34"	"580"	""	"580"	""
"204"	"137"	"22"	"6"	"190"	"34"	"9"	"9"	"3"	"7"	"280"	""	"280"	""
"205"	"138"	"160"	"11"	"100"	"15"	"6"	"5"	"4"	"9"	"310"	""	"310"	""
"206"	"139"	"166"	"6"	"164"	"32"	"4"	"8"	"3"	"8"	"391"	""	"391"	""
"207"	"140"	"138"	"4"	"173"	"26"	"6"	"10"	"4"	"18"	"379"	""	"379"	""
"208"	"Page Total"	"20045"	"1285"	"34278"	"6325"	"938"	"991"	"615"	"1759"	"66236"	"0"	"66236"	"0"
"209"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"213"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"214"	"B.F."	"20045"	"1285"	"34278"	"6325"	"938"	"991"	"615"	"1759"	"66236"	"0"	"66236"	"0"
"215"	"141"	"71"	"11"	"255"	"65"	"5"	"7"	"3"	"5"	"422"	""	"422"	""
"216"	"142"	"154"	"8"	"321"	"75"	"8"	"11"	"9"	"24"	"610"	""	"610"	""
"217"	"143"	"268"	"49"	"170"	"93"	"24"	"10"	"16"	"34"	"664"	""	"664"	""
"218"	"144"	"174"	"49"	"198"	"103"	"18"	"5"	"15"	"26"	"588"	""	"588"	""
"219"	"145"	"404"	"2"	"19"	"75"	"3"	"2"	"1"	"5"	"511"	""	"511"	""
"220"	"146"	"75"	"82"	"115"	"70"	"10"	"4"	"9"	"17"	"382"	""	"382"	""
"221"	"147"	"180"	"11"	"101"	"131"	"18"	"12"	"15"	"35"	"503"	""	"503"	""
"222"	"148"	"131"	"72"	"173"	"52"	"8"	"10"	"17"	"15"	"478"	""	"478"	""
"223"	"149"	"210"	"3"	"37"	"149"	"5"	"7"	"8"	"30"	"449"	""	"449"	""
"224"	"150"	"73"	"14"	"70"	"340"	"17"	"16"	"16"	"32"	"578"	""	"578"	""
"225"	"151"	"141"	"18"	"176"	"198"	"17"	"11"	"11"	"24"	"596"	""	"596"	""
"226"	"152"	"192"	"12"	"99"	"195"	"15"	"4"	"5"	"21"	"543"	""	"543"	""
"227"	"153"	"143"	"4"	"181"	"102"	"5"	"6"	"2"	"2"	"445"	""	"445"	""
"228"	"154"	"203"	"23"	"134"	"134"	"2"	"5"	"3"	"18"	"522"	""	"522"	""
"229"	"Page Total"	"22464"	"1643"	"36327"	"8107"	"1093"	"1101"	"745"	"2047"	"73527"	"0"	"73527"	"0"
"230"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"234"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"235"	"B.F."	"22464"	"1643"	"36327"	"8107"	"1093"	"1101"	"745"	"2047"	"73527"	"0"	"73527"	"0"
"236"	"155"	"83"	"10"	"283"	"18"	"3"	"9"	"2"	"8"	"416"	""	"416"	""
"237"	"156"	"43"	"2"	"132"	"82"	"5"	"0"	"2"	"3"	"269"	""	"269"	""
"238"	"157"	"78"	"12"	"287"	"41"	"10"	"7"	"9"	"19"	"463"	""	"463"	""
"239"	"158"	"64"	"16"	"460"	"73"	"16"	"21"	"9"	"20"	"679"	""	"679"	""
"240"	"159"	"71"	"9"	"300"	"29"	"5"	"16"	"3"	"21"	"454"	""	"454"	""
"241"	"160"	"66"	"21"	"195"	"71"	"11"	"7"	"4"	"15"	"390"	""	"390"	""
"242"	"161"	"195"	"15"	"220"	"146"	"11"	"5"	"7"	"14"	"613"	""	"613"	""
"243"	"162"	"318"	"12"	"224"	"47"	"4"	"9"	"9"	"22"	"645"	""	"645"	""
"244"	"163"	"190"	"11"	"238"	"44"	"8"	"8"	"8"	"14"	"521"	""	"521"	""
