"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"20"	"14"	"18"	"236"	"8"	"40"	"0"	"1"	"3"	"0"	"3"	"3"	"0"	"3"	"0"	"-315"	"0"	"-315"	"NIL"	""
"21"	"15"	"126"	"40"	"47"	"22"	"4"	"0"	"2"	"2"	"1"	"7"	"9"	"28"	"18"	"-306"	"0"	"-306"	"NIL"	""
"22"	"16"	"66"	"209"	"18"	"20"	"32"	"5"	"7"	"5"	"8"	"6"	"18"	"132"	"54"	"-580"	"0"	"-580"	"NIL"	""
"23"	"17"	"161"	"296"	"15"	"27"	"18"	"1"	"2"	"2"	"0"	"2"	"1"	"11"	"6"	"-542"	"0"	"-542"	"NIL"	""
"24"	"18"	"85"	"91"	"11"	"7"	"0"	"1"	"4"	"3"	"1"	"4"	"9"	"170"	"13"	"-399"	"0"	"-399"	"NIL"	""
"25"	"19"	"84"	"67"	"7"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"7"	"92"	"10"	"-274"	"0"	"-274"	"NIL"	""
"26"	"20"	"146"	"151"	"25"	"11"	"3"	"1"	"0"	"2"	"0"	"4"	"12"	"6"	"15"	"-376"	"0"	"-376"	"NIL"	""
"27"	"21"	"116"	"167"	"9"	"149"	"18"	"3"	"4"	"3"	"0"	"7"	"7"	"6"	"14"	"-503"	"0"	"-503"	"NIL"	""
"28"	"22"	"82"	"196"	"15"	"28"	"182"	"9"	"7"	"1"	"4"	"4"	"18"	"32"	"15"	"-593"	"0"	"-593"	"NIL"	""
"29"	"23"	"18"	"266"	"9"	"125"	"1"	"0"	"1"	"0"	"0"	"4"	"2"	"4"	"2"	"-432"	"0"	"-432"	"NIL"	""
"30"	"24"	"8"	"343"	"11"	"48"	"4"	"0"	"1"	"0"	"1"	"0"	"5"	"3"	"3"	"-427"	"0"	"-427"	"NIL"	""
"31"	"25"	"35"	"286"	"8"	"75"	"19"	"1"	"2"	"1"	"2"	"4"	"3"	"4"	"17"	"-457"	"0"	"-457"	"NIL"	""
"32"	"26"	"74"	"191"	"150"	"84"	"11"	"1"	"5"	"3"	"5"	"18"	"5"	"9"	"11"	"-567"	"0"	"-567"	"NIL"	""
"33"	"27"	"140"	"246"	"110"	"78"	"4"	"4"	"7"	"1"	"7"	"9"	"9"	"3"	"4"	"-622"	"0"	"-622"	"NIL"	""
"34"	"28"	"214"	"237"	"9"	"14"	"2"	"4"	"7"	"2"	"1"	"3"	"3"	"5"	"7"	"-508"	"0"	"-508"	"NIL"	""
"35"	"29"	"10"	"206"	"6"	"101"	"6"	"1"	"5"	"3"	"2"	"6"	"7"	"7"	"7"	"-367"	"0"	"-367"	"NIL"	""
"36"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"37"	"30"	"6"	"187"	"65"	"38"	"3"	"2"	"2"	"2"	"0"	"2"	"5"	"7"	"6"	"-325"	"0"	"-325"	"NIL"	""
"38"	"31"	"122"	"139"	"44"	"15"	"5"	"4"	"2"	"0"	"3"	"2"	"7"	"18"	"9"	"-370"	"0"	"-370"	"NIL"	""
"39"	"32"	"180"	"91"	"44"	"33"	"1"	"3"	"4"	"3"	"3"	"6"	"11"	"7"	"45"	"-431"	"0"	"-431"	"NIL"	""
"40"	"33"	"174"	"260"	"16"	"22"	"3"	"1"	"0"	"3"	"5"	"6"	"8"	"10"	"11"	"-519"	"0"	"-519"	"NIL"	""
"41"	"34"	"132"	"217"	"4"	"26"	"4"	"4"	"5"	"0"	"1"	"1"	"4"	"20"	"10"	"-428"	"0"	"-428"	"NIL"	""
"42"	"35"	"135"	"94"	"3"	"19"	"44"	"3"	"4"	"1"	"2"	"4"	"3"	"15"	"12"	"-339"	"0"	"-339"	"NIL"	""
"43"	"36"	"126"	"188"	"0"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"17"	"0"	"-343"	"0"	"-343"	"NIL"	""
"44"	"37"	"198"	"138"	"16"	"10"	"1"	"3"	"5"	"3"	"4"	"2"	"17"	"83"	"39"	"-519"	"0"	"-519"	"NIL"	""
"45"	"38"	"119"	"234"	"8"	"3"	"0"	"1"	"0"	"4"	"1"	"0"	"8"	"116"	"4"	"-498"	"0"	"-498"	"NIL"	""
"46"	"39"	"112"	"189"	"50"	"20"	"9"	"3"	"4"	"2"	"6"	"3"	"11"	"16"	"28"	"-453"	"0"	"-453"	"NIL"	""
"47"	"40"	"127"	"83"	"9"	"7"	"0"	"2"	"7"	"1"	"2"	"4"	"4"	"89"	"18"	"-353"	"0"	"-353"	"NIL"	""
"48"	"41"	"233"	"231"	"39"	"45"	"2"	"5"	"5"	"0"	"2"	"1"	"5"	"25"	"7"	"-600"	"0"	"-600"	"NIL"	""
"49"	"42"	"4"	"174"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"71"	"0"	"-256"	"0"	"-256"	"NIL"	""
"50"	"43"	"78"	"97"	"9"	"17"	"2"	"0"	"1"	"1"	"1"	"1"	"6"	"5"	"6"	"-224"	"0"	"-224"	"NIL"	""
"51"	"44"	"132"	"67"	"7"	"15"	"4"	"1"	"2"	"1"	"3"	"5"	"4"	"41"	"15"	"-297"	"0"	"-297"	"NIL"	""
"52"	"45"	"90"	"121"	"69"	"68"	"4"	"3"	"6"	"3"	"8"	"4"	"4"	"49"	"23"	"-452"	"0"	"-452"	"NIL"	""
"53"	"46"	"112"	"218"	"22"	"111"	"6"	"7"	"15"	"7"	"7"	"15"	"15"	"21"	"30"	"-586"	"0"	"-586"	"NIL"	""
"54"	"47"	"62"	"520"	"3"	"7"	"2"	"0"	"0"	"0"	"2"	"2"	"1"	"9"	"3"	"-611"	"0"	"-611"	"NIL"	""
"55"	"48"	"15"	"237"	"3"	"1"	"1"	"1"	"3"	"0"	"1"	"1"	"1"	"1"	"3"	"-268"	"0"	"-268"	"NIL"	""
"56"	"49"	"51"	"402"	"8"	"19"	"1"	"0"	"2"	"2"	"2"	"3"	"5"	"37"	"2"	"-534"	"0"	"-534"	"NIL"	""
"57"	"50"	"10"	"599"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-615"	"0"	"-615"	"NIL"	""
"58"	"51"	"14"	"490"	"25"	"2"	"8"	"2"	"1"	"0"	"1"	"0"	"0"	"5"	"0"	"-548"	"0"	"-548"	"NIL"	""
"59"	"52"	"70"	"508"	"74"	"10"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"24"	"4"	"-698"	"0"	"-698"	"NIL"	""
"60"	"53"	"37"	"350"	"71"	"6"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"5"	"0"	"-476"	"0"	"-476"	"NIL"	""
"61"	"54"	"139"	"146"	"15"	"8"	"1"	"1"	"1"	"1"	"2"	"5"	"7"	"11"	"15"	"-352"	"0"	"-352"	"NIL"	""
"62"	"55"	"8"	"845"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"-861"	"0"	"-861"	"NIL"	""
"63"	"56"	"4"	"709"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"-715"	"0"	"-715"	"NIL"	""
"64"	"57"	"0"	"448"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"-455"	"0"	"-455"	"NIL"	""
"65"	"58"	"81"	"251"	"25"	"14"	"16"	"3"	"6"	"7"	"8"	"8"	"15"	"43"	"24"	"-501"	"0"	"-501"	"NIL"	""
"66"	"59"	"183"	"219"	"7"	"10"	"5"	"5"	"2"	"1"	"2"	"6"	"12"	"10"	"15"	"-477"	"0"	"-477"	"NIL"	""
"67"	"60"	"94"	"420"	"16"	"13"	"2"	"0"	"1"	"0"	"1"	"2"	"9"	"23"	"10"	"-591"	"0"	"-591"	"NIL"	""
"68"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"69"	"61"	"101"	"175"	"12"	"29"	"10"	"7"	"6"	"6"	"7"	"7"	"11"	"91"	"29"	"-491"	"0"	"-491"	"NIL"	""
"70"	"62"	"73"	"120"	"0"	"19"	"41"	"3"	"1"	"1"	"1"	"7"	"5"	"67"	"5"	"-343"	"0"	"-343"	"NIL"	""
"71"	"63"	"113"	"100"	"18"	"26"	"29"	"0"	"4"	"2"	"1"	"1"	"2"	"52"	"8"	"-356"	"0"	"-356"	"NIL"	""
"72"	"64"	"30"	"99"	"35"	"29"	"44"	"0"	"3"	"3"	"8"	"8"	"8"	"189"	"13"	"-469"	"0"	"-469"	"NIL"	""
"73"	"65"	"310"	"15"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"-326"	"0"	"-326"	"NIL"	""
"74"	"66"	"314"	"141"	"9"	"14"	"2"	"1"	"3"	"0"	"0"	"2"	"3"	"10"	"1"	"-500"	"0"	"-500"	"NIL"	""
"75"	"67"	"150"	"181"	"20"	"39"	"54"	"5"	"8"	"3"	"8"	"12"	"9"	"31"	"43"	"-563"	"0"	"-563"	"NIL"	""
"76"	"68"	"130"	"35"	"6"	"3"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"10"	"-191"	"0"	"-191"	"NIL"	""
"77"	"69"	"69"	"332"	"24"	"7"	"2"	"1"	"1"	"0"	"1"	"2"	"3"	"26"	"9"	"-477"	"0"	"-477"	"NIL"	""
"78"	"70"	"22"	"237"	"13"	"49"	"50"	"2"	"2"	"2"	"4"	"3"	"1"	"16"	"6"	"-407"	"0"	"-407"	"NIL"	""
"79"	"71"	"14"	"38"	"4"	"217"	"1"	"0"	"2"	"1"	"1"	"6"	"0"	"65"	"5"	"-354"	"0"	"-354"	"NIL"	""
"80"	"72"	"2"	"10"	"0"	"187"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"-205"	"0"	"-205"	"NIL"	""
"81"	"73"	"249"	"169"	"31"	"8"	"4"	"0"	"0"	"2"	"5"	"1"	"5"	"70"	"11"	"-555"	"0"	"-555"	"NIL"	""
"82"	"74"	"113"	"147"	"4"	"23"	"0"	"0"	"3"	"2"	"1"	"3"	"4"	"90"	"9"	"-399"	"0"	"-399"	"NIL"	""
"83"	"75"	"218"	"87"	"4"	"1"	"6"	"2"	"0"	"4"	"4"	"5"	"11"	"134"	"38"	"-514"	"0"	"-514"	"NIL"	""
"84"	"76"	"160"	"82"	"4"	"3"	"0"	"4"	"0"	"0"	"1"	"3"	"8"	"3"	"19"	"-287"	"0"	"-287"	"NIL"	""
"85"	"77"	"189"	"42"	"5"	"9"	"1"	"3"	"3"	"1"	"1"	"0"	"0"	"32"	"9"	"-295"	"0"	"-295"	"NIL"	""
"86"	"78"	"110"	"97"	"8"	"7"	"0"	"2"	"3"	"0"	"2"	"3"	"5"	"19"	"14"	"-270"	"0"	"-270"	"NIL"	""
"87"	"79"	"161"	"148"	"4"	"7"	"1"	"3"	"3"	"2"	"4"	"3"	"13"	"54"	"19"	"-422"	"0"	"-422"	"NIL"	""
"88"	"80"	"116"	"34"	"2"	"16"	"0"	"0"	"1"	"0"	"0"	"3"	"1"	"15"	"3"	"-191"	"0"	"-191"	"NIL"	""
"89"	"81"	"51"	"246"	"11"	"17"	"5"	"3"	"2"	"3"	"2"	"7"	"19"	"207"	"21"	"-594"	"0"	"-594"	"NIL"	""
"90"	"82"	"95"	"132"	"6"	"43"	"3"	"0"	"4"	"1"	"3"	"2"	"2"	"10"	"0"	"-301"	"0"	"-301"	"NIL"	""
"91"	"83"	"70"	"78"	"12"	"13"	"18"	"3"	"3"	"1"	"3"	"6"	"11"	"51"	"34"	"-303"	"0"	"-303"	"NIL"	""
"92"	"84"	"11"	"32"	"3"	"25"	"5"	"0"	"0"	"0"	"1"	"0"	"6"	"170"	"23"	"-276"	"0"	"-276"	"NIL"	""
"93"	"85"	"7"	"175"	"3"	"1"	"9"	"1"	"0"	"0"	"1"	"1"	"5"	"59"	"2"	"-264"	"0"	"-264"	"NIL"	""
"94"	"86"	"46"	"197"	"11"	"18"	"7"	"4"	"7"	"2"	"4"	"9"	"23"	"321"	"26"	"-675"	"0"	"-675"	"NIL"	""
"95"	"87"	"12"	"267"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"-286"	"0"	"-286"	"NIL"	""
"96"	"88"	"197"	"50"	"2"	"118"	"1"	"0"	"1"	"0"	"0"	"4"	"2"	"22"	"5"	"-402"	"0"	"-402"	"NIL"	""
"97"	"89"	"156"	"102"	"7"	"22"	"8"	"3"	"9"	"5"	"4"	"8"	"18"	"107"	"31"	"-480"	"0"	"-480"	"NIL"	""
"98"	"90"	"105"	"73"	"8"	"13"	"0"	"0"	"1"	"3"	"1"	"0"	"8"	"126"	"6"	"-344"	"0"	"-344"	"NIL"	""
"99"	"91"	"82"	"87"	"13"	"68"	"7"	"0"	"0"	"2"	"0"	"4"	"1"	"28"	"3"	"-295"	"0"	"-295"	"NIL"	""
"100"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"101"	"92"	"14"	"250"	"3"	"14"	"0"	"0"	"0"	"1"	"0"	"4"	"3"	"73"	"0"	"-362"	"0"	"-362"	"NIL"	""
"102"	"93"	"104"	"63"	"3"	"97"	"1"	"3"	"3"	"4"	"2"	"4"	"6"	"135"	"8"	"-433"	"0"	"-433"	"NIL"	""
"103"	"94"	"32"	"36"	"17"	"34"	"44"	"0"	"1"	"1"	"1"	"1"	"0"	"8"	"2"	"-177"	"0"	"-177"	"NIL"	""
"104"	"95"	"159"	"136"	"23"	"21"	"82"	"6"	"2"	"3"	"8"	"4"	"3"	"27"	"33"	"-507"	"0"	"-507"	"NIL"	""
"105"	"96"	"129"	"253"	"6"	"8"	"121"	"4"	"6"	"1"	"3"	"3"	"8"	"8"	"36"	"-586"	"0"	"-586"	"NIL"	""
"106"	"97"	"221"	"159"	"13"	"46"	"21"	"1"	"4"	"2"	"0"	"6"	"5"	"18"	"14"	"-510"	"0"	"-510"	"NIL"	""
"107"	"98"	"142"	"95"	"70"	"76"	"59"	"4"	"6"	"5"	"8"	"5"	"5"	"22"	"16"	"-513"	"0"	"-513"	"NIL"	""
"108"	"99"	"139"	"51"	"23"	"221"	"11"	"2"	"2"	"7"	"2"	"4"	"4"	"24"	"21"	"-511"	"0"	"-511"	"NIL"	""
"109"	"100"	"79"	"203"	"8"	"124"	"12"	"4"	"11"	"7"	"5"	"12"	"4"	"17"	"19"	"-505"	"0"	"-505"	"NIL"	""
"110"	"101"	"154"	"169"	"196"	"59"	"8"	"3"	"5"	"4"	"5"	"14"	"13"	"12"	"25"	"-667"	"0"	"-667"	"NIL"	""
"111"	"102"	"105"	"156"	"16"	"126"	"18"	"4"	"10"	"6"	"8"	"18"	"14"	"59"	"32"	"-572"	"0"	"-572"	"NIL"	""
"112"	"103"	"140"	"102"	"80"	"64"	"12"	"4"	"3"	"2"	"4"	"5"	"0"	"15"	"4"	"-435"	"0"	"-435"	"NIL"	""
"113"	"104"	"75"	"134"	"12"	"53"	"1"	"0"	"2"	"0"	"4"	"6"	"5"	"24"	"21"	"-337"	"0"	"-337"	"NIL"	""
"114"	"105"	"20"	"31"	"126"	"29"	"49"	"2"	"4"	"3"	"4"	"5"	"5"	"7"	"2"	"-287"	"0"	"-287"	"NIL"	""
"115"	"106"	"5"	"156"	"154"	"21"	"59"	"4"	"5"	"3"	"16"	"8"	"10"	"10"	"17"	"-468"	"0"	"-468"	"NIL"	""
"116"	"107"	"114"	"103"	"163"	"94"	"5"	"3"	"10"	"9"	"8"	"11"	"9"	"49"	"14"	"-592"	"0"	"-592"	"NIL"	""
"117"	"108"	"188"	"126"	"7"	"12"	"4"	"2"	"7"	"4"	"4"	"2"	"2"	"4"	"8"	"-370"	"0"	"-370"	"NIL"	""
"118"	"109"	"259"	"69"	"143"	"48"	"5"	"2"	"7"	"2"	"4"	"8"	"10"	"24"	"21"	"-602"	"0"	"-602"	"NIL"	""
"119"	"110"	"171"	"121"	"105"	"32"	"11"	"2"	"7"	"3"	"3"	"3"	"10"	"3"	"9"	"-480"	"0"	"-480"	"NIL"	""
"120"	"111"	"68"	"154"	"28"	"136"	"3"	"0"	"9"	"2"	"3"	"9"	"10"	"19"	"12"	"-453"	"0"	"-453"	"NIL"	""
"121"	"112"	"19"	"372"	"9"	"11"	"1"	"0"	"0"	"1"	"2"	"2"	"1"	"38"	"0"	"-456"	"0"	"-456"	"NIL"	""
"122"	"113"	"22"	"274"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"7"	"0"	"-311"	"0"	"-311"	"NIL"	""
"123"	"114"	"37"	"312"	"23"	"45"	"9"	"4"	"7"	"1"	"0"	"6"	"9"	"57"	"10"	"-520"	"0"	"-520"	"NIL"	""
"124"	"115"	"17"	"89"	"5"	"219"	"22"	"4"	"4"	"1"	"5"	"13"	"6"	"35"	"31"	"-451"	"0"	"-451"	"NIL"	""
"125"	"116"	"17"	"107"	"29"	"99"	"3"	"0"	"5"	"3"	"4"	"22"	"17"	"133"	"19"	"-458"	"0"	"-458"	"NIL"	""
"126"	"117"	"23"	"82"	"7"	"418"	"11"	"4"	"8"	"5"	"12"	"29"	"10"	"10"	"32"	"-651"	"0"	"-651"	"NIL"	""
"127"	"118"	"20"	"107"	"13"	"210"	"6"	"3"	"8"	"2"	"3"	"9"	"6"	"23"	"9"	"-419"	"0"	"-419"	"NIL"	""
"128"	"119"	"44"	"542"	"18"	"50"	"6"	"2"	"3"	"0"	"1"	"2"	"2"	"28"	"1"	"-699"	"0"	"-699"	"NIL"	""
"129"	"120"	"19"	"380"	"21"	"14"	"2"	"1"	"2"	"2"	"0"	"1"	"10"	"219"	"15"	"-686"	"0"	"-686"	"NIL"	""
"130"	"121"	"73"	"105"	"3"	"28"	"2"	"0"	"1"	"4"	"0"	"5"	"6"	"39"	"4"	"-270"	"0"	"-270"	"NIL"	""
"131"	"122"	"34"	"482"	"3"	"13"	"2"	"2"	"2"	"2"	"2"	"0"	"1"	"28"	"4"	"-575"	"0"	"-575"	"NIL"	""
"132"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"133"	"123"	"99"	"99"	"5"	"10"	"5"	"3"	"3"	"5"	"6"	"7"	"32"	"323"	"19"	"-616"	"0"	"-616"	"NIL"	""
"134"	"124"	"146"	"232"	"10"	"59"	"4"	"2"	"6"	"2"	"1"	"2"	"3"	"98"	"4"	"-569"	"0"	"-569"	"NIL"	""
"135"	"125"	"133"	"283"	"14"	"18"	"1"	"5"	"3"	"0"	"3"	"3"	"8"	"115"	"9"	"-595"	"0"	"-595"	"NIL"	""
"136"	"126"	"42"	"440"	"4"	"14"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"92"	"6"	"-601"	"0"	"-601"	"NIL"	""
"137"	"127"	"111"	"98"	"6"	"231"	"8"	"4"	"6"	"5"	"6"	"19"	"13"	"68"	"45"	"-620"	"0"	"-620"	"NIL"	""
"138"	"128"	"116"	"68"	"18"	"23"	"1"	"1"	"0"	"5"	"4"	"0"	"1"	"74"	"9"	"-320"	"0"	"-320"	"NIL"	""
"139"	"129"	"21"	"80"	"8"	"14"	"5"	"1"	"0"	"1"	"1"	"1"	"5"	"116"	"11"	"-264"	"0"	"-264"	"NIL"	""
"140"	"130"	"258"	"207"	"18"	"7"	"1"	"2"	"0"	"2"	"1"	"1"	"7"	"69"	"3"	"-576"	"0"	"-576"	"NIL"	""
"141"	"131"	"113"	"139"	"5"	"7"	"5"	"2"	"4"	"3"	"3"	"3"	"7"	"101"	"18"	"-410"	"0"	"-410"	"NIL"	""
"142"	"132"	"307"	"84"	"8"	"14"	"49"	"5"	"3"	"5"	"7"	"3"	"7"	"13"	"40"	"-545"	"0"	"-545"	"NIL"	""
"143"	"133"	"145"	"11"	"18"	"11"	"3"	"2"	"3"	"2"	"0"	"4"	"3"	"23"	"7"	"-232"	"0"	"-232"	"NIL"	""
"144"	"134"	"485"	"44"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"-535"	"0"	"-535"	"NIL"	""
"145"	"135"	"284"	"276"	"16"	"11"	"2"	"10"	"3"	"5"	"6"	"6"	"13"	"47"	"36"	"-715"	"0"	"-715"	"NIL"	""
"146"	"136"	"167"	"156"	"13"	"18"	"14"	"7"	"8"	"5"	"6"	"8"	"6"	"143"	"43"	"-594"	"0"	"-594"	"NIL"	""
"147"	"137"	"62"	"191"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"9"	"2"	"-273"	"0"	"-273"	"NIL"	""
"148"	"138"	"341"	"95"	"5"	"8"	"8"	"3"	"3"	"2"	"1"	"1"	"8"	"82"	"8"	"-565"	"0"	"-565"	"NIL"	""
"149"	"139"	"112"	"151"	"3"	"2"	"3"	"0"	"4"	"1"	"0"	"2"	"7"	"11"	"7"	"-303"	"0"	"-303"	"NIL"	""
"150"	"140"	"211"	"68"	"47"	"12"	"0"	"0"	"2"	"4"	"4"	"3"	"5"	"29"	"9"	"-394"	"0"	"-394"	"NIL"	""
"151"	"141"	"225"	"79"	"15"	"1"	"1"	"3"	"0"	"0"	"4"	"2"	"0"	"4"	"7"	"-341"	"0"	"-341"	"NIL"	""
"152"	"142"	"280"	"46"	"5"	"5"	"2"	"3"	"1"	"3"	"1"	"4"	"1"	"11"	"16"	"-378"	"0"	"-378"	"NIL"	""
"153"	"143"	"81"	"170"	"8"	"53"	"7"	"2"	"4"	"3"	"3"	"1"	"8"	"22"	"13"	"-375"	"0"	"-375"	"NIL"	""
"154"	"144"	"200"	"119"	"25"	"4"	"5"	"4"	"2"	"2"	"6"	"4"	"6"	"27"	"5"	"-409"	"0"	"-409"	"NIL"	""
"155"	"145"	"180"	"184"	"12"	"14"	"3"	"2"	"2"	"1"	"2"	"6"	"6"	"3"	"6"	"-421"	"0"	"-421"	"NIL"	""
"156"	"146"	"196"	"225"	"12"	"30"	"38"	"5"	"2"	"1"	"2"	"1"	"5"	"5"	"6"	"-528"	"0"	"-528"	"NIL"	""
