"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET SEE RULE 56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling stations other than notified polling stations) Election to the Vidhan Sabha from the 151-Gopalpur Assembly constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly constituency:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"44"	"34"	"72"	"280"	"11"	"49"	"8"	"2"	"3"	"8"	"8"	"12"	"31"	""	""	"484"	""
"45"	"35"	"85"	"64"	"4"	"28"	"2"	"1"	"1"	"2"	"1"	"1"	"3"	""	""	"192"	""
"46"	"36"	"228"	"311"	"12"	"70"	"4"	"5"	"13"	"14"	"8"	"12"	"31"	""	""	"708"	""
"47"	"37"	"35"	"250"	"4"	"5"	"2"	"2"	"1"	"3"	"8"	"8"	"11"	""	""	"329"	""
"48"	"38"	"258"	"270"	"4"	"28"	"3"	"4"	"3"	"3"	"0"	"1"	"8"	""	""	"582"	""
"49"	"39"	"394"	"173"	"7"	"52"	"5"	"12"	"6"	"9"	"14"	"24"	"57"	""	""	"753"	""
"50"	"40"	"586"	"28"	"4"	"48"	"9"	"1"	"9"	"4"	"5"	"4"	"4"	""	""	"702"	""
"51"	"41"	"706"	"28"	"3"	"7"	"1"	"1"	"0"	"1"	"0"	"6"	""	""	""	"753"	""
"52"	"42"	"631"	"20"	"2"	"4"	"5"	"1"	"1"	"0"	"0"	"0"	"9"	""	""	"673"	""
"53"	"43"	"156"	"268"	"13"	"6"	"0"	"2"	"2"	"1"	"4"	"10"	"11"	""	""	"473"	""
"54"	"44"	"139"	"170"	"10"	"3"	"4"	"5"	"10"	"3"	"8"	"9"	"14"	""	""	"375"	""
"55"	"45"	"247"	"371"	"6"	"5"	"2"	"6"	"7"	"7"	"5"	"10"	"8"	""	""	"674"	""
"56"	"46"	"91"	"291"	"6"	"4"	"4"	"4"	"0"	"2"	"9"	"3"	"2"	""	""	"416"	""
"57"	"47"	"186"	"246"	"13"	"29"	"0"	"5"	"4"	"2"	"2"	"1"	"7"	""	""	"495"	""
"58"	"48"	"119"	"303"	"3"	"28"	"1"	"12"	"2"	"4"	"3"	"6"	"13"	""	""	"494"	""
"59"	"49"	"224"	"201"	"10"	"66"	"5"	"53"	"10"	"7"	"12"	"15"	"32"	""	""	"635"	""
"60"	"50"	"138"	"289"	"8"	"7"	"2"	"7"	"6"	"3"	"8"	"10"	"10"	""	""	"488"	""
"61"	"51"	"108"	"513"	"7"	"22"	"3"	"2"	"2"	"4"	"5"	"5"	"9"	""	""	"680"	""
"62"	"52"	"251"	"85"	"6"	"3"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	""	""	"351"	""
"63"	"53"	"253"	"273"	"5"	"8"	"3"	"13"	"5"	"2"	"12"	"2"	"23"	""	""	"599"	""
"64"	"54"	"261"	"219"	"4"	"7"	"3"	"5"	"4"	"2"	"8"	"6"	"20"	""	""	"539"	""
"65"	"55"	"205"	"382"	"12"	"21"	"1"	"5"	"11"	"5"	"11"	"11"	"16"	""	""	"680"	""
"66"	"56"	"798"	"73"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	""	""	"878"	""
"67"	"C. F"	"17988"	"10716"	"353"	"1242"	"192"	"403"	"211"	"208"	"287"	"354"	"787"	""	""	"32741"	""
"68"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"70"	"B F"	"17988"	"10716"	"353"	"1242"	"192"	"403"	"211"	"208"	"287"	"354"	"787"	""	""	"32741"	""
"71"	"57"	"65"	"228"	"4"	"10"	"2"	"3"	"4"	"1"	"4"	"1"	"10"	""	""	"332"	""
"72"	"58"	"63"	"309"	"6"	"4"	"0"	"2"	"1"	"0"	"2"	"1"	"3"	""	""	"391"	""
"73"	"59"	"59"	"446"	"11"	"4"	"1"	"5"	"2"	"0"	"7"	"3"	"7"	""	""	"545"	""
"74"	"60"	"52"	"496"	"5"	"4"	"0"	"3"	"1"	"1"	"6"	"4"	"7"	""	""	"579"	""
"75"	"61"	"119"	"362"	"4"	"11"	"3"	"1"	"0"	"2"	"4"	"5"	"5"	""	""	"516"	""
"76"	"62"	"4"	"53"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"60"	""
"77"	"63"	"665"	"255"	"3"	"49"	"3"	"1"	"3"	"0"	"0"	"0"	"1"	""	""	"980"	""
"78"	"64"	"854"	"29"	"1"	"13"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	""	""	"902"	""
"79"	"65"	"249"	"74"	"2"	"59"	"4"	"0"	"4"	"3"	"5"	"4"	"16"	""	""	"420"	""
"80"	"66"	"235"	"90"	"5"	"17"	"1"	"2"	"2"	"2"	"2"	"3"	"2"	""	""	"361"	""
"81"	"67"	"264"	"144"	"15"	"45"	"7"	"6"	"6"	"3"	"10"	"10"	"40"	""	""	"550"	""
"82"	"68"	"194"	"19"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"29"	""	""	"253"	""
"83"	"69"	"362"	"34"	"1"	"3"	"8"	"2"	"1"	"2"	"2"	"4"	"21"	""	""	"440"	""
"84"	"70"	"266"	"541"	"22"	"37"	"1"	"10"	"9"	"2"	"6"	"3"	"13"	""	""	"910"	""
"85"	"71"	"194"	"294"	"1"	"9"	"2"	"3"	"6"	"6"	"16"	"9"	"21"	""	""	"561"	""
"86"	"72"	"227"	"204"	"11"	"10"	"1"	"1"	"5"	"4"	"11"	"14"	"27"	""	""	"515"	""
"87"	"73"	"390"	"212"	"3"	"20"	"14"	"4"	"3"	"1"	"3"	"3"	"7"	""	""	"660"	""
"88"	"74"	"94"	"201"	"2"	"14"	"2"	"2"	"2"	"0"	"3"	"2"	"4"	""	""	"326"	""
"89"	"75"	"400"	"88"	"3"	"5"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	""	""	"501"	""
"90"	"76"	"221"	"114"	"2"	"53"	"3"	"1"	"1"	"1"	"2"	"2"	"1"	""	""	"401"	""
"91"	"77"	"190"	"205"	"0"	"7"	"2"	"7"	"1"	"1"	"4"	"4"	"10"	""	""	"431"	""
"92"	"78"	"429"	"149"	"4"	"15"	"1"	"3"	"0"	"2"	"0"	"2"	"1"	""	""	"606"	""
"93"	"79"	"547"	"81"	"2"	"6"	"2"	"1"	"0"	"0"	"1"	"1"	"3"	""	""	"644"	""
"94"	"80"	"275"	"112"	"5"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	""	""	"400"	""
"95"	"81"	"814"	"113"	"3"	"21"	"3"	"4"	"2"	"3"	"4"	"4"	"11"	""	""	"982"	""
"96"	"82"	"567"	"152"	"9"	"21"	"7"	"1"	"4"	"4"	"5"	"9"	"22"	""	""	"801"	""
"97"	"83"	"406"	"101"	"4"	"36"	"4"	"3"	"3"	"1"	"3"	"7"	"12"	""	""	"580"	""
"98"	"84"	"354"	"30"	"2"	"7"	"0"	"0"	"1"	"1"	"0"	"5"	"16"	""	""	"416"	""
"99"	"CF"	"26547"	"15852"	"486"	"1731"	"265"	"471"	"275"	"252"	"388"	"458"	"1079"	""	""	"47804"	""
"100"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"102"	"B F"	"26547"	"15852"	"486"	"1731"	"265"	"471"	"275"	"252"	"388"	"458"	"1079"	""	""	"47804"	""
"103"	"85"	"171"	"303"	"6"	"9"	"1"	"3"	"0"	"7"	"5"	"3"	"23"	""	""	"531"	""
"104"	"86"	"166"	"281"	"4"	"82"	"4"	"5"	"13"	"7"	"11"	"10"	"37"	""	""	"620"	""
"105"	"87"	"112"	"239"	"4"	"32"	"2"	"3"	"1"	"2"	"0"	"2"	"3"	""	""	"400"	""
"106"	"88"	"981"	"30"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	""	""	"1025"	""
"107"	"89"	"59"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"62"	""
"108"	"90"	"628"	"290"	"10"	"18"	"1"	"3"	"17"	"8"	"12"	"9"	"25"	""	""	"1021"	""
"109"	"91"	"526"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"535"	""
"110"	"92"	"889"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"898"	""
"111"	"93"	"452"	"6"	"1"	"37"	"3"	"1"	"0"	"0"	"1"	"3"	"12"	""	""	"516"	""
"112"	"94"	"713"	"11"	"4"	"18"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	""	""	"751"	""
"113"	"95"	"47"	"85"	"23"	"193"	"6"	"5"	"22"	"15"	"10"	"21"	"41"	""	""	"468"	""
"114"	"96"	"53"	"19"	"2"	"112"	"4"	"2"	"1"	"1"	"1"	"1"	"6"	""	""	"202"	""
"115"	"97"	"85"	"108"	"4"	"18"	"1"	"4"	"4"	"1"	"1"	"3"	"0"	""	""	"229"	""
"116"	"98"	"45"	"210"	"8"	"20"	"1"	"6"	"2"	"1"	"13"	"2"	"7"	""	""	"315"	""
"117"	"99"	"182"	"40"	"0"	"41"	"6"	"0"	"0"	"0"	"1"	"1"	"2"	""	""	"273"	""
"118"	"100"	"134"	"183"	"9"	"76"	"6"	"3"	"8"	"3"	"10"	"7"	"8"	""	""	"447"	""
"119"	"101"	"774"	"18"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	""	""	"804"	""
"120"	"102"	"139"	"212"	"16"	"35"	"9"	"13"	"11"	"12"	"20"	"14"	"31"	""	""	"512"	""
"121"	"103"	"54"	"336"	"11"	"24"	"2"	"0"	"0"	"3"	"6"	"4"	"14"	""	""	"454"	""
"122"	"104"	"479"	"185"	"2"	"20"	"2"	"5"	"4"	"5"	"10"	"3"	"9"	""	""	"724"	""
"123"	"105"	"129"	"58"	"0"	"6"	"1"	"1"	"3"	"0"	"1"	"1"	"5"	""	""	"205"	""
"124"	"106"	"22"	"331"	"5"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	""	""	"366"	""
"125"	"107"	"38"	"89"	"19"	"34"	"5"	"3"	"286"	"9"	"15"	"12"	"31"	""	""	"541"	""
"126"	"108"	"57"	"132"	"6"	"40"	"7"	"7"	"579"	"14"	"5"	"15"	"28"	""	""	"890"	""
"127"	"109"	"282"	"1"	"0"	"36"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	""	""	"325"	""
"128"	"110"	"150"	"281"	"9"	"6"	"1"	"3"	"3"	"2"	"8"	"4"	"7"	""	""	"474"	""
"129"	"111"	"135"	"182"	"10"	"44"	"1"	"0"	"0"	"1"	"1"	"2"	"13"	""	""	"389"	""
"130"	"112"	"138"	"152"	"2"	"69"	"1"	"2"	"2"	"2"	"1"	"2"	"8"	""	""	"379"	""
"131"	"CF"	"34187"	"19646"	"644"	"2727"	"334"	"540"	"1231"	"347"	"522"	"581"	"1401"	""	""	"62160"	""
"132"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"134"	"B F"	"34187"	"19646"	"644"	"2727"	"334"	"540"	"1231"	"347"	"522"	"581"	"1401"	""	""	"62160"	""
"135"	"113"	"91"	"243"	"6"	"44"	"2"	"3"	"2"	"3"	"2"	"2"	"7"	""	""	"405"	""
"136"	"114"	"103"	"284"	"5"	"126"	"4"	"4"	"4"	"2"	"6"	"3"	"6"	""	""	"547"	""
"137"	"115"	"62"	"549"	"15"	"64"	"4"	"4"	"5"	"11"	"9"	"14"	"25"	""	""	"762"	""
"138"	"116"	"10"	"100"	"3"	"47"	"1"	"2"	"3"	"2"	"3"	"5"	"4"	""	""	"180"	""
"139"	"117"	"262"	"77"	"10"	"43"	"5"	"8"	"72"	"3"	"4"	"5"	"12"	""	""	"501"	""
"140"	"118"	"439"	"65"	"1"	"25"	"0"	"0"	"3"	"0"	"0"	"0"	"12"	""	""	"545"	""
"141"	"119"	"433"	"58"	"8"	"71"	"4"	"0"	"4"	"7"	"1"	"8"	"20"	""	""	"614"	""
"142"	"120"	"692"	"53"	"3"	"30"	"0"	"0"	"1"	"1"	"1"	"1"	"8"	""	""	"790"	""
"143"	"121"	"546"	"22"	"3"	"21"	"8"	"4"	"3"	"2"	"1"	"3"	"11"	""	""	"624"	""
"144"	"122"	"554"	"32"	"6"	"42"	"6"	"5"	"4"	"3"	"4"	"8"	"12"	""	""	"676"	""
"145"	"123"	"261"	"9"	"0"	"3"	"0"	"3"	"1"	"2"	"6"	"1"	"8"	""	""	"294"	""
"146"	"124"	"220"	"78"	"2"	"6"	"3"	"8"	"6"	"1"	"10"	"6"	"13"	""	""	"353"	""
"147"	"125"	"102"	"97"	"7"	"15"	"4"	"6"	"49"	"3"	"7"	"8"	"13"	""	""	"311"	""
"148"	"126"	"699"	"97"	"2"	"23"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	""	""	"825"	""
"149"	"127"	"317"	"132"	"4"	"16"	"7"	"2"	"6"	"6"	"4"	"9"	"28"	""	""	"531"	""
"150"	"128"	"348"	"428"	"15"	"14"	"8"	"8"	"12"	"9"	"21"	"22"	"32"	""	""	"917"	""
"151"	"129"	"212"	"527"	"11"	"5"	"1"	"5"	"7"	"5"	"10"	"16"	"23"	""	""	"822"	""
"152"	"130"	"67"	"751"	"10"	"29"	"5"	"16"	"2"	"6"	"12"	"8"	"11"	""	""	"917"	""
"153"	"131"	"88"	"620"	"15"	"6"	"3"	"15"	"1"	"4"	"2"	"2"	"8"	""	""	"764"	""
"154"	"132"	"37"	"386"	"20"	"41"	"7"	"61"	"10"	"5"	"18"	"22"	"58"	""	""	"665"	""
"155"	"133"	"202"	"357"	"10"	"4"	"3"	"1"	"3"	"4"	"7"	"10"	"4"	""	""	"605"	""
"156"	"134"	"26"	"339"	"2"	"4"	"2"	"5"	"2"	"0"	"7"	"6"	"10"	""	""	"403"	""
"157"	"135"	"728"	"22"	"2"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	""	""	"761"	""
"158"	"136"	"27"	"454"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	""	""	"488"	""
"159"	"137"	"36"	"470"	"26"	"24"	"5"	"2"	"17"	"2"	"12"	"11"	"6"	""	""	"611"	""
"160"	"138"	"31"	"607"	"5"	"3"	"0"	"2"	"0"	"1"	"3"	"10"	"6"	""	""	"668"	""
"161"	"138 K"	"31"	"351"	"5"	"2"	"1"	"5"	"7"	"1"	"8"	"10"	"16"	""	""	"437"	""
"162"	"139"	"124"	"547"	"11"	"52"	"7"	"8"	"14"	"4"	"13"	"11"	"21"	""	""	"812"	""
"163"	"CF"	"40935"	"27401"	"853"	"3492"	"425"	"718"	"1474"	"434"	"694"	"783"	"1779"	""	""	"78988"	""
"164"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"166"	"B F"	"40935"	"27401"	"853"	"3492"	"425"	"718"	"1474"	"434"	"694"	"783"	"1779"	""	""	"78988"	""
"167"	"140"	"130"	"463"	"18"	"10"	"3"	"4"	"7"	"1"	"6"	"8"	"17"	""	""	"667"	""
"168"	"141"	"69"	"252"	"3"	"3"	"4"	"2"	"1"	"0"	"5"	"0"	"2"	""	""	"341"	""
"169"	"142"	"40"	"460"	"4"	"6"	"7"	"1"	"0"	"1"	"1"	"1"	"3"	""	""	"524"	""
"170"	"143"	"33"	"402"	"3"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	""	""	"441"	""
"171"	"144"	"815"	"9"	"2"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	""	""	"844"	""
"172"	"145"	"908"	"12"	"0"	"9"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	""	""	"931"	""
"173"	"146"	"14"	"438"	"2"	"6"	"37"	"0"	"0"	"0"	"3"	"1"	"1"	""	""	"502"	""
"174"	"147"	"31"	"553"	"11"	"1"	"2"	"0"	"3"	"0"	"5"	"2"	"2"	""	""	"610"	""
"175"	"148"	"164"	"555"	"11"	"13"	"5"	"11"	"15"	"3"	"9"	"5"	"20"	""	""	"811"	""
"176"	"149"	"19"	"272"	"2"	"2"	"0"	"1"	"0"	"4"	"5"	"3"	"2"	""	""	"310"	""
"177"	"150"	"414"	"130"	"6"	"2"	"0"	"5"	"1"	"0"	"1"	"1"	"1"	""	""	"561"	""
"178"	"151"	"123"	"36"	"1"	"37"	"5"	"2"	"2"	"2"	"0"	"3"	"11"	""	""	"222"	""
"179"	"152"	"368"	"6"	"5"	"82"	"5"	"2"	"5"	"4"	"3"	"2"	"18"	""	""	"500"	""
"180"	"153"	"220"	"394"	"11"	"38"	"4"	"6"	"8"	"6"	"18"	"10"	"38"	""	""	"753"	""
"181"	"154"	"241"	"132"	"2"	"54"	"5"	"3"	"4"	"0"	"3"	"5"	"20"	""	""	"469"	""
"182"	"155"	"73"	"201"	"7"	"174"	"4"	"7"	"1"	"5"	"5"	"3"	"13"	""	""	"493"	""
"183"	"156"	"484"	"164"	"15"	"44"	"3"	"2"	"6"	"7"	"0"	"4"	"4"	""	""	"733"	""
"184"	"157"	"203"	"564"	"14"	"50"	"1"	"1"	"1"	"0"	"3"	"4"	"9"	""	""	"850"	""
"185"	"158"	"805"	"137"	"4"	"15"	"3"	"4"	"36"	"0"	"2"	"5"	"10"	""	""	"1021"	""
"186"	"159"	"129"	"331"	"13"	"47"	"3"	"8"	"6"	"2"	"9"	"4"	"13"	""	""	"565"	""
"187"	"160"	"1084"	"9"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	""	""	"1098"	""
"188"	"161"	"809"	"26"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	""	""	"844"	""
"189"	"162"	"15"	"580"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	""	"0"	""	""	"603"	""
"190"	"163"	"147"	"106"	"5"	"272"	"2"	"3"	"6"	"7"	"3"	"11"	"22"	""	""	"584"	""
"191"	"164"	"125"	"8"	"4"	"151"	"0"	"3"	"4"	"3"	"1"	"5"	"8"	""	""	"312"	""
"192"	"165"	"94"	"519"	"18"	"64"	"6"	"6"	"6"	"5"	"8"	"11"	"26"	""	""	"763"	""
"193"	"166"	"133"	"317"	"7"	"73"	"3"	"2"	"0"	"2"	"2"	"3"	"8"	""	""	"550"	""
"194"	"167"	"389"	"151"	"1"	"5"	"6"	"0"	"3"	"1"	"0"	"3"	"6"	""	""	"565"	""
"195"	"CF"	"49014"	"34628"	"1029"	"4675"	"535"	"793"	"1592"	"487"	"788"	"879"	"2035"	""	""	"96455"	""
"196"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
