"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of the Assembly :- 86 - GHANSHYAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"46"	"35"	"35"	"139"	"151"	"72"	"142"	"22"	"20"	"29"	"575"	"-"	"575"	""
"47"	"36"	"36"	"143"	"6"	"15"	"326"	"15"	"7"	"35"	"547"	"-"	"547"	""
"48"	"37"	"37"	"211"	"215"	"12"	"104"	"15"	"13"	"20"	"590"	"-"	"590"	""
"49"	"38"	"38"	"196"	"135"	"23"	"150"	"21"	"11"	"44"	"580"	"-"	"580"	""
"50"	"39"	"39"	"238"	"164"	"5"	"44"	"4"	"3"	"10"	"468"	"-"	"468"	""
"51"	"40"	"40"	"61"	"186"	"3"	"18"	"0"	"4"	"3"	"275"	"-"	"275"	""
"52"	"41"	"41"	"131"	"147"	"10"	"69"	"6"	"3"	"11"	"377"	"-"	"377"	""
"53"	"42"	"42"	"24"	"209"	"3"	"63"	"8"	"5"	"11"	"323"	"-"	"323"	""
"54"	"43"	"43"	"26"	"153"	"4"	"129"	"6"	"7"	"14"	"339"	"-"	"339"	""
"55"	"44"	"44"	"107"	"71"	"9"	"219"	"8"	"11"	"14"	"439"	"-"	"439"	""
"56"	"45"	"45"	"10"	"177"	"6"	"84"	"5"	"7"	"6"	"295"	"-"	"295"	""
"57"	"46"	"46"	"16"	"135"	"7"	"156"	"2"	"6"	"8"	"330"	"-"	"330"	""
"58"	"47"	"47"	"123"	"20"	"19"	"95"	"19"	"20"	"65"	"361"	"-"	"361"	""
"59"	"48"	"48"	"27"	"172"	"4"	"392"	"12"	"4"	"24"	"635"	"-"	"635"	""
"60"	"49"	"49"	"32"	"100"	"11"	"237"	"21"	"7"	"15"	"423"	"-"	"423"	""
"61"	"50"	"50"	"84"	"105"	"6"	"206"	"11"	"3"	"11"	"426"	"-"	"426"	""
"62"	"51"	"51"	"370"	"35"	"10"	"87"	"5"	"3"	"16"	"526"	"-"	"526"	""
"63"	"52"	"52"	"279"	"49"	"10"	"159"	"14"	"13"	"18"	"542"	"-"	"542"	""
"64"	"53"	"53"	"112"	"16"	"10"	"121"	"15"	"12"	"28"	"314"	"-"	"314"	""
"65"	"54"	"54"	"280"	"92"	"19"	"128"	"20"	"11"	"27"	"577"	"-"	"577"	""
"66"	"55"	"55"	"195"	"101"	"19"	"168"	"19"	"8"	"23"	"533"	"-"	"533"	""
"67"	"56"	"56"	"19"	"113"	"15"	"131"	"8"	"13"	"14"	"313"	"-"	"313"	""
"68"	"57"	"57"	"18"	"302"	"8"	"56"	"8"	"9"	"17"	"418"	"-"	"418"	""
"69"	"58"	"58"	"178"	"142"	"17"	"89"	"20"	"16"	"40"	"502"	"-"	"502"	""
"70"	"59"	"59"	"46"	"123"	"7"	"107"	"9"	"5"	"18"	"315"	"-"	"315"	""
"71"	"60"	"60"	"52"	"303"	"6"	"68"	"1"	"3"	"2"	"435"	"-"	"435"	""
"72"	"61"	"61"	"324"	"17"	"7"	"34"	"6"	"6"	"16"	"410"	"-"	"410"	""
"73"	"62"	"62"	"530"	"6"	"4"	"56"	"2"	"2"	"5"	"605"	"-"	"605"	""
"74"	"63"	"63"	"209"	"182"	"15"	"61"	"14"	"15"	"35"	"531"	"-"	"531"	""
"75"	"64"	"64"	"164"	"196"	"11"	"20"	"7"	"1"	"14"	"413"	"-"	"413"	""
"76"	"65"	"65"	"78"	"270"	"5"	"42"	"0"	"2"	"8"	"405"	"-"	"405"	""
"77"	"66"	"66"	"241"	"39"	"20"	"271"	"20"	"22"	"49"	"662"	"-"	"662"	""
"78"	"67"	"67"	"165"	"45"	"5"	"89"	"8"	"2"	"9"	"323"	"-"	"323"	""
"79"	"68"	"68"	"493"	"4"	"2"	"8"	"1"	"0"	"2"	"510"	"-"	"510"	""
"80"	"69"	"69"	"515"	"26"	"17"	"24"	"5"	"5"	"12"	"604"	"-"	"604"	""
"81"	"70"	"70"	"306"	"20"	"11"	"88"	"9"	"5"	"12"	"451"	"-"	"451"	""
"82"	"71"	"71"	"310"	"76"	"22"	"29"	"3"	"2"	"6"	"448"	"-"	"448"	""
"83"	"72"	"72"	"294"	"41"	"19"	"164"	"15"	"10"	"30"	"573"	"-"	"573"	""
"84"	"73"	"73"	"241"	"13"	"6"	"87"	"10"	"6"	"21"	"384"	"-"	"384"	""
"85"	"74"	"74"	"232"	"24"	"9"	"253"	"19"	"10"	"15"	"562"	"-"	"562"	""
"86"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"87"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"88"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"89"	"75"	"75"	"112"	"13"	"20"	"254"	"16"	"12"	"31"	"458"	"-"	"458"	""
"90"	"76"	"76"	"452"	"29"	"8"	"45"	"4"	"4"	"4"	"546"	"-"	"546"	""
"91"	"77"	"77"	"184"	"25"	"13"	"65"	"14"	"2"	"22"	"325"	"-"	"325"	""
"92"	"78"	"78"	"285"	"29"	"16"	"209"	"17"	"11"	"37"	"604"	"-"	"604"	""
"93"	"79"	"79"	"365"	"28"	"12"	"93"	"16"	"6"	"21"	"541"	"-"	"541"	""
"94"	"80"	"80"	"407"	"14"	"9"	"171"	"6"	"2"	"7"	"616"	"-"	"616"	""
"95"	"81"	"81"	"172"	"45"	"14"	"337"	"34"	"11"	"41"	"654"	"-"	"654"	""
"96"	"82"	"82"	"279"	"37"	"8"	"108"	"8"	"6"	"4"	"450"	"-"	"450"	""
"97"	"83"	"83"	"246"	"26"	"13"	"267"	"19"	"19"	"32"	"622"	"-"	"622"	""
"98"	"84"	"84"	"89"	"32"	"7"	"218"	"16"	"11"	"20"	"393"	"-"	"393"	""
"99"	"85"	"85"	"188"	"24"	"10"	"42"	"9"	"10"	"13"	"296"	"-"	"296"	""
"100"	"86"	"86"	"219"	"111"	"13"	"65"	"10"	"4"	"7"	"429"	"-"	"429"	""
"101"	"87"	"87"	"88"	"17"	"4"	"219"	"10"	"4"	"18"	"360"	"-"	"360"	""
"102"	"88"	"88"	"64"	"2"	"5"	"263"	"9"	"6"	"10"	"359"	"-"	"359"	""
"103"	"89"	"89"	"172"	"46"	"10"	"286"	"19"	"14"	"32"	"579"	"-"	"579"	""
"104"	"90"	"90"	"234"	"84"	"16"	"169"	"5"	"12"	"15"	"535"	"-"	"535"	""
"105"	"91"	"91"	"174"	"88"	"8"	"112"	"10"	"7"	"28"	"427"	"-"	"427"	""
"106"	"92"	"92"	"89"	"222"	"3"	"11"	"2"	"6"	"12"	"345"	"-"	"345"	""
"107"	"93"	"93"	"45"	"44"	"7"	"367"	"11"	"5"	"9"	"488"	"-"	"488"	""
"108"	"94"	"94"	"112"	"189"	"13"	"59"	"6"	"2"	"2"	"383"	"-"	"383"	""
"109"	"95"	"95"	"69"	"40"	"9"	"192"	"19"	"7"	"34"	"370"	"-"	"370"	""
"110"	"96"	"96"	"99"	"20"	"11"	"276"	"15"	"8"	"19"	"448"	"-"	"448"	""
"111"	"97"	"97"	"86"	"186"	"7"	"11"	"7"	"4"	"6"	"307"	"-"	"307"	""
"112"	"98"	"98"	"74"	"22"	"9"	"140"	"15"	"12"	"29"	"301"	"-"	"301"	""
"113"	"99"	"99"	"202"	"90"	"7"	"59"	"8"	"6"	"13"	"385"	"-"	"385"	""
"114"	"100"	"100"	"198"	"177"	"12"	"162"	"10"	"3"	"17"	"579"	"-"	"579"	""
"115"	"101"	"101"	"167"	"170"	"11"	"155"	"13"	"9"	"29"	"554"	"-"	"554"	""
"116"	"102"	"102"	"118"	"40"	"24"	"167"	"31"	"9"	"27"	"416"	"-"	"416"	""
"117"	"103"	"103"	"226"	"158"	"21"	"74"	"19"	"10"	"39"	"547"	"-"	"547"	""
"118"	"104"	"104"	"114"	"58"	"16"	"168"	"56"	"10"	"34"	"456"	"-"	"456"	""
"119"	"105"	"105"	"72"	"6"	"1"	"568"	"1"	"1"	"0"	"649"	"-"	"649"	""
"120"	"106"	"106"	"289"	"38"	"8"	"103"	"7"	"4"	"6"	"455"	"-"	"455"	""
"121"	"107"	"107"	"165"	"115"	"34"	"114"	"7"	"1"	"4"	"440"	"-"	"440"	""
"122"	"108"	"108"	"303"	"147"	"16"	"103"	"8"	"4"	"21"	"602"	"-"	"602"	""
"123"	"109"	"109"	"303"	"101"	"22"	"122"	"9"	"4"	"18"	"579"	"-"	"579"	""
"124"	"110"	"110"	"219"	"239"	"21"	"52"	"10"	"13"	"27"	"581"	"-"	"581"	""
"125"	"111"	"111"	"212"	"283"	"18"	"59"	"16"	"16"	"36"	"640"	"-"	"640"	""
"126"	"112"	"112"	"272"	"241"	"27"	"107"	"29"	"12"	"29"	"717"	"-"	"717"	""
"127"	"113"	"113"	"189"	"240"	"25"	"151"	"18"	"6"	"28"	"657"	"-"	"657"	""
"128"	"114"	"114"	"117"	"122"	"14"	"127"	"19"	"14"	"46"	"459"	"-"	"459"	""
"129"	"115"	"115"	"52"	"11"	"15"	"529"	"25"	"14"	"28"	"674"	"-"	"674"	""
"130"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"131"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"132"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"133"	"116"	"116"	"48"	"2"	"1"	"291"	"7"	"3"	"2"	"354"	"-"	"354"	""
"134"	"117"	"117"	"55"	"0"	"1"	"339"	"10"	"1"	"4"	"410"	"-"	"410"	""
"135"	"118"	"118"	"73"	"38"	"9"	"213"	"21"	"10"	"20"	"384"	"-"	"384"	""
"136"	"119"	"119"	"71"	"24"	"10"	"175"	"14"	"10"	"13"	"317"	"-"	"317"	""
"137"	"120"	"120"	"274"	"34"	"14"	"82"	"6"	"4"	"7"	"421"	"-"	"421"	""
"138"	"121"	"121"	"284"	"63"	"13"	"52"	"8"	"4"	"18"	"442"	"-"	"442"	""
"139"	"122"	"122"	"105"	"292"	"13"	"263"	"19"	"12"	"25"	"729"	"-"	"729"	""
"140"	"123"	"123"	"74"	"407"	"6"	"45"	"2"	"4"	"13"	"551"	"-"	"551"	""
"141"	"124"	"124"	"129"	"320"	"8"	"113"	"3"	"10"	"6"	"589"	"-"	"589"	""
"142"	"125"	"125"	"42"	"279"	"6"	"112"	"4"	"3"	"6"	"452"	"-"	"452"	""
"143"	"126"	"126"	"118"	"74"	"4"	"21"	"6"	"4"	"14"	"241"	"-"	"241"	""
"144"	"127"	"127"	"244"	"158"	"14"	"93"	"25"	"18"	"32"	"584"	"-"	"584"	""
"145"	"128"	"128"	"312"	"25"	"12"	"79"	"15"	"12"	"32"	"487"	"-"	"487"	""
"146"	"129"	"129"	"113"	"219"	"17"	"56"	"10"	"9"	"11"	"435"	"-"	"435"	""
"147"	"130"	"130"	"56"	"169"	"7"	"41"	"4"	"6"	"10"	"293"	"-"	"293"	""
"148"	"131"	"131"	"58"	"20"	"7"	"502"	"20"	"1"	"27"	"635"	"-"	"635"	""
"149"	"132"	"132"	"86"	"83"	"27"	"272"	"29"	"12"	"41"	"550"	"-"	"550"	""
"150"	"133"	"133"	"87"	"38"	"16"	"186"	"18"	"19"	"42"	"406"	"-"	"406"	""
"151"	"134"	"134"	"55"	"281"	"1"	"45"	"0"	"0"	"2"	"384"	"-"	"384"	""
"152"	"135"	"135"	"210"	"323"	"12"	"11"	"3"	"5"	"12"	"576"	"-"	"576"	""
"153"	"136"	"136"	"163"	"25"	"5"	"171"	"12"	"16"	"31"	"423"	"-"	"423"	""
"154"	"137"	"137"	"172"	"8"	"13"	"241"	"24"	"16"	"28"	"502"	"-"	"502"	""
"155"	"138"	"138"	"100"	"9"	"13"	"495"	"26"	"11"	"30"	"684"	"-"	"684"	""
"156"	"139"	"139"	"166"	"48"	"9"	"89"	"12"	"12"	"28"	"364"	"-"	"364"	""
"157"	"140"	"140"	"251"	"47"	"12"	"65"	"9"	"7"	"14"	"405"	"-"	"405"	""
"158"	"141"	"141"	"227"	"27"	"4"	"67"	"10"	"4"	"17"	"356"	"-"	"356"	""
"159"	"142"	"142"	"81"	"492"	"9"	"86"	"2"	"5"	"8"	"683"	"-"	"683"	""
"160"	"143"	"143"	"105"	"534"	"7"	"37"	"2"	"0"	"5"	"690"	"-"	"690"	""
"161"	"144"	"144"	"61"	"197"	"9"	"43"	"7"	"4"	"14"	"335"	"-"	"335"	""
"162"	"145"	"145"	"46"	"3"	"8"	"247"	"18"	"6"	"10"	"338"	"-"	"338"	""
"163"	"146"	"146"	"191"	"14"	"5"	"220"	"12"	"2"	"13"	"457"	"-"	"457"	""
"164"	"147"	"147"	"305"	"58"	"18"	"146"	"12"	"8"	"16"	"563"	"-"	"563"	""
"165"	"148"	"148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"0"	""
"166"	"149"	"149"	"76"	"58"	"8"	"252"	"7"	"5"	"10"	"416"	"-"	"416"	""
"167"	"150"	"150"	"75"	"127"	"15"	"183"	"9"	"5"	"17"	"431"	"-"	"431"	""
"168"	"151"	"151"	"175"	"133"	"12"	"124"	"15"	"13"	"15"	"487"	"-"	"487"	""
"169"	"152"	"152"	"166"	"154"	"13"	"229"	"18"	"12"	"22"	"614"	"-"	"614"	""
"170"	"153"	"153"	"122"	"83"	"16"	"293"	"26"	"9"	"19"	"568"	"-"	"568"	""
"171"	"154"	"154"	"392"	"94"	"30"	"168"	"17"	"6"	"20"	"727"	"-"	"727"	""
"172"	"155"	"155"	"171"	"79"	"7"	"290"	"27"	"11"	"29"	"614"	"-"	"614"	""
"173"	"156"	"156"	"174"	"161"	"20"	"125"	"10"	"20"	"39"	"549"	"-"	"549"	""
"174"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"175"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"176"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"177"	"157"	"157"	"223"	"18"	"7"	"78"	"5"	"1"	"4"	"336"	"-"	"336"	""
"178"	"158"	"158"	"64"	"23"	"11"	"159"	"11"	"5"	"14"	"287"	"-"	"287"	""
"179"	"159"	"159"	"105"	"182"	"8"	"15"	"4"	"3"	"6"	"323"	"-"	"323"	""
"180"	"160"	"160"	"390"	"80"	"9"	"13"	"7"	"4"	"10"	"513"	"-"	"513"	""
"181"	"161"	"161"	"328"	"35"	"5"	"52"	"6"	"3"	"22"	"451"	"-"	"451"	""
"182"	"162"	"162"	"131"	"141"	"15"	"126"	"6"	"8"	"21"	"448"	"-"	"448"	""
"183"	"163"	"163"	"302"	"58"	"4"	"45"	"6"	"6"	"13"	"434"	"-"	"434"	""
"184"	"164"	"164"	"258"	"108"	"10"	"204"	"18"	"10"	"31"	"639"	"-"	"639"	""
"185"	"165"	"165"	"689"	"18"	"1"	"16"	"1"	"4"	"5"	"734"	"-"	"734"	""
"186"	"166"	"166"	"241"	"166"	"12"	"119"	"12"	"8"	"36"	"594"	"-"	"594"	""
"187"	"167"	"167"	"367"	"102"	"2"	"30"	"0"	"28"	"4"	"533"	"-"	"533"	""
"188"	"168"	"168"	"77"	"125"	"6"	"34"	"4"	"9"	"4"	"259"	"-"	"259"	""
"189"	"169"	"169"	"139"	"140"	"9"	"9"	"1"	"11"	"15"	"324"	"-"	"324"	""
"190"	"170"	"170"	"160"	"163"	"11"	"76"	"33"	"18"	"15"	"476"	"-"	"476"	""
"191"	"171"	"171"	"136"	"234"	"3"	"46"	"7"	"5"	"11"	"442"	"-"	"442"	""
"192"	"172"	"172"	"190"	"45"	"13"	"69"	"11"	"15"	"34"	"377"	"-"	"377"	""
"193"	"173"	"173"	"99"	"178"	"14"	"24"	"6"	"5"	"13"	"339"	"-"	"339"	""
"194"	"174"	"174"	"88"	"293"	"14"	"77"	"11"	"3"	"7"	"493"	"-"	"493"	""
"195"	"175"	"175"	"227"	"14"	"6"	"63"	"2"	"2"	"6"	"320"	"-"	"320"	""
"196"	"176"	"176"	"172"	"199"	"16"	"87"	"11"	"7"	"25"	"517"	"-"	"517"	""
"197"	"177"	"177"	"228"	"39"	"10"	"99"	"26"	"14"	"31"	"447"	"-"	"447"	""
"198"	"178"	"178"	"59"	"243"	"8"	"57"	"8"	"9"	"23"	"407"	"-"	"407"	""
"199"	"179"	"179"	"94"	"229"	"7"	"85"	"6"	"8"	"10"	"439"	"-"	"439"	""
"200"	"180"	"180"	"27"	"13"	"1"	"235"	"2"	"1"	"5"	"284"	"-"	"284"	""
"201"	"181"	"181"	"33"	"6"	"7"	"338"	"10"	"0"	"3"	"397"	"-"	"397"	""
"202"	"182"	"182"	"38"	"332"	"32"	"40"	"8"	"8"	"13"	"471"	"-"	"471"	""
"203"	"183"	"183"	"285"	"186"	"4"	"203"	"40"	"12"	"32"	"762"	"-"	"762"	""
"204"	"184"	"184"	"58"	"90"	"6"	"50"	"7"	"1"	"14"	"226"	"-"	"226"	""
"205"	"185"	"185"	"90"	"101"	"6"	"341"	"34"	"14"	"28"	"614"	"-"	"614"	""
"206"	"186"	"186"	"141"	"46"	"22"	"120"	"31"	"11"	"12"	"383"	"-"	"383"	""
"207"	"187"	"187"	"152"	"202"	"12"	"18"	"7"	"7"	"15"	"413"	"-"	"413"	""
"208"	"188"	"188"	"80"	"91"	"11"	"243"	"44"	"11"	"18"	"498"	"-"	"498"	""
"209"	"189"	"189"	"82"	"147"	"12"	"139"	"15"	"7"	"14"	"416"	"-"	"416"	""
"210"	"190"	"190"	"62"	"236"	"6"	"181"	"11"	"6"	"14"	"516"	"-"	"516"	""
"211"	"191"	"191"	"35"	"19"	"3"	"300"	"11"	"12"	"16"	"396"	"-"	"396"	""
"212"	"192"	"192"	"84"	"104"	"8"	"233"	"17"	"3"	"19"	"468"	"-"	"468"	""
"213"	"193"	"193"	"53"	"73"	"3"	"198"	"9"	"2"	"14"	"352"	"-"	"352"	""
"214"	"194"	"194"	"68"	"124"	"13"	"214"	"14"	"15"	"12"	"460"	"-"	"460"	""
"215"	"195"	"195"	"139"	"279"	"9"	"66"	"12"	"13"	"32"	"550"	"-"	"550"	""
"216"	"196"	"196"	"182"	"258"	"19"	"120"	"19"	"11"	"34"	"643"	"-"	"643"	""
"217"	"197"	"197"	"127"	"59"	"19"	"199"	"25"	"17"	"42"	"488"	"-"	"488"	""
"218"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"219"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"220"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"221"	"198"	"198"	"302"	"239"	"16"	"21"	"6"	"15"	"26"	"625"	"-"	"625"	""
"222"	"199"	"199"	"224"	"224"	"21"	"52"	"9"	"16"	"15"	"561"	"-"	"561"	""
"223"	"200"	"200"	"259"	"16"	"3"	"70"	"6"	"3"	"14"	"371"	"-"	"371"	""
"224"	"201"	"201"	"290"	"152"	"9"	"91"	"15"	"10"	"19"	"586"	"-"	"586"	""
"225"	"202"	"202"	"129"	"226"	"16"	"164"	"42"	"15"	"37"	"629"	"-"	"629"	""
"226"	"203"	"203"	"61"	"108"	"14"	"188"	"34"	"24"	"40"	"469"	"-"	"469"	""
"227"	"204"	"204"	"103"	"294"	"20"	"108"	"84"	"17"	"28"	"654"	"-"	"654"	""
"228"	"205"	"205"	"173"	"109"	"14"	"69"	"30"	"16"	"14"	"425"	"-"	"425"	""
"229"	"206"	"206"	"249"	"24"	"10"	"41"	"6"	"6"	"20"	"356"	"-"	"356"	""
"230"	"207"	"207"	"46"	"126"	"24"	"202"	"71"	"6"	"21"	"496"	"-"	"496"	""
"231"	"208"	"208"	"157"	"94"	"7"	"47"	"9"	"4"	"21"	"339"	"-"	"339"	""
"232"	"209"	"209"	"55"	"450"	"18"	"69"	"15"	"3"	"6"	"616"	"-"	"616"	""
"233"	"Total No. of votes recording at polling Stations"	""	"35110"	"25252"	"2494"	"28730"	"2759"	"1752"	"4000"	"100097"	"-"	"100097"	""
"234"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"1"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"1"	"-"	"1"	""
"235"	"Total Votes polled"	""	"35110"	"25253"	"2494"	"28730"	"2759"	"1752"	"4000"	"100098"	"-"	"100098"	""
"236"	"Place :   DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Date  :   27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
