"Booths"	"CANDIDATES"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"95"	"89"	336	1	34	3	1	3	0	26	0	0	4	1	1	1	4	-415
"96"	"90"	309	0	35	0	2	0	0	17	0	0	3	0	0	1	1	-368
"97"	"91"	312	1	55	2	3	1	2	122	6	0	2	0	3	3	3	-515
"98"	"92"	349	0	18	1	3	2	1	53	2	0	1	0	0	2	3	-435
"99"	"93"	149	3	250	4	8	2	2	100	1	3	0	2	1	2	3	-530
"100"	"94"	202	1	53	1	3	0	2	54	2	1	0	0	0	1	0	-320
"101"	"95"	364	4	137	6	2	0	0	63	4	1	1	4	5	3	12	-606
"102"	"96"	276	5	35	3	1	0	1	162	1	2	3	0	0	0	2	-491
"103"	"97"	259	6	129	7	1	1	3	108	5	3	6	1	2	1	5	-537
"104"	"98"	210	7	116	7	2	4	2	191	5	3	8	1	1	3	1	-561
"105"	"99"	240	1	37	3	3	2	2	90	2	3	1	1	0	1	2	-388
"106"	"100"	368	1	84	4	6	0	1	40	4	0	0	2	2	16	4	-532
"107"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"109"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	"101"	277	5	62	5	6	8	0	109	10	1	0	1	1	7	2	-494
"111"	"102"	10	2	173	6	5	7	6	172	14	6	2	1	4	3	10	-421
"112"	"103"	57	2	49	2	0	1	1	300	16	2	0	2	2	6	3	-443
"113"	"104"	46	2	32	4	1	0	2	300	4	1	3	0	0	1	0	-396
"114"	"105"	20	1	17	2	5	5	10	382	27	3	16	3	1	9	14	-515
"115"	"106"	157	8	155	8	6	31	11	153	20	5	7	2	0	4	5	-572
"116"	"107"	36	6	182	8	1	10	3	81	6	4	6	1	11	11	12	-378
"117"	"108"	434	4	11	4	1	10	2	46	4	0	1	1	5	1	7	-531
"118"	"109"	360	12	108	7	0	2	3	57	9	3	1	1	6	3	12	-584
"119"	"110"	75	17	200	15	3	73	6	109	22	9	12	9	10	7	44	-611
"120"	"111"	70	10	189	3	0	0	1	525	10	2	21	1	2	2	0	-836
"121"	"112"	193	12	285	7	0	1	0	34	0	0	3	0	0	0	1	-536
"122"	"113"	8	2	85	2	2	5	2	509	34	2	3	2	4	3	2	-665
"123"	"114"	468	6	123	4	2	1	1	174	6	3	3	2	4	6	12	-815
"124"	"115"	8	0	4	0	0	0	0	184	2	0	2	0	0	0	0	-200
"125"	"116"	117	2	104	9	1	4	3	511	11	0	22	1	0	1	1	-787
"126"	"117"	313	9	93	9	0	6	4	111	7	7	7	3	8	7	25	-609
"127"	"118"	144	5	147	6	5	84	7	50	7	3	19	5	3	6	14	-505
"128"	"119"	224	0	106	4	0	12	1	14	1	1	12	0	2	2	3	-382
"129"	"120"	25	1	11	5	8	407	9	71	11	7	5	3	6	3	6	-578
"130"	"121"	18	6	51	1	0	25	0	79	9	2	1	1	2	0	0	-195
"131"	"122"	51	3	151	5	2	0	5	262	20	3	6	1	2	2	3	-516
"132"	"123"	102	18	229	7	1	2	3	225	13	3	1	2	0	4	7	-617
"133"	"124"	182	3	83	3	2	2	3	191	9	3	1	0	1	2	2	-487
"134"	"125"	37	15	351	8	8	2	3	249	12	10	7	2	9	12	13	-738
"135"	"126"	4	0	208	7	0	0	0	11	0	0	1	0	0	7	1	-239
"136"	"127"	11	2	250	3	0	1	0	2	0	0	0	0	0	0	0	-269
"137"	"128"	11	1	81	1	1	1	5	164	18	1	0	1	3	4	3	-295
"138"	"129"	149	7	55	7	2	0	1	149	22	3	4	1	3	5	13	-421
"139"	"130"	387	5	117	6	4	1	4	69	3	0	2	1	6	4	18	-627
"140"	"131"	321	7	119	3	1	0	0	45	1	2	3	1	4	2	8	-517
"141"	"132"	121	8	36	8	5	2	5	103	11	1	4	1	1	0	5	-311
"142"	"133"	95	1	68	2	2	3	2	109	7	4	6	1	3	2	8	-313
"143"	"134"	118	5	146	8	4	1	4	234	12	0	3	5	8	2	17	-567
"144"	"135"	190	8	47	2	3	1	3	198	16	6	4	2	2	5	14	-501
"145"	"136"	389	4	13	5	0	0	4	109	2	2	1	0	1	0	5	-535
"146"	"137"	69	8	109	8	3	3	6	273	28	6	5	4	4	6	22	-554
"147"	"138"	46	0	400	1	0	0	0	9	0	0	0	1	1	0	0	-458
"148"	"139"	407	10	93	11	4	1	6	145	12	6	3	2	2	8	22	-732
"149"	"140"	220	3	69	4	0	1	4	156	5	5	3	2	4	4	4	-484
"150"	"141"	14	3	19	0	2	1	6	335	8	2	1	1	0	0	1	-393
"151"	"142"	161	1	11	6	3	2	7	238	14	1	3	2	0	3	6	-458
"152"	"143"	565	3	59	1	0	1	0	22	4	0	4	1	5	3	13	-681
"153"	"144"	145	6	143	9	5	3	7	238	16	4	5	2	2	5	14	-604
"154"	"145"	27	0	13	5	1	2	5	124	7	1	1	3	2	2	9	-202
"155"	"146"	484	10	58	14	2	0	5	99	6	0	2	1	1	4	3	-689
"156"	"147"	342	9	91	12	6	2	2	126	3	4	1	2	3	12	6	-621
"157"	"148"	205	4	184	9	2	1	8	288	12	6	4	2	6	8	8	-747
"158"	"149"	315	3	171	9	2	0	1	87	9	1	4	0	2	6	0	-610
"159"	"150"	3	0	1	3	1	1	5	358	16	2	1	0	0	0	6	-397
"160"	"151"	239	8	84	6	2	2	4	230	10	2	4	2	1	5	4	-603
"161"	"152"	137	4	185	11	7	3	17	279	24	12	3	2	10	13	23	-730
"162"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"164"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"165"	"153"	84	7	38	5	2	1	6	415	18	7	4	3	3	2	16	-611
"166"	"154"	35	8	83	10	3	3	7	446	33	12	8	10	11	17	26	-712
"167"	"155"	178	28	151	10	7	0	4	290	18	7	5	5	2	9	6	-720
"168"	"156"	388	1	157	2	1	0	0	22	0	1	0	0	1	0	0	-573
"169"	"157"	20	0	381	8	0	1	2	161	16	6	0	1	3	5	11	-615
"170"	"158"	408	13	85	5	2	3	4	111	6	4	1	2	0	3	5	-652
"171"	"159"	223	6	240	7	2	1	1	49	5	3	5	1	7	4	7	-561
"172"	"160"	201	3	119	3	2	2	2	66	2	0	2	1	3	8	3	-417
"173"	"161"	175	5	106	9	2	2	1	222	18	6	1	4	6	6	10	-573
"174"	"162"	54	4	143	7	4	1	3	378	30	8	2	2	3	3	20	-662
"175"	"163"	122	9	138	3	3	2	1	111	4	0	0	0	2	0	1	-396
"176"	"164"	191	0	15	1	3	1	6	170	10	1	6	3	0	1	2	-410
"177"	"165"	290	4	104	8	3	3	2	101	13	6	1	0	1	2	3	-541
"178"	"166"	203	16	142	8	7	3	2	133	12	0	4	5	4	7	9	-555
"179"	"167"	507	9	111	9	5	2	3	22	2	4	6	2	4	4	9	-699
"180"	"168"	317	2	18	4	11	3	1	19	0	1	1	2	1	1	7	-388
"181"	"169"	218	5	178	10	4	3	0	66	8	0	5	4	3	6	8	-518
"182"	"170"	129	12	182	9	5	3	2	166	7	4	0	1	2	3	3	-528
"183"	"171"	162	9	62	5	0	1	4	194	12	4	0	3	5	2	5	-468
"184"	"172"	183	9	179	6	1	4	9	364	18	6	6	5	3	7	9	-809
"185"	"173"	39	5	190	0	0	0	1	19	1	0	1	1	2	0	2	-261
"186"	"174"	157	9	212	18	5	1	8	161	8	4	4	3	6	5	9	-610
"187"	"175"	196	5	59	5	4	0	4	236	25	8	5	8	8	9	18	-590
"188"	"176"	192	11	128	4	7	2	6	168	17	2	4	2	6	4	8	-561
"189"	"177"	224	10	14	6	6	3	1	130	12	7	0	1	2	3	13	-432
"190"	"178"	2	0	8	0	0	0	0	122	3	1	0	0	0	1	0	-137
"191"	"179"	26	10	95	4	2	6	5	390	18	8	3	1	0	0	0	-568
"192"	"180"	79	9	128	9	4	2	2	103	18	11	7	5	12	14	19	-422
"193"	"181"	106	13	107	13	4	2	3	59	11	2	4	3	7	10	14	-358
"194"	"182"	40	9	201	6	2	4	2	148	12	2	3	2	3	1	4	-439
"195"	"183"	92	15	151	4	3	6	4	184	12	4	8	1	5	12	13	-514
"196"	"184"	227	8	225	17	3	3	7	200	18	6	10	5	13	15	25	-782
"197"	"185"	191	7	111	11	2	0	2	18	3	6	6	0	1	2	5	-365
"198"	"186"	329	29	198	5	0	3	2	60	5	6	4	3	15	5	17	-681
"199"	"187"	147	9	461	14	5	4	1	90	2	1	2	2	3	5	4	-750
"200"	"188"	401	15	178	16	7	2	5	122	18	3	2	3	1	3	5	-781
"201"	"189"	631	14	79	4	1	1	5	94	10	5	5	0	2	2	9	-862
"202"	"190"	208	10	204	20	8	5	2	300	13	11	13	6	11	4	11	-826
"203"	"191"	62	0	46	3	0	0	0	8	0	0	0	0	0	1	1	-121
"204"	"192"	153	4	74	10	2	0	4	436	10	2	10	4	4	6	9	-728
"205"	"193"	302	6	144	9	1	1	4	246	8	3	41	1	4	2	3	-775
"206"	"194"	219	14	418	15	2	3	2	78	5	6	21	1	5	7	4	-800
"207"	"195"	225	13	356	17	5	8	7	220	22	7	13	3	8	10	10	-924
"208"	"196"	12	5	19	8	4	8	9	304	21	4	8	4	5	6	9	-426
"209"	"197"	15	5	208	6	0	3	0	6	2	0	3	0	12	13	5	-278
"210"	"198"	84	9	155	12	2	0	16	433	22	5	4	3	7	8	8	-768
"211"	"199"	100	5	188	8	5	3	5	189	15	4	2	0	3	6	3	-536
"212"	"200"	174	23	409	11	4	1	2	62	8	1	4	5	6	3	7	-720
"213"	"201"	103	7	195	4	3	2	1	41	4	1	13	1	7	4	5	-391
"214"	"202"	183	23	161	4	5	4	5	109	8	5	14	2	11	11	14	-559
"215"	"203"	117	4	287	7	0	1	4	95	5	2	1	4	13	20	6	-566
"216"	"204"	250	8	148	15	3	1	2	77	5	4	2	2	3	5	12	-537
"217"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"219"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"220"	"205"	103	6	211	15	4	3	3	158	17	6	4	3	1	1	10	-545
"221"	"206"	140	5	115	5	1	0	5	117	9	4	2	0	1	4	4	-412
"222"	"207"	367	20	85	6	11	3	0	27	3	3	12	3	9	11	21	-581
"223"	"208"	121	10	244	17	4	3	1	154	12	2	2	2	6	11	18	-607
"224"	"209"	81	3	34	1	1	0	3	417	9	0	0	0	0	1	2	-552
"225"	"210"	206	9	188	9	2	4	1	126	10	3	9	3	6	7	18	-601
"226"	"211"	269	20	241	8	4	1	2	42	1	2	1	2	2	0	4	-599
"227"	"212"	94	5	277	9	5	1	5	206	11	5	14	9	15	17	19	-692
"228"	"213"	326	30	181	11	2	2	1	63	14	6	7	5	7	15	24	-694
"229"	"214"	219	21	372	6	4	2	0	3	1	1	0	0	7	0	4	-640
"230"	"215"	256	52	287	8	3	1	1	5	0	3	2	2	11	6	13	-650
"231"	"216"	22	46	163	7	2	1	0	71	8	1	3	2	8	9	4	-347
"232"	"217"	418	16	269	7	2	2	0	73	4	5	4	3	7	4	11	-825
"233"	"218"	107	2	72	6	1	2	7	275	15	7	6	1	2	5	14	-522
"234"	"219"	348	8	83	13	2	3	1	74	6	1	0	3	3	4	6	-555
"235"	"220"	284	6	181	10	4	1	2	24	2	2	11	6	3	8	11	-555
"236"	"221"	205	9	225	12	2	1	5	53	6	7	4	7	20	5	22	-583
"237"	"222"	54	2	14	10	1	4	6	654	27	4	2	2	4	5	6	-795
"238"	"223"	45	2	401	6	0	0	1	10	0	3	0	2	1	2	0	-473
"239"	"224"	151	6	206	7	2	1	4	181	6	1	4	3	7	12	9	-600
"240"	"225"	85	4	194	5	1	0	1	6	0	0	3	2	5	1	2	-309
"241"	"226"	116	1	150	2	0	1	1	500	7	2	1	2	1	0	0	-784
"242"	"227"	127	5	146	13	4	5	3	182	7	4	3	7	15	16	26	-563
"243"	"POSTAL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"244"	"TOTAL OF
CANDIDATE"	-46595	-1659	-33258	-1508	-675	-1122	-624	-29193	-1765	-621	-1047	-419	-822	-1008	-1656	-121972
"245"	"ROUND"	1308	59	1396	93	27	47	34	1335	92	37	145	25	51	60	109	4818
"246"	"ROUND"	1992	257	2181	113	23	62	23	1471	76	28	38	18	28	58	54	6422
"247"	"ROUND"	1429	58	1589	64	12	29	30	1455	89	28	76	18	52	57	76	5062
"248"	"ROUND"	1786	56	1367	50	32	14	16	912	69	30	82	15	38	46	65	4578
"249"	"ROUND"	3151	38	2065	67	15	6	17	200	13	8	8	11	23	20	43	5685
"250"	"ROUND"	2516	33	1551	49	13	4	22	284	11	8	12	7	12	21	46	4589
"251"	"ROUND"	2844	41	1764	56	21	20	18	646	44	15	19	18	33	38	70	5647
"252"	"ROUND"	2829	32	1105	38	55	28	7	454	17	7	23	7	13	16	25	4656
"253"	"ROUND"	3577	33	932	38	94	10	10	503	24	10	18	6	11	16	21	5303
"254"	"ROUND"	2670	28	865	34	28	12	15	960	28	16	25	9	12	17	32	4751
"255"	"ROUND"	1765	43	873	50	31	74	39	1640	114	25	36	14	32	61	69	4866
"256"	"ROUND"	1620	63	1336	59	13	186	25	2221	100	27	104	23	33	34	102	5946
"257"	"ROUND"	590	56	1470	47	24	440	29	1403	114	32	26	11	26	39	48	4355
"258"	"ROUND"	2143	56	1148	54	26	12	34	1294	92	27	31	18	32	29	119	5115
"259"	"ROUND"	2478	42	818	69	23	13	45	1713	84	24	28	16	25	47	64	5489
"260"	"ROUND"	1715	75	1405	67	27	15	50	2361	146	56	31	26	38	58	104	6174
"261"	"ROUND"	2278	57	1074	62	44	22	21	1288	99	26	28	23	27	38	72	5159
"262"	"ROUND"	1310	80	1129	57	30	20	40	1950	121	44	23	25	34	34	67	4964
"263"	"ROUND"	2243	128	1839	99	31	27	33	1078	109	46	51	24	62	69	115	5954
"264"	"ROUND"	1380	71	1812	108	29	31	49	2220	118	42	115	22	59	63	63	6182
"265"	"ROUND"	1639	109	1889	85	36	18	26	1257	80	28	54	22	57	71	99	5470
"266"	"ROUND"	2265	209	2133	84	27	19	18	938	70	34	46	30	68	67	117	6125
"267"	"ROUND"	1067	35	1517	65	14	13	23	1610	55	23	28	31	56	49	76	4662
