"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"37"	"19"	"6"	"0"	"0"	"3"	"7"	"26"	"1"	"2"	"4"	"2"	"6"	"6"	"660"	"12"	"5"	"13"	"753"	""	"753"	""
"38"	"20"	"26"	"3"	"3"	"13"	"38"	"46"	"2"	"14"	"10"	"2"	"3"	"8"	"544"	"3"	"3"	"9"	"727"	""	"727"	""
"39"	"21"	"47"	"2"	"0"	"55"	"25"	"8"	"0"	"3"	"2"	"2"	"1"	"15"	"406"	"4"	"1"	"3"	"574"	""	"574"	""
"40"	"22"	"16"	"4"	"2"	"12"	"9"	"121"	"5"	"7"	"11"	"10"	"7"	"11"	"572"	"10"	"6"	"7"	"810"	""	"810"	""
"41"	"23"	"87"	"1"	"11"	"83"	"10"	"99"	"3"	"7"	"8"	"5"	"6"	"10"	"322"	"6"	"1"	"8"	"667"	""	"667"	""
"42"	"24"	"10"	"2"	"6"	"14"	"31"	"25"	"3"	"11"	"3"	"3"	"2"	"8"	"510"	"8"	"4"	"10"	"650"	""	"650"	""
"43"	"25"	"33"	"3"	"2"	"17"	"147"	"35"	"3"	"14"	"2"	"1"	"3"	"11"	"417"	"6"	"7"	"9"	"710"	""	"710"	""
"44"	"26"	"183"	"4"	"18"	"70"	"12"	"182"	"12"	"5"	"11"	"9"	"12"	"4"	"222"	"7"	"15"	"23"	"789"	""	"789"	""
"45"	"27"	"132"	"9"	"17"	"48"	"3"	"57"	"4"	"8"	"5"	"3"	"6"	"9"	"193"	"3"	"2"	"6"	"505"	""	"505"	""
"46"	"28"	"41"	"2"	"0"	"12"	"0"	"1"	"1"	"0"	"1"	"7"	"0"	"6"	"267"	"2"	"0"	"7"	"347"	""	"347"	""
"47"	"Current Round Total"	"676"	"51"	"77"	"375"	"409"	"1168"	"57"	"131"	"90"	"69"	"78"	"153"	"5565"	"77"	"54"	"143"	"9173"	"0"	"9173"	"0"
"48"	"Previous Round Total"	"932"	"65"	"325"	"166"	"392"	"2505"	"68"	"149"	"99"	"112"	"132"	"79"	"3418"	"78"	"48"	"208"	"8776"	"0"	"8776"	"0"
"49"	"TOTAL"	"1608"	"116"	"402"	"541"	"801"	"3673"	"125"	"280"	"189"	"181"	"210"	"232"	"8983"	"155"	"102"	"351"	"17949"	"0"	"17949"	"0"
"50"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"131-SIKTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"(Statutory Rules and Order)                                                       ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"58"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"59"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"60"	"29"	"86"	"2"	"2"	"7"	"4"	"43"	"9"	"8"	"6"	"1"	"0"	"11"	"444"	"2"	"18"	"10"	"653"	""	"653"	""
"61"	"30"	"82"	"5"	"2"	"26"	"14"	"12"	"0"	"7"	"7"	"5"	"6"	"10"	"555"	"7"	"10"	"15"	"763"	""	"763"	""
"62"	"31"	"223"	"11"	"6"	"10"	"5"	"17"	"5"	"12"	"3"	"2"	"3"	"4"	"84"	"4"	"4"	"5"	"398"	""	"398"	""
"63"	"32"	"6"	"0"	"0"	"4"	"4"	"18"	"1"	"3"	"5"	"0"	"2"	"5"	"275"	"3"	"0"	"3"	"329"	""	"329"	""
"64"	"33"	"257"	"19"	"6"	"53"	"74"	"38"	"5"	"16"	"13"	"20"	"11"	"12"	"64"	"9"	"11"	"24"	"632"	""	"632"	""
"65"	"34"	"137"	"9"	"7"	"13"	"57"	"59"	"8"	"10"	"15"	"8"	"9"	"9"	"188"	"12"	"16"	"23"	"580"	""	"580"	""
"66"	"35"	"157"	"8"	"2"	"18"	"32"	"91"	"3"	"8"	"7"	"5"	"5"	"15"	"206"	"8"	"40"	"34"	"639"	""	"639"	""
"67"	"36"	"147"	"2"	"2"	"14"	"40"	"185"	"6"	"8"	"4"	"7"	"22"	"16"	"186"	"8"	"15"	"27"	"689"	""	"689"	""
"68"	"37"	"47"	"5"	"2"	"13"	"113"	"71"	"5"	"18"	"8"	"4"	"13"	"15"	"528"	"9"	"6"	"17"	"874"	""	"874"	""
"69"	"38"	"96"	"5"	"7"	"6"	"10"	"92"	"3"	"11"	"4"	"4"	"4"	"4"	"470"	"6"	"1"	"6"	"729"	""	"729"	""
"70"	"39"	"108"	"1"	"1"	"15"	"9"	"84"	"5"	"6"	"3"	"5"	"8"	"11"	"246"	"4"	"12"	"14"	"532"	""	"532"	""
"71"	"40"	"50"	"2"	"2"	"10"	"19"	"6"	"2"	"4"	"1"	"1"	"4"	"8"	"340"	"3"	"0"	"3"	"455"	""	"455"	""
"72"	"41"	"62"	"2"	"2"	"2"	"23"	"9"	"3"	"11"	"6"	"1"	"6"	"17"	"483"	"5"	"3"	"7"	"642"	""	"642"	""
"73"	"42"	"2"	"3"	"4"	"3"	"184"	"358"	"11"	"6"	"5"	"9"	"16"	"5"	"49"	"3"	"5"	"23"	"686"	""	"686"	""
"74"	"Current Round Total"	"1460"	"74"	"45"	"194"	"588"	"1083"	"66"	"128"	"87"	"72"	"109"	"142"	"4118"	"83"	"141"	"211"	"8601"	"0"	"8601"	"0"
"75"	"Previous Round Total"	"1608"	"116"	"402"	"541"	"801"	"3673"	"125"	"280"	"189"	"181"	"210"	"232"	"8983"	"155"	"102"	"351"	"17949"	"0"	"17949"	"0"
"76"	"TOTAL"	"3068"	"190"	"447"	"735"	"1389"	"4756"	"191"	"408"	"276"	"253"	"319"	"374"	"13101"	"238"	"243"	"562"	"26550"	"0"	"26550"	"0"
"77"	"(Statutory Rules and Order)                                                       ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"83"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"84"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"85"	"43"	"9"	"3"	"1"	"3"	"73"	"92"	"7"	"6"	"6"	"4"	"14"	"8"	"296"	"6"	"3"	"13"	"544"	""	"544"	""
"86"	"44"	"75"	"7"	"11"	"17"	"120"	"136"	"10"	"17"	"8"	"14"	"8"	"3"	"380"	"2"	"3"	"3"	"814"	""	"814"	""
"87"	"45"	"11"	"2"	"5"	"8"	"244"	"139"	"6"	"4"	"5"	"5"	"8"	"4"	"23"	"2"	"3"	"12"	"481"	""	"481"	""
"88"	"46"	"16"	"13"	"10"	"6"	"89"	"435"	"16"	"13"	"16"	"16"	"25"	"17"	"57"	"1"	"6"	"16"	"752"	""	"752"	""
"89"	"47"	"65"	"3"	"4"	"19"	"25"	"203"	"7"	"9"	"6"	"11"	"14"	"58"	"63"	"0"	"0"	"10"	"497"	""	"497"	""
"90"	"48"	"12"	"9"	"3"	"12"	"69"	"285"	"14"	"14"	"2"	"14"	"20"	"23"	"42"	"28"	"6"	"20"	"573"	""	"573"	""
"91"	"49"	"22"	"75"	"3"	"24"	"34"	"193"	"4"	"16"	"9"	"7"	"10"	"4"	"158"	"4"	"6"	"113"	"682"	""	"682"	""
"92"	"50"	"15"	"3"	"13"	"7"	"9"	"125"	"3"	"13"	"5"	"4"	"9"	"5"	"99"	"1"	"2"	"19"	"332"	""	"332"	""
"93"	"51"	"58"	"5"	"1"	"8"	"91"	"114"	"6"	"15"	"12"	"8"	"7"	"18"	"219"	"4"	"17"	"14"	"597"	""	"597"	""
"94"	"52"	"7"	"6"	"1"	"4"	"159"	"297"	"6"	"8"	"9"	"6"	"19"	"10"	"26"	"5"	"1"	"16"	"580"	""	"580"	""
"95"	"53"	"18"	"14"	"3"	"10"	"171"	"289"	"10"	"7"	"9"	"6"	"21"	"13"	"36"	"3"	"3"	"10"	"623"	""	"623"	""
"96"	"54"	"9"	"13"	"11"	"4"	"91"	"212"	"4"	"17"	"10"	"5"	"10"	"11"	"137"	"11"	"3"	"25"	"573"	""	"573"	""
"97"	"55"	"54"	"5"	"0"	"72"	"58"	"127"	"6"	"12"	"9"	"10"	"7"	"8"	"218"	"3"	"1"	"4"	"594"	""	"594"	""
"98"	"56"	"20"	"101"	"2"	"50"	"5"	"37"	"0"	"7"	"2"	"2"	"5"	"5"	"36"	"6"	"16"	"241"	"535"	""	"535"	""
"99"	"Current Round Total"	"391"	"259"	"68"	"244"	"1238"	"2684"	"99"	"158"	"108"	"112"	"177"	"187"	"1790"	"76"	"70"	"516"	"8177"	"0"	"8177"	"0"
"100"	"Previous Round Total"	"3068"	"190"	"447"	"735"	"1389"	"4756"	"191"	"408"	"276"	"253"	"319"	"374"	"13101"	"238"	"243"	"562"	"26550"	"0"	"26550"	"0"
"101"	"TOTAL"	"3459"	"449"	"515"	"979"	"2627"	"7440"	"290"	"566"	"384"	"365"	"496"	"561"	"14891"	"314"	"313"	"1078"	"34727"	"0"	"34727"	"0"
"102"	"(Statutory Rules and Order)                                                       ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"108"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"109"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"110"	"57"	"22"	"20"	"1"	"6"	"3"	"64"	"1"	"5"	"2"	"5"	"3"	"1"	"3"	"1"	"8"	"289"	"434"	""	"434"	""
"111"	"58"	"18"	"39"	"7"	"37"	"20"	"51"	"3"	"6"	"6"	"9"	"11"	"5"	"159"	"6"	"1"	"24"	"402"	""	"402"	""
"112"	"59"	"13"	"186"	"5"	"15"	"45"	"144"	"9"	"7"	"1"	"5"	"2"	"3"	"12"	"6"	"8"	"140"	"601"	""	"601"	""
"113"	"60"	"27"	"1"	"0"	"4"	"150"	"64"	"2"	"10"	"7"	"5"	"11"	"3"	"270"	"3"	"1"	"9"	"567"	""	"567"	""
"114"	"61"	"84"	"3"	"2"	"11"	"20"	"22"	"2"	"10"	"9"	"7"	"7"	"13"	"452"	"13"	"21"	"0"	"676"	""	"676"	""
"115"	"62"	"10"	"3"	"3"	"11"	"17"	"112"	"3"	"13"	"3"	"5"	"3"	"3"	"233"	"4"	"3"	"8"	"434"	""	"434"	""
"116"	"63"	"155"	"4"	"6"	"66"	"22"	"27"	"10"	"13"	"4"	"5"	"5"	"6"	"427"	"5"	"9"	"5"	"769"	""	"769"	""
"117"	"64"	"139"	"3"	"3"	"4"	"11"	"34"	"2"	"8"	"2"	"1"	"4"	"2"	"328"	"1"	"0"	"5"	"547"	""	"547"	""
"118"	"65"	"79"	"5"	"4"	"107"	"18"	"80"	"8"	"18"	"12"	"7"	"6"	"8"	"325"	"5"	"19"	"7"	"708"	""	"708"	""
"119"	"66"	"85"	"6"	"5"	"210"	"23"	"121"	"8"	"10"	"14"	"5"	"11"	"17"	"209"	"0"	"14"	"16"	"754"	""	"754"	""
"120"	"67"	"4"	"2"	"0"	"9"	"1"	"50"	"2"	"1"	"0"	"1"	"2"	"7"	"164"	"0"	"4"	"2"	"249"	""	"249"	""
"121"	"68"	"9"	"1"	"3"	"3"	"126"	"284"	"6"	"2"	"2"	"6"	"8"	"3"	"46"	"2"	"0"	"2"	"503"	""	"503"	""
"122"	"69"	"45"	"5"	"7"	"41"	"14"	"140"	"5"	"16"	"8"	"4"	"5"	"22"	"562"	"11"	"6"	"5"	"896"	""	"896"	""
"123"	"70"	"64"	"6"	"3"	"62"	"8"	"93"	"3"	"13"	"5"	"3"	"4"	"3"	"389"	"4"	"4"	"9"	"673"	""	"673"	""
"124"	"Current Round Total"	"754"	"284"	"49"	"586"	"478"	"1286"	"64"	"132"	"75"	"68"	"82"	"96"	"3579"	"61"	"98"	"521"	"8213"	"0"	"8213"	"0"
"125"	"Previous Round Total"	"3459"	"449"	"515"	"979"	"2627"	"7440"	"290"	"566"	"384"	"365"	"496"	"561"	"14891"	"314"	"313"	"1078"	"34727"	"0"	"34727"	"0"
"126"	"TOTAL"	"4213"	"733"	"564"	"1565"	"3105"	"8726"	"354"	"698"	"459"	"433"	"578"	"657"	"18470"	"375"	"411"	"1599"	"42940"	"0"	"42940"	"0"
"127"	"(Statutory Rules and Order)                                                       ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"133"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"135"	"71"	"47"	"3"	"2"	"167"	"10"	"102"	"2"	"7"	"6"	"7"	"3"	"4"	"97"	"3"	"11"	"3"	"474"	""	"474"	""
"136"	"72"	"40"	"5"	"4"	"75"	"10"	"64"	"7"	"9"	"7"	"5"	"6"	"16"	"167"	"3"	"17"	"6"	"441"	""	"441"	""
"137"	"73"	"84"	"1"	"1"	"48"	"4"	"18"	"1"	"8"	"8"	"4"	"21"	"10"	"219"	"2"	"18"	"5"	"452"	""	"452"	""
"138"	"74"	"18"	"0"	"1"	"30"	"2"	"23"	"2"	"3"	"7"	"6"	"5"	"13"	"540"	"9"	"17"	"9"	"685"	""	"685"	""
"139"	"75"	"4"	"4"	"1"	"4"	"16"	"529"	"7"	"3"	"5"	"12"	"14"	"6"	"30"	"9"	"5"	"2"	"651"	""	"651"	""
"140"	"76"	"146"	"4"	"3"	"242"	"6"	"10"	"3"	"4"	"0"	"2"	"4"	"1"	"3"	"5"	"3"	"4"	"440"	""	"440"	""
"141"	"77"	"7"	"2"	"2"	"21"	"5"	"352"	"5"	"4"	"12"	"9"	"12"	"11"	"2"	"10"	"0"	"5"	"459"	""	"459"	""
"142"	"78"	"165"	"7"	"3"	"106"	"11"	"28"	"5"	"9"	"8"	"2"	"5"	"23"	"60"	"3"	"67"	"8"	"510"	""	"510"	""
"143"	"79"	"13"	"3"	"0"	"16"	"8"	"124"	"3"	"8"	"6"	"6"	"11"	"135"	"158"	"3"	"6"	"8"	"508"	""	"508"	""
"144"	"80"	"196"	"9"	"3"	"445"	"7"	"19"	"2"	"11"	"1"	"3"	"2"	"2"	"10"	"1"	"8"	"6"	"725"	""	"725"	""
"145"	"81"	"32"	"1"	"0"	"17"	"2"	"84"	"6"	"4"	"13"	"17"	"118"	"18"	"322"	"4"	"8"	"14"	"660"	""	"660"	""
"146"	"82"	"29"	"4"	"2"	"38"	"10"	"70"	"2"	"17"	"4"	"6"	"33"	"10"	"386"	"13"	"11"	"7"	"642"	""	"642"	""
"147"	"83"	"61"	"8"	"1"	"62"	"5"	"50"	"1"	"23"	"4"	"5"	"8"	"3"	"110"	"1"	"10"	"5"	"357"	""	"357"	""
"148"	"84"	"78"	"4"	"2"	"88"	"34"	"72"	"3"	"9"	"4"	"9"	"19"	"5"	"137"	"29"	"6"	"10"	"509"	""	"509"	""
"149"	"Current Round Total"	"920"	"55"	"25"	"1359"	"130"	"1545"	"49"	"119"	"85"	"93"	"261"	"257"	"2241"	"95"	"187"	"92"	"7513"	"0"	"7513"	"0"
"150"	"Previous Round Total"	"4213"	"733"	"564"	"1565"	"3105"	"8726"	"354"	"698"	"459"	"433"	"578"	"657"	"18470"	"375"	"411"	"1599"	"42940"	"0"	"42940"	"0"
"151"	"TOTAL"	"5133"	"788"	"589"	"2924"	"3235"	"10271"	"403"	"817"	"544"	"526"	"839"	"914"	"20711"	"470"	"598"	"1691"	"50453"	"0"	"50453"	"0"
"152"	"(Statutory Rules and Order)                                                       ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
