"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"21"	"15"	"193"	"252"	"33"	"75"	"5"	"13"	"12"	"9"	"10"	"84"	"686"	""	"686"	""
"22"	"16"	"114"	"118"	"17"	"146"	"6"	"4"	"11"	"5"	"12"	"71"	"504"	""	"504"	""
"23"	"17"	"31"	"42"	"14"	"119"	"5"	"6"	"9"	"7"	"8"	"104"	"345"	""	"345"	""
"24"	"18"	"27"	"108"	"13"	"41"	"6"	"5"	"6"	"7"	"3"	"186"	"402"	""	"402"	""
"25"	"19"	"27"	"108"	"7"	"160"	"19"	"5"	"7"	"11"	"16"	"343"	"703"	""	"703"	""
"26"	"20"	"29"	"136"	"6"	"71"	"7"	"10"	"9"	"3"	"6"	"170"	"447"	""	"447"	""
"27"	"21"	"23"	"55"	"9"	"85"	"4"	"11"	"13"	"10"	"14"	"331"	"555"	""	"555"	""
"28"	"22"	"42"	"67"	"10"	"137"	"38"	"36"	"8"	"8"	"11"	"173"	"530"	""	"530"	""
"29"	"23"	"33"	"21"	"6"	"231"	"6"	"5"	"7"	"6"	"7"	"196"	"518"	""	"518"	""
"30"	"24"	"55"	"84"	"10"	"82"	"6"	"11"	"8"	"4"	"5"	"182"	"447"	""	"447"	""
"31"	"25"	"70"	"128"	"9"	"66"	"6"	"8"	"7"	"4"	"3"	"166"	"467"	""	"467"	""
"32"	"26"	"17"	"15"	"1"	"17"	"2"	"4"	"1"	"0"	"3"	"258"	"318"	""	"318"	""
"33"	"27"	"39"	"29"	"7"	"127"	"2"	"5"	"4"	"6"	"9"	"198"	"426"	""	"426"	""
"34"	"28"	"45"	"104"	"0"	"19"	"4"	"60"	"2"	"3"	"0"	"80"	"317"	""	"317"	""
"35"	"Total Round 2"	"745"	"1267"	"142"	"1376"	"116"	"183"	"104"	"83"	"107"	"2542"	"6665"	"0"	"6665"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"39"	"29"	"42"	"34"	"2"	"66"	"3"	"2"	"2"	"2"	"8"	"82"	"243"	""	"243"	""
"40"	"30"	"48"	"2"	"4"	"98"	"2"	"11"	"5"	"3"	"9"	"129"	"311"	""	"311"	""
"41"	"31"	"8"	"15"	"3"	"58"	"5"	"1"	"5"	"1"	"1"	"242"	"339"	""	"339"	""
"42"	"32"	"37"	"141"	"12"	"20"	"8"	"4"	"9"	"5"	"8"	"238"	"482"	""	"482"	""
"43"	"33"	"32"	"45"	"2"	"25"	"8"	"13"	"1"	"1"	"3"	"347"	"477"	""	"477"	""
"44"	"34"	"18"	"10"	"21"	"154"	"9"	"5"	"5"	"3"	"5"	"321"	"551"	""	"551"	""
"45"	"35"	"47"	"76"	"11"	"53"	"9"	"18"	"8"	"5"	"17"	"308"	"552"	""	"552"	""
"46"	"36"	"16"	"15"	"3"	"51"	"3"	"4"	"7"	"3"	"15"	"395"	"512"	""	"512"	""
"47"	"37"	"11"	"11"	"2"	"183"	"3"	"5"	"8"	"4"	"13"	"389"	"629"	""	"629"	""
"48"	"38"	"41"	"83"	"32"	"178"	"10"	"14"	"20"	"8"	"17"	"264"	"667"	""	"667"	""
"49"	"39"	"47"	"87"	"22"	"129"	"12"	"10"	"16"	"9"	"15"	"327"	"674"	""	"674"	""
"50"	"40"	"28"	"14"	"15"	"65"	"6"	"6"	"3"	"5"	"31"	"173"	"346"	""	"346"	""
"51"	"41"	"51"	"138"	"21"	"76"	"12"	"14"	"3"	"5"	"7"	"190"	"517"	""	"517"	""
"52"	"42"	"31"	"212"	"18"	"72"	"7"	"9"	"7"	"9"	"1"	"32"	"398"	""	"398"	""
"53"	"Total Round 3"	"457"	"883"	"168"	"1228"	"97"	"116"	"99"	"63"	"150"	"3437"	"6698"	"0"	"6698"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"57"	"43"	"38"	"145"	"12"	"75"	"8"	"10"	"9"	"9"	"6"	"93"	"405"	""	"405"	""
"58"	"44"	"42"	"36"	"10"	"36"	"18"	"13"	"3"	"4"	"10"	"174"	"346"	""	"346"	""
"59"	"45"	"188"	"104"	"9"	"80"	"14"	"6"	"5"	"3"	"11"	"91"	"511"	""	"511"	""
"60"	"46"	"80"	"107"	"3"	"30"	"3"	"14"	"3"	"3"	"4"	"82"	"329"	""	"329"	""
"61"	"47"	"36"	"195"	"12"	"47"	"10"	"5"	"2"	"5"	"9"	"191"	"512"	""	"512"	""
"62"	"48"	"35"	"207"	"16"	"175"	"15"	"6"	"4"	"12"	"12"	"152"	"634"	""	"634"	""
"63"	"49"	"3"	"28"	"3"	"325"	"4"	"1"	"1"	"1"	"3"	"135"	"504"	""	"504"	""
"64"	"50"	"26"	"57"	"12"	"270"	"10"	"1"	"11"	"6"	"5"	"270"	"668"	""	"668"	""
"65"	"51"	"18"	"143"	"17"	"310"	"7"	"6"	"5"	"7"	"2"	"66"	"581"	""	"581"	""
"66"	"52"	"17"	"95"	"16"	"224"	"8"	"4"	"5"	"6"	"1"	"74"	"450"	""	"450"	""
"67"	"53"	"367"	"22"	"12"	"7"	"2"	"3"	"1"	"8"	"13"	"108"	"543"	""	"543"	""
"68"	"54"	"297"	"51"	"4"	"17"	"2"	"4"	"3"	"4"	"11"	"82"	"475"	""	"475"	""
"69"	"55"	"8"	"12"	"2"	"75"	"3"	"2"	"2"	"4"	"7"	"196"	"311"	""	"311"	""
"70"	"56"	"46"	"134"	"8"	"46"	"2"	"6"	"1"	"3"	"3"	"19"	"268"	""	"268"	""
"71"	"Total Round 4"	"1201"	"1336"	"136"	"1717"	"106"	"81"	"55"	"75"	"97"	"1733"	"6537"	"0"	"6537"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"75"	"57"	"8"	"52"	"6"	"42"	"1"	"0"	"0"	"0"	"0"	"289"	"398"	""	"398"	""
"76"	"58"	"81"	"66"	"36"	"45"	"3"	"5"	"6"	"8"	"20"	"171"	"441"	""	"441"	""
"77"	"59"	"73"	"76"	"6"	"58"	"5"	"6"	"4"	"5"	"10"	"160"	"403"	""	"403"	""
"78"	"60"	"28"	"129"	"27"	"92"	"10"	"2"	"5"	"4"	"21"	"267"	"585"	""	"585"	""
"79"	"61"	"14"	"204"	"4"	"31"	"2"	"3"	"4"	"3"	"7"	"264"	"536"	""	"536"	""
"80"	"62"	"59"	"126"	"7"	"11"	"5"	"4"	"4"	"4"	"9"	"165"	"394"	""	"394"	""
"81"	"63"	"76"	"143"	"9"	"13"	"4"	"4"	"4"	"4"	"7"	"165"	"429"	""	"429"	""
"82"	"64"	"48"	"184"	"29"	"22"	"2"	"2"	"3"	"4"	"3"	"93"	"390"	""	"390"	""
"83"	"65"	"31"	"75"	"1"	"23"	"1"	"3"	"7"	"0"	"4"	"170"	"315"	""	"315"	""
"84"	"66"	"140"	"72"	"17"	"112"	"25"	"19"	"12"	"23"	"25"	"159"	"604"	""	"604"	""
"85"	"67"	"122"	"67"	"20"	"196"	"13"	"14"	"9"	"9"	"16"	"70"	"536"	""	"536"	""
"86"	"68"	"121"	"220"	"15"	"154"	"45"	"14"	"9"	"8"	"9"	"84"	"679"	""	"679"	""
"87"	"69"	"165"	"28"	"3"	"158"	"8"	"3"	"3"	"3"	"7"	"213"	"591"	""	"591"	""
"88"	"70"	"60"	"199"	"12"	"124"	"7"	"9"	"10"	"3"	"4"	"95"	"523"	""	"523"	""
"89"	"Total Round 5"	"1026"	"1641"	"192"	"1081"	"131"	"88"	"80"	"78"	"142"	"2365"	"6824"	"0"	"6824"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"93"	"71"	"24"	"27"	"5"	"243"	"9"	"4"	"1"	"2"	"2"	"65"	"382"	""	"382"	""
"94"	"72"	"61"	"58"	"15"	"103"	"13"	"10"	"10"	"11"	"10"	"209"	"500"	""	"500"	""
"95"	"73"	"97"	"78"	"6"	"139"	"8"	"2"	"8"	"3"	"2"	"20"	"363"	""	"363"	""
"96"	"74"	"113"	"117"	"11"	"55"	"31"	"7"	"9"	"7"	"9"	"47"	"406"	""	"406"	""
"97"	"75"	"24"	"76"	"8"	"176"	"17"	"11"	"12"	"6"	"10"	"48"	"388"	""	"388"	""
"98"	"76"	"17"	"30"	"4"	"170"	"9"	"11"	"3"	"1"	"3"	"10"	"258"	""	"258"	""
"99"	"77"	"31"	"262"	"16"	"186"	"22"	"2"	"5"	"4"	"4"	"43"	"575"	""	"575"	""
"100"	"78"	"58"	"253"	"30"	"91"	"23"	"8"	"9"	"8"	"6"	"10"	"496"	""	"496"	""
"101"	"79"	"57"	"65"	"8"	"151"	"8"	"4"	"6"	"2"	"1"	"12"	"314"	""	"314"	""
"102"	"80"	"2"	"327"	"2"	"145"	"24"	"0"	"0"	"0"	"0"	"22"	"522"	""	"522"	""
"103"	"81"	"34"	"480"	"12"	"110"	"28"	"8"	"4"	"7"	"7"	"59"	"749"	""	"749"	""
"104"	"82"	"48"	"454"	"15"	"75"	"15"	"6"	"6"	"1"	"2"	"31"	"653"	""	"653"	""
"105"	"83"	"22"	"31"	"2"	"78"	"9"	"7"	"5"	"3"	"4"	"166"	"327"	""	"327"	""
"106"	"84"	"58"	"129"	"15"	"65"	"9"	"6"	"9"	"4"	"6"	"44"	"345"	""	"345"	""
"107"	"Total Round 6"	"646"	"2387"	"149"	"1787"	"225"	"86"	"87"	"59"	"66"	"786"	"6278"	"0"	"6278"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"111"	"85"	"89"	"132"	"15"	"157"	"8"	"11"	"5"	"0"	"7"	"14"	"438"	""	"438"	""
"112"	"86"	"64"	"141"	"13"	"31"	"23"	"5"	"0"	"4"	"1"	"12"	"294"	""	"294"	""
"113"	"87"	"16"	"172"	"8"	"88"	"4"	"2"	"0"	"1"	"2"	"9"	"302"	""	"302"	""
"114"	"88"	"9"	"130"	"6"	"192"	"11"	"2"	"3"	"5"	"2"	"12"	"372"	""	"372"	""
"115"	"89"	"68"	"161"	"7"	"102"	"37"	"12"	"15"	"11"	"16"	"97"	"526"	""	"526"	""
"116"	"90"	"61"	"109"	"15"	"196"	"22"	"11"	"14"	"10"	"13"	"40"	"491"	""	"491"	""
"117"	"91"	"44"	"168"	"20"	"147"	"19"	"13"	"10"	"8"	"9"	"57"	"495"	""	"495"	""
"118"	"92"	"20"	"63"	"10"	"119"	"4"	"8"	"5"	"1"	"10"	"68"	"308"	""	"308"	""
"119"	"93"	"14"	"154"	"15"	"55"	"5"	"3"	"6"	"6"	"6"	"9"	"273"	""	"273"	""
"120"	"94"	"27"	"536"	"13"	"86"	"7"	"4"	"6"	"3"	"7"	"217"	"906"	""	"906"	""
"121"	"95"	"14"	"14"	"1"	"189"	"5"	"2"	"5"	"9"	"5"	"145"	"389"	""	"389"	""
"122"	"96"	"3"	"82"	"0"	"46"	"4"	"1"	"0"	"0"	"2"	"251"	"389"	""	"389"	""
"123"	"97"	"6"	"10"	"1"	"66"	"6"	"0"	"1"	"0"	"5"	"70"	"165"	""	"165"	""
"124"	"98"	"27"	"19"	"6"	"164"	"4"	"3"	"2"	"3"	"73"	"89"	"390"	""	"390"	""
"125"	"Total Round 7"	"462"	"1891"	"130"	"1638"	"159"	"77"	"72"	"61"	"158"	"1090"	"5738"	"0"	"5738"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"129"	"99"	"72"	"57"	"36"	"102"	"20"	"6"	"9"	"6"	"21"	"76"	"405"	""	"405"	""
"130"	"100"	"7"	"11"	"4"	"113"	"3"	"3"	"3"	"3"	"3"	"17"	"167"	""	"167"	""
"131"	"101"	"23"	"64"	"10"	"245"	"11"	"8"	"8"	"6"	"8"	"77"	"460"	""	"460"	""
"132"	"102"	"206"	"138"	"3"	"215"	"18"	"5"	"9"	"5"	"7"	"46"	"652"	""	"652"	""
"133"	"103"	"212"	"214"	"14"	"65"	"5"	"11"	"6"	"8"	"11"	"37"	"583"	""	"583"	""
"134"	"104"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"135"	"105"	"47"	"88"	"7"	"105"	"7"	"8"	"7"	"11"	"15"	"326"	"621"	""	"621"	""
"136"	"106"	"119"	"56"	"4"	"86"	"18"	"6"	"5"	"8"	"8"	"78"	"388"	""	"388"	""
"137"	"107"	"127"	"149"	"5"	"21"	"2"	"5"	"3"	"2"	"1"	"4"	"319"	""	"319"	""
"138"	"108"	"147"	"144"	"9"	"71"	"20"	"6"	"12"	"11"	"9"	"142"	"571"	""	"571"	""
"139"	"109"	"88"	"32"	"4"	"34"	"8"	"9"	"7"	"6"	"11"	"351"	"550"	""	"550"	""
"140"	"110"	"338"	"36"	"9"	"89"	"9"	"8"	"0"	"1"	"2"	"89"	"581"	""	"581"	""
"141"	"111"	"89"	"186"	"5"	"20"	"6"	"2"	"4"	"3"	"11"	"87"	"413"	""	"413"	""
"142"	"112"	"110"	"91"	"7"	"17"	"12"	"7"	"4"	"4"	"6"	"68"	"326"	""	"326"	""
"143"	"Total Round 8"	"1585"	"1266"	"117"	"1183"	"139"	"84"	"77"	"74"	"113"	"1398"	"6036"	"0"	"6036"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"147"	"113"	"48"	"161"	"3"	"6"	"13"	"1"	"0"	"2"	"4"	"11"	"249"	""	"249"	""
"148"	"114"	"25"	"211"	"13"	"28"	"7"	"3"	"6"	"5"	"5"	"77"	"380"	""	"380"	""
"149"	"115"	"116"	"85"	"10"	"82"	"11"	"4"	"5"	"5"	"6"	"81"	"405"	""	"405"	""
"150"	"116"	"96"	"70"	"14"	"95"	"5"	"3"	"7"	"3"	"3"	"61"	"357"	""	"357"	""
"151"	"117"	"40"	"100"	"4"	"63"	"5"	"5"	"6"	"11"	"14"	"220"	"468"	""	"468"	""
"152"	"118"	"59"	"141"	"4"	"73"	"40"	"3"	"3"	"3"	"6"	"80"	"412"	""	"412"	""
"153"	"119"	"35"	"149"	"6"	"123"	"9"	"4"	"4"	"3"	"8"	"65"	"406"	""	"406"	""
"154"	"120"	"27"	"182"	"12"	"188"	"13"	"12"	"8"	"2"	"7"	"43"	"494"	""	"494"	""
"155"	"121"	"23"	"32"	"5"	"309"	"19"	"8"	"8"	"7"	"19"	"187"	"617"	""	"617"	""
"156"	"122"	"64"	"141"	"10"	"59"	"241"	"16"	"9"	"1"	"2"	"22"	"565"	""	"565"	""
"157"	"123"	"33"	"205"	"7"	"193"	"70"	"4"	"4"	"5"	"0"	"15"	"536"	""	"536"	""
"158"	"124"	"25"	"169"	"5"	"10"	"4"	"1"	"2"	"1"	"3"	"62"	"282"	""	"282"	""
"159"	"125"	"25"	"128"	"2"	"93"	"3"	"4"	"4"	"1"	"0"	"74"	"334"	""	"334"	""
"160"	"126"	"1"	"82"	"1"	"47"	"21"	"1"	"1"	"4"	"8"	"292"	"458"	""	"458"	""
"161"	"Total Round 9"	"617"	"1856"	"96"	"1369"	"461"	"69"	"67"	"53"	"85"	"1290"	"5963"	"0"	"5963"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"165"	"127"	"13"	"216"	"5"	"101"	"7"	"2"	"1"	"5"	"12"	"160"	"522"	""	"522"	""
"166"	"128"	"47"	"59"	"24"	"197"	"19"	"10"	"9"	"10"	"11"	"272"	"658"	""	"658"	""
"167"	"129"	"39"	"255"	"56"	"40"	"8"	"1"	"2"	"2"	"2"	"67"	"472"	""	"472"	""
"168"	"130"	"27"	"71"	"7"	"133"	"6"	"0"	"9"	"9"	"11"	"253"	"526"	""	"526"	""
"169"	"131"	"9"	"99"	"3"	"66"	"2"	"0"	"0"	"3"	"1"	"110"	"293"	""	"293"	""
"170"	"132"	"5"	"125"	"4"	"34"	"3"	"1"	"4"	"0"	"3"	"64"	"243"	""	"243"	""
"171"	"133"	"10"	"122"	"4"	"250"	"2"	"3"	"4"	"1"	"7"	"200"	"603"	""	"603"	""
"172"	"134"	"9"	"19"	"3"	"136"	"5"	"0"	"3"	"0"	"2"	"311"	"488"	""	"488"	""
"173"	"135"	"134"	"106"	"11"	"13"	"3"	"3"	"4"	"7"	"6"	"114"	"401"	""	"401"	""
"174"	"136"	"62"	"43"	"8"	"78"	"11"	"5"	"8"	"8"	"13"	"123"	"359"	""	"359"	""
"175"	"137"	"53"	"19"	"10"	"496"	"37"	"14"	"10"	"7"	"7"	"133"	"786"	""	"786"	""
"176"	"138"	"38"	"89"	"6"	"90"	"6"	"2"	"10"	"5"	"9"	"107"	"362"	""	"362"	""
"177"	"139"	"89"	"108"	"17"	"43"	"13"	"2"	"7"	"5"	"15"	"198"	"497"	""	"497"	""
"178"	"140"	"29"	"399"	"7"	"46"	"6"	"2"	"2"	"4"	"0"	"16"	"511"	""	"511"	""
"179"	"Total Round 10"	"564"	"1730"	"165"	"1723"	"128"	"45"	"73"	"66"	"99"	"2128"	"6721"	"0"	"6721"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"183"	"141"	"31"	"409"	"30"	"38"	"17"	"2"	"0"	"3"	"2"	"10"	"542"	""	"542"	""
"184"	"142"	"25"	"583"	"1"	"5"	"1"	"1"	"0"	"0"	"0"	"6"	"622"	""	"622"	""
"185"	"143"	"42"	"412"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"8"	"471"	""	"471"	""
"186"	"144"	"15"	"82"	"30"	"135"	"6"	"5"	"9"	"1"	"10"	"307"	"600"	""	"600"	""
"187"	"145"	"9"	"15"	"0"	"70"	"18"	"3"	"7"	"3"	"5"	"297"	"427"	""	"427"	""
"188"	"146"	"6"	"70"	"2"	"82"	"7"	"2"	"0"	"0"	"2"	"28"	"199"	""	"199"	""
"189"	"147"	"20"	"420"	"7"	"95"	"5"	"1"	"2"	"0"	"1"	"30"	"581"	""	"581"	""
"190"	"148"	"39"	"212"	"25"	"178"	"9"	"15"	"8"	"10"	"3"	"83"	"582"	""	"582"	""
"191"	"149"	"14"	"67"	"7"	"290"	"9"	"6"	"10"	"5"	"4"	"93"	"505"	""	"505"	""
"192"	"150"	"36"	"87"	"10"	"140"	"2"	"3"	"1"	"11"	"4"	"107"	"401"	""	"401"	""
"193"	"151"	"24"	"220"	"9"	"123"	"16"	"1"	"3"	"6"	"5"	"200"	"607"	""	"607"	""
"194"	"152"	"16"	"99"	"4"	"120"	"3"	"4"	"7"	"5"	"6"	"424"	"688"	""	"688"	""
"195"	"153"	"61"	"51"	"12"	"81"	"46"	"13"	"11"	"7"	"15"	"344"	"641"	""	"641"	""
"196"	"154"	"5"	"50"	"1"	"142"	"6"	"5"	"1"	"1"	"1"	"345"	"557"	""	"557"	""
"197"	"Total Round 11"	"343"	"2777"	"138"	"1503"	"150"	"61"	"59"	"52"	"58"	"2282"	"7423"	"0"	"7423"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
