"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"34"	"25"	"3"	"1"	"289"	"99"	"8"	"3"	"6"	"40"	"3"	"4"	"4"	"7"	"5"	"11"	"483"	"0"	"483"	"0"
"35"	"26"	"3"	"4"	"160"	"237"	"7"	"2"	"5"	"77"	"4"	"4"	"8"	"12"	"12"	"18"	"553"	"0"	"553"	"0"
"36"	"27"	"0"	"2"	"112"	"217"	"1"	"0"	"0"	"51"	"1"	"0"	"2"	"1"	"0"	"5"	"392"	"0"	"392"	"0"
"37"	"28"	"3"	"3"	"508"	"16"	"4"	"1"	"1"	"29"	"2"	"3"	"5"	"6"	"5"	"14"	"600"	"0"	"600"	"0"
"38"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"39"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"40"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"42"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"43"	"29"	"1"	"1"	"34"	"55"	"9"	"1"	"9"	"179"	"5"	"5"	"0"	"14"	"4"	"16"	"333"	"0"	"333"	"0"
"44"	"30"	"0"	"3"	"238"	"123"	"11"	"4"	"2"	"75"	"5"	"7"	"7"	"9"	"4"	"4"	"492"	"0"	"492"	"0"
"45"	"31"	"3"	"4"	"208"	"141"	"16"	"9"	"2"	"45"	"4"	"10"	"12"	"13"	"15"	"41"	"523"	"0"	"523"	"0"
"46"	"32"	"10"	"5"	"151"	"7"	"3"	"3"	"15"	"266"	"16"	"10"	"15"	"23"	"7"	"29"	"560"	"0"	"560"	"0"
"47"	"33"	"8"	"0"	"135"	"147"	"10"	"1"	"11"	"127"	"7"	"8"	"7"	"15"	"7"	"23"	"506"	"0"	"506"	"0"
"48"	"34"	"5"	"7"	"81"	"399"	"20"	"3"	"4"	"77"	"1"	"7"	"11"	"9"	"8"	"16"	"648"	"0"	"648"	"0"
"49"	"35"	"7"	"2"	"112"	"220"	"12"	"0"	"1"	"129"	"0"	"4"	"2"	"12"	"3"	"6"	"510"	"0"	"510"	"0"
"50"	"36"	"12"	"7"	"303"	"64"	"5"	"2"	"1"	"65"	"4"	"0"	"13"	"24"	"9"	"24"	"533"	"0"	"533"	"0"
"51"	"37"	"1"	"0"	"14"	"53"	"6"	"1"	"5"	"161"	"3"	"2"	"4"	"4"	"1"	"8"	"263"	"0"	"263"	"0"
"52"	"38"	"9"	"2"	"40"	"62"	"5"	"5"	"1"	"133"	"3"	"7"	"3"	"9"	"0"	"4"	"283"	"0"	"283"	"0"
"53"	"39"	"7"	"1"	"87"	"100"	"11"	"0"	"0"	"38"	"0"	"5"	"4"	"5"	"0"	"11"	"269"	"0"	"269"	"0"
"54"	"40"	"20"	"6"	"104"	"249"	"12"	"3"	"2"	"101"	"3"	"4"	"13"	"9"	"5"	"2"	"533"	"0"	"533"	"0"
"55"	"41"	"1"	"2"	"89"	"245"	"8"	"0"	"0"	"69"	"4"	"1"	"6"	"7"	"1"	"9"	"442"	"0"	"442"	"0"
"56"	"42"	"4"	"2"	"99"	"220"	"7"	"2"	"6"	"172"	"3"	"3"	"7"	"14"	"4"	"24"	"567"	"0"	"567"	"0"
"57"	"43"	"4"	"0"	"40"	"339"	"7"	"1"	"1"	"45"	"0"	"1"	"17"	"5"	"3"	"8"	"471"	"0"	"471"	"0"
"58"	"44"	"6"	"1"	"84"	"213"	"7"	"1"	"8"	"107"	"1"	"2"	"6"	"11"	"6"	"26"	"479"	"0"	"479"	"0"
"59"	"45"	"4"	"4"	"223"	"38"	"4"	"1"	"2"	"63"	"0"	"1"	"3"	"8"	"4"	"10"	"365"	"0"	"365"	"0"
"60"	"46"	"10"	"2"	"166"	"72"	"7"	"8"	"1"	"23"	"1"	"2"	"12"	"5"	"7"	"26"	"342"	"0"	"342"	"0"
"61"	"47"	"1"	"1"	"16"	"143"	"5"	"5"	"5"	"109"	"9"	"7"	"5"	"6"	"3"	"10"	"325"	"0"	"325"	"0"
"62"	"48"	"8"	"5"	"203"	"117"	"13"	"7"	"6"	"106"	"1"	"9"	"22"	"15"	"3"	"19"	"534"	"0"	"534"	"0"
"63"	"49"	"5"	"0"	"17"	"177"	"10"	"3"	"1"	"22"	"1"	"0"	"2"	"4"	"3"	"5"	"250"	"0"	"250"	"0"
"64"	"50"	"12"	"2"	"71"	"168"	"12"	"4"	"5"	"169"	"6"	"7"	"7"	"4"	"5"	"8"	"480"	"0"	"480"	"0"
"65"	"51"	"3"	"2"	"47"	"170"	"7"	"2"	"2"	"120"	"5"	"6"	"25"	"10"	"7"	"6"	"412"	"0"	"412"	"0"
"66"	"52"	"5"	"1"	"28"	"134"	"6"	"1"	"6"	"100"	"3"	"7"	"4"	"7"	"0"	"11"	"313"	"0"	"313"	"0"
"67"	"53"	"4"	"1"	"87"	"7"	"3"	"1"	"7"	"90"	"1"	"2"	"1"	"6"	"2"	"4"	"216"	"0"	"216"	"0"
"68"	"54"	"1"	"1"	"7"	"113"	"7"	"3"	"4"	"273"	"5"	"5"	"9"	"8"	"3"	"6"	"445"	"0"	"445"	"0"
"69"	"55"	"17"	"10"	"368"	"23"	"8"	"3"	"4"	"10"	"4"	"3"	"7"	"3"	"3"	"10"	"473"	"0"	"473"	"0"
"70"	"56"	"17"	"7"	"390"	"21"	"8"	"3"	"2"	"15"	"1"	"3"	"0"	"5"	"0"	"14"	"486"	"0"	"486"	"0"
"71"	"57"	"1"	"0"	"3"	"365"	"10"	"2"	"3"	"65"	"2"	"5"	"1"	"2"	"0"	"0"	"459"	"0"	"459"	"0"
"72"	"58"	"3"	"1"	"7"	"449"	"15"	"2"	"1"	"51"	"2"	"3"	"4"	"0"	"1"	"7"	"546"	"0"	"546"	"0"
"73"	"59"	"14"	"4"	"10"	"268"	"16"	"2"	"3"	"77"	"8"	"6"	"7"	"3"	"7"	"3"	"428"	"0"	"428"	"0"
"74"	"60"	"22"	"6"	"43"	"447"	"27"	"8"	"10"	"88"	"0"	"9"	"18"	"13"	"5"	"7"	"703"	"0"	"703"	"0"
"75"	"61"	"1"	"0"	"19"	"196"	"7"	"1"	"2"	"14"	"2"	"5"	"10"	"6"	"3"	"9"	"275"	"0"	"275"	"0"
"76"	"62"	"5"	"5"	"72"	"250"	"17"	"3"	"3"	"31"	"1"	"10"	"3"	"2"	"1"	"3"	"406"	"0"	"406"	"0"
"77"	"63"	"15"	"3"	"69"	"269"	"18"	"3"	"2"	"78"	"2"	"8"	"8"	"9"	"4"	"14"	"502"	"0"	"502"	"0"
"78"	"64"	"7"	"1"	"183"	"52"	"2"	"4"	"5"	"53"	"9"	"6"	"3"	"10"	"7"	"16"	"358"	"0"	"358"	"0"
"79"	"65"	"3"	"1"	"38"	"157"	"7"	"0"	"0"	"9"	"1"	"9"	"187"	"7"	"2"	"1"	"422"	"0"	"422"	"0"
"80"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"81"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"82"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"83"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"84"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"85"	"66"	"1"	"4"	"63"	"44"	"11"	"4"	"7"	"115"	"4"	"4"	"7"	"8"	"3"	"9"	"284"	"0"	"284"	"0"
"86"	"67"	"10"	"8"	"283"	"14"	"8"	"1"	"4"	"52"	"2"	"5"	"2"	"6"	"5"	"5"	"405"	"0"	"405"	"0"
"87"	"68"	"5"	"3"	"22"	"97"	"5"	"2"	"2"	"120"	"2"	"2"	"4"	"7"	"7"	"3"	"281"	"0"	"281"	"0"
"88"	"69"	"1"	"0"	"55"	"105"	"5"	"1"	"1"	"21"	"2"	"1"	"5"	"1"	"4"	"3"	"205"	"0"	"205"	"0"
"89"	"70"	"6"	"7"	"285"	"89"	"14"	"3"	"2"	"26"	"3"	"3"	"8"	"3"	"4"	"6"	"459"	"0"	"459"	"0"
"90"	"71"	"10"	"6"	"30"	"224"	"12"	"6"	"4"	"127"	"1"	"7"	"9"	"11"	"0"	"6"	"453"	"0"	"453"	"0"
"91"	"72"	"1"	"3"	"143"	"97"	"14"	"4"	"3"	"54"	"5"	"5"	"2"	"3"	"1"	"7"	"342"	"0"	"342"	"0"
"92"	"73"	"13"	"4"	"64"	"198"	"26"	"4"	"9"	"92"	"7"	"6"	"15"	"6"	"5"	"8"	"457"	"0"	"457"	"0"
"93"	"74"	"5"	"1"	"183"	"112"	"16"	"5"	"2"	"12"	"1"	"4"	"4"	"5"	"2"	"13"	"365"	"0"	"365"	"0"
"94"	"75"	"4"	"1"	"26"	"289"	"24"	"0"	"5"	"32"	"2"	"0"	"6"	"5"	"10"	"13"	"417"	"0"	"417"	"0"
"95"	"76"	"5"	"4"	"68"	"116"	"5"	"3"	"1"	"121"	"5"	"6"	"1"	"14"	"1"	"9"	"359"	"0"	"359"	"0"
"96"	"77"	"7"	"12"	"143"	"103"	"6"	"5"	"4"	"84"	"5"	"6"	"3"	"9"	"1"	"4"	"392"	"0"	"392"	"0"
"97"	"78"	"3"	"3"	"67"	"72"	"8"	"1"	"4"	"138"	"6"	"6"	"6"	"8"	"1"	"4"	"327"	"0"	"327"	"0"
"98"	"79"	"3"	"1"	"40"	"197"	"16"	"2"	"10"	"122"	"5"	"2"	"12"	"8"	"0"	"14"	"432"	"0"	"432"	"0"
"99"	"80"	"3"	"0"	"19"	"213"	"7"	"1"	"5"	"37"	"1"	"0"	"2"	"4"	"1"	"4"	"297"	"0"	"297"	"0"
"100"	"81"	"2"	"0"	"59"	"261"	"16"	"1"	"4"	"18"	"3"	"2"	"3"	"4"	"3"	"12"	"388"	"0"	"388"	"0"
"101"	"82"	"5"	"3"	"110"	"253"	"16"	"4"	"6"	"24"	"6"	"7"	"17"	"9"	"9"	"16"	"485"	"0"	"485"	"0"
"102"	"83"	"3"	"2"	"37"	"224"	"18"	"9"	"10"	"130"	"5"	"9"	"9"	"7"	"9"	"9"	"481"	"0"	"481"	"0"
"103"	"84"	"3"	"3"	"70"	"117"	"8"	"2"	"0"	"20"	"2"	"2"	"3"	"6"	"5"	"9"	"250"	"0"	"250"	"0"
"104"	"85"	"1"	"4"	"104"	"108"	"18"	"3"	"13"	"234"	"9"	"11"	"9"	"28"	"9"	"16"	"567"	"0"	"567"	"0"
"105"	"86"	"5"	"4"	"101"	"102"	"9"	"2"	"3"	"343"	"7"	"9"	"16"	"29"	"8"	"11"	"649"	"0"	"649"	"0"
"106"	"87"	"4"	"4"	"185"	"169"	"14"	"3"	"5"	"140"	"7"	"13"	"6"	"11"	"3"	"8"	"572"	"0"	"572"	"0"
"107"	"88"	"7"	"2"	"176"	"62"	"6"	"1"	"4"	"39"	"3"	"15"	"7"	"8"	"9"	"16"	"355"	"0"	"355"	"0"
"108"	"89"	"9"	"2"	"110"	"223"	"14"	"2"	"2"	"88"	"6"	"4"	"4"	"7"	"2"	"7"	"480"	"0"	"480"	"0"
"109"	"90"	"4"	"1"	"51"	"260"	"14"	"3"	"5"	"135"	"8"	"5"	"6"	"2"	"3"	"2"	"499"	"0"	"499"	"0"
"110"	"91"	"5"	"5"	"119"	"253"	"27"	"3"	"8"	"74"	"6"	"17"	"19"	"35"	"13"	"25"	"609"	"0"	"609"	"0"
"111"	"92"	"9"	"3"	"71"	"451"	"18"	"1"	"9"	"201"	"2"	"7"	"8"	"8"	"4"	"13"	"805"	"0"	"805"	"0"
"112"	"93"	"4"	"0"	"97"	"276"	"7"	"3"	"2"	"56"	"2"	"1"	"6"	"5"	"2"	"9"	"470"	"0"	"470"	"0"
"113"	"94"	"11"	"5"	"66"	"284"	"17"	"2"	"7"	"135"	"6"	"2"	"3"	"7"	"5"	"9"	"559"	"0"	"559"	"0"
"114"	"95"	"0"	"0"	"10"	"52"	"6"	"0"	"2"	"200"	"1"	"0"	"2"	"3"	"0"	"2"	"278"	"0"	"278"	"0"
"115"	"96"	"3"	"0"	"74"	"183"	"5"	"2"	"16"	"34"	"3"	"3"	"13"	"2"	"1"	"5"	"344"	"0"	"344"	"0"
"116"	"97"	"10"	"5"	"110"	"209"	"10"	"27"	"8"	"80"	"10"	"3"	"7"	"7"	"0"	"4"	"490"	"0"	"490"	"0"
"117"	"98"	"17"	"4"	"180"	"57"	"13"	"10"	"11"	"235"	"10"	"13"	"5"	"13"	"4"	"31"	"603"	"0"	"603"	"0"
"118"	"99"	"5"	"1"	"83"	"385"	"13"	"1"	"3"	"31"	"3"	"0"	"2"	"1"	"1"	"3"	"532"	"0"	"532"	"0"
"119"	"100"	"6"	"2"	"87"	"144"	"21"	"2"	"2"	"15"	"3"	"2"	"5"	"4"	"2"	"8"	"303"	"0"	"303"	"0"
"120"	"101"	"11"	"5"	"39"	"457"	"15"	"4"	"2"	"93"	"1"	"3"	"15"	"5"	"4"	"1"	"655"	"0"	"655"	"0"
"121"	"102"	"3"	"1"	"93"	"411"	"23"	"2"	"4"	"81"	"9"	"9"	"14"	"7"	"10"	"15"	"682"	"0"	"682"	"0"
"122"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"123"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"124"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"125"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"126"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"127"	"103"	"1"	"1"	"22"	"397"	"5"	"1"	"4"	"85"	"1"	"3"	"2"	"2"	"4"	"0"	"528"	"0"	"528"	"0"
"128"	"104"	"5"	"3"	"173"	"244"	"11"	"1"	"15"	"42"	"1"	"6"	"8"	"5"	"3"	"7"	"524"	"0"	"524"	"0"
"129"	"105"	"8"	"6"	"168"	"39"	"4"	"1"	"0"	"14"	"1"	"5"	"1"	"8"	"5"	"5"	"265"	"0"	"265"	"0"
"130"	"106"	"0"	"0"	"16"	"347"	"0"	"0"	"0"	"10"	"0"	"0"	"8"	"0"	"1"	"1"	"383"	"0"	"383"	"0"
"131"	"107"	"4"	"2"	"51"	"264"	"5"	"0"	"2"	"25"	"0"	"1"	"1"	"4"	"0"	"3"	"362"	"0"	"362"	"0"
"132"	"108"	"3"	"1"	"122"	"124"	"5"	"0"	"1"	"23"	"1"	"3"	"4"	"5"	"2"	"1"	"295"	"0"	"295"	"0"
"133"	"109"	"1"	"3"	"56"	"124"	"8"	"7"	"3"	"56"	"6"	"6"	"8"	"3"	"3"	"4"	"288"	"0"	"288"	"0"
"134"	"110"	"5"	"0"	"59"	"424"	"4"	"0"	"1"	"3"	"3"	"1"	"4"	"1"	"0"	"3"	"508"	"0"	"508"	"0"
"135"	"111"	"7"	"3"	"179"	"49"	"5"	"0"	"0"	"9"	"2"	"1"	"8"	"9"	"3"	"15"	"290"	"0"	"290"	"0"
"136"	"112"	"6"	"0"	"90"	"124"	"7"	"3"	"1"	"6"	"0"	"5"	"3"	"1"	"8"	"13"	"267"	"0"	"267"	"0"
"137"	"113"	"15"	"4"	"246"	"224"	"12"	"3"	"4"	"17"	"10"	"12"	"6"	"10"	"5"	"13"	"581"	"0"	"581"	"0"
"138"	"114"	"5"	"0"	"95"	"295"	"6"	"3"	"1"	"5"	"0"	"0"	"1"	"1"	"2"	"1"	"415"	"0"	"415"	"0"
"139"	"115"	"3"	"0"	"106"	"86"	"5"	"0"	"4"	"53"	"1"	"7"	"4"	"7"	"2"	"2"	"280"	"0"	"280"	"0"
"140"	"116"	"4"	"3"	"114"	"134"	"8"	"1"	"0"	"26"	"2"	"0"	"30"	"3"	"2"	"3"	"330"	"0"	"330"	"0"
"141"	"117"	"2"	"0"	"136"	"12"	"4"	"6"	"2"	"16"	"2"	"3"	"12"	"3"	"2"	"3"	"203"	"0"	"203"	"0"
"142"	"118"	"6"	"3"	"189"	"30"	"3"	"2"	"1"	"16"	"2"	"11"	"20"	"11"	"12"	"20"	"326"	"0"	"326"	"0"
"143"	"119"	"22"	"6"	"432"	"23"	"7"	"0"	"3"	"3"	"3"	"1"	"5"	"13"	"4"	"7"	"529"	"0"	"529"	"0"
"144"	"120"	"3"	"3"	"187"	"318"	"11"	"1"	"12"	"50"	"2"	"3"	"27"	"7"	"5"	"9"	"638"	"0"	"638"	"0"
"145"	"121"	"3"	"2"	"140"	"277"	"18"	"2"	"4"	"31"	"6"	"11"	"51"	"9"	"15"	"30"	"599"	"0"	"599"	"0"
"146"	"122"	"8"	"2"	"190"	"241"	"13"	"4"	"17"	"68"	"6"	"3"	"9"	"11"	"5"	"14"	"591"	"0"	"591"	"0"
"147"	"123"	"7"	"3"	"83"	"82"	"4"	"5"	"4"	"160"	"5"	"4"	"2"	"8"	"2"	"14"	"383"	"0"	"383"	"0"
"148"	"124"	"0"	"0"	"3"	"17"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"0"	"23"	"0"
"149"	"125"	"5"	"2"	"215"	"196"	"4"	"3"	"1"	"90"	"2"	"5"	"5"	"5"	"4"	"6"	"543"	"0"	"543"	"0"
"150"	"126"	"8"	"3"	"178"	"238"	"11"	"1"	"4"	"46"	"4"	"3"	"3"	"5"	"2"	"2"	"508"	"0"	"508"	"0"
"151"	"127"	"9"	"9"	"176"	"187"	"18"	"15"	"11"	"137"	"10"	"8"	"7"	"17"	"11"	"13"	"628"	"0"	"628"	"0"
"152"	"128"	"4"	"1"	"154"	"121"	"12"	"2"	"4"	"57"	"3"	"6"	"3"	"2"	"2"	"11"	"382"	"0"	"382"	"0"
"153"	"129"	"6"	"0"	"83"	"144"	"1"	"5"	"3"	"184"	"4"	"1"	"3"	"6"	"3"	"5"	"448"	"0"	"448"	"0"
"154"	"130"	"11"	"0"	"164"	"102"	"10"	"1"	"6"	"185"	"5"	"6"	"4"	"20"	"3"	"10"	"527"	"0"	"527"	"0"
"155"	"131"	"7"	"0"	"186"	"108"	"6"	"2"	"3"	"118"	"5"	"2"	"2"	"3"	"4"	"5"	"451"	"0"	"451"	"0"
"156"	"132"	"2"	"2"	"112"	"110"	"4"	"2"	"3"	"43"	"3"	"7"	"7"	"11"	"7"	"8"	"321"	"0"	"321"	"0"
"157"	"133"	"3"	"1"	"86"	"50"	"3"	"2"	"3"	"152"	"3"	"5"	"0"	"6"	"2"	"9"	"325"	"0"	"325"	"0"
"158"	"134"	"4"	"2"	"46"	"197"	"10"	"3"	"5"	"44"	"4"	"6"	"6"	"3"	"1"	"6"	"337"	"0"	"337"	"0"
"159"	"135"	"4"	"1"	"7"	"343"	"12"	"0"	"2"	"54"	"7"	"8"	"12"	"4"	"3"	"7"	"464"	"0"	"464"	"0"
"160"	"136"	"3"	"0"	"35"	"84"	"8"	"3"	"3"	"83"	"5"	"8"	"4"	"8"	"3"	"3"	"250"	"0"	"250"	"0"
"161"	"137"	"8"	"4"	"100"	"38"	"4"	"11"	"3"	"132"	"2"	"1"	"2"	"5"	"4"	"10"	"324"	"0"	"324"	"0"
"162"	"138"	"4"	"1"	"88"	"213"	"5"	"4"	"2"	"135"	"4"	"4"	"4"	"9"	"7"	"0"	"480"	"0"	"480"	"0"
"163"	"139"	"3"	"2"	"78"	"185"	"6"	"5"	"1"	"44"	"1"	"1"	"1"	"2"	"0"	"4"	"333"	"0"	"333"	"0"
"164"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"165"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
