"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"25"	"23"	"7"	"77"	"34"	"1"	"2"	"31"	"48"	"6"	"108"	"9"	"4"	"3"	"2"	"5"	"337"	"0"	"0"	"337"	"0"
"26"	"24"	"7"	"129"	"100"	"17"	"3"	"18"	"12"	"7"	"120"	"15"	"8"	"14"	"17"	"34"	"501"	"0"	"0"	"501"	"0"
"27"	"25"	"2"	"41"	"122"	"5"	"3"	"7"	"28"	"3"	"58"	"4"	"0"	"4"	"5"	"15"	"297"	"0"	"0"	"297"	"0"
"28"	"26"	"6"	"50"	"210"	"7"	"3"	"3"	"95"	"5"	"36"	"5"	"1"	"10"	"6"	"6"	"443"	"0"	"0"	"443"	"0"
"29"	"27"	"8"	"53"	"65"	"7"	"3"	"3"	"36"	"5"	"200"	"5"	"2"	"5"	"3"	"12"	"407"	"0"	"0"	"407"	"0"
"30"	"28"	"8"	"8"	"173"	"8"	"14"	"9"	"34"	"1"	"101"	"4"	"11"	"117"	"4"	"3"	"495"	"0"	"0"	"495"	"0"
"31"	"ROUND 2"	"144"	"1758"	"1354"	"136"	"120"	"206"	"495"	"61"	"1590"	"74"	"65"	"337"	"62"	"164"	"6566"	"0"	"0"	"6566"	"0"
"32"	"29"	"13"	"63"	"201"	"11"	"5"	"11"	"10"	"3"	"34"	"2"	"4"	"25"	"3"	"13"	"398"	"0"	"0"	"398"	"0"
"33"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"34"	"30"	"5"	"53"	"128"	"6"	"26"	"33"	"4"	"4"	"112"	"7"	"12"	"35"	"6"	"11"	"442"	"0"	"0"	"442"	"0"
"35"	"31"	"1"	"23"	"15"	"1"	"5"	"2"	"76"	"7"	"498"	"10"	"2"	"1"	"6"	"5"	"652"	"0"	"0"	"652"	"0"
"36"	"32"	"13"	"14"	"46"	"1"	"18"	"4"	"66"	"9"	"186"	"2"	"3"	"4"	"2"	"7"	"375"	"0"	"0"	"375"	"0"
"37"	"33"	"11"	"105"	"35"	"6"	"6"	"5"	"57"	"3"	"110"	"5"	"3"	"8"	"0"	"3"	"357"	"0"	"0"	"357"	"0"
"38"	"34"	"9"	"134"	"70"	"5"	"11"	"15"	"12"	"3"	"91"	"2"	"5"	"4"	"1"	"5"	"367"	"0"	"0"	"367"	"0"
"39"	"35"	"2"	"37"	"73"	"6"	"87"	"2"	"3"	"3"	"102"	"6"	"2"	"1"	"4"	"5"	"333"	"0"	"0"	"333"	"0"
"40"	"36"	"6"	"148"	"8"	"5"	"11"	"4"	"5"	"3"	"260"	"1"	"0"	"6"	"1"	"2"	"460"	"0"	"0"	"460"	"0"
"41"	"37"	"8"	"93"	"32"	"8"	"12"	"70"	"6"	"6"	"207"	"5"	"6"	"7"	"4"	"8"	"472"	"0"	"0"	"472"	"0"
"42"	"38"	"5"	"38"	"179"	"13"	"15"	"47"	"37"	"5"	"235"	"6"	"8"	"7"	"8"	"15"	"618"	"0"	"0"	"618"	"0"
"43"	"39"	"3"	"4"	"19"	"0"	"5"	"1"	"1"	"10"	"548"	"10"	"6"	"1"	"0"	"10"	"618"	"0"	"0"	"618"	"0"
"44"	"40"	"5"	"26"	"13"	"5"	"2"	"0"	"5"	"9"	"480"	"9"	"3"	"1"	"2"	"7"	"567"	"0"	"0"	"567"	"0"
"45"	"41"	"10"	"80"	"36"	"11"	"7"	"10"	"19"	"4"	"144"	"3"	"1"	"1"	"1"	"4"	"331"	"0"	"0"	"331"	"0"
"46"	"42"	"4"	"16"	"20"	"0"	"1"	"11"	"3"	"13"	"381"	"14"	"7"	"5"	"2"	"17"	"494"	"0"	"0"	"494"	"0"
"47"	"ROUND 3"	"95"	"834"	"875"	"78"	"211"	"215"	"304"	"82"	"3388"	"82"	"62"	"106"	"40"	"112"	"6484"	"0"	"0"	"6484"	"0"
"48"	"43"	"6"	"295"	"3"	"13"	"4"	"6"	"10"	"8"	"150"	"6"	"0"	"7"	"2"	"7"	"517"	"0"	"0"	"517"	"0"
"49"	"44"	"4"	"124"	"47"	"8"	"10"	"23"	"31"	"6"	"154"	"2"	"0"	"11"	"2"	"2"	"424"	"0"	"0"	"424"	"0"
"50"	"45"	"9"	"68"	"158"	"6"	"2"	"1"	"22"	"9"	"240"	"4"	"3"	"4"	"5"	"11"	"542"	"0"	"0"	"542"	"0"
"51"	"46"	"18"	"247"	"79"	"18"	"6"	"9"	"93"	"6"	"79"	"2"	"1"	"3"	"4"	"3"	"568"	"0"	"0"	"568"	"0"
"52"	"47"	"14"	"386"	"11"	"23"	"6"	"7"	"6"	"2"	"132"	"3"	"6"	"11"	"10"	"11"	"628"	"0"	"0"	"628"	"0"
"53"	"48"	"5"	"273"	"9"	"15"	"8"	"2"	"13"	"3"	"86"	"6"	"2"	"7"	"5"	"12"	"446"	"0"	"0"	"446"	"0"
"54"	"49"	"8"	"340"	"10"	"26"	"11"	"52"	"9"	"4"	"120"	"9"	"6"	"15"	"4"	"19"	"633"	"0"	"0"	"633"	"0"
"55"	"50"	"13"	"19"	"72"	"2"	"3"	"10"	"5"	"6"	"278"	"7"	"1"	"0"	"0"	"4"	"420"	"0"	"0"	"420"	"0"
"56"	"51"	"4"	"6"	"71"	"5"	"13"	"2"	"13"	"9"	"222"	"5"	"1"	"1"	"0"	"1"	"353"	"0"	"0"	"353"	"0"
"57"	"52"	"7"	"250"	"129"	"11"	"29"	"2"	"16"	"7"	"240"	"13"	"4"	"6"	"8"	"10"	"732"	"0"	"0"	"732"	"0"
"58"	"53"	"9"	"237"	"87"	"20"	"32"	"6"	"9"	"4"	"35"	"5"	"4"	"12"	"3"	"8"	"471"	"0"	"0"	"471"	"0"
"59"	"54"	"5"	"29"	"39"	"2"	"184"	"1"	"18"	"5"	"236"	"3"	"0"	"2"	"2"	"3"	"529"	"0"	"0"	"529"	"0"
"60"	"55"	"10"	"188"	"24"	"10"	"121"	"9"	"6"	"2"	"165"	"4"	"0"	"5"	"9"	"6"	"559"	"0"	"0"	"559"	"0"
"61"	"56"	"4"	"28"	"273"	"10"	"97"	"2"	"8"	"3"	"81"	"1"	"2"	"1"	"1"	"0"	"511"	"0"	"0"	"511"	"0"
"62"	"ROUND 4"	"116"	"2490"	"1012"	"169"	"526"	"132"	"259"	"74"	"2218"	"70"	"30"	"85"	"55"	"97"	"7333"	"0"	"0"	"7333"	"0"
"63"	"57"	"4"	"193"	"19"	"14"	"23"	"9"	"6"	"10"	"175"	"7"	"3"	"6"	"3"	"0"	"472"	"0"	"0"	"472"	"0"
"64"	"58"	"12"	"121"	"100"	"6"	"7"	"11"	"3"	"7"	"139"	"0"	"2"	"2"	"4"	"1"	"415"	"0"	"0"	"415"	"0"
"65"	"59"	"6"	"130"	"28"	"4"	"26"	"4"	"2"	"5"	"102"	"1"	"0"	"11"	"2"	"3"	"324"	"0"	"0"	"324"	"0"
"66"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"67"	"60"	"3"	"15"	"50"	"1"	"4"	"0"	"7"	"3"	"99"	"0"	"0"	"2"	"0"	"1"	"185"	"0"	"0"	"185"	"0"
"68"	"61"	"3"	"118"	"45"	"7"	"3"	"23"	"3"	"3"	"177"	"8"	"1"	"5"	"4"	"11"	"411"	"0"	"0"	"411"	"0"
"69"	"62"	"9"	"39"	"101"	"4"	"3"	"12"	"11"	"7"	"259"	"8"	"2"	"1"	"4"	"9"	"469"	"0"	"0"	"469"	"0"
"70"	"63"	"9"	"61"	"100"	"9"	"8"	"10"	"9"	"2"	"97"	"4"	"2"	"0"	"3"	"6"	"320"	"0"	"0"	"320"	"0"
"71"	"64"	"2"	"74"	"44"	"5"	"2"	"4"	"6"	"4"	"143"	"2"	"0"	"2"	"1"	"4"	"293"	"0"	"0"	"293"	"0"
"72"	"65"	"6"	"127"	"53"	"17"	"34"	"7"	"12"	"9"	"222"	"13"	"1"	"6"	"3"	"22"	"532"	"0"	"0"	"532"	"0"
"73"	"66"	"5"	"68"	"42"	"2"	"18"	"9"	"19"	"11"	"465"	"11"	"6"	"2"	"9"	"10"	"677"	"0"	"0"	"677"	"0"
"74"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"75"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"76"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"77"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"78"	"ROUND 5"	"59"	"946"	"582"	"69"	"128"	"89"	"78"	"61"	"1878"	"54"	"17"	"37"	"33"	"67"	"4098"	"0"	"0"	"4098"	"0"
"79"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"80"	"72"	"6"	"212"	"72"	"13"	"8"	"4"	"9"	"1"	"23"	"2"	"4"	"6"	"3"	"5"	"368"	"0"	"0"	"368"	"0"
"81"	"73"	"14"	"275"	"168"	"21"	"2"	"2"	"9"	"3"	"31"	"3"	"5"	"13"	"5"	"8"	"559"	"0"	"0"	"559"	"0"
"82"	"74"	"5"	"270"	"65"	"11"	"4"	"8"	"6"	"3"	"16"	"0"	"0"	"3"	"0"	"5"	"396"	"0"	"0"	"396"	"0"
"83"	"75"	"9"	"228"	"188"	"11"	"5"	"13"	"11"	"1"	"22"	"0"	"7"	"13"	"1"	"15"	"524"	"0"	"0"	"524"	"0"
"84"	"76"	"11"	"302"	"68"	"10"	"2"	"12"	"6"	"0"	"31"	"2"	"1"	"5"	"2"	"3"	"455"	"0"	"0"	"455"	"0"
"85"	"77"	"18"	"332"	"128"	"27"	"4"	"48"	"12"	"7"	"13"	"7"	"5"	"12"	"7"	"31"	"651"	"0"	"0"	"651"	"0"
"86"	"78"	"1"	"4"	"535"	"2"	"1"	"40"	"3"	"2"	"1"	"1"	"3"	"0"	"1"	"4"	"598"	"0"	"0"	"598"	"0"
"87"	"79"	"1"	"49"	"238"	"3"	"3"	"1"	"7"	"3"	"32"	"1"	"5"	"2"	"0"	"1"	"346"	"0"	"0"	"346"	"0"
"88"	"80"	"11"	"72"	"100"	"7"	"3"	"110"	"19"	"3"	"27"	"3"	"7"	"2"	"2"	"14"	"380"	"0"	"0"	"380"	"0"
"89"	"81"	"17"	"249"	"155"	"18"	"4"	"21"	"11"	"3"	"30"	"4"	"6"	"7"	"5"	"7"	"537"	"0"	"0"	"537"	"0"
"90"	"82"	"5"	"352"	"46"	"30"	"10"	"6"	"6"	"2"	"34"	"1"	"3"	"8"	"8"	"18"	"529"	"0"	"0"	"529"	"0"
"91"	"83"	"11"	"237"	"66"	"15"	"15"	"6"	"42"	"1"	"58"	"2"	"2"	"3"	"3"	"4"	"465"	"0"	"0"	"465"	"0"
"92"	"84"	"6"	"120"	"92"	"11"	"6"	"18"	"3"	"1"	"48"	"1"	"0"	"3"	"1"	"8"	"318"	"0"	"0"	"318"	"0"
"93"	"ROUND 6"	"115"	"2702"	"1921"	"179"	"67"	"289"	"144"	"30"	"366"	"27"	"48"	"77"	"38"	"123"	"6126"	"0"	"0"	"6126"	"0"
"94"	"85"	"15"	"134"	"87"	"1"	"10"	"21"	"7"	"0"	"55"	"0"	"0"	"1"	"1"	"0"	"332"	"0"	"0"	"332"	"0"
"95"	"86"	"25"	"161"	"133"	"15"	"7"	"75"	"5"	"4"	"40"	"8"	"8"	"11"	"4"	"17"	"513"	"0"	"0"	"513"	"0"
"96"	"87"	"2"	"287"	"107"	"8"	"2"	"30"	"4"	"4"	"62"	"2"	"5"	"11"	"1"	"5"	"530"	"0"	"0"	"530"	"0"
"97"	"88"	"1"	"127"	"63"	"8"	"1"	"37"	"6"	"1"	"89"	"2"	"3"	"14"	"2"	"2"	"356"	"0"	"0"	"356"	"0"
"98"	"89"	"6"	"193"	"89"	"5"	"3"	"37"	"11"	"4"	"46"	"4"	"3"	"1"	"2"	"9"	"413"	"0"	"0"	"413"	"0"
"99"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"100"	"90"	"4"	"245"	"75"	"9"	"3"	"34"	"5"	"0"	"37"	"3"	"3"	"5"	"3"	"5"	"431"	"0"	"0"	"431"	"0"
"101"	"91"	"6"	"324"	"74"	"10"	"2"	"13"	"19"	"1"	"54"	"1"	"3"	"6"	"1"	"2"	"516"	"0"	"0"	"516"	"0"
"102"	"92"	"9"	"385"	"22"	"9"	"0"	"8"	"12"	"1"	"58"	"2"	"5"	"8"	"3"	"8"	"530"	"0"	"0"	"530"	"0"
"103"	"93"	"1"	"330"	"33"	"16"	"3"	"5"	"13"	"1"	"64"	"1"	"1"	"10"	"4"	"3"	"485"	"0"	"0"	"485"	"0"
"104"	"94"	"11"	"143"	"130"	"6"	"8"	"15"	"12"	"4"	"110"	"3"	"5"	"5"	"41"	"14"	"507"	"0"	"0"	"507"	"0"
"105"	"95"	"4"	"121"	"91"	"5"	"1"	"20"	"24"	"0"	"66"	"5"	"3"	"3"	"5"	"2"	"350"	"0"	"0"	"350"	"0"
"106"	"96"	"3"	"58"	"72"	"8"	"2"	"28"	"17"	"1"	"71"	"0"	"1"	"1"	"2"	"3"	"267"	"0"	"0"	"267"	"0"
"107"	"97"	"5"	"432"	"44"	"10"	"6"	"9"	"26"	"0"	"32"	"0"	"1"	"8"	"3"	"3"	"579"	"0"	"0"	"579"	"0"
"108"	"98"	"2"	"339"	"67"	"6"	"10"	"7"	"44"	"1"	"38"	"2"	"3"	"6"	"2"	"6"	"533"	"0"	"0"	"533"	"0"
"109"	"ROUND 7"	"94"	"3279"	"1087"	"116"	"58"	"339"	"205"	"22"	"822"	"33"	"44"	"90"	"74"	"79"	"6342"	"0"	"0"	"6342"	"0"
"110"	"99"	"4"	"357"	"53"	"7"	"2"	"2"	"75"	"0"	"32"	"1"	"1"	"3"	"1"	"0"	"538"	"0"	"0"	"538"	"0"
"111"	"100"	"5"	"242"	"101"	"10"	"1"	"8"	"34"	"4"	"80"	"3"	"1"	"6"	"1"	"13"	"509"	"0"	"0"	"509"	"0"
"112"	"101"	"1"	"230"	"63"	"8"	"1"	"1"	"45"	"2"	"45"	"1"	"1"	"1"	"0"	"1"	"400"	"0"	"0"	"400"	"0"
"113"	"102"	"4"	"175"	"174"	"15"	"5"	"2"	"20"	"0"	"85"	"4"	"0"	"5"	"1"	"1"	"491"	"0"	"0"	"491"	"0"
"114"	"103"	"4"	"380"	"45"	"1"	"5"	"8"	"24"	"2"	"52"	"1"	"3"	"5"	"5"	"22"	"557"	"0"	"0"	"557"	"0"
"115"	"104"	"6"	"222"	"149"	"13"	"4"	"36"	"22"	"3"	"44"	"8"	"10"	"4"	"6"	"15"	"542"	"0"	"0"	"542"	"0"
"116"	"105"	"15"	"177"	"83"	"7"	"10"	"62"	"19"	"1"	"30"	"4"	"6"	"7"	"1"	"17"	"439"	"0"	"0"	"439"	"0"
"117"	"106"	"6"	"170"	"113"	"7"	"1"	"24"	"28"	"4"	"57"	"2"	"0"	"3"	"3"	"2"	"420"	"0"	"0"	"420"	"0"
"118"	"107"	"4"	"118"	"82"	"6"	"3"	"2"	"4"	"2"	"77"	"4"	"3"	"6"	"7"	"3"	"321"	"0"	"0"	"321"	"0"
"119"	"108"	"2"	"71"	"32"	"3"	"0"	"1"	"0"	"0"	"57"	"0"	"0"	"16"	"0"	"0"	"182"	"0"	"0"	"182"	"0"
"120"	"109"	"5"	"415"	"17"	"18"	"59"	"1"	"14"	"2"	"17"	"0"	"0"	"5"	"0"	"0"	"553"	"0"	"0"	"553"	"0"
"121"	"110"	"4"	"109"	"36"	"2"	"4"	"52"	"51"	"2"	"55"	"3"	"3"	"10"	"1"	"10"	"342"	"0"	"0"	"342"	"0"
"122"	"111"	"5"	"79"	"297"	"24"	"5"	"28"	"29"	"3"	"27"	"3"	"2"	"2"	"2"	"3"	"509"	"0"	"0"	"509"	"0"
"123"	"112"	"5"	"109"	"42"	"6"	"26"	"3"	"26"	"0"	"9"	"0"	"1"	"5"	"1"	"7"	"240"	"0"	"0"	"240"	"0"
"124"	"ROUND 8"	"70"	"2854"	"1287"	"127"	"126"	"230"	"391"	"25"	"667"	"34"	"31"	"78"	"29"	"94"	"6043"	"0"	"0"	"6043"	"0"
"125"	"113"	"12"	"317"	"96"	"16"	"4"	"9"	"22"	"4"	"62"	"4"	"1"	"10"	"5"	"12"	"574"	"0"	"0"	"574"	"0"
"126"	"114"	"8"	"170"	"93"	"6"	"27"	"19"	"10"	"6"	"106"	"10"	"6"	"12"	"3"	"6"	"482"	"0"	"0"	"482"	"0"
"127"	"115"	"11"	"183"	"30"	"7"	"5"	"40"	"35"	"14"	"186"	"6"	"8"	"5"	"13"	"19"	"562"	"0"	"0"	"562"	"0"
"128"	"116"	"6"	"71"	"16"	"3"	"2"	"24"	"88"	"6"	"178"	"5"	"4"	"3"	"7"	"5"	"418"	"0"	"0"	"418"	"0"
"129"	"117"	"9"	"74"	"146"	"12"	"5"	"33"	"16"	"1"	"84"	"0"	"6"	"2"	"3"	"10"	"401"	"0"	"0"	"401"	"0"
"130"	"118"	"16"	"347"	"36"	"17"	"13"	"5"	"12"	"4"	"102"	"6"	"2"	"4"	"3"	"11"	"578"	"0"	"0"	"578"	"0"
"131"	"119"	"2"	"96"	"86"	"10"	"11"	"9"	"11"	"1"	"46"	"3"	"0"	"9"	"1"	"3"	"288"	"0"	"0"	"288"	"0"
"132"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"133"	"120"	"0"	"5"	"3"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"0"	"0"	"15"	"0"
"134"	"121"	"4"	"105"	"43"	"5"	"25"	"5"	"4"	"1"	"183"	"6"	"1"	"3"	"3"	"3"	"391"	"0"	"0"	"391"	"0"
"135"	"122"	"9"	"315"	"38"	"12"	"2"	"55"	"46"	"6"	"109"	"7"	"1"	"19"	"10"	"6"	"635"	"0"	"0"	"635"	"0"
"136"	"123"	"12"	"321"	"13"	"14"	"2"	"5"	"12"	"2"	"17"	"2"	"1"	"9"	"0"	"9"	"419"	"0"	"0"	"419"	"0"
"137"	"124"	"2"	"94"	"45"	"5"	"13"	"3"	"40"	"1"	"61"	"2"	"4"	"2"	"7"	"9"	"288"	"0"	"0"	"288"	"0"
"138"	"125"	"1"	"12"	"8"	"4"	"1"	"5"	"264"	"11"	"28"	"1"	"0"	"3"	"7"	"9"	"354"	"0"	"0"	"354"	"0"
"139"	"126"	"10"	"140"	"16"	"7"	"4"	"12"	"35"	"8"	"164"	"14"	"0"	"2"	"6"	"7"	"425"	"0"	"0"	"425"	"0"
"140"	"ROUND 9"	"102"	"2250"	"669"	"118"	"114"	"231"	"595"	"65"	"1326"	"66"	"34"	"83"	"68"	"109"	"5830"	"0"	"0"	"5830"	"0"
"141"	"127"	"6"	"55"	"11"	"10"	"6"	"41"	"37"	"7"	"149"	"8"	"2"	"4"	"7"	"19"	"362"	"0"	"0"	"362"	"0"
"142"	"128"	"3"	"151"	"22"	"10"	"2"	"11"	"94"	"8"	"39"	"1"	"2"	"4"	"7"	"16"	"370"	"0"	"0"	"370"	"0"
"143"	"129"	"2"	"206"	"56"	"15"	"3"	"12"	"137"	"6"	"98"	"4"	"5"	"20"	"10"	"18"	"592"	"0"	"0"	"592"	"0"
"144"	"130"	"11"	"506"	"137"	"10"	"13"	"5"	"10"	"2"	"15"	"1"	"0"	"7"	"2"	"4"	"723"	"0"	"0"	"723"	"0"
"145"	"131"	"18"	"384"	"125"	"22"	"14"	"4"	"2"	"1"	"18"	"4"	"4"	"13"	"6"	"6"	"621"	"0"	"0"	"621"	"0"
"146"	"132"	"16"	"268"	"74"	"13"	"4"	"24"	"7"	"0"	"1"	"2"	"3"	"5"	"5"	"3"	"425"	"0"	"0"	"425"	"0"
"147"	"133"	"5"	"17"	"103"	"8"	"4"	"27"	"56"	"4"	"38"	"1"	"6"	"5"	"4"	"8"	"286"	"0"	"0"	"286"	"0"
"148"	"134"	"10"	"106"	"97"	"7"	"6"	"18"	"17"	"11"	"217"	"6"	"7"	"7"	"3"	"9"	"521"	"0"	"0"	"521"	"0"
