"Election.to.the.Bihar.Legislative.Assembly.from.the.236.Barachatti..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"23"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"24"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"25"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"26"	"15"	"13"	"87"	"227"	"14"	"15"	"35"	"391"	"0"	"391"	""
"27"	"16"	"12"	"141"	"200"	"16"	"9"	"15"	"393"	"0"	"393"	""
"28"	"17"	"21"	"61"	"138"	"11"	"26"	"33"	"290"	"0"	"290"	""
"29"	"18"	"66"	"178"	"121"	"105"	"37"	"63"	"570"	"0"	"570"	""
"30"	"19"	"14"	"103"	"249"	"21"	"25"	"17"	"429"	"0"	"429"	""
"31"	"20"	"23"	"149"	"33"	"3"	"8"	"12"	"228"	"0"	"228"	""
"32"	"21"	"149"	"198"	"128"	"4"	"4"	"1"	"484"	"0"	"484"	""
"33"	"22"	"25"	"171"	"87"	"22"	"55"	"24"	"384"	"0"	"384"	""
"34"	"23"	"24"	"48"	"239"	"16"	"16"	"26"	"369"	"0"	"369"	""
"35"	"24"	"12"	"422"	"80"	"5"	"74"	"8"	"601"	"0"	"601"	""
"36"	"25"	"93"	"139"	"273"	"11"	"17"	"13"	"546"	"0"	"546"	""
"37"	"26"	"19"	"215"	"143"	"24"	"29"	"28"	"458"	"0"	"458"	""
"38"	"27"	"48"	"335"	"162"	"11"	"10"	"4"	"570"	"0"	"570"	""
"39"	"28"	"36"	"121"	"195"	"32"	"20"	"18"	"422"	"0"	"422"	""
"40"	"Total"	"555"	"2368"	"2275"	"295"	"345"	"297"	"6135"	"0"	"6135"	""
"41"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"42"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"44"	"29"	"33"	"226"	"159"	"42"	"20"	"13"	"493"	"0"	"493"	""
"45"	"30"	"63"	"107"	"309"	"16"	"15"	"27"	"537"	"0"	"537"	""
"46"	"31"	"23"	"188"	"285"	"16"	"30"	"16"	"558"	"0"	"558"	""
"47"	"32"	"53"	"71"	"170"	"292"	"10"	"9"	"605"	"0"	"605"	""
"48"	"33"	"112"	"113"	"415"	"15"	"15"	"20"	"690"	"0"	"690"	""
"49"	"34"	"23"	"127"	"311"	"27"	"11"	"2"	"501"	"0"	"501"	""
"50"	"35"	"42"	"125"	"119"	"5"	"3"	"11"	"305"	"0"	"305"	""
"51"	"36"	"94"	"153"	"46"	"6"	"8"	"6"	"313"	"0"	"313"	""
"52"	"37"	"1"	"1"	"501"	"3"	"0"	"0"	"506"	"0"	"506"	""
"53"	"38"	"29"	"148"	"113"	"14"	"11"	"22"	"337"	"0"	"337"	""
"54"	"39"	"5"	"175"	"138"	"25"	"7"	"2"	"352"	"0"	"352"	""
"55"	"40"	"1"	"905"	"70"	"1"	"1"	"1"	"979"	"0"	"979"	""
"56"	"41"	"7"	"122"	"92"	"9"	"4"	"11"	"245"	"0"	"245"	""
"57"	"42"	"13"	"335"	"79"	"2"	"16"	"5"	"450"	"0"	"450"	""
"58"	"Total"	"499"	"2796"	"2807"	"473"	"151"	"145"	"6871"	"0"	"6871"	""
"59"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"60"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"61"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"62"	"43"	"8"	"192"	"71"	"2"	"7"	"2"	"282"	"0"	"282"	""
"63"	"44"	"1"	"215"	"0"	"0"	"0"	"0"	"216"	"0"	"216"	""
"64"	"45"	"30"	"118"	"14"	"3"	"7"	"2"	"174"	"0"	"174"	""
"65"	"46"	"3"	"751"	"8"	"4"	"8"	"1"	"775"	"0"	"775"	""
"66"	"47"	"1"	"541"	"3"	"1"	"7"	"7"	"560"	"0"	"560"	""
"67"	"48"	"112"	"284"	"12"	"3"	"14"	"6"	"431"	"0"	"431"	""
"68"	"49"	"112"	"188"	"79"	"16"	"22"	"17"	"434"	"0"	"434"	""
"69"	"50"	"3"	"326"	"41"	"2"	"6"	"2"	"380"	"0"	"380"	""
"70"	"51"	"8"	"103"	"617"	"11"	"2"	"2"	"743"	"0"	"743"	""
"71"	"52"	"54"	"306"	"119"	"13"	"31"	"27"	"550"	"0"	"550"	""
"72"	"53"	"12"	"212"	"212"	"9"	"1"	"0"	"446"	"0"	"446"	""
"73"	"54"	"14"	"678"	"183"	"10"	"8"	"8"	"901"	"0"	"901"	""
"74"	"55"	"1"	"469"	"3"	"0"	"7"	"1"	"481"	"0"	"481"	""
"75"	"56"	"38"	"54"	"154"	"7"	"36"	"25"	"314"	"0"	"314"	""
"76"	"Total"	"397"	"4437"	"1516"	"81"	"156"	"100"	"6687"	"0"	"6687"	""
"77"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"78"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"79"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"80"	"57"	"66"	"312"	"43"	"14"	"29"	"22"	"486"	"0"	"486"	""
"81"	"58"	"32"	"115"	"21"	"4"	"60"	"10"	"242"	"0"	"242"	""
"82"	"59"	"29"	"137"	"39"	"23"	"53"	"17"	"298"	"0"	"298"	""
"83"	"60"	"34"	"56"	"39"	"8"	"3"	"9"	"149"	"0"	"149"	""
"84"	"61"	"43"	"129"	"52"	"15"	"10"	"12"	"261"	"0"	"261"	""
"85"	"62"	"76"	"178"	"167"	"6"	"6"	"12"	"445"	"0"	"445"	""
"86"	"63"	"15"	"557"	"81"	"2"	"0"	"1"	"656"	"0"	"656"	""
"87"	"64"	"30"	"522"	"29"	"7"	"15"	"5"	"608"	"0"	"608"	""
"88"	"65"	"49"	"589"	"21"	"8"	"11"	"8"	"686"	"0"	"686"	""
"89"	"66"	"3"	"395"	"16"	"1"	"0"	"0"	"415"	"0"	"415"	""
"90"	"67"	"25"	"229"	"74"	"8"	"56"	"18"	"410"	"0"	"410"	""
"91"	"68"	"99"	"141"	"54"	"2"	"13"	"2"	"311"	"0"	"311"	""
"92"	"69"	"243"	"33"	"9"	"4"	"5"	"14"	"308"	"0"	"308"	""
"93"	"70"	"56"	"271"	"68"	"3"	"21"	"1"	"420"	"0"	"420"	""
"94"	"Total"	"800"	"3664"	"713"	"105"	"282"	"131"	"5695"	"0"	"5695"	""
"95"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"96"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"97"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"98"	"71"	"36"	"140"	"42"	"6"	"51"	"17"	"292"	"0"	"292"	""
"99"	"72"	"16"	"162"	"107"	"7"	"10"	"12"	"314"	"0"	"314"	""
"100"	"73"	"7"	"101"	"36"	"11"	"26"	"9"	"190"	"0"	"190"	""
"101"	"74"	"23"	"61"	"282"	"14"	"7"	"13"	"400"	"0"	"400"	""
"102"	"75"	"25"	"156"	"135"	"47"	"61"	"41"	"465"	"0"	"465"	""
"103"	"76"	"85"	"148"	"108"	"26"	"62"	"33"	"462"	"0"	"462"	""
"104"	"77"	"24"	"121"	"140"	"81"	"14"	"10"	"390"	"0"	"390"	""
"105"	"78"	"33"	"89"	"183"	"51"	"51"	"21"	"428"	"0"	"428"	""
"106"	"79"	"25"	"112"	"203"	"52"	"30"	"38"	"460"	"0"	"460"	""
"107"	"80"	"26"	"159"	"181"	"35"	"43"	"16"	"460"	"0"	"460"	""
"108"	"81"	"68"	"257"	"238"	"40"	"167"	"10"	"780"	"0"	"780"	""
"109"	"82"	"131"	"187"	"82"	"22"	"26"	"18"	"466"	"0"	"466"	""
"110"	"83"	"22"	"155"	"277"	"26"	"57"	"14"	"551"	"0"	"551"	""
"111"	"84"	"63"	"156"	"209"	"29"	"73"	"70"	"600"	"0"	"600"	""
"112"	"Total"	"584"	"2004"	"2223"	"447"	"678"	"322"	"6258"	"0"	"6258"	""
"113"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"114"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"116"	"85"	"66"	"127"	"97"	"10"	"13"	"28"	"341"	"0"	"341"	""
"117"	"86"	"94"	"110"	"227"	"40"	"117"	"56"	"644"	"0"	"644"	""
"118"	"87"	"73"	"109"	"31"	"0"	"34"	"5"	"252"	"0"	"252"	""
"119"	"88"	"20"	"100"	"39"	"8"	"86"	"8"	"261"	"0"	"261"	""
"120"	"89"	"56"	"146"	"159"	"6"	"118"	"39"	"524"	"0"	"524"	""
"121"	"90"	"19"	"65"	"246"	"18"	"90"	"20"	"458"	"0"	"458"	""
"122"	"91"	"38"	"164"	"322"	"21"	"44"	"29"	"618"	"0"	"618"	""
"123"	"92"	"50"	"126"	"105"	"17"	"44"	"40"	"382"	"0"	"382"	""
"124"	"93"	"17"	"85"	"115"	"14"	"12"	"6"	"249"	"0"	"249"	""
"125"	"94"	"33"	"130"	"33"	"1"	"16"	"7"	"220"	"0"	"220"	""
"126"	"95"	"81"	"103"	"144"	"32"	"79"	"29"	"468"	"0"	"468"	""
"127"	"96"	"28"	"124"	"173"	"13"	"30"	"28"	"396"	"0"	"396"	""
"128"	"97"	"23"	"44"	"134"	"12"	"12"	"35"	"260"	"0"	"260"	""
"129"	"98"	"55"	"181"	"57"	"13"	"18"	"29"	"353"	"0"	"353"	""
"130"	"Total"	"653"	"1614"	"1882"	"205"	"713"	"359"	"5426"	"0"	"5426"	""
"131"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"132"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"133"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"134"	"99"	"20"	"141"	"62"	"23"	"13"	"28"	"287"	"0"	"287"	""
"135"	"100"	"93"	"375"	"35"	"11"	"108"	"5"	"627"	"0"	"627"	""
"136"	"101"	"1"	"481"	"41"	"2"	"11"	"0"	"536"	"0"	"536"	""
"137"	"102"	"13"	"109"	"116"	"8"	"18"	"21"	"285"	"0"	"285"	""
"138"	"103"	"40"	"148"	"76"	"12"	"68"	"16"	"360"	"0"	"360"	""
"139"	"104"	"53"	"173"	"107"	"15"	"54"	"34"	"436"	"0"	"436"	""
"140"	"105"	"79"	"114"	"89"	"17"	"19"	"23"	"341"	"0"	"341"	""
"141"	"106"	"1"	"265"	"2"	"3"	"52"	"3"	"326"	"0"	"326"	""
"142"	"107"	"10"	"563"	"5"	"2"	"70"	"1"	"651"	"0"	"651"	""
"143"	"108"	"42"	"116"	"31"	"7"	"192"	"10"	"398"	"0"	"398"	""
"144"	"109"	"21"	"7"	"254"	"0"	"8"	"3"	"293"	"0"	"293"	""
"145"	"110"	"109"	"46"	"117"	"5"	"34"	"11"	"322"	"0"	"322"	""
"146"	"111"	"14"	"88"	"104"	"8"	"46"	"21"	"281"	"0"	"281"	""
"147"	"112"	"36"	"21"	"32"	"6"	"186"	"8"	"289"	"0"	"289"	""
"148"	"Total"	"532"	"2647"	"1071"	"119"	"879"	"184"	"5432"	"0"	"5432"	""
"149"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"150"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"151"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"152"	"113"	"5"	"72"	"269"	"7"	"80"	"5"	"438"	"0"	"438"	""
"153"	"114"	"15"	"75"	"41"	"11"	"103"	"24"	"269"	"0"	"269"	""
"154"	"115"	"25"	"67"	"20"	"19"	"52"	"18"	"201"	"0"	"201"	""
"155"	"116"	"1"	"461"	"134"	"1"	"62"	"1"	"660"	"0"	"660"	""
"156"	"117"	"9"	"78"	"109"	"8"	"102"	"19"	"325"	"0"	"325"	""
"157"	"118"	"0"	"9"	"1"	"2"	"498"	"0"	"510"	"0"	"510"	""
"158"	"119"	"9"	"107"	"34"	"5"	"35"	"13"	"203"	"0"	"203"	""
"159"	"120"	"23"	"58"	"254"	"8"	"20"	"20"	"383"	"0"	"383"	""
"160"	"121"	"12"	"444"	"110"	"10"	"23"	"12"	"611"	"0"	"611"	""
"161"	"122"	"1"	"319"	"0"	"0"	"323"	"0"	"643"	"0"	"643"	""
"162"	"123"	"23"	"98"	"43"	"13"	"16"	"29"	"222"	"0"	"222"	""
"163"	"124"	"59"	"122"	"29"	"15"	"66"	"35"	"326"	"0"	"326"	""
"164"	"125"	"51"	"64"	"54"	"23"	"97"	"59"	"348"	"0"	"348"	""
"165"	"126"	"0"	"415"	"1"	"0"	"5"	"0"	"421"	"0"	"421"	""
"166"	"Total"	"233"	"2389"	"1099"	"122"	"1482"	"235"	"5560"	"0"	"5560"	""
"167"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"168"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"170"	"127"	"3"	"351"	"1"	"0"	"1"	"0"	"356"	"0"	"356"	""
"171"	"128"	"14"	"51"	"6"	"11"	"61"	"37"	"180"	"0"	"180"	""
"172"	"129"	"0"	"1"	"80"	"0"	"298"	"2"	"381"	"0"	"381"	""
"173"	"130"	"20"	"70"	"5"	"2"	"86"	"4"	"187"	"0"	"187"	""
"174"	"131"	"5"	"76"	"44"	"1"	"45"	"8"	"179"	"0"	"179"	""
"175"	"132"	"25"	"72"	"46"	"9"	"7"	"25"	"184"	"0"	"184"	""
"176"	"133"	"7"	"96"	"3"	"9"	"180"	"4"	"299"	"0"	"299"	""
"177"	"134"	"24"	"196"	"2"	"2"	"131"	"0"	"355"	"0"	"355"	""
"178"	"135"	"2"	"380"	"0"	"0"	"2"	"0"	"384"	"0"	"384"	""
"179"	"136"	"2"	"417"	"0"	"0"	"11"	"2"	"432"	"0"	"432"	""
"180"	"137"	"0"	"151"	"0"	"0"	"0"	"0"	"151"	"0"	"151"	""
"181"	"138"	"4"	"722"	"1"	"0"	"8"	"0"	"735"	"0"	"735"	""
"182"	"139"	"0"	"691"	"1"	"0"	"6"	"0"	"698"	"0"	"698"	""
"183"	"140"	"1"	"808"	"2"	"0"	"4"	"0"	"815"	"0"	"815"	""
"184"	"Total"	"107"	"4082"	"191"	"34"	"840"	"82"	"5336"	"0"	"5336"	""
"185"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"186"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"188"	"141"	"0"	"568"	"0"	"0"	"2"	"1"	"571"	"0"	"571"	""
"189"	"142"	"1"	"405"	"1"	"0"	"3"	"0"	"410"	"0"	"410"	""
"190"	"143"	"1"	"557"	"1"	"0"	"2"	"0"	"561"	"0"	"561"	""
"191"	"144"	"0"	"518"	"0"	"0"	"0"	"3"	"521"	"0"	"521"	""
"192"	"145"	"20"	"143"	"584"	"12"	"11"	"3"	"773"	"0"	"773"	""
"193"	"146"	"17"	"67"	"471"	"48"	"54"	"17"	"674"	"0"	"674"	""
"194"	"147"	"58"	"165"	"128"	"97"	"36"	"29"	"513"	"0"	"513"	""
"195"	"148"	"25"	"372"	"110"	"57"	"16"	"10"	"590"	"0"	"590"	""
"196"	"149"	"21"	"59"	"359"	"76"	"16"	"19"	"550"	"0"	"550"	""
"197"	"150"	"11"	"66"	"312"	"127"	"59"	"30"	"605"	"0"	"605"	""
"198"	"151"	"59"	"116"	"319"	"13"	"5"	"12"	"524"	"0"	"524"	""
"199"	"152"	"4"	"120"	"249"	"7"	"13"	"6"	"399"	"0"	"399"	""
"200"	"153"	"10"	"579"	"190"	"3"	"21"	"2"	"805"	"0"	"805"	""
"201"	"154"	"29"	"80"	"461"	"14"	"29"	"12"	"625"	"0"	"625"	""
"202"	"Total"	"256"	"3815"	"3185"	"454"	"267"	"144"	"8121"	"0"	"8121"	""
"203"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"204"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"206"	"155"	"1"	"183"	"149"	"10"	"6"	"15"	"364"	"0"	"364"	""
"207"	"156"	"13"	"67"	"272"	"13"	"11"	"12"	"388"	"0"	"388"	""
"208"	"157"	"43"	"84"	"254"	"14"	"39"	"7"	"441"	"0"	"441"	""
"209"	"158"	"18"	"136"	"44"	"6"	"25"	"8"	"237"	"0"	"237"	""
"210"	"159"	"17"	"274"	"21"	"8"	"158"	"6"	"484"	"0"	"484"	""
"211"	"160"	"4"	"125"	"86"	"9"	"17"	"5"	"246"	"0"	"246"	""
"212"	"161"	"1"	"522"	"53"	"0"	"26"	"0"	"602"	"0"	"602"	""
"213"	"162"	"1"	"8"	"19"	"24"	"463"	"2"	"517"	"0"	"517"	""
"214"	"163"	"1"	"312"	"54"	"3"	"46"	"5"	"421"	"0"	"421"	""
"215"	"164"	"26"	"662"	"96"	"4"	"31"	"2"	"821"	"0"	"821"	""
"216"	"165"	"6"	"571"	"18"	"4"	"100"	"2"	"701"	"0"	"701"	""
"217"	"166"	"26"	"87"	"183"	"17"	"59"	"9"	"381"	"0"	"381"	""
"218"	"167"	"22"	"321"	"31"	"3"	"23"	"1"	"401"	"0"	"401"	""
"219"	"168"	"2"	"297"	"2"	"3"	"1"	"0"	"305"	"0"	"305"	""
"220"	"Total"	"181"	"3649"	"1282"	"118"	"1005"	"74"	"6309"	"0"	"6309"	""
"221"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"222"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"223"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"224"	"169"	"3"	"688"	"4"	"2"	"6"	"0"	"703"	"0"	"703"	""
"225"	"170"	"2"	"591"	"3"	"1"	"3"	"1"	"601"	"0"	"601"	""
"226"	"171"	"11"	"880"	"5"	"2"	"11"	"2"	"911"	"0"	"911"	""
"227"	"172"	"6"	"942"	"5"	"2"	"2"	"1"	"958"	"0"	"958"	""
"228"	"173"	"12"	"280"	"69"	"7"	"13"	"11"	"392"	"0"	"392"	""
"229"	"174"	"125"	"197"	"91"	"4"	"94"	"9"	"520"	"0"	"520"	""
"230"	"175"	"31"	"288"	"109"	"21"	"50"	"13"	"512"	"0"	"512"	""
"231"	"176"	"5"	"588"	"43"	"3"	"6"	"6"	"651"	"0"	"651"	""
"232"	"177"	"23"	"93"	"18"	"2"	"14"	"10"	"160"	"0"	"160"	""
"233"	"178"	"0"	"282"	"20"	"0"	"8"	"0"	"310"	"0"	"310"	""
"234"	"179"	"9"	"118"	"8"	"12"	"14"	"24"	"185"	"0"	"185"	""
"235"	"180"	"143"	"112"	"202"	"25"	"44"	"42"	"568"	"0"	"568"	""
"236"	"181"	"12"	"180"	"81"	"3"	"44"	"6"	"326"	"0"	"326"	""
"237"	"182"	"1"	"385"	"10"	"0"	"18"	"0"	"414"	"0"	"414"	""
"238"	"Total"	"383"	"5624"	"668"	"84"	"327"	"125"	"7211"	"0"	"7211"	""
"239"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"240"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"241"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"242"	"183"	"130"	"153"	"21"	"5"	"17"	"7"	"333"	"0"	"333"	""
"243"	"184"	"6"	"967"	"42"	"1"	"4"	"2"	"1022"	"0"	"1022"	""
"244"	"185"	"21"	"118"	"610"	"23"	"45"	"15"	"832"	"0"	"832"	""
"245"	"186"	"48"	"314"	"117"	"9"	"42"	"20"	"550"	"0"	"550"	""
"246"	"187"	"8"	"54"	"53"	"10"	"230"	"10"	"365"	"0"	"365"	""
"247"	"188"	"10"	"626"	"29"	"6"	"8"	"4"	"683"	"0"	"683"	""
"248"	"189"	"79"	"125"	"121"	"27"	"71"	"26"	"449"	"0"	"449"	""
"249"	"190"	"80"	"175"	"194"	"15"	"20"	"32"	"516"	"0"	"516"	""
"250"	"191"	"37"	"241"	"228"	"20"	"29"	"25"	"580"	"0"	"580"	""
"251"	"192"	"19"	"191"	"420"	"14"	"40"	"27"	"711"	"0"	"711"	""
"252"	"193"	"79"	"243"	"326"	"15"	"25"	"18"	"706"	"0"	"706"	""
"253"	"194"	"179"	"155"	"150"	"5"	"39"	"6"	"534"	"0"	"534"	""
"254"	"195"	"57"	"539"	"8"	"2"	"3"	"2"	"611"	"0"	"611"	""
"255"	"196"	"76"	"253"	"22"	"127"	"10"	"8"	"496"	"0"	"496"	""
"256"	"Total"	"829"	"4154"	"2341"	"279"	"583"	"202"	"8388"	"0"	"8388"	""
"257"	"Place                 Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""
"258"	"Date                  27-02-2005"	""	""	""	""	""	""	""	""	""	""
"259"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"261"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"263"	"197"	"66"	"148"	"109"	"19"	"37"	"25"	"404"	"0"	"404"	""
"264"	"198"	"71"	"118"	"113"	"25"	"47"	"23"	"397"	"0"	"397"	""
