"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"27"	"17"	"39"	"5"	"80"	"105"	"10"	"0"	"1"	"0"	"1"	"2"	"2"	"5"	"9"	"3"	"7"	"269"	"0"	"269"	""	""
"28"	"18"	"56"	"4"	"213"	"87"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"4"	"375"	"0"	"375"	""	""
"29"	"19"	"110"	"0"	"76"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"194"	"0"	"194"	""	""
"30"	"20"	"27"	"1"	"97"	"62"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"0"	"6"	"203"	"0"	"203"	""	""
"31"	"21"	"18"	"1"	"83"	"97"	"13"	"1"	"5"	"0"	"1"	"0"	"6"	"9"	"9"	"4"	"10"	"257"	"0"	"257"	""	""
"32"	"22"	"19"	"2"	"143"	"36"	"4"	"6"	"2"	"3"	"1"	"1"	"3"	"7"	"4"	"1"	"2"	"234"	"0"	"234"	""	""
"33"	"23"	"17"	"3"	"234"	"75"	"6"	"3"	"1"	"2"	"2"	"0"	"11"	"4"	"1"	"1"	"0"	"360"	"0"	"360"	""	""
"34"	"24"	"8"	"1"	"85"	"69"	"4"	"1"	"1"	"1"	"0"	"0"	"8"	"1"	"0"	"1"	"0"	"180"	"0"	"180"	""	""
"35"	"25"	"45"	"0"	"132"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"202"	"0"	"202"	""	""
"36"	"26"	"67"	"3"	"188"	"16"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"282"	"0"	"282"	""	""
"37"	"27"	"16"	"1"	"143"	"51"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"4"	"7"	"0"	"3"	"233"	"0"	"233"	""	""
"38"	"28"	"147"	"2"	"41"	"238"	"20"	"7"	"10"	"7"	"6"	"4"	"16"	"20"	"18"	"5"	"30"	"571"	"0"	"571"	""	""
"39"	"Round-2"	"1093"	"69"	"3261"	"1913"	"145"	"69"	"54"	"27"	"21"	"37"	"162"	"108"	"169"	"48"	"137"	"7313"	"0"	"7313"	""	""
"40"	"29"	"21"	"1"	"231"	"67"	"4"	"2"	"2"	"1"	"2"	"1"	"4"	"2"	"5"	"4"	"5"	"352"	"0"	"352"	""	""
"41"	"30"	"27"	"31"	"167"	"129"	"8"	"4"	"0"	"1"	"2"	"0"	"2"	"7"	"5"	"1"	"1"	"385"	"0"	"385"	""	""
"42"	"31"	"34"	"5"	"151"	"47"	"5"	"1"	"1"	"3"	"1"	"1"	"4"	"2"	"4"	"1"	"5"	"265"	"0"	"265"	""	""
"43"	"32"	"17"	"0"	"170"	"41"	"4"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"3"	"0"	"0"	"240"	"0"	"240"	""	""
"44"	"33"	"28"	"2"	"122"	"96"	"13"	"1"	"1"	"2"	"0"	"1"	"3"	"7"	"6"	"2"	"12"	"296"	"0"	"296"	""	""
"45"	"34"	"42"	"3"	"279"	"35"	"4"	"2"	"1"	"2"	"1"	"0"	"5"	"3"	"10"	"7"	"7"	"401"	"0"	"401"	""	""
"46"	"35"	"16"	"2"	"346"	"20"	"3"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"394"	"0"	"394"	""	""
"47"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"48"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"49"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"50"	"36"	"242"	"9"	"204"	"75"	"3"	"6"	"0"	"3"	"2"	"0"	"2"	"5"	"3"	"1"	"6"	"561"	"0"	"561"	""	""
"51"	"37"	"114"	"5"	"46"	"22"	"1"	"2"	"2"	"2"	"0"	"1"	"0"	"2"	"2"	"2"	"10"	"211"	"0"	"211"	""	""
"52"	"38"	"45"	"3"	"281"	"89"	"10"	"3"	"2"	"1"	"1"	"4"	"1"	"5"	"6"	"3"	"2"	"456"	"0"	"456"	""	""
"53"	"39"	"18"	"2"	"56"	"54"	"10"	"4"	"6"	"6"	"4"	"7"	"4"	"14"	"7"	"5"	"12"	"209"	"0"	"209"	""	""
"54"	"40"	"17"	"4"	"330"	"43"	"5"	"2"	"2"	"4"	"0"	"0"	"3"	"6"	"3"	"3"	"3"	"425"	"0"	"425"	""	""
"55"	"41"	"22"	"2"	"104"	"72"	"11"	"4"	"4"	"2"	"0"	"3"	"10"	"22"	"19"	"7"	"13"	"295"	"0"	"295"	""	""
"56"	"42"	"53"	"2"	"171"	"61"	"2"	"3"	"1"	"1"	"0"	"2"	"1"	"2"	"8"	"5"	"9"	"321"	"0"	"321"	""	""
"57"	"Round-3"	"1789"	"140"	"5919"	"2764"	"228"	"103"	"78"	"55"	"36"	"58"	"203"	"186"	"251"	"90"	"224"	"12124"	"0"	"12124"	""	""
"58"	"43"	"20"	"3"	"111"	"51"	"11"	"5"	"0"	"1"	"1"	"1"	"2"	"3"	"8"	"2"	"10"	"229"	"0"	"229"	""	""
"59"	"44"	"115"	"5"	"47"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"2"	"2"	"186"	"0"	"186"	""	""
"60"	"45"	"125"	"4"	"120"	"132"	"7"	"3"	"5"	"1"	"1"	"4"	"4"	"4"	"7"	"1"	"9"	"427"	"0"	"427"	""	""
"61"	"46"	"94"	"4"	"18"	"130"	"10"	"1"	"0"	"1"	"0"	"0"	"0"	"6"	"4"	"1"	"1"	"270"	"0"	"270"	""	""
"62"	"47"	"12"	"3"	"81"	"5"	"3"	"3"	"3"	"0"	"1"	"1"	"2"	"1"	"6"	"4"	"11"	"136"	"0"	"136"	""	""
"63"	"48"	"103"	"3"	"183"	"74"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"9"	"1"	"8"	"397"	"0"	"397"	""	""
"64"	"49"	"99"	"5"	"54"	"39"	"3"	"0"	"3"	"1"	"4"	"2"	"0"	"5"	"11"	"3"	"17"	"246"	"0"	"246"	""	""
"65"	"50"	"32"	"3"	"139"	"157"	"10"	"3"	"2"	"1"	"0"	"2"	"4"	"9"	"5"	"4"	"7"	"378"	"0"	"378"	""	""
"66"	"51"	"78"	"4"	"38"	"139"	"16"	"4"	"5"	"6"	"2"	"4"	"5"	"5"	"6"	"3"	"11"	"326"	"0"	"326"	""	""
"67"	"52"	"72"	"1"	"138"	"47"	"1"	"1"	"0"	"0"	"0"	"0"	"8"	"2"	"1"	"2"	"0"	"273"	"0"	"273"	""	""
"68"	"53"	"101"	"2"	"126"	"7"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"4"	"0"	"4"	"250"	"0"	"250"	""	""
"69"	"54"	"56"	"3"	"257"	"29"	"3"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"7"	"3"	"4"	"371"	"0"	"371"	""	""
"70"	"55"	"77"	"3"	"184"	"148"	"8"	"2"	"1"	"1"	"0"	"3"	"3"	"7"	"8"	"3"	"8"	"456"	"0"	"456"	""	""
"71"	"56"	"64"	"3"	"13"	"45"	"6"	"3"	"0"	"1"	"0"	"0"	"15"	"3"	"5"	"1"	"14"	"173"	"0"	"173"	""	""
"72"	"Round-4"	"2837"	"186"	"7428"	"3771"	"316"	"132"	"100"	"72"	"47"	"77"	"247"	"246"	"333"	"120"	"330"	"16242"	"0"	"16242"	""	""
"73"	"57"	"27"	"31"	"168"	"34"	"6"	"2"	"5"	"2"	"5"	"1"	"3"	"23"	"11"	"5"	"10"	"333"	"0"	"333"	""	""
"74"	"58"	"83"	"13"	"4"	"50"	"12"	"0"	"1"	"3"	"0"	"1"	"4"	"7"	"6"	"0"	"4"	"188"	"0"	"188"	""	""
"75"	"59"	"20"	"2"	"65"	"147"	"17"	"2"	"7"	"4"	"2"	"2"	"2"	"14"	"10"	"6"	"25"	"325"	"0"	"325"	""	""
"76"	"60"	"13"	"0"	"25"	"126"	"13"	"6"	"2"	"2"	"1"	"1"	"5"	"5"	"4"	"0"	"9"	"212"	"0"	"212"	""	""
"77"	"61"	"24"	"4"	"170"	"77"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"3"	"1"	"2"	"290"	"0"	"290"	""	""
"78"	"62"	"42"	"1"	"101"	"210"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"366"	"0"	"366"	""	""
"79"	"63"	"11"	"3"	"36"	"106"	"11"	"2"	"1"	"2"	"0"	"0"	"2"	"5"	"0"	"2"	"0"	"181"	"0"	"181"	""	""
"80"	"64"	"4"	"0"	"28"	"70"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"1"	"112"	"0"	"112"	""	""
"81"	"65"	"4"	"0"	"33"	"60"	"8"	"0"	"1"	"0"	"1"	"2"	"2"	"5"	"9"	"1"	"7"	"133"	"0"	"133"	""	""
"82"	"66"	"147"	"7"	"99"	"37"	"5"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"5"	"2"	"7"	"315"	"0"	"315"	""	""
"83"	"67"	"46"	"4"	"157"	"53"	"4"	"2"	"3"	"1"	"0"	"3"	"1"	"3"	"13"	"3"	"7"	"300"	"0"	"300"	""	""
"84"	"68"	"99"	"1"	"70"	"38"	"3"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"5"	"1"	"14"	"239"	"0"	"239"	""	""
"85"	"69"	"108"	"27"	"105"	"123"	"8"	"5"	"2"	"1"	"1"	"4"	"4"	"14"	"15"	"3"	"10"	"430"	"0"	"430"	""	""
"86"	"70"	"74"	"1"	"35"	"47"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"164"	"0"	"164"	""	""
"87"	"Round-5"	"3539"	"280"	"8524"	"4949"	"416"	"155"	"125"	"90"	"58"	"93"	"277"	"333"	"418"	"146"	"427"	"19830"	"0"	"19830"	""	""
"88"	"71"	"173"	"1"	"96"	"22"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"7"	"0"	"4"	"308"	"0"	"308"	""	""
"89"	"72"	"88"	"3"	"68"	"30"	"9"	"5"	"3"	"4"	"0"	"1"	"6"	"15"	"3"	"2"	"3"	"240"	"0"	"240"	""	""
"90"	"73"	"38"	"6"	"91"	"111"	"16"	"3"	"4"	"2"	"0"	"0"	"5"	"7"	"19"	"4"	"5"	"311"	"0"	"311"	""	""
"91"	"74"	"96"	"2"	"57"	"15"	"4"	"2"	"1"	"0"	"1"	"0"	"0"	"17"	"10"	"1"	"8"	"214"	"0"	"214"	""	""
"92"	"75"	"226"	"6"	"104"	"26"	"1"	"5"	"1"	"0"	"2"	"1"	"0"	"4"	"13"	"2"	"12"	"403"	"0"	"403"	""	""
"93"	"76"	"118"	"2"	"129"	"88"	"7"	"3"	"3"	"1"	"2"	"2"	"1"	"7"	"5"	"4"	"11"	"383"	"0"	"383"	""	""
"94"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"95"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"96"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"97"	"77"	"114"	"7"	"107"	"38"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"4"	"2"	"1"	"3"	"283"	"0"	"283"	""	""
"98"	"78"	"4"	"2"	"156"	"7"	"2"	"2"	"4"	"1"	"1"	"1"	"9"	"11"	"15"	"2"	"7"	"224"	"0"	"224"	""	""
"99"	"79"	"62"	"1"	"153"	"277"	"9"	"1"	"1"	"0"	"0"	"0"	"8"	"5"	"0"	"1"	"3"	"521"	"0"	"521"	""	""
"100"	"80"	"67"	"1"	"189"	"31"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"4"	"5"	"4"	"309"	"0"	"309"	""	""
"101"	"81"	"33"	"3"	"321"	"31"	"1"	"7"	"0"	"0"	"1"	"1"	"8"	"47"	"5"	"0"	"4"	"462"	"0"	"462"	""	""
"102"	"82"	"12"	"0"	"50"	"97"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"174"	"0"	"174"	""	""
"103"	"83"	"96"	"4"	"160"	"29"	"9"	"13"	"3"	"5"	"0"	"1"	"2"	"28"	"3"	"2"	"6"	"361"	"0"	"361"	""	""
"104"	"84"	"14"	"3"	"522"	"34"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"8"	"6"	"1"	"0"	"596"	"0"	"596"	""	""
"105"	"Round-6"	"4680"	"321"	"10727"	"5785"	"487"	"202"	"150"	"104"	"66"	"101"	"321"	"496"	"511"	"171"	"497"	"24619"	"0"	"24619"	""	""
"106"	"85"	"20"	"3"	"178"	"56"	"6"	"26"	"6"	"2"	"5"	"1"	"3"	"143"	"4"	"2"	"6"	"461"	"0"	"461"	""	""
"107"	"86"	"157"	"21"	"202"	"21"	"2"	"13"	"1"	"0"	"0"	"2"	"0"	"7"	"1"	"0"	"2"	"429"	"0"	"429"	""	""
"108"	"87"	"41"	"2"	"105"	"33"	"5"	"11"	"1"	"0"	"2"	"1"	"4"	"64"	"5"	"4"	"4"	"282"	"0"	"282"	""	""
"109"	"88"	"9"	"2"	"116"	"84"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"4"	"4"	"1"	"2"	"228"	"0"	"228"	""	""
"110"	"89"	"75"	"3"	"142"	"17"	"1"	"2"	"3"	"0"	"5"	"2"	"1"	"7"	"9"	"2"	"14"	"283"	"0"	"283"	""	""
"111"	"90"	"115"	"5"	"195"	"50"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"5"	"3"	"5"	"385"	"0"	"385"	""	""
"112"	"91"	"62"	"4"	"45"	"4"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"4"	"129"	"0"	"129"	""	""
"113"	"92"	"40"	"2"	"83"	"93"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	"227"	"0"	"227"	""	""
"114"	"93"	"23"	"2"	"241"	"48"	"0"	"8"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"1"	"1"	"330"	"0"	"330"	""	""
"115"	"94"	"58"	"4"	"135"	"45"	"5"	"4"	"3"	"4"	"3"	"3"	"2"	"7"	"8"	"1"	"8"	"290"	"0"	"290"	""	""
"116"	"95"	"27"	"7"	"188"	"23"	"9"	"10"	"0"	"1"	"0"	"2"	"2"	"11"	"15"	"4"	"2"	"301"	"0"	"301"	""	""
"117"	"96"	"66"	"4"	"114"	"30"	"2"	"5"	"2"	"1"	"1"	"1"	"1"	"1"	"4"	"0"	"2"	"234"	"0"	"234"	""	""
"118"	"97"	"82"	"6"	"222"	"74"	"6"	"1"	"5"	"0"	"0"	"1"	"3"	"6"	"18"	"6"	"22"	"452"	"0"	"452"	""	""
"119"	"98"	"122"	"4"	"238"	"37"	"4"	"6"	"1"	"2"	"1"	"0"	"2"	"11"	"19"	"8"	"15"	"470"	"0"	"470"	""	""
"120"	"Round-7"	"5577"	"390"	"12931"	"6400"	"536"	"289"	"177"	"114"	"85"	"115"	"347"	"762"	"608"	"204"	"585"	"29120"	"0"	"29120"	""	""
"121"	"99"	"55"	"2"	"119"	"35"	"1"	"2"	"2"	"1"	"0"	"0"	"2"	"0"	"2"	"4"	"1"	"226"	"0"	"226"	""	""
"122"	"100"	"68"	"10"	"117"	"20"	"7"	"1"	"1"	"3"	"1"	"1"	"1"	"2"	"7"	"4"	"7"	"250"	"0"	"250"	""	""
"123"	"101"	"196"	"10"	"102"	"16"	"2"	"3"	"2"	"1"	"2"	"3"	"4"	"4"	"10"	"10"	"28"	"393"	"0"	"393"	""	""
"124"	"102"	"74"	"12"	"216"	"29"	"6"	"1"	"10"	"7"	"4"	"3"	"0"	"4"	"6"	"1"	"13"	"386"	"0"	"386"	""	""
"125"	"103"	"204"	"3"	"129"	"10"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"356"	"0"	"356"	""	""
"126"	"104"	"125"	"2"	"84"	"142"	"13"	"1"	"1"	"3"	"3"	"2"	"3"	"4"	"18"	"3"	"16"	"420"	"0"	"420"	""	""
"127"	"105"	"46"	"1"	"101"	"76"	"16"	"3"	"3"	"0"	"0"	"0"	"1"	"10"	"10"	"2"	"4"	"273"	"0"	"273"	""	""
"128"	"106"	"116"	"5"	"95"	"10"	"1"	"4"	"2"	"2"	"0"	"0"	"4"	"12"	"20"	"25"	"22"	"318"	"0"	"318"	""	""
"129"	"107"	"69"	"5"	"63"	"107"	"9"	"10"	"10"	"5"	"3"	"4"	"4"	"3"	"7"	"3"	"4"	"306"	"0"	"306"	""	""
"130"	"108"	"93"	"4"	"23"	"151"	"14"	"4"	"4"	"0"	"2"	"2"	"3"	"12"	"5"	"1"	"11"	"329"	"0"	"329"	""	""
"131"	"109"	"50"	"25"	"374"	"20"	"4"	"3"	"3"	"21"	"5"	"1"	"2"	"5"	"10"	"9"	"17"	"549"	"0"	"549"	""	""
"132"	"110"	"191"	"10"	"123"	"24"	"5"	"7"	"8"	"2"	"2"	"3"	"5"	"10"	"11"	"9"	"27"	"437"	"0"	"437"	""	""
"133"	"111"	"106"	"5"	"220"	"59"	"6"	"3"	"1"	"0"	"1"	"1"	"2"	"3"	"2"	"1"	"9"	"419"	"0"	"419"	""	""
"134"	"112"	"110"	"3"	"181"	"18"	"1"	"4"	"3"	"5"	"3"	"2"	"2"	"2"	"3"	"1"	"6"	"344"	"0"	"344"	""	""
"135"	"Round-8"	"7080"	"487"	"14878"	"7117"	"623"	"336"	"228"	"164"	"112"	"137"	"380"	"833"	"721"	"277"	"753"	"34126"	"0"	"34126"	""	""
"136"	"113"	"74"	"5"	"117"	"7"	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"3"	"6"	"5"	"225"	"0"	"225"	""	""
"137"	"114"	"169"	"6"	"153"	"52"	"4"	"2"	"2"	"1"	"0"	"0"	"6"	"0"	"14"	"1"	"4"	"414"	"0"	"414"	""	""
"138"	"115"	"223"	"6"	"226"	"17"	"2"	"2"	"2"	"9"	"6"	"0"	"4"	"3"	"9"	"3"	"18"	"530"	"0"	"530"	""	""
"139"	"116"	"222"	"4"	"92"	"20"	"4"	"3"	"1"	"2"	"0"	"0"	"6"	"0"	"0"	"1"	"27"	"382"	"0"	"382"	""	""
"140"	"117"	"207"	"1"	"190"	"36"	"5"	"3"	"0"	"4"	"0"	"0"	"7"	"1"	"4"	"4"	"2"	"464"	"0"	"464"	""	""
"141"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"142"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"143"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"144"	"118"	"224"	"8"	"132"	"28"	"2"	"4"	"6"	"0"	"1"	"1"	"2"	"4"	"6"	"2"	"11"	"431"	"0"	"431"	""	""
"145"	"119"	"46"	"1"	"20"	"68"	"109"	"2"	"5"	"3"	"1"	"4"	"16"	"11"	"13"	"3"	"10"	"312"	"0"	"312"	""	""
"146"	"120"	"67"	"5"	"309"	"12"	"2"	"4"	"2"	"0"	"4"	"2"	"1"	"1"	"3"	"2"	"19"	"433"	"0"	"433"	""	""
"147"	"121"	"27"	"7"	"241"	"61"	"5"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"2"	"1"	"352"	"0"	"352"	""	""
"148"	"122"	"44"	"5"	"235"	"25"	"3"	"0"	"3"	"1"	"1"	"1"	"1"	"2"	"4"	"0"	"1"	"326"	"0"	"326"	""	""
"149"	"123"	"391"	"11"	"10"	"10"	"12"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"5"	"15"	"462"	"0"	"462"	""	""
"150"	"124"	"80"	"1"	"141"	"48"	"2"	"2"	"1"	"2"	"2"	"1"	"8"	"4"	"3"	"4"	"11"	"310"	"0"	"310"	""	""
"151"	"125"	"89"	"2"	"157"	"22"	"9"	"1"	"1"	"2"	"1"	"0"	"5"	"1"	"3"	"1"	"4"	"298"	"0"	"298"	""	""
"152"	"126"	"148"	"7"	"139"	"28"	"5"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"3"	"0"	"9"	"350"	"0"	"350"	""	""
"153"	"Round-9"	"9091"	"556"	"17040"	"7551"	"789"	"362"	"257"	"192"	"131"	"148"	"440"	"864"	"793"	"311"	"890"	"39415"	"0"	"39415"	""	""
"154"	"127"	"33"	"13"	"72"	"140"	"11"	"2"	"1"	"0"	"0"	"0"	"1"	"8"	"15"	"4"	"9"	"309"	"0"	"309"	""	""
"155"	"128"	"282"	"3"	"18"	"20"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"331"	"0"	"331"	""	""
