"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"14"	"3"	"SALEMPUR KACHHARI(EASTERN PART)"	"136"	"7"	"291"	"55"	"5"	"14"	"2"	"3"	"43"	"15"	"2"	"8"	"2"	"10"	"5"	"598"	"0"	"598"	"0"
"15"	"4"	"PRIMARY SCHOOL BAGHAKOL"	"226"	"9"	"87"	"37"	"6"	"0"	"0"	"0"	"8"	"9"	"2"	"0"	"0"	"2"	"2"	"388"	"0"	"388"	"0"
"16"	"5"	"SAHKARITA GODAM SALEMPUR"	"56"	"4"	"110"	"71"	"5"	"0"	"0"	"2"	"77"	"11"	"3"	"3"	"0"	"4"	"5"	"351"	"0"	"351"	"0"
"17"	"6"	"PRIMARY SCHOOL TEKMESAR"	"61"	"0"	"13"	"71"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"0"	"151"	"0"
"18"	"7"	"HARIJAN DALAN PIAPRA"	"153"	"13"	"24"	"181"	"4"	"1"	"4"	"0"	"105"	"3"	"0"	"9"	"1"	"2"	"2"	"502"	"0"	"502"	"0"
"19"	"8"	"PRIMARY SCHOOL BASMANPUR"	"106"	"7"	"24"	"14"	"9"	"1"	"1"	"0"	"103"	"1"	"0"	"1"	"1"	"1"	"0"	"269"	"0"	"269"	"0"
"20"	"9"	"PRIMARY SCHOOL PIPRA"	"15"	"41"	"124"	"53"	"4"	"2"	"1"	"1"	"5"	"0"	"0"	"1"	"0"	"1"	"0"	"248"	"0"	"248"	"0"
"21"	"10"	"PANCHAYAT BHAWAN BEHRA"	"241"	"10"	"21"	"40"	"11"	"7"	"2"	"0"	"26"	"1"	"0"	"5"	"4"	"5"	"4"	"377"	"0"	"377"	"0"
"22"	"11"	"PRIMARY SCHOOL BEHAR"	"81"	"3"	"7"	"33"	"5"	"3"	"4"	"4"	"205"	"5"	"3"	"7"	"6"	"2"	"4"	"372"	"0"	"372"	"0"
"23"	"12"	"PRIMARY SCHOOL AGARSANDA"	"142"	"7"	"195"	"24"	"6"	"2"	"4"	"5"	"86"	"3"	"0"	"4"	"5"	"11"	"6"	"500"	"0"	"500"	"0"
"24"	"13"	"PRIMARY SCHOOL PAWAT"	"139"	"37"	"198"	"29"	"178"	"1"	"0"	"1"	"10"	"5"	"0"	"2"	"0"	"4"	"1"	"605"	"0"	"605"	"0"
"25"	"14"	"PRIMARY SCHOOL SEMARIYAN"	"313"	"10"	"27"	"14"	"1"	"0"	"1"	"1"	"70"	"4"	"1"	"0"	"0"	"1"	"2"	"445"	"0"	"445"	"0"
"26"	"15"	"PRIMARY SCHOOL DHARAMPURA"	"229"	"17"	"23"	"48"	"8"	"3"	"1"	"5"	"64"	"2"	"0"	"1"	"0"	"0"	"0"	"401"	"0"	"401"	"0"
"27"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"28"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"29"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"31"	"16"	"PRIMARY SCHOOL PURSOTAMPUR"	"147"	"21"	"28"	"14"	"2"	"2"	"2"	"2"	"71"	"1"	"1"	"4"	"2"	"0"	"3"	"300"	"0"	"300"	"0"
"32"	"17"	"PRIMARY SCHOOL SINGHITALA"	"179"	"8"	"19"	"49"	"5"	"3"	"4"	"4"	"83"	"2"	"1"	"1"	"3"	"0"	"3"	"364"	"0"	"364"	"0"
"33"	"18"	"MIDDLE SCHOOL HEMANTPUR"	"796"	"7"	"42"	"83"	"11"	"1"	"0"	"0"	"5"	"7"	"0"	"1"	"1"	"2"	"1"	"957"	"0"	"957"	"0"
"34"	"19"	"PRIMARY SCHOOL MAINPURA"	"312"	"4"	"28"	"97"	"3"	"9"	"12"	"6"	"115"	"12"	"1"	"8"	"2"	"2"	"12"	"623"	"0"	"623"	"0"
"35"	"20"	"PRIMARY SCHOOL SHUKALPURA(BALAK)"	"289"	"10"	"58"	"72"	"5"	"1"	"2"	"1"	"19"	"1"	"0"	"0"	"1"	"1"	"7"	"467"	"0"	"467"	"0"
"36"	"21"	"PRIMARY SCHOOL DARIYAPUR"	"626"	"0"	"23"	"49"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"701"	"0"	"701"	"0"
"37"	"22"	"GIRL PRIMARY SCHOOL DARIYAPUR"	"264"	"6"	"5"	"13"	"0"	"1"	"1"	"0"	"12"	"0"	"0"	"1"	"3"	"2"	"4"	"312"	"0"	"312"	"0"
"38"	"23"	"PRIMARY SCHOOL GANUALI"	"402"	"6"	"26"	"12"	"2"	"0"	"1"	"1"	"46"	"2"	"0"	"4"	"3"	"1"	"3"	"509"	"0"	"509"	"0"
"39"	"24"	"SAMUDAYIK BHWAN MILKI"	"160"	"4"	"80"	"10"	"2"	"0"	"0"	"1"	"5"	"1"	"0"	"0"	"2"	"1"	"2"	"268"	"0"	"268"	"0"
"40"	"25"	"PRIMARY SCHOOL JOKHARPUR"	"129"	"1"	"205"	"6"	"2"	"1"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"351"	"0"	"351"	"0"
"41"	"26"	"BHAGRASANA PRIMARY SCHOOL DHAMAR"	"190"	"12"	"54"	"11"	"3"	"73"	"2"	"5"	"31"	"2"	"2"	"5"	"4"	"9"	"8"	"411"	"0"	"411"	"0"
"42"	"27"	"MIDDLE SCHOOL DHAMAR(EASTERN PART)"	"37"	"3"	"363"	"8"	"5"	"31"	"0"	"2"	"3"	"6"	"0"	"1"	"4"	"3"	"2"	"468"	"0"	"468"	"0"
"43"	"28"	"MIDDLE SCHOOL DHAMAR(WESTERN PART)"	"33"	"39"	"12"	"10"	"5"	"8"	"5"	"7"	"298"	"11"	"6"	"13"	"4"	"3"	"6"	"460"	"0"	"460"	"0"
"44"	"29"	"PANCHAYAT BHAWAN DHAMAR"	"103"	"5"	"76"	"16"	"4"	"27"	"0"	"5"	"68"	"14"	"4"	"12"	"9"	"13"	"24"	"380"	"0"	"380"	"0"
"45"	"30"	"PRIMARY SCHOOL GHORADEYI"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"46"	"31"	"PRIMARY SCHOOL UDAIPUR"	"120"	"2"	"0"	"5"	"39"	"0"	"1"	"2"	"42"	"5"	"0"	"3"	"7"	"4"	"4"	"234"	"0"	"234"	"0"
"47"	"32"	"MIDDLE SCHOOL KHAJURIYA(EASTERN PART)"	"51"	"5"	"265"	"60"	"5"	"2"	"4"	"6"	"109"	"12"	"4"	"15"	"3"	"7"	"7"	"555"	"0"	"555"	"0"
"48"	"33"	"MIDDLE SCHOOL KHJURIYA(WESTERN PART)"	"375"	"1"	"29"	"24"	"18"	"7"	"3"	"0"	"69"	"3"	"0"	"0"	"0"	"1"	"1"	"531"	"0"	"531"	"0"
"49"	"34"	"PRIMARY SCHOOL CHITKUNDI"	"83"	"15"	"216"	"23"	"1"	"8"	"1"	"0"	"128"	"4"	"3"	"8"	"1"	"0"	"5"	"496"	"0"	"496"	"0"
"50"	"35"	"PRIMARY SCHOOL JURA"	"116"	"3"	"59"	"22"	"4"	"1"	"2"	"3"	"76"	"3"	"1"	"4"	"1"	"1"	"4"	"300"	"0"	"300"	"0"
"51"	"36"	"PRIMARY SCHOOL AMARPUR MAKHATIYA"	"227"	"50"	"2"	"11"	"4"	"5"	"3"	"1"	"64"	"29"	"1"	"11"	"6"	"2"	"4"	"420"	"0"	"420"	"0"
"52"	"37"	"PRIMARY SCHOOL SUNDERPUR KURIYA"	"108"	"3"	"93"	"17"	"7"	"4"	"1"	"0"	"92"	"4"	"2"	"0"	"2"	"1"	"3"	"337"	"0"	"337"	"0"
"53"	"38"	"MIDDLE SCHOOL PAITHANPUR"	"257"	"86"	"11"	"98"	"1"	"19"	"1"	"0"	"24"	"18"	"0"	"1"	"1"	"0"	"0"	"517"	"0"	"517"	"0"
"54"	"39"	"PRIMARY SCHOOL KHUSHALPUR"	"94"	"38"	"198"	"9"	"0"	"7"	"1"	"0"	"41"	"14"	"1"	"2"	"0"	"6"	"2"	"413"	"0"	"413"	"0"
"55"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"56"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"57"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"59"	"40"	"PRIMARY SCHOOL GANGHAR TOLA ENGLISH"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"60"	"41"	"MIDDLE SCHOOL GANGAHAR(NORTHERN PART)"	"268"	"21"	"45"	"16"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"359"	"0"	"359"	"0"
"61"	"42"	"MIDDLE SCHOOL GANGHAR(SOUTHERN PART)"	"44"	"3"	"125"	"11"	"2"	"5"	"0"	"0"	"156"	"4"	"0"	"1"	"1"	"0"	"0"	"352"	"0"	"352"	"0"
"62"	"43"	"PRIMARY SCHOOL BELGHAT"	"321"	"2"	"9"	"8"	"2"	"0"	"0"	"0"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"351"	"0"	"351"	"0"
"63"	"44"	"PRIMARY SCHOOL DURAOUNDHA"	"175"	"5"	"101"	"35"	"4"	"13"	"0"	"2"	"20"	"1"	"0"	"0"	"1"	"2"	"3"	"362"	"0"	"362"	"0"
"64"	"45"	"HIGH BASIC SCHOOL MAHULI"	"289"	"157"	"44"	"21"	"0"	"2"	"1"	"0"	"63"	"0"	"1"	"3"	"3"	"1"	"1"	"586"	"0"	"586"	"0"
"65"	"46"	"GIRLS SCHOOL MAHULI"	"453"	"4"	"24"	"36"	"5"	"2"	"7"	"5"	"103"	"0"	"0"	"3"	"5"	"0"	"5"	"652"	"0"	"652"	"0"
"66"	"47"	"PRIMARY SCHOOL NIRMALPUR"	"133"	"2"	"60"	"10"	"2"	"3"	"2"	"6"	"64"	"1"	"1"	"0"	"3"	"0"	"1"	"288"	"0"	"288"	"0"
"67"	"48"	"PRIMARY SCHOOL SAIDPUR"	"27"	"0"	"4"	"7"	"1"	"1"	"0"	"1"	"17"	"1"	"1"	"2"	"1"	"1"	"1"	"65"	"0"	"65"	"0"
"68"	"49"	"HIGH SCHOOL KARARI(EASTERN PART)"	"27"	"2"	"227"	"13"	"2"	"8"	"1"	"2"	"206"	"2"	"2"	"6"	"1"	"1"	"6"	"506"	"0"	"506"	"0"
"69"	"50"	"HIGH SCHOOL KARARI(WESTERN PART)"	"19"	"4"	"185"	"153"	"3"	"5"	"4"	"3"	"136"	"3"	"2"	"5"	"11"	"2"	"15"	"550"	"0"	"550"	"0"
"70"	"51"	"HIGH SCHOOL KARARI(MIDDLE PART)"	"25"	"12"	"38"	"43"	"0"	"25"	"4"	"4"	"161"	"4"	"2"	"3"	"0"	"2"	"1"	"324"	"0"	"324"	"0"
"71"	"52"	"GIRLS PATHSALA DEVRHI"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"8"	"0"
"72"	"53"	"PRIMARY SCHOOL MOHANPUR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"73"	"54"	"PRIMARY SCHOOL KARARA"	"201"	"31"	"79"	"44"	"1"	"0"	"0"	"0"	"26"	"0"	"0"	"1"	"2"	"0"	"3"	"388"	"0"	"388"	"0"
"74"	"55"	"KANYA PATHSALA DHOBHAN"	"144"	"7"	"43"	"32"	"0"	"0"	"1"	"3"	"91"	"2"	"2"	"6"	"3"	"0"	"4"	"338"	"0"	"338"	"0"
"75"	"56"	"MIDDLE SCHOOL BHEDEYA"	"201"	"14"	"66"	"37"	"15"	"0"	"5"	"0"	"33"	"0"	"0"	"2"	"2"	"1"	"5"	"381"	"0"	"381"	"0"
"76"	"57"	"PRIMARY SCHOOL SARSIWAN"	"118"	"5"	"32"	"20"	"3"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"2"	"1"	"191"	"0"	"191"	"0"
"77"	"58"	"MIDDLE SCHOOL BASANTPUR"	"723"	"2"	"15"	"32"	"1"	"3"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"782"	"0"	"782"	"0"
"78"	"59"	"PRIMARY SCHOOL RAMPUR"	"687"	"2"	"6"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"701"	"0"	"701"	"0"
"79"	"60"	"PANCHAYAT BHAWAN BASANTPUR"	"484"	"3"	"6"	"11"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"508"	"0"	"508"	"0"
"80"	"61"	"PRIMARY SCHOOL BELA"	"330"	"8"	"91"	"56"	"2"	"6"	"3"	"1"	"7"	"0"	"1"	"5"	"0"	"2"	"3"	"515"	"0"	"515"	"0"
"81"	"62"	"PRIMARY SCHOOL RAMPURMATHIYA"	"109"	"6"	"119"	"73"	"3"	"2"	"0"	"2"	"53"	"52"	"2"	"2"	"1"	"8"	"16"	"448"	"0"	"448"	"0"
"82"	"63"	"HIGH SCHOOL PIROUTA(SOUTH PART)"	"17"	"3"	"84"	"24"	"4"	"2"	"8"	"5"	"180"	"197"	"2"	"1"	"1"	"1"	"16"	"545"	"0"	"545"	"0"
"83"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"84"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"85"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"87"	"64"	"HIGH SCHOOL PIROUTA(NORTHERN PART)"	"113"	"2"	"148"	"27"	"3"	"2"	"2"	"1"	"87"	"82"	"0"	"5"	"4"	"0"	"4"	"480"	"0"	"480"	"0"
"88"	"65"	"PRIMARY SCHOOL NAGOPUR"	"381"	"7"	"73"	"12"	"2"	"1"	"0"	"0"	"39"	"21"	"0"	"3"	"0"	"1"	"3"	"543"	"0"	"543"	"0"
"89"	"66"	"PRIMARY SCHOOL PIPRA JAYPAL"	"219"	"5"	"11"	"25"	"4"	"5"	"0"	"1"	"16"	"62"	"1"	"1"	"0"	"3"	"4"	"357"	"0"	"357"	"0"
"90"	"67"	"PRIMARY SCHOOL JOGWALIYA"	"109"	"2"	"23"	"21"	"2"	"5"	"4"	"4"	"142"	"2"	"4"	"5"	"0"	"2"	"6"	"331"	"0"	"331"	"0"
"91"	"68"	"MIDDLE SCHOOL RAMAPUR SANDIYA"	"261"	"7"	"159"	"47"	"1"	"16"	"8"	"6"	"248"	"5"	"1"	"2"	"3"	"2"	"3"	"769"	"0"	"769"	"0"
"92"	"69"	"PRIMARY SCHOOL RAMAPUR"	"146"	"9"	"108"	"52"	"3"	"0"	"3"	"3"	"98"	"1"	"1"	"3"	"1"	"2"	"6"	"436"	"0"	"436"	"0"
"93"	"70"	"KANYA PATHSALA BABHANNAULI"	"278"	"0"	"4"	"48"	"4"	"1"	"1"	"1"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"416"	"0"	"416"	"0"
"94"	"71"	"HIGH SCHOOL BAKHRIYA"	"211"	"5"	"38"	"14"	"1"	"7"	"1"	"0"	"29"	"2"	"0"	"3"	"0"	"1"	"1"	"313"	"0"	"313"	"0"
"95"	"72"	"PANCHAYAT BHAWAN BALUWAN"	"361"	"120"	"19"	"34"	"1"	"1"	"0"	"0"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"555"	"0"	"555"	"0"
"96"	"73"	"PRIMARY SCHOOL RAMDEO CHAPRA"	"305"	"3"	"56"	"17"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"14"	"0"	"401"	"0"	"401"	"0"
"97"	"74"	"PRIMARY SCHOOL RATANPUR"	"145"	"1"	"135"	"93"	"0"	"3"	"2"	"4"	"191"	"10"	"1"	"5"	"4"	"4"	"5"	"603"	"0"	"603"	"0"
"98"	"75"	"PRIMARY SCHOOL RATAN DULARPUR"	"8"	"2"	"263"	"12"	"1"	"5"	"1"	"0"	"22"	"65"	"0"	"0"	"1"	"0"	"5"	"385"	"0"	"385"	"0"
"99"	"76"	"PRIMARY SCHOOL  CHHOTAKI SANDIYA(EASTERN"	"21"	"7"	"218"	"19"	"5"	"28"	"8"	"9"	"57"	"5"	"4"	"6"	"13"	"12"	"10"	"422"	"0"	"422"	"0"
"100"	"77"	"PRIMARY SCHOOL CHHOTAKI SANDIYA(WESTERN"	"27"	"7"	"340"	"22"	"3"	"16"	"2"	"8"	"182"	"4"	"5"	"7"	"10"	"10"	"6"	"649"	"0"	"649"	"0"
"101"	"78"	"PRIMARY SCHOOL CHAKIYA"	"1"	"0"	"224"	"43"	"0"	"0"	"0"	"0"	"21"	"246"	"1"	"0"	"0"	"0"	"18"	"554"	"0"	"554"	"0"
"102"	"79"	"PRIMARY SCHOOL SARANGPUR"	"203"	"7"	"107"	"46"	"6"	"64"	"12"	"2"	"145"	"10"	"6"	"6"	"1"	"6"	"1"	"622"	"0"	"622"	"0"
"103"	"80"	"PRIMARY SCHOOL MAKHDUMPUR DUMRA"	"20"	"2"	"77"	"9"	"2"	"1"	"1"	"2"	"87"	"2"	"2"	"6"	"3"	"2"	"5"	"221"	"0"	"221"	"0"
"104"	"81"	"PANCHAYAT BHAWAN BHELDUMRA"	"79"	"6"	"63"	"100"	"2"	"9"	"1"	"1"	"48"	"3"	"0"	"4"	"15"	"2"	"13"	"346"	"0"	"346"	"0"
"105"	"82"	"PRIMARY KANYA PATHSALA SHOBHIDUMRA(EAST"	"125"	"3"	"102"	"18"	"1"	"7"	"11"	"6"	"231"	"6"	"3"	"3"	"1"	"3"	"0"	"520"	"0"	"520"	"0"
"106"	"83"	"PRIMARY SCHOOL PATHSALA SHOBHIDUMRA(WE"	"402"	"0"	"76"	"9"	"1"	"1"	"0"	"0"	"43"	"10"	"0"	"0"	"1"	"1"	"1"	"545"	"0"	"545"	"0"
"107"	"84"	"RAMNAMA MIDDELE SCHOOL BARKADUMRA(WES"	"326"	"7"	"7"	"93"	"4"	"15"	"1"	"0"	"91"	"2"	"0"	"3"	"0"	"0"	"1"	"550"	"0"	"550"	"0"
"108"	"85"	"RAMNAMA MIDDLE SCHOOL BARKADUMRA(EASTE"	"22"	"2"	"197"	"20"	"1"	"23"	"2"	"5"	"153"	"0"	"2"	"1"	"0"	"0"	"0"	"428"	"0"	"428"	"0"
"109"	"86"	"PRIMARY SCHOOL CHITRASENPUR"	"4"	"3"	"965"	"8"	"0"	"0"	"0"	"1"	"23"	"2"	"0"	"1"	"0"	"0"	"1"	"1008"	"0"	"1008"	"0"
"110"	"87"	"PRIMARY SCHOOL MAHKAMPUR BALUWAN"	"2"	"1"	"696"	"0"	"0"	"1"	"0"	"1"	"4"	"21"	"0"	"1"	"0"	"0"	"1"	"728"	"0"	"728"	"0"
"111"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"112"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"113"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"115"	"88"	"PRIMARY SCHOOL MATHWALIYA"	"546"	"2"	"23"	"35"	"0"	"2"	"0"	"3"	"2"	"5"	"0"	"1"	"0"	"4"	"0"	"623"	"0"	"623"	"0"
"116"	"89"	"MIDDLE SCHOOL DHUDHUAN"	"20"	"4"	"446"	"13"	"2"	"3"	"2"	"10"	"46"	"0"	"3"	"1"	"6"	"6"	"7"	"569"	"0"	"569"	"0"
"117"	"90"	"PRIMARY SCHOOL DAULATPUR(SOUTHERN PART"	"0"	"0"	"961"	"3"	"0"	"0"	"0"	"2"	"2"	"5"	"0"	"0"	"1"	"0"	"1"	"975"	"0"	"975"	"0"
"118"	"91"	"PRIMARY SCHOOL DAULATPUR(NORTHERN PART"	"5"	"3"	"472"	"29"	"0"	"3"	"1"	"4"	"10"	"4"	"0"	"0"	"1"	"0"	"3"	"535"	"0"	"535"	"0"
"119"	"92"	"PRIMARY SCHOOL BASANTPUR"	"79"	"5"	"153"	"3"	"0"	"1"	"4"	"3"	"82"	"0"	"0"	"0"	"0"	"1"	"2"	"333"	"0"	"333"	"0"
"120"	"93"	"PRIMARY SCHOOL MAHKAMPUR BARA"	"29"	"7"	"411"	"29"	"4"	"10"	"9"	"17"	"242"	"10"	"10"	"14"	"12"	"9"	"32"	"845"	"0"	"845"	"0"
"121"	"94"	"MIDDLE SCHOOL BHAKURA(EASTERN PART)"	"97"	"9"	"208"	"24"	"1"	"4"	"4"	"4"	"60"	"10"	"4"	"2"	"13"	"14"	"16"	"470"	"0"	"470"	"0"
"122"	"95"	"MIDDLE SCHOOL BHAKURA(WESTERN PART)"	"146"	"6"	"37"	"10"	"5"	"8"	"6"	"11"	"177"	"9"	"2"	"8"	"4"	"7"	"10"	"446"	"0"	"446"	"0"
"123"	"96"	"PRIMARY SCHOOL LAXMANPUR"	"131"	"19"	"331"	"29"	"1"	"3"	"2"	"7"	"154"	"11"	"5"	"9"	"10"	"11"	"11"	"734"	"0"	"734"	"0"
"124"	"97 A"	"MIDDLE SCHOOL JAMIRA(EASTERN PART)"	"21"	"3"	"137"	"8"	"2"	"0"	"1"	"1"	"56"	"53"	"2"	"4"	"4"	"7"	"20"	"319"	"0"	"319"	"0"
