"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"22"	"12"	"12"	"2"	"1"	"4"	"642"	"10"	"1"	"0"	"1"	"1"	"3"	"4"	"1"	"1"	"0"	"671"	"0"	"671"	"0"
"23"	"13"	"13"	"5"	"5"	"4"	"560"	"27"	"0"	"2"	"2"	"10"	"4"	"9"	"11"	"2"	"10"	"651"	"0"	"651"	"0"
"24"	"14"	"14"	"0"	"0"	"1"	"479"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"483"	"0"	"483"	"0"
"25"	"Total Votes Polled"	""	"76"	"20"	"78"	"6266"	"100"	"15"	"34"	"19"	"89"	"611"	"78"	"77"	"41"	"71"	"7575"	"0"	"7575"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"15"	"1"	"1"	"0"	"521"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"0"	"531"	"0"	"531"	"0"
"44"	"2"	"16"	"22"	"6"	"3"	"454"	"12"	"3"	"4"	"0"	"1"	"3"	"3"	"4"	"0"	"5"	"520"	"0"	"520"	"0"
"45"	"3"	"17"	"0"	"0"	"1"	"724"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"731"	"0"	"731"	"0"
"46"	"4"	"18"	"4"	"3"	"2"	"6"	"3"	"2"	"4"	"6"	"11"	"356"	"2"	"0"	"0"	"2"	"401"	"0"	"401"	"0"
"47"	"5"	"19"	"0"	"0"	"0"	"521"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"525"	"0"	"525"	"0"
"48"	"6"	"20"	"0"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"3"	"723"	"4"	"1"	"1"	"0"	"741"	"0"	"741"	"0"
"49"	"7"	"21"	"8"	"0"	"2"	"23"	"3"	"3"	"2"	"5"	"17"	"176"	"4"	"8"	"4"	"7"	"262"	"0"	"262"	"0"
"50"	"8"	"22"	"0"	"0"	"1"	"4"	"4"	"1"	"5"	"7"	"29"	"554"	"3"	"8"	"6"	"2"	"624"	"0"	"624"	"0"
"51"	"9"	"23"	"2"	"2"	"219"	"138"	"3"	"1"	"2"	"2"	"15"	"318"	"0"	"1"	"1"	"3"	"707"	"0"	"707"	"0"
"52"	"10"	"24"	"1"	"2"	"18"	"312"	"1"	"0"	"0"	"1"	"15"	"459"	"1"	"3"	"2"	"5"	"820"	"0"	"820"	"0"
"53"	"11"	"25"	"0"	"0"	"3"	"601"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"606"	"0"	"606"	"0"
"54"	"12"	"26"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"5"	"504"	"0"	"0"	"0"	"2"	"520"	"0"	"520"	"0"
"55"	"13"	"27R"	"7"	"3"	"4"	"284"	"19"	"5"	"11"	"2"	"7"	"60"	"6"	"7"	"3"	"1"	"419"	"0"	"419"	"0"
"56"	"14"	"28"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"20"	"296"	"4"	"0"	"2"	"4"	"330"	"0"	"330"	"0"
"57"	"Total Votes Polled"	""	"46"	"17"	"254"	"3608"	"54"	"15"	"28"	"23"	"126"	"3455"	"27"	"34"	"19"	"31"	"7737"	"0"	"7737"	"0"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"29"	"0"	"0"	"1"	"803"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"805"	"0"	"805"	"0"
"76"	"2"	"30"	"0"	"0"	"2"	"405"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"409"	"0"	"409"	"0"
"77"	"3"	"31"	"0"	"0"	"0"	"976"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"978"	"0"	"978"	"0"
"78"	"4"	"32"	"0"	"0"	"3"	"761"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"769"	"0"	"769"	"0"
"79"	"5"	"33"	"0"	"1"	"0"	"518"	"5"	"0"	"0"	"1"	"1"	"8"	"0"	"1"	"0"	"0"	"535"	"0"	"535"	"0"
"80"	"6"	"34"	"0"	"1"	"12"	"5"	"3"	"4"	"6"	"4"	"34"	"444"	"6"	"3"	"1"	"2"	"525"	"0"	"525"	"0"
"81"	"7"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"528"	"1"	"0"	"0"	"0"	"529"	"0"	"529"	"0"
"82"	"8"	"36"	"0"	"0"	"0"	"32"	"1"	"0"	"0"	"2"	"11"	"804"	"1"	"1"	"0"	"1"	"853"	"0"	"853"	"0"
"83"	"9"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	"839"	"3"	"0"	"0"	"0"	"851"	"0"	"851"	"0"
"84"	"10"	"38"	"3"	"3"	"7"	"126"	"12"	"2"	"4"	"2"	"24"	"80"	"6"	"9"	"9"	"6"	"293"	"0"	"293"	"0"
"85"	"11"	"39"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"12"	"192"	"2"	"2"	"2"	"0"	"216"	"0"	"216"	"0"
"86"	"12"	"40"	"0"	"1"	"0"	"2"	"5"	"0"	"0"	"1"	"15"	"561"	"3"	"2"	"0"	"2"	"592"	"0"	"592"	"0"
"87"	"13"	"41"	"0"	"0"	"0"	"631"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"631"	"0"	"631"	"0"
"88"	"14"	"42"	"14"	"1"	"7"	"578"	"12"	"6"	"4"	"2"	"23"	"60"	"2"	"5"	"1"	"7"	"722"	"0"	"722"	"0"
"89"	"Total Votes Polled"	""	"18"	"8"	"32"	"4839"	"41"	"13"	"15"	"13"	"128"	"3519"	"24"	"27"	"13"	"18"	"8708"	"0"	"8708"	"0"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"43"	"0"	"0"	"0"	"11"	"0"	"0"	"1"	"3"	"4"	"403"	"2"	"2"	"3"	"2"	"431"	"0"	"431"	"0"
"108"	"2"	"44"	"0"	"0"	"2"	"648"	"2"	"2"	"0"	"0"	"3"	"41"	"1"	"0"	"1"	"2"	"702"	"0"	"702"	"0"
"109"	"3"	"45"	"0"	"0"	"1"	"468"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"469"	"0"	"469"	"0"
"110"	"4"	"46"	"1"	"0"	"2"	"114"	"2"	"0"	"3"	"2"	"13"	"277"	"5"	"2"	"0"	"0"	"421"	"0"	"421"	"0"
"111"	"5"	"47"	"0"	"0"	"0"	"432"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"435"	"0"	"435"	"0"
"112"	"6"	"48R"	"4"	"0"	"0"	"96"	"1"	"1"	"3"	"0"	"3"	"159"	"5"	"1"	"0"	"1"	"274"	"0"	"274"	"0"
"113"	"7"	"49"	"1"	"1"	"2"	"286"	"1"	"0"	"1"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"301"	"0"	"301"	"0"
"114"	"8"	"50"	"2"	"0"	"2"	"2"	"14"	"5"	"15"	"8"	"48"	"704"	"10"	"3"	"3"	"9"	"825"	"0"	"825"	"0"
"115"	"9"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"955"	"0"	"0"	"0"	"0"	"959"	"0"	"959"	"0"
"116"	"10"	"52"	"2"	"5"	"5"	"89"	"3"	"1"	"0"	"7"	"33"	"466"	"6"	"5"	"0"	"1"	"623"	"0"	"623"	"0"
"117"	"11"	"53R"	"3"	"0"	"3"	"13"	"1"	"1"	"5"	"1"	"13"	"187"	"2"	"3"	"1"	"3"	"236"	"0"	"236"	"0"
"118"	"12"	"54"	"2"	"1"	"2"	"35"	"7"	"2"	"7"	"7"	"37"	"218"	"4"	"4"	"3"	"3"	"332"	"0"	"332"	"0"
"119"	"13"	"55R"	"2"	"0"	"0"	"480"	"4"	"0"	"4"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"496"	"0"	"496"	"0"
"120"	"14"	"56R"	"0"	"0"	"4"	"399"	"10"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"416"	"0"	"416"	"0"
"121"	"Total Votes Polled"	""	"17"	"7"	"23"	"3073"	"47"	"12"	"40"	"28"	"160"	"3418"	"38"	"21"	"12"	"24"	"6920"	"0"	"6920"	"0"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"57"	"3"	"4"	"2"	"5"	"3"	"1"	"8"	"1"	"8"	"369"	"6"	"2"	"1"	"11"	"424"	"0"	"424"	"0"
"140"	"2"	"58"	"0"	"1"	"0"	"491"	"1"	"1"	"0"	"0"	"1"	"5"	"2"	"3"	"1"	"0"	"506"	"0"	"506"	"0"
"141"	"3"	"59"	"0"	"0"	"3"	"473"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"479"	"0"	"479"	"0"
"142"	"4"	"60"	"0"	"0"	"2"	"1032"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1035"	"0"	"1035"	"0"
"143"	"5"	"61"	"0"	"0"	"4"	"1217"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1224"	"0"	"1224"	"0"
"144"	"6"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"643"	"1"	"0"	"0"	"0"	"646"	"0"	"646"	"0"
"145"	"7"	"63"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"612"	"0"	"0"	"0"	"0"	"619"	"0"	"619"	"0"
"146"	"8"	"64"	"2"	"0"	"1"	"402"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"406"	"0"	"406"	"0"
"147"	"9"	"65"	"1"	"0"	"1"	"406"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"408"	"0"	"408"	"0"
"148"	"10"	"66"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"9"	"709"	"3"	"0"	"0"	"0"	"725"	"0"	"725"	"0"
"149"	"11"	"67"	"3"	"0"	"3"	"60"	"2"	"0"	"3"	"0"	"10"	"596"	"2"	"5"	"1"	"2"	"687"	"0"	"687"	"0"
"150"	"12"	"68"	"1"	"3"	"3"	"256"	"3"	"0"	"3"	"0"	"3"	"6"	"3"	"3"	"0"	"2"	"286"	"0"	"286"	"0"
"151"	"13"	"69"	"0"	"2"	"0"	"5"	"2"	"0"	"1"	"1"	"6"	"337"	"0"	"1"	"2"	"0"	"357"	"0"	"357"	"0"
"152"	"14"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"153"	"Total Votes Polled"	""	"10"	"12"	"19"	"4350"	"17"	"3"	"15"	"3"	"43"	"3277"	"17"	"14"	"6"	"16"	"7802"	"0"	"7802"	"0"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"71"	"12"	"1"	"1"	"58"	"6"	"1"	"8"	"2"	"15"	"181"	"9"	"6"	"5"	"7"	"312"	"0"	"312"	"0"
"172"	"2"	"72"	"0"	"1"	"2"	"1068"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1075"	"0"	"1075"	"0"
"173"	"3"	"73"	"0"	"0"	"1"	"678"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"681"	"0"	"681"	"0"
"174"	"4"	"74"	"7"	"2"	"2"	"225"	"2"	"1"	"7"	"3"	"60"	"143"	"4"	"6"	"1"	"6"	"469"	"0"	"469"	"0"
"175"	"5"	"75"	"0"	"0"	"2"	"552"	"1"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"564"	"0"	"564"	"0"
