"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 30-MAIRWA(S.C) ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 30-Mairwa (S.C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No.of Electores in Assembly Constituency 170371                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"21"	"12"	"26"	"40"	"2"	"42"	"11"	"3"	"6"	"171"	"15"	"19"	"117"	"452"	"0"	"452"	"0"
"22"	"13"	"22"	"13"	"3"	"49"	"20"	"3"	"4"	"192"	"6"	"9"	"29"	"350"	"0"	"350"	"0"
"23"	"14"	"28"	"29"	"8"	"44"	"24"	"6"	"11"	"180"	"4"	"5"	"10"	"349"	"0"	"349"	"0"
"24"	"Round
Total"	"331"	"466"	"117"	"1182"	"278"	"66"	"106"	"2071"	"127"	"137"	"597"	"5478"	"0"	"5478"	"0"
"25"	"Date : 27-2-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Time: 9.25 A.M."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Place: Siwan                                                                                                                                                          30-Mairwa(S.C.)- Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 30-MAIRWA(S.C) ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 30-Mairwa (S.C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No.of Electores in Assembly Constituency 170371                                                  Round No.-2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"38"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"39"	"15"	"23"	"87"	"4"	"76"	"12"	"3"	"4"	"32"	"5"	"4"	"12"	"262"	"0"	"262"	"0"
"40"	"16"	"53"	"39"	"9"	"161"	"17"	"8"	"4"	"59"	"6"	"3"	"22"	"381"	"0"	"381"	"0"
"41"	"17"	"26"	"44"	"8"	"73"	"60"	"11"	"14"	"214"	"21"	"12"	"62"	"545"	"0"	"545"	"0"
"42"	"18"	"34"	"78"	"4"	"164"	"24"	"3"	"1"	"45"	"4"	"3"	"13"	"373"	"0"	"373"	"0"
"43"	"19"	"4"	"8"	"4"	"541"	"36"	"3"	"4"	"110"	"2"	"0"	"5"	"717"	"0"	"717"	"0"
"44"	"20"	"15"	"54"	"5"	"104"	"40"	"3"	"3"	"162"	"1"	"1"	"6"	"394"	"0"	"394"	"0"
"45"	"21"	"9"	"53"	"6"	"120"	"12"	"10"	"4"	"145"	"10"	"9"	"6"	"384"	"0"	"384"	"0"
"46"	"22"	"16"	"16"	"7"	"136"	"9"	"7"	"9"	"172"	"12"	"6"	"32"	"422"	"0"	"422"	"0"
"47"	"23"	"2"	"16"	"2"	"150"	"10"	"3"	"1"	"159"	"1"	"1"	"14"	"359"	"0"	"359"	"0"
"48"	"24"	"9"	"35"	"3"	"32"	"63"	"2"	"2"	"25"	"2"	"0"	"8"	"181"	"0"	"181"	"0"
"49"	"25"	"14"	"33"	"10"	"138"	"82"	"18"	"15"	"229"	"17"	"13"	"45"	"614"	"0"	"614"	"0"
"50"	"26"	"21"	"12"	"8"	"159"	"64"	"4"	"10"	"214"	"16"	"17"	"47"	"572"	"0"	"572"	"0"
"51"	"27"	"17"	"44"	"5"	"93"	"34"	"8"	"8"	"251"	"13"	"8"	"42"	"523"	"0"	"523"	"0"
"52"	"28"	"145"	"9"	"1"	"32"	"3"	"2"	"7"	"18"	"0"	"3"	"11"	"231"	"0"	"231"	"0"
"53"	"Round
Total"	"388"	"528"	"76"	"1979"	"466"	"85"	"86"	"1835"	"110"	"80"	"325"	"5958"	"0"	"5958"	"0"
"54"	"Date : 27-2-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Time:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Place: Siwan                                                                                                                                                          30-Mairwa(S.C.)- Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"61"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"62"	"29"	"15"	"8"	"2"	"179"	"79"	"5"	"7"	"70"	"8"	"5"	"13"	"391"	"0"	"391"	"0"
"63"	"30"	"26"	"37"	"6"	"189"	"63"	"2"	"4"	"71"	"5"	"4"	"11"	"418"	"0"	"418"	"0"
"64"	"31"	"14"	"56"	"7"	"137"	"105"	"7"	"12"	"305"	"14"	"7"	"54"	"718"	"0"	"718"	"0"
"65"	"32"	"49"	"47"	"6"	"100"	"62"	"5"	"4"	"176"	"9"	"10"	"27"	"495"	"0"	"495"	"0"
"66"	"33"	"22"	"35"	"7"	"179"	"46"	"12"	"18"	"68"	"11"	"16"	"36"	"450"	"0"	"450"	"0"
"67"	"34"	"37"	"29"	"8"	"134"	"34"	"6"	"4"	"116"	"8"	"9"	"24"	"409"	"0"	"409"	"0"
"68"	"35"	"43"	"133"	"6"	"66"	"54"	"4"	"8"	"88"	"7"	"5"	"48"	"462"	"0"	"462"	"0"
"69"	"36"	"21"	"39"	"3"	"310"	"33"	"5"	"4"	"221"	"4"	"2"	"14"	"656"	"0"	"656"	"0"
"70"	"37"	"124"	"38"	"3"	"118"	"17"	"2"	"2"	"91"	"10"	"5"	"15"	"425"	"0"	"425"	"0"
"71"	"38"	"200"	"58"	"2"	"18"	"20"	"3"	"12"	"170"	"7"	"2"	"18"	"510"	"0"	"510"	"0"
"72"	"39"	"66"	"93"	"7"	"109"	"55"	"9"	"7"	"170"	"14"	"10"	"30"	"570"	"0"	"570"	"0"
"73"	"40"	"34"	"47"	"5"	"161"	"9"	"3"	"13"	"323"	"6"	"7"	"47"	"655"	"0"	"655"	"0"
"74"	"41"	"30"	"55"	"10"	"122"	"25"	"6"	"8"	"210"	"14"	"18"	"68"	"566"	"0"	"566"	"0"
"75"	"42"	"31"	"72"	"2"	"73"	"10"	"5"	"5"	"127"	"5"	"4"	"31"	"365"	"0"	"365"	"0"
"76"	"Round
Total"	"712"	"747"	"74"	"1895"	"612"	"74"	"108"	"2206"	"122"	"104"	"436"	"7090"	"0"	"7090"	"0"
"77"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"78"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"79"	"43"	"12"	"44"	"8"	"72"	"54"	"3"	"6"	"95"	"15"	"10"	"51"	"370"	"0"	"370"	"0"
"80"	"44"	"9"	"16"	"7"	"86"	"18"	"6"	"8"	"352"	"11"	"6"	"37"	"556"	"0"	"556"	"0"
"81"	"45"	"8"	"24"	"6"	"57"	"50"	"26"	"4"	"123"	"5"	"4"	"15"	"322"	"0"	"322"	"0"
"82"	"46"	"14"	"27"	"4"	"45"	"133"	"4"	"7"	"139"	"2"	"3"	"16"	"394"	"0"	"394"	"0"
"83"	"47"	"9"	"7"	"6"	"18"	"230"	"2"	"1"	"173"	"7"	"1"	"22"	"476"	"0"	"476"	"0"
"84"	"48"	"11"	"11"	"13"	"98"	"79"	"10"	"16"	"165"	"18"	"17"	"46"	"484"	"0"	"484"	"0"
"85"	"49"	"21"	"34"	"3"	"134"	"18"	"2"	"4"	"114"	"6"	"8"	"33"	"377"	"0"	"377"	"0"
"86"	"50"	"21"	"58"	"11"	"29"	"109"	"2"	"11"	"167"	"15"	"8"	"44"	"475"	"0"	"475"	"0"
"87"	"51"	"9"	"45"	"6"	"45"	"33"	"6"	"10"	"142"	"13"	"7"	"44"	"360"	"0"	"360"	"0"
"88"	"52"	"3"	"32"	"2"	"164"	"76"	"2"	"5"	"14"	"1"	"1"	"8"	"308"	"0"	"308"	"0"
"89"	"53"	"94"	"14"	"16"	"39"	"6"	"4"	"14"	"86"	"11"	"7"	"22"	"313"	"0"	"313"	"0"
"90"	"54"	"13"	"39"	"7"	"79"	"100"	"9"	"21"	"91"	"20"	"15"	"33"	"427"	"0"	"427"	"0"
"91"	"55"	"18"	"18"	"6"	"106"	"63"	"8"	"12"	"141"	"9"	"15"	"55"	"451"	"0"	"451"	"0"
"92"	"56"	"24"	"51"	"12"	"23"	"93"	"17"	"10"	"246"	"14"	"8"	"51"	"549"	"0"	"549"	"0"
"93"	"Round
Total"	"266"	"420"	"107"	"995"	"1062"	"101"	"129"	"2048"	"147"	"110"	"477"	"5862"	"0"	"5862"	"0"
"94"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"95"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"96"	"57"	"20"	"71"	"9"	"19"	"78"	"4"	"4"	"258"	"3"	"5"	"43"	"514"	"0"	"514"	"0"
"97"	"58"	"57"	"72"	"10"	"79"	"22"	"13"	"8"	"156"	"26"	"12"	"90"	"545"	"0"	"545"	"0"
"98"	"59"	"11"	"16"	"6"	"106"	"9"	"2"	"4"	"114"	"13"	"8"	"22"	"311"	"0"	"311"	"0"
"99"	"60"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"9"	"0"	"9"	"0"
"100"	"61"	"34"	"30"	"11"	"179"	"36"	"11"	"6"	"126"	"8"	"5"	"22"	"468"	"0"	"468"	"0"
"101"	"62"	"23"	"111"	"6"	"82"	"22"	"6"	"10"	"294"	"10"	"14"	"40"	"618"	"0"	"618"	"0"
"102"	"63"	"47"	"164"	"23"	"47"	"25"	"8"	"16"	"235"	"20"	"18"	"46"	"649"	"0"	"649"	"0"
"103"	"64"	"21"	"105"	"9"	"43"	"15"	"12"	"3"	"130"	"14"	"13"	"40"	"405"	"0"	"405"	"0"
"104"	"65"	"16"	"82"	"6"	"90"	"45"	"5"	"7"	"146"	"8"	"16"	"52"	"473"	"0"	"473"	"0"
"105"	"66"	"28"	"35"	"21"	"194"	"29"	"11"	"23"	"272"	"35"	"37"	"126"	"811"	"0"	"811"	"0"
"106"	"67"	"13"	"49"	"7"	"92"	"61"	"3"	"6"	"210"	"7"	"4"	"23"	"475"	"0"	"475"	"0"
"107"	"68"	"22"	"40"	"7"	"212"	"49"	"7"	"5"	"114"	"7"	"7"	"31"	"501"	"0"	"501"	"0"
"108"	"69"	"30"	"65"	"7"	"134"	"36"	"12"	"15"	"266"	"11"	"6"	"53"	"635"	"0"	"635"	"0"
"109"	"70"	"29"	"62"	"6"	"136"	"19"	"6"	"11"	"279"	"10"	"12"	"49"	"619"	"0"	"619"	"0"
"110"	"Round
Total"	"351"	"903"	"128"	"1415"	"448"	"100"	"118"	"2604"	"172"	"157"	"637"	"7033"	"0"	"7033"	"0"
"111"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"112"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"113"	"71"	"23"	"79"	"5"	"62"	"34"	"10"	"9"	"175"	"10"	"5"	"31"	"443"	"0"	"443"	"0"
"114"	"72"	"19"	"66"	"5"	"54"	"18"	"29"	"7"	"105"	"6"	"2"	"68"	"379"	"0"	"379"	"0"
"115"	"73"	"21"	"65"	"6"	"119"	"14"	"4"	"5"	"228"	"9"	"4"	"9"	"484"	"0"	"484"	"0"
"116"	"74"	"30"	"81"	"20"	"58"	"7"	"1"	"0"	"101"	"3"	"3"	"19"	"323"	"0"	"323"	"0"
"117"	"75"	"13"	"43"	"14"	"137"	"20"	"5"	"11"	"253"	"13"	"10"	"34"	"553"	"0"	"553"	"0"
"118"	"76"	"5"	"24"	"6"	"103"	"67"	"10"	"9"	"217"	"17"	"8"	"28"	"494"	"0"	"494"	"0"
"119"	"77"	"8"	"10"	"1"	"87"	"2"	"2"	"1"	"116"	"4"	"1"	"12"	"244"	"0"	"244"	"0"
"120"	"78"	"13"	"25"	"15"	"229"	"17"	"9"	"5"	"135"	"7"	"4"	"15"	"474"	"0"	"474"	"0"
"121"	"79"	"16"	"14"	"6"	"123"	"16"	"1"	"3"	"99"	"4"	"11"	"15"	"308"	"0"	"308"	"0"
"122"	"80"	"51"	"45"	"8"	"191"	"20"	"7"	"5"	"113"	"10"	"4"	"39"	"493"	"0"	"493"	"0"
"123"	"81"	"28"	"29"	"13"	"142"	"37"	"7"	"8"	"154"	"14"	"12"	"38"	"482"	"0"	"482"	"0"
"124"	"82"	"20"	"103"	"10"	"373"	"30"	"6"	"4"	"42"	"11"	"2"	"34"	"635"	"0"	"635"	"0"
"125"	"83"	"28"	"44"	"9"	"110"	"25"	"11"	"11"	"256"	"20"	"11"	"65"	"590"	"0"	"590"	"0"
"126"	"84"	"29"	"35"	"7"	"173"	"32"	"14"	"17"	"120"	"4"	"1"	"28"	"460"	"0"	"460"	"0"
"127"	"Round
Total"	"304"	"663"	"125"	"1961"	"339"	"116"	"95"	"2114"	"132"	"78"	"435"	"6362"	"0"	"6362"	"0"
"128"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"129"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"130"	"85"	"34"	"58"	"13"	"90"	"32"	"8"	"12"	"181"	"11"	"13"	"50"	"502"	"0"	"502"	"0"
"131"	"86"	"115"	"63"	"24"	"186"	"22"	"13"	"14"	"217"	"8"	"8"	"38"	"708"	"0"	"708"	"0"
"132"	"87"	"22"	"92"	"8"	"54"	"18"	"6"	"7"	"87"	"3"	"4"	"12"	"313"	"0"	"313"	"0"
"133"	"88"	"9"	"35"	"8"	"127"	"20"	"5"	"9"	"272"	"8"	"6"	"24"	"523"	"0"	"523"	"0"
"134"	"89"	"12"	"25"	"10"	"121"	"39"	"6"	"5"	"127"	"12"	"10"	"29"	"396"	"0"	"396"	"0"
"135"	"90"	"16"	"56"	"6"	"26"	"79"	"6"	"5"	"130"	"9"	"9"	"22"	"364"	"0"	"364"	"0"
"136"	"91"	"83"	"63"	"18"	"158"	"25"	"8"	"17"	"306"	"12"	"11"	"30"	"731"	"0"	"731"	"0"
"137"	"92"	"19"	"27"	"2"	"31"	"103"	"4"	"7"	"194"	"9"	"7"	"30"	"433"	"0"	"433"	"0"
"138"	"93"	"51"	"16"	"9"	"12"	"91"	"4"	"7"	"349"	"11"	"7"	"52"	"609"	"0"	"609"	"0"
"139"	"94"	"20"	"75"	"5"	"57"	"10"	"5"	"3"	"61"	"3"	"3"	"12"	"254"	"0"	"254"	"0"
"140"	"95"	"39"	"58"	"18"	"26"	"44"	"7"	"23"	"169"	"22"	"13"	"62"	"481"	"0"	"481"	"0"
"141"	"96"	"56"	"187"	"14"	"31"	"29"	"9"	"13"	"273"	"4"	"13"	"39"	"668"	"0"	"668"	"0"
"142"	"97"	"47"	"12"	"6"	"234"	"54"	"9"	"18"	"204"	"13"	"10"	"47"	"654"	"0"	"654"	"0"
"143"	"98"	"11"	"39"	"5"	"64"	"94"	"4"	"13"	"292"	"12"	"8"	"24"	"566"	"0"	"566"	"0"
"144"	"Round
Total"	"534"	"806"	"146"	"1217"	"660"	"94"	"153"	"2862"	"137"	"122"	"471"	"7202"	"0"	"7202"	"0"
"145"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"146"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"147"	"99"	"12"	"34"	"3"	"19"	"12"	"5"	"15"	"364"	"14"	"6"	"30"	"514"	"0"	"514"	"0"
"148"	"100"	"4"	"55"	"2"	"9"	"29"	"1"	"5"	"451"	"4"	"4"	"4"	"568"	"0"	"568"	"0"
"149"	"101"	"16"	"13"	"7"	"61"	"14"	"6"	"4"	"188"	"13"	"8"	"49"	"379"	"0"	"379"	"0"
"150"	"102"	"34"	"57"	"7"	"29"	"52"	"11"	"12"	"191"	"12"	"7"	"29"	"441"	"0"	"441"	"0"
"151"	"103"	"13"	"33"	"19"	"202"	"67"	"17"	"5"	"32"	"8"	"4"	"16"	"416"	"0"	"416"	"0"
"152"	"104"	"8"	"3"	"4"	"127"	"136"	"2"	"2"	"46"	"6"	"2"	"8"	"344"	"0"	"344"	"0"
"153"	"105"	"18"	"191"	"12"	"126"	"9"	"6"	"1"	"20"	"5"	"11"	"18"	"417"	"0"	"417"	"0"
"154"	"106"	"55"	"123"	"13"	"52"	"14"	"9"	"14"	"180"	"14"	"10"	"28"	"512"	"0"	"512"	"0"
"155"	"107"	"31"	"54"	"4"	"65"	"51"	"4"	"7"	"242"	"7"	"3"	"29"	"497"	"0"	"497"	"0"
"156"	"108"	"55"	"32"	"16"	"56"	"146"	"7"	"6"	"338"	"4"	"8"	"26"	"694"	"0"	"694"	"0"
"157"	"109"	"29"	"35"	"6"	"107"	"119"	"4"	"4"	"178"	"8"	"7"	"21"	"518"	"0"	"518"	"0"
"158"	"110"	"23"	"58"	"5"	"53"	"50"	"9"	"9"	"320"	"6"	"7"	"20"	"560"	"0"	"560"	"0"
"159"	"111"	"26"	"66"	"8"	"49"	"71"	"8"	"4"	"353"	"2"	"3"	"14"	"604"	"0"	"604"	"0"
"160"	"112"	"29"	"63"	"10"	"52"	"19"	"10"	"13"	"253"	"16"	"13"	"38"	"516"	"0"	"516"	"0"
"161"	"Round
Total"	"353"	"817"	"116"	"1007"	"789"	"99"	"101"	"3156"	"119"	"93"	"330"	"6980"	"0"	"6980"	"0"
"162"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"163"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"164"	"113"	"17"	"82"	"1"	"15"	"14"	"0"	"4"	"172"	"3"	"4"	"18"	"330"	"0"	"330"	"0"
"165"	"114"	"28"	"82"	"9"	"42"	"45"	"3"	"2"	"207"	"6"	"2"	"33"	"459"	"0"	"459"	"0"
"166"	"115"	"18"	"77"	"11"	"35"	"46"	"7"	"12"	"342"	"12"	"17"	"70"	"647"	"0"	"647"	"0"
"167"	"116"	"129"	"58"	"11"	"66"	"180"	"26"	"21"	"128"	"11"	"5"	"45"	"680"	"0"	"680"	"0"
"168"	"117"	"15"	"25"	"9"	"79"	"37"	"10"	"1"	"279"	"7"	"4"	"15"	"481"	"0"	"481"	"0"
"169"	"118"	"33"	"46"	"10"	"50"	"257"	"17"	"14"	"93"	"15"	"9"	"42"	"586"	"0"	"586"	"0"
"170"	"119"	"20"	"29"	"2"	"53"	"213"	"17"	"2"	"97"	"11"	"5"	"36"	"485"	"0"	"485"	"0"
"171"	"120"	"17"	"4"	"5"	"42"	"503"	"9"	"18"	"109"	"3"	"6"	"6"	"722"	"0"	"722"	"0"
"172"	"121"	"38"	"17"	"11"	"16"	"193"	"11"	"11"	"315"	"21"	"17"	"78"	"728"	"0"	"728"	"0"
"173"	"122"	"10"	"12"	"4"	"9"	"161"	"5"	"7"	"39"	"6"	"7"	"15"	"275"	"0"	"275"	"0"
"174"	"123"	"5"	"9"	"3"	"100"	"112"	"3"	"0"	"205"	"1"	"1"	"4"	"443"	"0"	"443"	"0"
"175"	"124"	"17"	"109"	"15"	"70"	"51"	"2"	"7"	"258"	"3"	"7"	"24"	"563"	"0"	"563"	"0"
"176"	"125"	"22"	"102"	"10"	"117"	"27"	"10"	"11"	"88"	"6"	"17"	"35"	"445"	"0"	"445"	"0"
"177"	"126"	"14"	"27"	"3"	"44"	"21"	"7"	"6"	"147"	"6"	"7"	"27"	"309"	"0"	"309"	"0"
"178"	"Round
Total"	"383"	"679"	"104"	"738"	"1860"	"127"	"116"	"2479"	"111"	"108"	"448"	"7153"	"0"	"7153"	"0"
"179"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
