"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"33"	"19"	"11"	"89"	"438"	"16"	"5"	"3"	"0"	"0"	"2"	"3"	"1"	"2"	"570"	""	"570"	""
"34"	"20"	"13"	"79"	"487"	"27"	"2"	"5"	"4"	"1"	"2"	"6"	"1"	"2"	"629"	""	"629"	""
"35"	"21"	"27"	"296"	"191"	"69"	"4"	"6"	"4"	"1"	"2"	"4"	"3"	"6"	"613"	""	"613"	""
"36"	"22"	"6"	"281"	"32"	"4"	"0"	"6"	"1"	"0"	"1"	"1"	"0"	"2"	"334"	""	"334"	""
"37"	"23"	"14"	"523"	"78"	"5"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"5"	"632"	""	"632"	""
"38"	"24"	"19"	"333"	"162"	"27"	"7"	"15"	"3"	"7"	"3"	"3"	"3"	"5"	"587"	""	"587"	""
"39"	"25"	"14"	"260"	"179"	"18"	"6"	"10"	"4"	"2"	"1"	"4"	"7"	"3"	"508"	""	"508"	""
"40"	"26"	"3"	"297"	"55"	"19"	"2"	"3"	"0"	"6"	"2"	"0"	"0"	"1"	"388"	""	"388"	""
"41"	"27"	"21"	"384"	"84"	"23"	"4"	"18"	"2"	"3"	"4"	"6"	"3"	"14"	"566"	""	"566"	""
"42"	"28"	"20"	"180"	"239"	"26"	"4"	"9"	"1"	"1"	"6"	"6"	"3"	"14"	"509"	""	"509"	""
"43"	"TOTAL"	"197"	"3520"	"3652"	"348"	"55"	"101"	"34"	"27"	"38"	"48"	"33"	"85"	"8138"	"0"	"8138"	"0"
"44"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"45"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"47"	"29"	"13"	"413"	"321"	"26"	"5"	"7"	"3"	"6"	"9"	"5"	"7"	"8"	"823"	""	"823"	""
"48"	"30"	"13"	"115"	"168"	"10"	"3"	"4"	"0"	"6"	"4"	"6"	"3"	"8"	"340"	""	"340"	""
"49"	"31"	"9"	"114"	"233"	"29"	"4"	"2"	"0"	"1"	"4"	"1"	"3"	"5"	"405"	""	"405"	""
"50"	"32"	"10"	"210"	"19"	"27"	"2"	"3"	"0"	"4"	"1"	"0"	"0"	"1"	"277"	""	"277"	""
"51"	"33"	"24"	"150"	"207"	"12"	"5"	"7"	"1"	"1"	"2"	"1"	"0"	"3"	"413"	""	"413"	""
"52"	"34"	"22"	"241"	"167"	"13"	"3"	"14"	"6"	"3"	"5"	"5"	"3"	"7"	"489"	""	"489"	""
"53"	"35"	"19"	"259"	"324"	"9"	"7"	"13"	"2"	"5"	"2"	"5"	"4"	"10"	"659"	""	"659"	""
"54"	"36"	"28"	"165"	"302"	"27"	"6"	"12"	"2"	"5"	"5"	"5"	"7"	"11"	"575"	""	"575"	""
"55"	"37"	"16"	"66"	"229"	"21"	"2"	"2"	"1"	"3"	"2"	"3"	"7"	"8"	"360"	""	"360"	""
"56"	"38"	"21"	"81"	"212"	"17"	"2"	"5"	"1"	"2"	"1"	"3"	"5"	"7"	"357"	""	"357"	""
"57"	"39"	"23"	"287"	"228"	"22"	"4"	"13"	"6"	"3"	"7"	"7"	"5"	"26"	"631"	""	"631"	""
"58"	"40"	"13"	"222"	"355"	"19"	"5"	"12"	"2"	"3"	"11"	"9"	"9"	"23"	"683"	""	"683"	""
"59"	"41"	"38"	"178"	"379"	"32"	"6"	"10"	"4"	"7"	"11"	"8"	"12"	"25"	"710"	""	"710"	""
"60"	"42"	"25"	"230"	"338"	"25"	"7"	"14"	"4"	"8"	"8"	"7"	"9"	"38"	"713"	""	"713"	""
"61"	"TOTAL"	"274"	"2731"	"3482"	"289"	"61"	"118"	"32"	"57"	"72"	"65"	"74"	"180"	"7435"	"0"	"7435"	"0"
"62"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"63"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"64"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"65"	"43"	"1"	"72"	"338"	"15"	"2"	"6"	"0"	"1"	"1"	"0"	"1"	"4"	"441"	""	"441"	""
"66"	"44"	"26"	"341"	"278"	"38"	"20"	"10"	"1"	"5"	"6"	"6"	"6"	"11"	"748"	""	"748"	""
"67"	"45"	"45"	"209"	"201"	"26"	"3"	"7"	"8"	"1"	"6"	"6"	"11"	"23"	"546"	""	"546"	""
"68"	"46"	"20"	"90"	"315"	"23"	"7"	"6"	"1"	"5"	"6"	"6"	"1"	"10"	"490"	""	"490"	""
"69"	"47"	"17"	"232"	"375"	"16"	"3"	"10"	"4"	"7"	"3"	"11"	"10"	"17"	"705"	""	"705"	""
"70"	"48"	"30"	"433"	"88"	"9"	"1"	"11"	"3"	"4"	"4"	"4"	"3"	"14"	"604"	""	"604"	""
"71"	"49"	"34"	"463"	"112"	"7"	"3"	"11"	"3"	"3"	"4"	"0"	"3"	"9"	"652"	""	"652"	""
"72"	"50"	"17"	"256"	"38"	"7"	"0"	"8"	"1"	"2"	"6"	"4"	"6"	"12"	"357"	""	"357"	""
"73"	"51"	"23"	"295"	"155"	"12"	"4"	"8"	"2"	"1"	"3"	"6"	"3"	"20"	"532"	""	"532"	""
"74"	"52"	"19"	"94"	"248"	"12"	"4"	"11"	"3"	"7"	"3"	"5"	"3"	"13"	"422"	""	"422"	""
"75"	"53"	"17"	"175"	"224"	"35"	"6"	"8"	"4"	"2"	"8"	"4"	"10"	"13"	"506"	""	"506"	""
"76"	"54"	"7"	"196"	"68"	"8"	"0"	"4"	"0"	"1"	"1"	"0"	"4"	"1"	"290"	""	"290"	""
"77"	"55"	"1"	"395"	"119"	"25"	"8"	"3"	"1"	"0"	"1"	"2"	"0"	"5"	"560"	""	"560"	""
"78"	"56"	"23"	"168"	"262"	"18"	"3"	"7"	"1"	"5"	"2"	"5"	"2"	"3"	"499"	""	"499"	""
"79"	"TOTAL"	"280"	"3419"	"2821"	"251"	"64"	"110"	"32"	"44"	"54"	"59"	"63"	"155"	"7352"	"0"	"7352"	"0"
"80"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"81"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"83"	"57"	"36"	"264"	"77"	"5"	"6"	"9"	"3"	"3"	"6"	"7"	"16"	"16"	"448"	""	"448"	""
"84"	"58"	"34"	"356"	"237"	"14"	"9"	"27"	"6"	"4"	"10"	"6"	"15"	"14"	"732"	""	"732"	""
"85"	"59"	"17"	"249"	"133"	"8"	"3"	"16"	"2"	"16"	"6"	"9"	"12"	"17"	"488"	""	"488"	""
"86"	"60"	"15"	"86"	"272"	"19"	"6"	"3"	"4"	"6"	"8"	"2"	"3"	"9"	"433"	""	"433"	""
"87"	"61"	"29"	"58"	"392"	"15"	"4"	"4"	"6"	"7"	"6"	"5"	"5"	"13"	"544"	""	"544"	""
"88"	"62"	"18"	"37"	"396"	"12"	"6"	"5"	"0"	"5"	"10"	"14"	"0"	"8"	"511"	""	"511"	""
"89"	"63"	"1"	"469"	"19"	"13"	"0"	"2"	"0"	"6"	"15"	"1"	"1"	"3"	"530"	""	"530"	""
"90"	"64"	"2"	"7"	"554"	"22"	"1"	"3"	"0"	"0"	"3"	"3"	"3"	"7"	"605"	""	"605"	""
"91"	"65"	"1"	"6"	"985"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"2"	"1001"	""	"1001"	""
"92"	"66"	"1"	"12"	"735"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"4"	"761"	""	"761"	""
"93"	"67"	"22"	"132"	"96"	"11"	"5"	"13"	"2"	"6"	"4"	"4"	"4"	"14"	"313"	""	"313"	""
"94"	"68"	"13"	"205"	"147"	"15"	"3"	"5"	"3"	"0"	"4"	"1"	"8"	"24"	"428"	""	"428"	""
"95"	"69"	"10"	"154"	"253"	"7"	"2"	"2"	"2"	"2"	"3"	"7"	"4"	"11"	"457"	""	"457"	""
"96"	"70"	"6"	"117"	"281"	"24"	"3"	"8"	"1"	"3"	"2"	"12"	"1"	"15"	"473"	""	"473"	""
"97"	"TOTAL"	"205"	"2152"	"4577"	"173"	"48"	"100"	"30"	"58"	"78"	"71"	"75"	"157"	"7724"	"0"	"7724"	"0"
"98"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"99"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"101"	"71"	"25"	"80"	"487"	"36"	"2"	"5"	"5"	"5"	"7"	"7"	"11"	"12"	"682"	""	"682"	""
"102"	"72"	"3"	"10"	"666"	"29"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"716"	""	"716"	""
"103"	"73"	"1"	"18"	"556"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"610"	""	"610"	""
"104"	"74"	"13"	"60"	"487"	"35"	"3"	"1"	"3"	"1"	"4"	"3"	"5"	"14"	"629"	""	"629"	""
"105"	"75"	"7"	"36"	"322"	"17"	"1"	"1"	"4"	"2"	"3"	"5"	"4"	"13"	"415"	""	"415"	""
"106"	"76"	"19"	"41"	"429"	"1"	"1"	"5"	"1"	"0"	"1"	"0"	"2"	"8"	"508"	""	"508"	""
"107"	"77"	"0"	"19"	"558"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"585"	""	"585"	""
"108"	"78"	"6"	"31"	"547"	"14"	"4"	"4"	"2"	"1"	"4"	"5"	"6"	"9"	"633"	""	"633"	""
"109"	"79"	"3"	"14"	"676"	"7"	"5"	"1"	"1"	"2"	"1"	"6"	"2"	"11"	"729"	""	"729"	""
"110"	"80"	"4"	"10"	"447"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"468"	""	"468"	""
"111"	"81"	"5"	"57"	"526"	"4"	"1"	"2"	"0"	"0"	"0"	"3"	"1"	"2"	"601"	""	"601"	""
"112"	"82"	"6"	"64"	"492"	"5"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"2"	"577"	""	"577"	""
"113"	"83"	"10"	"134"	"329"	"50"	"6"	"4"	"1"	"3"	"3"	"3"	"2"	"13"	"558"	""	"558"	""
"114"	"84"	"11"	"289"	"227"	"16"	"7"	"18"	"5"	"4"	"5"	"12"	"12"	"29"	"635"	""	"635"	""
"115"	"TOTAL"	"113"	"863"	"6749"	"255"	"35"	"46"	"24"	"19"	"30"	"46"	"49"	"117"	"8346"	"0"	"8346"	"0"
"116"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"117"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"119"	"85"	"7"	"41"	"469"	"44"	"5"	"5"	"2"	"4"	"7"	"9"	"8"	"24"	"625"	""	"625"	""
"120"	"86"	"12"	"173"	"371"	"19"	"10"	"13"	"0"	"3"	"4"	"10"	"11"	"24"	"650"	""	"650"	""
"121"	"87"	"29"	"62"	"434"	"17"	"3"	"7"	"7"	"4"	"8"	"4"	"3"	"10"	"588"	""	"588"	""
"122"	"88"	"3"	"21"	"192"	"11"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"6"	"239"	""	"239"	""
"123"	"89"	"26"	"110"	"310"	"15"	"5"	"9"	"3"	"3"	"4"	"1"	"2"	"1"	"489"	""	"489"	""
"124"	"90"	"47"	"204"	"322"	"26"	"12"	"11"	"10"	"6"	"8"	"4"	"7"	"30"	"687"	""	"687"	""
"125"	"91"	"16"	"72"	"549"	"12"	"5"	"8"	"3"	"4"	"1"	"9"	"1"	"12"	"692"	""	"692"	""
"126"	"92"	"2"	"34"	"494"	"4"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"541"	""	"541"	""
"127"	"93"	"19"	"168"	"207"	"12"	"2"	"2"	"0"	"3"	"0"	"1"	"2"	"0"	"416"	""	"416"	""
"128"	"94"	"12"	"224"	"238"	"57"	"3"	"12"	"5"	"5"	"5"	"4"	"4"	"9"	"578"	""	"578"	""
"129"	"95"	"6"	"253"	"162"	"14"	"2"	"14"	"0"	"1"	"5"	"1"	"2"	"5"	"465"	""	"465"	""
"130"	"96"	"9"	"93"	"151"	"17"	"3"	"11"	"4"	"0"	"0"	"3"	"8"	"22"	"321"	""	"321"	""
"131"	"97"	"12"	"149"	"179"	"71"	"8"	"10"	"6"	"5"	"5"	"2"	"2"	"19"	"468"	""	"468"	""
"132"	"98"	"6"	"379"	"121"	"11"	"4"	"11"	"3"	"1"	"5"	"2"	"7"	"5"	"555"	""	"555"	""
"133"	"TOTAL"	"206"	"1983"	"4199"	"330"	"66"	"115"	"45"	"40"	"53"	"50"	"59"	"168"	"7314"	"0"	"7314"	"0"
"134"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"135"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"137"	"99"	"4"	"75"	"2"	"4"	"3"	"7"	"4"	"14"	"232"	"12"	"7"	"12"	"376"	""	"376"	""
"138"	"100"	"5"	"118"	"3"	"6"	"0"	"3"	"1"	"11"	"406"	"4"	"5"	"9"	"571"	""	"571"	""
"139"	"101"	"1"	"657"	"43"	"1"	"1"	"2"	"0"	"1"	"16"	"1"	"2"	"1"	"726"	""	"726"	""
"140"	"102"	"4"	"671"	"6"	"1"	"1"	"0"	"0"	"0"	"12"	"1"	"0"	"0"	"696"	""	"696"	""
"141"	"103"	"3"	"780"	"39"	"2"	"0"	"3"	"1"	"0"	"6"	"0"	"4"	"2"	"840"	""	"840"	""
"142"	"104"	"5"	"329"	"54"	"3"	"0"	"4"	"1"	"0"	"8"	"2"	"6"	"5"	"417"	""	"417"	""
"143"	"105"	"12"	"346"	"46"	"4"	"2"	"1"	"3"	"4"	"1"	"1"	"4"	"7"	"431"	""	"431"	""
"144"	"106"	"31"	"437"	"67"	"2"	"1"	"10"	"2"	"1"	"6"	"1"	"3"	"14"	"575"	""	"575"	""
"145"	"107"	"18"	"309"	"33"	"10"	"5"	"11"	"2"	"1"	"11"	"3"	"6"	"9"	"418"	""	"418"	""
"146"	"108"	"1"	"241"	"194"	"7"	"1"	"4"	"1"	"0"	"4"	"1"	"0"	"7"	"461"	""	"461"	""
"147"	"109"	"1"	"836"	"2"	"0"	"0"	"1"	"0"	"0"	"11"	"0"	"0"	"1"	"852"	""	"852"	""
"148"	"110"	"4"	"380"	"43"	"0"	"0"	"2"	"0"	"1"	"3"	"3"	"1"	"2"	"439"	""	"439"	""
"149"	"111"	"1"	"393"	"7"	"0"	"0"	"1"	"0"	"0"	"7"	"2"	"0"	"0"	"411"	""	"411"	""
"150"	"112"	"6"	"271"	"101"	"5"	"1"	"8"	"1"	"7"	"5"	"7"	"11"	"18"	"441"	""	"441"	""
"151"	"TOTAL"	"96"	"5843"	"640"	"45"	"15"	"57"	"16"	"40"	"728"	"38"	"49"	"87"	"7654"	"0"	"7654"	"0"
"152"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"153"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"154"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"155"	"113"	"1"	"648"	"17"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"671"	""	"671"	""
"156"	"114"	"0"	"569"	"45"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"617"	""	"617"	""
"157"	"115"	"8"	"185"	"10"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"4"	"5"	"220"	""	"220"	""
"158"	"116"	"1"	"499"	"8"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"512"	""	"512"	""
"159"	"117"	"1"	"600"	"14"	"1"	"0"	"4"	"0"	"1"	"0"	"2"	"4"	"1"	"628"	""	"628"	""
"160"	"118"	"1"	"437"	"10"	"0"	"1"	"3"	"2"	"1"	"0"	"1"	"4"	"5"	"465"	""	"465"	""
"161"	"119"	"8"	"88"	"483"	"14"	"5"	"2"	"0"	"1"	"5"	"7"	"3"	"10"	"626"	""	"626"	""
"162"	"120"	"6"	"76"	"307"	"8"	"1"	"1"	"0"	"6"	"6"	"2"	"2"	"14"	"429"	""	"429"	""
"163"	"121"	"2"	"614"	"20"	"1"	"1"	"0"	"0"	"0"	"6"	"0"	"1"	"1"	"646"	""	"646"	""
"164"	"122"	"5"	"685"	"10"	"23"	"5"	"5"	"1"	"0"	"0"	"1"	"2"	"7"	"744"	""	"744"	""
"165"	"123"	"10"	"527"	"22"	"3"	"1"	"6"	"3"	"1"	"2"	"2"	"1"	"9"	"587"	""	"587"	""
"166"	"124"	"1"	"615"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"626"	""	"626"	""
"167"	"125"	"4"	"535"	"31"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"583"	""	"583"	""
"168"	"126"	"11"	"611"	"31"	"7"	"2"	"10"	"0"	"0"	"5"	"6"	"1"	"4"	"688"	""	"688"	""
"169"	"TOTAL"	"59"	"6689"	"1016"	"69"	"20"	"37"	"8"	"11"	"28"	"21"	"26"	"58"	"8042"	"0"	"8042"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"171"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"173"	"127"	"18"	"222"	"367"	"20"	"6"	"12"	"5"	"3"	"3"	"0"	"3"	"4"	"663"	""	"663"	""
"174"	"128"	"4"	"94"	"168"	"25"	"2"	"4"	"3"	"3"	"6"	"16"	"10"	"11"	"346"	""	"346"	""
"175"	"129"	"21"	"101"	"237"	"10"	"5"	"5"	"6"	"3"	"3"	"2"	"5"	"21"	"419"	""	"419"	""
