"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"24"	"20"	"0"	"48"	"171"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"3"	"238"	""	"238"	""
"25"	"21"	"1"	"60"	"517"	"1"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"2"	"596"	""	"596"	""
"26"	"22"	"2"	"67"	"319"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"399"	""	"399"	""
"27"	"23"	"3"	"66"	"528"	"2"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"2"	"612"	""	"612"	""
"28"	"24"	"4"	"35"	"460"	"5"	"2"	"1"	"1"	"3"	"0"	"1"	"2"	"0"	"0"	"4"	"3"	"2"	"523"	""	"523"	""
"29"	"25"	"5"	"60"	"415"	"7"	"0"	"6"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"500"	""	"500"	""
"30"	"26"	"10"	"14"	"397"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"4"	"3"	"3"	"440"	""	"440"	""
"31"	"27"	"0"	"38"	"341"	"5"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"397"	""	"397"	""
"32"	"28"	"0"	"27"	"205"	"0"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"243"	""	"243"	""
"33"	"Grand
Total"	"34"	"507"	"5600"	"41"	"12"	"186"	"11"	"8"	"5"	"7"	"16"	"9"	"8"	"19"	"23"	"26"	"6512"	"0"	"6512"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"36"	"29"	"2"	"204"	"105"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"320"	""	"320"	""
"37"	"30"	"2"	"31"	"325"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"372"	""	"372"	""
"38"	"31"	"2"	"86"	"302"	"1"	"1"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"410"	""	"410"	""
"39"	"32"	"1"	"40"	"274"	"5"	"1"	"26"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"6"	"0"	"3"	"365"	""	"365"	""
"40"	"33"	"5"	"182"	"332"	"4"	"0"	"25"	"0"	"0"	"0"	"1"	"4"	"3"	"1"	"4"	"1"	"0"	"562"	""	"562"	""
"41"	"34"	"5"	"66"	"289"	"2"	"2"	"50"	"3"	"1"	"0"	"1"	"0"	"4"	"2"	"0"	"2"	"5"	"432"	""	"432"	""
"42"	"35"	"2"	"15"	"191"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"220"	""	"220"	""
"43"	"36"	"2"	"90"	"169"	"1"	"0"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"280"	""	"280"	""
"44"	"37"	"2"	"205"	"181"	"1"	"0"	"11"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"427"	""	"427"	""
"45"	"38"	"2"	"68"	"61"	"1"	"0"	"37"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"174"	""	"174"	""
"46"	"39"	"10"	"104"	"324"	"3"	"3"	"10"	"4"	"1"	"0"	"1"	"3"	"2"	"0"	"3"	"2"	"5"	"475"	""	"475"	""
"47"	"40"	"0"	"13"	"212"	"3"	"0"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"245"	""	"245"	""
"48"	"41"	"1"	"33"	"354"	"1"	"2"	"13"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"411"	""	"411"	""
"49"	"42"	"1"	"159"	"148"	"0"	"0"	"15"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"330"	""	"330"	""
"50"	"Grand
Total"	"37"	"1296"	"3267"	"27"	"11"	"245"	"43"	"5"	"2"	"3"	"12"	"14"	"9"	"23"	"11"	"18"	"5023"	"0"	"5023"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"53"	"43"	"1"	"36"	"257"	"5"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"308"	""	"308"	""
"54"	"44"	"12"	"147"	"234"	"5"	"2"	"1"	"1"	"7"	"1"	"1"	"3"	"2"	"2"	"2"	"3"	"5"	"428"	""	"428"	""
"55"	"45"	"15"	"162"	"271"	"6"	"4"	"6"	"4"	"4"	"1"	"0"	"3"	"0"	"3"	"4"	"1"	"11"	"495"	""	"495"	""
"56"	"46"	"25"	"46"	"102"	"4"	"4"	"195"	"0"	"2"	"0"	"1"	"5"	"1"	"2"	"0"	"2"	"4"	"393"	""	"393"	""
"57"	"47"	"15"	"422"	"20"	"2"	"1"	"3"	"2"	"19"	"2"	"1"	"4"	"1"	"1"	"8"	"10"	"12"	"523"	""	"523"	""
"58"	"48"	"5"	"114"	"466"	"6"	"1"	"6"	"1"	"0"	"0"	"3"	"2"	"4"	"1"	"8"	"2"	"1"	"620"	""	"620"	""
"59"	"49"	"11"	"30"	"426"	"4"	"0"	"19"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"2"	"2"	"502"	""	"502"	""
"60"	"50"	"47"	"80"	"315"	"10"	"0"	"5"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"470"	""	"470"	""
"61"	"51"	"13"	"266"	"139"	"2"	"2"	"6"	"2"	"1"	"0"	"1"	"2"	"2"	"1"	"2"	"0"	"6"	"445"	""	"445"	""
"62"	"52"	"2"	"155"	"211"	"1"	"7"	"172"	"7"	"4"	"1"	"3"	"10"	"4"	"2"	"1"	"2"	"7"	"589"	""	"589"	""
"63"	"53"	"25"	"74"	"403"	"13"	"3"	"17"	"1"	"3"	"1"	"1"	"7"	"2"	"3"	"3"	"3"	"16"	"575"	""	"575"	""
"64"	"54"	"55"	"18"	"31"	"3"	"1"	"69"	"5"	"5"	"0"	"4"	"8"	"3"	"2"	"4"	"7"	"17"	"232"	""	"232"	""
"65"	"55"	"65"	"174"	"404"	"13"	"4"	"8"	"2"	"3"	"0"	"4"	"2"	"13"	"5"	"5"	"5"	"6"	"713"	""	"713"	""
"66"	"56"	"26"	"286"	"359"	"3"	"4"	"6"	"1"	"1"	"2"	"0"	"1"	"2"	"1"	"4"	"0"	"4"	"700"	""	"700"	""
"67"	"Grand
Total"	"317"	"2010"	"3638"	"77"	"34"	"519"	"30"	"52"	"10"	"19"	"49"	"35"	"25"	"47"	"39"	"92"	"6993"	"0"	"6993"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"70"	"57"	"11"	"222"	"340"	"8"	"4"	"129"	"6"	"7"	"3"	"6"	"10"	"5"	"1"	"7"	"10"	"16"	"785"	""	"785"	""
"71"	"58"	"18"	"148"	"56"	"3"	"6"	"168"	"7"	"5"	"1"	"4"	"11"	"4"	"2"	"3"	"4"	"21"	"461"	""	"461"	""
"72"	"59"	"11"	"163"	"310"	"4"	"3"	"33"	"2"	"1"	"2"	"2"	"6"	"5"	"3"	"8"	"4"	"8"	"565"	""	"565"	""
"73"	"60"	"95"	"130"	"277"	"6"	"5"	"116"	"4"	"2"	"1"	"3"	"6"	"2"	"5"	"6"	"4"	"15"	"677"	""	"677"	""
"74"	"61"	"22"	"100"	"397"	"13"	"5"	"54"	"7"	"1"	"3"	"0"	"4"	"6"	"4"	"4"	"3"	"16"	"639"	""	"639"	""
"75"	"62"	"5"	"51"	"618"	"5"	"3"	"14"	"2"	"2"	"2"	"0"	"4"	"0"	"0"	"4"	"1"	"5"	"716"	""	"716"	""
"76"	"63"	"14"	"162"	"301"	"10"	"3"	"97"	"8"	"7"	"3"	"6"	"7"	"2"	"0"	"0"	"2"	"15"	"637"	""	"637"	""
"77"	"64"	"2"	"88"	"98"	"0"	"2"	"58"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"4"	"1"	"5"	"264"	""	"264"	""
"78"	"65"	"7"	"45"	"136"	"3"	"4"	"157"	"3"	"1"	"3"	"1"	"7"	"3"	"5"	"2"	"0"	"12"	"389"	""	"389"	""
"79"	"66"	"49"	"84"	"211"	"4"	"5"	"32"	"4"	"3"	"1"	"6"	"4"	"1"	"1"	"7"	"4"	"3"	"419"	""	"419"	""
"80"	"67"	"75"	"111"	"150"	"1"	"1"	"95"	"2"	"3"	"1"	"0"	"3"	"4"	"0"	"4"	"3"	"10"	"463"	""	"463"	""
"81"	"68"	"14"	"393"	"49"	"6"	"2"	"91"	"6"	"1"	"1"	"4"	"2"	"2"	"0"	"4"	"6"	"3"	"584"	""	"584"	""
"82"	"69"	"11"	"137"	"417"	"11"	"1"	"14"	"3"	"1"	"2"	"3"	"2"	"5"	"1"	"1"	"3"	"9"	"621"	""	"621"	""
"83"	"70"	"15"	"122"	"233"	"4"	"3"	"8"	"3"	"1"	"2"	"2"	"2"	"3"	"0"	"7"	"0"	"4"	"409"	""	"409"	""
"84"	"Grand
Total"	"349"	"1956"	"3593"	"78"	"47"	"1066"	"58"	"35"	"27"	"37"	"69"	"44"	"22"	"61"	"45"	"142"	"7629"	"0"	"7629"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"87"	"71"	"6"	"148"	"303"	"9"	"5"	"12"	"2"	"3"	"0"	"2"	"3"	"4"	"3"	"4"	"5"	"7"	"516"	""	"516"	""
"88"	"72"	"21"	"248"	"157"	"3"	"2"	"68"	"6"	"12"	"0"	"2"	"1"	"4"	"1"	"4"	"1"	"3"	"533"	""	"533"	""
"89"	"73"	"4"	"88"	"323"	"7"	"5"	"35"	"3"	"1"	"0"	"1"	"5"	"6"	"3"	"4"	"2"	"3"	"490"	""	"490"	""
"90"	"74"	"9"	"284"	"84"	"2"	"0"	"9"	"1"	"2"	"1"	"0"	"3"	"2"	"3"	"2"	"1"	"7"	"410"	""	"410"	""
"91"	"75"	"7"	"112"	"234"	"5"	"1"	"85"	"1"	"6"	"1"	"0"	"2"	"2"	"0"	"1"	"0"	"1"	"458"	""	"458"	""
"92"	"76"	"10"	"320"	"11"	"0"	"2"	"42"	"3"	"1"	"2"	"1"	"2"	"1"	"0"	"2"	"1"	"4"	"402"	""	"402"	""
"93"	"77"	"5"	"118"	"63"	"3"	"0"	"63"	"4"	"4"	"1"	"1"	"4"	"5"	"2"	"3"	"2"	"1"	"279"	""	"279"	""
"94"	"78"	"17"	"96"	"298"	"9"	"2"	"14"	"0"	"0"	"4"	"1"	"4"	"3"	"5"	"6"	"5"	"6"	"470"	""	"470"	""
"95"	"79"	"6"	"107"	"246"	"9"	"5"	"61"	"4"	"3"	"1"	"6"	"4"	"8"	"1"	"7"	"8"	"24"	"500"	""	"500"	""
"96"	"80"	"16"	"44"	"174"	"9"	"3"	"98"	"9"	"6"	"2"	"7"	"7"	"3"	"3"	"4"	"7"	"18"	"410"	""	"410"	""
"97"	"81"	"9"	"44"	"112"	"5"	"1"	"56"	"6"	"5"	"0"	"1"	"4"	"3"	"5"	"2"	"2"	"5"	"260"	""	"260"	""
"98"	"82"	"12"	"322"	"19"	"1"	"1"	"18"	"2"	"19"	"0"	"1"	"0"	"0"	"3"	"1"	"3"	"1"	"403"	""	"403"	""
"99"	"83"	"10"	"326"	"34"	"18"	"1"	"3"	"3"	"4"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"2"	"406"	""	"406"	""
"100"	"84"	"87"	"87"	"295"	"5"	"4"	"108"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"593"	""	"593"	""
"101"	"Grand
Total"	"219"	"2344"	"2353"	"85"	"32"	"672"	"46"	"67"	"13"	"23"	"42"	"43"	"30"	"40"	"38"	"83"	"6130"	"0"	"6130"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"104"	"85"	"6"	"94"	"280"	"2"	"4"	"7"	"1"	"2"	"0"	"1"	"2"	"1"	"0"	"4"	"1"	"0"	"405"	""	"405"	""
"105"	"86"	"38"	"155"	"342"	"3"	"3"	"62"	"2"	"7"	"2"	"2"	"2"	"6"	"3"	"9"	"2"	"7"	"645"	""	"645"	""
"106"	"87"	"1"	"64"	"110"	"3"	"4"	"18"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"3"	"212"	""	"212"	""
"107"	"88"	"18"	"25"	"305"	"10"	"11"	"18"	"1"	"11"	"2"	"2"	"5"	"3"	"8"	"15"	"6"	"10"	"450"	""	"450"	""
"108"	"89"	"112"	"104"	"144"	"9"	"0"	"114"	"4"	"8"	"1"	"3"	"3"	"4"	"1"	"1"	"1"	"8"	"517"	""	"517"	""
"109"	"90"	"7"	"94"	"108"	"0"	"3"	"7"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"1"	"228"	""	"228"	""
"110"	"91"	"14"	"370"	"51"	"6"	"4"	"10"	"2"	"8"	"0"	"5"	"2"	"1"	"2"	"4"	"5"	"12"	"496"	""	"496"	""
"111"	"92"	"7"	"273"	"49"	"2"	"2"	"23"	"7"	"6"	"0"	"2"	"4"	"2"	"2"	"4"	"2"	"5"	"390"	""	"390"	""
"112"	"93"	"5"	"68"	"237"	"8"	"7"	"28"	"4"	"1"	"0"	"2"	"4"	"4"	"3"	"6"	"2"	"13"	"392"	""	"392"	""
"113"	"94"	"12"	"458"	"35"	"1"	"1"	"13"	"1"	"9"	"1"	"1"	"0"	"2"	"0"	"0"	"4"	"3"	"541"	""	"541"	""
"114"	"95"	"25"	"42"	"454"	"4"	"5"	"78"	"2"	"3"	"6"	"4"	"4"	"1"	"2"	"4"	"2"	"7"	"643"	""	"643"	""
"115"	"96"	"56"	"69"	"565"	"16"	"5"	"38"	"1"	"19"	"3"	"1"	"3"	"5"	"2"	"13"	"5"	"6"	"807"	""	"807"	""
"116"	"97"	"23"	"342"	"68"	"3"	"2"	"55"	"3"	"4"	"3"	"2"	"6"	"3"	"0"	"3"	"9"	"12"	"538"	""	"538"	""
"117"	"98"	"48"	"201"	"282"	"6"	"5"	"62"	"8"	"0"	"6"	"11"	"12"	"9"	"5"	"11"	"7"	"22"	"695"	""	"695"	""
"118"	"Grand
Total"	"372"	"2359"	"3030"	"73"	"56"	"533"	"37"	"82"	"24"	"37"	"48"	"44"	"28"	"79"	"48"	"109"	"6959"	"0"	"6959"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"121"	"99"	"22"	"55"	"453"	"7"	"6"	"163"	"4"	"5"	"4"	"5"	"12"	"6"	"6"	"10"	"9"	"9"	"776"	""	"776"	""
"122"	"100"	"8"	"125"	"317"	"5"	"10"	"53"	"7"	"0"	"1"	"2"	"6"	"5"	"0"	"0"	"5"	"5"	"549"	""	"549"	""
"123"	"101"	"13"	"128"	"20"	"0"	"3"	"269"	"6"	"4"	"2"	"2"	"7"	"1"	"0"	"2"	"4"	"7"	"468"	""	"468"	""
"124"	"102"	"3"	"170"	"149"	"6"	"4"	"58"	"3"	"1"	"0"	"2"	"6"	"0"	"0"	"2"	"8"	"7"	"419"	""	"419"	""
"125"	"103"	"20"	"286"	"289"	"13"	"4"	"11"	"5"	"4"	"3"	"2"	"5"	"3"	"2"	"3"	"2"	"4"	"656"	""	"656"	""
"126"	"104"	"6"	"458"	"81"	"2"	"1"	"35"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"6"	"595"	""	"595"	""
"127"	"105"	"45"	"30"	"42"	"4"	"3"	"142"	"6"	"4"	"0"	"1"	"3"	"0"	"1"	"2"	"7"	"12"	"302"	""	"302"	""
"128"	"106"	"10"	"90"	"525"	"9"	"1"	"80"	"2"	"4"	"0"	"3"	"4"	"6"	"6"	"7"	"9"	"5"	"761"	""	"761"	""
"129"	"107"	"1"	"18"	"354"	"0"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"403"	""	"403"	""
"130"	"108"	"4"	"69"	"26"	"1"	"5"	"529"	"11"	"2"	"3"	"3"	"6"	"1"	"0"	"1"	"4"	"4"	"669"	""	"669"	""
"131"	"109"	"0"	"52"	"305"	"2"	"1"	"110"	"7"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"483"	""	"483"	""
"132"	"110"	"1"	"48"	"5"	"1"	"5"	"506"	"7"	"4"	"1"	"10"	"5"	"0"	"0"	"3"	"7"	"5"	"608"	""	"608"	""
"133"	"111"	"8"	"122"	"335"	"5"	"3"	"20"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"3"	"3"	"8"	"513"	""	"513"	""
"134"	"112"	"14"	"332"	"40"	"3"	"1"	"54"	"3"	"1"	"2"	"1"	"0"	"2"	"1"	"1"	"4"	"7"	"466"	""	"466"	""
"135"	"Grand
Total"	"155"	"1983"	"2941"	"58"	"48"	"2056"	"63"	"31"	"18"	"34"	"56"	"25"	"18"	"36"	"64"	"82"	"7668"	"0"	"7668"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"137"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"138"	"113"	"6"	"268"	"6"	"2"	"0"	"22"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"314"	""	"314"	""
"139"	"114"	"5"	"172"	"88"	"0"	"2"	"27"	"1"	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"0"	"305"	""	"305"	""
"140"	"115"	"6"	"266"	"11"	"3"	"0"	"55"	"0"	"0"	"2"	"3"	"1"	"0"	"1"	"4"	"6"	"6"	"364"	""	"364"	""
"141"	"116"	"2"	"160"	"275"	"2"	"1"	"37"	"2"	"1"	"2"	"0"	"3"	"0"	"1"	"2"	"8"	"4"	"500"	""	"500"	""
"142"	"117"	"1"	"77"	"356"	"8"	"5"	"17"	"15"	"2"	"1"	"2"	"4"	"6"	"4"	"10"	"2"	"19"	"529"	""	"529"	""
