"Table.No"	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"No..of.Rejected.Votes"	"Total.Votes"	"Initials.of.RO"	"Initials.of.Obs"
"56"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"57"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"58"	"1"	"43"	"43"	"355"	"13"	"24"	"54"	"15"	"13"	""	"517"	""	""
"59"	"2"	"44"	"21"	"608"	"7"	"34"	"34"	"6"	"3"	""	"713"	""	""
"60"	"3"	"45"	"42"	"270"	"5"	"4"	"115"	"5"	"0"	""	"441"	""	""
"61"	"4"	"46"	"15"	"353"	"11"	"35"	"216"	"6"	"7"	""	"643"	""	""
"62"	"5"	"47"	"150"	"264"	"16"	"55"	"27"	"10"	"15"	""	"537"	""	""
"63"	"6"	"48"	"88"	"210"	"13"	"191"	"70"	"12"	"38"	""	"622"	""	""
"64"	"7"	"49"	"27"	"256"	"7"	"121"	"32"	"1"	"6"	""	"450"	""	""
"65"	"8"	"50"	"30"	"196"	"10"	"96"	"43"	"14"	"17"	""	"406"	""	""
"66"	"9"	"51"	"57"	"296"	"23"	"171"	"118"	"24"	"34"	""	"723"	""	""
"67"	"10"	"52"	"32"	"253"	"6"	"223"	"87"	"9"	"12"	""	"622"	""	""
"68"	"11"	"53"	"32"	"209"	"11"	"166"	"82"	"8"	"11"	""	"519"	""	""
"69"	"12"	"54"	"64"	"185"	"11"	"241"	"30"	"4"	"6"	""	"541"	""	""
"70"	"13"	"55"	"23"	"286"	"15"	"152"	"20"	"15"	"12"	""	"523"	""	""
"71"	"14"	"56"	"50"	"168"	"9"	"159"	"76"	"18"	"16"	""	"496"	""	""
"72"	""	"Total Round 4"	"674"	"3909"	"157"	"1672"	"1004"	"147"	"190"	"0"	"7753"	""	""
"73"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"74"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"75"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"76"	"1"	"57"	"165"	"344"	"13"	"131"	"49"	"14"	"26"	""	"742"	""	""
"77"	"2"	"58"	"84"	"259"	"8"	"118"	"7"	"11"	"15"	""	"502"	""	""
"78"	"3"	"59"	"55"	"204"	"3"	"204"	"48"	"6"	"5"	""	"525"	""	""
"79"	"4"	"60"	"163"	"295"	"7"	"68"	"20"	"5"	"2"	""	"560"	""	""
"80"	"5"	"61"	"95"	"338"	"13"	"170"	"19"	"18"	"7"	""	"660"	""	""
"81"	"6"	"62"	"12"	"160"	"8"	"294"	"16"	"3"	"9"	""	"502"	""	""
"82"	"7"	"63"	"50"	"519"	"13"	"267"	"17"	"5"	"10"	""	"881"	""	""
"83"	"8"	"64"	"102"	"290"	"6"	"348"	"12"	"2"	"5"	""	"765"	""	""
"84"	"9"	"65"	"35"	"101"	"4"	"255"	"17"	"5"	"18"	""	"435"	""	""
"85"	"10"	"66"	"37"	"275"	"11"	"255"	"61"	"14"	"23"	""	"676"	""	""
"86"	"11"	"67"	"35"	"336"	"13"	"164"	"26"	"10"	"16"	""	"600"	""	""
"87"	"12"	"68"	"76"	"132"	"5"	"344"	"17"	"5"	"8"	""	"587"	""	""
"88"	"13"	"69"	"36"	"152"	"6"	"283"	"12"	"3"	"6"	""	"498"	""	""
"89"	"14"	"70"	"117"	"417"	"13"	"111"	"22"	"11"	"19"	""	"710"	""	""
"90"	""	"Total Round 5"	"1062"	"3822"	"123"	"3012"	"343"	"112"	"169"	"0"	"8643"	""	""
"91"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"92"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"93"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"94"	"1"	"71"	"8"	"159"	"6"	"389"	"15"	"8"	"4"	""	"589"	""	""
"95"	"2"	"72"	"105"	"471"	"17"	"89"	"38"	"12"	"9"	""	"741"	""	""
"96"	"3"	"73"	"63"	"537"	"17"	"136"	"35"	"7"	"19"	""	"814"	""	""
"97"	"4"	"74"	"31"	"470"	"27"	"158"	"48"	"8"	"12"	""	"754"	""	""
"98"	"5"	"75"	"34"	"418"	"16"	"117"	"59"	"17"	"18"	""	"679"	""	""
"99"	"6"	"76"	"24"	"144"	"9"	"157"	"100"	"7"	"2"	""	"443"	""	""
"100"	"7"	"77"	"17"	"362"	"3"	"66"	"22"	"2"	"1"	""	"473"	""	""
"101"	"8"	"78"	"22"	"293"	"16"	"326"	"12"	"13"	"9"	""	"691"	""	""
"102"	"9"	"79"	"98"	"230"	"4"	"72"	"68"	"2"	"1"	""	"475"	""	""
"103"	"10"	"80"	"52"	"314"	"75"	"128"	"23"	"9"	"8"	""	"609"	""	""
"104"	"11"	"81"	"26"	"276"	"6"	"23"	"16"	"1"	"3"	""	"351"	""	""
"105"	"12"	"82"	"50"	"348"	"24"	"161"	"0"	"29"	"50"	""	"662"	""	""
"106"	"13"	"83"	"80"	"358"	"16"	"5"	"29"	"13"	"24"	""	"525"	""	""
"107"	"14"	"84"	"66"	"326"	"19"	"56"	"20"	"11"	"24"	""	"522"	""	""
"108"	""	"Total Round 6"	"676"	"4706"	"255"	"1883"	"485"	"139"	"184"	"0"	"8328"	""	""
"109"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"110"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"111"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"112"	"1"	"85"	"38"	"286"	"10"	"142"	"20"	"13"	"25"	""	"534"	""	""
"113"	"2"	"86"	"37"	"584"	"8"	"55"	"11"	"5"	"6"	""	"706"	""	""
"114"	"3"	"87"	"228"	"40"	"8"	"317"	"54"	"20"	"12"	""	"679"	""	""
"115"	"4"	"88"	"158"	"144"	"4"	"158"	"12"	"3"	"5"	""	"484"	""	""
"116"	"5"	"89"	"30"	"119"	"9"	"93"	"101"	"7"	"6"	""	"365"	""	""
"117"	"6"	"90"	"100"	"249"	"9"	"161"	"13"	"9"	"9"	""	"550"	""	""
"118"	"7"	"91"	"111"	"212"	"9"	"96"	"26"	"8"	"6"	""	"468"	""	""
"119"	"8"	"92"	"50"	"189"	"10"	"79"	"64"	"19"	"24"	""	"435"	""	""
"120"	"9"	"93"	"99"	"98"	"12"	"184"	"16"	"8"	"19"	""	"436"	""	""
"121"	"10"	"94"	"85"	"113"	"6"	"137"	"30"	"4"	"5"	""	"380"	""	""
"122"	"11"	"95"	"113"	"96"	"20"	"257"	"139"	"25"	"46"	""	"696"	""	""
"123"	"12"	"96"	"77"	"235"	"6"	"79"	"15"	"3"	"2"	""	"417"	""	""
"124"	"13"	"97"	"111"	"165"	"1"	"33"	"16"	"1"	"9"	""	"336"	""	""
"125"	"14"	"98"	"136"	"155"	"10"	"244"	"17"	"11"	"7"	""	"580"	""	""
"126"	""	"Total Round 7"	"1373"	"2685"	"122"	"2035"	"534"	"136"	"181"	"0"	"7066"	""	""
"127"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"128"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"129"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"130"	"1"	"99"	"51"	"424"	"17"	"91"	"33"	"4"	"0"	""	"620"	""	""
"131"	"2"	"100"	"31"	"324"	"7"	"56"	"12"	"2"	"6"	""	"438"	""	""
"132"	"3"	"101"	"209"	"211"	"10"	"200"	"21"	"13"	"20"	""	"684"	""	""
"133"	"4"	"102"	"12"	"121"	"4"	"253"	"8"	"7"	"7"	""	"412"	""	""
"134"	"5"	"103"	"40"	"323"	"15"	"203"	"21"	"24"	"46"	""	"672"	""	""
"135"	"6"	"104"	"23"	"46"	"4"	"185"	"8"	"4"	"11"	""	"281"	""	""
"136"	"7"	"105"	"51"	"240"	"13"	"185"	"11"	"12"	"17"	""	"529"	""	""
"137"	"8"	"106"	"145"	"154"	"11"	"236"	"28"	"16"	"23"	""	"613"	""	""
"138"	"9"	"107"	"26"	"119"	"12"	"404"	"18"	"15"	"10"	""	"604"	""	""
"139"	"10"	"108"	"62"	"323"	"8"	"64"	"7"	"2"	"2"	""	"468"	""	""
"140"	"11"	"109"	"23"	"180"	"6"	"197"	"16"	"5"	"10"	""	"437"	""	""
"141"	"12"	"110"	"36"	"257"	"19"	"148"	"47"	"10"	"28"	""	"545"	""	""
"142"	"13"	"111"	"36"	"287"	"7"	"171"	"20"	"10"	"19"	""	"550"	""	""
"143"	"14"	"112"	"95"	"106"	"10"	"269"	"37"	"16"	"19"	""	"552"	""	""
"144"	""	"Total Round 8"	"840"	"3115"	"143"	"2662"	"287"	"140"	"218"	"0"	"7405"	""	""
"145"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"146"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"147"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"148"	"1"	"113"	"61"	"83"	"5"	"156"	"10"	"3"	"2"	""	"320"	""	""
"149"	"2"	"114"	"93"	"116"	"8"	"124"	"6"	"13"	"16"	""	"376"	""	""
"150"	"3"	"115"	"362"	"48"	"10"	"57"	"15"	"8"	"9"	""	"509"	""	""
"151"	"4"	"116"	"207"	"13"	"5"	"90"	"1"	"1"	"2"	""	"319"	""	""
"152"	"5"	"117"	"461"	"28"	"4"	"49"	"5"	"3"	"4"	""	"554"	""	""
"153"	"6"	"118"	"479"	"108"	"2"	"67"	"21"	"2"	"1"	""	"680"	""	""
"154"	"7"	"119"	"373"	"97"	"9"	"41"	"5"	"3"	"9"	""	"537"	""	""
"155"	"8"	"120"	"604"	"60"	"7"	"37"	"10"	"7"	"1"	""	"726"	""	""
"156"	"9"	"121"	"337"	"35"	"3"	"43"	"2"	"0"	"1"	""	"421"	""	""
"157"	"10"	"122"	"236"	"81"	"2"	"84"	"16"	"4"	"9"	""	"432"	""	""
"158"	"11"	"123"	"345"	"111"	"3"	"51"	"7"	"4"	"9"	""	"530"	""	""
"159"	"12"	"124"	"184"	"195"	"8"	"24"	"13"	"9"	"17"	""	"450"	""	""
"160"	"13"	"125"	"167"	"172"	"5"	"36"	"43"	"6"	"5"	""	"434"	""	""
"161"	"14"	"126"	"27"	"286"	"7"	"43"	"38"	"7"	"2"	""	"410"	""	""
"162"	""	"Total Round 9"	"3936"	"1433"	"78"	"902"	"192"	"70"	"87"	"0"	"6698"	""	""
"163"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"164"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"165"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"166"	"1"	"127"	"110"	"201"	"14"	"54"	"113"	"8"	"16"	""	"516"	""	""
"167"	"2"	"128"	"122"	"691"	"20"	"67"	"25"	"18"	"38"	""	"981"	""	""
"168"	"3"	"129"	"15"	"178"	"14"	"108"	"23"	"9"	"9"	""	"356"	""	""
"169"	"4"	"130"	"70"	"212"	"13"	"43"	"46"	"3"	"5"	""	"392"	""	""
"170"	"5"	"131"	"67"	"364"	"9"	"239"	"36"	"4"	"10"	""	"729"	""	""
"171"	"6"	"132"	"17"	"215"	"11"	"77"	"60"	"6"	"6"	""	"392"	""	""
"172"	"7"	"133"	"21"	"287"	"6"	"169"	"14"	"5"	"7"	""	"509"	""	""
"173"	"8"	"134"	"7"	"12"	"2"	"636"	"11"	"0"	"2"	""	"670"	""	""
"174"	"9"	"135"	"18"	"279"	"6"	"138"	"22"	"1"	"3"	""	"467"	""	""
"175"	"10"	"136"	"62"	"116"	"6"	"248"	"26"	"2"	"11"	""	"471"	""	""
"176"	"11"	"137"	"63"	"162"	"12"	"92"	"14"	"6"	"8"	""	"357"	""	""
"177"	"12"	"138"	"92"	"87"	"15"	"311"	"13"	"15"	"8"	""	"541"	""	""
"178"	"13"	"139"	"85"	"381"	"14"	"22"	"41"	"8"	"10"	""	"561"	""	""
"179"	"14"	"140"	"38"	"295"	"14"	"126"	"109"	"5"	"13"	""	"600"	""	""
"180"	""	"Total Round 10"	"787"	"3480"	"156"	"2330"	"553"	"90"	"146"	"0"	"7542"	""	""
"181"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"182"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"183"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"184"	"1"	"141"	"31"	"260"	"16"	"222"	"16"	"5"	"14"	""	"564"	""	""
"185"	"2"	"142"	"70"	"114"	"7"	"324"	"19"	"10"	"13"	""	"557"	""	""
"186"	"3"	"143"	"42"	"248"	"10"	"230"	"22"	"2"	"48"	""	"602"	""	""
"187"	"4"	"144"	"1"	"5"	"0"	"496"	"1"	"2"	"3"	""	"508"	""	""
"188"	"5"	"145"	"0"	"2"	"1"	"557"	"1"	"0"	"0"	""	"561"	""	""
"189"	"6"	"146"	"100"	"225"	"10"	"209"	"15"	"10"	"7"	""	"576"	""	""
"190"	"7"	"147"	"50"	"249"	"10"	"117"	"10"	"7"	"16"	""	"459"	""	""
"191"	"8"	"148"	"76"	"215"	"10"	"112"	"14"	"8"	"18"	""	"453"	""	""
"192"	"9"	"149"	"52"	"492"	"7"	"144"	"14"	"7"	"9"	""	"725"	""	""
"193"	"10"	"150"	"34"	"164"	"9"	"57"	"24"	"9"	"9"	""	"306"	""	""
"194"	"11"	"151"	"10"	"30"	"4"	"509"	"15"	"7"	"5"	""	"580"	""	""
"195"	"12"	"152"	"4"	"14"	"1"	"682"	"0"	"0"	"0"	""	"701"	""	""
"196"	"13"	"153"	"7"	"99"	"2"	"713"	"33"	"3"	"1"	""	"858"	""	""
"197"	"14"	"154"	"22"	"408"	"15"	"186"	"33"	"7"	"6"	""	"677"	""	""
"198"	""	"Total Round 11"	"499"	"2525"	"102"	"4558"	"217"	"77"	"149"	"0"	"8127"	""	""
"199"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"200"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"201"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"202"	"1"	"155"	"2"	"12"	"0"	"451"	"3"	"1"	"2"	""	"471"	""	""
"203"	"2"	"156"	"18"	"29"	"6"	"538"	"7"	"0"	"3"	""	"601"	""	""
"204"	"3"	"157"	"83"	"184"	"10"	"249"	"15"	"13"	"13"	""	"567"	""	""
"205"	"4"	"158"	"64"	"84"	"7"	"161"	"63"	"6"	"3"	""	"388"	""	""
"206"	"5"	"159"	"24"	"125"	"5"	"246"	"15"	"15"	"25"	""	"455"	""	""
"207"	"6"	"160"	"19"	"177"	"8"	"370"	"23"	"2"	"2"	""	"601"	""	""
"208"	"7"	"161"	"17"	"435"	"6"	"72"	"33"	"4"	"5"	""	"572"	""	""
"209"	"8"	"162"	"27"	"199"	"7"	"74"	"69"	"9"	"18"	""	"403"	""	""
"210"	"9"	"163"	"15"	"472"	"5"	"46"	"14"	"0"	"2"	""	"554"	""	""
"211"	"10"	"164"	"4"	"144"	"6"	"113"	"7"	"1"	"0"	""	"275"	""	""
"212"	"11"	"165"	"17"	"270"	"23"	"222"	"51"	"10"	"18"	""	"611"	""	""
"213"	"12"	"166"	"44"	"223"	"19"	"100"	"70"	"12"	"14"	""	"482"	""	""
"214"	"13"	"167"	"33"	"249"	"1"	"347"	"13"	"3"	"12"	""	"658"	""	""
"215"	"14"	"168"	"108"	"302"	"6"	"67"	"20"	"7"	"11"	""	"521"	""	""
"216"	""	"Total Round 12"	"475"	"2905"	"109"	"3056"	"403"	"83"	"128"	"0"	"7159"	""	""
"217"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"218"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"219"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"220"	"1"	"169"	"114"	"361"	"21"	"66"	"14"	"9"	"8"	""	"593"	""	""
"221"	"2"	"170"	"54"	"156"	"1"	"78"	"95"	"10"	"14"	""	"408"	""	""
"222"	"3"	"171"	"21"	"238"	"5"	"8"	"22"	"2"	"1"	""	"297"	""	""
"223"	"4"	"172"	"35"	"172"	"10"	"253"	"84"	"18"	"5"	""	"577"	""	""
"224"	"5"	"173"	"59"	"137"	"18"	"107"	"131"	"11"	"13"	""	"476"	""	""
"225"	"6"	"174"	"40"	"174"	"6"	"214"	"16"	"14"	"15"	""	"479"	""	""
"226"	"7"	"175"	"314"	"69"	"11"	"202"	"56"	"17"	"51"	""	"720"	""	""
"227"	"8"	"176"	"361"	"93"	"17"	"122"	"75"	"14"	"26"	""	"708"	""	""
"228"	"9"	"177"	"182"	"53"	"10"	"147"	"61"	"4"	"5"	""	"462"	""	""
"229"	"10"	"178"	"206"	"25"	"3"	"64"	"34"	"2"	"4"	""	"338"	""	""
"230"	"11"	"179"	"81"	"109"	"6"	"438"	"40"	"8"	"10"	""	"692"	""	""
"231"	"12"	"180"	"283"	"93"	"14"	"155"	"27"	"13"	"10"	""	"595"	""	""
"232"	"13"	"181"	"65"	"51"	"10"	"197"	"41"	"7"	"4"	""	"375"	""	""
"233"	"14"	"182"	"53"	"246"	"11"	"61"	"138"	"11"	"21"	""	"541"	""	""
"234"	""	"Total Round 13"	"1868"	"1977"	"143"	"2112"	"834"	"140"	"187"	"0"	"7261"	""	""
"235"	"Total No. of Electors in Assembly Constituency :-  205772"	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 75 HARLAKHI"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"242"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"243"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"244"	"1"	"183"	"31"	"71"	"10"	"173"	"78"	"8"	"9"	""	"380"	""	""
