"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.106.ABARAUNI.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"22"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"25"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"27"	"14"	"330"	"18"	"228"	"21"	"15"	"12"	"18"	"56"	"698"	"0"	"698"	"0"
"28"	"15"	"206"	"18"	"139"	"8"	"5"	"7"	"15"	"40"	"438"	"0"	"438"	"0"
"29"	"16"	"345"	"8"	"67"	"5"	"10"	"4"	"11"	"14"	"464"	"0"	"464"	"0"
"30"	"17"	"349"	"2"	"182"	"7"	"5"	"1"	"34"	"8"	"588"	"0"	"588"	"0"
"31"	"18"	"222"	"11"	"180"	"10"	"5"	"3"	"2"	"16"	"449"	"0"	"449"	"0"
"32"	"18A"	"194"	"7"	"92"	"11"	"5"	"3"	"19"	"22"	"353"	"0"	"353"	"0"
"33"	"19"	"138"	"4"	"79"	"3"	"6"	"2"	"10"	"7"	"249"	"0"	"249"	"0"
"34"	"20"	"270"	"9"	"299"	"9"	"4"	"6"	"18"	"31"	"646"	"0"	"646"	"0"
"35"	"21"	"102"	"8"	"248"	"10"	"6"	"7"	"20"	"24"	"425"	"0"	"425"	"0"
"36"	"22"	"150"	"2"	"110"	"6"	"1"	"3"	"15"	"8"	"295"	"0"	"295"	"0"
"37"	"22A"	"92"	"6"	"161"	"6"	"4"	"5"	"25"	"21"	"320"	"0"	"320"	"0"
"38"	"23"	"260"	"8"	"157"	"8"	"1"	"5"	"22"	"26"	"487"	"0"	"487"	"0"
"39"	"24"	"122"	"8"	"299"	"24"	"7"	"9"	"20"	"66"	"555"	"0"	"555"	"0"
"40"	"25"	"197"	"13"	"347"	"12"	"5"	"12"	"26"	"39"	"651"	"0"	"651"	"0"
"41"	"Total"	"2977"	"122"	"2588"	"140"	"79"	"79"	"255"	"378"	"6618"	"0"	"6618"	"0"
"42"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"46"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"48"	"26"	"177"	"17"	"173"	"20"	"9"	"7"	"7"	"41"	"451"	"0"	"451"	"0"
"49"	"27"	"241"	"10"	"126"	"10"	"5"	"4"	"28"	"24"	"448"	"0"	"448"	"0"
"50"	"28"	"347"	"5"	"275"	"8"	"6"	"1"	"7"	"23"	"672"	"0"	"672"	"0"
"51"	"29"	"8"	"7"	"616"	"11"	"2"	"12"	"5"	"16"	"677"	"0"	"677"	"0"
"52"	"30"	"257"	"8"	"324"	"1"	"5"	"3"	"3"	"6"	"607"	"0"	"607"	"0"
"53"	"31"	"196"	"14"	"327"	"12"	"9"	"8"	"26"	"42"	"634"	"0"	"634"	"0"
"54"	"32"	"155"	"16"	"284"	"7"	"12"	"7"	"55"	"44"	"580"	"0"	"580"	"0"
"55"	"33"	"236"	"11"	"333"	"9"	"2"	"5"	"10"	"25"	"631"	"0"	"631"	"0"
"56"	"34"	"341"	"9"	"161"	"5"	"1"	"6"	"18"	"26"	"567"	"0"	"567"	"0"
"57"	"35"	"104"	"8"	"145"	"5"	"3"	"5"	"6"	"23"	"299"	"0"	"299"	"0"
"58"	"36"	"272"	"10"	"278"	"13"	"5"	"4"	"9"	"30"	"621"	"0"	"621"	"0"
"59"	"37"	"289"	"6"	"163"	"5"	"4"	"5"	"15"	"20"	"507"	"0"	"507"	"0"
"60"	"38"	"450"	"18"	"149"	"11"	"7"	"3"	"5"	"23"	"666"	"0"	"666"	"0"
"61"	"39"	"468"	"5"	"130"	"4"	"1"	"0"	"12"	"9"	"629"	"0"	"629"	"0"
"62"	"Total"	"3541"	"144"	"3484"	"121"	"71"	"70"	"206"	"352"	"7989"	"0"	"7989"	"0"
"63"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"67"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"69"	"40"	"362"	"7"	"86"	"4"	"1"	"1"	"19"	"16"	"496"	"0"	"496"	"0"
"70"	"41"	"291"	"16"	"208"	"11"	"12"	"15"	"16"	"54"	"623"	"0"	"623"	"0"
"71"	"42"	"399"	"9"	"203"	"11"	"6"	"5"	"32"	"28"	"693"	"0"	"693"	"0"
"72"	"43"	"264"	"7"	"355"	"11"	"5"	"15"	"22"	"32"	"711"	"0"	"711"	"0"
"73"	"44"	"333"	"11"	"258"	"11"	"6"	"10"	"39"	"40"	"708"	"0"	"708"	"0"
"74"	"45"	"333"	"14"	"185"	"20"	"9"	"10"	"43"	"49"	"663"	"0"	"663"	"0"
"75"	"46"	"362"	"10"	"165"	"7"	"2"	"9"	"42"	"26"	"623"	"0"	"623"	"0"
"76"	"47"	"255"	"7"	"200"	"7"	"5"	"4"	"12"	"34"	"524"	"0"	"524"	"0"
"77"	"48"	"471"	"10"	"126"	"11"	"4"	"10"	"51"	"21"	"704"	"0"	"704"	"0"
"78"	"49"	"273"	"8"	"335"	"9"	"3"	"23"	"22"	"18"	"691"	"0"	"691"	"0"
"79"	"50"	"258"	"4"	"306"	"12"	"2"	"7"	"24"	"13"	"626"	"0"	"626"	"0"
"80"	"51"	"201"	"14"	"344"	"15"	"3"	"15"	"17"	"43"	"652"	"0"	"652"	"0"
"81"	"52"	"415"	"15"	"305"	"9"	"7"	"8"	"16"	"41"	"816"	"0"	"816"	"0"
"82"	"53"	"191"	"10"	"366"	"9"	"11"	"9"	"29"	"36"	"661"	"0"	"661"	"0"
"83"	"Total"	"4408"	"142"	"3442"	"147"	"76"	"141"	"384"	"451"	"9191"	"0"	"9191"	"0"
"84"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"88"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"90"	"54"	"180"	"7"	"349"	"7"	"10"	"15"	"26"	"45"	"639"	"0"	"639"	"0"
"91"	"55"	"165"	"16"	"437"	"14"	"6"	"9"	"29"	"82"	"758"	"0"	"758"	"0"
"92"	"56"	"207"	"11"	"206"	"13"	"6"	"6"	"72"	"39"	"560"	"0"	"560"	"0"
"93"	"57"	"443"	"29"	"208"	"9"	"10"	"6"	"18"	"44"	"767"	"0"	"767"	"0"
"94"	"58"	"135"	"5"	"122"	"5"	"3"	"2"	"15"	"16"	"303"	"0"	"303"	"0"
"95"	"59"	"245"	"5"	"270"	"1"	"0"	"17"	"11"	"30"	"579"	"0"	"579"	"0"
"96"	"60"	"168"	"9"	"258"	"15"	"6"	"6"	"19"	"21"	"502"	"0"	"502"	"0"
"97"	"61"	"200"	"7"	"139"	"13"	"7"	"6"	"5"	"14"	"391"	"0"	"391"	"0"
"98"	"62"	"156"	"4"	"214"	"12"	"7"	"7"	"18"	"52"	"470"	"0"	"470"	"0"
"99"	"63"	"92"	"10"	"240"	"7"	"15"	"2"	"13"	"26"	"405"	"0"	"405"	"0"
"100"	"64"	"192"	"15"	"297"	"17"	"11"	"11"	"21"	"79"	"643"	"0"	"643"	"0"
"101"	"65"	"146"	"2"	"239"	"6"	"4"	"6"	"16"	"32"	"451"	"0"	"451"	"0"
"102"	"66"	"234"	"16"	"334"	"27"	"14"	"21"	"17"	"58"	"721"	"0"	"721"	"0"
"103"	"67"	"229"	"1"	"156"	"3"	"4"	"1"	"2"	"9"	"405"	"0"	"405"	"0"
"104"	"Total"	"2792"	"137"	"3469"	"149"	"103"	"115"	"282"	"547"	"7594"	"0"	"7594"	"0"
"105"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"109"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"111"	"68"	"137"	"17"	"352"	"15"	"7"	"8"	"4"	"42"	"582"	"0"	"582"	"0"
"112"	"69"	"150"	"6"	"187"	"6"	"3"	"4"	"4"	"13"	"373"	"0"	"373"	"0"
"113"	"70"	"70"	"9"	"255"	"7"	"7"	"9"	"9"	"25"	"391"	"0"	"391"	"0"
"114"	"71"	"333"	"9"	"171"	"9"	"1"	"1"	"2"	"18"	"544"	"0"	"544"	"0"
"115"	"72"	"196"	"10"	"281"	"23"	"6"	"11"	"5"	"37"	"569"	"0"	"569"	"0"
"116"	"73"	"367"	"16"	"249"	"14"	"5"	"4"	"18"	"47"	"720"	"0"	"720"	"0"
"117"	"74"	"319"	"17"	"286"	"10"	"3"	"12"	"16"	"49"	"712"	"0"	"712"	"0"
"118"	"75"	"221"	"9"	"259"	"12"	"6"	"12"	"45"	"38"	"602"	"0"	"602"	"0"
"119"	"76"	"327"	"11"	"288"	"9"	"6"	"11"	"35"	"35"	"722"	"0"	"722"	"0"
"120"	"77"	"307"	"5"	"180"	"4"	"8"	"8"	"82"	"12"	"606"	"0"	"606"	"0"
"121"	"78"	"113"	"6"	"202"	"3"	"3"	"4"	"35"	"16"	"382"	"0"	"382"	"0"
"122"	"79"	"204"	"13"	"244"	"17"	"9"	"13"	"45"	"35"	"580"	"0"	"580"	"0"
"123"	"80"	"131"	"7"	"318"	"8"	"1"	"3"	"39"	"26"	"533"	"0"	"533"	"0"
"124"	"81"	"274"	"11"	"238"	"15"	"3"	"4"	"28"	"33"	"606"	"0"	"606"	"0"
"125"	"Total"	"3149"	"146"	"3510"	"152"	"68"	"104"	"367"	"426"	"7922"	"0"	"7922"	"0"
"126"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"130"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"131"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"132"	"82"	"127"	"8"	"294"	"6"	"1"	"8"	"24"	"37"	"505"	"0"	"505"	"0"
"133"	"83"	"143"	"12"	"233"	"11"	"8"	"6"	"6"	"38"	"457"	"0"	"457"	"0"
"134"	"84"	"69"	"15"	"353"	"25"	"12"	"26"	"12"	"95"	"607"	"0"	"607"	"0"
"135"	"85"	"91"	"10"	"398"	"23"	"9"	"9"	"19"	"59"	"618"	"0"	"618"	"0"
"136"	"86"	"92"	"10"	"496"	"40"	"12"	"27"	"21"	"76"	"774"	"0"	"774"	"0"
"137"	"87"	"198"	"5"	"229"	"7"	"8"	"9"	"7"	"40"	"503"	"0"	"503"	"0"
"138"	"88"	"317"	"14"	"204"	"12"	"13"	"5"	"11"	"34"	"610"	"0"	"610"	"0"
"139"	"89"	"227"	"12"	"272"	"15"	"8"	"17"	"18"	"37"	"606"	"0"	"606"	"0"
"140"	"90"	"406"	"11"	"202"	"6"	"8"	"7"	"10"	"29"	"679"	"0"	"679"	"0"
"141"	"91"	"405"	"4"	"168"	"7"	"3"	"8"	"20"	"24"	"639"	"0"	"639"	"0"
"142"	"92"	"300"	"9"	"118"	"6"	"8"	"7"	"37"	"30"	"515"	"0"	"515"	"0"
"143"	"93"	"227"	"12"	"318"	"14"	"16"	"11"	"25"	"45"	"668"	"0"	"668"	"0"
"144"	"94"	"143"	"8"	"444"	"13"	"7"	"10"	"32"	"65"	"722"	"0"	"722"	"0"
"145"	"95"	"198"	"12"	"133"	"1"	"8"	"7"	"13"	"21"	"393"	"0"	"393"	"0"
"146"	"Total"	"2943"	"142"	"3862"	"186"	"121"	"157"	"255"	"630"	"8296"	"0"	"8296"	"0"
"147"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"151"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"152"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"153"	"96"	"83"	"7"	"174"	"6"	"0"	"4"	"43"	"13"	"330"	"0"	"330"	"0"
"154"	"96A"	"236"	"8"	"154"	"6"	"4"	"8"	"91"	"22"	"529"	"0"	"529"	"0"
"155"	"97"	"220"	"6"	"55"	"13"	"4"	"4"	"121"	"23"	"446"	"0"	"446"	"0"
"156"	"98"	"323"	"12"	"67"	"10"	"3"	"5"	"190"	"25"	"635"	"0"	"635"	"0"
"157"	"99"	"294"	"13"	"247"	"10"	"2"	"7"	"11"	"48"	"632"	"0"	"632"	"0"
"158"	"100"	"217"	"22"	"236"	"13"	"8"	"30"	"29"	"33"	"588"	"0"	"588"	"0"
"159"	"101"	"172"	"9"	"293"	"8"	"7"	"8"	"33"	"30"	"560"	"0"	"560"	"0"
"160"	"102"	"213"	"10"	"190"	"6"	"9"	"10"	"12"	"33"	"483"	"0"	"483"	"0"
"161"	"103"	"291"	"5"	"151"	"12"	"5"	"6"	"2"	"15"	"487"	"0"	"487"	"0"
"162"	"104"	"229"	"5"	"199"	"3"	"4"	"3"	"18"	"13"	"474"	"0"	"474"	"0"
"163"	"105"	"183"	"10"	"425"	"14"	"9"	"1"	"29"	"41"	"712"	"0"	"712"	"0"
"164"	"106"	"188"	"15"	"197"	"3"	"2"	"2"	"73"	"20"	"500"	"0"	"500"	"0"
"165"	"107"	"179"	"13"	"119"	"6"	"5"	"4"	"8"	"19"	"353"	"0"	"353"	"0"
"166"	"108"	"253"	"9"	"86"	"5"	"4"	"5"	"5"	"15"	"382"	"0"	"382"	"0"
"167"	"Total"	"3081"	"144"	"2593"	"115"	"66"	"97"	"665"	"350"	"7111"	"0"	"7111"	"0"
"168"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"172"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"173"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"174"	"109"	"299"	"12"	"264"	"16"	"8"	"17"	"23"	"44"	"683"	"0"	"683"	"0"
"175"	"110"	"296"	"9"	"335"	"14"	"9"	"18"	"8"	"36"	"725"	"0"	"725"	"0"
"176"	"111"	"375"	"6"	"262"	"11"	"9"	"8"	"19"	"55"	"745"	"0"	"745"	"0"
"177"	"112"	"464"	"9"	"109"	"4"	"1"	"2"	"30"	"15"	"634"	"0"	"634"	"0"
"178"	"113"	"26"	"6"	"737"	"9"	"3"	"10"	"3"	"23"	"817"	"0"	"817"	"0"
"179"	"114"	"261"	"10"	"327"	"15"	"8"	"19"	"31"	"67"	"738"	"0"	"738"	"0"
"180"	"115"	"73"	"17"	"462"	"23"	"5"	"7"	"7"	"85"	"679"	"0"	"679"	"0"
"181"	"116"	"75"	"8"	"399"	"20"	"6"	"13"	"48"	"51"	"620"	"0"	"620"	"0"
"182"	"117"	"269"	"11"	"326"	"10"	"7"	"10"	"26"	"34"	"693"	"0"	"693"	"0"
"183"	"118"	"282"	"7"	"249"	"7"	"5"	"4"	"16"	"20"	"590"	"0"	"590"	"0"
"184"	"119"	"159"	"8"	"119"	"8"	"6"	"5"	"61"	"23"	"389"	"0"	"389"	"0"
"185"	"120"	"145"	"4"	"109"	"5"	"9"	"4"	"100"	"20"	"396"	"0"	"396"	"0"
"186"	"121"	"143"	"16"	"213"	"21"	"7"	"6"	"39"	"35"	"480"	"0"	"480"	"0"
"187"	"122"	"107"	"5"	"265"	"11"	"7"	"4"	"115"	"35"	"549"	"0"	"549"	"0"
"188"	"Total"	"2974"	"128"	"4176"	"174"	"90"	"127"	"526"	"543"	"8738"	"0"	"8738"	"0"
"189"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"193"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"195"	"123"	"150"	"11"	"457"	"16"	"6"	"7"	"46"	"52"	"745"	"0"	"745"	"0"
"196"	"124"	"67"	"5"	"276"	"11"	"6"	"7"	"50"	"33"	"455"	"0"	"455"	"0"
"197"	"125"	"212"	"10"	"260"	"22"	"6"	"28"	"28"	"43"	"609"	"0"	"609"	"0"
"198"	"126"	"284"	"11"	"179"	"7"	"9"	"113"	"36"	"37"	"676"	"0"	"676"	"0"
"199"	"127"	"467"	"21"	"127"	"10"	"8"	"7"	"191"	"36"	"867"	"0"	"867"	"0"
"200"	"128"	"457"	"21"	"99"	"7"	"11"	"5"	"105"	"90"	"795"	"0"	"795"	"0"
"201"	"129"	"469"	"16"	"127"	"20"	"5"	"6"	"168"	"48"	"859"	"0"	"859"	"0"
"202"	"130"	"279"	"15"	"118"	"8"	"8"	"6"	"182"	"27"	"643"	"0"	"643"	"0"
"203"	"131"	"487"	"8"	"139"	"14"	"9"	"8"	"182"	"45"	"892"	"0"	"892"	"0"
"204"	"132"	"341"	"12"	"160"	"21"	"17"	"9"	"145"	"36"	"741"	"0"	"741"	"0"
"205"	"133"	"239"	"10"	"212"	"13"	"7"	"4"	"79"	"35"	"599"	"0"	"599"	"0"
"206"	"134"	"558"	"9"	"60"	"8"	"1"	"5"	"124"	"8"	"773"	"0"	"773"	"0"
"207"	"135"	"588"	"12"	"138"	"11"	"7"	"3"	"78"	"17"	"854"	"0"	"854"	"0"
"208"	"136"	"156"	"10"	"55"	"11"	"7"	"5"	"460"	"29"	"733"	"0"	"733"	"0"
"209"	"Total"	"4754"	"171"	"2407"	"179"	"107"	"213"	"1874"	"536"	"10241"	"0"	"10241"	"0"
"210"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"214"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"215"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"216"	"137"	"414"	"8"	"77"	"11"	"5"	"6"	"207"	"22"	"750"	"0"	"750"	"0"
"217"	"138"	"197"	"3"	"40"	"6"	"1"	"5"	"195"	"11"	"458"	"0"	"458"	"0"
"218"	"139"	"414"	"11"	"59"	"14"	"8"	"6"	"139"	"18"	"669"	"0"	"669"	"0"
"219"	"140"	"165"	"26"	"176"	"6"	"9"	"12"	"37"	"46"	"477"	"0"	"477"	"0"
"220"	"141"	"221"	"7"	"168"	"7"	"6"	"8"	"5"	"25"	"447"	"0"	"447"	"0"
"221"	"142"	"224"	"7"	"125"	"16"	"3"	"10"	"8"	"41"	"434"	"0"	"434"	"0"
