"No..and.Name.of.Assembly.segment..........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"33"	"20"	"11"	"24"	"0"	"0"	"5"	"2"	"461"	"4"	"2"	"1"	"0"	"0"	"6"	"516"	"0"	"516"	"0"
"34"	"21"	"38"	"32"	"0"	"6"	"6"	"3"	"203"	"4"	"3"	"0"	"0"	"0"	"67"	"362"	"0"	"362"	"0"
"35"	"22"	"85"	"145"	"7"	"13"	"20"	"4"	"344"	"7"	"1"	"0"	"1"	"1"	"19"	"647"	"0"	"647"	"0"
"36"	"23"	"43"	"68"	"37"	"9"	"11"	"10"	"339"	"6"	"1"	"8"	"3"	"1"	"18"	"554"	"0"	"554"	"0"
"37"	"24"	"16"	"167"	"6"	"7"	"13"	"7"	"200"	"2"	"4"	"3"	"0"	"1"	"6"	"432"	"0"	"432"	"0"
"38"	"25"	"22"	"241"	"13"	"2"	"5"	"4"	"188"	"5"	"6"	"8"	"4"	"4"	"14"	"516"	"0"	"516"	"0"
"39"	"26"	"26"	"190"	"10"	"3"	"10"	"5"	"167"	"10"	"1"	"5"	"3"	"6"	"9"	"445"	"0"	"445"	"0"
"40"	"27"	"39"	"153"	"55"	"6"	"21"	"8"	"154"	"3"	"3"	"4"	"0"	"5"	"60"	"511"	"0"	"511"	"0"
"41"	"28"	"22"	"124"	"7"	"7"	"8"	"4"	"233"	"12"	"5"	"1"	"8"	"6"	"45"	"482"	"0"	"482"	"0"
"42"	"29"	"41"	"169"	"20"	"12"	"18"	"5"	"246"	"6"	"8"	"3"	"2"	"5"	"13"	"548"	"0"	"548"	"0"
"43"	"30"	"31"	"222"	"13"	"21"	"26"	"6"	"247"	"6"	"5"	"11"	"3"	"5"	"23"	"619"	"0"	"619"	"0"
"44"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"47"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"48"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"49"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"50"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"51"	"31"	"23"	"181"	"28"	"3"	"20"	"6"	"122"	"5"	"3"	"5"	"2"	"3"	"3"	"404"	"0"	"404"	"0"
"52"	"32"	"71"	"178"	"9"	"7"	"17"	"12"	"165"	"11"	"6"	"7"	"13"	"17"	"105"	"618"	"0"	"618"	"0"
"53"	"33"	"17"	"212"	"12"	"10"	"16"	"11"	"100"	"12"	"5"	"5"	"6"	"12"	"29"	"447"	"0"	"447"	"0"
"54"	"34"	"91"	"73"	"5"	"5"	"6"	"1"	"146"	"17"	"4"	"3"	"3"	"4"	"27"	"385"	"0"	"385"	"0"
"55"	"35"	"103"	"125"	"13"	"17"	"17"	"3"	"124"	"13"	"6"	"7"	"6"	"7"	"44"	"485"	"0"	"485"	"0"
"56"	"36"	"21"	"187"	"19"	"6"	"14"	"10"	"219"	"7"	"3"	"7"	"8"	"8"	"11"	"520"	"0"	"520"	"0"
"57"	"37"	"12"	"15"	"3"	"2"	"9"	"8"	"218"	"2"	"1"	"3"	"3"	"2"	"17"	"295"	"0"	"295"	"0"
"58"	"38"	"26"	"117"	"10"	"6"	"16"	"7"	"367"	"8"	"6"	"10"	"4"	"9"	"13"	"599"	"0"	"599"	"0"
"59"	"39"	"34"	"26"	"15"	"8"	"13"	"5"	"340"	"9"	"3"	"1"	"2"	"1"	"13"	"470"	"0"	"470"	"0"
"60"	"40"	"44"	"316"	"24"	"5"	"9"	"3"	"186"	"7"	"4"	"3"	"3"	"4"	"11"	"619"	"0"	"619"	"0"
"61"	"41"	"19"	"18"	"1"	"1"	"6"	"6"	"332"	"7"	"3"	"5"	"1"	"3"	"3"	"405"	"0"	"405"	"0"
"62"	"42"	"53"	"33"	"2"	"18"	"44"	"15"	"415"	"10"	"6"	"6"	"2"	"5"	"13"	"622"	"0"	"622"	"0"
"63"	"43"	"3"	"314"	"14"	"6"	"8"	"1"	"150"	"1"	"2"	"5"	"3"	"3"	"11"	"521"	"0"	"521"	"0"
"64"	"44"	"25"	"156"	"7"	"9"	"12"	"7"	"261"	"8"	"7"	"12"	"4"	"6"	"12"	"526"	"0"	"526"	"0"
"65"	"45"	"74"	"80"	"18"	"9"	"27"	"6"	"188"	"11"	"7"	"11"	"7"	"13"	"85"	"536"	"0"	"536"	"0"
"66"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"69"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"70"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"71"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"73"	"46"	"40"	"420"	"18"	"100"	"35"	"7"	"102"	"4"	"2"	"5"	"4"	"10"	"14"	"761"	"0"	"761"	"0"
"74"	"47"	"32"	"156"	"8"	"2"	"11"	"6"	"78"	"3"	"4"	"4"	"1"	"15"	"20"	"340"	"0"	"340"	"0"
"75"	"48"	"42"	"186"	"10"	"4"	"13"	"7"	"75"	"2"	"0"	"5"	"1"	"3"	"12"	"360"	"0"	"360"	"0"
"76"	"49"	"2"	"427"	"2"	"4"	"4"	"1"	"41"	"1"	"1"	"2"	"0"	"1"	"8"	"494"	"0"	"494"	"0"
"77"	"50"	"69"	"357"	"18"	"5"	"9"	"4"	"119"	"2"	"3"	"5"	"6"	"5"	"15"	"617"	"0"	"617"	"0"
"78"	"51"	"35"	"145"	"6"	"8"	"11"	"11"	"219"	"12"	"6"	"6"	"1"	"7"	"9"	"476"	"0"	"476"	"0"
"79"	"52"	"76"	"305"	"33"	"11"	"15"	"3"	"80"	"6"	"2"	"2"	"3"	"15"	"25"	"576"	"0"	"576"	"0"
"80"	"53"	"29"	"99"	"17"	"16"	"20"	"6"	"280"	"4"	"2"	"3"	"1"	"1"	"3"	"481"	"0"	"481"	"0"
"81"	"54"	"23"	"10"	"3"	"6"	"14"	"12"	"222"	"12"	"9"	"11"	"2"	"6"	"197"	"527"	"0"	"527"	"0"
"82"	"55"	"17"	"52"	"3"	"0"	"15"	"4"	"199"	"6"	"1"	"0"	"2"	"4"	"122"	"425"	"0"	"425"	"0"
"83"	"56"	"2"	"66"	"6"	"3"	"6"	"2"	"65"	"1"	"3"	"0"	"0"	"1"	"78"	"233"	"0"	"233"	"0"
"84"	"57"	"18"	"52"	"9"	"7"	"14"	"2"	"164"	"5"	"6"	"4"	"2"	"3"	"55"	"341"	"0"	"341"	"0"
"85"	"58"	"0"	"0"	"0"	"1"	"1"	"2"	"401"	"2"	"1"	"3"	"0"	"0"	"0"	"411"	"0"	"411"	"0"
"86"	"59"	"2"	"97"	"1"	"2"	"2"	"0"	"4"	"1"	"1"	"0"	"0"	"2"	"402"	"514"	"0"	"514"	"0"
"87"	"60"	"3"	"103"	"24"	"3"	"13"	"11"	"399"	"6"	"8"	"7"	"4"	"4"	"13"	"598"	"0"	"598"	"0"
"88"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"91"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"92"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"93"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"95"	"61"	"8"	"19"	"10"	"2"	"5"	"3"	"60"	"5"	"0"	"6"	"0"	"6"	"337"	"461"	"0"	"461"	"0"
"96"	"62"	"6"	"61"	"2"	"3"	"36"	"21"	"591"	"2"	"4"	"3"	"1"	"4"	"3"	"737"	"0"	"737"	"0"
"97"	"63"	"7"	"198"	"3"	"5"	"5"	"29"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"0"	"330"	"0"
"98"	"64"	"19"	"94"	"12"	"5"	"28"	"11"	"266"	"3"	"1"	"2"	"0"	"0"	"9"	"450"	"0"	"450"	"0"
"99"	"65"	"12"	"249"	"10"	"4"	"9"	"7"	"131"	"8"	"2"	"2"	"2"	"6"	"11"	"453"	"0"	"453"	"0"
"100"	"66"	"14"	"52"	"3"	"11"	"25"	"35"	"557"	"8"	"5"	"5"	"4"	"3"	"38"	"760"	"0"	"760"	"0"
"101"	"67"	"9"	"456"	"10"	"10"	"7"	"7"	"116"	"2"	"1"	"4"	"1"	"6"	"23"	"652"	"0"	"652"	"0"
"102"	"68"	"3"	"69"	"3"	"2"	"14"	"2"	"171"	"3"	"1"	"5"	"1"	"10"	"122"	"406"	"0"	"406"	"0"
"103"	"69"	"11"	"167"	"5"	"5"	"17"	"9"	"270"	"3"	"0"	"3"	"1"	"1"	"5"	"497"	"0"	"497"	"0"
"104"	"70"	"13"	"183"	"11"	"1"	"10"	"5"	"238"	"2"	"1"	"7"	"5"	"6"	"6"	"488"	"0"	"488"	"0"
"105"	"71"	"25"	"284"	"13"	"13"	"10"	"2"	"96"	"2"	"1"	"6"	"2"	"2"	"9"	"465"	"0"	"465"	"0"
"106"	"72"	"39"	"97"	"32"	"4"	"11"	"3"	"163"	"5"	"3"	"3"	"3"	"3"	"44"	"410"	"0"	"410"	"0"
"107"	"73"	"45"	"80"	"4"	"4"	"8"	"4"	"69"	"0"	"2"	"2"	"2"	"1"	"5"	"226"	"0"	"226"	"0"
"108"	"74"	"8"	"322"	"5"	"3"	"4"	"2"	"25"	"0"	"0"	"2"	"0"	"2"	"2"	"375"	"0"	"375"	"0"
"109"	"75"	"29"	"30"	"16"	"2"	"11"	"9"	"341"	"6"	"3"	"5"	"2"	"3"	"13"	"470"	"0"	"470"	"0"
"110"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"113"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"114"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"115"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"116"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"117"	"76"	"35"	"89"	"37"	"9"	"21"	"10"	"159"	"11"	"1"	"5"	"1"	"2"	"19"	"399"	"0"	"399"	"0"
"118"	"77"	"14"	"124"	"3"	"9"	"22"	"2"	"57"	"4"	"0"	"1"	"3"	"6"	"4"	"249"	"0"	"249"	"0"
"119"	"78"	"35"	"139"	"10"	"6"	"7"	"3"	"79"	"3"	"0"	"5"	"2"	"1"	"15"	"305"	"0"	"305"	"0"
"120"	"79"	"30"	"232"	"14"	"6"	"7"	"5"	"7"	"3"	"2"	"2"	"0"	"3"	"31"	"342"	"0"	"342"	"0"
"121"	"80"	"14"	"200"	"20"	"12"	"4"	"3"	"1"	"1"	"1"	"5"	"1"	"9"	"30"	"301"	"0"	"301"	"0"
"122"	"81"	"29"	"62"	"5"	"9"	"17"	"10"	"377"	"16"	"2"	"20"	"3"	"5"	"9"	"564"	"0"	"564"	"0"
"123"	"82"	"14"	"289"	"5"	"1"	"3"	"5"	"121"	"4"	"5"	"4"	"4"	"7"	"17"	"479"	"0"	"479"	"0"
"124"	"83"	"21"	"28"	"1"	"3"	"9"	"5"	"71"	"4"	"1"	"3"	"0"	"2"	"42"	"190"	"0"	"190"	"0"
"125"	"84"	"17"	"45"	"7"	"4"	"15"	"5"	"188"	"3"	"2"	"10"	"1"	"0"	"24"	"321"	"0"	"321"	"0"
"126"	"85"	"16"	"103"	"7"	"4"	"17"	"8"	"123"	"4"	"1"	"9"	"5"	"2"	"21"	"320"	"0"	"320"	"0"
"127"	"86"	"21"	"183"	"9"	"7"	"14"	"15"	"212"	"5"	"4"	"10"	"4"	"7"	"23"	"514"	"0"	"514"	"0"
"128"	"87"	"14"	"122"	"2"	"2"	"12"	"1"	"77"	"4"	"2"	"0"	"0"	"0"	"9"	"245"	"0"	"245"	"0"
"129"	"88"	"21"	"261"	"12"	"2"	"5"	"3"	"74"	"1"	"1"	"2"	"1"	"4"	"17"	"404"	"0"	"404"	"0"
"130"	"89"	"15"	"82"	"2"	"0"	"2"	"1"	"545"	"3"	"0"	"1"	"0"	"1"	"31"	"683"	"0"	"683"	"0"
"131"	"90"	"6"	"524"	"6"	"4"	"5"	"1"	"64"	"1"	"1"	"2"	"3"	"1"	"4"	"622"	"0"	"622"	"0"
"132"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"135"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"136"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"137"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"138"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"139"	"91"	"42"	"85"	"5"	"4"	"10"	"8"	"207"	"0"	"2"	"4"	"0"	"2"	"54"	"423"	"0"	"423"	"0"
"140"	"92"	"5"	"199"	"13"	"2"	"4"	"7"	"124"	"6"	"1"	"5"	"1"	"6"	"1"	"374"	"0"	"374"	"0"
"141"	"93"	"33"	"325"	"10"	"9"	"15"	"4"	"149"	"6"	"4"	"14"	"4"	"8"	"10"	"591"	"0"	"591"	"0"
"142"	"94"	"32"	"129"	"8"	"11"	"15"	"9"	"181"	"5"	"1"	"5"	"2"	"3"	"14"	"415"	"0"	"415"	"0"
"143"	"95"	"31"	"69"	"7"	"9"	"19"	"7"	"433"	"6"	"3"	"5"	"5"	"6"	"10"	"610"	"0"	"610"	"0"
"144"	"96"	"30"	"454"	"14"	"6"	"16"	"8"	"116"	"4"	"5"	"4"	"5"	"2"	"10"	"674"	"0"	"674"	"0"
"145"	"97"	"10"	"166"	"8"	"3"	"12"	"7"	"191"	"11"	"11"	"9"	"6"	"14"	"15"	"463"	"0"	"463"	"0"
"146"	"98"	"19"	"334"	"2"	"4"	"20"	"3"	"170"	"3"	"5"	"2"	"6"	"8"	"14"	"590"	"0"	"590"	"0"
"147"	"99"	"10"	"511"	"2"	"0"	"2"	"1"	"12"	"0"	"0"	"1"	"0"	"0"	"2"	"541"	"0"	"541"	"0"
"148"	"100"	"18"	"706"	"8"	"2"	"13"	"1"	"35"	"2"	"0"	"2"	"1"	"1"	"2"	"791"	"0"	"791"	"0"
"149"	"101"	"31"	"283"	"80"	"9"	"10"	"4"	"57"	"1"	"6"	"4"	"3"	"7"	"20"	"515"	"0"	"515"	"0"
"150"	"102"	"14"	"817"	"15"	"5"	"11"	"3"	"66"	"4"	"0"	"0"	"0"	"1"	"15"	"951"	"0"	"951"	"0"
"151"	"103"	"23"	"633"	"20"	"5"	"12"	"1"	"26"	"3"	"1"	"5"	"5"	"5"	"27"	"766"	"0"	"766"	"0"
"152"	"104"	"31"	"343"	"12"	"2"	"10"	"3"	"27"	"0"	"2"	"0"	"0"	"0"	"2"	"432"	"0"	"432"	"0"
"153"	"105"	"77"	"589"	"17"	"6"	"4"	"1"	"15"	"6"	"2"	"2"	"3"	"16"	"13"	"751"	"0"	"751"	"0"
"154"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"157"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"158"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"159"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"160"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"161"	"106"	"38"	"447"	"4"	"1"	"0"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"505"	"0"	"505"	"0"
"162"	"107"	"71"	"528"	"18"	"2"	"5"	"4"	"33"	"0"	"1"	"3"	"2"	"4"	"54"	"725"	"0"	"725"	"0"
"163"	"108"	"13"	"178"	"4"	"2"	"6"	"2"	"0"	"1"	"0"	"0"	"1"	"3"	"8"	"218"	"0"	"218"	"0"
"164"	"109"	"22"	"333"	"13"	"5"	"4"	"1"	"8"	"3"	"2"	"4"	"2"	"2"	"21"	"420"	"0"	"420"	"0"
"165"	"110"	"15"	"76"	"41"	"4"	"4"	"4"	"83"	"5"	"2"	"5"	"7"	"2"	"46"	"294"	"0"	"294"	"0"
"166"	"111"	"24"	"252"	"26"	"10"	"18"	"6"	"79"	"6"	"3"	"6"	"2"	"3"	"23"	"458"	"0"	"458"	"0"
"167"	"112"	"30"	"272"	"27"	"5"	"5"	"3"	"8"	"1"	"0"	"4"	"2"	"6"	"12"	"375"	"0"	"375"	"0"
"168"	"113"	"0"	"500"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"505"	"0"	"505"	"0"
