"FORM..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"14"	"13"	"18"	"177"	"140"	"19"	"5"	"108"	"15"	"11"	"4"	"497"	"0"	"0"	"497"	"0"
"15"	"14"	"11"	"53"	"390"	"11"	"3"	"116"	"4"	"7"	"8"	"603"	"0"	"0"	"603"	"0"
"16"	"ROUND 1"	"177"	"1586"	"4263"	"257"	"107"	"845"	"104"	"93"	"153"	"7585"	"0"	"0"	"7585"	"0"
"17"	"15"	"12"	"209"	"200"	"12"	"4"	"71"	"3"	"5"	"13"	"529"	"0"	"0"	"529"	"0"
"18"	"16"	"9"	"141"	"203"	"18"	"20"	"25"	"8"	"5"	"17"	"446"	"0"	"0"	"446"	"0"
"19"	"17"	"15"	"153"	"193"	"10"	"6"	"6"	"7"	"8"	"24"	"422"	"0"	"0"	"422"	"0"
"20"	"18"	"17"	"315"	"83"	"7"	"5"	"56"	"5"	"2"	"11"	"501"	"0"	"0"	"501"	"0"
"21"	"19"	"26"	"21"	"311"	"12"	"2"	"11"	"4"	"2"	"4"	"393"	"0"	"0"	"393"	"0"
"22"	"20"	"15"	"38"	"328"	"13"	"5"	"21"	"0"	"1"	"2"	"423"	"0"	"0"	"423"	"0"
"23"	"21"	"13"	"233"	"217"	"9"	"5"	"17"	"7"	"2"	"2"	"505"	"0"	"0"	"505"	"0"
"24"	"22"	"17"	"267"	"193"	"13"	"12"	"13"	"1"	"6"	"18"	"540"	"0"	"0"	"540"	"0"
"25"	"23"	"12"	"538"	"135"	"8"	"19"	"2"	"1"	"3"	"10"	"728"	"0"	"0"	"728"	"0"
"26"	"24"	"4"	"472"	"118"	"3"	"4"	"1"	"0"	"1"	"0"	"603"	"0"	"0"	"603"	"0"
"27"	"25"	"14"	"229"	"138"	"12"	"10"	"66"	"4"	"12"	"8"	"493"	"0"	"0"	"493"	"0"
"28"	"26"	"0"	"927"	"33"	"0"	"3"	"1"	"0"	"0"	"1"	"965"	"0"	"0"	"965"	"0"
"29"	"27"	"5"	"87"	"276"	"11"	"1"	"2"	"3"	"2"	"1"	"388"	"0"	"0"	"388"	"0"
"30"	"28"	"9"	"259"	"202"	"19"	"5"	"3"	"7"	"3"	"15"	"522"	"0"	"0"	"522"	"0"
"31"	"ROUND 2"	"168"	"3889"	"2630"	"147"	"101"	"295"	"50"	"52"	"126"	"7458"	"0"	"0"	"7458"	"0"
"32"	"29"	"22"	"108"	"228"	"8"	"4"	"10"	"2"	"1"	"2"	"385"	"0"	"0"	"385"	"0"
"33"	"30"	"15"	"127"	"249"	"18"	"5"	"13"	"12"	"2"	"10"	"451"	"0"	"0"	"451"	"0"
"34"	"31"	"13"	"135"	"228"	"13"	"5"	"61"	"3"	"6"	"11"	"475"	"0"	"0"	"475"	"0"
"35"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"36"	"32"	"6"	"382"	"65"	"5"	"3"	"22"	"2"	"7"	"9"	"501"	"0"	"0"	"501"	"0"
"37"	"33"	"13"	"246"	"98"	"9"	"10"	"48"	"10"	"7"	"11"	"452"	"0"	"0"	"452"	"0"
"38"	"34"	"17"	"182"	"220"	"29"	"7"	"18"	"8"	"8"	"18"	"507"	"0"	"0"	"507"	"0"
"39"	"35"	"17"	"177"	"201"	"14"	"34"	"20"	"5"	"5"	"12"	"485"	"0"	"0"	"485"	"0"
"40"	"36"	"22"	"223"	"287"	"19"	"5"	"8"	"9"	"2"	"7"	"582"	"0"	"0"	"582"	"0"
"41"	"37"	"14"	"334"	"104"	"4"	"3"	"13"	"0"	"5"	"3"	"480"	"0"	"0"	"480"	"0"
"42"	"38"	"11"	"157"	"408"	"16"	"7"	"10"	"4"	"4"	"14"	"631"	"0"	"0"	"631"	"0"
"43"	"39"	"14"	"125"	"245"	"18"	"8"	"80"	"14"	"10"	"20"	"534"	"0"	"0"	"534"	"0"
"44"	"40"	"14"	"69"	"125"	"20"	"16"	"168"	"11"	"13"	"9"	"445"	"0"	"0"	"445"	"0"
"45"	"41"	"16"	"209"	"95"	"6"	"8"	"44"	"4"	"13"	"11"	"406"	"0"	"0"	"406"	"0"
"46"	"42"	"11"	"553"	"97"	"11"	"8"	"15"	"2"	"2"	"5"	"704"	"0"	"0"	"704"	"0"
"47"	"ROUND 3"	"205"	"3027"	"2650"	"190"	"123"	"530"	"86"	"85"	"142"	"7038"	"0"	"0"	"7038"	"0"
"48"	"43"	"8"	"213"	"160"	"9"	"2"	"5"	"6"	"7"	"15"	"425"	"0"	"0"	"425"	"0"
"49"	"44"	"3"	"105"	"167"	"5"	"0"	"3"	"2"	"5"	"6"	"296"	"0"	"0"	"296"	"0"
"50"	"45"	"13"	"513"	"71"	"8"	"6"	"17"	"3"	"5"	"5"	"641"	"0"	"0"	"641"	"0"
"51"	"46"	"3"	"598"	"9"	"0"	"1"	"0"	"0"	"1"	"0"	"612"	"0"	"0"	"612"	"0"
"52"	"47"	"15"	"108"	"237"	"31"	"7"	"12"	"6"	"4"	"16"	"436"	"0"	"0"	"436"	"0"
"53"	"48"	"6"	"92"	"161"	"10"	"3"	"12"	"4"	"5"	"3"	"296"	"0"	"0"	"296"	"0"
"54"	"49"	"12"	"166"	"236"	"11"	"6"	"15"	"3"	"9"	"12"	"470"	"0"	"0"	"470"	"0"
"55"	"50"	"8"	"343"	"152"	"11"	"0"	"6"	"3"	"2"	"5"	"530"	"0"	"0"	"530"	"0"
"56"	"51"	"17"	"61"	"287"	"29"	"5"	"74"	"12"	"8"	"33"	"526"	"0"	"0"	"526"	"0"
"57"	"52"	"30"	"66"	"494"	"32"	"15"	"36"	"9"	"8"	"13"	"703"	"0"	"0"	"703"	"0"
"58"	"53"	"16"	"128"	"335"	"13"	"7"	"33"	"8"	"7"	"11"	"558"	"0"	"0"	"558"	"0"
"59"	"54"	"12"	"67"	"189"	"13"	"10"	"46"	"12"	"9"	"15"	"373"	"0"	"0"	"373"	"0"
"60"	"55"	"24"	"154"	"62"	"13"	"11"	"128"	"20"	"13"	"17"	"442"	"0"	"0"	"442"	"0"
"61"	"56"	"7"	"194"	"230"	"5"	"8"	"10"	"8"	"5"	"3"	"470"	"0"	"0"	"470"	"0"
"62"	"ROUND 4"	"174"	"2808"	"2790"	"190"	"81"	"397"	"96"	"88"	"154"	"6778"	"0"	"0"	"6778"	"0"
"63"	"57"	"31"	"122"	"369"	"17"	"15"	"18"	"6"	"7"	"9"	"594"	"0"	"0"	"594"	"0"
"64"	"58"	"23"	"118"	"212"	"13"	"4"	"16"	"5"	"8"	"7"	"406"	"0"	"0"	"406"	"0"
"65"	"59"	"6"	"123"	"172"	"10"	"3"	"20"	"4"	"3"	"13"	"354"	"0"	"0"	"354"	"0"
"66"	"60"	"12"	"55"	"243"	"9"	"3"	"5"	"1"	"2"	"15"	"345"	"0"	"0"	"345"	"0"
"67"	"61"	"15"	"128"	"239"	"46"	"9"	"86"	"13"	"5"	"23"	"564"	"0"	"0"	"564"	"0"
"68"	"62"	"16"	"140"	"388"	"28"	"12"	"8"	"10"	"10"	"18"	"630"	"0"	"0"	"630"	"0"
"69"	"63"	"5"	"30"	"139"	"15"	"4"	"25"	"5"	"2"	"0"	"225"	"0"	"0"	"225"	"0"
"70"	"64"	"2"	"112"	"393"	"5"	"3"	"21"	"2"	"1"	"2"	"541"	"0"	"0"	"541"	"0"
"71"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"72"	"65"	"6"	"107"	"265"	"14"	"3"	"73"	"5"	"7"	"21"	"501"	"0"	"0"	"501"	"0"
"73"	"66"	"7"	"107"	"174"	"9"	"3"	"14"	"0"	"0"	"2"	"316"	"0"	"0"	"316"	"0"
"74"	"67"	"16"	"129"	"269"	"13"	"4"	"9"	"5"	"9"	"6"	"460"	"0"	"0"	"460"	"0"
"75"	"68"	"8"	"92"	"178"	"16"	"4"	"65"	"3"	"5"	"7"	"378"	"0"	"0"	"378"	"0"
"76"	"69"	"17"	"97"	"244"	"12"	"4"	"27"	"5"	"4"	"13"	"423"	"0"	"0"	"423"	"0"
"77"	"70"	"5"	"171"	"82"	"9"	"0"	"22"	"4"	"2"	"6"	"301"	"0"	"0"	"301"	"0"
"78"	"ROUND 5"	"169"	"1531"	"3367"	"216"	"71"	"409"	"68"	"65"	"142"	"6038"	"0"	"0"	"6038"	"0"
"79"	"71"	"8"	"68"	"103"	"6"	"3"	"75"	"5"	"7"	"3"	"278"	"0"	"0"	"278"	"0"
"80"	"72"	"20"	"31"	"160"	"1"	"3"	"3"	"10"	"1"	"2"	"231"	"0"	"0"	"231"	"0"
"81"	"73"	"31"	"154"	"133"	"12"	"5"	"260"	"9"	"10"	"7"	"621"	"0"	"0"	"621"	"0"
"82"	"74"	"27"	"24"	"243"	"14"	"8"	"100"	"6"	"5"	"3"	"430"	"0"	"0"	"430"	"0"
"83"	"75"	"98"	"39"	"185"	"15"	"5"	"62"	"13"	"6"	"23"	"446"	"0"	"0"	"446"	"0"
"84"	"76"	"5"	"54"	"171"	"10"	"7"	"216"	"16"	"9"	"14"	"502"	"0"	"0"	"502"	"0"
"85"	"77"	"23"	"53"	"103"	"6"	"4"	"117"	"4"	"8"	"15"	"333"	"0"	"0"	"333"	"0"
"86"	"78"	"7"	"67"	"110"	"13"	"3"	"17"	"3"	"4"	"11"	"235"	"0"	"0"	"235"	"0"
"87"	"79"	"6"	"228"	"165"	"10"	"6"	"10"	"5"	"5"	"9"	"444"	"0"	"0"	"444"	"0"
"88"	"80"	"13"	"247"	"83"	"5"	"13"	"2"	"5"	"2"	"5"	"375"	"0"	"0"	"375"	"0"
"89"	"81"	"8"	"15"	"25"	"1"	"2"	"173"	"5"	"5"	"8"	"242"	"0"	"0"	"242"	"0"
"90"	"82"	"19"	"253"	"157"	"12"	"8"	"11"	"2"	"7"	"1"	"470"	"0"	"0"	"470"	"0"
"91"	"83"	"8"	"353"	"162"	"3"	"5"	"11"	"7"	"5"	"1"	"555"	"0"	"0"	"555"	"0"
"92"	"84"	"19"	"312"	"201"	"15"	"5"	"13"	"9"	"3"	"9"	"586"	"0"	"0"	"586"	"0"
"93"	"ROUND 6"	"292"	"1898"	"2001"	"123"	"77"	"1070"	"99"	"77"	"111"	"5748"	"0"	"0"	"5748"	"0"
"94"	"85"	"8"	"325"	"139"	"7"	"2"	"5"	"1"	"0"	"2"	"489"	"0"	"0"	"489"	"0"
"95"	"86"	"16"	"278"	"239"	"18"	"4"	"46"	"2"	"4"	"3"	"610"	"0"	"0"	"610"	"0"
"96"	"87"	"21"	"113"	"308"	"35"	"6"	"25"	"5"	"8"	"13"	"534"	"0"	"0"	"534"	"0"
"97"	"88"	"11"	"239"	"187"	"58"	"3"	"29"	"11"	"10"	"24"	"572"	"0"	"0"	"572"	"0"
"98"	"89"	"4"	"110"	"120"	"6"	"9"	"22"	"2"	"2"	"8"	"283"	"0"	"0"	"283"	"0"
"99"	"90"	"41"	"100"	"461"	"24"	"8"	"14"	"9"	"2"	"8"	"667"	"0"	"0"	"667"	"0"
"100"	"91"	"21"	"99"	"290"	"27"	"8"	"34"	"3"	"4"	"5"	"491"	"0"	"0"	"491"	"0"
"101"	"92"	"22"	"56"	"242"	"22"	"10"	"113"	"7"	"18"	"20"	"510"	"0"	"0"	"510"	"0"
"102"	"93"	"2"	"111"	"356"	"15"	"2"	"27"	"1"	"3"	"6"	"523"	"0"	"0"	"523"	"0"
"103"	"94"	"13"	"82"	"268"	"9"	"4"	"13"	"2"	"4"	"12"	"407"	"0"	"0"	"407"	"0"
"104"	"95"	"28"	"52"	"282"	"36"	"16"	"70"	"10"	"6"	"14"	"514"	"0"	"0"	"514"	"0"
"105"	"96"	"22"	"167"	"274"	"15"	"8"	"58"	"9"	"8"	"16"	"577"	"0"	"0"	"577"	"0"
"106"	"97"	"37"	"130"	"324"	"25"	"8"	"56"	"13"	"14"	"27"	"634"	"0"	"0"	"634"	"0"
"107"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"108"	"98"	"14"	"405"	"265"	"13"	"4"	"29"	"7"	"7"	"15"	"759"	"0"	"0"	"759"	"0"
"109"	"ROUND 7"	"260"	"2267"	"3755"	"310"	"92"	"541"	"82"	"90"	"173"	"7570"	"0"	"0"	"7570"	"0"
"110"	"99"	"14"	"143"	"308"	"20"	"8"	"2"	"5"	"4"	"7"	"511"	"0"	"0"	"511"	"0"
"111"	"100"	"2"	"251"	"229"	"21"	"5"	"18"	"1"	"3"	"2"	"532"	"0"	"0"	"532"	"0"
"112"	"101"	"14"	"294"	"133"	"16"	"20"	"84"	"13"	"10"	"8"	"592"	"0"	"0"	"592"	"0"
"113"	"102"	"12"	"167"	"191"	"6"	"1"	"27"	"4"	"3"	"4"	"415"	"0"	"0"	"415"	"0"
"114"	"103"	"7"	"229"	"95"	"12"	"23"	"1"	"6"	"3"	"8"	"384"	"0"	"0"	"384"	"0"
"115"	"104"	"9"	"223"	"338"	"16"	"8"	"4"	"4"	"6"	"14"	"622"	"0"	"0"	"622"	"0"
"116"	"105"	"17"	"257"	"252"	"19"	"16"	"57"	"11"	"1"	"16"	"646"	"0"	"0"	"646"	"0"
"117"	"106"	"15"	"284"	"248"	"15"	"4"	"62"	"6"	"3"	"9"	"646"	"0"	"0"	"646"	"0"
"118"	"107"	"26"	"211"	"271"	"24"	"62"	"9"	"2"	"3"	"15"	"623"	"0"	"0"	"623"	"0"
"119"	"108"	"32"	"27"	"27"	"386"	"227"	"36"	"13"	"8"	"23"	"779"	"0"	"0"	"779"	"0"
"120"	"109"	"30"	"24"	"77"	"275"	"119"	"23"	"19"	"12"	"31"	"610"	"0"	"0"	"610"	"0"
"121"	"110"	"11"	"56"	"157"	"72"	"75"	"14"	"7"	"1"	"7"	"400"	"0"	"0"	"400"	"0"
"122"	"111"	"7"	"41"	"219"	"5"	"26"	"4"	"8"	"3"	"8"	"321"	"0"	"0"	"321"	"0"
"123"	"112"	"12"	"142"	"104"	"4"	"2"	"9"	"3"	"3"	"4"	"283"	"0"	"0"	"283"	"0"
"124"	"ROUND 8"	"208"	"2349"	"2649"	"891"	"596"	"350"	"102"	"63"	"156"	"7364"	"0"	"0"	"7364"	"0"
"125"	"113"	"9"	"27"	"334"	"16"	"15"	"40"	"9"	"9"	"11"	"470"	"0"	"0"	"470"	"0"
"126"	"114"	"15"	"182"	"193"	"17"	"9"	"69"	"12"	"8"	"20"	"525"	"0"	"0"	"525"	"0"
"127"	"115"	"17"	"301"	"154"	"8"	"34"	"24"	"10"	"4"	"11"	"563"	"0"	"0"	"563"	"0"
"128"	"116"	"4"	"382"	"170"	"14"	"11"	"54"	"6"	"9"	"5"	"655"	"0"	"0"	"655"	"0"
"129"	"117"	"10"	"217"	"157"	"6"	"5"	"23"	"4"	"0"	"8"	"430"	"0"	"0"	"430"	"0"
"130"	"118"	"15"	"26"	"318"	"15"	"2"	"2"	"5"	"3"	"4"	"390"	"0"	"0"	"390"	"0"
"131"	"119"	"26"	"68"	"109"	"7"	"2"	"51"	"7"	"7"	"12"	"289"	"0"	"0"	"289"	"0"
"132"	"120"	"5"	"122"	"144"	"16"	"3"	"72"	"5"	"7"	"1"	"375"	"0"	"0"	"375"	"0"
"133"	"121"	"14"	"50"	"233"	"20"	"3"	"11"	"5"	"0"	"6"	"342"	"0"	"0"	"342"	"0"
"134"	"122"	"9"	"116"	"296"	"19"	"2"	"9"	"1"	"1"	"3"	"456"	"0"	"0"	"456"	"0"
"135"	"123"	"14"	"116"	"136"	"10"	"3"	"82"	"6"	"4"	"5"	"376"	"0"	"0"	"376"	"0"
"136"	"124"	"8"	"84"	"259"	"7"	"7"	"23"	"6"	"5"	"5"	"404"	"0"	"0"	"404"	"0"
"137"	"125"	"13"	"117"	"63"	"6"	"6"	"42"	"6"	"2"	"4"	"259"	"0"	"0"	"259"	"0"
"138"	"126"	"5"	"165"	"64"	"0"	"1"	"4"	"0"	"1"	"1"	"241"	"0"	"0"	"241"	"0"
"139"	"ROUND 9"	"164"	"1973"	"2630"	"161"	"103"	"506"	"82"	"60"	"96"	"5775"	"0"	"0"	"5775"	"0"
"140"	"127"	"8"	"192"	"71"	"10"	"0"	"7"	"1"	"5"	"1"	"295"	"0"	"0"	"295"	"0"
"141"	"128"	"3"	"88"	"52"	"27"	"7"	"81"	"2"	"3"	"4"	"267"	"0"	"0"	"267"	"0"
"142"	"129"	"8"	"169"	"94"	"9"	"6"	"6"	"3"	"4"	"4"	"303"	"0"	"0"	"303"	"0"
"143"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"144"	"130"	"8"	"372"	"83"	"5"	"2"	"1"	"3"	"0"	"1"	"475"	"0"	"0"	"475"	"0"
"145"	"131"	"15"	"476"	"53"	"9"	"2"	"5"	"1"	"0"	"0"	"561"	"0"	"0"	"561"	"0"
"146"	"132"	"20"	"59"	"33"	"5"	"7"	"163"	"6"	"2"	"3"	"298"	"0"	"0"	"298"	"0"
"147"	"133"	"9"	"163"	"150"	"12"	"5"	"15"	"10"	"4"	"8"	"376"	"0"	"0"	"376"	"0"
"148"	"134"	"10"	"311"	"226"	"4"	"0"	"3"	"1"	"0"	"0"	"555"	"0"	"0"	"555"	"0"
"149"	"135"	"8"	"86"	"153"	"3"	"4"	"149"	"8"	"5"	"11"	"427"	"0"	"0"	"427"	"0"
"150"	"136"	"8"	"108"	"130"	"10"	"7"	"76"	"4"	"4"	"6"	"353"	"0"	"0"	"353"	"0"
"151"	"137"	"16"	"43"	"179"	"11"	"4"	"59"	"3"	"6"	"3"	"324"	"0"	"0"	"324"	"0"
"152"	"138"	"18"	"186"	"108"	"9"	"8"	"89"	"8"	"7"	"11"	"444"	"0"	"0"	"444"	"0"
"153"	"139"	"2"	"24"	"85"	"4"	"11"	"93"	"5"	"4"	"2"	"230"	"0"	"0"	"230"	"0"
"154"	"140"	"18"	"193"	"112"	"9"	"4"	"101"	"8"	"9"	"16"	"470"	"0"	"0"	"470"	"0"
"155"	"ROUND 10"	"151"	"2470"	"1529"	"127"	"67"	"848"	"63"	"53"	"70"	"5378"	"0"	"0"	"5378"	"0"
"156"	"141"	"19"	"385"	"35"	"3"	"6"	"30"	"7"	"10"	"5"	"500"	"0"	"0"	"500"	"0"
"157"	"142"	"17"	"63"	"135"	"10"	"6"	"168"	"6"	"9"	"21"	"435"	"0"	"0"	"435"	"0"
"158"	"143"	"38"	"65"	"229"	"12"	"11"	"153"	"10"	"10"	"11"	"539"	"0"	"0"	"539"	"0"
"159"	"144"	"9"	"286"	"46"	"5"	"8"	"69"	"6"	"7"	"11"	"447"	"0"	"0"	"447"	"0"
"160"	"145"	"30"	"29"	"41"	"11"	"8"	"156"	"8"	"10"	"20"	"313"	"0"	"0"	"313"	"0"
"161"	"146"	"72"	"133"	"94"	"20"	"4"	"136"	"17"	"3"	"13"	"492"	"0"	"0"	"492"	"0"
"162"	"147"	"121"	"111"	"63"	"10"	"7"	"185"	"11"	"9"	"11"	"528"	"0"	"0"	"528"	"0"
"163"	"148"	"272"	"30"	"119"	"5"	"4"	"62"	"6"	"2"	"1"	"501"	"0"	"0"	"501"	"0"
"164"	"149"	"7"	"83"	"12"	"4"	"24"	"117"	"3"	"6"	"3"	"259"	"0"	"0"	"259"	"0"
"165"	"150"	"8"	"19"	"2"	"5"	"2"	"195"	"7"	"2"	"1"	"241"	"0"	"0"	"241"	"0"
"166"	"151"	"33"	"20"	"231"	"24"	"7"	"148"	"9"	"10"	"10"	"492"	"0"	"0"	"492"	"0"
"167"	"152"	"83"	"107"	"90"	"13"	"8"	"178"	"8"	"8"	"8"	"503"	"0"	"0"	"503"	"0"
"168"	"153"	"48"	"179"	"155"	"10"	"5"	"97"	"9"	"9"	"9"	"521"	"0"	"0"	"521"	"0"
"169"	"154"	"14"	"27"	"92"	"4"	"16"	"201"	"0"	"6"	"2"	"362"	"0"	"0"	"362"	"0"
"170"	"ROUND 11"	"771"	"1537"	"1344"	"136"	"116"	"1895"	"107"	"101"	"126"	"6133"	"0"	"0"	"6133"	"0"
"171"	"155"	"8"	"28"	"567"	"2"	"4"	"34"	"1"	"1"	"6"	"651"	"0"	"0"	"651"	"0"
"172"	"156"	"30"	"77"	"515"	"35"	"7"	"13"	"14"	"6"	"5"	"702"	"0"	"0"	"702"	"0"
"173"	"157"	"8"	"59"	"300"	"14"	"4"	"121"	"9"	"5"	"9"	"529"	"0"	"0"	"529"	"0"
"174"	"158"	"37"	"85"	"344"	"18"	"6"	"94"	"6"	"5"	"17"	"612"	"0"	"0"	"612"	"0"
"175"	"159"	"43"	"68"	"235"	"24"	"15"	"107"	"11"	"17"	"14"	"534"	"0"	"0"	"534"	"0"
"176"	"160"	"17"	"22"	"168"	"18"	"6"	"87"	"10"	"3"	"10"	"341"	"0"	"0"	"341"	"0"
"177"	"161"	"30"	"91"	"214"	"9"	"5"	"24"	"4"	"9"	"9"	"395"	"0"	"0"	"395"	"0"
"178"	"162"	"21"	"37"	"62"	"13"	"18"	"358"	"19"	"14"	"8"	"550"	"0"	"0"	"550"	"0"
"179"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"180"	"163"	"68"	"76"	"164"	"24"	"7"	"90"	"7"	"11"	"18"	"465"	"0"	"0"	"465"	"0"
"181"	"164"	"17"	"33"	"176"	"14"	"9"	"58"	"4"	"9"	"28"	"348"	"0"	"0"	"348"	"0"
"182"	"165"	"32"	"16"	"144"	"13"	"10"	"168"	"15"	"6"	"23"	"427"	"0"	"0"	"427"	"0"
"183"	"166"	"25"	"58"	"299"	"17"	"8"	"24"	"13"	"10"	"14"	"468"	"0"	"0"	"468"	"0"
"184"	"167"	"40"	"59"	"343"	"21"	"14"	"19"	"10"	"11"	"13"	"530"	"0"	"0"	"530"	"0"
"185"	"168"	"23"	"98"	"59"	"7"	"1"	"80"	"9"	"12"	"8"	"297"	"0"	"0"	"297"	"0"
"186"	"ROUND 12"	"399"	"807"	"3590"	"229"	"114"	"1277"	"132"	"119"	"182"	"6849"	"0"	"0"	"6849"	"0"
"187"	"169"	"50"	"105"	"199"	"18"	"9"	"33"	"2"	"3"	"11"	"430"	"0"	"0"	"430"	"0"
"188"	"170"	"21"	"93"	"71"	"6"	"3"	"10"	"4"	"3"	"1"	"212"	"0"	"0"	"212"	"0"
"189"	"171"	"1"	"95"	"11"	"0"	"0"	"0"	"1"	"1"	"0"	"109"	"0"	"0"	"109"	"0"
"190"	"172"	"19"	"52"	"116"	"13"	"5"	"17"	"5"	"3"	"1"	"231"	"0"	"0"	"231"	"0"
"191"	"173"	"2"	"80"	"23"	"2"	"0"	"1"	"0"	"1"	"0"	"109"	"0"	"0"	"109"	"0"
"192"	"174"	"50"	"255"	"178"	"6"	"4"	"123"	"3"	"4"	"13"	"636"	"0"	"0"	"636"	"0"
"193"	"175"	"11"	"169"	"65"	"1"	"3"	"3"	"3"	"4"	"3"	"262"	"0"	"0"	"262"	"0"
"194"	"176"	"13"	"116"	"113"	"9"	"2"	"54"	"1"	"3"	"4"	"315"	"0"	"0"	"315"	"0"
"195"	"177"	"21"	"68"	"97"	"12"	"9"	"132"	"15"	"13"	"2"	"369"	"0"	"0"	"369"	"0"
"196"	"178"	"51"	"109"	"110"	"16"	"10"	"79"	"7"	"15"	"20"	"417"	"0"	"0"	"417"	"0"
"197"	"179"	"9"	"121"	"67"	"7"	"6"	"59"	"3"	"4"	"1"	"277"	"0"	"0"	"277"	"0"
"198"	"180"	"6"	"161"	"36"	"2"	"2"	"0"	"0"	"1"	"5"	"213"	"0"	"0"	"213"	"0"
