"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"18"	"8"	"8"	"146"	"14"	"2"	"30"	"58"	"1"	"18"	"0"	"2"	"1"	"1"	"3"	"2"	"2"	"0"	"8"	"0"	"0"	"0"	"288"	"0"	"288"	"0"
"19"	"9"	"9"	"38"	"23"	"2"	"26"	"111"	"5"	"51"	"1"	"13"	"13"	"5"	"30"	"0"	"5"	"3"	"7"	"0"	"1"	"6"	"340"	"0"	"340"	"0"
"20"	"10"	"10"	"39"	"37"	"0"	"17"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"53"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"159"	"0"	"159"	"0"
"21"	"11"	"11"	"30"	"21"	"2"	"40"	"144"	"3"	"161"	"3"	"3"	"7"	"5"	"26"	"0"	"1"	"2"	"7"	"0"	"0"	"4"	"459"	"0"	"459"	"0"
"22"	"12"	"12"	"56"	"77"	"2"	"13"	"64"	"1"	"548"	"7"	"3"	"7"	"5"	"6"	"2"	"2"	"1"	"3"	"0"	"5"	"0"	"802"	"0"	"802"	"0"
"23"	"13"	"13"	"24"	"50"	"0"	"11"	"538"	"0"	"7"	"0"	"0"	"2"	"7"	"6"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"648"	"0"	"648"	"0"
"24"	"14"	"14"	"8"	"100"	"4"	"7"	"396"	"8"	"9"	"2"	"1"	"2"	"7"	"1"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"551"	"0"	"551"	"0"
"25"	"Total Votes Polled"	""	"1059"	"469"	"34"	"254"	"1483"	"31"	"1360"	"37"	"47"	"70"	"58"	"983"	"15"	"24"	"13"	"72"	"12"	"15"	"19"	"6055"	"0"	"6055"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"42"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"15"	"64"	"3"	"3"	"42"	"286"	"3"	"10"	"2"	"2"	"4"	"5"	"13"	"1"	"1"	"1"	"10"	"0"	"0"	"0"	"450"	"0"	"450"	"0"
"44"	"2"	"16"	"46"	"63"	"2"	"13"	"233"	"4"	"7"	"1"	"1"	"3"	"7"	"23"	"3"	"1"	"1"	"5"	"0"	"0"	"0"	"413"	"0"	"413"	"0"
"45"	"3"	"17"	"29"	"97"	"9"	"17"	"101"	"4"	"13"	"4"	"8"	"8"	"8"	"65"	"4"	"3"	"2"	"7"	"1"	"2"	"4"	"386"	"0"	"386"	"0"
"46"	"4"	"18"	"13"	"3"	"0"	"290"	"3"	"0"	"21"	"0"	"0"	"3"	"3"	"81"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"421"	"0"	"421"	"0"
"47"	"5"	"19"	"94"	"34"	"4"	"16"	"135"	"7"	"6"	"6"	"3"	"3"	"11"	"27"	"2"	"2"	"3"	"13"	"3"	"0"	"0"	"369"	"0"	"369"	"0"
"48"	"6"	"20R"	"209"	"32"	"2"	"14"	"9"	"4"	"123"	"5"	"1"	"7"	"3"	"1"	"4"	"0"	"0"	"7"	"3"	"2"	"0"	"426"	"0"	"426"	"0"
"49"	"7"	"21"	"119"	"4"	"1"	"14"	"7"	"1"	"28"	"1"	"1"	"0"	"0"	"7"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"188"	"0"	"188"	"0"
"50"	"8"	"22"	"43"	"8"	"9"	"10"	"11"	"1"	"16"	"2"	"8"	"6"	"7"	"30"	"4"	"3"	"8"	"16"	"1"	"3"	"2"	"188"	"0"	"188"	"0"
"51"	"9"	"23"	"6"	"8"	"2"	"45"	"2"	"0"	"1"	"0"	"7"	"4"	"1"	"447"	"1"	"0"	"0"	"10"	"2"	"8"	"1"	"545"	"0"	"545"	"0"
"52"	"10"	"24"	"32"	"25"	"0"	"9"	"6"	"0"	"30"	"2"	"2"	"1"	"4"	"276"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"391"	"0"	"391"	"0"
"53"	"11"	"25"	"72"	"23"	"2"	"52"	"95"	"0"	"25"	"1"	"5"	"1"	"1"	"0"	"3"	"2"	"0"	"7"	"0"	"1"	"0"	"290"	"0"	"290"	"0"
"54"	"12"	"26"	"42"	"66"	"6"	"17"	"98"	"5"	"20"	"4"	"7"	"7"	"7"	"4"	"3"	"10"	"5"	"13"	"1"	"4"	"3"	"322"	"0"	"322"	"0"
"55"	"13"	"27"	"26"	"42"	"2"	"17"	"93"	"0"	"67"	"2"	"5"	"2"	"3"	"113"	"2"	"2"	"0"	"8"	"0"	"0"	"0"	"384"	"0"	"384"	"0"
"56"	"14"	"28"	"117"	"11"	"0"	"57"	"31"	"1"	"228"	"1"	"2"	"2"	"1"	"2"	"0"	"0"	"0"	"10"	"3"	"0"	"2"	"468"	"0"	"468"	"0"
"57"	"Total Votes Polled"	""	"912"	"419"	"42"	"613"	"1110"	"30"	"595"	"31"	"52"	"51"	"61"	"1089"	"29"	"25"	"22"	"112"	"14"	"22"	"12"	"5241"	"0"	"5241"	"0"
"58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"1"	"29"	"121"	"71"	"3"	"13"	"7"	"5"	"188"	"10"	"1"	"7"	"2"	"1"	"2"	"2"	"5"	"8"	"3"	"3"	"2"	"454"	"0"	"454"	"0"
"76"	"2"	"30"	"39"	"7"	"0"	"259"	"20"	"0"	"26"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"352"	"0"	"352"	"0"
"77"	"3"	"31"	"192"	"5"	"3"	"12"	"78"	"7"	"82"	"4"	"2"	"11"	"4"	"4"	"1"	"3"	"3"	"4"	"4"	"220"	"11"	"650"	"0"	"650"	"0"
"78"	"4"	"32"	"162"	"59"	"3"	"2"	"65"	"2"	"12"	"12"	"2"	"6"	"3"	"3"	"3"	"3"	"2"	"10"	"4"	"4"	"3"	"360"	"0"	"360"	"0"
"79"	"5"	"33"	"97"	"26"	"3"	"11"	"8"	"3"	"178"	"9"	"34"	"8"	"3"	"3"	"1"	"3"	"7"	"19"	"0"	"1"	"1"	"415"	"0"	"415"	"0"
"80"	"6"	"34R"	"91"	"23"	"5"	"14"	"23"	"2"	"135"	"8"	"4"	"26"	"5"	"29"	"2"	"3"	"4"	"11"	"7"	"10"	"5"	"407"	"0"	"407"	"0"
"81"	"7"	"35"	"151"	"5"	"1"	"38"	"26"	"3"	"90"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"320"	"0"	"320"	"0"
"82"	"8"	"36"	"59"	"5"	"1"	"7"	"1"	"3"	"310"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"26"	"0"	"0"	"0"	"416"	"0"	"416"	"0"
"83"	"9"	"37"	"0"	"96"	"10"	"6"	"38"	"4"	"12"	"1"	"2"	"6"	"5"	"37"	"1"	"0"	"2"	"5"	"0"	"2"	"0"	"227"	"0"	"227"	"0"
"84"	"10"	"38"	"17"	"194"	"3"	"9"	"27"	"0"	"33"	"4"	"7"	"8"	"4"	"19"	"5"	"3"	"6"	"12"	"2"	"21"	"3"	"377"	"0"	"377"	"0"
"85"	"11"	"39"	"50"	"40"	"4"	"72"	"205"	"4"	"198"	"3"	"1"	"3"	"9"	"2"	"1"	"3"	"4"	"3"	"0"	"2"	"0"	"604"	"0"	"604"	"0"
"86"	"12"	"40R"	"77"	"10"	"4"	"6"	"83"	"2"	"36"	"2"	"8"	"9"	"9"	"15"	"2"	"5"	"2"	"7"	"3"	"3"	"2"	"285"	"0"	"285"	"0"
"87"	"13"	"41"	"181"	"82"	"3"	"12"	"31"	"3"	"39"	"6"	"5"	"23"	"7"	"100"	"2"	"1"	"3"	"8"	"1"	"18"	"0"	"525"	"0"	"525"	"0"
"88"	"14"	"42"	"150"	"110"	"5"	"78"	"13"	"2"	"17"	"7"	"9"	"11"	"3"	"37"	"2"	"5"	"6"	"10"	"0"	"19"	"0"	"484"	"0"	"484"	"0"
"89"	"Total Votes Polled"	""	"1387"	"733"	"48"	"539"	"625"	"40"	"1356"	"70"	"76"	"119"	"54"	"252"	"22"	"32"	"45"	"124"	"24"	"303"	"27"	"5876"	"0"	"5876"	"0"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"105"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"1"	"43"	"256"	"74"	"6"	"15"	"14"	"2"	"9"	"4"	"8"	"4"	"3"	"40"	"1"	"0"	"4"	"15"	"3"	"7"	"2"	"467"	"0"	"467"	"0"
"108"	"2"	"44"	"170"	"128"	"5"	"92"	"11"	"2"	"28"	"3"	"6"	"5"	"2"	"17"	"3"	"2"	"10"	"16"	"5"	"40"	"7"	"552"	"0"	"552"	"0"
"109"	"3"	"45"	"219"	"78"	"3"	"8"	"6"	"1"	"59"	"5"	"3"	"1"	"3"	"0"	"1"	"1"	"1"	"3"	"7"	"3"	"2"	"404"	"0"	"404"	"0"
"110"	"4"	"46"	"233"	"42"	"1"	"8"	"1"	"0"	"3"	"0"	"0"	"2"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"9"	"0"	"305"	"0"	"305"	"0"
"111"	"5"	"47"	"391"	"1"	"0"	"11"	"2"	"0"	"60"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"469"	"0"	"469"	"0"
"112"	"6"	"48"	"170"	"40"	"8"	"19"	"2"	"2"	"67"	"1"	"2"	"6"	"1"	"6"	"3"	"3"	"2"	"9"	"1"	"23"	"3"	"368"	"0"	"368"	"0"
"113"	"7"	"49"	"94"	"112"	"9"	"16"	"3"	"2"	"33"	"3"	"1"	"4"	"0"	"14"	"2"	"2"	"6"	"8"	"1"	"1"	"1"	"312"	"0"	"312"	"0"
"114"	"8"	"50"	"18"	"160"	"53"	"9"	"7"	"3"	"3"	"6"	"10"	"3"	"4"	"33"	"4"	"0"	"6"	"2"	"2"	"1"	"5"	"329"	"0"	"329"	"0"
"115"	"9"	"51"	"60"	"117"	"15"	"5"	"5"	"1"	"7"	"3"	"2"	"6"	"1"	"4"	"3"	"5"	"13"	"17"	"3"	"8"	"2"	"277"	"0"	"277"	"0"
"116"	"10"	"52"	"65"	"69"	"8"	"6"	"0"	"1"	"80"	"5"	"2"	"0"	"1"	"1"	"2"	"3"	"2"	"11"	"6"	"6"	"2"	"270"	"0"	"270"	"0"
"117"	"11"	"53"	"200"	"32"	"1"	"18"	"2"	"0"	"61"	"7"	"2"	"2"	"0"	"1"	"3"	"0"	"2"	"38"	"2"	"1"	"1"	"373"	"0"	"373"	"0"
"118"	"12"	"54"	"97"	"83"	"6"	"14"	"2"	"0"	"86"	"6"	"2"	"8"	"2"	"9"	"7"	"1"	"8"	"22"	"5"	"25"	"2"	"385"	"0"	"385"	"0"
"119"	"13"	"55"	"118"	"49"	"9"	"9"	"2"	"2"	"82"	"2"	"2"	"8"	"7"	"39"	"2"	"1"	"2"	"3"	"1"	"29"	"0"	"367"	"0"	"367"	"0"
"120"	"14"	"56"	"175"	"62"	"3"	"3"	"3"	"3"	"93"	"2"	"1"	"5"	"2"	"1"	"1"	"3"	"2"	"6"	"2"	"5"	"0"	"372"	"0"	"372"	"0"
"121"	"Total Votes Polled"	""	"2266"	"1047"	"127"	"233"	"60"	"19"	"671"	"48"	"41"	"54"	"26"	"169"	"32"	"22"	"58"	"154"	"38"	"158"	"27"	"5250"	"0"	"5250"	"0"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"57"	"148"	"73"	"9"	"24"	"1"	"6"	"47"	"4"	"1"	"2"	"6"	"1"	"4"	"2"	"0"	"9"	"1"	"2"	"1"	"341"	"0"	"341"	"0"
"140"	"2"	"58"	"363"	"28"	"0"	"2"	"0"	"2"	"410"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"808"	"0"	"808"	"0"
"141"	"3"	"59"	"143"	"14"	"2"	"16"	"5"	"4"	"209"	"4"	"7"	"4"	"2"	"1"	"2"	"3"	"0"	"8"	"1"	"2"	"0"	"427"	"0"	"427"	"0"
"142"	"4"	"60R"	"77"	"14"	"8"	"6"	"5"	"6"	"117"	"8"	"3"	"9"	"5"	"29"	"3"	"3"	"1"	"11"	"5"	"0"	"2"	"312"	"0"	"312"	"0"
"143"	"5"	"61R"	"37"	"50"	"1"	"7"	"6"	"7"	"5"	"4"	"6"	"3"	"10"	"118"	"10"	"0"	"9"	"8"	"0"	"0"	"0"	"281"	"0"	"281"	"0"
