"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	";ksx"	""	""	""
"12"	"9"	""	"39"	""	"8"	""	""	"8"	""	""	"71"	""	"4"	""	""	"4"	""	""	"6"	""	""	"2"	""	""	"5"	""	"10"	""	"253"	""	""	"410"	""	""	""	""	"410"	""	""	""
"13"	"10"	""	"53"	""	"5"	""	""	"21"	""	""	"83"	""	"8"	""	""	"2"	""	""	"0"	""	""	"6"	""	""	"5"	""	"3"	""	"184"	""	""	"370"	""	""	""	""	"370"	""	""	""
"14"	"11"	""	"111"	""	"11"	""	""	"16"	""	""	"62"	""	"1"	""	""	"1"	""	""	"0"	""	""	"4"	""	""	"3"	""	"2"	""	"92"	""	""	"303"	""	""	""	""	"303"	""	""	""
"15"	"12"	""	"145"	""	"7"	""	""	"20"	""	""	"160"	""	"5"	""	""	"2"	""	""	"0"	""	""	"3"	""	""	"4"	""	"3"	""	"35"	""	""	"384"	""	""	""	""	"384"	""	""	""
"16"	"13"	""	"25"	""	"39"	""	""	"17"	""	""	"11"	""	"5"	""	""	"4"	""	""	"2"	""	""	"4"	""	""	"393"	""	"6"	""	"18"	""	""	"524"	""	""	""	""	"524"	""	""	""
"17"	"14"	""	"105"	""	"179"	""	""	"209"	""	""	"27"	""	"15"	""	""	"11"	""	""	"5"	""	""	"4"	""	""	"36"	""	"19"	""	"4"	""	""	"614"	""	""	""	""	"614"	""	""	""
"18"	";ksx"	""	"1593"	""	"538"	""	""	"996"	""	""	"1170"	""	"222"	""	""	"60"	""	""	"30"	""	""	"42"	""	""	"621"	""	"86"	""	"768"	""	""	"6126"	""	""	"0"	""	"6126"	""	""	""
"19"	"f}fr;  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/ekU; erksa  dh la[;k"	""	""	"izr{ksfir
erks  dh la[;k"	""	";ksx"	""	""	""
"21"	""	""	"Mk0
vnuku  [kk°"	""	""	"/kujkt
flag"	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"22"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""
"23"	"15"	""	"68"	""	""	"9"	""	"160"	""	""	"7"	""	""	"10"	""	"1"	""	""	"4"	""	""	"1"	""	""	"19"	""	"2"	""	"3"	""	""	"284"	""	""	""	""	"284"	""	""	""
"24"	"16"	""	"151"	""	""	"11"	""	"197"	""	""	"31"	""	""	"4"	""	"3"	""	""	"1"	""	""	"0"	""	""	"45"	""	"2"	""	"1"	""	""	"446"	""	""	""	""	"446"	""	""	""
"25"	"17"	""	"5"	""	""	"30"	""	"2"	""	""	"74"	""	""	"2"	""	"3"	""	""	"0"	""	""	"2"	""	""	"86"	""	"0"	""	"6"	""	""	"210"	""	""	""	""	"210"	""	""	""
"26"	"18"	""	"20"	""	""	"2"	""	"19"	""	""	"106"	""	""	"7"	""	"2"	""	""	"2"	""	""	"1"	""	""	"24"	""	"0"	""	"7"	""	""	"190"	""	""	""	""	"190"	""	""	""
"27"	"19"	""	"44"	""	""	"22"	""	"115"	""	""	"112"	""	""	"28"	""	"8"	""	""	"2"	""	""	"2"	""	""	"12"	""	"5"	""	"20"	""	""	"370"	""	""	""	""	"370"	""	""	""
"28"	"20"	""	"472"	""	""	"9"	""	"46"	""	""	"6"	""	""	"42"	""	"5"	""	""	"0"	""	""	"5"	""	""	"0"	""	"6"	""	"17"	""	""	"608"	""	""	""	""	"608"	""	""	""
"29"	"21"	""	"275"	""	""	"11"	""	"40"	""	""	"104"	""	""	"12"	""	"2"	""	""	"2"	""	""	"0"	""	""	"25"	""	"4"	""	"15"	""	""	"490"	""	""	""	""	"490"	""	""	""
"30"	"22"	""	"386"	""	""	"20"	""	"12"	""	""	"25"	""	""	"1"	""	"2"	""	""	"1"	""	""	"0"	""	""	"15"	""	"0"	""	"7"	""	""	"469"	""	""	""	""	"469"	""	""	""
"31"	"23"	""	"61"	""	""	"16"	""	"398"	""	""	"24"	""	""	"2"	""	"1"	""	""	"1"	""	""	"3"	""	""	"2"	""	"4"	""	"3"	""	""	"515"	""	""	""	""	"515"	""	""	""
"32"	"24"	""	"264"	""	""	"50"	""	"72"	""	""	"170"	""	""	"54"	""	"5"	""	""	"4"	""	""	"15"	""	""	"15"	""	"7"	""	"31"	""	""	"687"	""	""	""	""	"687"	""	""	""
"33"	"25"	""	"102"	""	""	"16"	""	"194"	""	""	"102"	""	""	"14"	""	"3"	""	""	"2"	""	""	"2"	""	""	"13"	""	"1"	""	"12"	""	""	"461"	""	""	""	""	"461"	""	""	""
"34"	"26"	""	"113"	""	""	"16"	""	"48"	""	""	"130"	""	""	"9"	""	"5"	""	""	"5"	""	""	"11"	""	""	"3"	""	"4"	""	"26"	""	""	"370"	""	""	""	""	"370"	""	""	""
"35"	"27"	""	"27"	""	""	"135"	""	"71"	""	""	"82"	""	""	"10"	""	"6"	""	""	"6"	""	""	"3"	""	""	"44"	""	"9"	""	"167"	""	""	"560"	""	""	""	""	"560"	""	""	""
"36"	"28"	""	"47"	""	""	"116"	""	"118"	""	""	"101"	""	""	"15"	""	"3"	""	""	"8"	""	""	"3"	""	""	"16"	""	"6"	""	"28"	""	""	"461"	""	""	""	""	"461"	""	""	""
"37"	";ksx"	""	"2035"	""	""	"463"	""	"1492"	""	""	"1074"	""	""	"210"	""	"49"	""	""	"38"	""	""	"48"	""	""	"319"	""	"50"	""	"343"	""	""	"6121"	""	""	"0"	""	"6121"	""	""	""
"38"	"ernku
dsUnks dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	""	";ksx"	""	""
"39"	""	""	"Mk0
vnuku [kk°"	""	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"40"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""
"41"	"29"	""	"88"	""	""	"24"	""	""	"25"	""	"189"	""	""	"22"	""	""	"7"	""	""	"2"	""	"4"	""	""	"6"	""	"5"	""	"21"	""	""	"393"	""	""	""	""	""	"393"	""	""
"42"	"30"	""	"15"	""	""	"113"	""	""	"28"	""	"154"	""	""	"17"	""	""	"6"	""	""	"4"	""	"4"	""	""	"6"	""	"2"	""	"6"	""	""	"355"	""	""	""	""	""	"355"	""	""
"43"	"31"	""	"67"	""	""	"90"	""	""	"38"	""	"241"	""	""	"9"	""	""	"9"	""	""	"2"	""	"2"	""	""	"1"	""	"2"	""	"2"	""	""	"463"	""	""	""	""	""	"463"	""	""
"44"	"32"	""	"19"	""	""	"6"	""	""	"64"	""	"344"	""	""	"5"	""	""	"0"	""	""	"1"	""	"1"	""	""	"29"	""	"0"	""	"0"	""	""	"469"	""	""	""	""	""	"469"	""	""
"45"	"33"	""	"12"	""	""	"8"	""	""	"127"	""	"83"	""	""	"92"	""	""	"3"	""	""	"0"	""	"0"	""	""	"17"	""	"3"	""	"15"	""	""	"360"	""	""	""	""	""	"360"	""	""
"46"	"34"	""	"139"	""	""	"6"	""	""	"46"	""	"204"	""	""	"12"	""	""	"8"	""	""	"2"	""	"4"	""	""	"54"	""	"1"	""	"3"	""	""	"479"	""	""	""	""	""	"479"	""	""
"47"	"35"	""	"38"	""	""	"112"	""	""	"100"	""	"146"	""	""	"17"	""	""	"10"	""	""	"4"	""	"2"	""	""	"79"	""	"8"	""	"12"	""	""	"528"	""	""	""	""	""	"528"	""	""
"48"	"36"	""	"55"	""	""	"6"	""	""	"40"	""	"193"	""	""	"3"	""	""	"1"	""	""	"1"	""	"1"	""	""	"6"	""	"0"	""	"4"	""	""	"310"	""	""	""	""	""	"310"	""	""
"49"	"37"	""	"60"	""	""	"23"	""	""	"10"	""	"235"	""	""	"20"	""	""	"3"	""	""	"0"	""	"1"	""	""	"43"	""	"0"	""	"17"	""	""	"412"	""	""	""	""	""	"412"	""	""
"50"	"38"	""	"197"	""	""	"94"	""	""	"6"	""	"220"	""	""	"6"	""	""	"2"	""	""	"1"	""	"3"	""	""	"4"	""	"2"	""	"14"	""	""	"549"	""	""	""	""	""	"549"	""	""
"51"	"39"	""	"55"	""	""	"3"	""	""	"344"	""	"17"	""	""	"1"	""	""	"0"	""	""	"4"	""	"1"	""	""	"5"	""	"1"	""	"0"	""	""	"431"	""	""	""	""	""	"431"	""	""
"52"	"40"	""	"213"	""	""	"68"	""	""	"144"	""	"44"	""	""	"11"	""	""	"10"	""	""	"4"	""	"5"	""	""	"97"	""	"11"	""	"18"	""	""	"625"	""	""	""	""	""	"625"	""	""
"53"	"41"	""	"19"	""	""	"3"	""	""	"30"	""	"201"	""	""	"16"	""	""	"0"	""	""	"3"	""	"4"	""	""	"18"	""	"2"	""	"5"	""	""	"301"	""	""	""	""	""	"301"	""	""
"54"	"42"	""	"92"	""	""	"32"	""	""	"60"	""	"136"	""	""	"44"	""	""	"7"	""	""	"3"	""	"4"	""	""	"48"	""	"4"	""	"3"	""	""	"433"	""	""	""	""	""	"433"	""	""
"55"	";ksx"	""	"1069"	""	""	"588"	""	""	"1062"	""	"2407"	""	""	"275"	""	""	"66"	""	""	"31"	""	"36"	""	""	"413"	""	"41"	""	"120"	""	""	"6108"	""	""	"0"	""	""	"6108"	""	""
"56"	"prqFkZ  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"ernku
dsUnks dh la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	";ksx"	""	""	""
"58"	""	""	"Mk0
vnuku [kk°"	""	""	"/kujkt
flag"	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"59"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""
"60"	"43"	""	"20"	""	""	"2"	""	"303"	""	""	"100"	""	""	"20"	""	"3"	""	""	"3"	""	""	"1"	""	""	"70"	""	"2"	""	"9"	""	""	"533"	""	""	""	""	"533"	""	""	""
"61"	"44"	""	"17"	""	""	"10"	""	"103"	""	""	"323"	""	""	"22"	""	"2"	""	""	"4"	""	""	"4"	""	""	"8"	""	"6"	""	"9"	""	""	"508"	""	""	""	""	"508"	""	""	""
"62"	"45"	""	"81"	""	""	"43"	""	"192"	""	""	"115"	""	""	"15"	""	"3"	""	""	"8"	""	""	"4"	""	""	"6"	""	"5"	""	"22"	""	""	"494"	""	""	""	""	"494"	""	""	""
"63"	"46"	""	"17"	""	""	"22"	""	"137"	""	""	"191"	""	""	"16"	""	"2"	""	""	"2"	""	""	"4"	""	""	"32"	""	"0"	""	"16"	""	""	"439"	""	""	""	""	"439"	""	""	""
"64"	"47"	""	"18"	""	""	"28"	""	"180"	""	""	"152"	""	""	"16"	""	"8"	""	""	"7"	""	""	"11"	""	""	"9"	""	"8"	""	"10"	""	""	"447"	""	""	""	""	"447"	""	""	""
"65"	"48"	""	"15"	""	""	"6"	""	"83"	""	""	"83"	""	""	"38"	""	"5"	""	""	"5"	""	""	"4"	""	""	"90"	""	"4"	""	"6"	""	""	"339"	""	""	""	""	"339"	""	""	""
"66"	"49"	""	"14"	""	""	"21"	""	"230"	""	""	"303"	""	""	"13"	""	"4"	""	""	"2"	""	""	"0"	""	""	"21"	""	"0"	""	"11"	""	""	"619"	""	""	""	""	"619"	""	""	""
"67"	"50"	""	"75"	""	""	"5"	""	"212"	""	""	"212"	""	""	"25"	""	"6"	""	""	"3"	""	""	"5"	""	""	"52"	""	"2"	""	"5"	""	""	"602"	""	""	""	""	"602"	""	""	""
"68"	"51"	""	"108"	""	""	"13"	""	"35"	""	""	"276"	""	""	"21"	""	"5"	""	""	"8"	""	""	"23"	""	""	"101"	""	"12"	""	"21"	""	""	"623"	""	""	""	""	"623"	""	""	""
"69"	"52"	""	"80"	""	""	"18"	""	"70"	""	""	"118"	""	""	"5"	""	"3"	""	""	"1"	""	""	"0"	""	""	"3"	""	"5"	""	"5"	""	""	"308"	""	""	""	""	"308"	""	""	""
"70"	"53"	""	"29"	""	""	"83"	""	"84"	""	""	"40"	""	""	"13"	""	"10"	""	""	"6"	""	""	"3"	""	""	"13"	""	"7"	""	"9"	""	""	"297"	""	""	""	""	"297"	""	""	""
"71"	"54"	""	"97"	""	""	"98"	""	"206"	""	""	"182"	""	""	"22"	""	"10"	""	""	"10"	""	""	"16"	""	""	"21"	""	"17"	""	"54"	""	""	"733"	""	""	""	""	"733"	""	""	""
"72"	"55"	""	"37"	""	""	"7"	""	"120"	""	""	"97"	""	""	"11"	""	"3"	""	""	"2"	""	""	"11"	""	""	"40"	""	"14"	""	"22"	""	""	"364"	""	""	""	""	"364"	""	""	""
"73"	"56"	""	"70"	""	""	"5"	""	"64"	""	""	"173"	""	""	"9"	""	"3"	""	""	"1"	""	""	"4"	""	""	"11"	""	"3"	""	"11"	""	""	"354"	""	""	""	""	"354"	""	""	""
"74"	";ksx"	""	"678"	""	""	"361"	""	"2019"	""	""	"2365"	""	""	"246"	""	"67"	""	""	"62"	""	""	"90"	""	""	"477"	""	"85"	""	"210"	""	""	"6660"	""	""	"0"	""	"6660"	""	""	""
"75"	"iape  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	""	";ksx"	""	""
"77"	""	""	"Mk0
vnuku [kk°"	""	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"78"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""
"79"	"57"	""	"152"	""	""	"11"	""	""	"37"	""	"222"	""	""	"10"	""	""	"9"	""	""	"4"	""	"3"	""	""	"24"	""	"6"	""	"4"	""	""	"482"	""	""	""	""	""	"482"	""	""
"80"	"58"	""	"107"	""	""	"95"	""	""	"55"	""	"369"	""	""	"10"	""	""	"4"	""	""	"4"	""	"6"	""	""	"34"	""	"7"	""	"10"	""	""	"701"	""	""	""	""	""	"701"	""	""
"81"	"59"	""	"121"	""	""	"32"	""	""	"37"	""	"284"	""	""	"11"	""	""	"2"	""	""	"2"	""	"0"	""	""	"11"	""	"2"	""	"6"	""	""	"508"	""	""	""	""	""	"508"	""	""
"82"	"60"	""	"105"	""	""	"45"	""	""	"38"	""	"184"	""	""	"12"	""	""	"5"	""	""	"37"	""	"5"	""	""	"30"	""	"2"	""	"16"	""	""	"479"	""	""	""	""	""	"479"	""	""
"83"	"61"	""	"165"	""	""	"14"	""	""	"63"	""	"169"	""	""	"7"	""	""	"3"	""	""	"6"	""	"3"	""	""	"27"	""	"4"	""	"6"	""	""	"467"	""	""	""	""	""	"467"	""	""
"84"	"62"	""	"131"	""	""	"62"	""	""	"112"	""	"310"	""	""	"17"	""	""	"12"	""	""	"7"	""	"7"	""	""	"35"	""	"6"	""	"9"	""	""	"708"	""	""	""	""	""	"708"	""	""
"85"	"63"	""	"93"	""	""	"25"	""	""	"235"	""	"32"	""	""	"118"	""	""	"6"	""	""	"3"	""	"3"	""	""	"15"	""	"7"	""	"1"	""	""	"538"	""	""	""	""	""	"538"	""	""
"86"	"64"	""	"208"	""	""	"53"	""	""	"105"	""	"149"	""	""	"34"	""	""	"11"	""	""	"3"	""	"4"	""	""	"55"	""	"4"	""	"19"	""	""	"645"	""	""	""	""	""	"645"	""	""
"87"	"65"	""	"165"	""	""	"27"	""	""	"13"	""	"183"	""	""	"15"	""	""	"5"	""	""	"2"	""	"6"	""	""	"48"	""	"4"	""	"13"	""	""	"481"	""	""	""	""	""	"481"	""	""
"88"	"66"	""	"27"	""	""	"1"	""	""	"13"	""	"84"	""	""	"4"	""	""	"4"	""	""	"3"	""	"3"	""	""	"65"	""	"1"	""	"11"	""	""	"216"	""	""	""	""	""	"216"	""	""
"89"	"67"	""	"67"	""	""	"16"	""	""	"172"	""	"315"	""	""	"26"	""	""	"4"	""	""	"9"	""	"7"	""	""	"23"	""	"10"	""	"35"	""	""	"684"	""	""	""	""	""	"684"	""	""
"90"	"68"	""	"102"	""	""	"99"	""	""	"322"	""	"36"	""	""	"10"	""	""	"10"	""	""	"12"	""	"2"	""	""	"7"	""	"4"	""	"15"	""	""	"619"	""	""	""	""	""	"619"	""	""
"91"	"69"	""	"2"	""	""	"11"	""	""	"29"	""	"405"	""	""	"6"	""	""	"2"	""	""	"12"	""	"1"	""	""	"35"	""	"0"	""	"5"	""	""	"508"	""	""	""	""	""	"508"	""	""
"92"	"70"	""	"99"	""	""	"45"	""	""	"92"	""	"213"	""	""	"59"	""	""	"6"	""	""	"2"	""	"5"	""	""	"34"	""	"44"	""	"14"	""	""	"613"	""	""	""	""	""	"613"	""	""
"93"	";ksx"	""	"1544"	""	""	"536"	""	""	"1323"	""	"2955"	""	""	"339"	""	""	"83"	""	""	"106"	""	"55"	""	""	"443"	""	"101"	""	"164"	""	""	"7649"	""	""	"0"	""	""	"7649"	""	""
"94"	""	""	""	""	"NBk  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	"vLohd`r
erksa  dk  ;ksx"	""	""	";ksx"	""	""
"96"	""	""	"Mk0
vnuku  [kk°"	""	"/kujkt
flag"	""	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""
"97"	"1"	""	"2"	""	"3"	""	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""
"98"	"71"	""	"347"	""	"52"	""	""	""	"118"	""	""	"61"	""	"6"	""	""	"10"	""	""	"10"	""	""	"10"	""	"10"	""	"15"	""	""	"35"	""	""	"674"	""	""	""	""	"674"	""	""
"99"	"72"	""	"22"	""	"32"	""	""	""	"57"	""	""	"392"	""	"37"	""	""	"15"	""	""	"10"	""	""	"6"	""	"46"	""	"7"	""	""	"27"	""	""	"651"	""	""	""	""	"651"	""	""
"100"	"73"	""	"21"	""	"38"	""	""	""	"104"	""	""	"182"	""	"23"	""	""	"10"	""	""	"4"	""	""	"4"	""	"58"	""	"4"	""	""	"12"	""	""	"460"	""	""	""	""	"460"	""	""
"101"	"74"	""	"133"	""	"19"	""	""	""	"36"	""	""	"28"	""	"10"	""	""	"7"	""	""	"4"	""	""	"6"	""	"150"	""	"5"	""	""	"6"	""	""	"404"	""	""	""	""	"404"	""	""
"102"	"75"	""	"114"	""	"126"	""	""	""	"53"	""	""	"237"	""	"32"	""	""	"7"	""	""	"5"	""	""	"1"	""	"11"	""	"5"	""	""	"3"	""	""	"594"	""	""	""	""	"594"	""	""
"103"	"76"	""	"173"	""	"14"	""	""	""	"13"	""	""	"11"	""	"3"	""	""	"1"	""	""	"16"	""	""	"5"	""	"28"	""	"9"	""	""	"7"	""	""	"280"	""	""	""	""	"280"	""	""
"104"	"77"	""	"163"	""	"7"	""	""	""	"26"	""	""	"34"	""	"23"	""	""	"28"	""	""	"7"	""	""	"6"	""	"183"	""	"4"	""	""	"6"	""	""	"487"	""	""	""	""	"487"	""	""
"105"	"78"	""	"25"	""	"12"	""	""	""	"24"	""	""	"45"	""	"9"	""	""	"34"	""	""	"3"	""	""	"7"	""	"297"	""	"3"	""	""	"2"	""	""	"461"	""	""	""	""	"461"	""	""
"106"	"79"	""	"21"	""	"44"	""	""	""	"12"	""	""	"123"	""	"17"	""	""	"5"	""	""	"3"	""	""	"10"	""	"56"	""	"5"	""	""	"5"	""	""	"301"	""	""	""	""	"301"	""	""
"107"	"80"	""	"183"	""	"30"	""	""	""	"37"	""	""	"240"	""	"35"	""	""	"11"	""	""	"4"	""	""	"4"	""	"14"	""	"11"	""	""	"31"	""	""	"600"	""	""	""	""	"600"	""	""
"108"	"81"	""	"313"	""	"70"	""	""	""	"79"	""	""	"55"	""	"19"	""	""	"7"	""	""	"9"	""	""	"4"	""	"23"	""	"4"	""	""	"11"	""	""	"594"	""	""	""	""	"594"	""	""
