"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"24"	"20"	"215"	"85"	"5"	"6"	"3"	"65"	"5"	"8"	"14"	"406"	""	"406"	""
"25"	"21"	"45"	"26"	"3"	"8"	"3"	"146"	"6"	"2"	"15"	"254"	""	"254"	""
"26"	"22"	"189"	"17"	"6"	"4"	"4"	"130"	"11"	"7"	"22"	"390"	""	"390"	""
"27"	"23"	"143"	"36"	"7"	"6"	"6"	"167"	"4"	"10"	"25"	"404"	""	"404"	""
"28"	"24"	"202"	"29"	"9"	"12"	"9"	"163"	"10"	"11"	"39"	"484"	""	"484"	""
"29"	"25"	"74"	"100"	"7"	"2"	"4"	"78"	"6"	"2"	"15"	"288"	""	"288"	""
"30"	"26"	"240"	"51"	"14"	"16"	"6"	"202"	"7"	"4"	"31"	"571"	""	"571"	""
"31"	"27"	"467"	"17"	"4"	"1"	"1"	"36"	"1"	"2"	"11"	"540"	""	"540"	""
"32"	"28"	"105"	"10"	"3"	"2"	"3"	"178"	"3"	"1"	"9"	"314"	""	"314"	""
"33"	"TOTAL-II"	"2127"	"492"	"97"	"83"	"66"	"2482"	"88"	"69"	"263"	"5767"	""	"5767"	""
"34"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"36"	"29"	"310"	"16"	"5"	"7"	"5"	"257"	"12"	"5"	"24"	"641"	""	"641"	""
"37"	"30"	"290"	"21"	"12"	"5"	"4"	"156"	"13"	"1"	"10"	"512"	""	"512"	""
"38"	"31"	"14"	"3"	"1"	"2"	"5"	"347"	"5"	"3"	"9"	"389"	""	"389"	""
"39"	"32"	"135"	"195"	"32"	"17"	"14"	"236"	"6"	"5"	"33"	"673"	""	"673"	""
"40"	"33"	"296"	"51"	"25"	"9"	"8"	"308"	"16"	"18"	"35"	"766"	""	"766"	""
"41"	"34"	"167"	"33"	"13"	"19"	"12"	"314"	"14"	"12"	"51"	"635"	""	"635"	""
"42"	"35"	"91"	"76"	"20"	"18"	"11"	"296"	"16"	"9"	"37"	"574"	""	"574"	""
"43"	"36"	"208"	"144"	"37"	"20"	"16"	"204"	"12"	"8"	"29"	"678"	""	"678"	""
"44"	"37"	"11"	"45"	"3"	"5"	"3"	"709"	"7"	"1"	"5"	"789"	""	"789"	""
"45"	"38"	"64"	"38"	"110"	"12"	"8"	"223"	"6"	"6"	"18"	"485"	""	"485"	""
"46"	"39"	"12"	"102"	"11"	"6"	"2"	"93"	"3"	"2"	"13"	"244"	""	"244"	""
"47"	"40"	"87"	"26"	"10"	"4"	"1"	"234"	"1"	"2"	"13"	"378"	""	"378"	""
"48"	"41"	"56"	"203"	"30"	"1"	"2"	"33"	"0"	"2"	"6"	"333"	""	"333"	""
"49"	"42"	"97"	"113"	"23"	"5"	"7"	"106"	"2"	"8"	"20"	"381"	""	"381"	""
"50"	"Total(I-III)"	"1838"	"1066"	"332"	"130"	"98"	"3516"	"113"	"82"	"303"	"7478"	""	"7478"	""
"51"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"53"	"43"	"30"	"82"	"8"	"5"	"2"	"422"	"7"	"13"	"32"	"601"	""	"601"	""
"54"	"44"	"54"	"126"	"5"	"7"	"2"	"88"	"6"	"3"	"16"	"307"	""	"307"	""
"55"	"45"	"18"	"127"	"8"	"16"	"18"	"321"	"14"	"5"	"26"	"553"	""	"553"	""
"56"	"46"	"54"	"113"	"4"	"9"	"10"	"397"	"14"	"7"	"22"	"630"	""	"630"	""
"57"	"47"	"11"	"111"	"3"	"4"	"5"	"287"	"10"	"1"	"14"	"446"	""	"446"	""
"58"	"48"	"20"	"179"	"8"	"3"	"5"	"166"	"4"	"4"	"30"	"419"	""	"419"	""
"59"	"49"	"23"	"114"	"13"	"8"	"6"	"311"	"3"	"7"	"17"	"502"	""	"502"	""
"60"	"50"	"44"	"117"	"11"	"5"	"4"	"387"	"12"	"10"	"39"	"629"	""	"629"	""
"61"	"51"	"187"	"59"	"13"	"11"	"8"	"215"	"16"	"18"	"68"	"595"	""	"595"	""
"62"	"52"	"5"	"37"	"1"	"0"	"2"	"293"	"3"	"0"	"4"	"345"	""	"345"	""
"63"	"53"	"37"	"33"	"5"	"20"	"10"	"493"	"12"	"2"	"28"	"640"	""	"640"	""
"64"	"54"	"55"	"253"	"12"	"4"	"7"	"131"	"2"	"5"	"15"	"484"	""	"484"	""
"65"	"55"	"140"	"79"	"6"	"7"	"8"	"228"	"11"	"2"	"20"	"501"	""	"501"	""
"66"	"56"	"109"	"107"	"6"	"10"	"10"	"209"	"6"	"6"	"32"	"495"	""	"495"	""
"67"	"TOTAL-IV"	"787"	"1537"	"103"	"109"	"97"	"3948"	"120"	"83"	"363"	"7147"	""	"7147"	""
"68"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"70"	"57"	"352"	"9"	"3"	"2"	"3"	"78"	"4"	"3"	"5"	"459"	""	"459"	""
"71"	"58"	"433"	"4"	"2"	"0"	"0"	"13"	"4"	"5"	"0"	"461"	""	"461"	""
"72"	"59"	"7"	"4"	"0"	"6"	"6"	"394"	"10"	"11"	"15"	"453"	""	"453"	""
"73"	"60"	"40"	"33"	"5"	"10"	"3"	"655"	"10"	"5"	"25"	"786"	""	"786"	""
"74"	"61"	"190"	"23"	"26"	"12"	"9"	"272"	"5"	"15"	"29"	"581"	""	"581"	""
"75"	"62"	"176"	"48"	"12"	"8"	"8"	"248"	"13"	"11"	"38"	"562"	""	"562"	""
"76"	"63"	"409"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"411"	""	"411"	""
"77"	"64"	"569"	"16"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"591"	""	"591"	""
"78"	"65"	"487"	"23"	"3"	"0"	"0"	"33"	"0"	"1"	"4"	"551"	""	"551"	""
"79"	"66"	"526"	"6"	"0"	"0"	"1"	"12"	"0"	"0"	"0"	"545"	""	"545"	""
"80"	"67"	"600"	"6"	"0"	"0"	"0"	"18"	"0"	"0"	"2"	"626"	""	"626"	""
"81"	"68"	"90"	"10"	"25"	"8"	"2"	"118"	"3"	"5"	"16"	"277"	""	"277"	""
"82"	"69"	"206"	"45"	"16"	"9"	"13"	"362"	"6"	"5"	"16"	"678"	""	"678"	""
"83"	"70"	"140"	"33"	"4"	"9"	"10"	"359"	"7"	"11"	"24"	"597"	""	"597"	""
"84"	"TOTAL-V"	"4225"	"260"	"96"	"64"	"64"	"2569"	"62"	"73"	"174"	"7578"	""	"7578"	""
"85"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"87"	"71"	"245"	"52"	"10"	"8"	"5"	"276"	"13"	"6"	"24"	"639"	""	"639"	""
"88"	"72"	"52"	"8"	"6"	"5"	"5"	"649"	"5"	"3"	"8"	"741"	""	"741"	""
"89"	"73"	"18"	"16"	"3"	"2"	"5"	"612"	"10"	"4"	"31"	"701"	""	"701"	""
"90"	"74"	"281"	"10"	"8"	"4"	"3"	"136"	"4"	"3"	"24"	"473"	""	"473"	""
"91"	"75"	"11"	"26"	"10"	"0"	"0"	"562"	"3"	"0"	"1"	"613"	""	"613"	""
"92"	"76"	"91"	"15"	"6"	"5"	"1"	"269"	"3"	"1"	"13"	"404"	""	"404"	""
"93"	"77"	"170"	"32"	"13"	"20"	"8"	"307"	"17"	"10"	"31"	"608"	""	"608"	""
"94"	"78"	"146"	"45"	"9"	"2"	"3"	"155"	"8"	"6"	"20"	"394"	""	"394"	""
"95"	"79"	"3"	"12"	"0"	"0"	"3"	"478"	"3"	"0"	"2"	"501"	""	"501"	""
"96"	"80"	"35"	"42"	"8"	"5"	"6"	"312"	"2"	"1"	"7"	"418"	""	"418"	""
"97"	"81"	"96"	"91"	"6"	"10"	"5"	"186"	"6"	"4"	"12"	"416"	""	"416"	""
"98"	"82"	"15"	"131"	"8"	"7"	"3"	"225"	"8"	"4"	"16"	"417"	""	"417"	""
"99"	"83"	"35"	"204"	"15"	"15"	"9"	"225"	"13"	"12"	"15"	"543"	""	"543"	""
"100"	"84"	"10"	"43"	"6"	"1"	"2"	"421"	"5"	"0"	"2"	"490"	""	"490"	""
"101"	"TOTAL-VI"	"1208"	"727"	"108"	"84"	"58"	"4813"	"100"	"54"	"206"	"7358"	""	"7358"	""
"102"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"104"	"85"	"109"	"40"	"1"	"1"	"4"	"371"	"6"	"2"	"9"	"543"	""	"543"	""
"105"	"86"	"67"	"101"	"5"	"7"	"9"	"587"	"8"	"6"	"19"	"809"	""	"809"	""
"106"	"87"	"312"	"31"	"9"	"18"	"10"	"248"	"13"	"18"	"51"	"710"	""	"710"	""
"107"	"88"	"25"	"183"	"18"	"15"	"15"	"306"	"6"	"8"	"25"	"601"	""	"601"	""
"108"	"89"	"168"	"60"	"10"	"6"	"17"	"303"	"16"	"15"	"61"	"656"	""	"656"	""
"109"	"90"	"602"	"21"	"7"	"2"	"2"	"51"	"7"	"1"	"4"	"697"	""	"697"	""
"110"	"91"	"125"	"18"	"3"	"5"	"5"	"224"	"7"	"5"	"19"	"411"	""	"411"	""
"111"	"92"	"181"	"12"	"5"	"11"	"5"	"178"	"20"	"5"	"22"	"439"	""	"439"	""
"112"	"93"	"277"	"49"	"11"	"11"	"12"	"159"	"12"	"15"	"24"	"570"	""	"570"	""
"113"	"94"	"426"	"96"	"12"	"4"	"4"	"42"	"9"	"3"	"7"	"603"	""	"603"	""
"114"	"95"	"227"	"40"	"16"	"8"	"4"	"252"	"9"	"1"	"15"	"572"	""	"572"	""
"115"	"96"	"93"	"99"	"15"	"8"	"7"	"240"	"4"	"1"	"23"	"490"	""	"490"	""
"116"	"97"	"47"	"216"	"17"	"8"	"8"	"404"	"12"	"5"	"21"	"738"	""	"738"	""
"117"	"98"	"259"	"17"	"12"	"9"	"7"	"168"	"41"	"3"	"13"	"529"	""	"529"	""
"118"	"TOTAL-VII"	"2918"	"983"	"141"	"113"	"109"	"3533"	"170"	"88"	"313"	"8368"	""	"8368"	""
"119"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"121"	"99"	"0"	"638"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"641"	""	"641"	""
"122"	"100"	"8"	"95"	"5"	"4"	"0"	"165"	"6"	"0"	"15"	"298"	""	"298"	""
"123"	"101"	"130"	"100"	"17"	"14"	"9"	"232"	"6"	"5"	"32"	"545"	""	"545"	""
"124"	"102"	"228"	"17"	"11"	"9"	"4"	"214"	"15"	"1"	"17"	"516"	""	"516"	""
"125"	"103"	"440"	"11"	"6"	"0"	"2"	"28"	"5"	"1"	"4"	"497"	""	"497"	""
"126"	"104"	"194"	"60"	"14"	"9"	"3"	"128"	"9"	"4"	"19"	"440"	""	"440"	""
"127"	"105"	"332"	"12"	"26"	"7"	"10"	"100"	"18"	"4"	"22"	"531"	""	"531"	""
"128"	"106"	"691"	"6"	"2"	"0"	"2"	"32"	"6"	"2"	"9"	"750"	""	"750"	""
"129"	"107"	"330"	"16"	"4"	"2"	"3"	"65"	"8"	"3"	"6"	"437"	""	"437"	""
"130"	"108"	"223"	"21"	"7"	"2"	"2"	"108"	"106"	"8"	"14"	"491"	""	"491"	""
"131"	"109"	"123"	"38"	"5"	"5"	"2"	"318"	"37"	"9"	"23"	"560"	""	"560"	""
"132"	"110"	"138"	"52"	"5"	"7"	"4"	"304"	"14"	"10"	"20"	"554"	""	"554"	""
"133"	"111"	"71"	"4"	"4"	"2"	"4"	"52"	"10"	"0"	"2"	"149"	""	"149"	""
"134"	"112"	"321"	"16"	"16"	"7"	"4"	"52"	"7"	"3"	"15"	"441"	""	"441"	""
"135"	"TOTAL-VIII"	"3229"	"1086"	"122"	"68"	"49"	"1799"	"247"	"51"	"199"	"6850"	""	"6850"	""
"136"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"138"	"113"	"176"	"14"	"11"	"17"	"13"	"200"	"19"	"7"	"40"	"497"	""	"497"	""
"139"	"114"	"60"	"1"	"3"	"2"	"0"	"35"	"1"	"1"	"5"	"108"	""	"108"	""
"140"	"115"	"262"	"13"	"2"	"6"	"3"	"75"	"10"	"8"	"37"	"416"	""	"416"	""
"141"	"116"	"186"	"52"	"11"	"9"	"9"	"113"	"11"	"9"	"38"	"438"	""	"438"	""
"142"	"117"	"101"	"7"	"7"	"3"	"5"	"117"	"3"	"3"	"22"	"268"	""	"268"	""
"143"	"118"	"523"	"4"	"1"	"2"	"0"	"21"	"0"	"2"	"3"	"556"	""	"556"	""
"144"	"119"	"147"	"44"	"12"	"37"	"4"	"234"	"10"	"5"	"17"	"510"	""	"510"	""
"145"	"120"	"224"	"22"	"8"	"1"	"1"	"71"	"8"	"0"	"10"	"345"	""	"345"	""
"146"	"121"	"468"	"10"	"11"	"5"	"2"	"116"	"11"	"2"	"24"	"649"	""	"649"	""
"147"	"122"	"248"	"36"	"15"	"5"	"7"	"93"	"5"	"7"	"24"	"440"	""	"440"	""
"148"	"123"	"233"	"70"	"11"	"8"	"2"	"54"	"2"	"0"	"10"	"390"	""	"390"	""
"149"	"124"	"108"	"82"	"9"	"54"	"11"	"102"	"18"	"5"	"27"	"416"	""	"416"	""
"150"	"125"	"161"	"47"	"7"	"75"	"5"	"45"	"5"	"4"	"11"	"360"	""	"360"	""
"151"	"126"	"261"	"10"	"4"	"4"	"4"	"124"	"4"	"3"	"13"	"427"	""	"427"	""
"152"	"TOTAL-IX"	"3158"	"412"	"112"	"228"	"66"	"1400"	"107"	"56"	"281"	"5820"	""	"5820"	""
"153"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"155"	"127"	"198"	"17"	"7"	"9"	"8"	"173"	"22"	"13"	"36"	"483"	""	"483"	""
"156"	"128"	"405"	"42"	"11"	"2"	"4"	"69"	"7"	"3"	"9"	"552"	""	"552"	""
"157"	"129"	"199"	"147"	"16"	"8"	"3"	"243"	"41"	"31"	"43"	"731"	""	"731"	""
"158"	"130"	"141"	"34"	"19"	"94"	"7"	"321"	"13"	"6"	"34"	"669"	""	"669"	""
"159"	"131"	"167"	"76"	"16"	"10"	"7"	"166"	"9"	"8"	"12"	"471"	""	"471"	""
"160"	"132"	"265"	"30"	"16"	"23"	"8"	"319"	"9"	"6"	"28"	"704"	""	"704"	""
"161"	"133"	"113"	"18"	"2"	"6"	"1"	"211"	"13"	"1"	"16"	"381"	""	"381"	""
"162"	"134"	"515"	"8"	"6"	"0"	"1"	"11"	"4"	"4"	"8"	"557"	""	"557"	""
"163"	"135"	"249"	"43"	"11"	"10"	"6"	"198"	"127"	"14"	"33"	"691"	""	"691"	""
"164"	"136"	"183"	"160"	"8"	"4"	"8"	"253"	"55"	"5"	"17"	"693"	""	"693"	""
"165"	"137"	"203"	"18"	"7"	"7"	"5"	"115"	"71"	"9"	"9"	"444"	""	"444"	""
"166"	"138"	"271"	"11"	"2"	"0"	"0"	"4"	"3"	"1"	"5"	"297"	""	"297"	""
"167"	"139"	"269"	"27"	"15"	"5"	"4"	"176"	"9"	"1"	"16"	"522"	""	"522"	""
"168"	"140"	"43"	"154"	"11"	"11"	"7"	"257"	"14"	"8"	"27"	"532"	""	"532"	""
"169"	"TOTAL-X"	"3221"	"785"	"147"	"189"	"69"	"2516"	"397"	"110"	"293"	"7727"	""	"7727"	""
"170"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"172"	"141"	"43"	"83"	"11"	"5"	"10"	"332"	"11"	"9"	"17"	"521"	""	"521"	""
"173"	"142"	"82"	"56"	"14"	"6"	"3"	"212"	"14"	"5"	"35"	"427"	""	"427"	""
"174"	"143"	"26"	"115"	"9"	"13"	"9"	"233"	"9"	"13"	"45"	"472"	""	"472"	""
"175"	"144"	"70"	"10"	"7"	"1"	"7"	"255"	"22"	"9"	"25"	"406"	""	"406"	""
"176"	"145"	"256"	"20"	"57"	"24"	"10"	"247"	"16"	"10"	"50"	"690"	""	"690"	""
"177"	"146"	"494"	"0"	"0"	"0"	"0"	"6"	"2"	"0"	"0"	"502"	""	"502"	""
"178"	"147"	"207"	"47"	"16"	"13"	"10"	"229"	"13"	"2"	"30"	"567"	""	"567"	""
"179"	"148"	"149"	"46"	"5"	"6"	"5"	"180"	"10"	"9"	"14"	"424"	""	"424"	""
"180"	"149"	"212"	"38"	"19"	"12"	"6"	"269"	"21"	"10"	"33"	"620"	""	"620"	""
"181"	"150"	"80"	"18"	"7"	"3"	"3"	"160"	"8"	"2"	"26"	"307"	""	"307"	""
"182"	"151"	"105"	"16"	"44"	"8"	"11"	"137"	"6"	"11"	"19"	"357"	""	"357"	""
"183"	"152"	"371"	"22"	"25"	"5"	"8"	"157"	"22"	"11"	"37"	"658"	""	"658"	""
"184"	"153"	"74"	"4"	"23"	"1"	"3"	"187"	"6"	"8"	"12"	"318"	""	"318"	""
"185"	"154"	"203"	"11"	"5"	"3"	"4"	"191"	"8"	"11"	"15"	"451"	""	"451"	""
"186"	"TOTAL-XI"	"2372"	"486"	"242"	"100"	"89"	"2795"	"168"	"110"	"358"	"6720"	""	"6720"	""
"187"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"189"	"155"	"64"	"3"	"8"	"9"	"3"	"264"	"16"	"1"	"26"	"394"	""	"394"	""
"190"	"156"	"65"	"34"	"5"	"6"	"3"	"342"	"7"	"5"	"15"	"482"	""	"482"	""
"191"	"157"	"58"	"67"	"1"	"1"	"2"	"255"	"11"	"18"	"22"	"435"	""	"435"	""
