"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"48"	"34"	"82"	"194"	"14"	"2"	"29"	"3"	"1"	"1"	"1"	"5"	"3"	"11"	"5"	"351"	"0"	"351"	""	""
"49"	"35"	"49"	"318"	"48"	"1"	"26"	"3"	"0"	"1"	"2"	"22"	"32"	"10"	"7"	"519"	"0"	"519"	""	""
"50"	"36"	"87"	"349"	"49"	"1"	"62"	"0"	"0"	"2"	"1"	"0"	"8"	"3"	"1"	"563"	"0"	"563"	""	""
"51"	"37"	"0"	"448"	"3"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"466"	"0"	"466"	""	""
"52"	"38"	"233"	"22"	"32"	"3"	"27"	"0"	"0"	"0"	"0"	"7"	"2"	"1"	"0"	"327"	"0"	"327"	""	""
"53"	"39"	"0"	"589"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"601"	"0"	"601"	""	""
"54"	"40"	"159"	"89"	"4"	"2"	"5"	"5"	"1"	"3"	"4"	"48"	"4"	"7"	"15"	"346"	"0"	"346"	""	""
"55"	"41"	"87"	"219"	"7"	"1"	"21"	"3"	"3"	"1"	"1"	"2"	"4"	"6"	"6"	"361"	"0"	"361"	""	""
"56"	"42"	"97"	"397"	"31"	"2"	"20"	"4"	"1"	"1"	"3"	"4"	"6"	"13"	"16"	"595"	"0"	"595"	""	""
"57"	"Round-3"	"3806"	"8157"	"624"	"91"	"1021"	"1111"	"210"	"101"	"86"	"653"	"183"	"311"	"443"	"16797"	"0"	"16797"	""	""
"58"	"43"	"61"	"178"	"5"	"2"	"89"	"3"	"2"	"3"	"5"	"5"	"4"	"12"	"10"	"379"	"0"	"379"	""	""
"59"	"44"	"15"	"787"	"5"	"1"	"31"	"0"	"1"	"0"	"2"	"0"	"4"	"7"	"8"	"861"	"0"	"861"	""	""
"60"	"45"	"6"	"473"	"1"	"0"	"32"	"1"	"0"	"0"	"1"	"11"	"2"	"1"	"3"	"531"	"0"	"531"	""	""
"61"	"46"	"9"	"487"	"9"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"5"	"3"	"2"	"522"	"0"	"522"	""	""
"62"	"47"	"47"	"271"	"11"	"1"	"18"	"5"	"2"	"0"	"4"	"17"	"3"	"15"	"14"	"408"	"0"	"408"	""	""
"63"	"48"	"105"	"443"	"4"	"0"	"56"	"1"	"0"	"1"	"1"	"7"	"5"	"3"	"1"	"627"	"0"	"627"	""	""
"64"	"49"	"18"	"153"	"34"	"4"	"59"	"5"	"5"	"3"	"4"	"5"	"7"	"22"	"22"	"341"	"0"	"341"	""	""
"65"	"50"	"35"	"261"	"1"	"0"	"33"	"1"	"0"	"7"	"2"	"0"	"0"	"0"	"2"	"342"	"0"	"342"	""	""
"66"	"51"	"2"	"16"	"2"	"0"	"115"	"1"	"2"	"0"	"0"	"0"	"25"	"1"	"1"	"165"	"0"	"165"	""	""
"67"	"52"	"72"	"368"	"16"	"1"	"186"	"4"	"5"	"2"	"5"	"51"	"12"	"26"	"16"	"764"	"0"	"764"	""	""
"68"	"53"	"20"	"404"	"35"	"1"	"81"	"3"	"2"	"12"	"2"	"0"	"1"	"11"	"4"	"576"	"0"	"576"	""	""
"69"	"54"	"5"	"530"	"21"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"578"	"0"	"578"	""	""
"70"	"55"	"97"	"294"	"15"	"1"	"21"	"15"	"2"	"4"	"2"	"7"	"2"	"19"	"6"	"485"	"0"	"485"	""	""
"71"	"56"	"24"	"643"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"678"	"0"	"678"	""	""
"72"	"Round-4"	"4322"	"13465"	"783"	"106"	"1769"	"1150"	"231"	"133"	"114"	"758"	"257"	"432"	"534"	"24054"	"0"	"24054"	""	""
"73"	"57"	"57"	"340"	"7"	"1"	"45"	"1"	"2"	"1"	"2"	"1"	"2"	"10"	"5"	"474"	"0"	"474"	""	""
"74"	"58"	"27"	"343"	"11"	"2"	"63"	"7"	"5"	"1"	"5"	"2"	"9"	"20"	"4"	"499"	"0"	"499"	""	""
"75"	"59"	"3"	"457"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"470"	"0"	"470"	""	""
"76"	"60"	"21"	"338"	"2"	"0"	"2"	"1"	"1"	"0"	"2"	"1"	"3"	"7"	"2"	"380"	"0"	"380"	""	""
"77"	"61"	"369"	"95"	"0"	"0"	"5"	"6"	"0"	"1"	"0"	"4"	"0"	"3"	"0"	"483"	"0"	"483"	""	""
"78"	"62"	"76"	"313"	"42"	"2"	"25"	"2"	"2"	"2"	"1"	"0"	"6"	"9"	"8"	"488"	"0"	"488"	""	""
"79"	"63"	"113"	"190"	"29"	"4"	"10"	"1"	"0"	"0"	"0"	"3"	"1"	"7"	"4"	"362"	"0"	"362"	""	""
"80"	"64"	"391"	"24"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"425"	"0"	"425"	""	""
"81"	"65"	"18"	"307"	"44"	"1"	"21"	"0"	"0"	"1"	"0"	"1"	"4"	"2"	"3"	"402"	"0"	"402"	""	""
"82"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"83"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"84"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"85"	"66"	"30"	"75"	"1"	"0"	"5"	"0"	"1"	"0"	"4"	"416"	"3"	"2"	"3"	"540"	"0"	"540"	""	""
"86"	"67"	"34"	"501"	"2"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"558"	"0"	"558"	""	""
"87"	"68"	"68"	"171"	"1"	"2"	"19"	"23"	"2"	"1"	"2"	"3"	"3"	"8"	"1"	"304"	"0"	"304"	""	""
"88"	"69"	"183"	"51"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"1"	"244"	"0"	"244"	""	""
"89"	"70"	"32"	"228"	"2"	"1"	"15"	"0"	"0"	"2"	"0"	"0"	"3"	"2"	"0"	"285"	"0"	"285"	""	""
"90"	"Round-5"	"5744"	"16898"	"936"	"119"	"2003"	"1191"	"244"	"143"	"131"	"1196"	"293"	"502"	"568"	"29968"	"0"	"29968"	""	""
"91"	"71"	"49"	"183"	"8"	"1"	"23"	"0"	"2"	"1"	"1"	"3"	"1"	"7"	"2"	"281"	"0"	"281"	""	""
"92"	"72"	"304"	"17"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"326"	"0"	"326"	""	""
"93"	"73"	"109"	"212"	"1"	"0"	"11"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"339"	"0"	"339"	""	""
"94"	"74"	"83"	"219"	"3"	"0"	"25"	"0"	"1"	"1"	"0"	"3"	"2"	"8"	"9"	"354"	"0"	"354"	""	""
"95"	"75"	"23"	"273"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"20"	"0"	"0"	"0"	"326"	"0"	"326"	""	""
"96"	"76"	"123"	"240"	"2"	"1"	"5"	"2"	"1"	"0"	"2"	"7"	"2"	"14"	"13"	"412"	"0"	"412"	""	""
"97"	"77"	"73"	"189"	"98"	"2"	"7"	"1"	"1"	"0"	"0"	"4"	"11"	"5"	"5"	"396"	"0"	"396"	""	""
"98"	"78"	"55"	"280"	"5"	"2"	"12"	"16"	"1"	"2"	"2"	"12"	"0"	"13"	"10"	"410"	"0"	"410"	""	""
"99"	"79"	"80"	"157"	"57"	"7"	"74"	"13"	"2"	"3"	"3"	"4"	"12"	"5"	"18"	"435"	"0"	"435"	""	""
"100"	"80"	"144"	"92"	"30"	"0"	"3"	"4"	"2"	"1"	"1"	"3"	"4"	"2"	"5"	"291"	"0"	"291"	""	""
"101"	"81"	"150"	"28"	"6"	"2"	"4"	"1"	"1"	"1"	"1"	"11"	"3"	"3"	"18"	"229"	"0"	"229"	""	""
"102"	"82"	"94"	"229"	"21"	"3"	"6"	"4"	"2"	"1"	"3"	"2"	"0"	"7"	"21"	"393"	"0"	"393"	""	""
"103"	"83"	"40"	"405"	"8"	"1"	"4"	"1"	"2"	"3"	"0"	"3"	"10"	"6"	"22"	"505"	"0"	"505"	""	""
"104"	"84"	"143"	"257"	"10"	"1"	"5"	"3"	"0"	"0"	"0"	"6"	"4"	"2"	"4"	"435"	"0"	"435"	""	""
"105"	"Round-6"	"7214"	"19679"	"1185"	"139"	"2192"	"1237"	"260"	"156"	"144"	"1279"	"346"	"574"	"695"	"35100"	"0"	"35100"	""	""
"106"	"85"	"45"	"328"	"27"	"4"	"3"	"3"	"1"	"1"	"1"	"3"	"3"	"8"	"11"	"438"	"0"	"438"	""	""
"107"	"86"	"59"	"333"	"3"	"2"	"10"	"0"	"0"	"1"	"1"	"7"	"1"	"7"	"5"	"429"	"0"	"429"	""	""
"108"	"87"	"2"	"101"	"34"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"4"	"4"	"3"	"153"	"0"	"153"	""	""
"109"	"88"	"479"	"35"	"2"	"1"	"6"	"8"	"0"	"0"	"0"	"15"	"3"	"4"	"2"	"555"	"0"	"555"	""	""
"110"	"89"	"23"	"314"	"9"	"2"	"10"	"7"	"2"	"0"	"1"	"2"	"5"	"4"	"5"	"384"	"0"	"384"	""	""
"111"	"90"	"27"	"293"	"13"	"2"	"22"	"2"	"1"	"0"	"0"	"2"	"8"	"6"	"1"	"377"	"0"	"377"	""	""
"112"	"91"	"114"	"150"	"2"	"0"	"14"	"0"	"1"	"0"	"1"	"5"	"2"	"4"	"10"	"303"	"0"	"303"	""	""
"113"	"92"	"1"	"248"	"4"	"1"	"36"	"0"	"1"	"0"	"1"	"0"	"7"	"3"	"0"	"302"	"0"	"302"	""	""
"114"	"93"	"193"	"3"	"0"	"1"	"2"	"5"	"0"	"0"	"0"	"65"	"1"	"0"	"5"	"275"	"0"	"275"	""	""
"115"	"94"	"73"	"282"	"2"	"0"	"5"	"9"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"376"	"0"	"376"	""	""
"116"	"95"	"1"	"457"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"475"	"0"	"475"	""	""
"117"	"96"	"46"	"79"	"2"	"4"	"26"	"3"	"0"	"2"	"2"	"0"	"28"	"1"	"3"	"196"	"0"	"196"	""	""
"118"	"97"	"42"	"345"	"17"	"2"	"6"	"71"	"4"	"4"	"3"	"9"	"6"	"13"	"30"	"552"	"0"	"552"	""	""
"119"	"98"	"117"	"105"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"4"	"66"	"300"	"0"	"300"	""	""
"120"	"Round-7"	"8436"	"22752"	"1303"	"158"	"2348"	"1345"	"271"	"166"	"154"	"1389"	"419"	"635"	"839"	"40215"	"0"	"40215"	""	""
"121"	"99"	"43"	"290"	"3"	"1"	"4"	"3"	"0"	"1"	"2"	"9"	"9"	"11"	"15"	"391"	"0"	"391"	""	""
"122"	"100"	"14"	"48"	"3"	"0"	"19"	"1"	"1"	"0"	"0"	"242"	"2"	"1"	"9"	"340"	"0"	"340"	""	""
"123"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"124"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"125"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"126"	"101"	"10"	"38"	"8"	"0"	"4"	"1"	"1"	"0"	"0"	"254"	"0"	"0"	"5"	"321"	"0"	"321"	""	""
"127"	"102"	"16"	"303"	"4"	"3"	"76"	"15"	"1"	"4"	"6"	"4"	"15"	"7"	"13"	"467"	"0"	"467"	""	""
"128"	"103"	"17"	"306"	"19"	"2"	"48"	"11"	"5"	"4"	"8"	"39"	"18"	"15"	"17"	"509"	"0"	"509"	""	""
"129"	"104"	"20"	"206"	"5"	"0"	"62"	"0"	"0"	"0"	"1"	"4"	"21"	"9"	"7"	"335"	"0"	"335"	""	""
"130"	"105"	"17"	"133"	"40"	"3"	"53"	"11"	"7"	"2"	"3"	"7"	"10"	"9"	"9"	"304"	"0"	"304"	""	""
"131"	"106"	"60"	"100"	"12"	"10"	"65"	"13"	"1"	"1"	"6"	"39"	"2"	"12"	"6"	"327"	"0"	"327"	""	""
"132"	"107"	"0"	"323"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"330"	"0"	"330"	""	""
"133"	"108"	"283"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"286"	"0"	"286"	""	""
"134"	"109"	"25"	"84"	"5"	"3"	"43"	"1"	"1"	"2"	"1"	"8"	"221"	"17"	"48"	"459"	"0"	"459"	""	""
"135"	"110"	"8"	"217"	"4"	"1"	"42"	"13"	"2"	"1"	"3"	"4"	"24"	"15"	"5"	"339"	"0"	"339"	""	""
"136"	"111"	"118"	"43"	"10"	"2"	"91"	"2"	"5"	"0"	"1"	"18"	"26"	"6"	"9"	"331"	"0"	"331"	""	""
"137"	"112"	"49"	"131"	"51"	"2"	"79"	"5"	"4"	"0"	"4"	"1"	"8"	"3"	"7"	"344"	"0"	"344"	""	""
"138"	"Round-8"	"9116"	"24974"	"1468"	"185"	"2936"	"1423"	"299"	"181"	"189"	"2019"	"779"	"740"	"989"	"45298"	"0"	"45298"	""	""
"139"	"113"	"191"	"81"	"5"	"2"	"44"	"4"	"1"	"1"	"2"	"5"	"10"	"3"	"8"	"357"	"0"	"357"	""	""
"140"	"114"	"14"	"58"	"24"	"2"	"177"	"5"	"6"	"2"	"4"	"2"	"75"	"6"	"6"	"381"	"0"	"381"	""	""
"141"	"115"	"12"	"410"	"9"	"1"	"16"	"9"	"3"	"0"	"2"	"37"	"1"	"2"	"0"	"502"	"0"	"502"	""	""
"142"	"116"	"3"	"171"	"1"	"3"	"16"	"4"	"2"	"0"	"1"	"16"	"1"	"4"	"6"	"228"	"0"	"228"	""	""
"143"	"117"	"225"	"45"	"17"	"1"	"7"	"37"	"5"	"3"	"2"	"39"	"5"	"4"	"2"	"392"	"0"	"392"	""	""
"144"	"118"	"83"	"212"	"31"	"2"	"145"	"8"	"2"	"2"	"2"	"4"	"6"	"9"	"3"	"509"	"0"	"509"	""	""
"145"	"119"	"4"	"311"	"5"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"341"	"0"	"341"	""	""
"146"	"120"	"7"	"165"	"24"	"2"	"115"	"1"	"2"	"1"	"1"	"2"	"9"	"13"	"3"	"345"	"0"	"345"	""	""
"147"	"121"	"9"	"370"	"0"	"0"	"10"	"0"	"0"	"0"	"1"	"0"	"12"	"0"	"0"	"402"	"0"	"402"	""	""
"148"	"122"	"91"	"286"	"69"	"4"	"24"	"19"	"4"	"1"	"7"	"8"	"9"	"20"	"16"	"558"	"0"	"558"	""	""
"149"	"123"	"15"	"190"	"3"	"0"	"36"	"4"	"2"	"0"	"3"	"4"	"2"	"4"	"3"	"266"	"0"	"266"	""	""
"150"	"124"	"4"	"58"	"0"	"0"	"40"	"3"	"3"	"5"	"3"	"1"	"7"	"7"	"4"	"135"	"0"	"135"	""	""
"151"	"125"	"82"	"186"	"40"	"0"	"11"	"1"	"0"	"1"	"2"	"8"	"5"	"4"	"3"	"343"	"0"	"343"	""	""
"152"	"126"	"149"	"266"	"6"	"1"	"47"	"2"	"3"	"1"	"4"	"0"	"2"	"5"	"7"	"493"	"0"	"493"	""	""
"153"	"Round-9"	"10005"	"27783"	"1702"	"203"	"3640"	"1520"	"332"	"198"	"223"	"2145"	"923"	"825"	"1051"	"50550"	"0"	"50550"	""	""
"154"	"127"	"32"	"80"	"19"	"0"	"20"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"3"	"160"	"0"	"160"	""	""
"155"	"128"	"139"	"5"	"10"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"160"	"0"	"160"	""	""
"156"	"129"	"118"	"40"	"4"	"0"	"2"	"1"	"0"	"1"	"0"	"13"	"0"	"2"	"6"	"187"	"0"	"187"	""	""
"157"	"130"	"75"	"32"	"48"	"4"	"7"	"4"	"5"	"2"	"3"	"51"	"3"	"2"	"7"	"243"	"0"	"243"	""	""
"158"	"131"	"27"	"110"	"2"	"0"	"10"	"7"	"3"	"2"	"0"	"5"	"3"	"14"	"14"	"197"	"0"	"197"	""	""
"159"	"132"	"52"	"260"	"17"	"8"	"23"	"13"	"8"	"2"	"7"	"37"	"4"	"30"	"21"	"482"	"0"	"482"	""	""
"160"	"133"	"93"	"282"	"32"	"4"	"18"	"10"	"4"	"5"	"4"	"5"	"5"	"13"	"17"	"492"	"0"	"492"	""	""
"161"	"134"	"76"	"34"	"1"	"2"	"5"	"3"	"2"	"0"	"1"	"13"	"1"	"5"	"4"	"147"	"0"	"147"	""	""
"162"	"135"	"95"	"9"	"0"	"2"	"0"	"19"	"0"	"1"	"1"	"26"	"1"	"3"	"13"	"170"	"0"	"170"	""	""
"163"	"136"	"27"	"190"	"5"	"0"	"61"	"18"	"7"	"7"	"13"	"9"	"17"	"24"	"32"	"410"	"0"	"410"	""	""
"164"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"165"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"166"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"167"	"137"	"21"	"186"	"3"	"0"	"28"	"75"	"3"	"0"	"2"	"4"	"1"	"4"	"0"	"327"	"0"	"327"	""	""
"168"	"138"	"130"	"41"	"12"	"0"	"0"	"29"	"2"	"5"	"5"	"74"	"8"	"6"	"15"	"327"	"0"	"327"	""	""
"169"	"139"	"52"	"176"	"7"	"1"	"13"	"62"	"5"	"4"	"3"	"12"	"11"	"18"	"25"	"389"	"0"	"389"	""	""
"170"	"140"	"38"	"69"	"1"	"3"	"2"	"39"	"1"	"5"	"4"	"9"	"2"	"5"	"8"	"186"	"0"	"186"	""	""
"171"	"Round-10"	"10980"	"29297"	"1863"	"228"	"3829"	"1800"	"372"	"233"	"266"	"2404"	"982"	"953"	"1220"	"54427"	"0"	"54427"	""	""
