"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"10"	"1"	"239"	""	""	""	"69"	""	""	""	"50"	""	""	""	"109"	""	""	""	""	"6"	""	""	""	""	"18"	""	""	""	"10"	""	""	""	"14"	""	""	""	"26"	""	""	""	""	"42"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"160"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"14"	""	""	""	""	"784"	""	""	""	""	""	""	""	"784"	""	""	""	""	""	""	""
"11"	"2"	"11"	""	""	""	"92"	""	""	""	"115"	""	""	""	"102"	""	""	""	""	"10"	""	""	""	""	"23"	""	""	""	"17"	""	""	""	"6"	""	""	""	"5"	""	""	""	""	"17"	""	""	""	"10"	""	""	""	""	"4"	""	""	""	"156"	""	""	""	""	"32"	""	""	""	"8"	""	""	""	""	"13"	""	""	""	""	"621"	""	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""
"12"	"3"	"64"	""	""	""	"40"	""	""	""	"145"	""	""	""	"82"	""	""	""	""	"28"	""	""	""	""	"9"	""	""	""	"14"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"11"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"49"	""	""	""	""	"13"	""	""	""	"10"	""	""	""	""	"18"	""	""	""	""	"497"	""	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""
"13"	"4"	"40"	""	""	""	"59"	""	""	""	"65"	""	""	""	"31"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"35"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"130"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	""	"8"	""	""	""	""	"410"	""	""	""	""	""	""	""	"410"	""	""	""	""	""	""	""
"14"	"5"	"24"	""	""	""	"11"	""	""	""	"26"	""	""	""	"35"	""	""	""	""	"22"	""	""	""	""	"45"	""	""	""	"5"	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"147"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	"378"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""
"15"	"6"	"151"	""	""	""	"11"	""	""	""	"12"	""	""	""	"95"	""	""	""	""	"47"	""	""	""	""	"42"	""	""	""	"14"	""	""	""	"15"	""	""	""	"1"	""	""	""	""	"16"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"101"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"537"	""	""	""	""	""	""	""	"537"	""	""	""	""	""	""	""
"16"	"7"	"151"	""	""	""	"28"	""	""	""	"14"	""	""	""	"55"	""	""	""	""	"27"	""	""	""	""	"16"	""	""	""	"3"	""	""	""	"17"	""	""	""	"0"	""	""	""	""	"62"	""	""	""	"5"	""	""	""	""	"15"	""	""	""	"165"	""	""	""	""	"15"	""	""	""	"9"	""	""	""	""	"32"	""	""	""	""	"614"	""	""	""	""	""	""	""	"614"	""	""	""	""	""	""	""
"17"	"8"	"49"	""	""	""	"7"	""	""	""	"28"	""	""	""	"77"	""	""	""	""	"310"	""	""	""	""	"18"	""	""	""	"7"	""	""	""	"8"	""	""	""	"7"	""	""	""	""	"44"	""	""	""	"4"	""	""	""	""	"24"	""	""	""	"80"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"12"	""	""	""	""	"681"	""	""	""	""	""	""	""	"681"	""	""	""	""	""	""	""
"18"	"9"	"45"	""	""	""	"76"	""	""	""	"84"	""	""	""	"56"	""	""	""	""	"28"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"42"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"17"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"367"	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""
"19"	"10"	"24"	""	""	""	"6"	""	""	""	"5"	""	""	""	"38"	""	""	""	""	"6"	""	""	""	""	"63"	""	""	""	"4"	""	""	""	"12"	""	""	""	"2"	""	""	""	""	"47"	""	""	""	"10"	""	""	""	""	"16"	""	""	""	"214"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"463"	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""
"20"	"11"	"104"	""	""	""	"12"	""	""	""	"27"	""	""	""	"20"	""	""	""	""	"55"	""	""	""	""	"12"	""	""	""	"5"	""	""	""	"12"	""	""	""	"37"	""	""	""	""	"31"	""	""	""	"8"	""	""	""	""	"11"	""	""	""	"275"	""	""	""	""	"15"	""	""	""	"11"	""	""	""	""	"9"	""	""	""	""	"644"	""	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""
"21"	"12"	"3"	""	""	""	"2"	""	""	""	"23"	""	""	""	"65"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"10"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"45"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"285"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	""	"14"	""	""	""	""	"490"	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""
"22"	"13"	"11"	""	""	""	"3"	""	""	""	"48"	""	""	""	"6"	""	""	""	""	"62"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"180"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	"366"	""	""	""	""	""	""	""	"366"	""	""	""	""	""	""	""
"23"	"14"	"84"	""	""	""	"9"	""	""	""	"52"	""	""	""	"41"	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"2"	""	""	""	"17"	""	""	""	""	"107"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"116"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	"481"	""	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""
"24"	";ksx"	"1000"	""	""	""	"425"	""	""	""	"694"	""	""	""	"812"	""	""	""	""	"629"	""	""	""	""	"265"	""	""	""	"104"	""	""	""	"114"	""	""	""	"119"	""	""	""	""	"523"	""	""	""	"76"	""	""	""	""	"118"	""	""	""	"2075"	""	""	""	""	"132"	""	""	""	"73"	""	""	""	""	"174"	""	""	""	""	"7333"	""	""	""	"0"	""	""	""	"7333"	""	""	""	""	""	""	""
"25"	"lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"f}rh;  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku
dsUnz la0"	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	""	"izfr{ks0
erksa  dh la[;k"	""	""	";ksx"	""	""	""	""	""	""
"28"	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	""	"larks\"k
pkS/kjh"	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	""	"jkeujs'k
izlkn"	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"1"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	""	"19"	""	""	"20"	""	""	""	""	""	""
"30"	"15"	""	""	"34"	""	""	""	"2"	""	""	"20"	""	""	""	""	"16"	""	""	""	""	"36"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"13"	""	""	""	"5"	""	""	""	"11"	""	""	""	""	"189"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"351"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""
"31"	"16"	""	""	"38"	""	""	""	"15"	""	""	"55"	""	""	""	""	"21"	""	""	""	""	"36"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"23"	""	""	""	"19"	""	""	""	""	"36"	""	""	""	"10"	""	""	""	"19"	""	""	""	""	"328"	""	""	""	""	"48"	""	""	""	"9"	""	""	""	""	"8"	""	""	""	"690"	""	""	""	""	""	""	""	"690"	""	""	""	""	""	""
"32"	"17"	""	""	"2"	""	""	""	"1"	""	""	"63"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	""	"55"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"80"	""	""	""	""	"10"	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"247"	""	""	""	""	""	""	""	"247"	""	""	""	""	""	""
"33"	"18"	""	""	"31"	""	""	""	"25"	""	""	"39"	""	""	""	""	"84"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"8"	""	""	""	""	"55"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"30"	""	""	""	""	"33"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"347"	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""
"34"	"19"	""	""	"30"	""	""	""	"4"	""	""	"79"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"402"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"11"	""	""	""	"571"	""	""	""	""	""	""	""	"571"	""	""	""	""	""	""
"35"	"20"	""	""	"66"	""	""	""	"5"	""	""	"89"	""	""	""	""	"39"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"97"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"43"	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"381"	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""
"36"	"21"	""	""	"36"	""	""	""	"8"	""	""	"39"	""	""	""	""	"65"	""	""	""	""	"10"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	"7"	""	""	""	""	"100"	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"169"	""	""	""	""	"26"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"491"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""
"37"	"22"	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"474"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"480"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""
"38"	"23"	""	""	"2"	""	""	""	"11"	""	""	"0"	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"653"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"703"	""	""	""	""	""	""	""	"703"	""	""	""	""	""	""
"39"	"24"	""	""	"285"	""	""	""	"8"	""	""	"3"	""	""	""	""	"54"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"18"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"96"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"10"	""	""	""	""	"15"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"513"	""	""	""	""	""	""	""	"513"	""	""	""	""	""	""
"40"	"25"	""	""	"161"	""	""	""	"10"	""	""	"96"	""	""	""	""	"12"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"17"	""	""	""	"3"	""	""	""	""	"58"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"387"	""	""	""	""	""	""	""	"387"	""	""	""	""	""	""
"41"	"26"	""	""	"197"	""	""	""	"33"	""	""	"29"	""	""	""	""	"33"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"96"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"15"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"458"	""	""	""	""	""	""	""	"458"	""	""	""	""	""	""
"42"	"27"	""	""	"16"	""	""	""	"60"	""	""	"36"	""	""	""	""	"10"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"15"	""	""	""	""	"302"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"56"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"15"	""	""	""	"540"	""	""	""	""	""	""	""	"540"	""	""	""	""	""	""
"43"	"28"	""	""	"18"	""	""	""	"186"	""	""	"93"	""	""	""	""	"102"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"30"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"67"	""	""	""	""	"3"	""	""	""	"9"	""	""	""	""	"9"	""	""	""	"557"	""	""	""	""	""	""	""	"557"	""	""	""	""	""	""
"44"	";ksx"	""	""	"918"	""	""	""	"369"	""	""	"641"	""	""	""	""	"465"	""	""	""	""	"138"	""	""	""	"41"	""	""	""	"60"	""	""	""	""	"86"	""	""	""	"78"	""	""	""	""	"2467"	""	""	""	"53"	""	""	""	"61"	""	""	""	""	"1011"	""	""	""	""	"188"	""	""	""	"36"	""	""	""	""	"104"	""	""	""	"6716"	""	""	""	""	"0"	""	""	"6716"	""	""	""	""	""	""
"45"	"ernku  dsUnz
la0"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ks0
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""
"46"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"48"	"29"	""	""	""	"5"	""	""	""	"535"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"10"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"572"	""	""	""	""	""	""	""	"572"	""	""	""	""
"49"	"30"	""	""	""	"5"	""	""	""	"13"	""	""	""	"352"	""	""	""	""	"17"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"34"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"33"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"472"	""	""	""	""	""	""	""	"472"	""	""	""	""
"50"	"31"	""	""	""	"49"	""	""	""	"10"	""	""	""	"21"	""	""	""	""	"80"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"12"	""	""	""	""	"3"	""	""	""	"8"	""	""	""	""	"35"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"240"	""	""	""	""	""	""	""	"240"	""	""	""	""
"51"	"32"	""	""	""	"72"	""	""	""	"20"	""	""	""	"202"	""	""	""	""	"17"	""	""	""	""	"5"	""	""	""	"11"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"37"	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	"93"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"497"	""	""	""	""	""	""	""	"497"	""	""	""	""
"52"	"33"	""	""	""	"21"	""	""	""	"12"	""	""	""	"70"	""	""	""	""	"81"	""	""	""	""	"20"	""	""	""	"96"	""	""	""	"9"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"84"	""	""	""	""	"8"	""	""	""	"17"	""	""	""	""	"91"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"530"	""	""	""	""	""	""	""	"530"	""	""	""	""
"53"	"34"	""	""	""	"53"	""	""	""	"38"	""	""	""	"174"	""	""	""	""	"76"	""	""	""	""	"13"	""	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"110"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"18"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	"516"	""	""	""	""	""	""	""	"516"	""	""	""	""
"54"	"35"	""	""	""	"12"	""	""	""	"10"	""	""	""	"197"	""	""	""	""	"58"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"6"	""	""	""	"219"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"69"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"14"	""	""	""	"639"	""	""	""	""	""	""	""	"639"	""	""	""	""
"55"	"36"	""	""	""	"53"	""	""	""	"20"	""	""	""	"247"	""	""	""	""	"23"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"156"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"53"	""	""	""	"17"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"608"	""	""	""	""	""	""	""	"608"	""	""	""	""
"56"	"37"	""	""	""	"37"	""	""	""	"15"	""	""	""	"83"	""	""	""	""	"125"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"28"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"51"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"371"	""	""	""	""	""	""	""	"371"	""	""	""	""
