"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.Valid.Votes"	"No..of.Rejecte.d.Votes"	"Total"	"No..Tender.Votes"
"40"	"32"	22	170	111	6	8	3	11	8	13	7	7	22	35	44	"467"	"0"	"467"	"0"
"41"	"33"	25	343	60	3	0	2	3	0	0	1	5	13	2	20	"477"	"0"	"477"	"0"
"42"	"34"	33	250	122	5	2	6	2	4	2	1	2	38	4	3	"474"	"0"	"474"	"0"
"43"	"35"	36	227	94	6	9	3	9	2	4	3	7	9	13	15	"437"	"0"	"437"	"0"
"44"	"36"	15	229	151	4	1	2	4	2	2	2	9	12	16	17	"466"	"0"	"466"	"0"
"45"	"37"	16	92	221	4	7	8	2	1	3	5	5	31	14	5	"414"	"0"	"414"	"0"
"46"	"38"	10	179	172	1	11	10	6	6	9	5	3	75	7	5	"499"	"0"	"499"	"0"
"47"	"39"	20	227	199	2	4	2	0	2	1	0	1	17	5	8	"488"	"0"	"488"	"0"
"48"	"40"	27	339	60	6	7	4	2	2	2	0	2	12	7	3	"473"	"0"	"473"	"0"
"49"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"50"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"51"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"52"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"53"	"41"	134	126	40	1	0	0	2	3	3	1	4	14	6	11	"345"	"0"	"345"	"0"
"54"	"42"	17	119	146	9	1	15	3	6	3	1	0	11	15	6	"352"	"0"	"352"	"0"
"55"	"43"	43	112	149	10	9	11	9	5	7	4	4	20	10	5	"398"	"0"	"398"	"0"
"56"	"44"	18	54	274	5	0	2	1	1	1	0	1	3	4	2	"366"	"0"	"366"	"0"
"57"	"45"	1	283	21	0	1	0	0	1	0	0	2	2	2	7	"320"	"0"	"320"	"0"
"58"	"46"	12	256	42	0	1	0	2	0	2	1	4	1	4	5	"330"	"0"	"330"	"0"
"59"	"47"	25	282	101	10	5	30	5	6	3	1	9	18	13	5	"513"	"0"	"513"	"0"
"60"	"48"	8	115	118	3	4	3	4	1	1	0	5	15	20	5	"302"	"0"	"302"	"0"
"61"	"49"	16	241	107	8	2	0	5	3	3	0	6	25	15	10	"441"	"0"	"441"	"0"
"62"	"50"	5	62	149	5	4	5	4	2	2	1	4	30	21	10	"304"	"0"	"304"	"0"
"63"	"51"	12	202	19	1	0	2	1	0	4	1	3	3	2	1	"251"	"0"	"251"	"0"
"64"	"52"	44	242	90	3	2	2	6	3	6	4	7	15	13	26	"463"	"0"	"463"	"0"
"65"	"53"	32	100	72	6	3	6	3	1	6	4	0	10	13	29	"285"	"0"	"285"	"0"
"66"	"54"	1	444	23	2	0	0	0	0	1	0	3	0	1	0	"475"	"0"	"475"	"0"
"67"	"55"	3	222	60	1	2	0	1	0	0	1	3	0	8	6	"307"	"0"	"307"	"0"
"68"	"56"	41	134	57	4	5	1	1	3	0	4	2	3	12	9	"276"	"0"	"276"	"0"
"69"	"57"	1	22	353	2	0	0	1	0	0	1	1	1	1	1	"384"	"0"	"384"	"0"
"70"	"58"	23	170	106	8	5	3	0	1	2	2	3	2	3	6	"334"	"0"	"334"	"0"
"71"	"59"	19	96	253	3	3	4	1	2	5	2	2	5	1	2	"398"	"0"	"398"	"0"
"72"	"60"	45	65	135	4	4	4	3	5	4	2	4	58	10	7	"350"	"0"	"350"	"0"
"73"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"74"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"75"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"76"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"77"	"61"	41	200	138	4	7	4	1	1	8	2	5	20	35	23	"489"	"0"	"489"	"0"
"78"	"62"	16	144	79	1	4	2	0	0	3	0	0	5	11	21	"286"	"0"	"286"	"0"
"79"	"63"	27	143	99	4	2	2	2	5	4	2	1	7	9	12	"319"	"0"	"319"	"0"
"80"	"64"	11	194	68	4	3	3	1	1	4	2	4	12	9	18	"334"	"0"	"334"	"0"
"81"	"65"	42	256	155	7	4	26	6	10	7	7	12	24	24	19	"599"	"0"	"599"	"0"
"82"	"66"	60	179	53	4	1	0	1	1	3	3	2	5	2	11	"325"	"0"	"325"	"0"
"83"	"67"	21	137	117	5	2	7	2	4	3	3	7	22	24	18	"372"	"0"	"372"	"0"
"84"	"68"	30	287	49	7	5	1	4	6	9	1	4	10	4	8	"425"	"0"	"425"	"0"
"85"	"69"	15	267	69	4	15	6	3	0	8	0	4	10	3	3	"407"	"0"	"407"	"0"
"86"	"70"	7	35	436	3	0	1	0	1	8	2	0	1	4	3	"501"	"0"	"501"	"0"
"87"	"71"	45	349	155	3	0	6	2	1	2	0	4	4	8	15	"594"	"0"	"594"	"0"
"88"	"72"	219	53	75	4	2	5	3	2	3	3	0	1	11	8	"389"	"0"	"389"	"0"
"89"	"73"	87	301	56	3	0	2	3	2	4	5	5	7	7	21	"503"	"0"	"503"	"0"
"90"	"74"	52	313	18	0	0	0	0	0	1	0	0	1	0	0	"385"	"0"	"385"	"0"
"91"	"75"	33	326	71	4	5	3	3	2	4	2	0	13	4	11	"481"	"0"	"481"	"0"
"92"	"76"	14	152	127	5	10	3	6	6	5	1	4	12	20	12	"377"	"0"	"377"	"0"
"93"	"77"	40	125	87	3	2	1	1	1	5	3	3	7	11	5	"294"	"0"	"294"	"0"
"94"	"78"	19	175	28	2	1	1	3	1	0	2	5	3	11	11	"262"	"0"	"262"	"0"
"95"	"79"	3	366	52	2	1	1	0	0	0	2	0	3	1	0	"431"	"0"	"431"	"0"
"96"	"80"	1	34	594	3	0	0	0	0	2	0	0	0	7	6	"647"	"0"	"647"	"0"
"97"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"98"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"99"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"100"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"101"	"81"	1	3	739	2	2	1	0	0	0	0	0	2	1	0	"751"	"0"	"751"	"0"
"102"	"82"	7	219	250	3	2	0	1	0	3	2	7	17	11	30	"552"	"0"	"552"	"0"
"103"	"83"	27	295	159	7	6	4	3	9	2	1	2	17	12	6	"550"	"0"	"550"	"0"
"104"	"84"	59	107	236	6	7	2	3	3	0	1	1	9	16	5	"455"	"0"	"455"	"0"
"105"	"85"	16	159	35	3	0	1	3	0	1	2	1	1	3	6	"231"	"0"	"231"	"0"
"106"	"86"	21	166	126	11	7	6	7	5	10	8	7	10	21	20	"425"	"0"	"425"	"0"
"107"	"87"	31	178	192	9	6	1	3	2	3	3	5	17	15	15	"480"	"0"	"480"	"0"
"108"	"88"	177	86	82	8	4	3	7	6	3	4	7	12	13	12	"424"	"0"	"424"	"0"
"109"	"89"	182	50	281	11	4	1	8	2	1	2	3	9	12	10	"576"	"0"	"576"	"0"
"110"	"90"	21	75	246	0	1	1	1	2	1	2	2	6	7	8	"373"	"0"	"373"	"0"
"111"	"91"	12	121	147	5	3	1	4	0	1	0	2	3	8	6	"313"	"0"	"313"	"0"
"112"	"92"	2	29	486	1	4	2	0	1	2	1	2	19	5	3	"557"	"0"	"557"	"0"
"113"	"93"	5	344	40	2	0	1	2	0	0	3	7	2	3	6	"415"	"0"	"415"	"0"
"114"	"94"	1	17	654	2	0	0	0	0	0	0	0	0	1	0	"675"	"0"	"675"	"0"
"115"	"95"	122	109	86	5	5	4	3	1	5	0	2	12	12	17	"383"	"0"	"383"	"0"
"116"	"96"	5	117	409	2	4	3	1	1	1	0	1	9	5	2	"560"	"0"	"560"	"0"
"117"	"97"	6	134	280	4	1	4	1	0	0	1	0	4	3	3	"441"	"0"	"441"	"0"
"118"	"98"	10	46	305	4	1	1	1	0	3	2	2	8	8	10	"401"	"0"	"401"	"0"
"119"	"99"	17	134	467	7	9	5	4	2	4	4	2	12	20	10	"697"	"0"	"697"	"0"
"120"	"100"	8	21	428	2	4	0	0	0	3	2	1	10	20	4	"503"	"0"	"503"	"0"
"121"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"122"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"123"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"124"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"125"	"101"	11	47	383	3	2	0	2	0	2	0	0	7	2	3	"462"	"0"	"462"	"0"
"126"	"102"	6	160	215	4	5	4	3	3	2	4	1	9	10	4	"430"	"0"	"430"	"0"
"127"	"103"	11	230	96	4	3	2	2	4	4	5	6	11	14	32	"424"	"0"	"424"	"0"
"128"	"104"	24	527	43	4	1	1	2	1	7	6	4	7	27	40	"694"	"0"	"694"	"0"
"129"	"105"	14	44	362	4	1	0	0	0	0	1	1	6	6	9	"448"	"0"	"448"	"0"
"130"	"106"	76	204	103	6	3	2	2	2	2	1	6	13	11	19	"450"	"0"	"450"	"0"
"131"	"107"	16	86	126	1	0	1	1	0	2	0	0	7	7	10	"257"	"0"	"257"	"0"
"132"	"108"	53	141	330	9	8	1	6	4	12	10	4	19	30	38	"665"	"0"	"665"	"0"
"133"	"109"	14	109	222	2	5	3	1	2	2	3	0	21	24	31	"439"	"0"	"439"	"0"
"134"	"110"	15	163	324	5	6	5	1	1	4	5	8	22	24	21	"604"	"0"	"604"	"0"
"135"	"111"	19	16	403	14	2	1	1	0	2	2	5	15	10	20	"510"	"0"	"510"	"0"
"136"	"112"	11	90	425	8	1	2	0	0	2	2	6	33	29	36	"645"	"0"	"645"	"0"
"137"	"113"	13	224	148	6	2	4	3	3	5	5	3	15	30	14	"475"	"0"	"475"	"0"
"138"	"114"	25	71	274	4	1	6	3	4	3	1	8	17	19	16	"452"	"0"	"452"	"0"
"139"	"115"	11	55	219	16	9	4	4	4	3	7	9	34	28	20	"423"	"0"	"423"	"0"
"140"	"116"	150	203	172	6	3	5	2	1	0	0	5	7	19	13	"586"	"0"	"586"	"0"
"141"	"117"	21	225	109	0	5	4	1	4	4	2	0	5	9	3	"392"	"0"	"392"	"0"
"142"	"118"	0	4	569	0	0	0	1	0	0	0	0	3	0	1	"578"	"0"	"578"	"0"
"143"	"119"	18	30	743	15	6	2	2	1	2	0	3	17	21	24	"884"	"0"	"884"	"0"
"144"	"120"	13	16	491	9	6	1	2	2	2	3	3	15	11	5	"579"	"0"	"579"	"0"
"145"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"146"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"147"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"148"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"149"	"121"	16	100	275	6	5	6	3	2	4	2	5	19	27	20	"490"	"0"	"490"	"0"
"150"	"122"	15	274	143	11	6	6	6	6	4	5	3	5	13	3	"500"	"0"	"500"	"0"
"151"	"123"	19	443	74	6	2	4	3	5	4	8	7	9	9	16	"609"	"0"	"609"	"0"
"152"	"124"	20	113	435	7	4	3	4	1	6	0	5	21	11	16	"646"	"0"	"646"	"0"
"153"	"125"	66	23	107	5	4	2	9	2	7	6	6	13	12	13	"275"	"0"	"275"	"0"
"154"	"126"	69	189	177	5	6	5	9	7	9	8	6	29	18	13	"550"	"0"	"550"	"0"
"155"	"127"	15	275	249	13	3	5	4	3	6	3	4	23	28	36	"667"	"0"	"667"	"0"
"156"	"128"	38	95	386	17	3	3	0	5	5	4	8	25	23	20	"632"	"0"	"632"	"0"
"157"	"129"	6	255	113	3	2	0	2	3	2	5	5	30	22	14	"462"	"0"	"462"	"0"
"158"	"130"	26	330	159	8	8	3	3	3	2	4	2	14	17	8	"587"	"0"	"587"	"0"
"159"	"131"	8	99	376	4	0	0	0	2	3	1	4	20	27	31	"575"	"0"	"575"	"0"
"160"	"132"	18	93	124	9	2	0	3	3	5	2	7	23	32	28	"349"	"0"	"349"	"0"
"161"	"133"	5	140	272	5	1	1	2	0	3	2	3	13	12	12	"471"	"0"	"471"	"0"
"162"	"134"	16	187	110	6	6	4	1	3	1	3	7	19	14	21	"398"	"0"	"398"	"0"
"163"	"135"	36	116	180	13	6	2	1	5	7	4	3	44	37	28	"482"	"0"	"482"	"0"
"164"	"136"	9	289	70	2	6	5	2	0	2	4	2	6	21	13	"431"	"0"	"431"	"0"
"165"	"137"	16	150	154	7	7	1	11	6	6	6	9	34	25	18	"450"	"0"	"450"	"0"
"166"	"138"	56	156	354	6	1	2	4	6	5	2	5	40	32	14	"683"	"0"	"683"	"0"
"167"	"139"	10	19	601	4	2	0	1	2	0	0	2	5	14	7	"667"	"0"	"667"	"0"
"168"	"140"	8	151	105	2	1	1	3	0	4	0	1	15	1	3	"295"	"0"	"295"	"0"
"169"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"170"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"171"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"172"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"173"	"141"	13	176	147	2	1	2	6	2	7	7	6	21	13	13	"416"	"0"	"416"	"0"
"174"	"142"	45	150	118	12	8	9	7	6	7	3	4	8	12	6	"395"	"0"	"395"	"0"
"175"	"143"	31	246	142	11	5	12	3	6	8	8	12	15	13	7	"519"	"0"	"519"	"0"
"176"	"144"	16	148	89	4	6	5	6	8	6	14	5	13	13	24	"357"	"0"	"357"	"0"
"177"	"145"	33	212	159	2	5	5	4	3	2	4	5	20	11	18	"483"	"0"	"483"	"0"
"178"	"146"	31	184	134	2	3	4	3	0	5	6	3	7	20	19	"421"	"0"	"421"	"0"
"179"	"147"	1	315	19	0	0	1	0	0	0	0	3	1	0	0	"340"	"0"	"340"	"0"
"180"	"148"	10	191	48	0	2	0	1	2	5	3	4	5	8	6	"285"	"0"	"285"	"0"
"181"	"149"	21	188	117	3	1	3	7	8	9	4	6	16	12	47	"442"	"0"	"442"	"0"
"182"	"150"	18	39	123	4	1	2	2	4	5	2	8	209	16	18	"451"	"0"	"451"	"0"
"183"	"151"	6	30	122	4	5	4	3	3	9	7	10	135	16	8	"362"	"0"	"362"	"0"
"184"	"152"	9	112	147	3	4	0	4	2	9	4	13	78	25	17	"427"	"0"	"427"	"0"
"185"	"153"	6	27	208	7	6	1	1	0	0	2	4	13	9	6	"290"	"0"	"290"	"0"
"186"	"154"	9	150	178	1	12	3	3	2	6	5	6	20	12	25	"432"	"0"	"432"	"0"
"187"	"155"	12	184	90	5	8	2	3	4	6	4	12	94	39	40	"503"	"0"	"503"	"0"
"188"	"156"	10	72	250	6	20	1	0	0	4	1	2	155	14	14	"549"	"0"	"549"	"0"
"189"	"157"	19	154	191	8	84	7	5	6	6	4	4	15	10	9	"522"	"0"	"522"	"0"
"190"	"158"	8	41	143	6	68	5	1	2	3	5	4	45	13	8	"352"	"0"	"352"	"0"
"191"	"159"	100	161	286	11	17	6	8	6	3	3	6	46	15	15	"683"	"0"	"683"	"0"
"192"	"160"	11	187	74	10	5	3	2	3	5	4	8	101	10	16	"439"	"0"	"439"	"0"
"193"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"194"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"195"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"196"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"197"	"161"	26	94	281	6	8	1	1	3	3	3	6	36	13	6	"487"	"0"	"487"	"0"
"198"	"162"	92	104	142	10	8	5	3	6	3	3	5	99	12	15	"507"	"0"	"507"	"0"
"199"	"163"	24	206	41	5	2	6	3	7	4	10	3	35	13	29	"388"	"0"	"388"	"0"
"200"	"164"	26	286	48	3	0	3	0	0	1	0	0	8	1	4	"380"	"0"	"380"	"0"
"201"	"165"	14	396	13	1	2	3	0	0	1	0	1	16	0	2	"449"	"0"	"449"	"0"
"202"	"166"	81	92	196	5	6	3	4	4	1	1	5	13	10	9	"430"	"0"	"430"	"0"
"203"	"167"	16	79	158	4	4	9	0	5	8	2	2	8	7	5	"307"	"0"	"307"	"0"
"204"	"168"	15	200	187	4	8	1	2	3	2	1	1	21	4	1	"450"	"0"	"450"	"0"
"205"	"169"	164	186	159	6	12	9	6	2	18	3	7	16	25	38	"651"	"0"	"651"	"0"
"206"	"170"	30	195	260	7	5	40	3	4	6	3	2	39	11	7	"612"	"0"	"612"	"0"
"207"	"171"	17	169	200	7	1	6	1	0	3	4	6	20	4	5	"443"	"0"	"443"	"0"
"208"	"172"	8	199	196	1	2	6	1	1	3	1	7	10	10	13	"458"	"0"	"458"	"0"
"209"	"173"	1	402	124	2	1	2	2	1	1	1	1	4	10	0	"552"	"0"	"552"	"0"
"210"	"174"	29	612	52	1	1	2	0	0	1	0	1	3	3	1	"706"	"0"	"706"	"0"
"211"	"175"	28	213	362	9	0	1	1	0	2	2	4	20	15	12	"669"	"0"	"669"	"0"
"212"	"176"	111	209	166	2	4	1	3	4	2	3	2	22	9	12	"550"	"0"	"550"	"0"
"213"	"177"	14	217	215	2	4	2	3	0	1	1	5	18	9	4	"495"	"0"	"495"	"0"
"214"	"178"	7	80	181	11	9	2	4	3	7	5	6	24	16	12	"367"	"0"	"367"	"0"
"215"	"179"	17	334	134	8	6	5	2	4	7	3	4	14	16	42	"596"	"0"	"596"	"0"
"216"	"180"	18	340	141	5	18	4	3	6	12	5	3	20	20	11	"606"	"0"	"606"	"0"
"217"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"218"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"219"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"220"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"221"	"181"	10	75	436	2	3	5	1	1	0	1	0	9	7	1	"551"	"0"	"551"	"0"
"222"	"182"	42	231	220	1	19	28	3	1	4	3	5	18	11	23	"609"	"0"	"609"	"0"
"223"	"183"	83	115	232	11	7	8	4	12	13	3	8	33	20	12	"561"	"0"	"561"	"0"
"224"	"184"	1	384	53	1	1	0	0	0	0	0	0	1	0	0	"441"	"0"	"441"	"0"
"225"	"185"	8	183	116	2	8	2	2	2	10	5	8	47	20	21	"434"	"0"	"434"	"0"
"226"	"186"	16	147	167	2	6	1	3	2	8	1	4	23	8	9	"397"	"0"	"397"	"0"
"227"	"187"	12	344	30	0	0	0	0	0	0	0	2	0	2	1	"391"	"0"	"391"	"0"
"228"	"188"	17	125	173	13	9	2	7	3	5	5	9	17	23	14	"422"	"0"	"422"	"0"
"229"	"189"	20	239	209	10	5	4	13	8	2	6	5	26	7	5	"559"	"0"	"559"	"0"
"230"	"190"	39	141	164	10	12	2	3	7	5	6	17	66	21	28	"521"	"0"	"521"	"0"
"231"	"191"	14	162	250	9	4	0	4	3	2	3	5	17	15	13	"501"	"0"	"501"	"0"
"232"	"192"	61	128	280	7	4	4	7	7	4	3	1	13	12	6	"537"	"0"	"537"	"0"
"233"	"193"	8	413	70	5	5	4	3	4	1	3	4	32	15	13	"580"	"0"	"580"	"0"
"234"	"194"	3	5	510	1	1	0	0	0	0	0	0	6	3	1	"530"	"0"	"530"	"0"
"235"	"195"	8	25	737	2	0	2	3	1	1	0	1	5	6	10	"801"	"0"	"801"	"0"
"236"	"196"	5	530	44	0	1	4	0	0	0	0	2	0	1	1	"588"	"0"	"588"	"0"
"237"	"197"	16	297	88	3	2	1	2	5	3	3	2	6	6	13	"447"	"0"	"447"	"0"
"238"	"198"	0	24	413	1	0	2	0	0	0	0	1	1	1	2	"445"	"0"	"445"	"0"
"239"	"199"	1	487	54	1	0	8	1	1	0	0	0	2	0	0	"555"	"0"	"555"	"0"
"240"	"200"	2	5	605	1	0	0	1	0	0	0	0	1	1	1	"617"	"0"	"617"	"0"
"241"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"242"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"243"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"244"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"245"	"201"	2	31	649	3	0	0	1	0	0	0	1	8	9	4	"708"	"0"	"708"	"0"
"246"	"202"	28	192	233	5	1	3	3	2	2	4	3	10	4	15	"505"	"0"	"505"	"0"
"247"	"203"	71	261	167	4	4	6	3	1	5	10	10	30	24	24	"620"	"0"	"620"	"0"
"248"	"204"	16	113	119	4	4	3	1	2	2	1	1	2	5	5	"278"	"0"	"278"	"0"
"249"	"205"	6	163	184	9	5	1	2	1	3	5	2	12	19	17	"429"	"0"	"429"	"0"
"250"	"206"	68	167	223	2	1	2	0	2	2	2	0	1	2	5	"477"	"0"	"477"	"0"
"251"	"Total No. of Votes recorded of polling stations"	5634	36204	38040	1008	936	818	563	508	914	560	826	3721	2478	2460	"94670"	"0"	"94670"	"0"
"252"	"No. of Votes Recorded on Postal Ballot Papers"	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	""	"1"	""
