"17"	""	"11"	"77"	"126"	"87"	"3"	"3"	"120"	"4"	"17"	"64"	"4"	"3"	"0"	"4"	""	"3"	"-515"	"0"	""	"-515"	"0"	""
"18"	""	"12"	"177"	"47"	"247"	"3"	"5"	"154"	"1"	"8"	"1"	"2"	"1"	"4"	"1"	""	"3"	"-654"	"0"	""	"-654"	"0"	""
"19"	""	"13"	"69"	"146"	"210"	"6"	"4"	"67"	"5"	"2"	"2"	"0"	"4"	"2"	"2"	""	"7"	"-526"	"0"	""	"-526"	"0"	""
"20"	""	"14"	"127"	"135"	"25"	"1"	"0"	"75"	"1"	"12"	"2"	"1"	"12"	"0"	"1"	""	"0"	"-392"	"0"	""	"-392"	"0"	""
"21"	"TOTAL"	""	"-2002"	"-1204"	"-1004"	"-39"	"-33"	"-1048"	"-51"	"-257"	"-190"	"-28"	"-76"	"-16"	"-26"	""	"-56"	"-6030"	"0"	""	"-6030"	"0"	""
"22"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"27"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"29"	"R
o u n d
2"	"15®"	"189"	"64"	"40"	"7"	"12"	"291"	"12"	"6"	"7"	"2"	"6"	"4"	"3"	""	"1"	"-644"	"0"	""	"-644"	"0"	""
"30"	""	"16"	"210"	"78"	"8"	"3"	"4"	"64"	"3"	"3"	"1"	"1"	"1"	"3"	"0"	""	"6"	"-385"	"0"	""	"-385"	"0"	""
"31"	""	"17"	"140"	"27"	"7"	"5"	"9"	"93"	"3"	"3"	"23"	"4"	"41"	"3"	"2"	""	"15"	"-375"	"0"	""	"-375"	"0"	""
"32"	""	"18"	"382"	"84"	"22"	"1"	"4"	"1"	"1"	"21"	"6"	"7"	"9"	"1"	"6"	""	"14"	"-559"	"0"	""	"-559"	"0"	""
"33"	""	"19"	"53"	"505"	"73"	"0"	"0"	"2"	"3"	"20"	"2"	"3"	"0"	"0"	"2"	""	"1"	"-664"	"0"	""	"-664"	"0"	""
"34"	""	"20"	"75"	"478"	"69"	"0"	"2"	"2"	"5"	"14"	"1"	"2"	"11"	"2"	"1"	""	"1"	"-663"	"0"	""	"-663"	"0"	""
"35"	""	"21"	"80"	"170"	"188"	"2"	"4"	"2"	"5"	"133"	"2"	"7"	"48"	"3"	"0"	""	"2"	"-646"	"0"	""	"-646"	"0"	""
"36"	""	"22"	"38"	"239"	"136"	"6"	"2"	"6"	"15"	"26"	"1"	"4"	"12"	"7"	"8"	""	"29"	"-529"	"0"	""	"-529"	"0"	""
"37"	""	"23"	"58"	"310"	"78"	"1"	"1"	"2"	"4"	"25"	"6"	"0"	"0"	"0"	"2"	""	"1"	"-488"	"0"	""	"-488"	"0"	""
"38"	""	"24"	"78"	"54"	"196"	"4"	"1"	"11"	"16"	"39"	"2"	"4"	"1"	"4"	"4"	""	"5"	"-419"	"0"	""	"-419"	"0"	""
"39"	""	"25"	"7"	"169"	"39"	"0"	"2"	"0"	"5"	"160"	"16"	"4"	"0"	"3"	"1"	""	"2"	"-408"	"0"	""	"-408"	"0"	""
"40"	""	"26"	"201"	"106"	"76"	"4"	"4"	"4"	"3"	"24"	"20"	"6"	"2"	"6"	"3"	""	"22"	"-481"	"0"	""	"-481"	"0"	""
"41"	""	"27"	"187"	"154"	"17"	"1"	"0"	"48"	"5"	"7"	"117"	"0"	"1"	"1"	"2"	""	"5"	"-545"	"0"	""	"-545"	"0"	""
"42"	""	"28"	"160"	"57"	"105"	"0"	"3"	"119"	"6"	"8"	"11"	"4"	"2"	"1"	"2"	""	"14"	"-492"	"0"	""	"-492"	"0"	""
"43"	"TOTAL"	""	"-1858"	"-2495"	"-1054"	"-34"	"-48"	"-645"	"-86"	"-489"	"-215"	"-48"	"-134"	"-38"	"-36"	""	"-118"	"-7298"	"0"	""	"-7298"	"0"	""
"44"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"49"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"50"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"51"	"R
o u n d
3"	"29"	"129"	"132"	"18"	"3"	"4"	"3"	"2"	"6"	"95"	"6"	"2"	"2"	"8"	""	"19"	"-429"	"0"	""	"-429"	"0"	""
"52"	""	"30"	"82"	"68"	"4"	"0"	"1"	"31"	"2"	"9"	"209"	"9"	"3"	"3"	"3"	""	"3"	"-427"	"0"	""	"-427"	"0"	""
"53"	""	"31"	"99"	"7"	"184"	"6"	"2"	"4"	"8"	"18"	"3"	"3"	"2"	"1"	"1"	""	"5"	"-343"	"0"	""	"-343"	"0"	""
"54"	""	"32"	"253"	"148"	"111"	"8"	"8"	"69"	"8"	"28"	"3"	"7"	"5"	"3"	"9"	""	"28"	"-688"	"0"	""	"-688"	"0"	""
"55"	""	"33"	"201"	"102"	"37"	"2"	"0"	"2"	"2"	"15"	"13"	"2"	"96"	"6"	"1"	""	"4"	"-483"	"0"	""	"-483"	"0"	""
"56"	""	"34"	"49"	"249"	"43"	"7"	"0"	"1"	"7"	"66"	"2"	"5"	"5"	"5"	"9"	""	"20"	"-468"	"0"	""	"-468"	"0"	""
"57"	""	"35"	"114"	"268"	"50"	"2"	"3"	"8"	"1"	"14"	"29"	"7"	"59"	"9"	"6"	""	"5"	"-575"	"0"	""	"-575"	"0"	""
"58"	""	"36"	"69"	"147"	"24"	"2"	"1"	"3"	"3"	"3"	"76"	"2"	"24"	"3"	"1"	""	"2"	"-360"	"0"	""	"-360"	"0"	""
"59"	""	"37 ®"	"186"	"268"	"38"	"0"	"3"	"10"	"8"	"5"	"1"	"2"	"3"	"4"	"14"	""	"14"	"-556"	"0"	""	"-556"	"0"	""
"60"	""	"38"	"362"	"63"	"138"	"4"	"5"	"25"	"9"	"11"	"5"	"4"	"45"	"5"	"0"	""	"7"	"-683"	"0"	""	"-683"	"0"	""
"61"	""	"39"	"155"	"107"	"7"	"2"	"5"	"138"	"2"	"4"	"1"	"1"	"27"	"1"	"0"	""	"0"	"-450"	"0"	""	"-450"	"0"	""
"62"	""	"40"	"171"	"86"	"28"	"3"	"3"	"15"	"2"	"36"	"1"	"1"	"106"	"13"	"7"	""	"3"	"-475"	"0"	""	"-475"	"0"	""
"63"	""	"41"	"314"	"49"	"18"	"0"	"5"	"15"	"3"	"7"	"1"	"2"	"9"	"4"	"5"	""	"14"	"-446"	"0"	""	"-446"	"0"	""
"64"	""	"42"	"184"	"61"	"3"	"0"	"1"	"94"	"2"	"8"	"0"	"0"	"39"	"3"	"1"	""	"2"	"-398"	"0"	""	"-398"	"0"	""
"65"	"TOTAL"	""	"-2368"	"-1755"	"-703"	"-39"	"-41"	"-418"	"-59"	"-230"	"-439"	"-51"	"-425"	"-62"	"-65"	""	"-126"	"-6781"	"0"	""	"-6781"	"0"	""
"66"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"71"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"72"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"73"	"R
o u n d
4"	"43"	"25"	"118"	"17"	"0"	"2"	"33"	"2"	"4"	"0"	"1"	"33"	"2"	"2"	""	"1"	"-240"	"0"	""	"-240"	"0"	""
"74"	""	"44"	"26"	"530"	"42"	"3"	"0"	"2"	"1"	"5"	"4"	"9"	"117"	"7"	"0"	""	"0"	"-746"	"0"	""	"-746"	"0"	""
"75"	""	"45"	"54"	"59"	"73"	"1"	"0"	"1"	"5"	"5"	"1"	"0"	"170"	"2"	"0"	""	"1"	"-372"	"0"	""	"-372"	"0"	""
"76"	""	"46"	"18"	"501"	"73"	"2"	"0"	"6"	"4"	"7"	"3"	"3"	"8"	"1"	"4"	""	"3"	"-633"	"0"	""	"-633"	"0"	""
"77"	""	"47"	"8"	"327"	"10"	"0"	"1"	"72"	"1"	"12"	"5"	"0"	"2"	"0"	"1"	""	"1"	"-440"	"0"	""	"-440"	"0"	""
"78"	""	"48"	"112"	"71"	"39"	"2"	"4"	"211"	"6"	"2"	"2"	"5"	"0"	"0"	"1"	""	"0"	"-455"	"0"	""	"-455"	"0"	""
"79"	""	"49"	"3"	"360"	"47"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"34"	"1"	"0"	""	"1"	"-448"	"0"	""	"-448"	"0"	""
"80"	""	"50"	"65"	"582"	"9"	"1"	"0"	"2"	"4"	"8"	"1"	"1"	"91"	"12"	"2"	""	"2"	"-780"	"0"	""	"-780"	"0"	""
"81"	""	"51"	"33"	"31"	"39"	"4"	"1"	"0"	"2"	"6"	"0"	"1"	"219"	"4"	"1"	""	"2"	"-343"	"0"	""	"-343"	"0"	""
"82"	""	"52"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"771"	"4"	"1"	""	"2"	"-801"	"0"	""	"-801"	"0"	""
"83"	""	"53"	"213"	"5"	"4"	"0"	"1"	"27"	"1"	"103"	"0"	"2"	"3"	"0"	"0"	""	"0"	"-359"	"0"	""	"-359"	"0"	""
"84"	""	"54"	"70"	"292"	"24"	"0"	"1"	"53"	"3"	"48"	"2"	"1"	"0"	"0"	"2"	""	"1"	"-497"	"0"	""	"-497"	"0"	""
"85"	""	"55"	"66"	"299"	"79"	"2"	"2"	"3"	"12"	"81"	"2"	"11"	"2"	"4"	"4"	""	"1"	"-568"	"0"	""	"-568"	"0"	""
"86"	""	"56"	"74"	"175"	"183"	"6"	"2"	"10"	"4"	"35"	"3"	"6"	"25"	"1"	"2"	""	"3"	"-529"	"0"	""	"-529"	"0"	""
"87"	"TOTAL"	""	"-771"	"-3369"	"-639"	"-21"	"-14"	"-420"	"-45"	"-318"	"-23"	"-40"	"-1475"	"-38"	"-20"	""	"-18"	"-7211"	"0"	""	"-7211"	"0"	""
"88"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"93"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"94"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"95"	"R
o u n d
5"	"57"	"216"	"164"	"12"	"2"	"0"	"5"	"5"	"2"	"1"	"0"	"4"	"0"	"1"	""	"0"	"-412"	"0"	""	"-412"	"0"	""
"96"	""	"58"	"232"	"91"	"59"	"1"	"1"	"2"	"3"	"2"	"9"	"2"	"3"	"1"	"0"	""	"1"	"-407"	"0"	""	"-407"	"0"	""
"97"	""	"59"	"103"	"55"	"149"	"3"	"3"	"14"	"2"	"2"	"0"	"1"	"1"	"3"	"1"	""	"7"	"-344"	"0"	""	"-344"	"0"	""
"98"	""	"60"	"22"	"101"	"189"	"6"	"1"	"1"	"5"	"9"	"1"	"2"	"2"	"3"	"0"	""	"5"	"-347"	"0"	""	"-347"	"0"	""
"99"	""	"61"	"140"	"75"	"146"	"4"	"0"	"1"	"3"	"2"	"0"	"1"	"3"	"2"	"1"	""	"1"	"-379"	"0"	""	"-379"	"0"	""
"100"	""	"62"	"232"	"89"	"219"	"8"	"8"	"16"	"15"	"5"	"24"	"2"	"19"	"2"	"0"	""	"13"	"-652"	"0"	""	"-652"	"0"	""
"101"	""	"63"	"2"	"798"	"23"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	""	"0"	"-826"	"0"	""	"-826"	"0"	""
"102"	""	"64"	"82"	"506"	"75"	"4"	"2"	"3"	"2"	"20"	"0"	"3"	"3"	"2"	"0"	""	"3"	"-705"	"0"	""	"-705"	"0"	""
"103"	""	"65"	"117"	"119"	"1"	"1"	"2"	"7"	"0"	"9"	"0"	"1"	"118"	"4"	"1"	""	"2"	"-382"	"0"	""	"-382"	"0"	""
"104"	""	"66"	"433"	"17"	"3"	"2"	"3"	"68"	"3"	"1"	"4"	"1"	"59"	"6"	"1"	""	"6"	"-607"	"0"	""	"-607"	"0"	""
"105"	""	"67"	"44"	"283"	"1"	"0"	"0"	"6"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	""	"1"	"-340"	"0"	""	"-340"	"0"	""
"106"	""	"68"	"279"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"290"	"4"	"0"	""	"2"	"-578"	"0"	""	"-578"	"0"	""
"107"	""	"69"	"48"	"68"	"293"	"1"	"1"	"3"	"3"	"3"	"2"	"0"	"0"	"1"	"2"	""	"7"	"-432"	"0"	""	"-432"	"0"	""
"108"	""	"70"	"160"	"159"	"94"	"4"	"1"	"7"	"3"	"6"	"0"	"3"	"0"	"2"	"2"	""	"2"	"-443"	"0"	""	"-443"	"0"	""
"109"	"TOTAL"	""	"-2110"	"-2526"	"-1264"	"-36"	"-22"	"-133"	"-44"	"-67"	"-42"	"-16"	"-504"	"-31"	"-9"	""	"-50"	"-6854"	"0"	""	"-6854"	"0"	""
"110"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"115"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"116"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"117"	"R
o u n d
6"	"71"	"21"	"161"	"81"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"-267"	"0"	""	"-267"	"0"	""
"118"	""	"72"	"61"	"271"	"155"	"2"	"2"	"22"	"6"	"9"	"2"	"1"	"1"	"2"	"1"	""	"2"	"-537"	"0"	""	"-537"	"0"	""
"119"	""	"73"	"243"	"70"	"83"	"2"	"0"	"3"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	""	"3"	"-410"	"0"	""	"-410"	"0"	""
"120"	""	"74"	"96"	"100"	"22"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	""	"0"	"-224"	"0"	""	"-224"	"0"	""
"121"	""	"75"	"39"	"163"	"102"	"0"	"2"	"1"	"0"	"3"	"1"	"0"	"4"	"0"	"0"	""	"1"	"-316"	"0"	""	"-316"	"0"	""
"122"	""	"76"	"32"	"274"	"129"	"2"	"0"	"0"	"1"	"0"	"27"	"0"	"1"	"1"	"4"	""	"0"	"-471"	"0"	""	"-471"	"0"	""
"123"	""	"77"	"4"	"370"	"140"	"1"	"0"	"1"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	""	"0"	"-525"	"0"	""	"-525"	"0"	""
"124"	""	"78"	"508"	"9"	"144"	"2"	"0"	"0"	"1"	"3"	"4"	"0"	"3"	"1"	"0"	""	"0"	"-675"	"0"	""	"-675"	"0"	""
"125"	""	"79"	"97"	"87"	"139"	"2"	"3"	"0"	"4"	"5"	"4"	"2"	"2"	"1"	"3"	""	"7"	"-356"	"0"	""	"-356"	"0"	""
"126"	""	"80"	"120"	"363"	"3"	"0"	"0"	"1"	"4"	"2"	"0"	"0"	"6"	"0"	"2"	""	"2"	"-503"	"0"	""	"-503"	"0"	""
"127"	""	"81"	"201"	"180"	"142"	"2"	"1"	"3"	"2"	"0"	"0"	"2"	"6"	"0"	"0"	""	"4"	"-543"	"0"	""	"-543"	"0"	""
"128"	""	"82"	"197"	"155"	"50"	"0"	"1"	"17"	"0"	"0"	"0"	"0"	"15"	"0"	"1"	""	"1"	"-437"	"0"	""	"-437"	"0"	""
"129"	""	"83"	"131"	"238"	"9"	"1"	"0"	"4"	"0"	"18"	"16"	"0"	"5"	"3"	"1"	""	"6"	"-432"	"0"	""	"-432"	"0"	""
"130"	""	"84"	"48"	"224"	"39"	"0"	"2"	"3"	"4"	"3"	"0"	"3"	"57"	"5"	"2"	""	"0"	"-390"	"0"	""	"-390"	"0"	""
"131"	"TOTAL"	""	"-1798"	"-2665"	"-1238"	"-15"	"-13"	"-58"	"-24"	"-48"	"-64"	"-8"	"-102"	"-13"	"-14"	""	"-26"	"-6086"	"0"	""	"-6086"	"0"	""
"132"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"137"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"138"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"139"	"R
o u n d
7"	"85"	"84"	"79"	"4"	"2"	"1"	"5"	"4"	"13"	"1"	"2"	"28"	"3"	"4"	""	"6"	"-236"	"0"	""	"-236"	"0"	""
