"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"21"	"11"	"11"	"14"	"13"	"1"	"2"	"85"	"0"	"0"	"0"	"490"	"4"	"0"	"1"	"0"	"1"	"1"	"612"	"0"	"612"	"0"
"22"	"12"	"12"	"0"	"0"	"2"	"0"	"21"	"1"	"0"	"2"	"399"	"5"	"0"	"0"	"0"	"1"	"0"	"431"	"0"	"431"	"0"
"23"	"13"	"13"	"31"	"29"	"4"	"0"	"9"	"0"	"0"	"5"	"585"	"6"	"0"	"0"	"0"	"0"	"0"	"669"	"0"	"669"	"0"
"24"	"14"	"14"	"134"	"3"	"1"	"19"	"11"	"0"	"3"	"0"	"218"	"4"	"1"	"0"	"2"	"1"	"8"	"405"	"0"	"405"	"0"
"25"	"Total Votes Polled"	""	"343"	"228"	"303"	"35"	"828"	"16"	"22"	"35"	"5286"	"53"	"8"	"11"	"18"	"13"	"34"	"7233"	"0"	"7233"	"0"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"1"	"15"	"16"	"3"	"16"	""	"5"	"0"	"0"	"2"	"480"	"4"	"0"	"1"	"1"	"1"	"4"	"533"	"0"	"533"	"0"
"40"	"2"	"16R"	"28"	"5"	"5"	"0"	"5"	"0"	"1"	"4"	"99"	"5"	"4"	"0"	"1"	"1"	"3"	"161"	"0"	"161"	"0"
"41"	"3"	"17"	"20"	"63"	"16"	"2"	"59"	"3"	"2"	"15"	"250"	"8"	"2"	"2"	"1"	"0"	"2"	"445"	"0"	"445"	"0"
"42"	"4"	"18"	"46"	"128"	"18"	"4"	"79"	"3"	"9"	"6"	"139"	"17"	"8"	"0"	"4"	"4"	"6"	"471"	"0"	"471"	"0"
"43"	"5"	"19"	"32"	"142"	"7"	"5"	"33"	"2"	"7"	"7"	"258"	"6"	"3"	"0"	"3"	"5"	"5"	"515"	"0"	"515"	"0"
"44"	"6"	"20"	"9"	"4"	"6"	"0"	"12"	"0"	"0"	"0"	"517"	"1"	"1"	"1"	"0"	"1"	"2"	"554"	"0"	"554"	"0"
"45"	"7"	"21"	"67"	"130"	"14"	"5"	"22"	"2"	"14"	"13"	"267"	"1"	"3"	"0"	"0"	"9"	"7"	"554"	"0"	"554"	"0"
"46"	"8"	"22"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"601"	"2"	"0"	"0"	"1"	"0"	"0"	"611"	"0"	"611"	"0"
"47"	"9"	"22A"	"2"	"0"	"0"	"0"	"5"	"0"	"0"	"2"	"649"	"3"	"0"	"0"	"0"	"0"	"0"	"661"	"0"	"661"	"0"
"48"	"10"	"23"	"35"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"807"	"1"	"0"	"0"	"1"	"0"	"1"	"851"	"0"	"851"	"0"
"49"	"11"	"24"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"2"	"892"	"1"	"0"	"0"	"0"	"0"	"0"	"901"	"0"	"901"	"0"
"50"	"12"	"25R"	"12"	"97"	"3"	"0"	"8"	"0"	"1"	"2"	"282"	"1"	"1"	"0"	"2"	"2"	"2"	"413"	"0"	"413"	"0"
"51"	"13"	"26"	"14"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"619"	"3"	"0"	"0"	"0"	"0"	"0"	"641"	"0"	"641"	"0"
"52"	"14"	"27"	"65"	"3"	"15"	"0"	"7"	"0"	"0"	"2"	"468"	"0"	"0"	"0"	"1"	"0"	"0"	"561"	"0"	"561"	"0"
"53"	"Total Votes Polled"	""	"347"	"579"	"102"	"18"	"249"	"10"	"34"	"56"	"6328"	"53"	"22"	"4"	"15"	"23"	"32"	"7872"	"0"	"7872"	"0"
"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"66"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"1"	"28"	"133"	"8"	"2"	"0"	"19"	"2"	"1"	"5"	"458"	"6"	"1"	"0"	"1"	"0"	"6"	"642"	"0"	"642"	"0"
"68"	"2"	"29"	"48"	"7"	"83"	"0"	"14"	"0"	"3"	"10"	"260"	"5"	"3"	"0"	"0"	"1"	"2"	"436"	"0"	"436"	"0"
"69"	"3"	"30"	"100"	"9"	"9"	"1"	"63"	"5"	"1"	"4"	"220"	"8"	"4"	"1"	"2"	"2"	"6"	"435"	"0"	"435"	"0"
"70"	"4"	"31"	"24"	"1"	"5"	"1"	"5"	"0"	"0"	"0"	"714"	"1"	"0"	"0"	"0"	"0"	"0"	"751"	"0"	"751"	"0"
"71"	"5"	"32"	"83"	"5"	"0"	"0"	"16"	"0"	"1"	"1"	"371"	"2"	"1"	"0"	"0"	"0"	"1"	"481"	"0"	"481"	"0"
"72"	"6"	"33R"	"5"	"8"	"3"	"3"	"19"	"2"	"3"	"3"	"412"	"9"	"1"	"0"	"0"	"2"	"9"	"479"	"0"	"479"	"0"
"73"	"7"	"34"	"29"	"25"	"1"	"0"	"8"	"0"	"0"	"0"	"259"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"0"	"322"	"0"
"74"	"8"	"35"	"27"	"101"	"1"	"0"	"4"	"0"	"0"	"1"	"499"	"2"	"0"	"1"	"0"	"0"	"0"	"636"	"0"	"636"	"0"
"75"	"9"	"36"	"12"	"4"	"0"	"0"	"4"	"0"	"0"	"1"	"583"	"0"	"0"	"0"	"0"	"0"	"0"	"604"	"0"	"604"	"0"
"76"	"10"	"37"	"13"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"619"	"1"	"0"	"0"	"0"	"0"	"0"	"640"	"0"	"640"	"0"
"77"	"11"	"38"	"173"	"65"	"2"	"0"	"9"	"2"	"3"	"5"	"348"	"4"	"2"	"1"	"0"	"1"	"3"	"618"	"0"	"618"	"0"
"78"	"12"	"39"	"105"	"7"	"0"	"1"	"7"	"1"	"2"	"0"	"386"	"1"	"1"	"0"	"0"	"0"	"0"	"511"	"0"	"511"	"0"
"79"	"13"	"40"	"52"	"7"	"10"	"3"	"8"	"0"	"0"	"0"	"478"	"1"	"2"	"1"	"1"	"1"	"2"	"566"	"0"	"566"	"0"
"80"	"14"	"41"	"123"	"7"	"4"	"0"	"6"	"1"	"0"	"2"	"141"	"1"	"3"	"2"	"3"	"2"	"5"	"300"	"0"	"300"	"0"
"81"	"Total Votes Polled"	""	"927"	"258"	"120"	"9"	"185"	"13"	"14"	"32"	"5748"	"41"	"18"	"6"	"7"	"9"	"34"	"7421"	"0"	"7421"	"0"
"82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"93"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"1"	"42"	"83"	"10"	"1"	"6"	"52"	"4"	"1"	"2"	"130"	"9"	"3"	"4"	"1"	"4"	"4"	"314"	"0"	"314"	"0"
"96"	"2"	"43"	"24"	"20"	"0"	"0"	"7"	"2"	"1"	"3"	"482"	"5"	"1"	"2"	"1"	"2"	"2"	"552"	"0"	"552"	"0"
"97"	"3"	"44"	"2"	"15"	"7"	"1"	"1"	"0"	"2"	"1"	"428"	"2"	"0"	"0"	"0"	"0"	"1"	"460"	"0"	"460"	"0"
"98"	"4"	"45"	"33"	"52"	"1"	"2"	"3"	"0"	"0"	"3"	"281"	"0"	"0"	"0"	"0"	"0"	"0"	"375"	"0"	"375"	"0"
"99"	"5"	"46"	"25"	"93"	"1"	"2"	"7"	"2"	"3"	"8"	"688"	"3"	"1"	"0"	"2"	"4"	"2"	"841"	"0"	"841"	"0"
"100"	"6"	"47"	"16"	"73"	"2"	"1"	"16"	"1"	"4"	"3"	"611"	"2"	"0"	"2"	"0"	"0"	"2"	"733"	"0"	"733"	"0"
"101"	"7"	"48"	"98"	"19"	"4"	"0"	"21"	"1"	"8"	"2"	"211"	"4"	"0"	"1"	"1"	"3"	"11"	"384"	"0"	"384"	"0"
"102"	"8"	"49"	"18"	"3"	"0"	"1"	"9"	"1"	"2"	"6"	"454"	"2"	"0"	"0"	"2"	"2"	"4"	"504"	"0"	"504"	"0"
"103"	"9"	"50"	"13"	"2"	"11"	"2"	"22"	"3"	"4"	"6"	"318"	"12"	"1"	"1"	"1"	"1"	"15"	"412"	"0"	"412"	"0"
"104"	"10"	"51"	"104"	"3"	"15"	"4"	"12"	"7"	"10"	"12"	"298"	"12"	"3"	"2"	"4"	"6"	"17"	"509"	"0"	"509"	"0"
"105"	"11"	"52"	"12"	"3"	"13"	"0"	"3"	"0"	"1"	"1"	"298"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"0"	"331"	"0"
"106"	"12"	"53"	"20"	"110"	"7"	"1"	"20"	"1"	"1"	"8"	"274"	"4"	"2"	"0"	"3"	"6"	"3"	"460"	"0"	"460"	"0"
"107"	"13"	"54"	"26"	"6"	"13"	"2"	"25"	"3"	"5"	"4"	"334"	"3"	"2"	"0"	"1"	"1"	"2"	"427"	"0"	"427"	"0"
"108"	"14"	"55"	"15"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"604"	"0"	"0"	"0"	"0"	"0"	"0"	"621"	"0"	"621"	"0"
"109"	"Total Votes Polled"	""	"489"	"410"	"75"	"22"	"199"	"25"	"42"	"59"	"5411"	"58"	"13"	"12"	"16"	"29"	"63"	"6923"	"0"	"6923"	"0"
"110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"121"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"1"	"56"	"41"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"582"	"3"	"0"	"0"	"0"	"0"	"0"	"631"	"0"	"631"	"0"
"124"	"2"	"57"	"177"	"11"	"12"	"5"	"38"	"4"	"7"	"7"	"192"	"6"	"2"	"2"	"2"	"3"	"19"	"487"	"0"	"487"	"0"
"125"	"3"	"58"	"25"	"5"	"21"	"7"	"42"	"11"	"13"	"16"	"196"	"20"	"1"	"8"	"3"	"3"	"16"	"387"	"0"	"387"	"0"
"126"	"4"	"59"	"11"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"449"	"1"	"0"	"0"	"0"	"0"	"0"	"465"	"0"	"465"	"0"
"127"	"5"	"60"	"18"	"5"	"0"	"1"	"29"	"1"	"3"	"1"	"95"	"9"	"1"	"1"	"0"	"2"	"8"	"174"	"0"	"174"	"0"
"128"	"6"	"61"	"101"	"16"	"0"	"1"	"9"	"1"	"1"	"3"	"784"	"2"	"0"	"0"	"0"	"0"	"3"	"921"	"0"	"921"	"0"
"129"	"7"	"62"	"100"	"6"	"0"	"2"	"51"	"1"	"2"	"5"	"172"	"7"	"1"	"5"	"1"	"0"	"4"	"357"	"0"	"357"	"0"
"130"	"8"	"63R"	"7"	"22"	"1"	"2"	"31"	"2"	"6"	"11"	"199"	"8"	"3"	"0"	"4"	"1"	"1"	"298"	"0"	"298"	"0"
"131"	"9"	"64"	"27"	"180"	"8"	"2"	"30"	"2"	"2"	"4"	"48"	"4"	"1"	"3"	"2"	"9"	"9"	"331"	"0"	"331"	"0"
"132"	"10"	"65"	"78"	"9"	"4"	"1"	"36"	"7"	"6"	"16"	"207"	"5"	"3"	"5"	"3"	"3"	"21"	"404"	"0"	"404"	"0"
"133"	"11"	"66"	"13"	"198"	"3"	"2"	"6"	"2"	"2"	"3"	"287"	"2"	"0"	"2"	"1"	"1"	"0"	"522"	"0"	"522"	"0"
"134"	"12"	"67"	"3"	"25"	"0"	"0"	"11"	"0"	"0"	"4"	"515"	"1"	"0"	"0"	"0"	"0"	"0"	"559"	"0"	"559"	"0"
"135"	"13"	"68R"	"23"	"58"	"6"	"2"	"100"	"5"	"4"	"13"	"183"	"12"	"8"	"6"	"1"	"8"	"13"	"442"	"0"	"442"	"0"
"136"	"14"	"69"	"10"	"24"	"45"	"29"	"67"	"4"	"3"	"13"	"170"	"8"	"3"	"2"	"2"	"4"	"8"	"392"	"0"	"392"	"0"
"137"	"Total Votes Polled"	""	"634"	"561"	"100"	"54"	"456"	"40"	"49"	"97"	"4079"	"88"	"23"	"34"	"19"	"34"	"102"	"6370"	"0"	"6370"	"0"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"150"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"1"	"69A"	"33"	"32"	"26"	"21"	"49"	"2"	"4"	"11"	"132"	"9"	"6"	"5"	"4"	"9"	"16"	"359"	"0"	"359"	"0"
"152"	"2"	"70"	"40"	"1"	"6"	"6"	"16"	"3"	"12"	"11"	"356"	"8"	"3"	"3"	"2"	"4"	"30"	"501"	"0"	"501"	"0"
"153"	"3"	"71"	"47"	"138"	"96"	"11"	"37"	"6"	"11"	"20"	"106"	"9"	"11"	"5"	"10"	"3"	"15"	"525"	"0"	"525"	"0"
"154"	"4"	"72"	"170"	"72"	"15"	"3"	"11"	"5"	"4"	"2"	"28"	"5"	"8"	"3"	"11"	"7"	"16"	"360"	"0"	"360"	"0"
"155"	"5"	"73"	"99"	"87"	"9"	"6"	"34"	"8"	"2"	"10"	"148"	"9"	"3"	"1"	"3"	"6"	"11"	"436"	"0"	"436"	"0"
"156"	"6"	"74"	"56"	"44"	"62"	"6"	"40"	"8"	"12"	"12"	"62"	"5"	"1"	"1"	"4"	"4"	"11"	"328"	"0"	"328"	"0"
"157"	"7"	"75"	"53"	"52"	"9"	"1"	"21"	"1"	"5"	"12"	"311"	"9"	"1"	"3"	"10"	"5"	"13"	"506"	"0"	"506"	"0"
"158"	"8"	"76"	"87"	"126"	"6"	"3"	"20"	"2"	"9"	"9"	"71"	"2"	"4"	"4"	"3"	"9"	"14"	"369"	"0"	"369"	"0"
"159"	"9"	"77"	"37"	"77"	"8"	"3"	"37"	"7"	"6"	"8"	"155"	"7"	"2"	"2"	"1"	"5"	"13"	"368"	"0"	"368"	"0"
"160"	"10"	"78R"	"22"	"165"	"42"	"2"	"22"	"5"	"3"	"10"	"137"	"7"	"5"	"6"	"6"	"11"	"7"	"450"	"0"	"450"	"0"
"161"	"11"	"79"	"27"	"72"	"7"	"3"	"12"	"4"	"9"	"12"	"83"	"7"	"2"	"1"	"5"	"5"	"12"	"261"	"0"	"261"	"0"
