"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"67"	"53"	"195"	"7"	"55"	"3"	"6"	"3"	"3"	"56"	"4"	"8"	"5"	"6"	"2"	"7"	"10"	"19"	"1"	"1"	"1"	"30"	"422"	""	"422"	""
"68"	"54"	"223"	"28"	"14"	"4"	"4"	"1"	"4"	"122"	"2"	"1"	"2"	"10"	"1"	"2"	"2"	"27"	"5"	"1"	"2"	"5"	"460"	""	"460"	""
"69"	"55"	"15"	"53"	"65"	"2"	"2"	"0"	"26"	"10"	"1"	"1"	"1"	"2"	"2"	"3"	"4"	"5"	"9"	"4"	"9"	"134"	"348"	""	"348"	""
"70"	"56"	"58"	"11"	"172"	"0"	"1"	"3"	"18"	"14"	"3"	"5"	"3"	"13"	"7"	"23"	"9"	"16"	"8"	"6"	"13"	"39"	"422"	""	"422"	""
"71"	"Total Round 4"	"818"	"232"	"736"	"37"	"31"	"60"	"117"	"632"	"31"	"65"	"41"	"970"	"56"	"66"	"83"	"535"	"72"	"625"	"70"	"743"	"6020"	"0"	"6020"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"73"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"75"	"57"	"0"	"1"	"188"	"5"	"4"	"1"	"144"	"2"	"1"	"0"	"3"	"1"	"2"	"8"	"0"	"3"	"1"	"3"	"1"	"17"	"385"	""	"385"	""
"76"	"58"	"28"	"0"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"6"	"3"	"1"	"554"	"603"	""	"603"	""
"77"	"59"	"15"	"0"	"6"	"0"	"1"	"0"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"4"	"665"	"705"	""	"705"	""
"78"	"60"	"13"	"414"	"20"	"6"	"2"	"0"	"10"	"0"	"0"	"0"	"1"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"477"	""	"477"	""
"79"	"61"	"89"	"210"	"0"	"0"	"64"	"1"	"1"	"5"	"1"	"1"	"0"	"27"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"402"	""	"402"	""
"80"	"62"	"107"	"205"	"2"	"0"	"36"	"2"	"1"	"1"	"0"	"2"	"0"	"16"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"377"	""	"377"	""
"81"	"63"	"183"	"3"	"3"	"1"	"0"	"1"	"0"	"232"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"13"	"445"	""	"445"	""
"82"	"64"	"53"	"45"	"0"	"0"	"22"	"0"	"3"	"255"	"6"	"2"	"2"	"67"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"460"	""	"460"	""
"83"	"65"	"15"	"17"	"14"	"0"	"44"	"0"	"6"	"11"	"2"	"93"	"1"	"4"	"4"	"0"	"1"	"2"	"6"	"4"	"3"	"63"	"290"	""	"290"	""
"84"	"66"	"17"	"7"	"361"	"3"	"3"	"6"	"44"	"16"	"1"	"0"	"1"	"2"	"1"	"2"	"5"	"2"	"3"	"11"	"1"	"77"	"563"	""	"563"	""
"85"	"67"	"4"	"3"	"280"	"7"	"2"	"2"	"1"	"5"	"1"	"6"	"0"	"3"	"5"	"6"	"7"	"18"	"9"	"3"	"4"	"168"	"534"	""	"534"	""
"86"	"68"	"53"	"10"	"34"	"12"	"40"	"7"	"11"	"7"	"6"	"6"	"7"	"4"	"3"	"9"	"13"	"22"	"18"	"27"	"50"	"141"	"480"	""	"480"	""
"87"	"69"	"348"	"54"	"3"	"0"	"3"	"0"	"1"	"35"	"1"	"3"	"0"	"221"	"2"	"0"	"1"	"4"	"8"	"0"	"1"	"2"	"687"	""	"687"	""
"88"	"70"	"230"	"9"	"7"	"1"	"0"	"0"	"0"	"76"	"3"	"8"	"0"	"24"	"4"	"0"	"3"	"4"	"0"	"0"	"0"	"9"	"378"	""	"378"	""
"89"	"Total Round 5"	"1155"	"978"	"920"	"35"	"221"	"20"	"222"	"659"	"22"	"123"	"15"	"387"	"21"	"26"	"34"	"60"	"60"	"52"	"66"	"1710"	"6786"	"0"	"6786"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"91"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"93"	"71"	"40"	"8"	"73"	"9"	"6"	"2"	"1"	"6"	"0"	"2"	"0"	"11"	"40"	"4"	"3"	"8"	"8"	"6"	"1"	"78"	"306"	""	"306"	""
"94"	"72"	"79"	"2"	"50"	"2"	"2"	"0"	"2"	"2"	"4"	"0"	"0"	"19"	"59"	"6"	"1"	"5"	"12"	"7"	"3"	"213"	"468"	""	"468"	""
"95"	"73"	"5"	"8"	"372"	"3"	"2"	"0"	"2"	"0"	"0"	"2"	"1"	"2"	"7"	"4"	"3"	"9"	"4"	"11"	"2"	"99"	"536"	""	"536"	""
"96"	"74"	"344"	"20"	"8"	"2"	"1"	"5"	"0"	"41"	"2"	"5"	"3"	"114"	"7"	"4"	"6"	"8"	"11"	"6"	"2"	"52"	"641"	""	"641"	""
"97"	"75"	"235"	"12"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"2"	"265"	""	"265"	""
"98"	"76"	"113"	"1"	"8"	"3"	"0"	"0"	"12"	"0"	"1"	"0"	"0"	"5"	"4"	"0"	"0"	"73"	"1"	"0"	"0"	"147"	"368"	""	"368"	""
"99"	"77"	"59"	"3"	"46"	"4"	"1"	"2"	"6"	"7"	"2"	"3"	"1"	"15"	"31"	"1"	"4"	"57"	"8"	"5"	"3"	"46"	"304"	""	"304"	""
"100"	"78"	"7"	"6"	"52"	"0"	"0"	"1"	"207"	"3"	"6"	"0"	"0"	"0"	"3"	"1"	"5"	"2"	"2"	"9"	"2"	"29"	"335"	""	"335"	""
"101"	"79"	"8"	"20"	"33"	"1"	"0"	"10"	"231"	"9"	"5"	"2"	"5"	"1"	"48"	"4"	"4"	"8"	"1"	"2"	"3"	"23"	"418"	""	"418"	""
"102"	"80"	"55"	"0"	"19"	"1"	"1"	"2"	"1"	"6"	"0"	"2"	"2"	"4"	"2"	"1"	"2"	"8"	"18"	"3"	"16"	"321"	"464"	""	"464"	""
"103"	"81"	"39"	"9"	"126"	"25"	"3"	"9"	"7"	"7"	"6"	"0"	"2"	"7"	"2"	"17"	"11"	"19"	"20"	"4"	"19"	"132"	"464"	""	"464"	""
"104"	"82"	"8"	"1"	"396"	"4"	"0"	"2"	"1"	"6"	"0"	"4"	"0"	"13"	"0"	"0"	"4"	"4"	"0"	"5"	"0"	"15"	"463"	""	"463"	""
"105"	"83"	"28"	"0"	"21"	"15"	"0"	"1"	"66"	"1"	"0"	"1"	"13"	"1"	"0"	"1"	"0"	"2"	"1"	"12"	"36"	"198"	"397"	""	"397"	""
"106"	"84"	"65"	"2"	"1"	"0"	"1"	"0"	"7"	"3"	"0"	"1"	"2"	"505"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"596"	""	"596"	""
"107"	"Total Round 6"	"1085"	"92"	"1205"	"70"	"18"	"34"	"543"	"94"	"26"	"23"	"29"	"702"	"205"	"43"	"43"	"207"	"91"	"71"	"87"	"1357"	"6025"	"0"	"6025"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"109"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"111"	"85"	"68"	"12"	"13"	"1"	"3"	"0"	"3"	"41"	"1"	"10"	"6"	"154"	"2"	"2"	"4"	"15"	"8"	"2"	"5"	"107"	"457"	""	"457"	""
"112"	"86"	"164"	"10"	"1"	"0"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"216"	"2"	"0"	"1"	"3"	"2"	"2"	"1"	"2"	"416"	""	"416"	""
"113"	"87"	"83"	"8"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"254"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"353"	""	"353"	""
"114"	"88"	"129"	"6"	"0"	"0"	"0"	"2"	"16"	"24"	"3"	"10"	"2"	"282"	"3"	"0"	"1"	"9"	"0"	"0"	"1"	"1"	"489"	""	"489"	""
"115"	"89"	"180"	"3"	"102"	"0"	"1"	"2"	"3"	"23"	"0"	"0"	"12"	"2"	"2"	"2"	"2"	"7"	"0"	"0"	"1"	"171"	"513"	""	"513"	""
"116"	"90"	"47"	"1"	"6"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"144"	"4"	"1"	"0"	"3"	"7"	"4"	"0"	"11"	"127"	"361"	""	"361"	""
"117"	"91"	"48"	"1"	"33"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"84"	"37"	"218"	""	"218"	""
"118"	"92"	"103"	"3"	"60"	"0"	"2"	"1"	"74"	"0"	"2"	"0"	"3"	"107"	"1"	"2"	"0"	"5"	"4"	"8"	"6"	"23"	"404"	""	"404"	""
"119"	"93"	"15"	"0"	"53"	"18"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"19"	"100"	"212"	""	"212"	""
