"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"27"	"18"	"2"	"7"	"55"	"280"	"6"	"0"	"350"	""	"350"	""
"28"	"19"	"4"	"20"	"17"	"536"	"9"	"4"	"590"	""	"590"	""
"29"	"20"	"11"	"21"	"100"	"791"	"14"	"17"	"954"	""	"954"	""
"30"	"21"	"3"	"54"	"73"	"212"	"7"	"14"	"363"	""	"363"	""
"31"	"22"	"1"	"5"	"14"	"587"	"6"	"1"	"614"	""	"614"	""
"32"	"23"	"0"	"4"	"20"	"844"	"4"	"1"	"873"	""	"873"	""
"33"	"24"	"9"	"11"	"59"	"569"	"15"	"9"	"672"	""	"672"	""
"34"	"25"	"3"	"2"	"13"	"341"	"8"	"0"	"367"	""	"367"	""
"35"	"26"	"6"	"1"	"7"	"379"	"8"	"9"	"410"	""	"410"	""
"36"	"27"	"46"	"34"	"56"	"432"	"30"	"30"	"628"	""	"628"	""
"37"	"28"	"4"	"174"	"30"	"316"	"7"	"5"	"536"	""	"536"	""
"38"	"Page Total"	"372"	"1322"	"1330"	"10913"	"372"	"388"	"14697"	"0"	"14697"	"0"
"39"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"40"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"42"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"43"	"B.F."	"372"	"1322"	"1330"	"10913"	"372"	"388"	"14697"	"0"	"14697"	"0"
"44"	"29"	"3"	"0"	"14"	"782"	"2"	"0"	"801"	""	"801"	""
"45"	"30"	"2"	"1"	"20"	"684"	"6"	"1"	"714"	""	"714"	""
"46"	"31"	"13"	"7"	"23"	"499"	"10"	"9"	"561"	""	"561"	""
"47"	"32"	"0"	"7"	"5"	"585"	"1"	"0"	"598"	""	"598"	""
"48"	"33"	"2"	"1"	"19"	"651"	"6"	"2"	"681"	""	"681"	""
"49"	"34"	"2"	"0"	"7"	"609"	"1"	"2"	"621"	""	"621"	""
"50"	"35"	"7"	"19"	"29"	"130"	"6"	"7"	"198"	""	"198"	""
"51"	"36"	"5"	"2"	"27"	"249"	"16"	"11"	"310"	""	"310"	""
"52"	"37"	"14"	"6"	"31"	"364"	"19"	"30"	"464"	""	"464"	""
"53"	"38"	"16"	"12"	"41"	"465"	"18"	"29"	"581"	""	"581"	""
"54"	"39"	"3"	"3"	"13"	"855"	"4"	"1"	"879"	""	"879"	""
"55"	"40"	"33"	"35"	"64"	"465"	"35"	"35"	"667"	""	"667"	""
"56"	"41"	"27"	"4"	"40"	"384"	"17"	"26"	"498"	""	"498"	""
"57"	"42"	"3"	"6"	"10"	"436"	"12"	"6"	"473"	""	"473"	""
"58"	"Page Total"	"502"	"1425"	"1673"	"18071"	"525"	"547"	"22743"	"0"	"22743"	"0"
"59"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"61"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"62"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"63"	"B.F."	"502"	"1425"	"1673"	"18071"	"525"	"547"	"22743"	"0"	"22743"	"0"
"64"	"43"	"0"	"0"	"51"	"678"	"1"	"1"	"731"	""	"731"	""
"65"	"44"	"32"	"21"	"217"	"153"	"9"	"12"	"444"	""	"444"	""
"66"	"45"	"33"	"121"	"53"	"427"	"19"	"25"	"678"	""	"678"	""
"67"	"46"	"26"	"74"	"44"	"438"	"27"	"29"	"638"	""	"638"	""
"68"	"47"	"37"	"18"	"67"	"316"	"21"	"24"	"483"	""	"483"	""
"69"	"48"	"29"	"16"	"40"	"425"	"36"	"32"	"578"	""	"578"	""
"70"	"49"	"29"	"131"	"178"	"308"	"27"	"28"	"701"	""	"701"	""
"71"	"50"	"23"	"75"	"64"	"379"	"27"	"34"	"602"	""	"602"	""
"72"	"51"	"5"	"98"	"39"	"356"	"8"	"8"	"514"	""	"514"	""
"73"	"52"	"6"	"47"	"70"	"348"	"16"	"14"	"501"	""	"501"	""
"74"	"53"	"5"	"18"	"102"	"227"	"11"	"21"	"384"	""	"384"	""
"75"	"54"	"16"	"12"	"95"	"244"	"23"	"37"	"427"	""	"427"	""
"76"	"55"	"26"	"9"	"46"	"466"	"36"	"29"	"612"	""	"612"	""
"77"	"56"	"15"	"30"	"112"	"523"	"28"	"15"	"723"	""	"723"	""
"78"	"Page Total"	"784"	"2095"	"2851"	"23359"	"814"	"856"	"30759"	"0"	"30759"	"0"
"79"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"80"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"81"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"82"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"83"	"B.F."	"784"	"2095"	"2851"	"23359"	"814"	"856"	"30759"	"0"	"30759"	"0"
"84"	"57"	"15"	"92"	"47"	"253"	"19"	"12"	"438"	""	"438"	""
"85"	"58"	"14"	"138"	"11"	"201"	"19"	"24"	"407"	""	"407"	""
"86"	"59"	"12"	"2"	"151"	"213"	"16"	"14"	"408"	""	"408"	""
"87"	"60"	"8"	"2"	"136"	"353"	"7"	"8"	"514"	""	"514"	""
"88"	"61"	"8"	"49"	"57"	"127"	"6"	"7"	"254"	""	"254"	""
"89"	"62"	"26"	"29"	"119"	"234"	"23"	"34"	"465"	""	"465"	""
"90"	"63"	"21"	"66"	"47"	"391"	"19"	"14"	"558"	""	"558"	""
"91"	"64"	"12"	"149"	"28"	"383"	"8"	"12"	"592"	""	"592"	""
"92"	"65"	"6"	"9"	"383"	"67"	"2"	"8"	"475"	""	"475"	""
"93"	"66"	"1"	"14"	"10"	"379"	"5"	"1"	"410"	""	"410"	""
"94"	"67"	"12"	"23"	"118"	"321"	"15"	"12"	"501"	""	"501"	""
"95"	"68"	"8"	"17"	"67"	"218"	"14"	"19"	"343"	""	"343"	""
"96"	"69"	"5"	"45"	"14"	"221"	"9"	"9"	"303"	""	"303"	""
"97"	"70"	"12"	"64"	"69"	"113"	"21"	"16"	"295"	""	"295"	""
"98"	"Page Total"	"944"	"2794"	"4108"	"26833"	"997"	"1046"	"36722"	"0"	"36722"	"0"
"99"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"101"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"102"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"103"	"B.F."	"944"	"2794"	"4108"	"26833"	"997"	"1046"	"36722"	"0"	"36722"	"0"
"104"	"71"	"14"	"13"	"241"	"129"	"11"	"36"	"444"	""	"444"	""
"105"	"72"	"1"	"10"	"28"	"344"	"5"	"2"	"390"	""	"390"	""
"106"	"73"	"0"	"2"	"23"	"329"	"8"	"2"	"364"	""	"364"	""
"107"	"74"	"14"	"6"	"151"	"325"	"13"	"6"	"515"	""	"515"	""
"108"	"75"	"7"	"23"	"7"	"208"	"6"	"21"	"272"	""	"272"	""
"109"	"76"	"21"	"7"	"83"	"144"	"15"	"21"	"291"	""	"291"	""
"110"	"77"	"24"	"77"	"51"	"385"	"25"	"13"	"575"	""	"575"	""
"111"	"78"	"17"	"130"	"19"	"197"	"8"	"12"	"383"	""	"383"	""
"112"	"79"	"17"	"23"	"22"	"419"	"21"	"19"	"521"	""	"521"	""
"113"	"80"	"6"	"21"	"15"	"484"	"15"	"10"	"551"	""	"551"	""
"114"	"81"	"7"	"1"	"385"	"96"	"6"	"7"	"502"	""	"502"	""
"115"	"82"	"5"	"91"	"63"	"204"	"11"	"16"	"390"	""	"390"	""
"116"	"83"	"7"	"57"	"20"	"208"	"7"	"11"	"310"	""	"310"	""
"117"	"84"	"6"	"86"	"42"	"136"	"8"	"7"	"285"	""	"285"	""
"118"	"Page Total"	"1090"	"3341"	"5258"	"30441"	"1156"	"1229"	"42515"	"0"	"42515"	"0"
"119"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"120"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"121"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"122"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"123"	"B.F."	"1090"	"3341"	"5258"	"30441"	"1156"	"1229"	"42515"	"0"	"42515"	"0"
"124"	"85"	"20"	"22"	"41"	"333"	"21"	"22"	"459"	""	"459"	""
"125"	"86"	"15"	"16"	"360"	"81"	"16"	"15"	"503"	""	"503"	""
"126"	"87"	"1"	"354"	"28"	"48"	"4"	"0"	"435"	""	"435"	""
"127"	"88"	"15"	"6"	"49"	"386"	"10"	"21"	"487"	""	"487"	""
"128"	"89"	"6"	"11"	"45"	"316"	"11"	"5"	"394"	""	"394"	""
"129"	"90"	"1"	"10"	"21"	"465"	"3"	"0"	"500"	""	"500"	""
"130"	"91"	"0"	"5"	"22"	"548"	"2"	"0"	"577"	""	"577"	""
"131"	"92"	"1"	"56"	"13"	"408"	"1"	"0"	"479"	""	"479"	""
"132"	"93"	"6"	"18"	"34"	"458"	"9"	"7"	"532"	""	"532"	""
"133"	"94"	"1"	"82"	"11"	"197"	"2"	"2"	"295"	""	"295"	""
"134"	"95"	"15"	"25"	"150"	"336"	"29"	"31"	"586"	""	"586"	""
"135"	"96"	"3"	"11"	"200"	"485"	"4"	"2"	"705"	""	"705"	""
"136"	"97"	"29"	"8"	"218"	"229"	"16"	"23"	"523"	""	"523"	""
"137"	"98"	"2"	"7"	"498"	"197"	"12"	"14"	"730"	""	"730"	""
"138"	"Page Total"	"1205"	"3972"	"6948"	"34928"	"1296"	"1371"	"49720"	"0"	"49720"	"0"
"139"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"140"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"141"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"142"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"143"	"B.F."	"1205"	"3972"	"6948"	"34928"	"1296"	"1371"	"49720"	"0"	"49720"	"0"
"144"	"99"	"9"	"23"	"294"	"131"	"18"	"19"	"494"	""	"494"	""
"145"	"100"	"2"	"9"	"44"	"225"	"19"	"14"	"313"	""	"313"	""
"146"	"101"	"8"	"7"	"43"	"400"	"15"	"27"	"500"	""	"500"	""
"147"	"102"	"0"	"7"	"5"	"661"	"0"	"0"	"673"	""	"673"	""
"148"	"103"	"0"	"9"	"32"	"496"	"1"	"1"	"539"	""	"539"	""
"149"	"104"	"21"	"23"	"122"	"221"	"28"	"18"	"433"	""	"433"	""
"150"	"105"	"23"	"175"	"22"	"205"	"40"	"45"	"510"	""	"510"	""
"151"	"106"	"20"	"53"	"112"	"420"	"43"	"55"	"703"	""	"703"	""
"152"	"107"	"17"	"12"	"57"	"446"	"18"	"15"	"565"	""	"565"	""
"153"	"108"	"6"	"6"	"47"	"713"	"11"	"7"	"790"	""	"790"	""
"154"	"109"	"24"	"56"	"29"	"112"	"14"	"22"	"257"	""	"257"	""
"155"	"110"	"15"	"339"	"10"	"121"	"10"	"17"	"512"	""	"512"	""
"156"	"111"	"10"	"317"	"10"	"123"	"12"	"4"	"476"	""	"476"	""
"157"	"112"	"7"	"23"	"105"	"407"	"16"	"6"	"564"	""	"564"	""
"158"	"Page Total"	"1367"	"5031"	"7880"	"39609"	"1541"	"1621"	"57049"	"0"	"57049"	"0"
"159"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"160"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"161"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"162"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"163"	"B.F."	"1367"	"5031"	"7880"	"39609"	"1541"	"1621"	"57049"	"0"	"57049"	"0"
"164"	"113"	"12"	"21"	"34"	"332"	"12"	"15"	"426"	""	"426"	""
"165"	"114"	"8"	"59"	"90"	"263"	"19"	"38"	"477"	""	"477"	""
"166"	"115"	"16"	"30"	"80"	"322"	"19"	"26"	"493"	""	"493"	""
"167"	"116"	"17"	"64"	"38"	"210"	"25"	"19"	"373"	""	"373"	""
"168"	"117"	"29"	"12"	"24"	"236"	"26"	"28"	"355"	""	"355"	""
"169"	"118"	"10"	"3"	"141"	"169"	"12"	"17"	"352"	""	"352"	""
"170"	"119"	"1"	"421"	"3"	"5"	"0"	"0"	"430"	""	"430"	""
"171"	"120"	"22"	"96"	"39"	"352"	"35"	"27"	"571"	""	"571"	""
"172"	"121"	"4"	"93"	"16"	"103"	"6"	"9"	"231"	""	"231"	""
"173"	"122"	"9"	"240"	"44"	"68"	"6"	"11"	"378"	""	"378"	""
"174"	"123"	"10"	"111"	"68"	"88"	"13"	"9"	"299"	""	"299"	""
"175"	"124"	"1"	"7"	"333"	"47"	"1"	"1"	"390"	""	"390"	""
"176"	"125"	"27"	"111"	"20"	"136"	"5"	"13"	"312"	""	"312"	""
"177"	"126"	"1"	"3"	"316"	"54"	"4"	"4"	"382"	""	"382"	""
"178"	"Page Total"	"1534"	"6302"	"9126"	"41994"	"1724"	"1838"	"62518"	"0"	"62518"	"0"
"179"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"180"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"181"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"182"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"183"	"B.F."	"1534"	"6302"	"9126"	"41994"	"1724"	"1838"	"62518"	"0"	"62518"	"0"
"184"	"127"	"3"	"3"	"149"	"41"	"3"	"4"	"203"	""	"203"	""
"185"	"128"	"3"	"1"	"159"	"31"	"4"	"2"	"200"	""	"200"	""
"186"	"129"	"2"	"365"	"3"	"4"	"0"	"0"	"374"	""	"374"	""
"187"	"130"	"5"	"369"	"6"	"44"	"1"	"0"	"425"	""	"425"	""
"188"	"131"	"13"	"215"	"8"	"43"	"16"	"5"	"300"	""	"300"	""
"189"	"132"	"2"	"399"	"18"	"3"	"1"	"1"	"424"	""	"424"	""
"190"	"133"	"1"	"546"	"6"	"12"	"1"	"1"	"567"	""	"567"	""
"191"	"134"	"6"	"289"	"37"	"88"	"6"	"25"	"451"	""	"451"	""
"192"	"135"	"25"	"89"	"63"	"192"	"23"	"25"	"417"	""	"417"	""
"193"	"136"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"194"	"137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"195"	"138"	"4"	"479"	"8"	"5"	"2"	"4"	"502"	""	"502"	""
"196"	"139"	"2"	"289"	"9"	"8"	"1"	"1"	"310"	""	"310"	""
"197"	"140"	"9"	"228"	"48"	"42"	"7"	"4"	"338"	""	"338"	""
"198"	"Page Total"	"1609"	"9574"	"9640"	"42507"	"1789"	"1910"	"67029"	"0"	"67029"	"0"
"199"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"201"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"202"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"203"	"B.F."	"1609"	"9574"	"9640"	"42507"	"1789"	"1910"	"67029"	"0"	"67029"	"0"
"204"	"141"	"2"	"164"	"23"	"20"	"7"	"11"	"227"	""	"227"	""
"205"	"142"	"7"	"148"	"217"	"212"	"14"	"12"	"610"	""	"610"	""
"206"	"143"	"8"	"220"	"8"	"119"	"16"	"18"	"389"	""	"389"	""
"207"	"144"	"3"	"326"	"3"	"19"	"2"	"9"	"362"	""	"362"	""
"208"	"145"	"13"	"184"	"14"	"193"	"17"	"14"	"435"	""	"435"	""
"209"	"146"	"20"	"41"	"22"	"172"	"20"	"10"	"285"	""	"285"	""
"210"	"147"	"8"	"49"	"34"	"208"	"15"	"13"	"327"	""	"327"	""
"211"	"148"	"23"	"12"	"137"	"141"	"20"	"22"	"355"	""	"355"	""
"212"	"149"	"12"	"51"	"27"	"144"	"20"	"23"	"277"	""	"277"	""
"213"	"150"	"20"	"223"	"44"	"240"	"18"	"31"	"576"	""	"576"	""
"214"	"151"	"19"	"270"	"28"	"19"	"9"	"18"	"363"	""	"363"	""
"215"	"152"	"17"	"124"	"82"	"296"	"15"	"21"	"555"	""	"555"	""
"216"	"153"	"12"	"230"	"31"	"197"	"21"	"15"	"506"	""	"506"	""
"217"	"154"	"0"	"98"	"30"	"98"	"4"	"13"	"243"	""	"243"	""
"218"	"Page Total"	"1773"	"11714"	"10340"	"44585"	"1987"	"2140"	"72539"	"0"	"72539"	"0"
"219"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"220"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"221"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"222"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"223"	"B.F."	"1773"	"11714"	"10340"	"44585"	"1987"	"2140"	"72539"	"0"	"72539"	"0"
"224"	"155"	"7"	"11"	"336"	"121"	"7"	"7"	"489"	""	"489"	""
"225"	"156"	"6"	"11"	"399"	"130"	"19"	"13"	"578"	""	"578"	""
"226"	"157"	"9"	"648"	"25"	"50"	"3"	"5"	"740"	""	"740"	""
"227"	"158"	"22"	"47"	"41"	"442"	"13"	"16"	"581"	""	"581"	""
"228"	"159"	"0"	"13"	"462"	"48"	"0"	"1"	"524"	""	"524"	""
"229"	"160"	"21"	"106"	"160"	"93"	"15"	"11"	"406"	""	"406"	""
"230"	"161"	"8"	"840"	"79"	"19"	"3"	"6"	"955"	""	"955"	""
"231"	"162"	"3"	"36"	"72"	"520"	"2"	"2"	"635"	""	"635"	""
"232"	"163"	"2"	"3"	"1"	"368"	"1"	"1"	"376"	""	"376"	""
"233"	"164"	"17"	"116"	"118"	"249"	"32"	"35"	"567"	""	"567"	""
"234"	"165"	"21"	"216"	"76"	"118"	"29"	"27"	"487"	""	"487"	""
"235"	"166"	"23"	"135"	"110"	"123"	"20"	"21"	"432"	""	"432"	""
"236"	"167"	"14"	"180"	"106"	"69"	"12"	"17"	"398"	""	"398"	""
"237"	"168"	"0"	"3"	"475"	"18"	"2"	"7"	"505"	""	"505"	""
"238"	"Page Total"	"1926"	"14079"	"12800"	"46953"	"2145"	"2309"	"80212"	"0"	"80212"	"0"
"239"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"240"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"241"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"242"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"243"	"B.F."	"1926"	"14079"	"12800"	"46953"	"2145"	"2309"	"80212"	"0"	"80212"	"0"
"244"	"169"	"14"	"365"	"125"	"47"	"16"	"21"	"588"	""	"588"	""
"245"	"170"	"4"	"635"	"5"	"30"	"1"	"0"	"675"	""	"675"	""
"246"	"171"	"12"	"93"	"41"	"202"	"25"	"14"	"387"	""	"387"	""
"247"	"172"	"46"	"134"	"165"	"182"	"14"	"42"	"583"	""	"583"	""
"248"	"173"	"27"	"156"	"148"	"417"	"35"	"24"	"807"	""	"807"	""
"249"	"174"	"18"	"111"	"96"	"343"	"23"	"26"	"617"	""	"617"	""
"250"	"175"	"22"	"151"	"130"	"247"	"35"	"39"	"624"	""	"624"	""
"251"	"176"	"14"	"26"	"120"	"348"	"19"	"29"	"556"	""	"556"	""
"252"	"177"	"13"	"192"	"55"	"222"	"25"	"15"	"522"	""	"522"	""
"253"	"178"	"12"	"118"	"49"	"406"	"21"	"24"	"630"	""	"630"	""
"254"	"179"	"24"	"130"	"148"	"286"	"26"	"34"	"648"	""	"648"	""
"255"	"180"	"17"	"63"	"85"	"150"	"13"	"16"	"344"	""	"344"	""
"256"	"181"	"15"	"163"	"39"	"249"	"21"	"20"	"507"	""	"507"	""
"257"	"182"	"20"	"155"	"39"	"299"	"10"	"21"	"544"	""	"544"	""
"258"	"Page Total"	"2184"	"16571"	"14045"	"50381"	"2429"	"2634"	"88244"	"0"	"88244"	"0"
"259"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"261"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"262"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"263"	"B.F."	"2184"	"16571"	"14045"	"50381"	"2429"	"2634"	"88244"	"0"	"88244"	"0"
"264"	"183"	"13"	"52"	"78"	"164"	"13"	"14"	"334"	""	"334"	""
"265"	"184"	"9"	"245"	"45"	"195"	"17"	"24"	"535"	""	"535"	""
"266"	"185"	"11"	"75"	"9"	"380"	"11"	"19"	"505"	""	"505"	""
"267"	"186"	"33"	"109"	"21"	"157"	"16"	"21"	"357"	""	"357"	""
"268"	"187"	"5"	"318"	"7"	"26"	"9"	"7"	"372"	""	"372"	""
"269"	"188"	"7"	"413"	"23"	"10"	"1"	"0"	"454"	""	"454"	""
"270"	"189"	"2"	"508"	"5"	"36"	"1"	"3"	"555"	""	"555"	""
"271"	"190"	"8"	"334"	"18"	"18"	"8"	"6"	"392"	""	"392"	""
"272"	"191"	"2"	"353"	"7"	"63"	"3"	"1"	"429"	""	"429"	""
"273"	"192"	"4"	"412"	"5"	"18"	"5"	"4"	"448"	""	"448"	""
"274"	"193"	"17"	"725"	"59"	"66"	"12"	"17"	"896"	""	"896"	""
"275"	"194"	"17"	"13"	"387"	"184"	"10"	"16"	"627"	""	"627"	""
"276"	"195"	"53"	"22"	"272"	"192"	"22"	"47"	"608"	""	"608"	""
"277"	"196"	"18"	"4"	"344"	"120"	"12"	"21"	"519"	""	"519"	""
"278"	"Page Total"	"2383"	"20154"	"15325"	"52010"	"2569"	"2834"	"95275"	"0"	"95275"	"0"
"279"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
