"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"Total.of.valid.Votes"	"X..45"	"No..of.rejected.votes"	"X..46"	"TOTAL"	"X..47"	"No..of.tendered.Votes"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"
"39"	""	"AHMAD ASHFAQUE KARIM"	""	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	""	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""
"40"	"15"	"11"	""	"7"	""	"4"	""	"6"	""	"224"	""	""	"19"	""	""	"38"	""	""	"39"	""	""	"200"	""	""	"13"	""	"7"	""	"5"	""	"7"	""	"0"	""	"1"	""	"5"	""	""	"16"	""	"5"	""	""	"0"	""	"9"	""	"0"	""	"616"	""	"0"	""	""	"616"	""	""	"0"
"41"	"16"	"52"	""	"5"	""	"31"	""	"6"	""	"184"	""	""	"34"	""	""	"57"	""	""	"60"	""	""	"243"	""	""	"18"	""	"23"	""	"16"	""	"6"	""	"7"	""	"8"	""	"32"	""	""	"4"	""	"6"	""	""	"4"	""	"7"	""	"12"	""	"815"	""	"0"	""	""	"815"	""	""	"0"
"42"	"17"	"21"	""	"0"	""	"5"	""	"2"	""	"39"	""	""	"3"	""	""	"40"	""	""	"12"	""	""	"257"	""	""	"9"	""	"9"	""	"5"	""	"3"	""	"5"	""	"6"	""	"25"	""	""	"2"	""	"0"	""	""	"0"	""	"0"	""	"2"	""	"445"	""	"0"	""	""	"445"	""	""	"0"
"43"	"18"	"205"	""	"2"	""	"7"	""	"4"	""	"25"	""	""	"8"	""	""	"14"	""	""	"11"	""	""	"85"	""	""	"185"	""	"4"	""	"7"	""	"8"	""	"4"	""	"4"	""	"30"	""	""	"15"	""	"4"	""	""	"3"	""	"2"	""	"9"	""	"636"	""	"0"	""	""	"636"	""	""	"0"
"44"	"19"	"140"	""	"5"	""	"10"	""	"10"	""	"92"	""	""	"12"	""	""	"16"	""	""	"12"	""	""	"60"	""	""	"137"	""	"9"	""	"1"	""	"6"	""	"7"	""	"1"	""	"16"	""	""	"7"	""	"4"	""	""	"3"	""	"3"	""	"3"	""	"554"	""	"0"	""	""	"554"	""	""	"0"
"45"	"20"	"14"	""	"1"	""	"11"	""	"6"	""	"121"	""	""	"8"	""	""	"10"	""	""	"7"	""	""	"17"	""	""	"189"	""	"23"	""	"5"	""	"7"	""	"8"	""	"10"	""	"35"	""	""	"140"	""	"16"	""	""	"6"	""	"9"	""	"18"	""	"661"	""	"0"	""	""	"661"	""	""	"0"
"46"	"21"	"54"	""	"7"	""	"20"	""	"3"	""	"56"	""	""	"13"	""	""	"40"	""	""	"19"	""	""	"282"	""	""	"7"	""	"50"	""	"7"	""	"4"	""	"2"	""	"1"	""	"5"	""	""	"4"	""	"1"	""	""	"0"	""	"6"	""	"1"	""	"582"	""	"0"	""	""	"582"	""	""	"0"
"47"	"22"	"44"	""	"3"	""	"34"	""	"8"	""	"81"	""	""	"10"	""	""	"35"	""	""	"33"	""	""	"74"	""	""	"18"	""	"52"	""	"4"	""	"7"	""	"5"	""	"2"	""	"10"	""	""	"49"	""	"9"	""	""	"4"	""	"25"	""	"15"	""	"522"	""	"0"	""	""	"522"	""	""	"0"
"48"	"23"	"44"	""	"11"	""	"10"	""	"4"	""	"63"	""	""	"15"	""	""	"103"	""	""	"36"	""	""	"303"	""	""	"25"	""	"49"	""	"18"	""	"17"	""	"3"	""	"11"	""	"55"	""	""	"3"	""	"2"	""	""	"4"	""	"1"	""	"5"	""	"782"	""	"0"	""	""	"782"	""	""	"0"
"49"	"24"	"54"	""	"4"	""	"1"	""	"2"	""	"150"	""	""	"18"	""	""	"19"	""	""	"7"	""	""	"103"	""	""	"9"	""	"9"	""	"2"	""	"2"	""	"2"	""	"2"	""	"23"	""	""	"14"	""	"2"	""	""	"1"	""	"1"	""	"1"	""	"426"	""	"0"	""	""	"426"	""	""	"0"
"50"	"25"	"5"	""	"1"	""	"0"	""	"2"	""	"41"	""	""	"2"	""	""	"4"	""	""	"178"	""	""	"5"	""	""	"2"	""	"2"	""	"3"	""	"4"	""	"4"	""	"3"	""	"21"	""	""	"1"	""	"2"	""	""	"1"	""	"7"	""	"8"	""	"296"	""	"0"	""	""	"296"	""	""	"0"
"51"	"26"	"19"	""	"2"	""	"1"	""	"2"	""	"65"	""	""	"23"	""	""	"50"	""	""	"72"	""	""	"193"	""	""	"25"	""	"7"	""	"5"	""	"5"	""	"3"	""	"0"	""	"8"	""	""	"6"	""	"5"	""	""	"0"	""	"9"	""	"18"	""	"518"	""	"0"	""	""	"518"	""	""	"0"
"52"	"27"	"15"	""	"1"	""	"4"	""	"1"	""	"140"	""	""	"11"	""	""	"12"	""	""	"108"	""	""	"40"	""	""	"1"	""	"3"	""	"1"	""	"3"	""	"1"	""	"5"	""	"13"	""	""	"5"	""	"4"	""	""	"5"	""	"8"	""	"8"	""	"389"	""	"0"	""	""	"389"	""	""	"0"
"53"	"28"	"38"	""	"7"	""	"2"	""	"6"	""	"144"	""	""	"3"	""	""	"14"	""	""	"339"	""	""	"27"	""	""	"6"	""	"7"	""	"10"	""	"3"	""	"3"	""	"8"	""	"20"	""	""	"4"	""	"2"	""	""	"1"	""	"10"	""	"10"	""	"664"	""	"0"	""	""	"664"	""	""	"0"
"54"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"55"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"43"	"17"	"4"	""	"18"	""	"2"	""	"294"	""	"13"	""	""	"7"	""	""	"39"	""	""	"11"	""	""	"1"	""	""	"5"	""	"5"	"40"	""	"4"	""	"5"	""	"7"	""	"17"	""	"2"	""	"0"	""	"2"	""	""	"2"	""	"495"	""	"0"	""	"495"	""	"0"	""	""	""	""	""
"57"	"44"	"35"	"5"	""	"8"	""	"6"	""	"384"	""	"12"	""	""	"7"	""	""	"86"	""	""	"26"	""	""	"10"	""	""	"8"	""	"10"	"10"	""	"5"	""	"4"	""	"31"	""	"60"	""	"14"	""	"6"	""	"34"	""	""	"21"	""	"782"	""	"0"	""	"782"	""	"0"	""	""	""	""	""
"58"	"45"	"24"	"2"	""	"7"	""	"1"	""	"94"	""	"7"	""	""	"15"	""	""	"12"	""	""	"127"	""	""	"2"	""	""	"2"	""	"2"	"1"	""	"1"	""	"2"	""	"13"	""	"5"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	"319"	""	"0"	""	"319"	""	"0"	""	""	""	""	""
"59"	"46"	"30"	"3"	""	"2"	""	"3"	""	"2"	""	"5"	""	""	"30"	""	""	"6"	""	""	"394"	""	""	"7"	""	""	"2"	""	"0"	"3"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	"487"	""	"0"	""	"487"	""	"0"	""	""	""	""	""
"60"	"47"	"53"	"13"	""	"12"	""	"8"	""	"146"	""	"13"	""	""	"50"	""	""	"18"	""	""	"222"	""	""	"25"	""	""	"5"	""	"5"	"8"	""	"5"	""	"2"	""	"5"	""	"5"	""	"2"	""	"3"	""	"1"	""	""	"1"	""	"602"	""	"0"	""	"602"	""	"0"	""	""	""	""	""
"61"	"48"	"19"	"4"	""	"10"	""	"1"	""	"31"	""	"5"	""	""	"33"	""	""	"6"	""	""	"199"	""	""	"11"	""	""	"2"	""	"9"	"35"	""	"5"	""	"6"	""	"17"	""	"12"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	"406"	""	"0"	""	"406"	""	"0"	""	""	""	""	""
"62"	"49"	"13"	"0"	""	"1"	""	"10"	""	"264"	""	"11"	""	""	"5"	""	""	"24"	""	""	"7"	""	""	"4"	""	""	"2"	""	"4"	"18"	""	"5"	""	"1"	""	"8"	""	"22"	""	"11"	""	"3"	""	"13"	""	""	"11"	""	"437"	""	"0"	""	"437"	""	"0"	""	""	""	""	""
"63"	"50"	"39"	"10"	""	"7"	""	"11"	""	"409"	""	"14"	""	""	"17"	""	""	"41"	""	""	"69"	""	""	"5"	""	""	"3"	""	"4"	"7"	""	"6"	""	"4"	""	"23"	""	"14"	""	"1"	""	"1"	""	"4"	""	""	"1"	""	"690"	""	"0"	""	"690"	""	"0"	""	""	""	""	""
"64"	"51"	"52"	"4"	""	"7"	""	"5"	""	"235"	""	"8"	""	""	"23"	""	""	"11"	""	""	"31"	""	""	"31"	""	""	"11"	""	"2"	"0"	""	"0"	""	"2"	""	"3"	""	"5"	""	"1"	""	"0"	""	"1"	""	""	"1"	""	"433"	""	"0"	""	"433"	""	"0"	""	""	""	""	""
"65"	"52"	"25"	"7"	""	"4"	""	"7"	""	"108"	""	"5"	""	""	"24"	""	""	"13"	""	""	"193"	""	""	"8"	""	""	"7"	""	"3"	"0"	""	"4"	""	"5"	""	"11"	""	"6"	""	"1"	""	"1"	""	"1"	""	""	"1"	""	"434"	""	"0"	""	"434"	""	"0"	""	""	""	""	""
"66"	"53"	"18"	"4"	""	"8"	""	"10"	""	"237"	""	"10"	""	""	"13"	""	""	"5"	""	""	"161"	""	""	"3"	""	""	"1"	""	"2"	"2"	""	"1"	""	"1"	""	"14"	""	"6"	""	"4"	""	"0"	""	"9"	""	""	"2"	""	"511"	""	"0"	""	"511"	""	"0"	""	""	""	""	""
"67"	"54"	"22"	"4"	""	"3"	""	"2"	""	"307"	""	"11"	""	""	"10"	""	""	"108"	""	""	"63"	""	""	"4"	""	""	"6"	""	"3"	"3"	""	"1"	""	"1"	""	"19"	""	"5"	""	"1"	""	"2"	""	"23"	""	""	"8"	""	"606"	""	"0"	""	"606"	""	"0"	""	""	""	""	""
"68"	"55"	"43"	"5"	""	"5"	""	"3"	""	"78"	""	"16"	""	""	"35"	""	""	"13"	""	""	"265"	""	""	"2"	""	""	"9"	""	"3"	"3"	""	"1"	""	"4"	""	"12"	""	"0"	""	"0"	""	"0"	""	"6"	""	""	"0"	""	"503"	""	"0"	""	"503"	""	"0"	""	""	""	""	""
"69"	"56"	"35"	"7"	""	"9"	""	"9"	""	"140"	""	"12"	""	""	"49"	""	""	"11"	""	""	"265"	""	""	"10"	""	""	"12"	""	"7"	"11"	""	"3"	""	"3"	""	"12"	""	"6"	""	"1"	""	"1"	""	"2"	""	""	"2"	""	"607"	""	"0"	""	"607"	""	"0"	""	""	""	""	""
"70"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
