"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"14"	"13"	"21"	"32"	"4"	"294"	"2"	"1"	"2"	"3"	"2"	"16"	"1"	"378"	""	"378"	""
"15"	"14"	"5"	"25"	"1"	"116"	"3"	"2"	"5"	"1"	"4"	"12"	"3"	"177"	""	"177"	""
"16"	"TOTAL-I"	"1818"	"651"	"87"	"1774"	"85"	"50"	"86"	"53"	"66"	"377"	"121"	"5168"	""	"5168"	""
"17"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"19"	"15"	"337"	"16"	"5"	"146"	"6"	"2"	"3"	"3"	"3"	"4"	"4"	"529"	""	"529"	""
"20"	"16"	"456"	"19"	"3"	"14"	"1"	"6"	"3"	"1"	"2"	"8"	"8"	"521"	""	"521"	""
"21"	"17"	"172"	"83"	"8"	"114"	"5"	"5"	"9"	"4"	"5"	"6"	"20"	"431"	""	"431"	""
"22"	"18"	"252"	"108"	"16"	"162"	"11"	"13"	"14"	"4"	"10"	"61"	"28"	"679"	""	"679"	""
"23"	"19"	"477"	"43"	"11"	"94"	"14"	"7"	"10"	"2"	"4"	"84"	"14"	"760"	""	"760"	""
"24"	"20"	"169"	"41"	"5"	"288"	"9"	"4"	"7"	"5"	"5"	"70"	"37"	"640"	""	"640"	""
"25"	"21"	"35"	"103"	"12"	"415"	"13"	"6"	"10"	"5"	"4"	"81"	"13"	"697"	""	"697"	""
"26"	"22"	"43"	"59"	"1"	"380"	"2"	"1"	"7"	"2"	"0"	"41"	"1"	"537"	""	"537"	""
"27"	"23"	"154"	"28"	"8"	"548"	"11"	"8"	"17"	"8"	"8"	"99"	"12"	"901"	""	"901"	""
"28"	"24"	"305"	"28"	"2"	"265"	"6"	"8"	"20"	"8"	"10"	"35"	"17"	"704"	""	"704"	""
"29"	"25"	"181"	"118"	"12"	"266"	"11"	"3"	"14"	"10"	"7"	"113"	"17"	"752"	""	"752"	""
"30"	"26"	"41"	"101"	"4"	"511"	"11"	"6"	"8"	"5"	"1"	"32"	"1"	"721"	""	"721"	""
"31"	"27"	"36"	"52"	"5"	"346"	"8"	"2"	"7"	"4"	"1"	"142"	"16"	"619"	""	"619"	""
"32"	"28"	"95"	"69"	"14"	"432"	"12"	"10"	"15"	"7"	"5"	"96"	"22"	"777"	""	"777"	""
"33"	"TOTAL-II"	"2753"	"868"	"106"	"3981"	"120"	"81"	"144"	"68"	"65"	"872"	"210"	"9268"	""	"9268"	""
"34"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"36"	"29"	"77"	"105"	"9"	"402"	"6"	"6"	"10"	"6"	"2"	"55"	"10"	"688"	""	"688"	""
"37"	"30"	"174"	"40"	"3"	"160"	"12"	"0"	"9"	"4"	"6"	"7"	"4"	"419"	""	"419"	""
"38"	"31"	"171"	"70"	"9"	"70"	"6"	"3"	"8"	"7"	"6"	"13"	"18"	"381"	""	"381"	""
"39"	"32"	"647"	"15"	"5"	"24"	"6"	"2"	"4"	"0"	"1"	"8"	"9"	"721"	""	"721"	""
"40"	"33"	"149"	"45"	"7"	"291"	"8"	"12"	"16"	"12"	"4"	"83"	"18"	"645"	""	"645"	""
"41"	"34"	"306"	"39"	"5"	"86"	"6"	"0"	"5"	"2"	"1"	"23"	"3"	"476"	""	"476"	""
"42"	"35"	"113"	"39"	"6"	"219"	"5"	"4"	"9"	"4"	"8"	"146"	"14"	"567"	""	"567"	""
"43"	"36"	"426"	"47"	"2"	"76"	"6"	"2"	"1"	"3"	"0"	"5"	"7"	"575"	""	"575"	""
"44"	"37"	"244"	"82"	"7"	"201"	"7"	"2"	"7"	"6"	"5"	"97"	"15"	"673"	""	"673"	""
"45"	"38"	"29"	"34"	"4"	"198"	"5"	"4"	"4"	"0"	"4"	"194"	"9"	"485"	""	"485"	""
"46"	"39"	"60"	"137"	"16"	"343"	"14"	"6"	"12"	"2"	"4"	"60"	"10"	"664"	""	"664"	""
"47"	"40"	"117"	"43"	"5"	"372"	"4"	"4"	"10"	"3"	"6"	"130"	"10"	"704"	""	"704"	""
"48"	"41"	"150"	"39"	"4"	"170"	"10"	"8"	"8"	"8"	"6"	"371"	"24"	"798"	""	"798"	""
"49"	"42"	"54"	"79"	"10"	"72"	"10"	"5"	"8"	"11"	"9"	"120"	"16"	"394"	""	"394"	""
"50"	"Total III"	"2717"	"814"	"92"	"2684"	"105"	"58"	"111"	"68"	"62"	"1312"	"167"	"8190"	""	"8190"	""
"51"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"53"	"43"	"434"	"31"	"7"	"47"	"7"	"5"	"0"	"5"	"1"	"34"	"3"	"574"	""	"574"	""
"54"	"44"	"306"	"121"	"10"	"108"	"15"	"9"	"11"	"6"	"8"	"50"	"5"	"649"	""	"649"	""
"55"	"45"	"554"	"62"	"10"	"100"	"4"	"9"	"9"	"2"	"6"	"54"	"11"	"821"	""	"821"	""
"56"	"46"	"195"	"179"	"5"	"92"	"7"	"3"	"5"	"6"	"6"	"26"	"15"	"539"	""	"539"	""
"57"	"47"	"130"	"67"	"6"	"106"	"9"	"4"	"8"	"6"	"3"	"24"	"9"	"372"	""	"372"	""
"58"	"48"	"23"	"264"	"16"	"37"	"6"	"3"	"5"	"9"	"15"	"220"	"61"	"659"	""	"659"	""
"59"	"49"	"134"	"47"	"7"	"130"	"6"	"7"	"10"	"5"	"10"	"254"	"10"	"620"	""	"620"	""
"60"	"50"	"154"	"116"	"12"	"112"	"10"	"5"	"4"	"6"	"4"	"52"	"16"	"491"	""	"491"	""
"61"	"51"	"185"	"140"	"17"	"273"	"13"	"6"	"7"	"11"	"4"	"115"	"9"	"780"	""	"780"	""
"62"	"52"	"288"	"35"	"3"	"30"	"9"	"2"	"7"	"8"	"2"	"11"	"17"	"412"	""	"412"	""
"63"	"53"	"176"	"220"	"17"	"65"	"9"	"8"	"5"	"7"	"3"	"92"	"19"	"621"	""	"621"	""
"64"	"54"	"297"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"305"	""	"305"	""
"65"	"55"	"157"	"38"	"8"	"134"	"4"	"1"	"8"	"9"	"9"	"76"	"13"	"457"	""	"457"	""
"66"	"56"	"164"	"23"	"9"	"217"	"7"	"3"	"9"	"7"	"7"	"49"	"39"	"534"	""	"534"	""
"67"	"TOTAL-IV"	"3197"	"1343"	"127"	"1453"	"107"	"65"	"88"	"87"	"78"	"1062"	"227"	"7834"	""	"7834"	""
"68"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"70"	"57"	"366"	"65"	"3"	"188"	"9"	"5"	"9"	"9"	"7"	"28"	"22"	"711"	""	"711"	""
"71"	"58"	"169"	"33"	"6"	"210"	"11"	"4"	"3"	"5"	"6"	"45"	"10"	"502"	""	"502"	""
"72"	"59"	"90"	"92"	"5"	"326"	"7"	"1"	"3"	"6"	"5"	"45"	"0"	"580"	""	"580"	""
"73"	"60"	"200"	"26"	"2"	"65"	"6"	"1"	"5"	"5"	"4"	"14"	"10"	"338"	""	"338"	""
"74"	"61"	"137"	"71"	"14"	"233"	"13"	"7"	"12"	"9"	"6"	"12"	"8"	"522"	""	"522"	""
"75"	"62"	"52"	"44"	"13"	"256"	"8"	"8"	"7"	"7"	"7"	"22"	"8"	"432"	""	"432"	""
"76"	"63"	"84"	"35"	"6"	"47"	"8"	"0"	"1"	"0"	"1"	"32"	"9"	"223"	""	"223"	""
"77"	"64"	"10"	"4"	"1"	"181"	"0"	"0"	"3"	"2"	"1"	"8"	"0"	"210"	""	"210"	""
"78"	"65"	"90"	"132"	"13"	"151"	"12"	"5"	"7"	"7"	"2"	"9"	"12"	"440"	""	"440"	""
"79"	"66"	"141"	"47"	"4"	"173"	"9"	"3"	"8"	"8"	"6"	"28"	"7"	"434"	""	"434"	""
"80"	"67"	"246"	"35"	"16"	"115"	"15"	"9"	"9"	"4"	"4"	"20"	"13"	"486"	""	"486"	""
"81"	"68"	"191"	"86"	"9"	"205"	"11"	"3"	"15"	"9"	"9"	"10"	"23"	"571"	""	"571"	""
"82"	"69"	"94"	"223"	"20"	"121"	"5"	"2"	"6"	"13"	"12"	"37"	"38"	"571"	""	"571"	""
"83"	"70"	"118"	"182"	"16"	"147"	"8"	"8"	"9"	"8"	"5"	"77"	"5"	"583"	""	"583"	""
"84"	"TOTAL-V"	"1988"	"1075"	"128"	"2418"	"122"	"56"	"97"	"92"	"75"	"387"	"165"	"6603"	""	"6603"	""
"85"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"87"	"71"	"345"	"114"	"5"	"12"	"6"	"0"	"2"	"2"	"4"	"9"	"8"	"507"	""	"507"	""
"88"	"72"	"164"	"179"	"15"	"23"	"6"	"1"	"0"	"0"	"2"	"12"	"8"	"410"	""	"410"	""
"89"	"73"	"71"	"359"	"15"	"45"	"5"	"4"	"3"	"3"	"3"	"24"	"13"	"545"	""	"545"	""
"90"	"74"	"29"	"342"	"5"	"48"	"3"	"1"	"3"	"2"	"1"	"6"	"2"	"442"	""	"442"	""
"91"	"75"	"110"	"449"	"19"	"52"	"2"	"3"	"2"	"7"	"4"	"20"	"28"	"696"	""	"696"	""
"92"	"76"	"34"	"492"	"12"	"67"	"4"	"2"	"4"	"6"	"3"	"13"	"8"	"645"	""	"645"	""
"93"	"77"	"65"	"306"	"13"	"102"	"5"	"2"	"2"	"1"	"2"	"10"	"5"	"513"	""	"513"	""
"94"	"78"	"352"	"74"	"8"	"153"	"8"	"7"	"9"	"7"	"5"	"37"	"18"	"678"	""	"678"	""
"95"	"79"	"282"	"43"	"0"	"29"	"1"	"0"	"1"	"1"	"1"	"1"	"4"	"363"	""	"363"	""
"96"	"80"	"236"	"205"	"12"	"95"	"7"	"5"	"8"	"2"	"7"	"49"	"23"	"649"	""	"649"	""
"97"	"81"	"88"	"156"	"14"	"135"	"8"	"2"	"3"	"4"	"2"	"25"	"18"	"455"	""	"455"	""
"98"	"82"	"154"	"218"	"23"	"12"	"8"	"6"	"5"	"5"	"5"	"22"	"13"	"471"	""	"471"	""
"99"	"83"	"254"	"158"	"16"	"82"	"17"	"6"	"12"	"9"	"4"	"38"	"17"	"613"	""	"613"	""
"100"	"84"	"149"	"96"	"8"	"152"	"8"	"8"	"7"	"12"	"9"	"70"	"34"	"553"	""	"553"	""
"101"	"TOTAL-VI"	"2333"	"3191"	"165"	"1007"	"88"	"47"	"61"	"61"	"52"	"336"	"199"	"7540"	""	"7540"	""
"102"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"104"	"85"	"66"	"120"	"5"	"64"	"2"	"1"	"10"	"2"	"5"	"30"	"14"	"319"	""	"319"	""
"105"	"86"	"244"	"161"	"14"	"22"	"12"	"2"	"2"	"2"	"3"	"11"	"8"	"481"	""	"481"	""
"106"	"87"	"133"	"84"	"13"	"106"	"12"	"8"	"6"	"4"	"6"	"28"	"11"	"411"	""	"411"	""
"107"	"88"	"254"	"105"	"8"	"12"	"1"	"1"	"6"	"2"	"4"	"61"	"18"	"472"	""	"472"	""
"108"	"89"	"124"	"231"	"5"	"150"	"5"	"3"	"13"	"2"	"6"	"31"	"23"	"593"	""	"593"	""
"109"	"90"	"86"	"120"	"7"	"193"	"3"	"5"	"6"	"2"	"5"	"78"	"10"	"515"	""	"515"	""
"110"	"91"	"113"	"11"	"1"	"44"	"2"	"0"	"1"	"0"	"1"	"11"	"1"	"185"	""	"185"	""
"111"	"92"	"72"	"165"	"9"	"100"	"8"	"6"	"11"	"9"	"5"	"98"	"35"	"518"	""	"518"	""
"112"	"93"	"60"	"378"	"10"	"140"	"5"	"4"	"7"	"5"	"1"	"20"	"5"	"635"	""	"635"	""
"113"	"94"	"361"	"38"	"4"	"85"	"8"	"0"	"5"	"5"	"14"	"61"	"12"	"593"	""	"593"	""
"114"	"95"	"123"	"133"	"6"	"175"	"6"	"4"	"4"	"1"	"4"	"20"	"4"	"480"	""	"480"	""
"115"	"96"	"109"	"185"	"6"	"99"	"2"	"2"	"3"	"3"	"4"	"70"	"11"	"494"	""	"494"	""
"116"	"97"	"72"	"120"	"12"	"66"	"5"	"3"	"3"	"4"	"0"	"56"	"12"	"353"	""	"353"	""
"117"	"98"	"127"	"115"	"9"	"73"	"6"	"4"	"5"	"1"	"4"	"34"	"5"	"383"	""	"383"	""
"118"	"TOTAL-VII"	"1944"	"1966"	"109"	"1329"	"77"	"43"	"82"	"42"	"62"	"609"	"169"	"6432"	""	"6432"	""
"119"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"121"	"99"	"23"	"78"	"9"	"232"	"8"	"3"	"14"	"7"	"6"	"52"	"7"	"439"	""	"439"	""
"122"	"100"	"165"	"123"	"6"	"184"	"12"	"5"	"12"	"4"	"8"	"75"	"10"	"604"	""	"604"	""
"123"	"101"	"32"	"248"	"14"	"131"	"8"	"5"	"9"	"10"	"7"	"64"	"15"	"543"	""	"543"	""
"124"	"102"	"26"	"215"	"11"	"214"	"4"	"2"	"6"	"10"	"3"	"43"	"9"	"543"	""	"543"	""
"125"	"103"	"268"	"71"	"9"	"40"	"5"	"3"	"5"	"4"	"6"	"182"	"20"	"613"	""	"613"	""
"126"	"104"	"56"	"117"	"10"	"157"	"3"	"2"	"12"	"0"	"4"	"38"	"7"	"406"	""	"406"	""
"127"	"105"	"61"	"300"	"8"	"208"	"5"	"3"	"6"	"7"	"5"	"7"	"8"	"618"	""	"618"	""
"128"	"106"	"36"	"60"	"5"	"160"	"2"	"0"	"3"	"3"	"4"	"73"	"7"	"353"	""	"353"	""
"129"	"107"	"123"	"38"	"4"	"204"	"9"	"8"	"13"	"7"	"8"	"107"	"14"	"535"	""	"535"	""
"130"	"108"	"200"	"14"	"3"	"165"	"6"	"2"	"11"	"6"	"4"	"29"	"25"	"465"	""	"465"	""
"131"	"109"	"169"	"60"	"3"	"14"	"3"	"1"	"2"	"0"	"2"	"6"	"4"	"264"	""	"264"	""
"132"	"110"	"226"	"85"	"6"	"116"	"3"	"4"	"6"	"4"	"9"	"39"	"22"	"520"	""	"520"	""
"133"	"111"	"69"	"26"	"5"	"12"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"115"	""	"115"	""
"134"	"112"	"64"	"24"	"15"	"76"	"12"	"10"	"12"	"6"	"10"	"229"	"23"	"481"	""	"481"	""
"135"	"TOTAL-VIII"	"1518"	"1459"	"108"	"1913"	"80"	"48"	"111"	"68"	"77"	"946"	"171"	"6499"	""	"6499"	""
"136"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"138"	"113"	"51"	"87"	"10"	"217"	"13"	"7"	"3"	"11"	"6"	"135"	"6"	"546"	""	"546"	""
"139"	"114"	"48"	"41"	"6"	"107"	"6"	"6"	"6"	"5"	"7"	"211"	"15"	"458"	""	"458"	""
"140"	"115"	"372"	"129"	"14"	"120"	"9"	"5"	"7"	"1"	"3"	"55"	"15"	"730"	""	"730"	""
"141"	"116"	"190"	"25"	"9"	"174"	"7"	"6"	"10"	"4"	"5"	"219"	"17"	"666"	""	"666"	""
"142"	"117"	"30"	"19"	"1"	"26"	"2"	"0"	"2"	"5"	"13"	"591"	"42"	"731"	""	"731"	""
"143"	"118"	"8"	"2"	"0"	"6"	"5"	"2"	"0"	"3"	"5"	"343"	"10"	"384"	""	"384"	""
"144"	"119"	"4"	"88"	"4"	"197"	"2"	"2"	"7"	"2"	"8"	"150"	"6"	"470"	""	"470"	""
"145"	"120"	"76"	"94"	"15"	"156"	"10"	"5"	"8"	"10"	"14"	"292"	"20"	"700"	""	"700"	""
"146"	"121"	"28"	"49"	"8"	"115"	"9"	"2"	"16"	"7"	"7"	"247"	"27"	"515"	""	"515"	""
"147"	"122"	"39"	"15"	"4"	"97"	"3"	"3"	"10"	"2"	"9"	"367"	"23"	"572"	""	"572"	""
"148"	"123"	"41"	"13"	"6"	"32"	"4"	"3"	"1"	"2"	"2"	"253"	"14"	"371"	""	"371"	""
"149"	"124"	"73"	"33"	"5"	"35"	"9"	"7"	"6"	"5"	"5"	"281"	"34"	"493"	""	"493"	""
"150"	"125"	"184"	"40"	"7"	"109"	"12"	"4"	"6"	"5"	"3"	"262"	"26"	"658"	""	"658"	""
"151"	"126"	"3"	"9"	"2"	"95"	"2"	"4"	"6"	"0"	"4"	"231"	"14"	"370"	""	"370"	""
"152"	"TOTAL-IX"	"1147"	"644"	"91"	"1486"	"93"	"56"	"88"	"62"	"91"	"3637"	"269"	"7664"	""	"7664"	""
"153"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"155"	"127"	"133"	"15"	"4"	"224"	"10"	"4"	"1"	"3"	"2"	"58"	"6"	"460"	""	"460"	""
"156"	"128"	"88"	"44"	"7"	"58"	"2"	"1"	"5"	"3"	"1"	"83"	"6"	"298"	""	"298"	""
"157"	"129"	"112"	"69"	"10"	"221"	"6"	"1"	"5"	"4"	"2"	"30"	"7"	"467"	""	"467"	""
"158"	"130"	"141"	"64"	"13"	"395"	"10"	"13"	"17"	"10"	"23"	"56"	"8"	"750"	""	"750"	""
"159"	"131"	"127"	"16"	"10"	"253"	"16"	"11"	"17"	"7"	"13"	"162"	"12"	"644"	""	"644"	""
"160"	"132"	"129"	"22"	"6"	"261"	"3"	"7"	"10"	"6"	"7"	"174"	"10"	"635"	""	"635"	""
"161"	"133"	"155"	"53"	"14"	"249"	"7"	"8"	"8"	"12"	"8"	"186"	"30"	"730"	""	"730"	""
"162"	"134"	"67"	"85"	"6"	"52"	"6"	"9"	"6"	"5"	"11"	"364"	"16"	"627"	""	"627"	""
"163"	"135"	"200"	"103"	"14"	"224"	"6"	"11"	"13"	"8"	"6"	"53"	"30"	"668"	""	"668"	""
"164"	"136"	"10"	"80"	"3"	"23"	"0"	"1"	"1"	"1"	"1"	"20"	"8"	"148"	""	"148"	""
"165"	"137"	"123"	"157"	"24"	"188"	"13"	"3"	"8"	"8"	"12"	"89"	"9"	"634"	""	"634"	""
"166"	"138"	"11"	"25"	"8"	"123"	"4"	"6"	"7"	"1"	"12"	"89"	"19"	"305"	""	"305"	""
"167"	"139"	"125"	"48"	"8"	"95"	"13"	"16"	"2"	"3"	"4"	"209"	"13"	"536"	""	"536"	""
"168"	"140"	"143"	"45"	"8"	"193"	"8"	"4"	"4"	"7"	"8"	"49"	"5"	"474"	""	"474"	""
"169"	"TOTAL-X"	"1564"	"826"	"135"	"2559"	"104"	"95"	"104"	"78"	"110"	"1622"	"179"	"7376"	""	"7376"	""
"170"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"172"	"141"	"92"	"29"	"9"	"240"	"8"	"2"	"11"	"11"	"6"	"113"	"9"	"530"	""	"530"	""
"173"	"142"	"66"	"16"	"10"	"172"	"5"	"4"	"4"	"2"	"3"	"74"	"7"	"363"	""	"363"	""
"174"	"143"	"145"	"19"	"6"	"260"	"10"	"4"	"11"	"6"	"7"	"85"	"6"	"559"	""	"559"	""
"175"	"144"	"148"	"34"	"5"	"109"	"2"	"3"	"4"	"4"	"4"	"44"	"11"	"368"	""	"368"	""
"176"	"145"	"186"	"37"	"2"	"49"	"2"	"2"	"2"	"3"	"3"	"90"	"5"	"381"	""	"381"	""
"177"	"146"	"178"	"17"	"3"	"304"	"0"	"1"	"0"	"2"	"2"	"57"	"5"	"569"	""	"569"	""
"178"	"147"	"90"	"35"	"4"	"213"	"3"	"1"	"7"	"3"	"7"	"234"	"10"	"607"	""	"607"	""
