"X."	"vH.fFkZ.ksa.ds..i.k..esa..Mkys.x.s..oS...erksa..dh..la..k"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"13"	"11"	"11"	"9"	"421"	"10"	"28"	"4"	"4"	"20"	"0"	"4"	"1"	"1"	"513"	""	"513"	""
"14"	"12"	"13"	"8"	"294"	"9"	"6"	"7"	"2"	"138"	"0"	"4"	"0"	"3"	"484"	""	"484"	""
"15"	"13"	"16"	"19"	"294"	"14"	"20"	"14"	"9"	"212"	"6"	"9"	"2"	"6"	"621"	""	"621"	""
"16"	"14"	"17"	"87"	"238"	"14"	"11"	"18"	"17"	"148"	"11"	"12"	"16"	"34"	"623"	""	"623"	""
"17"	";ksx"	"221"	"1278"	"3967"	"125"	"552"	"159"	"84"	"676"	"61"	"117"	"96"	"184"	"7520"	"0"	"7520"	"0"
"18"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"1                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"23"	"15"	"2"	"23"	"202"	"4"	"18"	"5"	"3"	"15"	"3"	"5"	"5"	"10"	"295"	""	"295"	""
"24"	"16"	"6"	"53"	"412"	"7"	"27"	"6"	"2"	"5"	"1"	"3"	"1"	"3"	"526"	""	"526"	""
"25"	"17"	"11"	"34"	"245"	"6"	"6"	"28"	"5"	"10"	"8"	"15"	"14"	"24"	"406"	""	"406"	""
"26"	"18"	"15"	"84"	"203"	"4"	"12"	"14"	"3"	"30"	"6"	"6"	"6"	"6"	"389"	""	"389"	""
"27"	"19"	"9"	"9"	"68"	"3"	"3"	"4"	"12"	"271"	"6"	"9"	"1"	"14"	"409"	""	"409"	""
"28"	"20"	"6"	"52"	"243"	"8"	"5"	"5"	"2"	"18"	"0"	"2"	"0"	"0"	"341"	""	"341"	""
"29"	"21"	"27"	"60"	"248"	"9"	"4"	"15"	"11"	"174"	"9"	"8"	"6"	"26"	"597"	""	"597"	""
"30"	"22"	"10"	"90"	"183"	"3"	"6"	"7"	"2"	"183"	"6"	"4"	"4"	"12"	"510"	""	"510"	""
"31"	"23"	"7"	"20"	"116"	"3"	"1"	"6"	"3"	"143"	"2"	"7"	"1"	"3"	"312"	""	"312"	""
"32"	"24"	"7"	"13"	"122"	"4"	"10"	"6"	"7"	"217"	"11"	"5"	"7"	"9"	"418"	""	"418"	""
"33"	"25"	"3"	"80"	"165"	"6"	"14"	"10"	"10"	"329"	"12"	"26"	"13"	"29"	"697"	""	"697"	""
"34"	"26"	"13"	"199"	"186"	"9"	"30"	"14"	"9"	"87"	"12"	"23"	"18"	"36"	"636"	""	"636"	""
"35"	"27"	"14"	"11"	"382"	"13"	"12"	"22"	"11"	"264"	"10"	"16"	"9"	"32"	"796"	""	"796"	""
"36"	"28"	"14"	"23"	"189"	"10"	"17"	"15"	"7"	"488"	"5"	"5"	"5"	"7"	"785"	""	"785"	""
"37"	";ksx"	"144"	"751"	"2964"	"89"	"165"	"157"	"87"	"2234"	"91"	"134"	"90"	"211"	"7117"	"0"	"7117"	"0"
"38"	"v|- ;ksx"	"365"	"2029"	"6931"	"214"	"717"	"316"	"171"	"2910"	"152"	"251"	"186"	"395"	"14637"	"0"	"14637"	"0"
"39"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"2                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"43"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"44"	"29"	"0"	"30"	"261"	"7"	"0"	"3"	"4"	"47"	"3"	"2"	"1"	"3"	"361"	""	"361"	""
"45"	"30"	"11"	"99"	"188"	"5"	"6"	"7"	"3"	"189"	"10"	"10"	"3"	"12"	"543"	""	"543"	""
"46"	"31"	"21"	"21"	"148"	"13"	"6"	"9"	"8"	"374"	"6"	"6"	"2"	"3"	"617"	""	"617"	""
"47"	"32"	"1"	"3"	"6"	"0"	"0"	"1"	"1"	"109"	"1"	"0"	"1"	"0"	"123"	""	"123"	""
"48"	"33"	"16"	"13"	"88"	"9"	"11"	"9"	"4"	"425"	"13"	"16"	"6"	"18"	"628"	""	"628"	""
"49"	"34"	"17"	"126"	"58"	"3"	"5"	"3"	"2"	"225"	"5"	"9"	"6"	"8"	"467"	""	"467"	""
"50"	"35"	"3"	"118"	"380"	"5"	"16"	"5"	"6"	"212"	"3"	"4"	"6"	"11"	"769"	""	"769"	""
"51"	"36"	"7"	"9"	"94"	"2"	"3"	"11"	"9"	"437"	"7"	"9"	"8"	"20"	"616"	""	"616"	""
"52"	"37"	"10"	"30"	"348"	"4"	"8"	"6"	"5"	"171"	"2"	"3"	"3"	"4"	"594"	""	"594"	""
"53"	"38"	"9"	"6"	"86"	"4"	"10"	"4"	"4"	"377"	"3"	"5"	"2"	"11"	"521"	""	"521"	""
"54"	"39"	"22"	"73"	"114"	"4"	"10"	"13"	"8"	"156"	"14"	"6"	"8"	"5"	"433"	""	"433"	""
"55"	"40"	"6"	"18"	"175"	"3"	"8"	"7"	"1"	"53"	"5"	"13"	"7"	"10"	"306"	""	"306"	""
"56"	"41"	"20"	"52"	"191"	"4"	"4"	"13"	"5"	"58"	"8"	"12"	"3"	"26"	"396"	""	"396"	""
"57"	"42"	"12"	"19"	"177"	"10"	"9"	"16"	"5"	"325"	"7"	"16"	"12"	"20"	"628"	""	"628"	""
"58"	";ksx"	"155"	"617"	"2314"	"73"	"96"	"107"	"65"	"3158"	"87"	"111"	"68"	"151"	"7002"	"0"	"7002"	"0"
"59"	"v|- ;ksx"	"520"	"2646"	"9245"	"287"	"813"	"423"	"236"	"6068"	"239"	"362"	"254"	"546"	"21639"	"0"	"21639"	"0"
"60"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"3                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"64"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"65"	"43"	"2"	"6"	"395"	"7"	"7"	"8"	"1"	"9"	"1"	"1"	"1"	"3"	"441"	""	"441"	""
"66"	"44"	"6"	"49"	"18"	"10"	"11"	"6"	"10"	"497"	"8"	"12"	"7"	"10"	"644"	""	"644"	""
"67"	"45"	"10"	"24"	"134"	"10"	"6"	"10"	"4"	"225"	"15"	"8"	"4"	"20"	"470"	""	"470"	""
"68"	"46"	"23"	"233"	"82"	"7"	"11"	"9"	"3"	"271"	"7"	"7"	"1"	"4"	"658"	""	"658"	""
"69"	"47"	"20"	"14"	"107"	"4"	"2"	"3"	"4"	"130"	"1"	"1"	"0"	"5"	"291"	""	"291"	""
"70"	"48"	"10"	"28"	"108"	"2"	"6"	"17"	"7"	"251"	"6"	"4"	"6"	"7"	"452"	""	"452"	""
"71"	"49"	"3"	"31"	"140"	"7"	"5"	"11"	"5"	"172"	"9"	"10"	"3"	"14"	"410"	""	"410"	""
"72"	"50"	"30"	"58"	"229"	"6"	"4"	"21"	"8"	"316"	"8"	"13"	"7"	"10"	"710"	""	"710"	""
"73"	"51"	"13"	"106"	"132"	"7"	"5"	"9"	"9"	"310"	"9"	"14"	"12"	"26"	"652"	""	"652"	""
"74"	"52"	"5"	"29"	"112"	"5"	"1"	"4"	"5"	"448"	"12"	"10"	"5"	"19"	"655"	""	"655"	""
"75"	"53"	"5"	"5"	"28"	"0"	"2"	"4"	"11"	"482"	"5"	"3"	"0"	"6"	"551"	""	"551"	""
"76"	"54"	"14"	"56"	"256"	"12"	"11"	"5"	"8"	"20"	"8"	"8"	"10"	"23"	"431"	""	"431"	""
"77"	"55"	"5"	"22"	"211"	"9"	"21"	"7"	"6"	"89"	"1"	"8"	"3"	"6"	"388"	""	"388"	""
"78"	"56"	"9"	"21"	"206"	"9"	"9"	"18"	"7"	"279"	"8"	"7"	"2"	"8"	"583"	""	"583"	""
"79"	";ksx"	"155"	"682"	"2158"	"95"	"101"	"132"	"88"	"3499"	"98"	"106"	"61"	"161"	"7336"	"0"	"7336"	"0"
"80"	"v|- ;ksx"	"675"	"3328"	"11403"	"382"	"914"	"555"	"324"	"9567"	"337"	"468"	"315"	"707"	"28975"	"0"	"28975"	"0"
"81"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"4                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"86"	"57"	"18"	"13"	"78"	"7"	"8"	"10"	"11"	"277"	"10"	"19"	"10"	"21"	"482"	""	"482"	""
"87"	"58"	"7"	"19"	"298"	"8"	"13"	"15"	"5"	"94"	"9"	"16"	"8"	"23"	"515"	""	"515"	""
"88"	"59"	"26"	"56"	"394"	"13"	"53"	"10"	"7"	"67"	"1"	"10"	"6"	"9"	"652"	""	"652"	""
"89"	"60"	"38"	"189"	"301"	"10"	"9"	"8"	"13"	"4"	"12"	"30"	"20"	"40"	"674"	""	"674"	""
"90"	"61"	"14"	"66"	"170"	"5"	"15"	"8"	"4"	"49"	"4"	"10"	"5"	"14"	"364"	""	"364"	""
"91"	"62"	"10"	"177"	"133"	"3"	"6"	"7"	"11"	"231"	"2"	"6"	"5"	"11"	"602"	""	"602"	""
"92"	"63"	"15"	"99"	"297"	"11"	"13"	"9"	"8"	"227"	"5"	"15"	"9"	"34"	"742"	""	"742"	""
"93"	"64"	"21"	"72"	"229"	"19"	"9"	"19"	"10"	"162"	"5"	"19"	"7"	"14"	"586"	""	"586"	""
"94"	"65"	"13"	"56"	"296"	"9"	"16"	"6"	"11"	"277"	"3"	"6"	"1"	"7"	"701"	""	"701"	""
"95"	"66"	"14"	"46"	"124"	"4"	"4"	"6"	"2"	"237"	"6"	"15"	"5"	"17"	"480"	""	"480"	""
"96"	"67"	"13"	"14"	"274"	"3"	"4"	"13"	"4"	"165"	"2"	"5"	"0"	"3"	"500"	""	"500"	""
"97"	"68"	"6"	"5"	"230"	"9"	"28"	"2"	"1"	"72"	"2"	"7"	"7"	"10"	"379"	""	"379"	""
"98"	"69"	"3"	"100"	"213"	"5"	"11"	"5"	"4"	"6"	"1"	"2"	"2"	"7"	"359"	""	"359"	""
"99"	"70"	"31"	"43"	"278"	"48"	"13"	"20"	"10"	"37"	"18"	"15"	"13"	"31"	"557"	""	"557"	""
"100"	";ksx"	"229"	"955"	"3315"	"154"	"202"	"138"	"101"	"1905"	"80"	"175"	"98"	"241"	"7593"	"0"	"7593"	"0"
"101"	"v|- ;ksx"	"904"	"4283"	"14718"	"536"	"1116"	"693"	"425"	"11472"	"417"	"643"	"413"	"948"	"36568"	"0"	"36568"	"0"
"102"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"5                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"107"	"71"	"6"	"179"	"441"	"10"	"87"	"11"	"2"	"2"	"5"	"13"	"8"	"13"	"777"	""	"777"	""
"108"	"72"	"4"	"3"	"97"	"3"	"4"	"5"	"5"	"352"	"7"	"2"	"2"	"8"	"492"	""	"492"	""
"109"	"73"	"14"	"35"	"125"	"5"	"16"	"9"	"7"	"195"	"5"	"8"	"7"	"6"	"432"	""	"432"	""
"110"	"74"	"22"	"49"	"82"	"20"	"24"	"13"	"12"	"295"	"11"	"14"	"20"	"14"	"576"	""	"576"	""
"111"	"75"	"10"	"132"	"340"	"8"	"9"	"17"	"12"	"111"	"12"	"10"	"8"	"28"	"697"	""	"697"	""
"112"	"76"	"9"	"29"	"104"	"4"	"2"	"5"	"8"	"183"	"5"	"6"	"6"	"10"	"371"	""	"371"	""
"113"	"77"	"17"	"92"	"57"	"13"	"23"	"21"	"12"	"134"	"5"	"4"	"5"	"11"	"394"	""	"394"	""
"114"	"78"	"7"	"204"	"310"	"7"	"23"	"28"	"7"	"74"	"7"	"8"	"13"	"27"	"715"	""	"715"	""
"115"	"79"	"17"	"204"	"42"	"3"	"4"	"3"	"5"	"103"	"1"	"1"	"0"	"2"	"385"	""	"385"	""
"116"	"80"	"13"	"129"	"237"	"7"	"8"	"14"	"1"	"5"	"0"	"4"	"2"	"4"	"424"	""	"424"	""
"117"	"81"	"5"	"36"	"217"	"4"	"0"	"1"	"1"	"6"	"1"	"2"	"0"	"1"	"274"	""	"274"	""
"118"	"82"	"27"	"213"	"146"	"10"	"8"	"9"	"5"	"25"	"7"	"8"	"7"	"13"	"478"	""	"478"	""
"119"	"83"	"11"	"173"	"251"	"2"	"4"	"10"	"2"	"12"	"8"	"4"	"6"	"9"	"492"	""	"492"	""
"120"	"84"	"26"	"183"	"212"	"13"	"18"	"16"	"4"	"9"	"12"	"4"	"3"	"2"	"502"	""	"502"	""
"121"	";ksx"	"188"	"1661"	"2661"	"109"	"230"	"162"	"83"	"1506"	"86"	"88"	"87"	"148"	"7009"	"0"	"7009"	"0"
"122"	"v|- ;ksx"	"1092"	"5944"	"17379"	"645"	"1346"	"855"	"508"	"12978"	"503"	"731"	"500"	"1096"	"43577"	"0"	"43577"	"0"
"123"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"6                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"127"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"128"	"85"	"5"	"73"	"344"	"6"	"9"	"8"	"5"	"1"	"1"	"2"	"2"	"5"	"461"	""	"461"	""
"129"	"86"	"12"	"105"	"135"	"3"	"11"	"4"	"3"	"68"	"0"	"5"	"3"	"7"	"356"	""	"356"	""
"130"	"87"	"4"	"13"	"227"	"4"	"2"	"2"	"6"	"17"	"7"	"9"	"3"	"8"	"302"	""	"302"	""
"131"	"88"	"7"	"76"	"276"	"5"	"33"	"12"	"1"	"10"	"2"	"5"	"3"	"5"	"435"	""	"435"	""
"132"	"89"	"6"	"42"	"224"	"5"	"8"	"8"	"3"	"43"	"7"	"5"	"3"	"9"	"363"	""	"363"	""
"133"	"90"	"24"	"131"	"366"	"5"	"12"	"16"	"3"	"15"	"3"	"5"	"2"	"13"	"595"	""	"595"	""
"134"	"91"	"24"	"107"	"154"	"3"	"10"	"10"	"5"	"6"	"5"	"4"	"5"	"6"	"339"	""	"339"	""
"135"	"92"	"24"	"82"	"214"	"5"	"5"	"9"	"5"	"2"	"1"	"0"	"2"	"7"	"356"	""	"356"	""
"136"	"93"	"5"	"66"	"105"	"7"	"25"	"11"	"4"	"47"	"10"	"8"	"8"	"16"	"312"	""	"312"	""
"137"	"94"	"74"	"151"	"112"	"14"	"17"	"9"	"2"	"114"	"4"	"5"	"5"	"12"	"519"	""	"519"	""
"138"	"95"	"63"	"84"	"243"	"4"	"69"	"26"	"10"	"36"	"20"	"20"	"25"	"22"	"622"	""	"622"	""
"139"	"96"	"12"	"78"	"181"	"2"	"7"	"5"	"2"	"21"	"3"	"6"	"0"	"5"	"322"	""	"322"	""
"140"	"97"	"5"	"121"	"364"	"3"	"6"	"5"	"1"	"5"	"1"	"2"	"1"	"2"	"516"	""	"516"	""
"141"	"98"	"16"	"146"	"248"	"10"	"27"	"6"	"6"	"14"	"5"	"7"	"3"	"7"	"495"	""	"495"	""
"142"	";ksx"	"281"	"1275"	"3193"	"76"	"241"	"131"	"56"	"399"	"69"	"83"	"65"	"124"	"5993"	"0"	"5993"	"0"
"143"	"v|- ;ksx"	"1373"	"7219"	"20572"	"721"	"1587"	"986"	"564"	"13377"	"572"	"814"	"565"	"1220"	"49570"	"0"	"49570"	"0"
"144"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"7                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"148"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"149"	"99"	"12"	"126"	"338"	"7"	"55"	"15"	"7"	"9"	"13"	"11"	"9"	"3"	"605"	""	"605"	""
"150"	"100"	"9"	"277"	"148"	"4"	"10"	"8"	"3"	"5"	"2"	"4"	"4"	"6"	"480"	""	"480"	""
"151"	"101"	"8"	"231"	"372"	"3"	"5"	"10"	"3"	"10"	"4"	"10"	"4"	"16"	"676"	""	"676"	""
"152"	"102"	"4"	"68"	"172"	"2"	"44"	"1"	"1"	"6"	"0"	"6"	"3"	"0"	"307"	""	"307"	""
"153"	"103"	"6"	"160"	"227"	"3"	"34"	"5"	"6"	"4"	"8"	"5"	"9"	"10"	"477"	""	"477"	""
"154"	"104"	"14"	"179"	"140"	"4"	"9"	"4"	"5"	"40"	"3"	"6"	"0"	"6"	"410"	""	"410"	""
"155"	"105"	"25"	"90"	"224"	"14"	"8"	"14"	"9"	"57"	"5"	"5"	"5"	"6"	"462"	""	"462"	""
"156"	"106"	"18"	"186"	"75"	"4"	"12"	"6"	"3"	"34"	"6"	"6"	"4"	"11"	"365"	""	"365"	""
"157"	"107"	"1"	"77"	"364"	"6"	"11"	"4"	"7"	"14"	"1"	"9"	"0"	"7"	"501"	""	"501"	""
"158"	"108"	"3"	"40"	"187"	"5"	"1"	"0"	"3"	"51"	"1"	"3"	"1"	"6"	"301"	""	"301"	""
"159"	"109"	"3"	"110"	"69"	"3"	"3"	"1"	"1"	"2"	"2"	"1"	"2"	"6"	"203"	""	"203"	""
"160"	"110"	"17"	"113"	"359"	"11"	"69"	"9"	"6"	"7"	"5"	"20"	"12"	"17"	"645"	""	"645"	""
"161"	"111"	"4"	"127"	"274"	"6"	"15"	"4"	"0"	"5"	"1"	"3"	"0"	"3"	"442"	""	"442"	""
"162"	"112"	"10"	"60"	"378"	"5"	"8"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"466"	""	"466"	""
"163"	";ksx"	"134"	"1844"	"3327"	"77"	"284"	"83"	"54"	"246"	"51"	"89"	"54"	"97"	"6340"	"0"	"6340"	"0"
"164"	"v|- ;ksx"	"1507"	"9063"	"23899"	"798"	"1871"	"1069"	"618"	"13623"	"623"	"903"	"619"	"1317"	"55910"	"0"	"55910"	"0"
"165"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"8                                                                                                  2&cxgk¼v0tk0½ fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	"vH;fFkZ;ksa ds  i{k  esa  Mkys x;s  oS|  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"169"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"170"	"113"	"10"	"423"	"126"	"6"	"5"	"1"	"1"	"3"	"2"	"4"	"8"	"13"	"602"	""	"602"	""
"171"	"114"	"8"	"302"	"207"	"3"	"10"	"10"	"6"	"2"	"0"	"6"	"0"	"4"	"558"	""	"558"	""
"172"	"115"	"7"	"225"	"262"	"7"	"10"	"13"	"2"	"9"	"8"	"12"	"13"	"34"	"602"	""	"602"	""
"173"	"116"	"13"	"293"	"151"	"1"	"2"	"7"	"2"	"4"	"3"	"1"	"5"	"8"	"490"	""	"490"	""
"174"	"117"	"24"	"164"	"344"	"6"	"9"	"9"	"5"	"3"	"5"	"5"	"4"	"9"	"587"	""	"587"	""
"175"	"118"	"129"	"206"	"249"	"7"	"17"	"2"	"1"	"1"	"2"	"3"	"1"	"5"	"623"	""	"623"	""
