"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"40"	"33"	"21"	"173"	"9"	"0"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"210"	"0"	"210"	"0"
"41"	"34"	"135"	"396"	"6"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"550"	"0"	"550"	"0"
"42"	"35"	"141"	"411"	"10"	"13"	"15"	"3"	"6"	"2"	"1"	"0"	"4"	"7"	"2"	"0"	"14"	"5"	"634"	"0"	"634"	"0"
"43"	"36"	"149"	"191"	"4"	"1"	"3"	"2"	"1"	"0"	"0"	"1"	"2"	"4"	"1"	"3"	"27"	"29"	"418"	"0"	"418"	"0"
"44"	"37"	"200"	"237"	"6"	"0"	"5"	"2"	"3"	"2"	"0"	"3"	"1"	"6"	"5"	"3"	"21"	"15"	"509"	"0"	"509"	"0"
"45"	"38"	"297"	"113"	"3"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"3"	"1"	"2"	"6"	"6"	"438"	"0"	"438"	"0"
"46"	"39"	"86"	"355"	"10"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"5"	"29"	"11"	"504"	"0"	"504"	"0"
"47"	"40"	"51"	"439"	"14"	"1"	"13"	"1"	"1"	"1"	"1"	"2"	"0"	"7"	"1"	"0"	"9"	"4"	"545"	"0"	"545"	"0"
"48"	"41"	"116"	"141"	"13"	"4"	"9"	"2"	"1"	"1"	"1"	"2"	"0"	"9"	"2"	"5"	"13"	"25"	"344"	"0"	"344"	"0"
"49"	"42"	"100"	"383"	"8"	"2"	"9"	"5"	"1"	"1"	"0"	"0"	"2"	"15"	"1"	"3"	"8"	"9"	"547"	"0"	"547"	"0"
"50"	"Round Total"	"2090"	"3453"	"110"	"37"	"73"	"27"	"35"	"12"	"12"	"17"	"18"	"89"	"22"	"31"	"165"	"154"	"6345"	"0"	"6345"	"0"
"51"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"52"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"53"	"43"	"133"	"484"	"9"	"20"	"19"	"1"	"3"	"1"	"0"	"2"	"3"	"10"	"3"	"5"	"27"	"9"	"729"	"0"	"729"	"0"
"54"	"44"	"64"	"203"	"7"	"4"	"9"	"1"	"4"	"1"	"3"	"1"	"4"	"13"	"1"	"3"	"33"	"14"	"365"	"0"	"365"	"0"
"55"	"45"	"74"	"363"	"8"	"1"	"12"	"1"	"8"	"0"	"1"	"2"	"0"	"11"	"3"	"6"	"28"	"15"	"533"	"0"	"533"	"0"
"56"	"46"	"372"	"145"	"4"	"3"	"5"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"4"	"3"	"542"	"0"	"542"	"0"
"57"	"47"	"20"	"348"	"3"	"5"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"385"	"0"	"385"	"0"
"58"	"48"	"114"	"553"	"7"	"2"	"8"	"1"	"0"	"1"	"1"	"0"	"3"	"8"	"1"	"2"	"13"	"3"	"717"	"0"	"717"	"0"
"59"	"49"	"53"	"208"	"0"	"2"	"4"	"4"	"2"	"1"	"5"	"1"	"2"	"12"	"3"	"5"	"18"	"10"	"330"	"0"	"330"	"0"
"60"	"50"	"69"	"313"	"5"	"12"	"9"	"4"	"7"	"3"	"2"	"3"	"5"	"16"	"6"	"5"	"21"	"10"	"490"	"0"	"490"	"0"
"61"	"51"	"18"	"201"	"2"	"1"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"10"	"4"	"249"	"0"	"249"	"0"
"62"	"52"	"105"	"207"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"13"	"5"	"344"	"0"	"344"	"0"
"63"	"53"	"44"	"458"	"17"	"4"	"4"	"3"	"6"	"2"	"3"	"5"	"3"	"5"	"2"	"5"	"23"	"6"	"590"	"0"	"590"	"0"
"64"	"54"	"77"	"318"	"7"	"3"	"6"	"4"	"5"	"0"	"2"	"2"	"1"	"17"	"2"	"0"	"8"	"5"	"457"	"0"	"457"	"0"
"65"	"55"	"74"	"329"	"10"	"1"	"9"	"3"	"1"	"2"	"0"	"0"	"3"	"12"	"4"	"1"	"18"	"9"	"476"	"0"	"476"	"0"
"66"	"56"	"81"	"390"	"7"	"3"	"29"	"5"	"9"	"1"	"1"	"3"	"7"	"15"	"5"	"3"	"18"	"9"	"586"	"0"	"586"	"0"
"67"	"Round Total"	"1298"	"4520"	"91"	"62"	"120"	"34"	"48"	"12"	"18"	"20"	"31"	"125"	"34"	"40"	"238"	"102"	"6793"	"0"	"6793"	"0"
"68"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"69"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"70"	"57"	"97"	"431"	"9"	"3"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"8"	"3"	"564"	"0"	"564"	"0"
"71"	"58"	"64"	"288"	"7"	"3"	"5"	"1"	"1"	"1"	"0"	"1"	"1"	"5"	"1"	"4"	"10"	"4"	"396"	"0"	"396"	"0"
"72"	"59"	"412"	"85"	"3"	"7"	"4"	"1"	"3"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"4"	"10"	"534"	"0"	"534"	"0"
"73"	"60"	"47"	"186"	"6"	"4"	"5"	"3"	"0"	"1"	"1"	"1"	"2"	"8"	"2"	"5"	"17"	"3"	"291"	"0"	"291"	"0"
"74"	"61"	"29"	"368"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"2"	"410"	"0"	"410"	"0"
"75"	"62"	"109"	"205"	"3"	"1"	"4"	"4"	"2"	"0"	"1"	"4"	"0"	"1"	"1"	"4"	"27"	"9"	"375"	"0"	"375"	"0"
"76"	"63"	"76"	"265"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"3"	"3"	"5"	"2"	"31"	"8"	"403"	"0"	"403"	"0"
"77"	"64"	"52"	"232"	"5"	"1"	"8"	"3"	"0"	"1"	"1"	"1"	"2"	"3"	"2"	"3"	"6"	"6"	"326"	"0"	"326"	"0"
"78"	"65"	"112"	"277"	"9"	"6"	"14"	"2"	"7"	"0"	"1"	"3"	"4"	"17"	"5"	"8"	"27"	"24"	"516"	"0"	"516"	"0"
"79"	"66"	"118"	"229"	"16"	"6"	"7"	"4"	"4"	"1"	"3"	"1"	"1"	"2"	"2"	"2"	"4"	"6"	"406"	"0"	"406"	"0"
"80"	"67"	"188"	"10"	"9"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"3"	"219"	"0"	"219"	"0"
"81"	"68"	"284"	"130"	"12"	"3"	"3"	"2"	"6"	"3"	"3"	"0"	"4"	"5"	"4"	"4"	"11"	"30"	"504"	"0"	"504"	"0"
"82"	"69"	"266"	"89"	"5"	"1"	"11"	"0"	"0"	"1"	"0"	"3"	"1"	"8"	"4"	"6"	"12"	"30"	"437"	"0"	"437"	"0"
"83"	"70"	"117"	"159"	"7"	"2"	"5"	"4"	"6"	"2"	"2"	"2"	"1"	"7"	"2"	"2"	"10"	"10"	"338"	"0"	"338"	"0"
"84"	"Round Total"	"1971"	"2954"	"97"	"39"	"77"	"26"	"31"	"13"	"14"	"16"	"21"	"68"	"31"	"41"	"172"	"148"	"5719"	"0"	"5719"	"0"
"85"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"86"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"87"	"71"	"112"	"264"	"11"	"4"	"9"	"6"	"11"	"0"	"2"	"5"	"3"	"11"	"2"	"4"	"20"	"15"	"479"	"0"	"479"	"0"
"88"	"72"	"156"	"216"	"8"	"1"	"14"	"2"	"4"	"2"	"0"	"4"	"5"	"14"	"2"	"3"	"13"	"7"	"451"	"0"	"451"	"0"
"89"	"73"	"238"	"37"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"278"	"0"	"278"	"0"
"90"	"74"	"143"	"109"	"4"	"0"	"7"	"1"	"7"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"5"	"9"	"291"	"0"	"291"	"0"
"91"	"75"	"129"	"258"	"7"	"4"	"6"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"4"	"0"	"414"	"0"	"414"	"0"
"92"	"76"	"77"	"154"	"3"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"246"	"0"	"246"	"0"
"93"	"77"	"179"	"46"	"4"	"1"	"4"	"0"	"1"	"1"	"1"	"2"	"3"	"0"	"1"	"0"	"2"	"3"	"248"	"0"	"248"	"0"
"94"	"78"	"89"	"72"	"7"	"28"	"13"	"3"	"2"	"1"	"4"	"3"	"3"	"10"	"5"	"5"	"12"	"15"	"272"	"0"	"272"	"0"
"95"	"79"	"289"	"216"	"5"	"7"	"5"	"4"	"6"	"4"	"2"	"4"	"4"	"5"	"4"	"8"	"50"	"38"	"651"	"0"	"651"	"0"
"96"	"80"	"117"	"25"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"4"	"153"	"0"	"153"	"0"
"97"	"81"	"168"	"71"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"1"	"5"	"10"	"267"	"0"	"267"	"0"
"98"	"82"	"114"	"130"	"11"	"1"	"4"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"0"	"4"	"7"	"11"	"289"	"0"	"289"	"0"
"99"	"83"	"88"	"249"	"9"	"2"	"11"	"3"	"0"	"1"	"1"	"2"	"0"	"8"	"3"	"3"	"12"	"10"	"402"	"0"	"402"	"0"
"100"	"84"	"169"	"191"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"1"	"2"	"7"	"5"	"388"	"0"	"388"	"0"
"101"	"Round Total"	"2068"	"2038"	"73"	"54"	"79"	"22"	"36"	"10"	"12"	"25"	"22"	"62"	"23"	"34"	"139"	"132"	"4829"	"0"	"4829"	"0"
"102"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"103"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"104"	"85"	"287"	"287"	"5"	"2"	"7"	"0"	"1"	"0"	"2"	"3"	"3"	"10"	"3"	"2"	"18"	"8"	"638"	"0"	"638"	"0"
"105"	"86"	"362"	"350"	"9"	"1"	"6"	"2"	"2"	"1"	"0"	"1"	"1"	"8"	"1"	"1"	"4"	"6"	"755"	"0"	"755"	"0"
"106"	"87"	"207"	"181"	"5"	"0"	"3"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"4"	"5"	"411"	"0"	"411"	"0"
"107"	"88"	"99"	"268"	"5"	"1"	"4"	"2"	"0"	"1"	"2"	"3"	"1"	"4"	"0"	"0"	"5"	"2"	"397"	"0"	"397"	"0"
"108"	"89"	"42"	"250"	"1"	"1"	"5"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"307"	"0"	"307"	"0"
"109"	"90"	"62"	"336"	"8"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"2"	"4"	"2"	"0"	"13"	"2"	"434"	"0"	"434"	"0"
"110"	"91"	"80"	"215"	"4"	"1"	"7"	"1"	"2"	"2"	"5"	"1"	"3"	"11"	"2"	"9"	"20"	"11"	"374"	"0"	"374"	"0"
"111"	"92"	"256"	"258"	"9"	"1"	"12"	"4"	"2"	"1"	"0"	"6"	"3"	"7"	"0"	"3"	"8"	"5"	"575"	"0"	"575"	"0"
"112"	"93"	"94"	"169"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"0"	"16"	"3"	"295"	"0"	"295"	"0"
"113"	"94"	"77"	"196"	"4"	"3"	"2"	"2"	"1"	"0"	"2"	"0"	"0"	"4"	"3"	"4"	"10"	"3"	"311"	"0"	"311"	"0"
"114"	"95"	"342"	"200"	"5"	"2"	"3"	"3"	"2"	"0"	"2"	"2"	"0"	"4"	"3"	"2"	"16"	"13"	"599"	"0"	"599"	"0"
"115"	"96"	"188"	"267"	"8"	"2"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"10"	"1"	"3"	"6"	"9"	"506"	"0"	"506"	"0"
"116"	"97"	"184"	"197"	"6"	"2"	"4"	"3"	"2"	"3"	"2"	"1"	"2"	"3"	"4"	"4"	"10"	"8"	"435"	"0"	"435"	"0"
"117"	"98"	"110"	"216"	"9"	"4"	"8"	"0"	"1"	"2"	"1"	"5"	"1"	"11"	"4"	"6"	"23"	"11"	"412"	"0"	"412"	"0"
"118"	"Round Total"	"2390"	"3390"	"79"	"23"	"67"	"23"	"19"	"12"	"18"	"26"	"23"	"79"	"24"	"35"	"155"	"86"	"6449"	"0"	"6449"	"0"
"119"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"120"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"121"	"99"	"169"	"166"	"17"	"4"	"7"	"2"	"11"	"2"	"6"	"4"	"1"	"1"	"2"	"0"	"6"	"1"	"399"	"0"	"399"	"0"
"122"	"100"	"90"	"242"	"6"	"1"	"0"	"0"	"21"	"0"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"2"	"371"	"0"	"371"	"0"
"123"	"101"	"71"	"177"	"16"	"0"	"15"	"2"	"10"	"1"	"2"	"0"	"6"	"7"	"5"	"4"	"15"	"11"	"342"	"0"	"342"	"0"
"124"	"102"	"39"	"228"	"4"	"0"	"5"	"0"	"3"	"1"	"0"	"2"	"0"	"4"	"2"	"3"	"8"	"2"	"301"	"0"	"301"	"0"
"125"	"103"	"92"	"299"	"11"	"5"	"7"	"3"	"8"	"4"	"3"	"2"	"0"	"10"	"4"	"1"	"6"	"5"	"460"	"0"	"460"	"0"
"126"	"104"	"443"	"36"	"0"	"1"	"1"	"2"	"2"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"4"	"5"	"501"	"0"	"501"	"0"
"127"	"105"	"411"	"126"	"9"	"4"	"7"	"7"	"7"	"3"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"6"	"586"	"0"	"586"	"0"
"128"	"106"	"92"	"287"	"5"	"2"	"9"	"0"	"10"	"0"	"2"	"1"	"1"	"0"	"3"	"0"	"11"	"3"	"426"	"0"	"426"	"0"
"129"	"107"	"130"	"166"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"305"	"0"	"305"	"0"
"130"	"108"	"117"	"157"	"11"	"3"	"3"	"2"	"2"	"1"	"3"	"4"	"1"	"7"	"1"	"1"	"5"	"2"	"320"	"0"	"320"	"0"
"131"	"109"	"129"	"118"	"9"	"6"	"3"	"0"	"2"	"1"	"2"	"2"	"1"	"5"	"1"	"1"	"3"	"6"	"289"	"0"	"289"	"0"
"132"	"110"	"339"	"13"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"363"	"0"	"363"	"0"
"133"	"111"	"321"	"120"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"5"	"9"	"8"	"474"	"0"	"474"	"0"
"134"	"112"	"108"	"201"	"9"	"4"	"6"	"0"	"1"	"3"	"0"	"1"	"3"	"5"	"0"	"2"	"7"	"11"	"361"	"0"	"361"	"0"
"135"	"Round Total"	"2551"	"2336"	"99"	"34"	"69"	"21"	"78"	"19"	"20"	"18"	"17"	"49"	"22"	"20"	"77"	"68"	"5498"	"0"	"5498"	"0"
"136"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"137"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
