"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"97"	"78"	"27"	"311"	"15"	"109"	"10"	"13"	"5"	"8"	""	"3"	"8"	"26"	"535"	"0"	"535"	"0"
"98"	"79"	"12"	"157"	"2"	"221"	"5"	"12"	"6"	"65"	""	"6"	"8"	"11"	"505"	"0"	"505"	"0"
"99"	"80"	"9"	"266"	"18"	"78"	"5"	"4"	"4"	"17"	""	"0"	"8"	"17"	"426"	"0"	"426"	"0"
"100"	"81"	"21"	"268"	"9"	"127"	"5"	"14"	"5"	"0"	""	"4"	"5"	"23"	"481"	"0"	"481"	"0"
"101"	"82"	"49"	"284"	"21"	"112"	"7"	"4"	"10"	"9"	""	"9"	"13"	"33"	"551"	"0"	"551"	"0"
"102"	"83"	"13"	"140"	"51"	"31"	"2"	"4"	"4"	"5"	""	"0"	"2"	"1"	"253"	"0"	"253"	"0"
"103"	"84"	"28"	"323"	"58"	"133"	"2"	"3"	"12"	"5"	""	"2"	"2"	"7"	"575"	"0"	"575"	"0"
"104"	"Round
Total"	"322"	"3403"	"263"	"1793"	"77"	"102"	"92"	"211"	""	"48"	"82"	"211"	"6604"	"0"	"6604"	"0"
"105"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"106"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"107"	"85"	"24"	"254"	"10"	"35"	"2"	"2"	"4"	"3"	""	"2"	"0"	"6"	"342"	"0"	"342"	"0"
"108"	"86"	"9"	"133"	"4"	"93"	"5"	"5"	"3"	"61"	""	"6"	"1"	"4"	"324"	"0"	"324"	"0"
"109"	"87"	"27"	"234"	"22"	"210"	"16"	"3"	"10"	"6"	""	"3"	"5"	"15"	"551"	"0"	"551"	"0"
"110"	"88"	"6"	"310"	"7"	"130"	"3"	"14"	"4"	"21"	""	"3"	"2"	"16"	"516"	"0"	"516"	"0"
"111"	"89"	"13"	"209"	"4"	"116"	"6"	"3"	"7"	"44"	""	"1"	"3"	"9"	"415"	"0"	"415"	"0"
"112"	"90"	"32"	"287"	"30"	"104"	"7"	"10"	"12"	"71"	""	"7"	"12"	"19"	"591"	"0"	"591"	"0"
"113"	"91"	"37"	"249"	"6"	"123"	"8"	"4"	"12"	"27"	""	"2"	"1"	"7"	"476"	"0"	"476"	"0"
"114"	"92"	"29"	"217"	"15"	"154"	"7"	"33"	"16"	"19"	""	"3"	"2"	"19"	"514"	"0"	"514"	"0"
"115"	"93"	"33"	"365"	"19"	"144"	"4"	"7"	"8"	"19"	""	"4"	"9"	"17"	"629"	"0"	"629"	"0"
"116"	"94"	"2"	"1"	"1"	"325"	"4"	"3"	"0"	"4"	""	"1"	"0"	"1"	"342"	"0"	"342"	"0"
"117"	"95"	"12"	"147"	"14"	"106"	"3"	"8"	"7"	"150"	""	"5"	"2"	"12"	"466"	"0"	"466"	"0"
"118"	"96"	"62"	"313"	"14"	"55"	"5"	"5"	"7"	"21"	""	"7"	"11"	"35"	"535"	"0"	"535"	"0"
"119"	"97"	"48"	"294"	"18"	"107"	"8"	"4"	"3"	"4"	""	"5"	"7"	"19"	"517"	"0"	"517"	"0"
"120"	"98"	"45"	"273"	"24"	"216"	"10"	"6"	"13"	"16"	""	"7"	"7"	"37"	"654"	"0"	"654"	"0"
"121"	"Round
Total"	"379"	"3286"	"188"	"1918"	"88"	"107"	"106"	"466"	""	"56"	"62"	"216"	"6872"	"0"	"6872"	"0"
"122"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"123"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"124"	"99"	"10"	"90"	"6"	"225"	"7"	"5"	"8"	"6"	""	"1"	"2"	"24"	"384"	"0"	"384"	"0"
"125"	"100"	"63"	"257"	"21"	"129"	"7"	"2"	"20"	"3"	""	"3"	"3"	"13"	"521"	"0"	"521"	"0"
"126"	"101"	"21"	"324"	"11"	"88"	"1"	"3"	"9"	"38"	""	"5"	"2"	"17"	"519"	"0"	"519"	"0"
"127"	"102"	"28"	"99"	"10"	"140"	"7"	"1"	"2"	"14"	""	"1"	"0"	"2"	"304"	"0"	"304"	"0"
"128"	"103"	"52"	"227"	"17"	"104"	"6"	"2"	"10"	"6"	""	"3"	"2"	"13"	"442"	"0"	"442"	"0"
"129"	"104"	"27"	"365"	"8"	"31"	"3"	"2"	"5"	"22"	""	"3"	"4"	"13"	"483"	"0"	"483"	"0"
"130"	"105"	"23"	"173"	"23"	"41"	"6"	"3"	"7"	"4"	""	"2"	"4"	"14"	"300"	"0"	"300"	"0"
"131"	"106"	"11"	"77"	"4"	"260"	"0"	"6"	"1"	"0"	""	"0"	"14"	"8"	"381"	"0"	"381"	"0"
"132"	"107"	"32"	"53"	"5"	"123"	"2"	"3"	"4"	"21"	""	"4"	"55"	"10"	"312"	"0"	"312"	"0"
"133"	"108"	"15"	"158"	"19"	"85"	"6"	"5"	"6"	"7"	""	"1"	"2"	"14"	"318"	"0"	"318"	"0"
"134"	"109"	"7"	"395"	"8"	"33"	"2"	"1"	"1"	"2"	""	"2"	"2"	"6"	"459"	"0"	"459"	"0"
"135"	"110"	"6"	"279"	"4"	"79"	"1"	"0"	"2"	"22"	""	"0"	"1"	"6"	"400"	"0"	"400"	"0"
"136"	"111"	"37"	"135"	"18"	"122"	"2"	"8"	"7"	"0"	""	"0"	"4"	"16"	"349"	"0"	"349"	"0"
"137"	"112"	"41"	"368"	"13"	"20"	"9"	"1"	"16"	"8"	""	"5"	"3"	"25"	"509"	"0"	"509"	"0"
"138"	"Round
Total"	"373"	"3000"	"167"	"1480"	"59"	"42"	"98"	"153"	""	"30"	"98"	"181"	"5681"	"0"	"5681"	"0"
"139"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"140"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"141"	"113"	"33"	"158"	"15"	"175"	"9"	"3"	"5"	"5"	""	"1"	"3"	"11"	"418"	"0"	"418"	"0"
"142"	"114"	"41"	"277"	"11"	"126"	"11"	"5"	"8"	"14"	""	"4"	"10"	"32"	"539"	"0"	"539"	"0"
"143"	"115"	"32"	"71"	"6"	"236"	"5"	"9"	"8"	"35"	""	"4"	"3"	"18"	"427"	"0"	"427"	"0"
"144"	"116"	"35"	"370"	"15"	"207"	"5"	"7"	"5"	"22"	""	"8"	"7"	"19"	"700"	"0"	"700"	"0"
"145"	"117"	"9"	"187"	"11"	"250"	"6"	"2"	"2"	"3"	""	"0"	"6"	"5"	"481"	"0"	"481"	"0"
"146"	"118"	"25"	"156"	"8"	"36"	"1"	"2"	"0"	"3"	""	"0"	"3"	"7"	"241"	"0"	"241"	"0"
"147"	"119"	"3"	"10"	"0"	"429"	"5"	"8"	"2"	"14"	""	"1"	"1"	"1"	"474"	"0"	"474"	"0"
"148"	"120"	"57"	"222"	"17"	"76"	"3"	"9"	"1"	"35"	""	"3"	"4"	"22"	"449"	"0"	"449"	"0"
"149"	"121"	"35"	"81"	"4"	"109"	"7"	"5"	"5"	"2"	""	"6"	"9"	"20"	"283"	"0"	"283"	"0"
"150"	"122"	"41"	"284"	"19"	"61"	"7"	"35"	"11"	"16"	""	"9"	"5"	"23"	"511"	"0"	"511"	"0"
"151"	"123"	"19"	"160"	"11"	"33"	"4"	"7"	"7"	"2"	""	"2"	"9"	"15"	"269"	"0"	"269"	"0"
"152"	"124"	"13"	"83"	"8"	"94"	"12"	"57"	"3"	"1"	""	"2"	"0"	"9"	"282"	"0"	"282"	"0"
"153"	"125"	"9"	"257"	"3"	"7"	"2"	"9"	"1"	"1"	""	"2"	"0"	"12"	"303"	"0"	"303"	"0"
"154"	"126"	"12"	"16"	"2"	"261"	"4"	"34"	"1"	"10"	""	"0"	"1"	"1"	"342"	"0"	"342"	"0"
"155"	"Round
Total"	"364"	"2332"	"130"	"2100"	"81"	"192"	"59"	"163"	""	"42"	"61"	"195"	"5719"	"0"	"5719"	"0"
"156"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"157"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"158"	"127"	"4"	"198"	"4"	"22"	"1"	"0"	"1"	"0"	""	"0"	"2"	"1"	"233"	"0"	"233"	"0"
"159"	"128"	"0"	"27"	"0"	"277"	"0"	"10"	"3"	"1"	""	"0"	"0"	"2"	"320"	"0"	"320"	"0"
"160"	"129"	"15"	"177"	"5"	"131"	"8"	"7"	"6"	"44"	""	"5"	"5"	"16"	"419"	"0"	"419"	"0"
"161"	"130"	"2"	"21"	"0"	"120"	"0"	"12"	"0"	"15"	""	"0"	"1"	"4"	"175"	"0"	"175"	"0"
"162"	"131"	"35"	"206"	"5"	"109"	"25"	"2"	"15"	"20"	""	"2"	"9"	"14"	"442"	"0"	"442"	"0"
"163"	"132"	"19"	"86"	"5"	"133"	"5"	"42"	"8"	"17"	""	"5"	"8"	"21"	"349"	"0"	"349"	"0"
"164"	"133"	"26"	"190"	"13"	"78"	"6"	"27"	"3"	"11"	""	"2"	"8"	"28"	"392"	"0"	"392"	"0"
"165"	"134"	"17"	"141"	"5"	"113"	"7"	"5"	"6"	"11"	""	"2"	"7"	"27"	"341"	"0"	"341"	"0"
"166"	"135"	"27"	"274"	"6"	"57"	"5"	"3"	"4"	"1"	""	"0"	"6"	"8"	"391"	"0"	"391"	"0"
"167"	"136"	"19"	"305"	"31"	"165"	"9"	"6"	"13"	"8"	""	"2"	"15"	"29"	"602"	"0"	"602"	"0"
"168"	"137"	"32"	"121"	"11"	"326"	"2"	"2"	"7"	"3"	""	"2"	"1"	"9"	"516"	"0"	"516"	"0"
"169"	"138"	"26"	"159"	"8"	"80"	"4"	"2"	"12"	"1"	""	"3"	"5"	"25"	"325"	"0"	"325"	"0"
"170"	"139"	"26"	"108"	"21"	"423"	"9"	"12"	"10"	"15"	""	"1"	"1"	"6"	"632"	"0"	"632"	"0"
"171"	"140"	"64"	"204"	"22"	"128"	"10"	"5"	"18"	"8"	""	"6"	"10"	"28"	"503"	"0"	"503"	"0"
"172"	"Round
Total"	"312"	"2217"	"136"	"2162"	"91"	"135"	"106"	"155"	""	"30"	"78"	"218"	"5640"	"0"	"5640"	"0"
"173"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
