"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"14"	"4"	"129"	"239"	"6"	"14"	"257"	"14"	"1"	"6"	"9"	"41"	"716"	""	"716"	""
"15"	"5"	"316"	"29"	"6"	"12"	"172"	"27"	"9"	"3"	"7"	"39"	"620"	""	"620"	""
"16"	"6"	"65"	"25"	"1"	"11"	"281"	"13"	"4"	"5"	"1"	"67"	"473"	""	"473"	""
"17"	"7"	"39"	"166"	"12"	"13"	"201"	"13"	"3"	"3"	"7"	"33"	"490"	""	"490"	""
"18"	"8"	"215"	"15"	"8"	"8"	"66"	"13"	"0"	"11"	"7"	"142"	"485"	""	"485"	""
"19"	"9"	"265"	"13"	"6"	"6"	"105"	"11"	"6"	"1"	"8"	"247"	"668"	""	"668"	""
"20"	"10"	"58"	"30"	"8"	"15"	"452"	"16"	"5"	"2"	"0"	"77"	"663"	""	"663"	""
"21"	"11"	"245"	"10"	"4"	"6"	"82"	"8"	"4"	"4"	"1"	"65"	"429"	""	"429"	""
"22"	"12"	"279"	"98"	"12"	"7"	"72"	"8"	"0"	"2"	"5"	"20"	"503"	""	"503"	""
"23"	"13"	"463"	"22"	"3"	"4"	"18"	"4"	"2"	"1"	"1"	"4"	"522"	""	"522"	""
"24"	"14"	"203"	"80"	"11"	"8"	"158"	"13"	"1"	"6"	"4"	"25"	"509"	""	"509"	""
"25"	"TOTAL"	"2500"	"826"	"91"	"124"	"2393"	"173"	"55"	"63"	"67"	"944"	"7236"	"0"	"7236"	"0"
"26"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"27"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"29"	"15"	"36"	"89"	"8"	"26"	"270"	"21"	"4"	"8"	"2"	"63"	"527"	""	"527"	""
"30"	"16"	"28"	"73"	"9"	"11"	"314"	"22"	"6"	"8"	"6"	"41"	"518"	""	"518"	""
"31"	"17"	"201"	"47"	"4"	"12"	"216"	"18"	"7"	"9"	"8"	"51"	"573"	""	"573"	""
"32"	"18"	"192"	"17"	"11"	"17"	"334"	"44"	"9"	"12"	"10"	"84"	"730"	""	"730"	""
"33"	"19"	"44"	"158"	"29"	"30"	"446"	"35"	"12"	"16"	"8"	"47"	"825"	""	"825"	""
"34"	"20"	"486"	"35"	"4"	"19"	"92"	"10"	"3"	"6"	"2"	"21"	"678"	""	"678"	""
"35"	"21"	"88"	"25"	"11"	"13"	"560"	"14"	"10"	"4"	"8"	"30"	"763"	""	"763"	""
"36"	"22"	"316"	"5"	"5"	"14"	"239"	"20"	"8"	"4"	"10"	"28"	"649"	""	"649"	""
"37"	"23"	"473"	"15"	"5"	"9"	"90"	"8"	"4"	"3"	"8"	"21"	"636"	""	"636"	""
"38"	"24"	"498"	"14"	"3"	"3"	"101"	"7"	"0"	"3"	"2"	"19"	"650"	""	"650"	""
"39"	"25"	"213"	"19"	"4"	"7"	"226"	"10"	"4"	"5"	"5"	"88"	"581"	""	"581"	""
"40"	"26"	"293"	"8"	"6"	"14"	"214"	"28"	"2"	"4"	"4"	"44"	"617"	""	"617"	""
"41"	"27"	"121"	"17"	"6"	"13"	"268"	"13"	"11"	"3"	"5"	"13"	"470"	""	"470"	""
"42"	"28"	"137"	"86"	"23"	"9"	"111"	"13"	"4"	"9"	"10"	"142"	"544"	""	"544"	""
"43"	"TOTAL"	"3126"	"608"	"128"	"197"	"3481"	"263"	"84"	"94"	"88"	"692"	"8761"	"0"	"8761"	"0"
"44"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"45"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"47"	"29"	"153"	"104"	"9"	"8"	"119"	"15"	"4"	"15"	"5"	"127"	"559"	""	"559"	""
"48"	"30"	"134"	"19"	"2"	"11"	"106"	"14"	"1"	"5"	"6"	"89"	"387"	""	"387"	""
"49"	"31"	"23"	"28"	"4"	"3"	"156"	"8"	"2"	"6"	"2"	"28"	"260"	""	"260"	""
"50"	"32"	"173"	"41"	"4"	"4"	"188"	"19"	"3"	"2"	"4"	"55"	"493"	""	"493"	""
"51"	"33"	"208"	"45"	"9"	"13"	"236"	"33"	"1"	"9"	"5"	"81"	"640"	""	"640"	""
"52"	"34"	"496"	"50"	"4"	"1"	"110"	"9"	"1"	"2"	"1"	"12"	"686"	""	"686"	""
"53"	"35"	"197"	"130"	"9"	"10"	"301"	"11"	"1"	"5"	"4"	"15"	"683"	""	"683"	""
"54"	"36"	"437"	"59"	"3"	"12"	"175"	"14"	"2"	"3"	"4"	"28"	"737"	""	"737"	""
"55"	"37"	"207"	"47"	"5"	"10"	"343"	"33"	"4"	"8"	"8"	"36"	"701"	""	"701"	""
"56"	"38"	"133"	"67"	"12"	"22"	"518"	"28"	"9"	"6"	"5"	"31"	"831"	""	"831"	""
"57"	"39"	"44"	"64"	"3"	"20"	"241"	"14"	"5"	"4"	"4"	"46"	"445"	""	"445"	""
"58"	"40"	"207"	"77"	"6"	"16"	"180"	"15"	"4"	"9"	"3"	"105"	"622"	""	"622"	""
"59"	"41"	"154"	"4"	"5"	"17"	"430"	"22"	"4"	"2"	"7"	"21"	"666"	""	"666"	""
"60"	"42"	"83"	"122"	"5"	"11"	"278"	"21"	"9"	"4"	"6"	"48"	"587"	""	"587"	""
"61"	"TOTAL"	"2649"	"857"	"80"	"158"	"3381"	"256"	"50"	"80"	"64"	"722"	"8297"	"0"	"8297"	"0"
"62"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"63"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"64"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"65"	"43"	"152"	"342"	"3"	"12"	"199"	"15"	"7"	"10"	"6"	"31"	"777"	""	"777"	""
"66"	"44"	"29"	"21"	"6"	"12"	"74"	"12"	"3"	"5"	"4"	"405"	"571"	""	"571"	""
"67"	"45"	"18"	"36"	"1"	"5"	"88"	"6"	"3"	"6"	"1"	"358"	"522"	""	"522"	""
"68"	"46"	"156"	"460"	"3"	"2"	"32"	"3"	"0"	"2"	"4"	"2"	"664"	""	"664"	""
"69"	"47"	"68"	"230"	"13"	"2"	"38"	"4"	"0"	"5"	"2"	"6"	"368"	""	"368"	""
"70"	"48"	"13"	"467"	"7"	"1"	"62"	"3"	"3"	"5"	"9"	"24"	"594"	""	"594"	""
"71"	"49"	"11"	"469"	"11"	"6"	"93"	"5"	"1"	"6"	"4"	"11"	"617"	""	"617"	""
"72"	"50"	"16"	"319"	"19"	"5"	"215"	"10"	"3"	"8"	"7"	"10"	"612"	""	"612"	""
"73"	"51"	"28"	"352"	"3"	"3"	"168"	"11"	"2"	"1"	"3"	"11"	"582"	""	"582"	""
"74"	"52"	"72"	"552"	"10"	"5"	"107"	"3"	"2"	"6"	"6"	"7"	"770"	""	"770"	""
"75"	"53"	"128"	"591"	"15"	"4"	"28"	"3"	"3"	"13"	"1"	"34"	"820"	""	"820"	""
"76"	"54"	"27"	"186"	"1"	"4"	"35"	"1"	"0"	"14"	"3"	"36"	"307"	""	"307"	""
"77"	"55"	"20"	"155"	"13"	"11"	"265"	"7"	"4"	"6"	"6"	"26"	"513"	""	"513"	""
"78"	"56"	"15"	"248"	"4"	"13"	"164"	"7"	"1"	"2"	"2"	"6"	"462"	""	"462"	""
"79"	"TOTAL"	"753"	"4428"	"109"	"85"	"1568"	"90"	"32"	"89"	"58"	"967"	"8179"	"0"	"8179"	"0"
"80"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"81"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"83"	"57"	"140"	"251"	"7"	"13"	"403"	"9"	"4"	"7"	"3"	"14"	"851"	""	"851"	""
"84"	"58"	"95"	"131"	"64"	"12"	"130"	"18"	"13"	"6"	"11"	"30"	"510"	""	"510"	""
"85"	"59"	"54"	"200"	"19"	"13"	"203"	"22"	"7"	"10"	"3"	"20"	"551"	""	"551"	""
"86"	"60"	"53"	"20"	"14"	"14"	"171"	"24"	"8"	"11"	"15"	"57"	"387"	""	"387"	""
"87"	"61"	"41"	"38"	"4"	"10"	"126"	"13"	"2"	"8"	"9"	"13"	"264"	""	"264"	""
"88"	"62"	"91"	"149"	"8"	"8"	"151"	"15"	"2"	"3"	"7"	"18"	"452"	""	"452"	""
"89"	"63"	"24"	"359"	"4"	"5"	"36"	"6"	"3"	"7"	"10"	"19"	"473"	""	"473"	""
"90"	"64"	"152"	"156"	"8"	"13"	"104"	"8"	"1"	"12"	"11"	"52"	"517"	""	"517"	""
"91"	"65"	"78"	"324"	"8"	"7"	"60"	"7"	"6"	"29"	"9"	"46"	"574"	""	"574"	""
"92"	"66"	"76"	"83"	"6"	"6"	"206"	"13"	"5"	"8"	"4"	"17"	"424"	""	"424"	""
"93"	"67"	"112"	"61"	"3"	"9"	"133"	"9"	"4"	"5"	"6"	"25"	"367"	""	"367"	""
"94"	"68"	"312"	"255"	"11"	"21"	"249"	"15"	"4"	"8"	"2"	"14"	"891"	""	"891"	""
"95"	"69"	"32"	"19"	"1"	"8"	"606"	"5"	"0"	"2"	"1"	"9"	"683"	""	"683"	""
"96"	"70"	"157"	"44"	"4"	"11"	"467"	"15"	"3"	"5"	"5"	"20"	"731"	""	"731"	""
"97"	"TOTAL"	"1417"	"2090"	"161"	"150"	"3045"	"179"	"62"	"121"	"96"	"354"	"7675"	"0"	"7675"	"0"
"98"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"99"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"101"	"71"	"298"	"38"	"5"	"9"	"162"	"13"	"6"	"2"	"5"	"25"	"563"	""	"563"	""
"102"	"72"	"201"	"18"	"10"	"15"	"436"	"15"	"6"	"1"	"2"	"21"	"725"	""	"725"	""
"103"	"73"	"198"	"31"	"8"	"27"	"387"	"28"	"2"	"7"	"1"	"24"	"713"	""	"713"	""
"104"	"74"	"337"	"9"	"2"	"11"	"163"	"10"	"0"	"3"	"6"	"26"	"567"	""	"567"	""
"105"	"75"	"432"	"49"	"2"	"11"	"195"	"15"	"4"	"5"	"4"	"51"	"768"	""	"768"	""
"106"	"76"	"73"	"26"	"44"	"18"	"447"	"31"	"3"	"1"	"4"	"37"	"684"	""	"684"	""
"107"	"77"	"46"	"3"	"0"	"3"	"202"	"6"	"1"	"0"	"0"	"20"	"281"	""	"281"	""
"108"	"78"	"426"	"17"	"0"	"2"	"137"	"5"	"0"	"0"	"0"	"4"	"591"	""	"591"	""
"109"	"79"	"201"	"21"	"2"	"32"	"248"	"14"	"2"	"3"	"0"	"14"	"537"	""	"537"	""
"110"	"80"	"441"	"19"	"5"	"11"	"186"	"11"	"5"	"1"	"6"	"24"	"709"	""	"709"	""
"111"	"81"	"48"	"221"	"9"	"17"	"139"	"14"	"6"	"16"	"10"	"33"	"513"	""	"513"	""
"112"	"82"	"47"	"199"	"9"	"13"	"122"	"7"	"11"	"14"	"7"	"19"	"448"	""	"448"	""
"113"	"83"	"294"	"7"	"3"	"4"	"67"	"6"	"2"	"4"	"4"	"17"	"408"	""	"408"	""
"114"	"84"	"93"	"302"	"16"	"17"	"207"	"14"	"9"	"8"	"18"	"35"	"719"	""	"719"	""
"115"	"TOTAL"	"3135"	"960"	"115"	"190"	"3098"	"189"	"57"	"65"	"67"	"350"	"8226"	"0"	"8226"	"0"
"116"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"117"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"119"	"85"	"252"	"85"	"11"	"17"	"202"	"15"	"6"	"6"	"4"	"20"	"618"	""	"618"	""
"120"	"86"	"11"	"115"	"4"	"3"	"134"	"7"	"4"	"3"	"6"	"7"	"294"	""	"294"	""
"121"	"87"	"21"	"248"	"7"	"9"	"253"	"22"	"7"	"21"	"7"	"92"	"687"	""	"687"	""
"122"	"88"	"101"	"68"	"4"	"15"	"316"	"27"	"11"	"16"	"12"	"189"	"759"	""	"759"	""
"123"	"89"	"14"	"114"	"9"	"8"	"113"	"13"	"3"	"13"	"3"	"21"	"311"	""	"311"	""
"124"	"90"	"50"	"7"	"3"	"10"	"330"	"9"	"3"	"4"	"2"	"33"	"451"	""	"451"	""
"125"	"91"	"30"	"93"	"4"	"2"	"9"	"1"	"0"	"9"	"13"	"164"	"325"	""	"325"	""
"126"	"92"	"21"	"146"	"9"	"15"	"104"	"9"	"5"	"13"	"12"	"31"	"365"	""	"365"	""
"127"	"93"	"16"	"186"	"7"	"9"	"139"	"12"	"3"	"14"	"10"	"59"	"455"	""	"455"	""
"128"	"94"	"27"	"30"	"5"	"3"	"211"	"17"	"7"	"12"	"5"	"63"	"380"	""	"380"	""
"129"	"95"	"252"	"26"	"2"	"4"	"111"	"11"	"3"	"0"	"4"	"19"	"432"	""	"432"	""
"130"	"96"	"292"	"43"	"5"	"5"	"118"	"17"	"3"	"1"	"0"	"3"	"487"	""	"487"	""
"131"	"97"	"322"	"59"	"0"	"4"	"78"	"3"	"0"	"0"	"1"	"8"	"475"	""	"475"	""
"132"	"98"	"131"	"19"	"5"	"9"	"210"	"10"	"1"	"1"	"2"	"19"	"407"	""	"407"	""
"133"	"TOTAL"	"1540"	"1239"	"75"	"113"	"2328"	"173"	"56"	"113"	"81"	"728"	"6446"	"0"	"6446"	"0"
"134"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"135"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"137"	"99"	"164"	"61"	"4"	"7"	"74"	"4"	"2"	"1"	"3"	"3"	"323"	""	"323"	""
"138"	"100"	"149"	"96"	"2"	"8"	"237"	"11"	"6"	"3"	"4"	"14"	"530"	""	"530"	""
"139"	"101"	"93"	"59"	"2"	"15"	"339"	"14"	"3"	"3"	"7"	"38"	"573"	""	"573"	""
"140"	"102"	"23"	"6"	"1"	"8"	"189"	"6"	"2"	"1"	"0"	"14"	"250"	""	"250"	""
"141"	"103"	"215"	"38"	"3"	"13"	"194"	"11"	"4"	"3"	"3"	"22"	"506"	""	"506"	""
"142"	"104"	"111"	"58"	"5"	"4"	"130"	"6"	"1"	"3"	"3"	"5"	"326"	""	"326"	""
"143"	"105"	"497"	"34"	"8"	"5"	"101"	"12"	"2"	"2"	"3"	"7"	"671"	""	"671"	""
"144"	"106"	"481"	"12"	"0"	"6"	"95"	"2"	"2"	"1"	"0"	"5"	"604"	""	"604"	""
"145"	"107"	"317"	"37"	"3"	"3"	"61"	"2"	"0"	"1"	"0"	"1"	"425"	""	"425"	""
"146"	"108"	"178"	"56"	"13"	"1"	"186"	"5"	"0"	"6"	"1"	"7"	"453"	""	"453"	""
"147"	"109"	"193"	"6"	"1"	"1"	"45"	"2"	"0"	"13"	"1"	"0"	"262"	""	"262"	""
"148"	"110"	"466"	"24"	"5"	"1"	"115"	"4"	"0"	"6"	"0"	"13"	"634"	""	"634"	""
"149"	"111"	"453"	"39"	"5"	"9"	"238"	"15"	"4"	"2"	"1"	"16"	"782"	""	"782"	""
"150"	"112"	"440"	"15"	"0"	"1"	"71"	"1"	"0"	"0"	"2"	"3"	"533"	""	"533"	""
"151"	"TOTAL"	"3780"	"541"	"52"	"82"	"2075"	"95"	"26"	"45"	"28"	"148"	"6872"	"0"	"6872"	"0"
"152"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"153"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"154"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"155"	"113"	"352"	"14"	"2"	"5"	"185"	"3"	"0"	"2"	"1"	"6"	"570"	""	"570"	""
"156"	"114"	"193"	"75"	"5"	"8"	"194"	"7"	"1"	"8"	"5"	"14"	"510"	""	"510"	""
"157"	"115"	"312"	"30"	"1"	"5"	"76"	"2"	"1"	"8"	"1"	"8"	"444"	""	"444"	""
"158"	"116"	"305"	"87"	"2"	"3"	"73"	"8"	"3"	"5"	"6"	"19"	"511"	""	"511"	""
"159"	"117"	"92"	"102"	"8"	"13"	"237"	"26"	"6"	"7"	"3"	"22"	"516"	""	"516"	""
"160"	"118"	"347"	"47"	"0"	"0"	"44"	"5"	"0"	"2"	"3"	"9"	"457"	""	"457"	""
"161"	"119"	"358"	"30"	"4"	"11"	"123"	"10"	"2"	"0"	"5"	"12"	"555"	""	"555"	""
"162"	"120"	"330"	"47"	"14"	"14"	"162"	"7"	"3"	"0"	"1"	"10"	"588"	""	"588"	""
"163"	"121"	"212"	"39"	"15"	"13"	"253"	"11"	"6"	"4"	"3"	"16"	"572"	""	"572"	""
"164"	"122"	"249"	"18"	"3"	"10"	"120"	"8"	"0"	"0"	"2"	"7"	"417"	""	"417"	""
"165"	"123"	"276"	"21"	"5"	"4"	"74"	"12"	"2"	"4"	"1"	"2"	"401"	""	"401"	""
"166"	"124"	"145"	"108"	"10"	"7"	"83"	"17"	"4"	"6"	"8"	"155"	"543"	""	"543"	""
"167"	"125"	"126"	"307"	"5"	"10"	"79"	"7"	"2"	"8"	"3"	"80"	"627"	""	"627"	""
"168"	"126"	"248"	"180"	"4"	"7"	"85"	"8"	"3"	"2"	"10"	"102"	"649"	""	"649"	""
"169"	"TOTAL"	"3545"	"1105"	"78"	"110"	"1788"	"131"	"33"	"56"	"52"	"462"	"7360"	"0"	"7360"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"171"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"173"	"127"	"80"	"84"	"5"	"4"	"69"	"8"	"1"	"3"	"9"	"42"	"305"	""	"305"	""
"174"	"128"	"226"	"16"	"2"	"8"	"169"	"19"	"5"	"9"	"9"	"44"	"507"	""	"507"	""
"175"	"129"	"651"	"2"	"0"	"1"	"9"	"2"	"3"	"0"	"0"	"5"	"673"	""	"673"	""
"176"	"130"	"26"	"197"	"17"	"5"	"85"	"9"	"4"	"10"	"15"	"27"	"395"	""	"395"	""
"177"	"131"	"33"	"164"	"8"	"14"	"287"	"13"	"6"	"10"	"14"	"82"	"631"	""	"631"	""
"178"	"132"	"25"	"142"	"7"	"13"	"209"	"15"	"6"	"11"	"5"	"38"	"471"	""	"471"	""
"179"	"133"	"18"	"219"	"6"	"6"	"100"	"11"	"5"	"11"	"15"	"68"	"459"	""	"459"	""
"180"	"134"	"41"	"135"	"8"	"12"	"285"	"35"	"7"	"11"	"18"	"42"	"594"	""	"594"	""
"181"	"135"	"123"	"102"	"6"	"14"	"385"	"20"	"3"	"4"	"3"	"24"	"684"	""	"684"	""
"182"	"136"	"152"	"28"	"12"	"16"	"316"	"22"	"6"	"11"	"11"	"45"	"619"	""	"619"	""
"183"	"137"	"8"	"4"	"3"	"9"	"690"	"7"	"1"	"2"	"0"	"19"	"743"	""	"743"	""
"184"	"138"	"182"	"54"	"5"	"43"	"358"	"35"	"4"	"7"	"5"	"40"	"733"	""	"733"	""
"185"	"139"	"3"	"12"	"1"	"0"	"257"	"1"	"0"	"1"	"0"	"1"	"276"	""	"276"	""
"186"	"140"	"459"	"27"	"3"	"11"	"122"	"17"	"2"	"7"	"7"	"41"	"696"	""	"696"	""
"187"	"TOTAL"	"2027"	"1186"	"83"	"156"	"3341"	"214"	"53"	"97"	"111"	"518"	"7786"	"0"	"7786"	"0"
"188"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"189"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"190"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"191"	"141"	"230"	"6"	"3"	"13"	"363"	"20"	"1"	"1"	"7"	"42"	"686"	""	"686"	""
"192"	"142"	"56"	"38"	"9"	"17"	"209"	"28"	"0"	"3"	"4"	"15"	"379"	""	"379"	""
"193"	"143"	"154"	"20"	"7"	"20"	"234"	"26"	"4"	"8"	"2"	"33"	"508"	""	"508"	""
"194"	"144"	"251"	"14"	"8"	"14"	"375"	"19"	"0"	"1"	"3"	"16"	"701"	""	"701"	""
"195"	"145"	"52"	"76"	"7"	"12"	"550"	"17"	"7"	"14"	"7"	"37"	"779"	""	"779"	""
"196"	"146"	"93"	"45"	"9"	"14"	"342"	"23"	"6"	"6"	"7"	"25"	"570"	""	"570"	""
"197"	"147"	"110"	"30"	"8"	"13"	"291"	"21"	"2"	"2"	"4"	"27"	"508"	""	"508"	""
"198"	"148"	"21"	"26"	"5"	"27"	"643"	"35"	"3"	"3"	"12"	"45"	"820"	""	"820"	""
"199"	"149"	"35"	"45"	"3"	"27"	"420"	"25"	"2"	"5"	"4"	"27"	"593"	""	"593"	""
"200"	"150"	"49"	"3"	"1"	"6"	"458"	"5"	"2"	"1"	"1"	"6"	"532"	""	"532"	""
"201"	"151"	"238"	"78"	"9"	"9"	"146"	"12"	"3"	"7"	"10"	"29"	"541"	""	"541"	""
