"PS.NO"	"ARVIND.KUMAR.SINGH"	"MD..JAMAL"	"MAHENDRA.SAHNI"	"AJIT.KUMAR"	"M.D..QUASIM"	"SHASHI.BHUSHAN.SINGH"	"ASHOK.BAITHA"	"GANESH.PASWAN"	"DEVENDAR.RAM"	"MUKESH.KUMAR"	"MD..HAIDAR.AZAD"	"RAMJI.PASWAN"	"LAKHICHANDRA.RAY"	"LOK.NATH.DAS"	"SHASHI.KUMAR.SINGH"	"SUDHIR.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"77"	75	65	245	12	80	8	0	0	0	3	2	1	9	6	3	16	30	-480	""	""
"78"	76	39	146	10	238	3	3	3	0	2	11	5	17	4	3	6	14	-504	""	""
"79"	77	36	130	13	301	6	2	1	2	1	7	2	6	4	4	3	8	-526	""	""
"80"	78	17	183	12	191	7	1	1	1	0	1	5	1	4	1	6	6	-437	""	""
"81"	79	90	74	136	158	5	2	1	0	2	1	1	5	1	1	2	3	-482	""	""
"82"	80	14	77	27	129	2	5	4	2	6	9	6	5	4	0	2	3	-295	""	""
"83"	81	94	265	160	125	6	8	2	13	12	7	10	26	21	16	15	47	-827	""	""
"84"	82	42	99	100	102	2	2	1	2	9	6	7	19	8	11	12	45	-467	""	""
"85"	83	68	243	9	45	2	2	0	2	0	1	3	0	3	1	5	16	-400	""	""
"86"	84	80	91	8	193	4	1	1	2	2	5	4	5	4	2	5	12	-419	""	""
"87"	85	189	164	8	65	0	0	2	1	2	5	7	7	1	5	8	18	-482	""	""
"88"	86	18	146	4	54	13	0	1	0	0	3	2	5	4	2	8	5	-265	""	""
"89"	87	121	65	8	200	5	3	2	2	0	8	5	14	6	5	2	14	-460	""	""
"90"	88	184	569	6	17	4	2	1	0	0	1	2	1	0	3	8	3	-801	""	""
"91"	89	76	305	15	152	2	1	1	3	2	1	6	5	7	3	10	14	-603	""	""
"92"	90	62	323	13	140	15	1	0	4	4	5	3	8	6	6	9	7	-606	""	""
"93"	91	103	187	12	204	3	4	1	1	0	2	5	11	4	1	3	5	-546	""	""
"94"	92	25	313	7	112	70	2	0	4	2	4	5	6	1	3	3	5	-562	""	""
"95"	NA	18	222	4	67	51	3	2	1	1	1	2	3	0	0	3	4	-382	""	""
"96"	93	110	181	5	114	13	0	0	1	0	1	6	7	1	3	4	2	-448	""	""
"97"	NA	55	154	3	89	5	3	1	1	0	3	3	2	2	1	3	5	-330	""	""
"98"	94	34	111	1	69	1	4	0	0	0	0	0	2	2	2	0	2	-228	""	""
"99"	95	114	152	7	294	8	6	3	4	12	15	13	19	13	6	13	20	-699	""	""
"100"	96	71	388	18	166	9	4	1	2	5	12	4	3	3	3	5	4	-698	""	""
"101"	97	18	222	9	88	41	2	0	0	0	1	0	4	1	1	1	3	-391	""	""
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"103"	NA	45	132	6	226	13	5	3	1	0	6	2	12	2	3	4	10	-470	""	""
"104"	98	42	180	13	140	7	5	0	1	6	2	0	5	2	4	6	4	-417	""	""
"105"	NA	69	30	5	141	4	2	2	0	0	0	2	5	1	1	1	3	-266	""	""
"106"	99	107	141	28	255	0	6	0	0	3	8	8	11	5	6	7	10	-595	""	""
"107"	100	81	27	2	134	0	2	0	0	0	1	0	3	1	0	1	3	-255	""	""
"108"	101	45	250	133	210	15	7	3	4	4	6	14	14	4	2	7	20	-738	""	""
"109"	102	137	121	18	171	6	3	1	0	1	3	5	9	6	2	4	0	-487	""	""
"110"	103	36	287	11	53	4	1	3	1	1	5	5	8	0	1	4	6	-426	""	""
"111"	104	21	105	37	69	8	3	0	1	1	6	3	7	0	3	4	5	-273	""	""
"112"	105	29	88	479	238	5	8	2	1	4	7	7	6	6	5	0	5	-890	""	""
"113"	106	72	131	101	200	5	7	0	1	4	2	5	9	7	9	5	7	-565	""	""
"114"	107	21	129	126	166	5	6	1	1	7	7	3	14	8	4	3	1	-502	""	""
"115"	108	48	112	118	134	5	6	3	7	3	11	10	15	6	3	3	18	-502	""	""
"116"	109	24	21	633	122	9	8	2	4	5	3	7	11	7	10	8	11	-885	""	""
"117"	110	4	198	6	86	2	3	1	0	0	0	0	3	0	1	3	2	-309	""	""
"118"	111	56	130	29	435	9	14	2	6	5	11	15	29	28	10	11	29	-819	""	""
"119"	112	49	264	17	341	7	8	6	11	7	24	14	40	26	12	25	54	-905	""	""
"120"	113	39	172	20	299	16	5	3	6	6	9	9	38	30	4	15	28	-699	""	""
"121"	114	22	102	7	101	2	3	0	0	30	2	2	8	1	1	1	5	-287	""	""
"122"	115	7	59	4	209	0	0	1	0	0	1	0	0	0	0	0	1	-282	""	""
"123"	116	34	34	4	300	2	0	0	0	1	8	2	5	8	0	3	1	-402	""	""
"124"	117	36	99	7	275	1	3	1	0	2	4	1	15	13	3	9	9	-478	""	""
"125"	118	36	327	17	278	6	8	0	1	0	7	4	8	5	4	8	6	-715	""	""
"126"	119	165	134	3	84	2	0	0	1	0	1	1	0	0	0	1	0	-392	""	""
"127"	120	117	165	10	120	0	0	0	1	0	1	0	3	0	1	0	1	-419	""	""
"128"	121	139	216	4	232	8	6	1	1	6	3	4	9	1	2	12	6	-650	""	""
"129"	122	107	148	48	206	4	3	2	1	16	11	4	19	6	5	15	15	-610	""	""
"130"	123	123	121	25	201	3	11	0	0	2	10	10	16	10	2	3	12	-549	""	""
"131"	124	31	126	63	234	9	8	4	2	1	10	4	5	10	1	5	14	-527	""	""
"132"	125	49	259	113	193	10	11	6	2	5	9	6	3	4	4	8	6	-688	""	""
"133"	126	52	162	59	347	10	14	7	5	6	22	14	54	22	6	23	31	-834	""	""
"134"	127	22	284	15	129	19	5	2	6	2	7	5	10	5	2	8	5	-526	""	""
"135"	128	16	106	6	92	4	6	0	1	2	6	6	8	6	5	7	4	-275	""	""
"136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"137"	129	37	28	12	629	12	11	5	1	0	4	2	8	4	1	4	11	-769	""	""
"138"	130	94	177	21	120	6	5	0	0	5	7	12	19	18	7	22	19	-532	""	""
"139"	131	21	185	15	99	8	2	2	2	5	11	7	22	21	4	25	21	-450	""	""
"140"	132	54	182	19	309	12	14	3	4	3	12	19	26	40	13	15	37	-762	""	""
"141"	133	89	39	0	117	1	2	0	0	0	4	0	3	0	0	1	0	-256	""	""
"142"	134	50	117	9	352	10	6	1	4	1	7	14	22	35	6	14	22	-670	""	""
"143"	135	31	92	17	344	14	6	0	0	1	7	10	12	36	2	7	17	-596	""	""
"144"	136	70	403	10	53	18	1	1	1	0	1	3	1	1	0	4	3	-570	""	""
"145"	137	18	173	8	61	6	1	5	0	3	0	7	11	13	3	7	3	-319	""	""
"146"	138	15	178	11	250	16	1	0	1	0	0	0	6	2	2	4	9	-495	""	""
"147"	139	21	267	46	298	1	1	1	0	0	1	0	3	5	0	1	1	-646	""	""
"148"	140	27	219	4	139	10	0	1	0	0	1	1	1	4	0	1	0	-408	""	""
"149"	141	29	240	11	208	8	1	1	1	3	3	2	16	6	2	10	14	-555	""	""
"150"	142	6	14	7	278	7	3	0	1	1	3	1	10	215	4	2	2	-554	""	""
"151"	143	30	72	15	314	10	2	1	2	2	3	3	15	33	4	4	9	-519	""	""
"152"	144	14	41	2	230	3	1	0	1	0	4	0	1	5	0	2	3	-307	""	""
"153"	145	25	164	3	67	2	0	0	0	0	1	0	5	6	1	4	2	-280	""	""
"154"	146	28	633	10	103	6	1	2	3	0	4	6	7	13	3	14	5	-838	""	""
"155"	147	30	281	15	92	7	2	4	3	3	2	4	4	12	1	8	12	-480	""	""
"156"	148	36	401	15	179	12	9	4	2	3	3	7	12	12	4	5	7	-711	""	""
"157"	149	41	158	0	149	0	5	0	0	1	0	4	2	1	2	3	0	-366	""	""
"158"	150	20	211	19	386	12	9	2	4	4	7	4	20	28	4	20	16	-766	""	""
"159"	151	27	409	13	134	3	5	0	2	0	8	9	18	11	5	17	11	-672	""	""
"160"	152	30	328	18	191	5	4	3	4	0	6	6	5	13	1	16	9	-639	""	""
"161"	153	12	190	3	17	2	0	1	0	0	0	1	0	7	2	5	3	-243	""	""
"162"	154	17	152	10	207	12	1	2	3	1	6	5	15	18	3	8	14	-474	""	""
"163"	155	19	271	6	35	2	0	1	1	0	3	2	5	4	3	3	2	-357	""	""
"164"	156	31	199	15	205	12	6	3	4	1	5	5	10	5	2	11	12	-526	""	""
"165"	157	67	249	55	327	14	7	3	3	4	10	14	14	29	6	14	35	-851	""	""
"166"	158	42	173	23	359	4	3	2	3	3	5	17	17	13	6	11	14	-695	""	""
"167"	159	51	57	2	219	5	3	3	1	2	4	4	15	16	2	8	6	-398	""	""
"168"	160	69	92	42	245	3	3	1	1	2	6	4	8	4	5	9	11	-505	""	""
"169"	161	41	76	7	127	0	3	0	0	1	2	2	2	6	0	2	3	-272	""	""
"170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"171"	162	20	210	18	201	7	5	1	0	6	5	5	14	12	5	17	33	-559	""	""
"172"	163	18	251	248	57	7	1	0	2	1	2	4	6	6	15	13	4	-635	""	""
"173"	164	27	187	11	117	10	3	2	1	2	8	5	7	12	1	9	19	-421	""	""
"174"	165	23	111	37	167	6	3	1	2	0	6	7	25	39	8	24	24	-483	""	""
"175"	166	18	95	24	190	12	0	0	1	2	5	7	9	5	2	7	17	-394	""	""
"176"	167	12	64	11	215	12	7	3	1	4	14	10	24	31	8	11	30	-457	""	""
"177"	168	12	14	4	623	5	0	1	2	0	1	1	1	6	2	1	2	-675	""	""
"178"	169	42	240	99	179	5	2	0	0	1	3	1	5	3	4	2	3	-589	""	""
"179"	170	31	208	16	216	9	1	1	1	0	5	2	9	5	0	8	11	-523	""	""
"180"	171	18	199	9	329	9	1	3	3	3	3	11	15	18	8	6	14	-649	""	""
"181"	172	59	105	18	290	3	1	1	0	0	2	2	11	7	1	2	2	-504	""	""
"182"	173	37	206	10	305	9	11	3	4	7	12	18	24	27	4	8	18	-703	""	""
"183"	174	9	331	75	88	4	3	0	2	1	0	3	5	10	3	1	0	-535	""	""
"184"	175	28	324	22	230	4	6	2	1	1	12	13	17	15	13	33	21	-742	""	""
"185"	176	8	50	11	63	1	1	1	0	0	2	3	4	3	3	1	2	-153	""	""
"186"	177	13	187	4	279	2	1	0	1	0	2	0	5	77	1	0	2	-574	""	""
"187"	178	47	269	16	369	10	4	2	2	4	9	10	22	51	15	19	33	-882	""	""
"188"	179	33	366	19	203	18	7	0	4	7	5	8	23	23	6	18	14	-754	""	""
"189"	180	12	93	4	83	4	4	4	1	3	4	2	6	18	5	4	16	-263	""	""
"190"	181	15	193	4	24	0	0	1	1	1	4	1	1	6	3	4	5	-263	""	""
"191"	182	21	507	23	116	10	6	1	0	2	6	7	13	11	1	6	6	-736	""	""
"192"	183	28	134	17	124	4	2	3	4	2	10	9	18	19	2	12	10	-398	""	""
"193"	184	48	128	5	87	5	0	1	1	1	4	3	8	103	6	7	18	-425	""	""
"194"	185	15	190	4	249	3	2	0	0	2	1	4	9	19	3	5	4	-510	""	""
"195"	186	52	138	6	138	6	1	1	2	0	3	4	6	13	1	8	11	-390	""	""
"196"	187	32	101	7	296	10	1	2	1	4	6	2	8	10	3	8	17	-508	""	""
"197"	188	29	181	6	54	4	3	2	6	4	4	5	7	156	7	9	15	-492	""	""
"198"	189	22	62	3	66	1	3	2	0	1	3	3	6	234	7	5	6	-424	""	""
"199"	190	18	74	4	365	2	4	2	1	4	4	2	11	51	3	9	6	-560	""	""
"200"	191	35	140	7	394	9	3	2	0	3	9	12	33	4	7	14	0	-672	""	""
"201"	192	77	310	15	191	13	3	4	3	4	10	3	11	23	5	5	3	-680	""	""
"202"	193	122	300	21	273	13	15	3	6	6	7	15	16	11	6	16	21	-851	""	""
"203"	194	57	211	12	195	3	6	1	1	3	5	8	10	10	4	11	20	-557	""	""
"204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"205"	NA	8579	34819	4965	38987	1444	706	288	324	481	987	962	2056	3285	689	1472	2202	-102246	""	""
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	102246	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"207"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	102246	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
