"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.votes"	"Total"	"No..of.Tendered.votes"
"14"	"12"	"98"	"8"	"48"	"171"	"27"	"1"	"14"	"6"	"5"	"378"	"0"	"378"	"0"
"15"	"13"	"49"	"4"	"122"	"327"	"47"	"7"	"2"	"2"	"8"	"568"	"0"	"568"	"0"
"16"	"14"	"76"	"3"	"81"	"18"	"16"	"3"	"4"	"0"	"3"	"204"	"0"	"204"	"0"
"17"	"Total"	"1389"	"106"	"2124"	"2752"	"468"	"105"	"82"	"39"	"104"	"7169"	"0"	"7169"	"0"
"18"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"19"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"21"	"15"	"141"	"30"	"109"	"327"	"53"	"5"	"4"	"1"	"8"	"678"	"0"	"678"	"0"
"22"	"16"	"133"	"5"	"164"	"180"	"41"	"11"	"3"	"3"	"6"	"546"	"0"	"546"	"0"
"23"	"17"	"106"	"2"	"178"	"192"	"51"	"8"	"5"	"0"	"2"	"544"	"0"	"544"	"0"
"24"	"18"	"101"	"6"	"162"	"288"	"29"	"9"	"4"	"2"	"4"	"605"	"0"	"605"	"0"
"25"	"19"	"104"	"11"	"316"	"174"	"24"	"24"	"1"	"3"	"7"	"664"	"0"	"664"	"0"
"26"	"20"	"137"	"66"	"148"	"250"	"36"	"5"	"9"	"9"	"16"	"676"	"0"	"676"	"0"
"27"	"21"	"113"	"7"	"210"	"125"	"36"	"4"	"12"	"6"	"8"	"521"	"0"	"521"	"0"
"28"	"22"	"154"	"9"	"149"	"277"	"43"	"12"	"5"	"2"	"10"	"661"	"0"	"661"	"0"
"29"	"23"	"144"	"0"	"88"	"393"	"17"	"9"	"4"	"1"	"29"	"685"	"0"	"685"	"0"
"30"	"24"	"110"	"9"	"242"	"238"	"48"	"18"	"12"	"0"	"16"	"693"	"0"	"693"	"0"
"31"	"25"	"161"	"2"	"77"	"264"	"13"	"2"	"5"	"0"	"18"	"542"	"0"	"542"	"0"
"32"	"26"	"138"	"3"	"109"	"201"	"26"	"8"	"4"	"3"	"16"	"508"	"0"	"508"	"0"
"33"	"27"	"237"	"10"	"28"	"54"	"20"	"0"	"1"	"4"	"10"	"364"	"0"	"364"	"0"
"34"	"28"	"56"	"2"	"53"	"258"	"35"	"2"	"4"	"1"	"3"	"414"	"0"	"414"	"0"
"35"	"Total"	"1835"	"162"	"2033"	"3221"	"472"	"117"	"73"	"35"	"153"	"8101"	"0"	"8101"	"0"
"36"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"37"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"39"	"29"	"62"	"7"	"169"	"367"	"33"	"12"	"6"	"2"	"14"	"672"	"0"	"672"	"0"
"40"	"30"	"69"	"6"	"37"	"261"	"11"	"0"	"2"	"0"	"1"	"387"	"0"	"387"	"0"
"41"	"31"	"66"	"3"	"27"	"233"	"21"	"2"	"1"	"1"	"3"	"357"	"0"	"357"	"0"
"42"	"32"	"65"	"5"	"143"	"314"	"28"	"8"	"4"	"1"	"6"	"574"	"0"	"574"	"0"
"43"	"33"	"59"	"2"	"141"	"229"	"25"	"7"	"2"	"2"	"7"	"474"	"0"	"474"	"0"
"44"	"34"	"21"	"2"	"59"	"315"	"7"	"2"	"1"	"0"	"3"	"410"	"0"	"410"	"0"
"45"	"35"	"53"	"2"	"187"	"240"	"31"	"2"	"0"	"0"	"2"	"517"	"0"	"517"	"0"
"46"	"36"	"152"	"31"	"38"	"145"	"21"	"2"	"0"	"23"	"2"	"414"	"0"	"414"	"0"
"47"	"37"	"149"	"53"	"130"	"341"	"28"	"12"	"2"	"12"	"13"	"740"	"0"	"740"	"0"
"48"	"38"	"305"	"81"	"63"	"50"	"23"	"1"	"3"	"10"	"0"	"536"	"0"	"536"	"0"
"49"	"39"	"169"	"39"	"106"	"138"	"29"	"3"	"2"	"2"	"6"	"494"	"0"	"494"	"0"
"50"	"40"	"192"	"5"	"90"	"146"	"21"	"2"	"9"	"2"	"5"	"472"	"0"	"472"	"0"
"51"	"41"	"161"	"3"	"131"	"29"	"36"	"5"	"6"	"1"	"3"	"375"	"0"	"375"	"0"
"52"	"42"	"104"	"14"	"79"	"259"	"18"	"12"	"4"	"1"	"11"	"502"	"0"	"502"	"0"
"53"	"Total"	"1627"	"253"	"1400"	"3067"	"332"	"70"	"42"	"57"	"76"	"6924"	"0"	"6924"	"0"
"54"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"55"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"57"	"43"	"152"	"2"	"94"	"287"	"23"	"9"	"0"	"0"	"1"	"568"	"0"	"568"	"0"
"58"	"44"	"78"	"5"	"213"	"188"	"35"	"21"	"5"	"2"	"8"	"555"	"0"	"555"	"0"
"59"	"45"	"84"	"3"	"140"	"361"	"24"	"19"	"2"	"2"	"6"	"641"	"0"	"641"	"0"
"60"	"46"	"138"	"2"	"128"	"384"	"21"	"32"	"4"	"2"	"14"	"725"	"0"	"725"	"0"
"61"	"47"	"169"	"3"	"231"	"186"	"20"	"11"	"9"	"8"	"26"	"663"	"0"	"663"	"0"
"62"	"48"	"66"	"5"	"31"	"378"	"14"	"2"	"1"	"2"	"3"	"502"	"0"	"502"	"0"
"63"	"49"	"53"	"7"	"121"	"280"	"31"	"4"	"8"	"2"	"6"	"512"	"0"	"512"	"0"
"64"	"50"	"39"	"2"	"95"	"163"	"24"	"8"	"6"	"2"	"1"	"340"	"0"	"340"	"0"
"65"	"51"	"53"	"1"	"25"	"168"	"10"	"2"	"1"	"1"	"2"	"263"	"0"	"263"	"0"
"66"	"52"	"112"	"1"	"92"	"324"	"26"	"12"	"9"	"1"	"5"	"582"	"0"	"582"	"0"
"67"	"53"	"112"	"2"	"129"	"363"	"30"	"5"	"2"	"0"	"10"	"653"	"0"	"653"	"0"
"68"	"54"	"66"	"3"	"268"	"201"	"77"	"7"	"10"	"5"	"9"	"646"	"0"	"646"	"0"
"69"	"55"	"69"	"11"	"208"	"297"	"49"	"14"	"13"	"7"	"25"	"693"	"0"	"693"	"0"
"70"	"56"	"92"	"7"	"127"	"249"	"45"	"4"	"4"	"4"	"13"	"545"	"0"	"545"	"0"
"71"	"Total"	"1283"	"54"	"1902"	"3829"	"429"	"150"	"74"	"38"	"129"	"7888"	"0"	"7888"	"0"
"72"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"73"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"75"	"57"	"59"	"4"	"157"	"242"	"48"	"7"	"15"	"6"	"7"	"545"	"0"	"545"	"0"
"76"	"58"	"149"	"5"	"299"	"219"	"53"	"10"	"17"	"10"	"28"	"790"	"0"	"790"	"0"
"77"	"59"	"83"	"15"	"202"	"144"	"36"	"17"	"4"	"3"	"18"	"522"	"0"	"522"	"0"
"78"	"59A"	"72"	"2"	"85"	"153"	"10"	"1"	"4"	"1"	"10"	"338"	"0"	"338"	"0"
"79"	"60"	"178"	"5"	"226"	"114"	"25"	"9"	"6"	"5"	"14"	"582"	"0"	"582"	"0"
"80"	"61"	"92"	"7"	"64"	"132"	"129"	"8"	"3"	"1"	"5"	"441"	"0"	"441"	"0"
"81"	"62"	"160"	"8"	"151"	"290"	"135"	"15"	"10"	"6"	"19"	"794"	"0"	"794"	"0"
"82"	"63"	"298"	"6"	"116"	"300"	"71"	"35"	"13"	"4"	"32"	"875"	"0"	"875"	"0"
"83"	"64"	"244"	"5"	"16"	"217"	"54"	"5"	"3"	"2"	"15"	"561"	"0"	"561"	"0"
"84"	"65"	"74"	"7"	"159"	"81"	"209"	"24"	"10"	"3"	"12"	"579"	"0"	"579"	"0"
"85"	"66"	"349"	"13"	"81"	"148"	"157"	"43"	"17"	"11"	"33"	"852"	"0"	"852"	"0"
"86"	"67"	"158"	"13"	"169"	"137"	"129"	"46"	"8"	"15"	"34"	"709"	"0"	"709"	"0"
"87"	"68"	"249"	"69"	"70"	"112"	"60"	"3"	"7"	"5"	"13"	"588"	"0"	"588"	"0"
"88"	"69"	"373"	"20"	"70"	"245"	"60"	"14"	"5"	"2"	"14"	"803"	"0"	"803"	"0"
"89"	"Total"	"2538"	"179"	"1865"	"2534"	"1176"	"237"	"122"	"74"	"254"	"8979"	"0"	"8979"	"0"
"90"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"91"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"93"	"70"	"278"	"18"	"100"	"82"	"77"	"11"	"7"	"13"	"25"	"611"	"0"	"611"	"0"
"94"	"71"	"67"	"13"	"40"	"96"	"368"	"12"	"5"	"5"	"15"	"621"	"0"	"621"	"0"
"95"	"72"	"38"	"6"	"46"	"37"	"647"	"48"	"4"	"5"	"29"	"860"	"0"	"860"	"0"
"96"	"73"	"91"	"10"	"93"	"111"	"515"	"50"	"10"	"7"	"7"	"894"	"0"	"894"	"0"
"97"	"74"	"131"	"12"	"70"	"487"	"167"	"34"	"12"	"3"	"11"	"927"	"0"	"927"	"0"
"98"	"75"	"23"	"4"	"61"	"116"	"280"	"34"	"10"	"6"	"18"	"552"	"0"	"552"	"0"
"99"	"76"	"200"	"6"	"110"	"43"	"228"	"21"	"4"	"9"	"8"	"629"	"0"	"629"	"0"
"100"	"77"	"162"	"6"	"117"	"118"	"89"	"7"	"4"	"3"	"4"	"510"	"0"	"510"	"0"
"101"	"78"	"435"	"8"	"41"	"44"	"78"	"1"	"1"	"0"	"4"	"612"	"0"	"612"	"0"
"102"	"79"	"180"	"13"	"415"	"43"	"59"	"10"	"10"	"11"	"16"	"757"	"0"	"757"	"0"
"103"	"80"	"111"	"8"	"151"	"88"	"21"	"1"	"8"	"2"	"2"	"392"	"0"	"392"	"0"
"104"	"80A"	"195"	"2"	"70"	"48"	"4"	"1"	"0"	"1"	"1"	"322"	"0"	"322"	"0"
"105"	"81"	"68"	"7"	"409"	"73"	"201"	"16"	"10"	"1"	"10"	"795"	"0"	"795"	"0"
"106"	"82"	"83"	"12"	"309"	"130"	"34"	"8"	"5"	"7"	"15"	"603"	"0"	"603"	"0"
"107"	"Total"	"2062"	"125"	"2032"	"1516"	"2768"	"254"	"90"	"73"	"165"	"9085"	"0"	"9085"	"0"
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"109"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"111"	"83"	"183"	"6"	"292"	"134"	"52"	"11"	"4"	"3"	"5"	"690"	"0"	"690"	"0"
"112"	"84"	"126"	"7"	"482"	"68"	"48"	"26"	"13"	"13"	"8"	"791"	"0"	"791"	"0"
"113"	"85"	"321"	"38"	"305"	"52"	"41"	"13"	"6"	"5"	"8"	"789"	"0"	"789"	"0"
"114"	"86"	"196"	"22"	"217"	"155"	"94"	"20"	"5"	"7"	"26"	"742"	"0"	"742"	"0"
"115"	"87"	"223"	"18"	"215"	"14"	"33"	"6"	"4"	"2"	"6"	"521"	"0"	"521"	"0"
"116"	"87A"	"60"	"7"	"77"	"22"	"29"	"4"	"47"	"4"	"18"	"268"	"0"	"268"	"0"
"117"	"88"	"254"	"11"	"197"	"51"	"44"	"3"	"12"	"13"	"36"	"621"	"0"	"621"	"0"
"118"	"89"	"178"	"31"	"236"	"83"	"39"	"21"	"10"	"12"	"23"	"633"	"0"	"633"	"0"
"119"	"90"	"224"	"20"	"94"	"237"	"70"	"38"	"14"	"17"	"23"	"737"	"0"	"737"	"0"
"120"	"91"	"152"	"6"	"176"	"76"	"48"	"5"	"24"	"7"	"12"	"506"	"0"	"506"	"0"
"121"	"92"	"179"	"17"	"101"	"101"	"42"	"168"	"13"	"8"	"43"	"672"	"0"	"672"	"0"
"122"	"93"	"70"	"4"	"35"	"51"	"30"	"268"	"17"	"6"	"25"	"506"	"0"	"506"	"0"
"123"	"94"	"76"	"11"	"111"	"327"	"43"	"4"	"2"	"6"	"20"	"600"	"0"	"600"	"0"
"124"	"95"	"74"	"3"	"68"	"295"	"28"	"5"	"5"	"3"	"21"	"502"	"0"	"502"	"0"
"125"	"Total"	"2316"	"201"	"2606"	"1666"	"641"	"592"	"176"	"106"	"274"	"8578"	"0"	"8578"	"0"
"126"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"127"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"129"	"96"	"90"	"5"	"70"	"352"	"58"	"7"	"9"	"2"	"9"	"602"	"0"	"602"	"0"
"130"	"97"	"75"	"3"	"116"	"385"	"41"	"6"	"17"	"10"	"31"	"684"	"0"	"684"	"0"
"131"	"98"	"114"	"12"	"127"	"386"	"46"	"11"	"12"	"7"	"20"	"735"	"0"	"735"	"0"
"132"	"99"	"184"	"9"	"57"	"28"	"21"	"6"	"6"	"2"	"5"	"318"	"0"	"318"	"0"
"133"	"100"	"135"	"3"	"85"	"390"	"35"	"8"	"5"	"5"	"20"	"686"	"0"	"686"	"0"
"134"	"101"	"61"	"2"	"182"	"141"	"67"	"10"	"4"	"8"	"8"	"483"	"0"	"483"	"0"
"135"	"102"	"69"	"11"	"299"	"143"	"78"	"12"	"19"	"4"	"28"	"663"	"0"	"663"	"0"
"136"	"103"	"117"	"12"	"231"	"199"	"138"	"29"	"17"	"8"	"17"	"768"	"0"	"768"	"0"
"137"	"104"	"142"	"8"	"183"	"69"	"32"	"4"	"13"	"6"	"19"	"476"	"0"	"476"	"0"
"138"	"105"	"131"	"8"	"226"	"61"	"48"	"19"	"12"	"8"	"21"	"534"	"0"	"534"	"0"
"139"	"106"	"99"	"11"	"179"	"81"	"56"	"12"	"30"	"4"	"20"	"492"	"0"	"492"	"0"
"140"	"107"	"186"	"15"	"204"	"20"	"28"	"4"	"3"	"4"	"12"	"476"	"0"	"476"	"0"
"141"	"108"	"216"	"20"	"271"	"61"	"61"	"13"	"9"	"13"	"24"	"688"	"0"	"688"	"0"
"142"	"109"	"36"	"6"	"401"	"39"	"42"	"22"	"7"	"8"	"11"	"572"	"0"	"572"	"0"
"143"	"Total"	"1655"	"125"	"2631"	"2355"	"751"	"163"	"163"	"89"	"245"	"8177"	"0"	"8177"	"0"
"144"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"145"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"147"	"110"	"65"	"7"	"562"	"73"	"36"	"4"	"10"	"4"	"10"	"771"	"0"	"771"	"0"
"148"	"111"	"91"	"7"	"520"	"92"	"62"	"9"	"17"	"6"	"16"	"820"	"0"	"820"	"0"
"149"	"112"	"97"	"3"	"502"	"268"	"42"	"7"	"11"	"6"	"15"	"951"	"0"	"951"	"0"
"150"	"113"	"147"	"4"	"346"	"261"	"41"	"15"	"14"	"9"	"24"	"861"	"0"	"861"	"0"
"151"	"114"	"36"	"5"	"302"	"282"	"65"	"12"	"10"	"13"	"26"	"751"	"0"	"751"	"0"
"152"	"115"	"75"	"6"	"237"	"141"	"65"	"10"	"7"	"4"	"6"	"551"	"0"	"551"	"0"
"153"	"116"	"83"	"1"	"136"	"123"	"28"	"12"	"10"	"2"	"8"	"403"	"0"	"403"	"0"
"154"	"117"	"58"	"14"	"370"	"77"	"91"	"25"	"13"	"6"	"22"	"676"	"0"	"676"	"0"
"155"	"118"	"137"	"9"	"133"	"197"	"30"	"10"	"9"	"5"	"23"	"553"	"0"	"553"	"0"
"156"	"119"	"131"	"14"	"183"	"149"	"45"	"15"	"7"	"7"	"13"	"564"	"0"	"564"	"0"
"157"	"120"	"107"	"7"	"90"	"427"	"32"	"18"	"7"	"1"	"3"	"692"	"0"	"692"	"0"
"158"	"121"	"37"	"1"	"130"	"247"	"26"	"5"	"5"	"2"	"12"	"465"	"0"	"465"	"0"
"159"	"122"	"148"	"32"	"164"	"8"	"306"	"18"	"16"	"15"	"23"	"730"	"0"	"730"	"0"
"160"	"123"	"40"	"40"	"146"	"29"	"219"	"10"	"5"	"8"	"14"	"511"	"0"	"511"	"0"
"161"	"Total"	"1252"	"150"	"3821"	"2374"	"1088"	"170"	"141"	"88"	"215"	"9299"	"0"	"9299"	"0"
"162"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"163"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"165"	"124"	"19"	"5"	"142"	"46"	"93"	"21"	"93"	"19"	"26"	"464"	"0"	"464"	"0"
"166"	"125"	"274"	"16"	"97"	"17"	"46"	"10"	"6"	"1"	"9"	"476"	"0"	"476"	"0"
"167"	"126"	"474"	"19"	"42"	"40"	"24"	"1"	"4"	"6"	"8"	"618"	"0"	"618"	"0"
"168"	"127"	"52"	"4"	"108"	"102"	"30"	"3"	"12"	"6"	"6"	"323"	"0"	"323"	"0"
"169"	"128"	"107"	"6"	"36"	"65"	"23"	"5"	"5"	"1"	"2"	"250"	"0"	"250"	"0"
"170"	"129"	"250"	"8"	"108"	"73"	"45"	"17"	"5"	"5"	"17"	"528"	"0"	"528"	"0"
"171"	"130"	"53"	"5"	"297"	"209"	"63"	"21"	"10"	"10"	"11"	"679"	"0"	"679"	"0"
"172"	"131"	"176"	"11"	"188"	"284"	"37"	"9"	"4"	"6"	"10"	"725"	"0"	"725"	"0"
"173"	"132"	"91"	"9"	"391"	"130"	"54"	"22"	"22"	"14"	"37"	"770"	"0"	"770"	"0"
"174"	"133"	"235"	"12"	"138"	"33"	"134"	"18"	"16"	"3"	"34"	"623"	"0"	"623"	"0"
"175"	"134"	"232"	"17"	"54"	"105"	"123"	"107"	"10"	"10"	"37"	"695"	"0"	"695"	"0"
"176"	"135"	"205"	"53"	"82"	"157"	"55"	"57"	"6"	"8"	"18"	"641"	"0"	"641"	"0"
"177"	"136"	"153"	"16"	"173"	"38"	"35"	"5"	"10"	"5"	"32"	"467"	"0"	"467"	"0"
"178"	"137"	"114"	"3"	"149"	"121"	"116"	"3"	"9"	"4"	"10"	"529"	"0"	"529"	"0"
"179"	"Total"	"2435"	"184"	"2005"	"1420"	"878"	"299"	"212"	"98"	"257"	"7788"	"0"	"7788"	"0"
"180"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"181"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"183"	"137A"	"66"	"6"	"167"	"91"	"36"	"3"	"8"	"7"	"6"	"390"	"0"	"390"	"0"
"184"	"138"	"158"	"13"	"103"	"149"	"71"	"15"	"11"	"7"	"15"	"542"	"0"	"542"	"0"
"185"	"138A"	"288"	"16"	"56"	"39"	"32"	"2"	"3"	"3"	"14"	"453"	"0"	"453"	"0"
"186"	"139"	"88"	"8"	"183"	"134"	"47"	"40"	"5"	"7"	"7"	"519"	"0"	"519"	"0"
"187"	"139A"	"62"	"2"	"126"	"151"	"24"	"13"	"2"	"1"	"5"	"386"	"0"	"386"	"0"
"188"	"140"	"187"	"21"	"194"	"243"	"51"	"27"	"11"	"13"	"29"	"776"	"0"	"776"	"0"
"189"	"141"	"72"	"7"	"52"	"362"	"29"	"11"	"3"	"3"	"12"	"551"	"0"	"551"	"0"
"190"	"141A"	"47"	"0"	"57"	"264"	"18"	"7"	"2"	"5"	"16"	"416"	"0"	"416"	"0"
"191"	"142"	"63"	"3"	"34"	"311"	"41"	"1"	"1"	"1"	"2"	"457"	"0"	"457"	"0"
"192"	"143"	"73"	"6"	"45"	"54"	"238"	"13"	"5"	"2"	"15"	"451"	"0"	"451"	"0"
"193"	"144"	"234"	"23"	"92"	"68"	"234"	"25"	"7"	"9"	"24"	"716"	"0"	"716"	"0"
"194"	"145"	"198"	"8"	"112"	"140"	"185"	"71"	"9"	"17"	"54"	"794"	"0"	"794"	"0"
"195"	"146"	"76"	"7"	"42"	"4"	"469"	"19"	"7"	"3"	"27"	"654"	"0"	"654"	"0"
"196"	"147"	"225"	"11"	"37"	"7"	"238"	"14"	"6"	"10"	"30"	"578"	"0"	"578"	"0"
"197"	"Total"	"1837"	"131"	"1300"	"2017"	"1713"	"261"	"80"	"88"	"256"	"7683"	"0"	"7683"	"0"
"198"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of
Tendered votes"
"199"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"201"	"148"	"181"	"12"	"30"	"63"	"263"	"41"	"3"	"5"	"12"	"610"	"0"	"610"	"0"
"202"	"149"	"321"	"14"	"204"	"82"	"37"	"12"	"5"	"10"	"20"	"705"	"0"	"705"	"0"
"203"	"150"	"190"	"8"	"167"	"230"	"87"	"8"	"15"	"5"	"20"	"730"	"0"	"730"	"0"
"204"	"151"	"182"	"49"	"264"	"163"	"69"	"42"	"7"	"9"	"12"	"797"	"0"	"797"	"0"
"205"	"152"	"73"	"3"	"50"	"339"	"48"	"6"	"5"	"2"	"2"	"528"	"0"	"528"	"0"
"206"	"153"	"247"	"14"	"65"	"159"	"121"	"19"	"10"	"14"	"66"	"715"	"0"	"715"	"0"
"207"	"154"	"211"	"25"	"144"	"137"	"106"	"13"	"9"	"8"	"25"	"678"	"0"	"678"	"0"
"208"	"155"	"198"	"15"	"95"	"302"	"38"	"10"	"8"	"12"	"13"	"691"	"0"	"691"	"0"
"209"	"156"	"92"	"8"	"234"	"274"	"37"	"8"	"29"	"8"	"15"	"705"	"0"	"705"	"0"
