"X.Statutory.Rules.and.Order..........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"46"	"28"	"13"	"276"	"67"	"267"	"10"	"5"	"4"	"10"	"54"	"10"	"8"	"17"	"741"	""	"741"	""
"47"	"Current Round Total"	"330"	"3276"	"790"	"3018"	"109"	"63"	"69"	"142"	"1344"	"87"	"59"	"126"	"9413"	"0"	"9413"	"0"
"48"	"Previous Round Total"	"142"	"2016"	"701"	"2185"	"68"	"85"	"789"	"166"	"2695"	"76"	"42"	"109"	"9074"	"0"	"9074"	"0"
"49"	"TOTAL"	"472"	"5292"	"1491"	"5203"	"177"	"148"	"858"	"308"	"4039"	"163"	"101"	"235"	"18487"	"0"	"18487"	"0"
"50"	"(Statutory Rules and Order)                                                         ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"56"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"58"	"29"	"18"	"191"	"12"	"301"	"6"	"2"	"2"	"8"	"3"	"4"	"1"	"1"	"549"	""	"549"	""
"59"	"30"	"3"	"313"	"13"	"258"	"8"	"0"	"1"	"3"	"3"	"5"	"5"	"5"	"617"	""	"617"	""
"60"	"31"	"1"	"1"	"4"	"811"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"821"	""	"821"	""
"61"	"32"	"14"	"149"	"116"	"263"	"6"	"8"	"6"	"10"	"40"	"8"	"9"	"7"	"636"	""	"636"	""
"62"	"33"	"24"	"196"	"135"	"225"	"5"	"16"	"18"	"31"	"124"	"22"	"32"	"51"	"879"	""	"879"	""
"63"	"34"	"30"	"64"	"26"	"541"	"18"	"11"	"15"	"10"	"25"	"8"	"2"	"11"	"761"	""	"761"	""
"64"	"35"	"11"	"240"	"19"	"323"	"19"	"9"	"6"	"19"	"168"	"7"	"5"	"7"	"833"	""	"833"	""
"65"	"36"	"19"	"434"	"29"	"45"	"1"	"1"	"3"	"9"	"76"	"7"	"16"	"13"	"653"	""	"653"	""
"66"	"37"	"8"	"257"	"10"	"150"	"8"	"2"	"5"	"10"	"0"	"3"	"0"	"2"	"455"	""	"455"	""
"67"	"38"	"37"	"350"	"16"	"423"	"12"	"7"	"5"	"11"	"15"	"9"	"3"	"5"	"893"	""	"893"	""
"68"	"39"	"5"	"115"	"49"	"190"	"7"	"3"	"2"	"6"	"0"	"2"	"0"	"0"	"379"	""	"379"	""
"69"	"40"	"8"	"23"	"101"	"24"	"2"	"5"	"9"	"15"	"633"	"5"	"4"	"3"	"832"	""	"832"	""
"70"	"41"	"4"	"36"	"57"	"59"	"6"	"5"	"3"	"24"	"443"	"5"	"2"	"4"	"648"	""	"648"	""
"71"	"42"	"9"	"90"	"19"	"269"	"5"	"10"	"3"	"13"	"28"	"8"	"3"	"4"	"461"	""	"461"	""
"72"	"Current Round Total"	"191"	"2459"	"606"	"3882"	"105"	"79"	"78"	"169"	"1559"	"93"	"82"	"114"	"9417"	"0"	"9417"	"0"
"73"	"Previous Round Total"	"472"	"5292"	"1491"	"5203"	"177"	"148"	"858"	"308"	"4039"	"163"	"101"	"235"	"18487"	"0"	"18487"	"0"
"74"	"TOTAL"	"663"	"7751"	"2097"	"9085"	"282"	"227"	"936"	"477"	"5598"	"256"	"183"	"349"	"27904"	"0"	"27904"	"0"
"75"	"(Statutory Rules and Order)                                                         ROUND : FOURTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"81"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"83"	"43"	"8"	"268"	"33"	"201"	"8"	"4"	"11"	"3"	"4"	"27"	"12"	"14"	"593"	""	"593"	""
"84"	"44"	"5"	"151"	"48"	"59"	"3"	"7"	"7"	"3"	"1"	"4"	"0"	"2"	"290"	""	"290"	""
"85"	"45"	"5"	"23"	"9"	"290"	"5"	"4"	"1"	"13"	"98"	"2"	"0"	"1"	"451"	""	"451"	""
"86"	"46"	"14"	"72"	"22"	"512"	"11"	"7"	"8"	"55"	"11"	"5"	"3"	"11"	"731"	""	"731"	""
"87"	"47"	"3"	"445"	"8"	"329"	"12"	"1"	"0"	"2"	"1"	"0"	"0"	"3"	"804"	""	"804"	""
"88"	"48"	"15"	"313"	"14"	"317"	"7"	"23"	"3"	"10"	"97"	"5"	"2"	"3"	"809"	""	"809"	""
"89"	"49"	"16"	"153"	"26"	"314"	"12"	"7"	"1"	"6"	"4"	"6"	"2"	"23"	"570"	""	"570"	""
"90"	"50"	"4"	"105"	"12"	"261"	"13"	"2"	"2"	"6"	"42"	"5"	"2"	"17"	"471"	""	"471"	""
"91"	"51"	"15"	"131"	"15"	"425"	"20"	"9"	"10"	"16"	"17"	"6"	"7"	"8"	"679"	""	"679"	""
"92"	"52"	"26"	"108"	"44"	"428"	"16"	"18"	"10"	"96"	"13"	"8"	"7"	"4"	"778"	""	"778"	""
"93"	"53"	"12"	"63"	"13"	"357"	"8"	"7"	"1"	"21"	"9"	"6"	"3"	"14"	"514"	""	"514"	""
"94"	"54"	"29"	"277"	"48"	"444"	"37"	"12"	"16"	"59"	"32"	"12"	"10"	"48"	"1024"	""	"1024"	""
"95"	"55"	"24"	"103"	"17"	"219"	"9"	"2"	"0"	"4"	"7"	"0"	"0"	"0"	"385"	""	"385"	""
"96"	"56"	"14"	"128"	"40"	"530"	"29"	"12"	"12"	"27"	"32"	"16"	"19"	"41"	"900"	""	"900"	""
"97"	"Current Round Total"	"190"	"2340"	"349"	"4686"	"190"	"115"	"82"	"321"	"368"	"102"	"67"	"189"	"8999"	"0"	"8999"	"0"
"98"	"Previous Round Total"	"663"	"7751"	"2097"	"9085"	"282"	"227"	"936"	"477"	"5598"	"256"	"183"	"349"	"27904"	"0"	"27904"	"0"
"99"	"TOTAL"	"853"	"10091"	"2446"	"13771"	"472"	"342"	"1018"	"798"	"5966"	"358"	"250"	"538"	"36903"	"0"	"36903"	"0"
"100"	"(Statutory Rules and Order)                                                         ROUND : FIFTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"106"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"108"	"57"	"10"	"37"	"46"	"392"	"7"	"4"	"2"	"18"	"7"	"7"	"2"	"4"	"536"	""	"536"	""
"109"	"58"	"12"	"95"	"21"	"478"	"16"	"5"	"3"	"8"	"3"	"4"	"0"	"9"	"654"	""	"654"	""
"110"	"59"	"14"	"336"	"67"	"286"	"12"	"6"	"8"	"10"	"10"	"14"	"5"	"10"	"778"	""	"778"	""
"111"	"60"	"18"	"174"	"16"	"388"	"12"	"5"	"9"	"9"	"15"	"9"	"6"	"11"	"672"	""	"672"	""
"112"	"61"	"16"	"616"	"49"	"295"	"10"	"5"	"1"	"9"	"5"	"6"	"2"	"8"	"1022"	""	"1022"	""
"113"	"62"	"15"	"190"	"9"	"486"	"23"	"11"	"6"	"18"	"9"	"9"	"8"	"6"	"790"	""	"790"	""
"114"	"63"	"15"	"394"	"16"	"124"	"7"	"2"	"2"	"12"	"2"	"5"	"9"	"7"	"595"	""	"595"	""
"115"	"64"	"23"	"236"	"57"	"401"	"12"	"10"	"9"	"8"	"14"	"14"	"11"	"15"	"810"	""	"810"	""
"116"	"65"	"20"	"313"	"31"	"367"	"12"	"10"	"16"	"12"	"5"	"6"	"1"	"7"	"800"	""	"800"	""
"117"	"66"	"24"	"242"	"115"	"180"	"12"	"8"	"11"	"5"	"7"	"10"	"4"	"13"	"631"	""	"631"	""
"118"	"67"	"27"	"215"	"50"	"373"	"16"	"11"	"11"	"28"	"13"	"12"	"10"	"19"	"785"	""	"785"	""
"119"	"68"	"12"	"219"	"42"	"268"	"13"	"4"	"17"	"10"	"5"	"6"	"3"	"4"	"603"	""	"603"	""
"120"	"69"	"21"	"214"	"199"	"63"	"3"	"0"	"5"	"4"	"28"	"8"	"7"	"4"	"556"	""	"556"	""
"121"	"70"	"2"	"169"	"72"	"207"	"4"	"0"	"2"	"0"	"0"	"8"	"2"	"1"	"467"	""	"467"	""
"122"	"Current Round Total"	"229"	"3450"	"790"	"4308"	"159"	"81"	"102"	"151"	"123"	"118"	"70"	"118"	"9699"	"0"	"9699"	"0"
"123"	"Previous Round Total"	"853"	"10091"	"2446"	"13771"	"472"	"342"	"1018"	"798"	"5966"	"358"	"250"	"538"	"36903"	"0"	"36903"	"0"
"124"	"TOTAL"	"1082"	"13541"	"3236"	"18079"	"631"	"423"	"1120"	"949"	"6089"	"476"	"320"	"656"	"46602"	"0"	"46602"	"0"
"125"	"(Statutory Rules and Order)                                                         ROUND : SIXTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"131"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"132"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"133"	"71"	"7"	"67"	"225"	"267"	"15"	"9"	"10"	"10"	"21"	"15"	"6"	"14"	"666"	""	"666"	""
"134"	"72"	"8"	"143"	"263"	"208"	"11"	"8"	"6"	"1"	"3"	"13"	"6"	"6"	"676"	""	"676"	""
"135"	"73"	"13"	"339"	"139"	"237"	"10"	"2"	"5"	"7"	"5"	"29"	"6"	"7"	"799"	""	"799"	""
"136"	"74"	"14"	"551"	"51"	"214"	"20"	"6"	"7"	"17"	"6"	"7"	"2"	"20"	"915"	""	"915"	""
"137"	"75"	"14"	"336"	"156"	"214"	"11"	"2"	"7"	"6"	"12"	"11"	"6"	"18"	"793"	""	"793"	""
"138"	"76"	"11"	"154"	"47"	"190"	"12"	"4"	"8"	"7"	"1"	"6"	"5"	"1"	"446"	""	"446"	""
"139"	"77"	"16"	"388"	"55"	"180"	"14"	"15"	"7"	"8"	"6"	"7"	"8"	"11"	"715"	""	"715"	""
"140"	"78"	"18"	"234"	"99"	"35"	"3"	"1"	"1"	"2"	"3"	"2"	"1"	"4"	"403"	""	"403"	""
"141"	"79"	"1"	"40"	"83"	"7"	"1"	"0"	"2"	"3"	"10"	"5"	"1"	"4"	"157"	""	"157"	""
"142"	"80"	"1"	"18"	"326"	"10"	"2"	"4"	"4"	"2"	"23"	"20"	"3"	"3"	"416"	""	"416"	""
"143"	"81"	"2"	"24"	"399"	"77"	"3"	"1"	"2"	"6"	"14"	"3"	"2"	"2"	"535"	""	"535"	""
"144"	"82"	"22"	"118"	"129"	"79"	"4"	"1"	"15"	"10"	"5"	"9"	"5"	"7"	"404"	""	"404"	""
"145"	"83"	"19"	"298"	"32"	"364"	"9"	"11"	"3"	"23"	"4"	"7"	"3"	"7"	"780"	""	"780"	""
"146"	"84"	"13"	"7"	"425"	"26"	"2"	"2"	"5"	"3"	"28"	"8"	"1"	"3"	"523"	""	"523"	""
"147"	"Current Round Total"	"159"	"2717"	"2429"	"2108"	"117"	"66"	"82"	"105"	"141"	"142"	"55"	"107"	"8228"	"0"	"8228"	"0"
"148"	"Previous Round Total"	"1082"	"13541"	"3236"	"18079"	"631"	"423"	"1120"	"949"	"6089"	"476"	"320"	"656"	"46602"	"0"	"46602"	"0"
"149"	"TOTAL"	"1241"	"16258"	"5665"	"20187"	"748"	"489"	"1202"	"1054"	"6230"	"618"	"375"	"763"	"54830"	"0"	"54830"	"0"
"150"	"(Statutory Rules and Order)                                                         ROUND : SEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"156"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"158"	"85"	"10"	"45"	"500"	"13"	"4"	"7"	"4"	"52"	"13"	"7"	"4"	"1"	"660"	""	"660"	""
"159"	"86"	"12"	"98"	"50"	"237"	"4"	"1"	"8"	"2"	"2"	"1"	"0"	"0"	"415"	""	"415"	""
"160"	"87"	"12"	"176"	"33"	"226"	"1"	"3"	"7"	"6"	"8"	"3"	"1"	"2"	"478"	""	"478"	""
"161"	"88"	"24"	"464"	"59"	"231"	"14"	"18"	"8"	"12"	"11"	"14"	"5"	"15"	"875"	""	"875"	""
"162"	"89"	"13"	"218"	"138"	"106"	"7"	"2"	"3"	"10"	"5"	"21"	"14"	"18"	"555"	""	"555"	""
"163"	"90"	"12"	"19"	"189"	"92"	"6"	"7"	"12"	"29"	"42"	"10"	"8"	"16"	"442"	""	"442"	""
"164"	"91"	"17"	"240"	"41"	"119"	"7"	"20"	"5"	"31"	"7"	"11"	"7"	"5"	"510"	""	"510"	""
"165"	"92"	"8"	"175"	"14"	"361"	"11"	"3"	"3"	"9"	"2"	"8"	"4"	"12"	"610"	""	"610"	""
"166"	"93"	"47"	"216"	"70"	"277"	"18"	"133"	"4"	"14"	"11"	"10"	"5"	"7"	"812"	""	"812"	""
"167"	"94"	"12"	"442"	"73"	"173"	"18"	"27"	"13"	"10"	"5"	"7"	"6"	"12"	"798"	""	"798"	""
"168"	"95"	"8"	"20"	"417"	"159"	"7"	"4"	"6"	"10"	"22"	"13"	"9"	"22"	"697"	""	"697"	""
"169"	"96"	"4"	"198"	"121"	"96"	"14"	"4"	"2"	"4"	"36"	"5"	"6"	"5"	"495"	""	"495"	""
"170"	"97"	"19"	"108"	"106"	"304"	"16"	"8"	"6"	"10"	"17"	"6"	"6"	"12"	"618"	""	"618"	""
"171"	"98"	"19"	"9"	"469"	"86"	"4"	"6"	"4"	"12"	"21"	"17"	"7"	"12"	"666"	""	"666"	""
"172"	"Current Round Total"	"217"	"2428"	"2280"	"2480"	"131"	"243"	"85"	"211"	"202"	"133"	"82"	"139"	"8631"	"0"	"8631"	"0"
"173"	"Previous Round Total"	"1241"	"16258"	"5665"	"20187"	"748"	"489"	"1202"	"1054"	"6230"	"618"	"375"	"763"	"54830"	"0"	"54830"	"0"
"174"	"TOTAL"	"1458"	"18686"	"7945"	"22667"	"879"	"732"	"1287"	"1265"	"6432"	"751"	"457"	"902"	"63461"	"0"	"63461"	"0"
"175"	"(Statutory Rules and Order)                                                         ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"181"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"183"	"99"	"9"	"27"	"313"	"60"	"7"	"9"	"6"	"13"	"168"	"17"	"1"	"13"	"643"	""	"643"	""
"184"	"100"	"6"	"25"	"289"	"19"	"3"	"4"	"7"	"11"	"109"	"6"	"0"	"6"	"485"	""	"485"	""
"185"	"101"	"6"	"47"	"2"	"34"	"4"	"14"	"4"	"85"	"5"	"6"	"3"	"0"	"210"	""	"210"	""
