"Election.to.the.Bihar.Legislative.Assembly.from.the.235.Bodhgaya..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""	""
"4"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAN D MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR
CHAUDHARY ALIAS TALKESHWA R CHAUDHARY"	""	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	""	"RAJENDRA MANJHI"	""	"RAM UDAY PRASAD"	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of tendered"	""	""	""	""
"15"	"8"	"44"	"238"	""	"32"	""	"6"	""	"2"	""	""	"191"	""	""	"16"	""	"9"	""	""	"4"	""	"6"	"25"	""	"5"	""	""	"20"	""	"13"	""	"2"	""	""	"5"	""	""	"618"	""	""	"0"	""	""	"618"	""	""	""	""	""	""
"16"	"9"	"112"	"227"	""	"27"	""	"3"	""	"1"	""	""	"239"	""	""	"7"	""	"7"	""	""	"0"	""	"0"	"46"	""	"0"	""	""	"1"	""	"1"	""	"0"	""	""	"1"	""	""	"672"	""	""	"0"	""	""	"672"	""	""	""	""	""	""
"17"	"10"	"5"	"578"	""	"10"	""	"1"	""	"0"	""	""	"1"	""	""	"1"	""	"0"	""	""	"0"	""	"2"	"19"	""	"3"	""	""	"2"	""	"1"	""	"2"	""	""	"5"	""	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""	""
"18"	"11"	"193"	"357"	""	"60"	""	"1"	""	"1"	""	""	"34"	""	""	"4"	""	"5"	""	""	"2"	""	"2"	"17"	""	"1"	""	""	"1"	""	"3"	""	"0"	""	""	"3"	""	""	"684"	""	""	"0"	""	""	"684"	""	""	""	""	""	""
"19"	"12"	"5"	"734"	""	"8"	""	"6"	""	"2"	""	""	"90"	""	""	"9"	""	"11"	""	""	"3"	""	"2"	"153"	""	"1"	""	""	"17"	""	"15"	""	"1"	""	""	"2"	""	""	"1059"	""	""	"0"	""	""	"1059"	""	""	""	""	""	""
"20"	"13"	"77"	"129"	""	"6"	""	"6"	""	"3"	""	""	"199"	""	""	"11"	""	"2"	""	""	"0"	""	"3"	"10"	""	"5"	""	""	"8"	""	"87"	""	"10"	""	""	"14"	""	""	"570"	""	""	"0"	""	""	"570"	""	""	""	""	""	""
"21"	"14"	"43"	"81"	""	"50"	""	"9"	""	"2"	""	""	"78"	""	""	"5"	""	"4"	""	""	"3"	""	"5"	"47"	""	"1"	""	""	"4"	""	"4"	""	"1"	""	""	"2"	""	""	"339"	""	""	"0"	""	""	"339"	""	""	""	""	""	""
"22"	"Total"	"2161"	"3565"	""	"247"	""	"47"	""	"18"	""	""	"1098"	""	""	"79"	""	"68"	""	""	"724"	""	"35"	"867"	""	"25"	""	""	"68"	""	"165"	""	"26"	""	""	"57"	""	""	"9250"	""	""	"0"	""	""	"9250"	""	""	""	""	""	""
"23"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date     27-02-2005                                                                                                                                                                                                               Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Const"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No. ……         2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"28"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"29"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"30"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"31"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"32"	"15"	"2"	"487"	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"20"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"510"	""	""	"0"	""	""	"510"	""	""	""	""	""
"33"	"16"	"3"	"204"	""	"2"	""	"0"	""	"2"	""	"94"	""	""	"5"	""	""	"1"	""	"0"	""	"0"	""	"16"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"329"	""	""	"0"	""	""	"329"	""	""	""	""	""
"34"	"17"	"4"	"65"	""	"136"	""	"0"	""	"1"	""	"289"	""	""	"2"	""	""	"3"	""	"0"	""	"1"	""	"245"	""	"0"	""	"4"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"750"	""	""	"0"	""	""	"750"	""	""	""	""	""
"35"	"18"	"10"	"40"	""	"4"	""	"0"	""	"0"	""	"380"	""	""	"3"	""	""	"4"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"3"	""	""	"0"	""	""	"0"	""	""	"445"	""	""	"0"	""	""	"445"	""	""	""	""	""
"36"	"19"	"14"	"391"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"24"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"430"	""	""	"0"	""	""	"430"	""	""	""	""	""
"37"	"20"	"9"	"217"	""	"12"	""	"5"	""	"2"	""	"37"	""	""	"2"	""	""	"1"	""	"2"	""	"2"	""	"56"	""	"2"	""	"5"	""	""	"4"	""	""	"0"	""	""	"5"	""	""	"361"	""	""	"0"	""	""	"361"	""	""	""	""	""
"38"	"21"	"16"	"350"	""	"15"	""	"6"	""	"1"	""	"15"	""	""	"6"	""	""	"4"	""	"4"	""	"5"	""	"18"	""	"2"	""	"3"	""	""	"4"	""	""	"8"	""	""	"4"	""	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""
"39"	"22"	"22"	"183"	""	"7"	""	"7"	""	"2"	""	"18"	""	""	"1"	""	""	"2"	""	"4"	""	"1"	""	"160"	""	"4"	""	"2"	""	""	"4"	""	""	"0"	""	""	"2"	""	""	"419"	""	""	"0"	""	""	"419"	""	""	""	""	""
"40"	"23"	"39"	"89"	""	"8"	""	"8"	""	"1"	""	"63"	""	""	"12"	""	""	"13"	""	"1"	""	"13"	""	"68"	""	"6"	""	"11"	""	""	"20"	""	""	"4"	""	""	"14"	""	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""
"41"	"24"	"1"	"283"	""	"11"	""	"1"	""	"1"	""	"125"	""	""	"3"	""	""	"1"	""	"0"	""	"0"	""	"33"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"460"	""	""	"0"	""	""	"460"	""	""	""	""	""
"42"	"25"	"1"	"23"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"372"	""	"0"	""	"1"	""	""	"6"	""	""	"0"	""	""	"0"	""	""	"403"	""	""	"0"	""	""	"403"	""	""	""	""	""
"43"	"26"	"11"	"202"	""	"6"	""	"2"	""	"1"	""	"5"	""	""	"3"	""	""	"4"	""	"1"	""	"1"	""	"74"	""	"3"	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"317"	""	""	"0"	""	""	"317"	""	""	""	""	""
"44"	"27"	"0"	"234"	""	"3"	""	"0"	""	"0"	""	"14"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"6"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"259"	""	""	"0"	""	""	"259"	""	""	""	""	""
"45"	"28"	"0"	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"6"	""	""	"0"	""	""	"6"	""	""	""	""	""
"46"	"Total"	"132"	"2774"	""	"205"	""	"29"	""	"11"	""	"1040"	""	""	"37"	""	""	"34"	""	"12"	""	"23"	""	"1092"	""	"19"	""	"28"	""	""	"44"	""	""	"13"	""	""	"27"	""	""	"5520"	""	""	"0"	""	""	"5520"	""	""	""	""	""
"47"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"48"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"49"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"50"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"51"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"52"	"29"	"19"	"744"	""	"2"	""	"0"	""	"1"	""	"26"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"33"	""	"0"	""	"1"	""	""	"123"	""	""	"1"	""	""	"3"	""	""	"955"	""	""	"0"	""	""	"955"	""	""	""	""	""
"53"	"30"	"36"	"189"	""	"60"	""	"4"	""	"4"	""	"67"	""	""	"5"	""	""	"8"	""	"3"	""	"3"	""	"100"	""	"2"	""	"3"	""	""	"5"	""	""	"3"	""	""	"10"	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	""	""
"54"	"31"	"17"	"153"	""	"56"	""	"2"	""	"0"	""	"2"	""	""	"0"	""	""	"1"	""	"1"	""	"0"	""	"63"	""	"0"	""	"0"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"298"	""	""	"0"	""	""	"298"	""	""	""	""	""
"55"	"32"	"36"	"7"	""	"0"	""	"0"	""	"1"	""	"29"	""	""	"1"	""	""	"2"	""	"0"	""	"4"	""	"495"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"575"	""	""	"0"	""	""	"575"	""	""	""	""	""
"56"	"33"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""
"57"	"34"	"22"	"152"	""	"0"	""	"0"	""	"0"	""	"34"	""	""	"0"	""	""	"0"	""	"0"	""	"2"	""	"140"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"350"	""	""	"0"	""	""	"350"	""	""	""	""	""
"58"	"35"	"28"	"53"	""	"15"	""	"8"	""	"2"	""	"659"	""	""	"7"	""	""	"0"	""	"0"	""	"2"	""	"28"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"805"	""	""	"0"	""	""	"805"	""	""	""	""	""
"59"	"36"	"8"	"318"	""	"22"	""	"25"	""	"0"	""	"4"	""	""	"3"	""	""	"2"	""	"2"	""	"1"	""	"241"	""	"1"	""	"2"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"631"	""	""	"0"	""	""	"631"	""	""	""	""	""
"60"	"37"	"21"	"525"	""	"15"	""	"7"	""	"2"	""	"21"	""	""	"4"	""	""	"4"	""	"1"	""	"3"	""	"166"	""	"6"	""	"5"	""	""	"4"	""	""	"3"	""	""	"14"	""	""	"801"	""	""	"0"	""	""	"801"	""	""	""	""	""
"61"	"38"	"30"	"25"	""	"17"	""	"371"	""	"5"	""	"67"	""	""	"9"	""	""	"4"	""	"3"	""	"3"	""	"144"	""	"4"	""	"1"	""	""	"7"	""	""	"3"	""	""	"13"	""	""	"706"	""	""	"0"	""	""	"706"	""	""	""	""	""
"62"	"39"	"7"	"184"	""	"2"	""	"5"	""	"7"	""	"73"	""	""	"2"	""	""	"3"	""	"0"	""	"3"	""	"28"	""	"1"	""	"5"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"322"	""	""	"0"	""	""	"322"	""	""	""	""	""
"63"	"40"	"368"	"135"	""	"9"	""	"11"	""	"6"	""	"191"	""	""	"6"	""	""	"13"	""	"4"	""	"7"	""	"36"	""	"2"	""	"10"	""	""	"14"	""	""	"4"	""	""	"7"	""	""	"823"	""	""	"0"	""	""	"823"	""	""	""	""	""
"64"	"41"	"25"	"147"	""	"10"	""	"17"	""	"7"	""	"124"	""	""	"10"	""	""	"6"	""	"2"	""	"8"	""	"9"	""	"0"	""	"7"	""	""	"7"	""	""	"6"	""	""	"7"	""	""	"392"	""	""	"0"	""	""	"392"	""	""	""	""	""
"65"	"42"	"122"	"106"	""	"74"	""	"14"	""	"4"	""	"125"	""	""	"22"	""	""	"9"	""	"4"	""	"4"	""	"18"	""	"6"	""	"7"	""	""	"11"	""	""	"4"	""	""	"8"	""	""	"538"	""	""	"0"	""	""	"538"	""	""	""	""	""
"66"	"Total"	"739"	"2738"	""	"282"	""	"464"	""	"39"	""	"1422"	""	""	"69"	""	""	"53"	""	"20"	""	"41"	""	"1501"	""	"22"	""	"41"	""	""	"174"	""	""	"27"	""	""	"66"	""	""	"7698"	""	""	"0"	""	""	"7698"	""	""	""	""	""
"67"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"68"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"69"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"70"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"71"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"72"	"43"	"23"	"140"	""	"11"	""	"19"	""	"5"	""	"71"	""	""	"7"	""	""	"14"	""	"4"	""	"1"	""	"72"	""	"3"	""	"9"	""	""	"9"	""	""	"3"	""	""	"6"	""	""	"397"	""	""	"0"	""	""	"397"	""	""	""	""	""
"73"	"44"	"2"	"699"	""	"2"	""	"0"	""	"1"	""	"33"	""	""	"2"	""	""	"0"	""	"0"	""	"1"	""	"5"	""	"0"	""	"3"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"752"	""	""	"0"	""	""	"752"	""	""	""	""	""
"74"	"45"	"60"	"163"	""	"43"	""	"7"	""	"2"	""	"215"	""	""	"15"	""	""	"11"	""	"2"	""	"2"	""	"6"	""	"2"	""	"19"	""	""	"8"	""	""	"4"	""	""	"5"	""	""	"564"	""	""	"0"	""	""	"564"	""	""	""	""	""
"75"	"46"	"8"	"55"	""	"3"	""	"1"	""	"4"	""	"276"	""	""	"10"	""	""	"12"	""	"5"	""	"7"	""	"13"	""	"1"	""	"13"	""	""	"6"	""	""	"0"	""	""	"2"	""	""	"416"	""	""	"0"	""	""	"416"	""	""	""	""	""
"76"	"47"	"22"	"160"	""	"19"	""	"1"	""	"4"	""	"168"	""	""	"14"	""	""	"18"	""	"5"	""	"2"	""	"16"	""	"1"	""	"16"	""	""	"9"	""	""	"1"	""	""	"3"	""	""	"459"	""	""	"0"	""	""	"459"	""	""	""	""	""
"77"	"48"	"3"	"496"	""	"23"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"103"	""	"0"	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"627"	""	""	"0"	""	""	"627"	""	""	""	""	""
"78"	"49"	"14"	"344"	""	"7"	""	"3"	""	"0"	""	"30"	""	""	"1"	""	""	"2"	""	"0"	""	"1"	""	"33"	""	"0"	""	"4"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	"445"	""	""	"0"	""	""	"445"	""	""	""	""	""
"79"	"50"	"15"	"534"	""	"9"	""	"6"	""	"4"	""	"124"	""	""	"6"	""	""	"4"	""	"3"	""	"2"	""	"13"	""	"2"	""	"8"	""	""	"5"	""	""	"4"	""	""	"8"	""	""	"747"	""	""	"0"	""	""	"747"	""	""	""	""	""
"80"	"51"	"40"	"224"	""	"9"	""	"4"	""	"4"	""	"81"	""	""	"5"	""	""	"6"	""	"3"	""	"6"	""	"103"	""	"2"	""	"7"	""	""	"8"	""	""	"2"	""	""	"13"	""	""	"517"	""	""	"0"	""	""	"517"	""	""	""	""	""
"81"	"52"	"12"	"667"	""	"2"	""	"1"	""	"0"	""	"3"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"10"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"696"	""	""	"0"	""	""	"696"	""	""	""	""	""
"82"	"53"	"25"	"225"	""	"14"	""	"5"	""	"2"	""	"22"	""	""	"5"	""	""	"2"	""	"1"	""	"2"	""	"58"	""	"1"	""	"4"	""	""	"1"	""	""	"7"	""	""	"1"	""	""	"375"	""	""	"0"	""	""	"375"	""	""	""	""	""
"83"	"54"	"47"	"176"	""	"11"	""	"6"	""	"2"	""	"129"	""	""	"11"	""	""	"7"	""	"10"	""	"13"	""	"107"	""	"5"	""	"13"	""	""	"3"	""	""	"4"	""	""	"16"	""	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""
"84"	"55"	"30"	"130"	""	"6"	""	"3"	""	"2"	""	"92"	""	""	"2"	""	""	"2"	""	"0"	""	"0"	""	"44"	""	"2"	""	"2"	""	""	"146"	""	""	"9"	""	""	"10"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""
