"FORM....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"
"11"	"3"	"34"	""	"275"	""	"15"	""	"32"	""	""	"3"	""	""	"2"	""	""	"45"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	"5"	""	""	"1"	""	""	"5"	""	""	"5"	""	""	"6"	""	""	"11"	""	""	""	"14"	""	""	""	"7"	""	""	"4"	""	""	"3"	""	"4"	""	"10"	""	"2"	""	""	"2"	""	""	"3"	""	""	"2"	""	""	"12"	""	""	"59"	""	""	"7"	""	""	"5"	""	""	"7"	""	""	"18"	""	""	"607"	""	""	""	"607"	""	""	""	""	""	""	""	""	""	""	""
"12"	"4"	"20"	""	"411"	""	"54"	""	"25"	""	""	"3"	""	""	"1"	""	""	"85"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"619"	""	""	""	"619"	""	""	""	""	""	""	""	""	""	""	""
"13"	"5"	"15"	""	"160"	""	"201"	""	"10"	""	""	"2"	""	""	"0"	""	""	"68"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	"3"	""	""	"0"	""	"1"	""	"2"	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"494"	""	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""
"14"	"6"	"18"	""	"128"	""	"36"	""	"79"	""	""	"6"	""	""	"3"	""	""	"9"	""	""	"5"	""	""	"3"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"9"	""	""	"1"	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	"2"	""	"0"	""	"2"	""	"2"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"39"	""	""	"0"	""	""	"3"	""	""	"5"	""	""	"7"	""	""	"383"	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""
"15"	"7"	"18"	""	"217"	""	"18"	""	"3"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"9"	""	""	"1"	""	""	"1"	""	""	"7"	""	""	"2"	""	""	"7"	""	""	"8"	""	""	"146"	""	""	"30"	""	""	""	"3"	""	""	""	"0"	""	""	"3"	""	""	"2"	""	"1"	""	"3"	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"36"	""	""	"3"	""	""	"2"	""	""	"7"	""	""	"6"	""	""	"539"	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""
"16"	"8"	"11"	""	"82"	""	"10"	""	"8"	""	""	"2"	""	""	"4"	""	""	"76"	""	""	"4"	""	""	"5"	""	""	"5"	""	""	"2"	""	""	"11"	""	""	"1"	""	""	"9"	""	""	"110"	""	""	"20"	""	""	""	"11"	""	""	""	"2"	""	""	"3"	""	""	"4"	""	"3"	""	"1"	""	"2"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"22"	""	""	"7"	""	""	"3"	""	""	"4"	""	""	"10"	""	""	"437"	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""
"17"	"9"	"22"	""	"432"	""	"18"	""	"4"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"10"	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"14"	""	""	"7"	""	""	""	"2"	""	""	""	"3"	""	""	"0"	""	""	"0"	""	"1"	""	"8"	""	"1"	""	""	"2"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"6"	""	""	"7"	""	""	"565"	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""
"18"	"10"	"8"	""	"189"	""	"7"	""	"42"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	"5"	""	""	"5"	""	""	"14"	""	""	"12"	""	""	"174"	""	""	"10"	""	""	""	"1"	""	""	""	"3"	""	""	"8"	""	""	"3"	""	"2"	""	"1"	""	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"8"	""	""	"126"	""	""	"5"	""	""	"5"	""	""	"10"	""	""	"15"	""	""	"669"	""	""	""	"669"	""	""	""	""	""	""	""	""	""	""	""
"19"	"11"	"8"	""	"88"	""	"10"	""	"3"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"90"	""	""	"8"	""	""	""	"4"	""	""	""	"2"	""	""	"2"	""	""	"4"	""	"1"	""	"5"	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"13"	""	""	"1"	""	""	"2"	""	""	"259"	""	""	""	"259"	""	""	""	""	""	""	""	""	""	""	""
"20"	"12"	"23"	""	"297"	""	"15"	""	"15"	""	""	"6"	""	""	"0"	""	""	"3"	""	""	"4"	""	""	"7"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"93"	""	""	"7"	""	""	""	"1"	""	""	""	"3"	""	""	"22"	""	""	"2"	""	"0"	""	"1"	""	"0"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"5"	""	""	"0"	""	""	"4"	""	""	"4"	""	""	"4"	""	""	"536"	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""
"21"	"13"	"28"	""	"253"	""	"12"	""	"29"	""	""	"4"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	"3"	""	""	"6"	""	""	"3"	""	""	"12"	""	""	"128"	""	""	"17"	""	""	""	"9"	""	""	""	"3"	""	""	"43"	""	""	"2"	""	"5"	""	"2"	""	"1"	""	""	"2"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	"13"	""	""	"2"	""	""	"16"	""	""	"4"	""	""	"6"	""	""	"620"	""	""	""	"620"	""	""	""	""	""	""	""	""	""	""	""
"22"	"14"	"36"	""	"448"	""	"22"	""	"17"	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"1"	""	""	"5"	""	""	"1"	""	""	"78"	""	""	"5"	""	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	"1"	""	"1"	""	"4"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"9"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"655"	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""	""
"23"	"FORM  - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Legislative assembly from the 143-KADWA constituency.                                                             Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used both for Parliamentary and Assembly elections                                                          Total No. of Electors in Assembly constituency/Segment ................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""
"31"	""	""	"ANIL KRISHNA SAHA"	""	"ABDUL ZALIL"	""	"ZAKIR HUSAIN"	""	"BHOLA ROY - SONAILI"	""	""	"MAGAN PASWAN"	""	""	"KRISHNA PRASAD JAMADAR"	""	""	"MADAN LAL ROY"	""	""	"SHAMBHU KUMAR MANDAL"	""	""	"SHEELA  BISHWAS"	""	""	"SK. SALAUDDIN"	""	""	"ANKUSHAWAHA"	""	""	"AKHILESH KUMAR BISWAS"	""	""	""	"ALLAUDDIN"	""	""	"IFTEKHAR AHAMAD"	""	""	"DINESH KR. INSHAN"	""	""	""	"NIRMAL BUBNA"	""	""	""	"NILAM SHARMA"	""	""	""	"PURAN RAJAK"	""	""	"PURUSOTTAM LAL SHARMA"	""	"BHOLA ROY - MEENAPUR"	""	"MANORA BEGAM"	""	""	"YOGENDRA PARASAD RISHI"	""	""	"RANJAN SINGH"	""	""	""	"RANJEET KUMAR"	""	""	"RANJEET LAL ROY"	""	""	"RAMLAL PARIHAR"	""	""	"SHOBHA DEVI - KACHOURA"	""	""	"SHOBHA DEVI - PAHLAGARDH"	""	""	"SAIDUL RAHMAN"	""	""	"SOBHAS CHANDRA ROY"	""	""	"SUMANT KUMAR SINGH"	""	""	"HARI NANDAN CHOUDHARY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"15"	""	"22"	""	"173"	""	"6"	""	"64"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"4"	""	""	"3"	""	""	"1"	""	""	"17"	""	""	""	"1"	""	""	"6"	""	""	"144"	""	""	""	"9"	""	""	""	"4"	""	""	""	"5"	""	""	"9"	""	"0"	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"15"	""	""	"0"	""	""	"7"	""	""	"3"	""	""	"1"	""	""	"506"	""	"0"	""	"506"	""	""	""	""	""	""
"33"	"16"	""	"8"	""	"297"	""	"12"	""	"10"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"3"	""	""	"5"	""	""	""	"4"	""	""	"12"	""	""	"97"	""	""	""	"27"	""	""	""	"2"	""	""	""	"3"	""	""	"4"	""	"1"	""	"2"	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"6"	""	""	"1"	""	""	"10"	""	""	"9"	""	""	"8"	""	""	"536"	""	""	""	"536"	""	""	""	""	""	""
"34"	"17"	""	"12"	""	"307"	""	"19"	""	"13"	""	""	"2"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"5"	""	""	""	"0"	""	""	"7"	""	""	"134"	""	""	""	"14"	""	""	""	"8"	""	""	""	"5"	""	""	"22"	""	"1"	""	"2"	""	""	"8"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"0"	""	""	"10"	""	""	"6"	""	""	"20"	""	""	"9"	""	""	"9"	""	""	"633"	""	""	""	"633"	""	""	""	""	""	""
"35"	"18"	""	"8"	""	"40"	""	"1"	""	"82"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	""	"2"	""	""	"5"	""	""	"32"	""	""	""	"5"	""	""	""	"1"	""	""	""	"4"	""	""	"0"	""	"1"	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"60"	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"4"	""	""	"284"	""	""	""	"284"	""	""	""	""	""	""
"36"	"19"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""
"37"	"20"	""	"23"	""	"94"	""	"6"	""	"61"	""	""	"1"	""	""	"4"	""	""	"32"	""	""	"6"	""	""	"0"	""	""	"5"	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"7"	""	""	"23"	""	""	""	"4"	""	""	""	"14"	""	""	""	"5"	""	""	"8"	""	"5"	""	"1"	""	""	"7"	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	"3"	""	""	"10"	""	""	"321"	""	""	"10"	""	""	"3"	""	""	"10"	""	""	"20"	""	""	"690"	""	""	""	"690"	""	""	""	""	""	""
"38"	"21"	""	"11"	""	"30"	""	"8"	""	"92"	""	""	"1"	""	""	"10"	""	""	"295"	""	""	"20"	""	""	"4"	""	""	"15"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	"5"	""	""	""	"4"	""	""	""	"8"	""	""	""	"2"	""	""	"0"	""	"3"	""	"0"	""	""	"4"	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"24"	""	""	"44"	""	""	"1"	""	""	"14"	""	""	"1"	""	""	"606"	""	""	""	"606"	""	""	""	""	""	""
"39"	"22"	""	"11"	""	"122"	""	"17"	""	"79"	""	""	"5"	""	""	"3"	""	""	"51"	""	""	"8"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"2"	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"7"	""	""	"4"	""	"2"	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	"69"	""	""	"23"	""	""	"7"	""	""	"213"	""	""	"2"	""	""	"652"	""	""	""	"652"	""	""	""	""	""	""
"40"	"23"	""	"21"	""	"188"	""	"19"	""	"25"	""	""	"5"	""	""	"2"	""	""	"9"	""	""	"10"	""	""	"4"	""	""	"6"	""	""	"5"	""	""	"5"	""	""	""	"15"	""	""	"22"	""	""	"57"	""	""	""	"24"	""	""	""	"7"	""	""	""	"7"	""	""	"5"	""	"3"	""	"6"	""	""	"3"	""	""	"1"	""	""	""	"7"	""	""	"6"	""	""	"5"	""	""	"11"	""	""	"173"	""	""	"9"	""	""	"11"	""	""	"145"	""	""	"27"	""	""	"843"	""	""	""	"843"	""	""	""	""	""	""
"41"	"24"	""	"8"	""	"280"	""	"17"	""	"10"	""	""	"0"	""	""	"1"	""	""	"12"	""	""	"5"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	""	"11"	""	""	"16"	""	""	"14"	""	""	""	"18"	""	""	""	"6"	""	""	""	"3"	""	""	"2"	""	"1"	""	"5"	""	""	"2"	""	""	"0"	""	""	""	"5"	""	""	"3"	""	""	"3"	""	""	"7"	""	""	"94"	""	""	"6"	""	""	"3"	""	""	"129"	""	""	"24"	""	""	"694"	""	""	""	"694"	""	""	""	""	""	""
"42"	"25"	""	"20"	""	"426"	""	"14"	""	"122"	""	""	"8"	""	""	"3"	""	""	"4"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	""	"5"	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	"3"	""	"14"	""	"6"	""	""	"8"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	"4"	""	""	"4"	""	""	"48"	""	""	"3"	""	""	"2"	""	""	"14"	""	""	"11"	""	""	"750"	""	""	""	"750"	""	""	""	""	""	""
