"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"15"	"14"	"27"	"307"	"21"	"1"	"240"	"6"	"62"	"3"	"8"	"7"	"682"	""	"682"	""
"16"	"Grand
Total"	"375"	"2053"	"132"	"76"	"2048"	"160"	"1427"	"61"	"64"	"126"	"6522"	"0"	"6522"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"18"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"19"	"15"	"17"	"159"	"18"	"9"	"250"	"3"	"39"	"4"	"1"	"1"	"501"	""	"501"	""
"20"	"16"	"16"	"49"	"2"	"1"	"165"	"6"	"200"	"4"	"5"	"4"	"452"	""	"452"	""
"21"	"17"	"42"	"146"	"11"	"7"	"154"	"7"	"82"	"1"	"3"	"3"	"456"	""	"456"	""
"22"	"18"	"12"	"39"	"8"	"2"	"157"	"3"	"21"	"1"	"0"	"1"	"244"	""	"244"	""
"23"	"19"	"32"	"270"	"12"	"4"	"118"	"7"	"96"	"2"	"4"	"11"	"556"	""	"556"	""
"24"	"20"	"18"	"165"	"8"	"3"	"145"	"4"	"23"	"11"	"11"	"33"	"421"	""	"421"	""
"25"	"21"	"8"	"64"	"2"	"1"	"14"	"3"	"9"	"3"	"5"	"3"	"112"	""	"112"	""
"26"	"22"	"21"	"331"	"8"	"0"	"53"	"1"	"3"	"1"	"2"	"5"	"425"	""	"425"	""
"27"	"23"	"39"	"136"	"20"	"7"	"173"	"18"	"88"	"4"	"3"	"8"	"496"	""	"496"	""
"28"	"24"	"27"	"106"	"8"	"4"	"114"	"5"	"129"	"7"	"3"	"1"	"404"	""	"404"	""
"29"	"25"	"44"	"159"	"6"	"7"	"124"	"34"	"52"	"7"	"10"	"19"	"462"	""	"462"	""
"30"	"26"	"21"	"275"	"3"	"5"	"112"	"8"	"71"	"8"	"2"	"10"	"515"	""	"515"	""
"31"	"27"	"10"	"53"	"2"	"4"	"63"	"4"	"88"	"0"	"2"	"0"	"226"	""	"226"	""
"32"	"28"	"22"	"391"	"4"	"7"	"94"	"4"	"3"	"1"	"0"	"2"	"528"	""	"528"	""
"33"	"Grand
Total"	"329"	"2343"	"112"	"61"	"1736"	"107"	"904"	"54"	"51"	"101"	"5798"	"0"	"5798"	"0"
"34"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"35"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"36"	"29"	"12"	"376"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"392"	""	"392"	""
"37"	"30"	"25"	"203"	"14"	"6"	"93"	"11"	"47"	"2"	"5"	"6"	"412"	""	"412"	""
"38"	"31"	"47"	"183"	"13"	"3"	"125"	"5"	"31"	"1"	"3"	"2"	"413"	""	"413"	""
"39"	"32"	"5"	"478"	"2"	"1"	"7"	"1"	"2"	"1"	"0"	"0"	"497"	""	"497"	""
"40"	"33"	"21"	"646"	"6"	"0"	"64"	"1"	"4"	"0"	"1"	"0"	"743"	""	"743"	""
"41"	"34"	"36"	"671"	"5"	"2"	"9"	"2"	"2"	"2"	"1"	"1"	"731"	""	"731"	""
"42"	"35"	"63"	"346"	"15"	"5"	"47"	"3"	"38"	"1"	"2"	"4"	"524"	""	"524"	""
"43"	"36"	"45"	"79"	"8"	"3"	"255"	"6"	"166"	"4"	"2"	"10"	"578"	""	"578"	""
"44"	"37"	"81"	"287"	"21"	"10"	"160"	"27"	"105"	"5"	"11"	"15"	"722"	""	"722"	""
"45"	"38"	"33"	"27"	"2"	"1"	"160"	"6"	"185"	"2"	"2"	"8"	"426"	""	"426"	""
"46"	"39"	"24"	"299"	"18"	"10"	"186"	"9"	"12"	"2"	"3"	"3"	"566"	""	"566"	""
"47"	"40"	"25"	"206"	"5"	"1"	"116"	"3"	"71"	"3"	"3"	"0"	"433"	""	"433"	""
"48"	"41"	"21"	"234"	"10"	"1"	"209"	"8"	"14"	"4"	"1"	"2"	"504"	""	"504"	""
"49"	"42"	"20"	"40"	"10"	"10"	"309"	"24"	"27"	"6"	"1"	"3"	"450"	""	"450"	""
"50"	"Grand
Total"	"458"	"4075"	"129"	"53"	"1743"	"106"	"704"	"33"	"36"	"54"	"7391"	"0"	"7391"	"0"
"51"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"52"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"53"	"43"	"18"	"96"	"4"	"6"	"317"	"12"	"22"	"1"	"5"	"13"	"494"	""	"494"	""
"54"	"44"	"15"	"118"	"2"	"1"	"243"	"19"	"26"	"4"	"6"	"6"	"440"	""	"440"	""
"55"	"45"	"59"	"133"	"13"	"5"	"139"	"14"	"171"	"11"	"11"	"3"	"559"	""	"559"	""
"56"	"46"	"50"	"87"	"11"	"9"	"269"	"10"	"121"	"11"	"1"	"12"	"581"	""	"581"	""
"57"	"47"	"55"	"104"	"13"	"9"	"145"	"11"	"84"	"6"	"12"	"16"	"455"	""	"455"	""
"58"	"48"	"22"	"65"	"8"	"5"	"198"	"9"	"51"	"2"	"1"	"3"	"364"	""	"364"	""
"59"	"49"	"20"	"126"	"11"	"5"	"80"	"18"	"31"	"9"	"11"	"15"	"326"	""	"326"	""
"60"	"50"	"41"	"118"	"24"	"15"	"300"	"13"	"103"	"7"	"9"	"19"	"649"	""	"649"	""
"61"	"51"	"18"	"76"	"7"	"6"	"74"	"4"	"63"	"3"	"2"	"8"	"261"	""	"261"	""
"62"	"52"	"37"	"163"	"16"	"6"	"71"	"12"	"112"	"4"	"6"	"12"	"439"	""	"439"	""
"63"	"53"	"39"	"29"	"15"	"7"	"93"	"29"	"330"	"13"	"19"	"21"	"595"	""	"595"	""
"64"	"54"	"36"	"54"	"8"	"2"	"26"	"8"	"142"	"9"	"5"	"14"	"304"	""	"304"	""
"65"	"55"	"45"	"41"	"4"	"5"	"116"	"12"	"218"	"5"	"3"	"4"	"453"	""	"453"	""
"66"	"56"	"43"	"74"	"21"	"8"	"227"	"15"	"92"	"5"	"4"	"8"	"497"	""	"497"	""
"67"	"Grand
Total"	"498"	"1284"	"157"	"89"	"2298"	"186"	"1566"	"90"	"95"	"154"	"6417"	"0"	"6417"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"70"	"57"	"15"	"78"	"22"	"11"	"268"	"17"	"122"	"4"	"5"	"8"	"550"	""	"550"	""
"71"	"58"	"13"	"247"	"5"	"2"	"12"	"0"	"41"	"0"	"0"	"0"	"320"	""	"320"	""
"72"	"59"	"26"	"189"	"27"	"2"	"65"	"26"	"251"	"16"	"17"	"32"	"651"	""	"651"	""
"73"	"60"	"8"	"150"	"5"	"0"	"15"	"4"	"161"	"5"	"1"	"21"	"370"	""	"370"	""
"74"	"61"	"0"	"0"	"0"	"0"	"0"	"1"	"677"	"1"	"1"	"0"	"680"	""	"680"	""
"75"	"62"	"1"	"0"	"0"	"0"	"5"	"1"	"666"	"0"	"0"	"0"	"673"	""	"673"	""
"76"	"63"	"8"	"48"	"5"	"6"	"3"	"20"	"460"	"13"	"9"	"12"	"584"	""	"584"	""
"77"	"64"	"4"	"2"	"0"	"0"	"0"	"2"	"619"	"3"	"1"	"0"	"631"	""	"631"	""
"78"	"65"	"1"	"0"	"0"	"1"	"7"	"1"	"402"	"2"	"2"	"3"	"419"	""	"419"	""
"79"	"66"	"7"	"8"	"0"	"0"	"11"	"1"	"487"	"0"	"0"	"0"	"514"	""	"514"	""
"80"	"67"	"7"	"64"	"4"	"1"	"46"	"13"	"519"	"3"	"2"	"6"	"665"	""	"665"	""
"81"	"68"	"9"	"17"	"1"	"0"	"26"	"4"	"423"	"4"	"0"	"2"	"486"	""	"486"	""
"82"	"69"	"7"	"18"	"2"	"2"	"11"	"2"	"272"	"0"	"1"	"2"	"317"	""	"317"	""
"83"	"70"	"18"	"22"	"9"	"5"	"216"	"62"	"109"	"5"	"3"	"9"	"458"	""	"458"	""
"84"	"Grand
Total"	"124"	"843"	"80"	"30"	"685"	"154"	"5209"	"56"	"42"	"95"	"7318"	"0"	"7318"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"87"	"71"	"19"	"96"	"9"	"2"	"46"	"5"	"127"	"6"	"0"	"5"	"315"	""	"315"	""
"88"	"72"	"10"	"66"	"0"	"1"	"47"	"12"	"352"	"3"	"0"	"3"	"494"	""	"494"	""
"89"	"73"	"18"	"142"	"12"	"9"	"82"	"24"	"194"	"18"	"20"	"0"	"519"	""	"519"	""
"90"	"74"	"4"	"23"	"0"	"0"	"15"	"1"	"469"	"1"	"0"	"0"	"513"	""	"513"	""
"91"	"75"	"10"	"2"	"0"	"2"	"5"	"3"	"416"	"7"	"2"	"4"	"451"	""	"451"	""
"92"	"76"	"12"	"12"	"0"	"0"	"5"	"3"	"319"	"1"	"0"	"0"	"352"	""	"352"	""
"93"	"77"	"6"	"4"	"0"	"1"	"10"	"4"	"388"	"1"	"2"	"4"	"420"	""	"420"	""
"94"	"78"	"22"	"9"	"2"	"1"	"6"	"4"	"389"	"2"	"1"	"1"	"437"	""	"437"	""
"95"	"79"	"10"	"468"	"4"	"1"	"9"	"1"	"11"	"0"	"1"	"4"	"509"	""	"509"	""
"96"	"80"	"0"	"0"	"0"	"0"	"4"	"3"	"537"	"0"	"0"	"0"	"544"	""	"544"	""
"97"	"81"	"0"	"0"	"0"	"0"	"2"	"0"	"494"	"0"	"0"	"0"	"496"	""	"496"	""
"98"	"82"	"37"	"96"	"11"	"7"	"79"	"37"	"204"	"6"	"4"	"6"	"487"	""	"487"	""
"99"	"83"	"58"	"234"	"12"	"12"	"48"	"30"	"54"	"4"	"2"	"4"	"458"	""	"458"	""
"100"	"84"	"50"	"184"	"14"	"26"	"162"	"45"	"77"	"10"	"3"	"15"	"586"	""	"586"	""
"101"	"Grand
Total"	"256"	"1336"	"64"	"62"	"520"	"172"	"4031"	"59"	"35"	"46"	"6581"	"0"	"6581"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"104"	"85"	"19"	"178"	"18"	"11"	"217"	"23"	"116"	"8"	"8"	"33"	"631"	""	"631"	""
"105"	"86"	"14"	"99"	"3"	"5"	"130"	"8"	"130"	"3"	"4"	"4"	"400"	""	"400"	""
"106"	"87"	"8"	"85"	"6"	"6"	"286"	"8"	"13"	"4"	"3"	"3"	"422"	""	"422"	""
"107"	"88"	"60"	"194"	"17"	"17"	"168"	"13"	"160"	"10"	"3"	"16"	"658"	""	"658"	""
"108"	"89"	"73"	"78"	"11"	"5"	"133"	"17"	"124"	"4"	"7"	"11"	"463"	""	"463"	""
"109"	"90"	"23"	"100"	"5"	"12"	"153"	"25"	"85"	"8"	"7"	"21"	"439"	""	"439"	""
"110"	"91"	"55"	"27"	"6"	"9"	"51"	"148"	"48"	"7"	"20"	"22"	"393"	""	"393"	""
"111"	"92"	"75"	"93"	"13"	"8"	"118"	"24"	"232"	"6"	"13"	"8"	"590"	""	"590"	""
"112"	"93"	"21"	"67"	"12"	"23"	"310"	"58"	"52"	"6"	"8"	"12"	"569"	""	"569"	""
"113"	"94"	"95"	"85"	"3"	"7"	"204"	"5"	"49"	"1"	"0"	"3"	"452"	""	"452"	""
"114"	"95"	"73"	"299"	"13"	"4"	"208"	"99"	"72"	"5"	"6"	"13"	"792"	""	"792"	""
"115"	"96"	"23"	"117"	"3"	"7"	"156"	"63"	"31"	"3"	"7"	"8"	"418"	""	"418"	""
"116"	"97"	"49"	"112"	"10"	"8"	"221"	"268"	"78"	"8"	"6"	"7"	"767"	""	"767"	""
"117"	"98"	"34"	"209"	"12"	"9"	"298"	"137"	"19"	"4"	"5"	"10"	"737"	""	"737"	""
"118"	"Grand
Total"	"622"	"1743"	"132"	"131"	"2653"	"896"	"1209"	"77"	"97"	"171"	"7731"	"0"	"7731"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"121"	"99"	"6"	"59"	"3"	"4"	"239"	"6"	"19"	"5"	"4"	"13"	"358"	""	"358"	""
"122"	"100"	"12"	"43"	"15"	"10"	"225"	"20"	"151"	"7"	"13"	"33"	"529"	""	"529"	""
"123"	"101"	"24"	"57"	"10"	"6"	"106"	"9"	"257"	"6"	"8"	"6"	"489"	""	"489"	""
"124"	"102"	"7"	"30"	"16"	"11"	"373"	"38"	"26"	"9"	"7"	"16"	"533"	""	"533"	""
"125"	"103"	"42"	"223"	"14"	"4"	"138"	"29"	"210"	"7"	"11"	"22"	"700"	""	"700"	""
"126"	"104"	"15"	"59"	"7"	"1"	"90"	"14"	"277"	"6"	"1"	"5"	"475"	""	"475"	""
"127"	"105"	"15"	"10"	"8"	"6"	"140"	"34"	"149"	"14"	"13"	"23"	"412"	""	"412"	""
"128"	"106"	"34"	"79"	"67"	"13"	"209"	"17"	"72"	"4"	"4"	"24"	"523"	""	"523"	""
"129"	"107"	"1"	"1"	"0"	"0"	"0"	"0"	"450"	"1"	"0"	"0"	"453"	""	"453"	""
"130"	"108"	"6"	"226"	"4"	"3"	"124"	"15"	"19"	"5"	"3"	"3"	"408"	""	"408"	""
"131"	"109"	"13"	"51"	"12"	"12"	"286"	"17"	"22"	"5"	"4"	"2"	"424"	""	"424"	""
"132"	"110"	"5"	"3"	"1"	"1"	"7"	"2"	"269"	"1"	"1"	"1"	"291"	""	"291"	""
"133"	"111"	"15"	"73"	"6"	"9"	"19"	"10"	"211"	"8"	"7"	"21"	"379"	""	"379"	""
"134"	"112"	"11"	"13"	"0"	"0"	"3"	"4"	"505"	"5"	"0"	"10"	"551"	""	"551"	""
"135"	"Grand
Total"	"206"	"927"	"163"	"80"	"1959"	"215"	"2637"	"83"	"76"	"179"	"6525"	"0"	"6525"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"137"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"138"	"113"	"3"	"7"	"1"	"0"	"1"	"2"	"501"	"1"	"0"	"0"	"516"	""	"516"	""
"139"	"114"	"39"	"101"	"11"	"2"	"47"	"9"	"171"	"8"	"11"	"13"	"412"	""	"412"	""
"140"	"115"	"9"	"1"	"0"	"1"	"1"	"2"	"364"	"1"	"0"	"2"	"381"	""	"381"	""
"141"	"116"	"188"	"131"	"16"	"5"	"168"	"7"	"18"	"3"	"2"	"2"	"540"	""	"540"	""
"142"	"117"	"0"	"0"	"0"	"0"	"1"	"1"	"234"	"0"	"0"	"0"	"236"	""	"236"	""
"143"	"118"	"10"	"14"	"1"	"0"	"5"	"3"	"556"	"4"	"1"	"4"	"598"	""	"598"	""
"144"	"119"	"38"	"270"	"14"	"5"	"1"	"6"	"34"	"2"	"7"	"8"	"385"	""	"385"	""
"145"	"120"	"42"	"207"	"0"	"7"	"12"	"8"	"159"	"3"	"6"	"12"	"456"	""	"456"	""
"146"	"121"	"3"	"1"	"0"	"0"	"3"	"3"	"415"	"2"	"1"	"7"	"435"	""	"435"	""
"147"	"122"	"11"	"27"	"0"	"0"	"8"	"1"	"379"	"3"	"0"	"3"	"432"	""	"432"	""
"148"	"123"	"51"	"43"	"5"	"3"	"24"	"8"	"76"	"10"	"11"	"18"	"249"	""	"249"	""
"149"	"124"	"21"	"33"	"7"	"7"	"121"	"19"	"233"	"7"	"8"	"14"	"470"	""	"470"	""
"150"	"125"	"31"	"65"	"14"	"10"	"385"	"14"	"93"	"4"	"8"	"8"	"632"	""	"632"	""
"151"	"126"	"28"	"68"	"6"	"8"	"103"	"22"	"238"	"9"	"6"	"8"	"496"	""	"496"	""
"152"	"Grand
Total"	"474"	"968"	"75"	"48"	"880"	"105"	"3471"	"57"	"61"	"99"	"6238"	"0"	"6238"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"155"	"127"	"2"	"13"	"0"	"2"	"195"	"8"	"2"	"2"	"0"	"3"	"227"	""	"227"	""
"156"	"128"	"10"	"121"	"44"	"6"	"22"	"4"	"116"	"4"	"4"	"9"	"340"	""	"340"	""
"157"	"129"	"37"	"280"	"33"	"4"	"27"	"8"	"149"	"3"	"2"	"12"	"555"	""	"555"	""
"158"	"130"	"21"	"193"	"26"	"6"	"130"	"1"	"19"	"7"	"9"	"10"	"422"	""	"422"	""
"159"	"131"	"70"	"354"	"22"	"2"	"17"	"2"	"80"	"0"	"1"	"3"	"551"	""	"551"	""
"160"	"132"	"49"	"229"	"8"	"3"	"158"	"15"	"16"	"4"	"10"	"31"	"523"	""	"523"	""
"161"	"133"	"28"	"125"	"11"	"7"	"44"	"10"	"10"	"7"	"6"	"0"	"248"	""	"248"	""
"162"	"134"	"204"	"17"	"3"	"2"	"12"	"0"	"42"	"2"	"1"	"4"	"287"	""	"287"	""
"163"	"135"	"106"	"191"	"9"	"8"	"138"	"15"	"13"	"8"	"7"	"5"	"500"	""	"500"	""
"164"	"136"	"83"	"186"	"3"	"4"	"37"	"9"	"2"	"4"	"3"	"8"	"339"	""	"339"	""
"165"	"137"	"84"	"78"	"3"	"3"	"4"	"1"	"4"	"2"	"3"	"4"	"186"	""	"186"	""
"166"	"138"	"226"	"106"	"11"	"3"	"67"	"9"	"41"	"11"	"10"	"38"	"522"	""	"522"	""
"167"	"139"	"98"	"63"	"7"	"6"	"153"	"11"	"30"	"3"	"11"	"21"	"403"	""	"403"	""
"168"	"140"	"77"	"22"	"6"	"6"	"190"	"8"	"3"	"1"	"2"	"1"	"316"	""	"316"	""
"169"	"Grand
Total"	"1095"	"1978"	"186"	"62"	"1194"	"101"	"527"	"58"	"69"	"149"	"5419"	"0"	"5419"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"172"	"141"	"50"	"16"	"4"	"2"	"136"	"3"	"6"	"1"	"1"	"5"	"224"	""	"224"	""
"173"	"142"	"41"	"301"	"10"	"13"	"81"	"4"	"23"	"3"	"4"	"3"	"483"	""	"483"	""
"174"	"143"	"164"	"404"	"18"	"5"	"16"	"2"	"1"	"1"	"11"	"18"	"640"	""	"640"	""
"175"	"144"	"10"	"263"	"17"	"1"	"1"	"0"	"4"	"0"	"9"	"9"	"314"	""	"314"	""
"176"	"145"	"31"	"522"	"8"	"2"	"5"	"4"	"5"	"0"	"2"	"3"	"582"	""	"582"	""
"177"	"146"	"39"	"431"	"20"	"8"	"7"	"4"	"4"	"4"	"10"	"30"	"557"	""	"557"	""
"178"	"147"	"27"	"276"	"19"	"6"	"20"	"2"	"8"	"6"	"8"	"16"	"388"	""	"388"	""
"179"	"148"	"374"	"13"	"8"	"3"	"17"	"4"	"8"	"5"	"4"	"7"	"443"	""	"443"	""
"180"	"149"	"288"	"50"	"19"	"13"	"122"	"15"	"46"	"7"	"25"	"21"	"606"	""	"606"	""
"181"	"150"	"37"	"152"	"16"	"4"	"139"	"8"	"10"	"1"	"5"	"21"	"393"	""	"393"	""
"182"	"151"	"170"	"175"	"10"	"4"	"13"	"10"	"15"	"8"	"15"	"19"	"439"	""	"439"	""
"183"	"152"	"39"	"111"	"6"	"2"	"20"	"0"	"9"	"0"	"0"	"2"	"189"	""	"189"	""
"184"	"153"	"89"	"315"	"12"	"3"	"49"	"7"	"11"	"0"	"1"	"5"	"492"	""	"492"	""
"185"	"154"	"15"	"125"	"5"	"2"	"83"	"2"	"0"	"0"	"0"	"0"	"232"	""	"232"	""
"186"	"Grand
Total"	"1374"	"3154"	"172"	"68"	"709"	"65"	"150"	"36"	"95"	"159"	"5982"	"0"	"5982"	"0"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"189"	"155"	"76"	"120"	"5"	"11"	"71"	"14"	"253"	"8"	"11"	"23"	"592"	""	"592"	""
"190"	"156"	"83"	"143"	"12"	"1"	"2"	"6"	"0"	"3"	"4"	"10"	"264"	""	"264"	""
"191"	"157"	"142"	"77"	"3"	"1"	"13"	"5"	"110"	"2"	"6"	"14"	"373"	""	"373"	""
"192"	"158"	"184"	"221"	"24"	"4"	"16"	"11"	"9"	"6"	"7"	"25"	"507"	""	"507"	""
"193"	"159"	"110"	"88"	"8"	"5"	"61"	"8"	"10"	"5"	"9"	"13"	"317"	""	"317"	""
"194"	"160"	"61"	"377"	"12"	"1"	"1"	"4"	"7"	"0"	"4"	"2"	"469"	""	"469"	""
"195"	"161"	"71"	"122"	"12"	"6"	"44"	"5"	"4"	"2"	"5"	"14"	"285"	""	"285"	""
"196"	"162"	"148"	"204"	"4"	"4"	"17"	"2"	"1"	"1"	"1"	"8"	"390"	""	"390"	""
"197"	"163"	"158"	"21"	"4"	"2"	"38"	"3"	"9"	"1"	"3"	"3"	"242"	""	"242"	""
"198"	"164"	"117"	"44"	"6"	"5"	"27"	"7"	"28"	"0"	"2"	"0"	"236"	""	"236"	""
"199"	"165"	"22"	"213"	"7"	"0"	"3"	"1"	"0"	"0"	"1"	"1"	"248"	""	"248"	""
"200"	"166"	"38"	"165"	"6"	"1"	"2"	"0"	"2"	"0"	"1"	"5"	"220"	""	"220"	""
"201"	"167"	"30"	"165"	"4"	"1"	"4"	"2"	"1"	"4"	"4"	"6"	"221"	""	"221"	""
