"Total.No..of.Electors.in.Assembly.Constituency.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"35"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"37"	"27"	"27"	"205"	"17"	"163"	"7"	"2"	"139"	"5"	"16"	"19"	"25"	"598"	"-"	"598"	""
"38"	"28"	"28"	"44"	"8"	"241"	"11"	"7"	"136"	"9"	"14"	"6"	"20"	"496"	"-"	"496"	""
"39"	"29"	"29"	"26"	"9"	"160"	"10"	"7"	"52"	"42"	"6"	"32"	"9"	"353"	"-"	"353"	""
"40"	"30"	"30"	"54"	"5"	"84"	"3"	"10"	"282"	"10"	"4"	"9"	"17"	"478"	"-"	"478"	""
"41"	"31"	"31"	"32"	"18"	"227"	"16"	"12"	"257"	"13"	"9"	"14"	"41"	"639"	"-"	"639"	""
"42"	"32"	"32"	"11"	"8"	"264"	"15"	"5"	"73"	"18"	"11"	"6"	"14"	"425"	"-"	"425"	""
"43"	"33"	"33"	"13"	"5"	"164"	"10"	"3"	"94"	"1"	"2"	"3"	"10"	"305"	"-"	"305"	""
"44"	"34"	"34"	"55"	"24"	"143"	"9"	"8"	"105"	"5"	"3"	"3"	"9"	"364"	"-"	"364"	""
"45"	"35"	"35"	"34"	"11"	"129"	"7"	"2"	"65"	"34"	"8"	"3"	"4"	"297"	"-"	"297"	""
"46"	"36"	"36"	"27"	"0"	"452"	"1"	"0"	"38"	"0"	"1"	"0"	"0"	"519"	"-"	"519"	""
"47"	"37"	"37"	"61"	"4"	"301"	"3"	"5"	"53"	"12"	"2"	"1"	"2"	"444"	"-"	"444"	""
"48"	"38"	"38"	"82"	"12"	"80"	"14"	"17"	"105"	"216"	"14"	"7"	"17"	"564"	"-"	"564"	""
"49"	"39"	"39"	"82"	"21"	"148"	"12"	"15"	"165"	"98"	"14"	"10"	"12"	"577"	"-"	"577"	""
"50"	"40"	"40"	"590"	"1"	"8"	"1"	"0"	"6"	"0"	"0"	"2"	"2"	"610"	"-"	"610"	""
"51"	"41"	"41"	"1000"	"0"	"5"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"1016"	"-"	"1016"	""
"52"	"42"	"42"	"67"	"16"	"201"	"18"	"3"	"41"	"115"	"18"	"8"	"27"	"514"	"-"	"514"	""
"53"	"43"	"43"	"143"	"10"	"171"	"10"	"6"	"45"	"12"	"9"	"5"	"14"	"425"	"-"	"425"	""
"54"	"44"	"44"	"39"	"2"	"260"	"2"	"1"	"13"	"1"	"2"	"2"	"3"	"325"	"-"	"325"	""
"55"	"45"	"45"	"133"	"0"	"486"	"3"	"1"	"26"	"2"	"3"	"2"	"2"	"658"	"-"	"658"	""
"56"	"46"	"46"	"82"	"5"	"149"	"9"	"7"	"55"	"13"	"11"	"11"	"19"	"361"	"-"	"361"	""
"57"	"47"	"47"	"65"	"7"	"43"	"8"	"7"	"69"	"77"	"16"	"11"	"30"	"333"	"-"	"333"	""
"58"	"48"	"48"	"44"	"2"	"32"	"1"	"2"	"137"	"3"	"1"	"1"	"7"	"230"	"-"	"230"	""
"59"	"49"	"49"	"49"	"7"	"93"	"8"	"1"	"86"	"11"	"1"	"1"	"14"	"271"	"-"	"271"	""
"60"	"50"	"50"	"36"	"2"	"70"	"9"	"2"	"121"	"7"	"7"	"3"	"13"	"270"	"-"	"270"	""
"61"	"51"	"51"	"10"	"4"	"548"	"5"	"1"	"34"	"37"	"1"	"1"	"0"	"641"	"-"	"641"	""
"62"	"52"	"52"	"51"	"7"	"212"	"9"	"8"	"23"	"29"	"16"	"11"	"12"	"378"	"-"	"378"	""
"63"	"53"	"53"	"34"	"14"	"214"	"7"	"2"	"6"	"25"	"2"	"4"	"2"	"310"	"-"	"310"	""
"64"	"54"	"54"	"29"	"10"	"63"	"12"	"9"	"400"	"36"	"2"	"1"	"7"	"569"	"-"	"569"	""
"65"	"55"	"55"	"18"	"5"	"173"	"9"	"2"	"28"	"2"	"1"	"1"	"3"	"242"	"-"	"242"	""
"66"	"56"	"56"	"11"	"4"	"221"	"6"	"0"	"49"	"1"	"0"	"3"	"9"	"304"	"-"	"304"	""
"67"	"57"	"57"	"86"	"8"	"285"	"10"	"3"	"62"	"26"	"20"	"3"	"7"	"510"	"-"	"510"	""
"68"	"58"	"58"	"89"	"11"	"192"	"11"	"4"	"128"	"6"	"13"	"5"	"22"	"481"	"-"	"481"	""
"69"	"59"	"59"	"93"	"11"	"236"	"10"	"5"	"53"	"12"	"9"	"8"	"5"	"442"	"-"	"442"	""
"70"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"71"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"73"	"60"	"60"	"45"	"3"	"81"	"7"	"7"	"208"	"9"	"13"	"11"	"21"	"405"	"-"	"405"	""
"74"	"61"	"61"	"56"	"6"	"215"	"11"	"4"	"128"	"5"	"11"	"9"	"18"	"463"	"-"	"463"	""
"75"	"62"	"62"	"34"	"7"	"137"	"11"	"6"	"195"	"17"	"4"	"11"	"20"	"442"	"-"	"442"	""
"76"	"63"	"63"	"23"	"17"	"308"	"13"	"7"	"176"	"17"	"5"	"6"	"10"	"582"	"-"	"582"	""
"77"	"64"	"64"	"5"	"4"	"514"	"0"	"0"	"9"	"2"	"0"	"17"	"1"	"552"	"-"	"552"	""
"78"	"65"	"65"	"26"	"8"	"240"	"6"	"3"	"197"	"65"	"3"	"9"	"6"	"563"	"-"	"563"	""
"79"	"66"	"66"	"6"	"6"	"57"	"3"	"3"	"87"	"21"	"4"	"4"	"9"	"200"	"-"	"200"	""
"80"	"67"	"67"	"38"	"11"	"159"	"13"	"7"	"252"	"19"	"4"	"15"	"34"	"552"	"-"	"552"	""
"81"	"68"	"68"	"27"	"6"	"49"	"5"	"13"	"193"	"15"	"6"	"1"	"15"	"330"	"-"	"330"	""
"82"	"69"	"69"	"68"	"4"	"148"	"2"	"8"	"37"	"2"	"7"	"4"	"2"	"282"	"-"	"282"	""
"83"	"70"	"70"	"108"	"11"	"208"	"14"	"12"	"77"	"10"	"19"	"12"	"28"	"499"	"-"	"499"	""
"84"	"71"	"71"	"283"	"17"	"157"	"7"	"1"	"54"	"12"	"9"	"6"	"7"	"553"	"-"	"553"	""
"85"	"72"	"72"	"140"	"16"	"141"	"7"	"6"	"229"	"34"	"11"	"6"	"13"	"603"	"-"	"603"	""
"86"	"73"	"73"	"146"	"14"	"66"	"13"	"7"	"142"	"107"	"29"	"25"	"33"	"582"	"-"	"582"	""
"87"	"74"	"74"	"149"	"10"	"29"	"4"	"6"	"75"	"4"	"8"	"9"	"17"	"311"	"-"	"311"	""
"88"	"75"	"75"	"159"	"6"	"44"	"5"	"3"	"33"	"4"	"11"	"3"	"10"	"278"	"-"	"278"	""
"89"	"76"	"76"	"60"	"16"	"292"	"28"	"13"	"46"	"140"	"19"	"11"	"13"	"638"	"-"	"638"	""
"90"	"77"	"77"	"143"	"8"	"335"	"20"	"7"	"28"	"5"	"14"	"5"	"22"	"587"	"-"	"587"	""
"91"	"78"	"78"	"145"	"10"	"154"	"13"	"4"	"46"	"3"	"2"	"6"	"18"	"401"	"-"	"401"	""
"92"	"79"	"79"	"150"	"6"	"277"	"7"	"5"	"111"	"5"	"5"	"7"	"16"	"589"	"-"	"589"	""
"93"	"80"	"80"	"26"	"3"	"70"	"13"	"11"	"330"	"9"	"11"	"9"	"19"	"501"	"-"	"501"	""
"94"	"81"	"81"	"11"	"8"	"207"	"6"	"10"	"316"	"4"	"3"	"9"	"15"	"589"	"-"	"589"	""
"95"	"82"	"82"	"80"	"10"	"187"	"37"	"9"	"119"	"138"	"20"	"13"	"45"	"658"	"-"	"658"	""
"96"	"83"	"83"	"18"	"16"	"196"	"30"	"13"	"277"	"19"	"12"	"14"	"34"	"629"	"-"	"629"	""
"97"	"84"	"84"	"88"	"11"	"240"	"16"	"6"	"170"	"29"	"11"	"27"	"11"	"609"	"-"	"609"	""
"98"	"85"	"85"	"0"	"1"	"547"	"2"	"0"	"42"	"0"	"0"	"3"	"0"	"595"	"-"	"595"	""
"99"	"86"	"86"	"40"	"5"	"318"	"17"	"5"	"9"	"8"	"18"	"129"	"37"	"586"	"-"	"586"	""
"100"	"87"	"87"	"18"	"7"	"281"	"9"	"7"	"12"	"2"	"5"	"40"	"4"	"385"	"-"	"385"	""
"101"	"88"	"88"	"1"	"1"	"830"	"5"	"1"	"22"	"1"	"0"	"1"	"1"	"863"	"-"	"863"	""
"102"	"89"	"89"	"14"	"6"	"303"	"7"	"31"	"5"	"4"	"3"	"9"	"4"	"386"	"-"	"386"	""
"103"	"90"	"90"	"35"	"19"	"161"	"11"	"7"	"69"	"2"	"2"	"3"	"3"	"312"	"-"	"312"	""
"104"	"91"	"91"	"17"	"15"	"180"	"11"	"3"	"78"	"7"	"3"	"9"	"3"	"326"	"-"	"326"	""
"105"	"92"	"92"	"9"	"1"	"203"	"6"	"2"	"137"	"0"	"1"	"2"	"6"	"367"	"-"	"367"	""
"106"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"107"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"108"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"109"	"93"	"93"	"13"	"9"	"215"	"13"	"4"	"118"	"6"	"5"	"2"	"12"	"397"	"-"	"397"	""
"110"	"94"	"94"	"14"	"8"	"262"	"14"	"7"	"164"	"11"	"3"	"2"	"18"	"503"	"-"	"503"	""
"111"	"95"	"95"	"3"	"3"	"601"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"615"	"-"	"615"	""
"112"	"96"	"96"	"12"	"4"	"469"	"9"	"4"	"6"	"1"	"14"	"9"	"12"	"540"	"-"	"540"	""
"113"	"97"	"97"	"27"	"17"	"598"	"14"	"5"	"5"	"2"	"17"	"5"	"7"	"697"	"-"	"697"	""
"114"	"98"	"98"	"0"	"0"	"399"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"401"	"-"	"401"	""
"115"	"99"	"99"	"1"	"7"	"782"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"793"	"-"	"793"	""
"116"	"100"	"100"	"12"	"7"	"186"	"17"	"8"	"204"	"35"	"7"	"8"	"20"	"504"	"-"	"504"	""
"117"	"101"	"101"	"17"	"10"	"201"	"26"	"7"	"119"	"27"	"13"	"12"	"29"	"461"	"-"	"461"	""
"118"	"102"	"102"	"26"	"16"	"203"	"12"	"15"	"119"	"38"	"7"	"12"	"24"	"472"	"-"	"472"	""
"119"	"103"	"103"	"33"	"16"	"235"	"12"	"6"	"59"	"5"	"4"	"6"	"15"	"391"	"-"	"391"	""
"120"	"104"	"104"	"19"	"9"	"228"	"8"	"6"	"37"	"3"	"1"	"2"	"15"	"328"	"-"	"328"	""
"121"	"105"	"105"	"120"	"22"	"52"	"2"	"5"	"521"	"68"	"9"	"3"	"7"	"809"	"-"	"809"	""
"122"	"106"	"106"	"44"	"8"	"113"	"15"	"10"	"324"	"37"	"7"	"11"	"33"	"602"	"-"	"602"	""
"123"	"107"	"107"	"6"	"4"	"637"	"5"	"1"	"44"	"6"	"0"	"1"	"6"	"710"	"-"	"710"	""
"124"	"108"	"108"	"4"	"2"	"470"	"3"	"0"	"22"	"0"	"0"	"0"	"1"	"502"	"-"	"502"	""
"125"	"109"	"109"	"68"	"7"	"74"	"9"	"5"	"438"	"62"	"2"	"3"	"12"	"680"	"-"	"680"	""
"126"	"110"	"110"	"11"	"9"	"380"	"9"	"5"	"87"	"14"	"8"	"7"	"12"	"542"	"-"	"542"	""
"127"	"111"	"111"	"15"	"7"	"429"	"5"	"7"	"71"	"7"	"1"	"3"	"5"	"550"	"-"	"550"	""
"128"	"112"	"112"	"9"	"0"	"272"	"7"	"4"	"100"	"2"	"5"	"4"	"5"	"408"	"-"	"408"	""
"129"	"113"	"113"	"1"	"0"	"389"	"2"	"0"	"5"	"0"	"0"	"1"	"0"	"398"	"-"	"398"	""
"130"	"114"	"114"	"29"	"7"	"224"	"7"	"8"	"110"	"8"	"6"	"14"	"16"	"429"	"-"	"429"	""
"131"	"115"	"115"	"17"	"2"	"106"	"3"	"1"	"259"	"29"	"0"	"0"	"3"	"420"	"-"	"420"	""
"132"	"116"	"116"	"71"	"5"	"54"	"7"	"4"	"792"	"56"	"5"	"1"	"6"	"1001"	"-"	"1001"	""
"133"	"117"	"117"	"29"	"3"	"62"	"9"	"6"	"390"	"22"	"6"	"3"	"21"	"551"	"-"	"551"	""
"134"	"118"	"118"	"37"	"2"	"150"	"3"	"1"	"48"	"17"	"4"	"4"	"6"	"272"	"-"	"272"	""
"135"	"119"	"119"	"24"	"10"	"535"	"12"	"2"	"18"	"3"	"10"	"7"	"8"	"629"	"-"	"629"	""
"136"	"120"	"120"	"10"	"8"	"205"	"14"	"5"	"112"	"25"	"3"	"5"	"13"	"400"	"-"	"400"	""
"137"	"121"	"121"	"170"	"19"	"52"	"7"	"8"	"58"	"51"	"17"	"9"	"34"	"425"	"-"	"425"	""
"138"	"122"	"122"	"128"	"8"	"256"	"16"	"6"	"212"	"13"	"13"	"7"	"78"	"737"	"-"	"737"	""
"139"	"123"	"123"	"115"	"23"	"248"	"21"	"7"	"288"	"33"	"16"	"15"	"87"	"853"	"-"	"853"	""
"140"	"124"	"124"	"113"	"8"	"66"	"11"	"10"	"316"	"134"	"19"	"14"	"18"	"709"	"-"	"709"	""
"141"	"125"	"125"	"55"	"10"	"188"	"11"	"15"	"368"	"28"	"7"	"12"	"20"	"714"	"-"	"714"	""
"142"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"143"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"144"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"145"	"126"	"126"	"2"	"3"	"430"	"2"	"0"	"104"	"2"	"1"	"4"	"3"	"551"	"-"	"551"	""
"146"	"127"	"127"	"33"	"6"	"246"	"5"	"5"	"41"	"0"	"2"	"0"	"2"	"340"	"-"	"340"	""
"147"	"128"	"128"	"27"	"7"	"107"	"12"	"7"	"365"	"4"	"8"	"2"	"11"	"550"	"-"	"550"	""
"148"	"129"	"129"	"7"	"4"	"32"	"4"	"6"	"411"	"8"	"2"	"4"	"6"	"484"	"-"	"484"	""
"149"	"130"	"130"	"3"	"3"	"188"	"6"	"2"	"168"	"2"	"0"	"5"	"4"	"381"	"-"	"381"	""
"150"	"131"	"131"	"5"	"0"	"13"	"4"	"5"	"242"	"3"	"2"	"1"	"10"	"285"	"-"	"285"	""
"151"	"132"	"132"	"72"	"7"	"42"	"14"	"22"	"231"	"20"	"11"	"14"	"35"	"468"	"-"	"468"	""
"152"	"133"	"133"	"145"	"4"	"164"	"8"	"6"	"111"	"79"	"4"	"3"	"11"	"535"	"-"	"535"	""
"153"	"134"	"134"	"7"	"3"	"390"	"3"	"2"	"9"	"0"	"0"	"4"	"3"	"421"	"-"	"421"	""
"154"	"135"	"135"	"2"	"0"	"399"	"5"	"0"	"29"	"1"	"0"	"16"	"3"	"455"	"-"	"455"	""
"155"	"136"	"136"	"18"	"5"	"307"	"17"	"5"	"65"	"64"	"8"	"10"	"10"	"509"	"-"	"509"	""
"156"	"137"	"137"	"5"	"3"	"669"	"4"	"0"	"20"	"3"	"3"	"11"	"3"	"721"	"-"	"721"	""
"157"	"138"	"138"	"7"	"4"	"27"	"1"	"6"	"419"	"4"	"4"	"6"	"5"	"483"	"-"	"483"	""
"158"	"139"	"139"	"5"	"1"	"32"	"9"	"6"	"210"	"5"	"2"	"4"	"14"	"288"	"-"	"288"	""
"159"	"140"	"140"	"11"	"2"	"40"	"8"	"5"	"146"	"74"	"8"	"11"	"30"	"335"	"-"	"335"	""
"160"	"141"	"141"	"5"	"2"	"11"	"4"	"3"	"308"	"5"	"0"	"3"	"11"	"352"	"-"	"352"	""
"161"	"142"	"142"	"13"	"11"	"153"	"8"	"3"	"134"	"3"	"4"	"1"	"9"	"339"	"-"	"339"	""
"162"	"143"	"143"	"8"	"3"	"81"	"5"	"2"	"226"	"7"	"7"	"4"	"11"	"354"	"-"	"354"	""
"163"	"144"	"144"	"7"	"0"	"85"	"7"	"3"	"59"	"8"	"17"	"10"	"54"	"250"	"-"	"250"	""
"164"	"145"	"145"	"21"	"6"	"100"	"5"	"4"	"102"	"27"	"7"	"4"	"4"	"280"	"-"	"280"	""
"165"	"146"	"146"	"13"	"3"	"105"	"3"	"7"	"324"	"9"	"8"	"6"	"26"	"504"	"-"	"504"	""
"166"	"147"	"147"	"7"	"2"	"30"	"0"	"3"	"708"	"5"	"0"	"0"	"1"	"756"	"-"	"756"	""
"167"	"148"	"148"	"23"	"5"	"166"	"11"	"12"	"326"	"56"	"9"	"5"	"12"	"625"	"-"	"625"	""
"168"	"149"	"149"	"65"	"5"	"38"	"7"	"5"	"132"	"11"	"9"	"9"	"21"	"302"	"-"	"302"	""
"169"	"150"	"150"	"2"	"2"	"54"	"5"	"4"	"83"	"8"	"4"	"2"	"18"	"182"	"-"	"182"	""
"170"	"151"	"151"	"29"	"6"	"338"	"10"	"8"	"118"	"26"	"9"	"5"	"29"	"578"	"-"	"578"	""
"171"	"152"	"152"	"38"	"17"	"168"	"15"	"8"	"102"	"10"	"15"	"10"	"22"	"405"	"-"	"405"	""
"172"	"153"	"153"	"16"	"12"	"184"	"6"	"7"	"72"	"13"	"4"	"2"	"6"	"322"	"-"	"322"	""
"173"	"154"	"154"	"6"	"3"	"432"	"4"	"2"	"142"	"4"	"3"	"6"	"9"	"611"	"-"	"611"	""
"174"	"155"	"155"	"7"	"7"	"590"	"7"	"2"	"17"	"0"	"2"	"2"	"3"	"637"	"-"	"637"	""
"175"	"156"	"156"	"38"	"17"	"157"	"6"	"3"	"312"	"12"	"6"	"2"	"20"	"573"	"-"	"573"	""
"176"	"157"	"157"	"21"	"10"	"126"	"5"	"4"	"306"	"7"	"2"	"3"	"6"	"490"	"-"	"490"	""
"177"	"158"	"158"	"33"	"7"	"308"	"14"	"7"	"12"	"4"	"7"	"10"	"12"	"414"	"-"	"414"	""
"178"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"179"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"181"	"159"	"159"	"1"	"4"	"478"	"2"	"1"	"11"	"2"	"0"	"0"	"2"	"501"	"-"	"501"	""
"182"	"160"	"160"	"4"	"4"	"55"	"1"	"5"	"603"	"4"	"1"	"1"	"7"	"685"	"-"	"685"	""
"183"	"161"	"161"	"35"	"1"	"20"	"2"	"3"	"298"	"4"	"5"	"9"	"12"	"389"	"-"	"389"	""
"184"	"162"	"162"	"164"	"8"	"104"	"17"	"7"	"186"	"12"	"18"	"10"	"20"	"546"	"-"	"546"	""
"185"	"163"	"163"	"10"	"1"	"29"	"4"	"7"	"295"	"11"	"2"	"3"	"13"	"375"	"-"	"375"	""
"186"	"164"	"164"	"15"	"3"	"86"	"13"	"4"	"185"	"15"	"8"	"1"	"6"	"336"	"-"	"336"	""
"187"	"165"	"165"	"11"	"2"	"135"	"5"	"7"	"128"	"4"	"2"	"3"	"8"	"305"	"-"	"305"	""
"188"	"166"	"166"	"3"	"2"	"422"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"436"	"-"	"436"	""
"189"	"167"	"167"	"6"	"6"	"501"	"4"	"2"	"36"	"1"	"4"	"1"	"4"	"565"	"-"	"565"	""
"190"	"168"	"168"	"1"	"2"	"477"	"2"	"1"	"17"	"1"	"1"	"1"	"2"	"505"	"-"	"505"	""
"191"	"169"	"169"	"1"	"1"	"83"	"10"	"4"	"560"	"5"	"3"	"2"	"9"	"678"	"-"	"678"	""
"192"	"170"	"170"	"13"	"7"	"455"	"14"	"6"	"49"	"18"	"4"	"2"	"5"	"573"	"-"	"573"	""
"193"	"171"	"171"	"38"	"7"	"58"	"12"	"18"	"198"	"12"	"22"	"9"	"38"	"412"	"-"	"412"	""
"194"	"172"	"172"	"17"	"7"	"101"	"5"	"4"	"319"	"7"	"6"	"5"	"21"	"492"	"-"	"492"	""
"195"	"173"	"173"	"8"	"11"	"181"	"10"	"10"	"117"	"42"	"13"	"12"	"14"	"418"	"-"	"418"	""
"196"	"174"	"174"	"1"	"1"	"799"	"4"	"0"	"16"	"0"	"0"	"0"	"0"	"821"	"-"	"821"	""
"197"	"175"	"175"	"2"	"1"	"499"	"2"	"0"	"60"	"2"	"0"	"1"	"3"	"570"	"-"	"570"	""
