"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"20"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"21"	"B.F."	"178"	"1111"	"40"	"158"	"3175"	"145"	"1222"	"95"	"85"	"162"	"131"	"152"	"240"	"6894"	"0"	"6894"	"0"
"22"	"15"	"8"	"59"	"2"	"13"	"181"	"9"	"74"	"5"	"2"	"9"	"12"	"14"	"16"	"404"	""	"404"	""
"23"	"16"	"19"	"86"	"4"	"9"	"143"	"7"	"27"	"4"	"8"	"11"	"5"	"8"	"15"	"346"	""	"346"	""
"24"	"17"	"15"	"42"	"9"	"6"	"225"	"11"	"23"	"5"	"7"	"8"	"4"	"6"	"5"	"366"	""	"366"	""
"25"	"18"	"4"	"58"	"2"	"7"	"148"	"2"	"88"	"2"	"2"	"9"	"2"	"2"	"3"	"329"	""	"329"	""
"26"	"19"	"8"	"118"	"1"	"8"	"158"	"5"	"87"	"2"	"2"	"5"	"3"	"1"	"1"	"399"	""	"399"	""
"27"	"20"	"18"	"83"	"4"	"8"	"256"	"15"	"93"	"8"	"6"	"13"	"6"	"10"	"16"	"536"	""	"536"	""
"28"	"21"	"15"	"35"	"1"	"11"	"150"	"13"	"97"	"10"	"5"	"9"	"12"	"17"	"11"	"386"	""	"386"	""
"29"	"22"	"20"	"39"	"2"	"9"	"99"	"9"	"123"	"11"	"12"	"25"	"13"	"15"	"18"	"395"	""	"395"	""
"30"	"23"	"12"	"24"	"6"	"12"	"317"	"16"	"62"	"5"	"14"	"6"	"7"	"12"	"19"	"512"	""	"512"	""
"31"	"24"	"9"	"69"	"2"	"4"	"293"	"14"	"75"	"8"	"8"	"13"	"9"	"18"	"27"	"549"	""	"549"	""
"32"	"25"	"30"	"56"	"9"	"13"	"276"	"22"	"193"	"8"	"9"	"10"	"8"	"9"	"7"	"650"	""	"650"	""
"33"	"26"	"12"	"28"	"2"	"15"	"293"	"13"	"90"	"7"	"3"	"10"	"7"	"16"	"44"	"540"	""	"540"	""
"34"	"27"	"6"	"76"	"1"	"1"	"84"	"2"	"44"	"1"	"1"	"0"	"0"	"5"	"1"	"222"	""	"222"	""
"35"	"28"	"1"	"48"	"0"	"6"	"310"	"3"	"20"	"4"	"6"	"2"	"1"	"0"	"6"	"407"	""	"407"	""
"36"	"Page Total"	"355"	"1932"	"85"	"280"	"6108"	"286"	"2318"	"175"	"170"	"292"	"220"	"285"	"429"	"12935"	"0"	"12935"	"0"
"37"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"39"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"40"	"B.F."	"355"	"1932"	"85"	"280"	"6108"	"286"	"2318"	"175"	"170"	"292"	"220"	"285"	"429"	"12935"	"0"	"12935"	"0"
"41"	"29"	"23"	"138"	"3"	"9"	"142"	"22"	"195"	"19"	"11"	"39"	"23"	"11"	"34"	"669"	""	"669"	""
"42"	"30"	"13"	"11"	"3"	"9"	"204"	"10"	"198"	"12"	"13"	"17"	"19"	"20"	"43"	"572"	""	"572"	""
"43"	"31"	"16"	"69"	"3"	"7"	"209"	"11"	"326"	"5"	"10"	"10"	"6"	"9"	"13"	"694"	""	"694"	""
"44"	"32"	"20"	"49"	"5"	"12"	"195"	"8"	"229"	"9"	"9"	"13"	"12"	"10"	"17"	"588"	""	"588"	""
"45"	"33"	"11"	"296"	"4"	"4"	"42"	"3"	"180"	"7"	"9"	"8"	"8"	"6"	"10"	"588"	""	"588"	""
"46"	"34"	"3"	"88"	"3"	"10"	"43"	"9"	"127"	"9"	"4"	"14"	"16"	"46"	"29"	"401"	""	"401"	""
"47"	"35"	"4"	"38"	"1"	"8"	"125"	"10"	"58"	"2"	"4"	"18"	"9"	"18"	"8"	"303"	""	"303"	""
"48"	"36"	"19"	"69"	"1"	"18"	"131"	"5"	"159"	"19"	"7"	"30"	"26"	"141"	"46"	"671"	""	"671"	""
"49"	"37"	"1"	"70"	"2"	"1"	"36"	"3"	"203"	"4"	"3"	"8"	"3"	"6"	"4"	"344"	""	"344"	""
"50"	"38"	"8"	"6"	"1"	"2"	"99"	"13"	"201"	"10"	"8"	"9"	"11"	"12"	"18"	"398"	""	"398"	""
"51"	"39"	"2"	"76"	"0"	"1"	"16"	"2"	"175"	"0"	"0"	"5"	"4"	"4"	"2"	"287"	""	"287"	""
"52"	"40"	"0"	"78"	"1"	"4"	"30"	"6"	"236"	"4"	"0"	"3"	"3"	"25"	"4"	"394"	""	"394"	""
"53"	"41"	"10"	"106"	"0"	"3"	"19"	"1"	"68"	"2"	"1"	"15"	"4"	"19"	"10"	"258"	""	"258"	""
"54"	"42"	"10"	"55"	"3"	"4"	"35"	"5"	"131"	"15"	"4"	"25"	"20"	"43"	"14"	"364"	""	"364"	""
"55"	"Page Total"	"495"	"3081"	"115"	"372"	"7434"	"394"	"4804"	"292"	"253"	"506"	"384"	"655"	"681"	"19466"	"0"	"19466"	"0"
"56"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"58"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"59"	"B.F."	"495"	"3081"	"115"	"372"	"7434"	"394"	"4804"	"292"	"253"	"506"	"384"	"655"	"681"	"19466"	"0"	"19466"	"0"
"60"	"43"	"10"	"18"	"3"	"6"	"95"	"1"	"142"	"5"	"6"	"6"	"6"	"7"	"4"	"309"	""	"309"	""
"61"	"44"	"4"	"107"	"4"	"6"	"166"	"10"	"126"	"10"	"11"	"16"	"18"	"14"	"8"	"500"	""	"500"	""
"62"	"45"	"4"	"54"	"4"	"6"	"84"	"4"	"173"	"12"	"6"	"15"	"22"	"25"	"46"	"455"	""	"455"	""
"63"	"46"	"9"	"41"	"5"	"3"	"34"	"10"	"273"	"12"	"4"	"12"	"12"	"9"	"10"	"434"	""	"434"	""
"64"	"47"	"8"	"35"	"4"	"4"	"53"	"10"	"249"	"13"	"3"	"13"	"17"	"4"	"8"	"421"	""	"421"	""
"65"	"48"	"9"	"134"	"5"	"4"	"49"	"8"	"146"	"16"	"17"	"18"	"12"	"15"	"15"	"448"	""	"448"	""
"66"	"49"	"0"	"22"	"0"	"0"	"25"	"0"	"527"	"0"	"0"	"0"	"0"	"0"	"1"	"575"	""	"575"	""
"67"	"50"	"30"	"18"	"3"	"2"	"157"	"13"	"298"	"32"	"14"	"22"	"18"	"22"	"28"	"657"	""	"657"	""
"68"	"51"	"8"	"1"	"0"	"1"	"86"	"6"	"20"	"4"	"0"	"1"	"4"	"4"	"7"	"142"	""	"142"	""
"69"	"52"	"14"	"16"	"1"	"3"	"67"	"12"	"279"	"16"	"9"	"9"	"11"	"4"	"14"	"455"	""	"455"	""
"70"	"53"	"4"	"35"	"1"	"8"	"158"	"5"	"207"	"7"	"3"	"5"	"7"	"8"	"7"	"455"	""	"455"	""
"71"	"54"	"17"	"69"	"2"	"11"	"150"	"7"	"169"	"6"	"11"	"19"	"19"	"15"	"22"	"517"	""	"517"	""
"72"	"55"	"7"	"51"	"0"	"8"	"82"	"9"	"177"	"4"	"5"	"10"	"20"	"14"	"15"	"402"	""	"402"	""
"73"	"56"	"12"	"124"	"4"	"5"	"98"	"3"	"85"	"7"	"5"	"13"	"8"	"8"	"17"	"389"	""	"389"	""
"74"	"Page Total"	"631"	"3806"	"151"	"439"	"8738"	"492"	"7675"	"436"	"347"	"665"	"558"	"804"	"883"	"25625"	"0"	"25625"	"0"
"75"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"77"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"78"	"B.F."	"631"	"3806"	"151"	"439"	"8738"	"492"	"7675"	"436"	"347"	"665"	"558"	"804"	"883"	"25625"	"0"	"25625"	"0"
"79"	"57"	"25"	"202"	"6"	"4"	"132"	"7"	"44"	"5"	"2"	"13"	"6"	"7"	"7"	"460"	""	"460"	""
"80"	"58"	"31"	"64"	"4"	"4"	"213"	"14"	"76"	"10"	"12"	"17"	"13"	"18"	"33"	"509"	""	"509"	""
"81"	"59"	"13"	"104"	"6"	"9"	"59"	"5"	"29"	"2"	"1"	"9"	"3"	"3"	"4"	"247"	""	"247"	""
"82"	"60"	"100"	"30"	"3"	"18"	"120"	"12"	"27"	"9"	"9"	"8"	"15"	"13"	"41"	"405"	""	"405"	""
"83"	"61"	"4"	"7"	"2"	"1"	"96"	"3"	"12"	"2"	"8"	"2"	"1"	"3"	"6"	"147"	""	"147"	""
"84"	"62"	"0"	"11"	"1"	"0"	"425"	"2"	"50"	"1"	"0"	"2"	"4"	"1"	"2"	"499"	""	"499"	""
"85"	"63"	"12"	"8"	"1"	"4"	"210"	"2"	"54"	"2"	"3"	"4"	"3"	"3"	"1"	"307"	""	"307"	""
"86"	"64"	"2"	"36"	"0"	"1"	"76"	"6"	"79"	"11"	"2"	"3"	"3"	"2"	"3"	"224"	""	"224"	""
"87"	"65"	"9"	"38"	"5"	"15"	"340"	"13"	"61"	"4"	"3"	"7"	"6"	"3"	"2"	"506"	""	"506"	""
"88"	"66"	"9"	"30"	"5"	"7"	"91"	"11"	"45"	"3"	"3"	"6"	"6"	"8"	"11"	"235"	""	"235"	""
"89"	"67"	"5"	"23"	"2"	"0"	"45"	"3"	"96"	"3"	"3"	"2"	"3"	"7"	"4"	"196"	""	"196"	""
"90"	"68"	"30"	"46"	"4"	"12"	"162"	"12"	"153"	"13"	"7"	"6"	"23"	"8"	"16"	"492"	""	"492"	""
"91"	"69"	"6"	"32"	"1"	"12"	"267"	"14"	"139"	"1"	"4"	"10"	"9"	"3"	"4"	"502"	""	"502"	""
"92"	"70"	"7"	"182"	"4"	"7"	"440"	"12"	"39"	"8"	"12"	"5"	"7"	"15"	"16"	"754"	""	"754"	""
"93"	"Page Total"	"884"	"4619"	"195"	"533"	"11414"	"608"	"8579"	"510"	"416"	"759"	"660"	"898"	"1033"	"31108"	"0"	"31108"	"0"
"94"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"96"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"97"	"B.F."	"884"	"4619"	"195"	"533"	"11414"	"608"	"8579"	"510"	"416"	"759"	"660"	"898"	"1033"	"31108"	"0"	"31108"	"0"
"98"	"71"	"3"	"28"	"1"	"6"	"112"	"7"	"13"	"1"	"0"	"5"	"3"	"1"	"2"	"182"	""	"182"	""
"99"	"72"	"15"	"35"	"3"	"8"	"219"	"12"	"232"	"20"	"17"	"25"	"11"	"7"	"21"	"625"	""	"625"	""
"100"	"73"	"8"	"253"	"5"	"7"	"137"	"3"	"59"	"0"	"2"	"12"	"0"	"3"	"6"	"495"	""	"495"	""
"101"	"74"	"13"	"196"	"6"	"6"	"87"	"0"	"30"	"1"	"0"	"31"	"9"	"7"	"11"	"397"	""	"397"	""
"102"	"75"	"20"	"138"	"8"	"6"	"65"	"10"	"75"	"5"	"8"	"51"	"13"	"16"	"49"	"464"	""	"464"	""
"103"	"76"	"17"	"78"	"1"	"12"	"207"	"12"	"170"	"10"	"5"	"13"	"13"	"13"	"10"	"561"	""	"561"	""
"104"	"77"	"13"	"68"	"5"	"5"	"189"	"16"	"187"	"11"	"10"	"16"	"18"	"18"	"24"	"580"	""	"580"	""
"105"	"78"	"11"	"59"	"2"	"16"	"148"	"14"	"229"	"14"	"12"	"38"	"10"	"7"	"21"	"581"	""	"581"	""
"106"	"79"	"3"	"17"	"2"	"4"	"48"	"6"	"509"	"7"	"0"	"13"	"7"	"4"	"7"	"627"	""	"627"	""
"107"	"80"	"14"	"16"	"2"	"2"	"62"	"4"	"381"	"11"	"8"	"16"	"8"	"6"	"8"	"538"	""	"538"	""
"108"	"81"	"8"	"107"	"0"	"7"	"157"	"3"	"186"	"8"	"4"	"13"	"6"	"5"	"7"	"511"	""	"511"	""
"109"	"82"	"23"	"145"	"7"	"3"	"111"	"7"	"99"	"13"	"3"	"12"	"5"	"3"	"9"	"440"	""	"440"	""
"110"	"83"	"21"	"168"	"1"	"4"	"100"	"4"	"73"	"4"	"2"	"11"	"3"	"6"	"3"	"400"	""	"400"	""
"111"	"84"	"5"	"148"	"1"	"9"	"163"	"17"	"109"	"4"	"9"	"11"	"16"	"13"	"26"	"531"	""	"531"	""
"112"	"Page Total"	"1058"	"6075"	"239"	"628"	"13219"	"723"	"10931"	"619"	"496"	"1026"	"782"	"1007"	"1237"	"38040"	"0"	"38040"	"0"
"113"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"115"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"116"	"B.F."	"1058"	"6075"	"239"	"628"	"13219"	"723"	"10931"	"619"	"496"	"1026"	"782"	"1007"	"1237"	"38040"	"0"	"38040"	"0"
"117"	"85"	"15"	"105"	"5"	"7"	"142"	"4"	"158"	"17"	"11"	"23"	"19"	"24"	"32"	"562"	""	"562"	""
"118"	"86"	"30"	"88"	"4"	"6"	"208"	"13"	"129"	"10"	"13"	"14"	"10"	"9"	"32"	"566"	""	"566"	""
"119"	"87"	"8"	"110"	"6"	"7"	"160"	"9"	"357"	"11"	"5"	"29"	"17"	"11"	"13"	"743"	""	"743"	""
"120"	"88"	"23"	"99"	"4"	"6"	"166"	"10"	"137"	"18"	"10"	"25"	"13"	"19"	"24"	"554"	""	"554"	""
"121"	"89"	"15"	"208"	"2"	"6"	"107"	"4"	"98"	"8"	"7"	"29"	"8"	"11"	"16"	"519"	""	"519"	""
"122"	"90"	"13"	"172"	"2"	"9"	"89"	"9"	"149"	"3"	"6"	"29"	"12"	"11"	"19"	"523"	""	"523"	""
"123"	"91"	"1"	"81"	"0"	"4"	"145"	"8"	"263"	"3"	"4"	"5"	"3"	"3"	"5"	"525"	""	"525"	""
"124"	"92"	"20"	"8"	"3"	"10"	"279"	"12"	"86"	"4"	"5"	"3"	"3"	"5"	"5"	"443"	""	"443"	""
"125"	"93"	"6"	"30"	"1"	"6"	"232"	"8"	"177"	"17"	"8"	"20"	"13"	"15"	"21"	"554"	""	"554"	""
"126"	"94"	"4"	"25"	"0"	"6"	"35"	"4"	"122"	"3"	"1"	"2"	"8"	"3"	"7"	"220"	""	"220"	""
"127"	"95"	"2"	"17"	"0"	"3"	"340"	"6"	"60"	"3"	"3"	"1"	"2"	"0"	"3"	"440"	""	"440"	""
"128"	"96"	"18"	"24"	"8"	"20"	"337"	"12"	"125"	"13"	"11"	"6"	"18"	"16"	"24"	"632"	""	"632"	""
"129"	"97"	"12"	"35"	"4"	"10"	"305"	"7"	"139"	"14"	"15"	"15"	"12"	"8"	"13"	"589"	""	"589"	""
"130"	"98"	"25"	"175"	"7"	"21"	"97"	"13"	"208"	"11"	"4"	"24"	"14"	"5"	"18"	"622"	""	"622"	""
"131"	"Page Total"	"1250"	"7252"	"285"	"749"	"15861"	"842"	"13139"	"754"	"599"	"1251"	"934"	"1147"	"1469"	"45532"	"0"	"45532"	"0"
"132"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"134"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"135"	"B.F."	"1250"	"7252"	"285"	"749"	"15861"	"842"	"13139"	"754"	"599"	"1251"	"934"	"1147"	"1469"	"45532"	"0"	"45532"	"0"
"136"	"99"	"9"	"170"	"6"	"12"	"331"	"6"	"38"	"2"	"2"	"12"	"0"	"8"	"5"	"601"	""	"601"	""
"137"	"100"	"24"	"19"	"2"	"6"	"380"	"18"	"86"	"9"	"9"	"4"	"7"	"8"	"15"	"587"	""	"587"	""
"138"	"101"	"4"	"19"	"2"	"8"	"188"	"11"	"47"	"3"	"6"	"10"	"4"	"6"	"27"	"335"	""	"335"	""
"139"	"102"	"11"	"141"	"0"	"3"	"86"	"1"	"27"	"3"	"3"	"30"	"5"	"9"	"9"	"328"	""	"328"	""
"140"	"103"	"13"	"160"	"5"	"6"	"191"	"9"	"177"	"14"	"8"	"17"	"9"	"8"	"14"	"631"	""	"631"	""
"141"	"104"	"4"	"25"	"1"	"6"	"233"	"5"	"144"	"19"	"4"	"4"	"6"	"7"	"2"	"460"	""	"460"	""
"142"	"105"	"17"	"38"	"3"	"11"	"375"	"19"	"180"	"18"	"7"	"12"	"16"	"14"	"16"	"726"	""	"726"	""
"143"	"106"	"40"	"77"	"2"	"6"	"263"	"21"	"154"	"8"	"8"	"16"	"16"	"15"	"16"	"642"	""	"642"	""
"144"	"107"	"11"	"113"	"1"	"8"	"220"	"10"	"79"	"12"	"18"	"27"	"16"	"16"	"16"	"547"	""	"547"	""
"145"	"108"	"26"	"65"	"2"	"5"	"113"	"13"	"282"	"13"	"7"	"27"	"14"	"12"	"15"	"594"	""	"594"	""
"146"	"109"	"20"	"60"	"2"	"21"	"269"	"11"	"197"	"15"	"17"	"9"	"11"	"11"	"11"	"654"	""	"654"	""
"147"	"110"	"13"	"36"	"2"	"10"	"155"	"7"	"279"	"21"	"7"	"15"	"13"	"8"	"14"	"580"	""	"580"	""
"148"	"111"	"11"	"42"	"7"	"7"	"79"	"6"	"93"	"10"	"8"	"7"	"12"	"9"	"16"	"307"	""	"307"	""
"149"	"112"	"11"	"179"	"4"	"7"	"81"	"5"	"66"	"5"	"5"	"19"	"8"	"7"	"19"	"416"	""	"416"	""
"150"	"Page Total"	"1464"	"8396"	"324"	"865"	"18825"	"984"	"14988"	"906"	"708"	"1460"	"1071"	"1285"	"1664"	"52940"	"0"	"52940"	"0"
"151"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"153"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"154"	"B.F."	"1464"	"8396"	"324"	"865"	"18825"	"984"	"14988"	"906"	"708"	"1460"	"1071"	"1285"	"1664"	"52940"	"0"	"52940"	"0"
"155"	"113"	"22"	"123"	"4"	"14"	"121"	"12"	"311"	"34"	"8"	"24"	"32"	"20"	"23"	"748"	""	"748"	""
"156"	"114"	"14"	"98"	"1"	"8"	"225"	"5"	"38"	"9"	"2"	"6"	"8"	"4"	"5"	"423"	""	"423"	""
"157"	"115"	"13"	"66"	"6"	"4"	"189"	"7"	"169"	"12"	"12"	"14"	"7"	"9"	"9"	"517"	""	"517"	""
"158"	"116"	"2"	"38"	"1"	"3"	"187"	"3"	"148"	"8"	"1"	"0"	"0"	"0"	"7"	"398"	""	"398"	""
"159"	"117"	"4"	"42"	"7"	"4"	"87"	"9"	"130"	"52"	"3"	"22"	"13"	"11"	"21"	"405"	""	"405"	""
"160"	"118"	"6"	"33"	"0"	"9"	"277"	"16"	"31"	"6"	"5"	"18"	"6"	"11"	"17"	"435"	""	"435"	""
"161"	"119"	"12"	"9"	"1"	"4"	"232"	"16"	"46"	"17"	"3"	"7"	"10"	"12"	"27"	"396"	""	"396"	""
"162"	"120"	"22"	"11"	"3"	"7"	"187"	"20"	"192"	"16"	"14"	"16"	"35"	"15"	"29"	"567"	""	"567"	""
"163"	"121"	"4"	"2"	"6"	"9"	"170"	"5"	"57"	"4"	"3"	"3"	"8"	"5"	"3"	"279"	""	"279"	""
"164"	"122"	"2"	"9"	"0"	"7"	"452"	"8"	"80"	"2"	"2"	"3"	"4"	"1"	"5"	"575"	""	"575"	""
"165"	"123"	"4"	"61"	"2"	"2"	"92"	"5"	"193"	"9"	"7"	"14"	"16"	"11"	"12"	"428"	""	"428"	""
"166"	"124"	"11"	"83"	"1"	"8"	"334"	"5"	"32"	"3"	"7"	"2"	"4"	"6"	"1"	"497"	""	"497"	""
"167"	"125"	"3"	"46"	"2"	"3"	"159"	"9"	"42"	"4"	"0"	"9"	"11"	"3"	"14"	"305"	""	"305"	""
"168"	"126"	"11"	"125"	"6"	"14"	"221"	"14"	"157"	"13"	"10"	"21"	"18"	"14"	"19"	"643"	""	"643"	""
