"FORM....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"44"	"40"	"80"	"41"	"334"	"33"	"38"	"27"	"553"	"0"	"0"	"553"	"0"
"45"	"41"	"219"	"15"	"144"	"25"	"17"	"14"	"434"	"0"	"0"	"434"	"0"
"46"	"42"	"203"	"12"	"13"	"0"	"20"	"27"	"275"	"0"	"0"	"275"	"0"
"47"	"ROUND 3"	"1969"	"310"	"1766"	"246"	"521"	"566"	"5378"	"0"	"0"	"5378"	"0"
"48"	"43"	"235"	"21"	"35"	"12"	"134"	"35"	"472"	"0"	"0"	"472"	"0"
"49"	"44"	"19"	"5"	"193"	"20"	"50"	"14"	"301"	"0"	"0"	"301"	"0"
"50"	"45"	"195"	"10"	"14"	"4"	"17"	"48"	"288"	"0"	"0"	"288"	"0"
"51"	"46"	"95"	"13"	"183"	"27"	"39"	"51"	"408"	"0"	"0"	"408"	"0"
"52"	"47"	"39"	"5"	"69"	"10"	"40"	"35"	"198"	"0"	"0"	"198"	"0"
"53"	"48"	"131"	"19"	"165"	"19"	"124"	"25"	"483"	"0"	"0"	"483"	"0"
"54"	"49"	"193"	"4"	"66"	"2"	"28"	"9"	"302"	"0"	"0"	"302"	"0"
"55"	"50"	"170"	"22"	"52"	"3"	"2"	"6"	"255"	"0"	"0"	"255"	"0"
"56"	"51"	"178"	"15"	"69"	"5"	"28"	"45"	"340"	"0"	"0"	"340"	"0"
"57"	"52"	"180"	"14"	"68"	"6"	"11"	"29"	"308"	"0"	"0"	"308"	"0"
"58"	"53"	"197"	"10"	"30"	"8"	"46"	"25"	"316"	"0"	"0"	"316"	"0"
"59"	"54"	"146"	"14"	"115"	"11"	"27"	"18"	"331"	"0"	"0"	"331"	"0"
"60"	"55"	"229"	"40"	"76"	"13"	"48"	"18"	"424"	"0"	"0"	"424"	"0"
"61"	"56"	"30"	"29"	"171"	"10"	"40"	"99"	"379"	"0"	"0"	"379"	"0"
"62"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"63"	"ROUND 4"	"2037"	"221"	"1306"	"150"	"634"	"457"	"4805"	"0"	"0"	"4805"	"0"
"64"	"57"	"74"	"13"	"118"	"14"	"49"	"100"	"368"	"0"	"0"	"368"	"0"
"65"	"58"	"267"	"25"	"95"	"7"	"81"	"15"	"490"	"0"	"0"	"490"	"0"
"66"	"59"	"27"	"11"	"121"	"21"	"115"	"36"	"331"	"0"	"0"	"331"	"0"
"67"	"60"	"21"	"20"	"169"	"20"	"95"	"85"	"410"	"0"	"0"	"410"	"0"
"68"	"61"	"130"	"15"	"64"	"7"	"33"	"81"	"330"	"0"	"0"	"330"	"0"
"69"	"62"	"117"	"6"	"65"	"10"	"61"	"15"	"274"	"0"	"0"	"274"	"0"
"70"	"63"	"171"	"20"	"37"	"5"	"50"	"54"	"337"	"0"	"0"	"337"	"0"
"71"	"64"	"100"	"18"	"189"	"18"	"232"	"23"	"580"	"0"	"0"	"580"	"0"
"72"	"65"	"68"	"8"	"120"	"11"	"115"	"18"	"340"	"0"	"0"	"340"	"0"
"73"	"66"	"171"	"13"	"159"	"32"	"83"	"22"	"480"	"0"	"0"	"480"	"0"
"74"	"67"	"231"	"10"	"147"	"19"	"55"	"44"	"506"	"0"	"0"	"506"	"0"
"75"	"68"	"79"	"5"	"117"	"13"	"11"	"20"	"245"	"0"	"0"	"245"	"0"
"76"	"69"	"56"	"9"	"59"	"9"	"11"	"10"	"154"	"0"	"0"	"154"	"0"
"77"	"70"	"72"	"25"	"107"	"17"	"94"	"25"	"340"	"0"	"0"	"340"	"0"
"78"	"ROUND 5"	"1584"	"198"	"1567"	"203"	"1085"	"548"	"5185"	"0"	"0"	"5185"	"0"
"79"	"71"	"184"	"13"	"91"	"10"	"45"	"23"	"366"	"0"	"0"	"366"	"0"
"80"	"72"	"95"	"9"	"228"	"19"	"46"	"20"	"417"	"0"	"0"	"417"	"0"
"81"	"73"	"89"	"8"	"174"	"11"	"85"	"10"	"377"	"0"	"0"	"377"	"0"
"82"	"74"	"114"	"7"	"112"	"12"	"136"	"22"	"403"	"0"	"0"	"403"	"0"
"83"	"75"	"15"	"2"	"223"	"13"	"36"	"23"	"312"	"0"	"0"	"312"	"0"
"84"	"76"	"35"	"3"	"324"	"29"	"20"	"22"	"433"	"0"	"0"	"433"	"0"
"85"	"77"	"114"	"1"	"303"	"21"	"29"	"29"	"497"	"0"	"0"	"497"	"0"
"86"	"78"	"219"	"10"	"161"	"10"	"28"	"54"	"482"	"0"	"0"	"482"	"0"
"87"	"79"	"93"	"9"	"259"	"7"	"17"	"18"	"403"	"0"	"0"	"403"	"0"
"88"	"80"	"132"	"24"	"206"	"23"	"100"	"110"	"595"	"0"	"0"	"595"	"0"
"89"	"81"	"73"	"18"	"310"	"31"	"21"	"58"	"511"	"0"	"0"	"511"	"0"
"90"	"82"	"67"	"16"	"246"	"26"	"298"	"32"	"685"	"0"	"0"	"685"	"0"
"91"	"83"	"67"	"7"	"313"	"34"	"26"	"50"	"497"	"0"	"0"	"497"	"0"
"92"	"84"	"88"	"8"	"20"	"8"	"239"	"20"	"383"	"0"	"0"	"383"	"0"
"93"	"ROUND 6"	"1385"	"135"	"2970"	"254"	"1126"	"491"	"6361"	"0"	"0"	"6361"	"0"
"94"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"95"	"85"	"85"	"16"	"91"	"13"	"133"	"24"	"362"	"0"	"0"	"362"	"0"
"96"	"86"	"176"	"9"	"197"	"14"	"119"	"22"	"537"	"0"	"0"	"537"	"0"
"97"	"87"	"277"	"26"	"73"	"19"	"176"	"41"	"612"	"0"	"0"	"612"	"0"
"98"	"88"	"395"	"3"	"27"	"0"	"6"	"9"	"440"	"0"	"0"	"440"	"0"
"99"	"89"	"271"	"8"	"17"	"4"	"4"	"11"	"315"	"0"	"0"	"315"	"0"
"100"	"90"	"137"	"6"	"77"	"4"	"38"	"9"	"271"	"0"	"0"	"271"	"0"
"101"	"91"	"303"	"10"	"16"	"7"	"8"	"8"	"352"	"0"	"0"	"352"	"0"
"102"	"92"	"161"	"24"	"82"	"12"	"78"	"18"	"375"	"0"	"0"	"375"	"0"
"103"	"93"	"671"	"10"	"47"	"5"	"9"	"11"	"753"	"0"	"0"	"753"	"0"
"104"	"94"	"830"	"18"	"6"	"3"	"2"	"1"	"860"	"0"	"0"	"860"	"0"
"105"	"95"	"702"	"17"	"19"	"2"	"15"	"5"	"760"	"0"	"0"	"760"	"0"
"106"	"96"	"519"	"8"	"68"	"3"	"8"	"9"	"615"	"0"	"0"	"615"	"0"
"107"	"97"	"262"	"13"	"14"	"4"	"6"	"11"	"310"	"0"	"0"	"310"	"0"
"108"	"98"	"306"	"7"	"26"	"2"	"0"	"3"	"344"	"0"	"0"	"344"	"0"
"109"	"ROUND 7"	"5095"	"175"	"760"	"92"	"602"	"182"	"6906"	"0"	"0"	"6906"	"0"
"110"	"99"	"300"	"19"	"75"	"9"	"21"	"3"	"427"	"0"	"0"	"427"	"0"
"111"	"100"	"265"	"11"	"57"	"7"	"15"	"10"	"365"	"0"	"0"	"365"	"0"
"112"	"101"	"177"	"5"	"67"	"4"	"7"	"12"	"272"	"0"	"0"	"272"	"0"
"113"	"102"	"253"	"21"	"124"	"8"	"12"	"3"	"421"	"0"	"0"	"421"	"0"
"114"	"103"	"254"	"12"	"69"	"2"	"17"	"7"	"361"	"0"	"0"	"361"	"0"
"115"	"104"	"304"	"16"	"137"	"10"	"42"	"17"	"526"	"0"	"0"	"526"	"0"
"116"	"105"	"171"	"17"	"40"	"6"	"73"	"9"	"316"	"0"	"0"	"316"	"0"
"117"	"106"	"93"	"11"	"84"	"4"	"86"	"7"	"285"	"0"	"0"	"285"	"0"
"118"	"107"	"207"	"18"	"41"	"8"	"49"	"9"	"332"	"0"	"0"	"332"	"0"
"119"	"108"	"51"	"6"	"182"	"11"	"90"	"18"	"358"	"0"	"0"	"358"	"0"
"120"	"109"	"274"	"18"	"54"	"2"	"11"	"7"	"366"	"0"	"0"	"366"	"0"
"121"	"110"	"158"	"12"	"99"	"6"	"28"	"18"	"321"	"0"	"0"	"321"	"0"
"122"	"111"	"289"	"24"	"230"	"25"	"19"	"28"	"615"	"0"	"0"	"615"	"0"
"123"	"112"	"126"	"10"	"77"	"11"	"26"	"51"	"301"	"0"	"0"	"301"	"0"
"124"	"ROUND 8"	"2922"	"200"	"1336"	"113"	"496"	"199"	"5266"	"0"	"0"	"5266"	"0"
"125"	"113"	"213"	"8"	"37"	"6"	"13"	"21"	"298"	"0"	"0"	"298"	"0"
"126"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"127"	"114"	"132"	"11"	"48"	"8"	"4"	"9"	"212"	"0"	"0"	"212"	"0"
"128"	"115"	"227"	"19"	"177"	"15"	"66"	"28"	"532"	"0"	"0"	"532"	"0"
"129"	"116"	"327"	"14"	"136"	"17"	"15"	"21"	"530"	"0"	"0"	"530"	"0"
"130"	"117"	"261"	"11"	"104"	"12"	"15"	"54"	"457"	"0"	"0"	"457"	"0"
"131"	"118"	"91"	"13"	"226"	"19"	"20"	"10"	"379"	"0"	"0"	"379"	"0"
"132"	"119"	"62"	"6"	"346"	"8"	"22"	"16"	"460"	"0"	"0"	"460"	"0"
"133"	"120"	"177"	"1"	"75"	"3"	"109"	"29"	"394"	"0"	"0"	"394"	"0"
"134"	"121"	"296"	"17"	"165"	"19"	"7"	"34"	"538"	"0"	"0"	"538"	"0"
"135"	"122"	"299"	"13"	"182"	"17"	"24"	"38"	"573"	"0"	"0"	"573"	"0"
"136"	"123"	"245"	"39"	"71"	"16"	"192"	"64"	"627"	"0"	"0"	"627"	"0"
"137"	"124"	"250"	"13"	"132"	"9"	"40"	"42"	"486"	"0"	"0"	"486"	"0"
"138"	"125"	"214"	"26"	"170"	"12"	"21"	"15"	"458"	"0"	"0"	"458"	"0"
"139"	"126"	"137"	"7"	"145"	"21"	"19"	"9"	"338"	"0"	"0"	"338"	"0"
"140"	"ROUND 9"	"2931"	"198"	"2014"	"182"	"567"	"390"	"6282"	"0"	"0"	"6282"	"0"
"141"	"127"	"149"	"25"	"162"	"29"	"43"	"21"	"429"	"0"	"0"	"429"	"0"
"142"	"128"	"43"	"13"	"165"	"19"	"137"	"17"	"394"	"0"	"0"	"394"	"0"
"143"	"129"	"163"	"11"	"84"	"17"	"86"	"18"	"379"	"0"	"0"	"379"	"0"
"144"	"130"	"200"	"11"	"36"	"6"	"15"	"24"	"292"	"0"	"0"	"292"	"0"
"145"	"131"	"235"	"20"	"71"	"4"	"38"	"33"	"401"	"0"	"0"	"401"	"0"
"146"	"132"	"255"	"12"	"264"	"7"	"25"	"24"	"587"	"0"	"0"	"587"	"0"
"147"	"133"	"167"	"15"	"104"	"12"	"40"	"23"	"361"	"0"	"0"	"361"	"0"
"148"	"134"	"51"	"14"	"353"	"12"	"8"	"4"	"442"	"0"	"0"	"442"	"0"
"149"	"135"	"168"	"12"	"110"	"10"	"9"	"11"	"320"	"0"	"0"	"320"	"0"
"150"	"136"	"190"	"17"	"154"	"9"	"10"	"7"	"387"	"0"	"0"	"387"	"0"
"151"	"137"	"74"	"17"	"177"	"6"	"41"	"10"	"325"	"0"	"0"	"325"	"0"
"152"	"138"	"68"	"35"	"237"	"21"	"105"	"51"	"517"	"0"	"0"	"517"	"0"
"153"	"139"	"34"	"4"	"272"	"26"	"35"	"9"	"380"	"0"	"0"	"380"	"0"
"154"	"140"	"63"	"12"	"167"	"31"	"151"	"33"	"457"	"0"	"0"	"457"	"0"
"155"	"ROUND 10"	"1860"	"218"	"2356"	"209"	"743"	"285"	"5671"	"0"	"0"	"5671"	"0"
"156"	"141"	"40"	"6"	"126"	"11"	"94"	"29"	"306"	"0"	"0"	"306"	"0"
"157"	"142"	"168"	"12"	"42"	"8"	"6"	"10"	"246"	"0"	"0"	"246"	"0"
"158"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"159"	"143"	"152"	"17"	"161"	"21"	"72"	"6"	"429"	"0"	"0"	"429"	"0"
"160"	"144"	"282"	"37"	"279"	"14"	"55"	"6"	"673"	"0"	"0"	"673"	"0"
"161"	"145"	"88"	"10"	"191"	"14"	"11"	"21"	"335"	"0"	"0"	"335"	"0"
"162"	"146"	"32"	"0"	"75"	"11"	"7"	"3"	"128"	"0"	"0"	"128"	"0"
"163"	"147"	"5"	"0"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"7"	"0"
"164"	"148"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"165"	"149"	"200"	"10"	"103"	"5"	"23"	"13"	"354"	"0"	"0"	"354"	"0"
"166"	"150"	"177"	"3"	"106"	"6"	"9"	"9"	"310"	"0"	"0"	"310"	"0"
"167"	"151"	"291"	"14"	"113"	"10"	"10"	"12"	"450"	"0"	"0"	"450"	"0"
"168"	"152"	"244"	"8"	"97"	"2"	"32"	"18"	"401"	"0"	"0"	"401"	"0"
"169"	"153"	"87"	"8"	"203"	"13"	"28"	"12"	"351"	"0"	"0"	"351"	"0"
"170"	"154"	"199"	"21"	"140"	"8"	"121"	"30"	"519"	"0"	"0"	"519"	"0"
"171"	"ROUND 11"	"1965"	"146"	"1638"	"123"	"468"	"169"	"4509"	"0"	"0"	"4509"	"0"
"172"	"155"	"35"	"8"	"253"	"15"	"11"	"19"	"341"	"0"	"0"	"341"	"0"
"173"	"156"	"171"	"26"	"261"	"20"	"18"	"33"	"529"	"0"	"0"	"529"	"0"
"174"	"157"	"209"	"21"	"136"	"17"	"45"	"33"	"461"	"0"	"0"	"461"	"0"
"175"	"158"	"186"	"7"	"29"	"2"	"14"	"27"	"265"	"0"	"0"	"265"	"0"
"176"	"159"	"191"	"22"	"107"	"10"	"39"	"12"	"381"	"0"	"0"	"381"	"0"
"177"	"160"	"281"	"12"	"89"	"11"	"23"	"30"	"446"	"0"	"0"	"446"	"0"
"178"	"161"	"182"	"14"	"100"	"17"	"83"	"20"	"416"	"0"	"0"	"416"	"0"
"179"	"162"	"246"	"8"	"100"	"16"	"11"	"12"	"393"	"0"	"0"	"393"	"0"
"180"	"163"	"68"	"17"	"172"	"12"	"50"	"12"	"331"	"0"	"0"	"331"	"0"
"181"	"164"	"60"	"13"	"240"	"23"	"71"	"36"	"443"	"0"	"0"	"443"	"0"
"182"	"165"	"26"	"3"	"448"	"27"	"36"	"20"	"560"	"0"	"0"	"560"	"0"
"183"	"166"	"231"	"21"	"135"	"15"	"69"	"30"	"501"	"0"	"0"	"501"	"0"
"184"	"167"	"91"	"9"	"389"	"38"	"19"	"17"	"563"	"0"	"0"	"563"	"0"
"185"	"168"	"42"	"14"	"326"	"46"	"37"	"24"	"489"	"0"	"0"	"489"	"0"
"186"	"ROUND 12"	"2019"	"195"	"2785"	"269"	"526"	"325"	"6119"	"0"	"0"	"6119"	"0"
