"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"16"	"9"	""	"0"	""	""	"2"	""	"414"	""	""	"3"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"419"	""	""	"0"	""	""	"419"	""	""	""	""	""	""	""	""	""
"17"	"10"	""	"0"	""	""	"0"	""	"439"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"441"	""	""	"0"	""	""	"441"	""	""	""	""	""	""	""	""	""
"18"	"11"	""	"0"	""	""	"1"	""	"781"	""	""	"1"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"785"	""	""	"0"	""	""	"785"	""	""	""	""	""	""	""	""	""
"19"	"12"	""	"8"	""	""	"2"	""	"814"	""	""	"6"	""	""	"5"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"835"	""	""	"0"	""	""	"835"	""	""	""	""	""	""	""	""	""
"20"	"13"	""	"0"	""	""	"9"	""	"573"	""	""	"7"	""	""	"36"	""	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	""	"628"	""	""	"0"	""	""	"628"	""	""	""	""	""	""	""	""	""
"21"	"14"	""	"0"	""	""	"0"	""	"587"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"588"	""	""	"0"	""	""	"588"	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	"32"	""	""	"27"	""	"7768"	""	""	"39"	""	""	"1238"	""	""	"20"	""	"8"	""	"13"	""	"0"	""	"9"	""	"9154"	""	""	"0"	""	""	"9154"	""	""	""	""	""	""	""	""	""
"23"	"Place           Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date            27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"27"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""
"29"	"15"	"0"	""	""	"0"	""	""	"548"	""	""	"2"	""	""	"2"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"552"	""	""	"0"	""	""	"552"	""	""	""	""	""	""	""	""
"30"	"16"	"0"	""	""	"4"	""	""	"623"	""	""	"1"	""	""	"3"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"631"	""	""	"0"	""	""	"631"	""	""	""	""	""	""	""	""
"31"	"17"	"0"	""	""	"1"	""	""	"688"	""	""	"2"	""	""	"0"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"691"	""	""	"0"	""	""	"691"	""	""	""	""	""	""	""	""
"32"	"18"	"0"	""	""	"0"	""	""	"192"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"192"	""	""	"0"	""	""	"192"	""	""	""	""	""	""	""	""
"33"	"19"	"0"	""	""	"0"	""	""	"839"	""	""	"2"	""	""	"1"	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"844"	""	""	"0"	""	""	"844"	""	""	""	""	""	""	""	""
"34"	"20"	"25"	""	""	"4"	""	""	"153"	""	""	"11"	""	""	"22"	""	"3"	""	""	"2"	""	"4"	""	"0"	""	"2"	""	""	"226"	""	""	"0"	""	""	"226"	""	""	""	""	""	""	""	""
"35"	"21"	"30"	""	""	"1"	""	""	"148"	""	""	"5"	""	""	"12"	""	"7"	""	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"206"	""	""	"0"	""	""	"206"	""	""	""	""	""	""	""	""
"36"	"22"	"4"	""	""	"1"	""	""	"173"	""	""	"15"	""	""	"18"	""	"14"	""	""	"4"	""	"6"	""	"2"	""	"1"	""	""	"238"	""	""	"0"	""	""	"238"	""	""	""	""	""	""	""	""
"37"	"23"	"23"	""	""	"13"	""	""	"178"	""	""	"13"	""	""	"25"	""	"4"	""	""	"4"	""	"2"	""	"7"	""	"13"	""	""	"282"	""	""	"0"	""	""	"282"	""	""	""	""	""	""	""	""
"38"	"24"	"9"	""	""	"2"	""	""	"67"	""	""	"8"	""	""	"14"	""	"1"	""	""	"6"	""	"2"	""	"9"	""	"6"	""	""	"124"	""	""	"0"	""	""	"124"	""	""	""	""	""	""	""	""
"39"	"25"	"4"	""	""	"2"	""	""	"196"	""	""	"3"	""	""	"21"	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"0"	""	""	"229"	""	""	"0"	""	""	"229"	""	""	""	""	""	""	""	""
"40"	"26"	"11"	""	""	"9"	""	""	"599"	""	""	"14"	""	""	"15"	""	"2"	""	""	"2"	""	"1"	""	"0"	""	"1"	""	""	"654"	""	""	"0"	""	""	"654"	""	""	""	""	""	""	""	""
"41"	"27"	"35"	""	""	"7"	""	""	"381"	""	""	"17"	""	""	"14"	""	"8"	""	""	"4"	""	"8"	""	"4"	""	"16"	""	""	"494"	""	""	"0"	""	""	"494"	""	""	""	""	""	""	""	""
"42"	"28"	"25"	""	""	"1"	""	""	"310"	""	""	"21"	""	""	"4"	""	"2"	""	""	"0"	""	"1"	""	"3"	""	"3"	""	""	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""
"43"	"Total"	"166"	""	""	"45"	""	""	"5095"	""	""	"114"	""	""	"151"	""	"43"	""	""	"25"	""	"26"	""	"25"	""	"43"	""	""	"5733"	""	""	"0"	""	""	"5733"	""	""	""	""	""	""	""	""
"44"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"45"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"47"	"29"	"11"	""	""	"17"	""	""	"428"	""	"20"	""	""	"30"	""	""	"1"	""	""	"3"	""	"11"	""	"4"	""	"5"	""	""	"530"	""	""	"0"	""	""	"530"	""	""	""	""	""	""	""	""
"48"	"30"	"8"	""	""	"6"	""	""	"84"	""	"13"	""	""	"73"	""	""	"4"	""	""	"3"	""	"6"	""	"3"	""	"8"	""	""	"208"	""	""	"0"	""	""	"208"	""	""	""	""	""	""	""	""
"49"	"31"	"6"	""	""	"5"	""	""	"474"	""	"16"	""	""	"46"	""	""	"1"	""	""	"3"	""	"2"	""	"4"	""	"3"	""	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""	""	""	""
"50"	"32"	"7"	""	""	"4"	""	""	"473"	""	"21"	""	""	"111"	""	""	"3"	""	""	"0"	""	"8"	""	"7"	""	"7"	""	""	"641"	""	""	"0"	""	""	"641"	""	""	""	""	""	""	""	""
"51"	"33"	"14"	""	""	"10"	""	""	"206"	""	"28"	""	""	"202"	""	""	"8"	""	""	"3"	""	"7"	""	"0"	""	"6"	""	""	"484"	""	""	"0"	""	""	"484"	""	""	""	""	""	""	""	""
"52"	"34"	"12"	""	""	"5"	""	""	"521"	""	"39"	""	""	"29"	""	""	"0"	""	""	"1"	""	"1"	""	"1"	""	"11"	""	""	"620"	""	""	"0"	""	""	"620"	""	""	""	""	""	""	""	""
"53"	"35"	"18"	""	""	"24"	""	""	"637"	""	"22"	""	""	"33"	""	""	"2"	""	""	"5"	""	"3"	""	"3"	""	"4"	""	""	"751"	""	""	"0"	""	""	"751"	""	""	""	""	""	""	""	""
"54"	"36"	"0"	""	""	"0"	""	""	"644"	""	"0"	""	""	"0"	""	""	"4"	""	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"650"	""	""	"0"	""	""	"650"	""	""	""	""	""	""	""	""
"55"	"37"	"0"	""	""	"0"	""	""	"424"	""	"5"	""	""	"33"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"466"	""	""	"0"	""	""	"466"	""	""	""	""	""	""	""	""
"56"	"38"	"0"	""	""	"0"	""	""	"603"	""	"1"	""	""	"0"	""	""	"2"	""	""	"0"	""	"3"	""	"0"	""	"0"	""	""	"609"	""	""	"0"	""	""	"609"	""	""	""	""	""	""	""	""
"57"	"39"	"2"	""	""	"8"	""	""	"581"	""	"2"	""	""	"12"	""	""	"2"	""	""	"0"	""	"1"	""	"2"	""	"1"	""	""	"611"	""	""	"0"	""	""	"611"	""	""	""	""	""	""	""	""
"58"	"40"	"0"	""	""	"2"	""	""	"469"	""	"3"	""	""	"0"	""	""	"15"	""	""	"1"	""	"2"	""	"0"	""	"9"	""	""	"501"	""	""	"0"	""	""	"501"	""	""	""	""	""	""	""	""
"59"	"41"	"0"	""	""	"0"	""	""	"459"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""	""
"60"	"42"	"0"	""	""	"0"	""	""	"513"	""	"4"	""	""	"4"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"521"	""	""	"0"	""	""	"521"	""	""	""	""	""	""	""	""
"61"	"Total"	"78"	""	""	"81"	""	""	"6516"	""	"175"	""	""	"573"	""	""	"43"	""	""	"19"	""	"45"	""	"25"	""	"58"	""	""	"7613"	""	""	"0"	""	""	"7613"	""	""	""	""	""	""	""	""
"62"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"63"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"0"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"65"	"43"	"1"	""	""	"0"	""	""	"755"	""	"3"	""	""	"15"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"775"	""	""	"0"	""	""	"775"	""	""	""	""	""	""	""	""
"66"	"44"	"2"	""	""	"2"	""	""	"365"	""	"5"	""	""	"237"	""	""	"2"	""	""	"2"	""	"0"	""	"0"	""	"0"	""	""	"615"	""	""	"0"	""	""	"615"	""	""	""	""	""	""	""	""
"67"	"45"	"0"	""	""	"0"	""	""	"599"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"600"	""	""	"0"	""	""	"600"	""	""	""	""	""	""	""	""
"68"	"46"	"0"	""	""	"6"	""	""	"1059"	""	"3"	""	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"1071"	""	""	"0"	""	""	"1071"	""	""	""	""	""	""	""	""
"69"	"47"	"0"	""	""	"0"	""	""	"691"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"691"	""	""	"0"	""	""	"691"	""	""	""	""	""	""	""	""
"70"	"48"	"0"	""	""	"1"	""	""	"593"	""	"1"	""	""	"16"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"611"	""	""	"0"	""	""	"611"	""	""	""	""	""	""	""	""
"71"	"49"	"0"	""	""	"1"	""	""	"370"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"372"	""	""	"0"	""	""	"372"	""	""	""	""	""	""	""	""
"72"	"50"	"1"	""	""	"1"	""	""	"395"	""	"0"	""	""	"2"	""	""	"4"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"403"	""	""	"0"	""	""	"403"	""	""	""	""	""	""	""	""
"73"	"51"	"0"	""	""	"2"	""	""	"592"	""	"1"	""	""	"0"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"598"	""	""	"0"	""	""	"598"	""	""	""	""	""	""	""	""
"74"	"52"	"6"	""	""	"8"	""	""	"203"	""	"18"	""	""	"10"	""	""	"5"	""	""	"2"	""	"1"	""	"5"	""	"3"	""	""	"261"	""	""	"0"	""	""	"261"	""	""	""	""	""	""	""	""
"75"	"53"	"6"	""	""	"3"	""	""	"107"	""	"10"	""	""	"38"	""	""	"2"	""	""	"3"	""	"5"	""	"1"	""	"7"	""	""	"182"	""	""	"0"	""	""	"182"	""	""	""	""	""	""	""	""
"76"	"54"	"0"	""	""	"0"	""	""	"382"	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	""	""
"77"	"55"	"0"	""	""	"0"	""	""	"346"	""	"0"	""	""	"0"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"348"	""	""	"0"	""	""	"348"	""	""	""	""	""	""	""	""
"78"	"56"	"4"	""	""	"9"	""	""	"243"	""	"46"	""	""	"44"	""	""	"1"	""	""	"2"	""	"1"	""	"0"	""	"1"	""	""	"351"	""	""	"0"	""	""	"351"	""	""	""	""	""	""	""	""
"79"	"Total"	"20"	""	""	"33"	""	""	"6700"	""	"89"	""	""	"365"	""	""	"20"	""	""	"9"	""	"7"	""	"8"	""	"12"	""	""	"7263"	""	""	"0"	""	""	"7263"	""	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"81"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"83"	"57"	"4"	""	""	"1"	""	""	"839"	""	"4"	""	""	"2"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"853"	""	""	"0"	""	""	"853"	""	""	""	""	""	""	""	""
"84"	"58"	"0"	""	""	"1"	""	""	"615"	""	"5"	""	""	"0"	""	""	"2"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"624"	""	""	"0"	""	""	"624"	""	""	""	""	""	""	""	""
"85"	"59"	"1"	""	""	"3"	""	""	"116"	""	"176"	""	""	"8"	""	""	"1"	""	""	"0"	""	"2"	""	"1"	""	"2"	""	""	"310"	""	""	"0"	""	""	"310"	""	""	""	""	""	""	""	""
"86"	"60"	"0"	""	""	"0"	""	""	"205"	""	"2"	""	""	"125"	""	""	"0"	""	""	"0"	""	"6"	""	"0"	""	"0"	""	""	"338"	""	""	"0"	""	""	"338"	""	""	""	""	""	""	""	""
"87"	"61"	"13"	""	""	"3"	""	""	"220"	""	"5"	""	""	"100"	""	""	"3"	""	""	"1"	""	"2"	""	"0"	""	"4"	""	""	"351"	""	""	"0"	""	""	"351"	""	""	""	""	""	""	""	""
"88"	"62"	"0"	""	""	"0"	""	""	"162"	""	"3"	""	""	"291"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"458"	""	""	"0"	""	""	"458"	""	""	""	""	""	""	""	""
"89"	"63"	"0"	""	""	"1"	""	""	"28"	""	"4"	""	""	"278"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"311"	""	""	"0"	""	""	"311"	""	""	""	""	""	""	""	""
"90"	"64"	"1"	""	""	"1"	""	""	"53"	""	"2"	""	""	"516"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"575"	""	""	"0"	""	""	"575"	""	""	""	""	""	""	""	""
"91"	"65"	"0"	""	""	"4"	""	""	"260"	""	"0"	""	""	"100"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	""	""	""	""	""
"92"	"66"	"2"	""	""	"1"	""	""	"26"	""	"2"	""	""	"300"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"332"	""	""	"0"	""	""	"332"	""	""	""	""	""	""	""	""
"93"	"67"	"3"	""	""	"1"	""	""	"603"	""	"5"	""	""	"76"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"691"	""	""	"0"	""	""	"691"	""	""	""	""	""	""	""	""
"94"	"68"	"25"	""	""	"3"	""	""	"19"	""	"6"	""	""	"349"	""	""	"14"	""	""	"4"	""	"4"	""	"1"	""	"5"	""	""	"430"	""	""	"0"	""	""	"430"	""	""	""	""	""	""	""	""
"95"	"69"	"0"	""	""	"1"	""	""	"700"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"703"	""	""	"0"	""	""	"703"	""	""	""	""	""	""	""	""
"96"	"70"	"0"	""	""	"0"	""	""	"623"	""	"2"	""	""	"25"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"651"	""	""	"0"	""	""	"651"	""	""	""	""	""	""	""	""
"97"	"Total"	"49"	""	""	"20"	""	""	"4469"	""	"216"	""	""	"2171"	""	""	"30"	""	""	"6"	""	"17"	""	"2"	""	"13"	""	""	"6993"	""	""	"0"	""	""	"6993"	""	""	""	""	""	""	""	""
"98"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"99"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"101"	"71"	"1"	""	""	"4"	""	""	"608"	""	"10"	""	""	"96"	""	""	"2"	""	""	"0"	""	"19"	""	"0"	""	"0"	""	""	"740"	""	""	"0"	""	""	"740"	""	""	""	""	""	""	""	""
"102"	"72"	"7"	""	""	"22"	""	""	"106"	""	"15"	""	""	"142"	""	""	"5"	""	""	"0"	""	"12"	""	"3"	""	"9"	""	""	"321"	""	""	"0"	""	""	"321"	""	""	""	""	""	""	""	""
"103"	"73"	"2"	""	""	"0"	""	""	"448"	""	"2"	""	""	"43"	""	""	"0"	""	""	"0"	""	"3"	""	"0"	""	"0"	""	""	"498"	""	""	"0"	""	""	"498"	""	""	""	""	""	""	""	""
