"17"	""	"10"	"159"	"237"	"118"	"1"	"8"	"6"	"21"	"0"	"3"	"8"	"4"	"5"	"-570"	"0"	"-570"	"0"
"18"	""	"11"	"65"	"386"	"80"	"2"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"-539"	"0"	"-539"	"0"
"19"	""	"12"	"108"	"122"	"161"	"4"	"1"	"1"	"2"	"3"	"4"	"5"	"19"	"12"	"-442"	"0"	"-442"	"0"
"20"	""	"13"	"14"	"238"	"116"	"3"	"5"	"0"	"2"	"1"	"3"	"4"	"0"	"2"	"-388"	"0"	"-388"	"0"
"21"	"TOTAL"	""	"-1083"	"-2525"	"-1650"	"-61"	"-122"	"-58"	"-515"	"-26"	"-28"	"-76"	"-40"	"-74"	"-6258"	"0"	"-6258"	"0"
"22"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"26"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"27"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"29"	"R
o u n d
2"	"14"	"105"	"124"	"68"	"3"	"6"	"2"	"5"	"1"	"2"	"13"	"0"	"6"	"-335"	"0"	"-335"	"0"
"30"	""	"15"	"76"	"125"	"0"	"0"	"11"	"2"	"25"	"2"	"0"	"2"	"1"	"4"	"-248"	"0"	"-248"	"0"
"31"	""	"16"	"9"	"189"	"135"	"5"	"11"	"4"	"38"	"4"	"3"	"4"	"2"	"5"	"-409"	"0"	"-409"	"0"
"32"	""	"17"	"259"	"72"	"97"	"32"	"19"	"3"	"11"	"3"	"2"	"3"	"107"	"9"	"-617"	"0"	"-617"	"0"
"33"	""	"18"	"98"	"154"	"235"	"10"	"38"	"5"	"10"	"1"	"2"	"4"	"2"	"6"	"-565"	"0"	"-565"	"0"
"34"	""	"19"	"301"	"45"	"169"	"8"	"61"	"7"	"88"	"6"	"1"	"8"	"0"	"7"	"-701"	"0"	"-701"	"0"
"35"	""	"20"	"39"	"156"	"115"	"2"	"2"	"7"	"15"	"4"	"4"	"6"	"3"	"7"	"-360"	"0"	"-360"	"0"
"36"	""	"20A"	"79"	"368"	"103"	"2"	"2"	"2"	"17"	"4"	"1"	"6"	"3"	"6"	"-593"	"0"	"-593"	"0"
"37"	""	"21"	"107"	"372"	"17"	"4"	"5"	"4"	"26"	"6"	"1"	"3"	"8"	"3"	"-556"	"0"	"-556"	"0"
"38"	""	"22"	"250"	"113"	"32"	"10"	"28"	"3"	"60"	"10"	"5"	"68"	"7"	"29"	"-615"	"0"	"-615"	"0"
"39"	""	"23"	"341"	"45"	"40"	"1"	"4"	"0"	"25"	"2"	"0"	"1"	"0"	"3"	"-462"	"0"	"-462"	"0"
"40"	""	"24"	"64"	"9"	"108"	"6"	"9"	"4"	"24"	"4"	"3"	"7"	"0"	"4"	"-242"	"0"	"-242"	"0"
"41"	""	"25"	"73"	"88"	"29"	"3"	"6"	"3"	"6"	"0"	"0"	"12"	"2"	"3"	"-225"	"0"	"-225"	"0"
"42"	""	"26"	"16"	"256"	"9"	"2"	"8"	"9"	"118"	"4"	"3"	"3"	"1"	"15"	"-444"	"0"	"-444"	"0"
"43"	"TOTAL"	""	"-1817"	"-2116"	"-1157"	"-88"	"-210"	"-55"	"-468"	"-51"	"-27"	"-140"	"-136"	"-107"	"-6372"	"0"	"-6372"	"0"
"44"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"45"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"48"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"49"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"50"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"51"	"R
o u n d
3"	"27"	"103"	"25"	"294"	"11"	"94"	"8"	"147"	"14"	"3"	"5"	"2"	"2"	"-708"	"0"	"-708"	"0"
"52"	""	"28"	"9"	"17"	"119"	"8"	"4"	"9"	"201"	"8"	"1"	"14"	"0"	"3"	"-393"	"0"	"-393"	"0"
"53"	""	"29"	"158"	"81"	"53"	"8"	"20"	"6"	"137"	"3"	"9"	"6"	"5"	"10"	"-496"	"0"	"-496"	"0"
"54"	""	"30"	"38"	"26"	"60"	"0"	"16"	"0"	"55"	"5"	"1"	"3"	"0"	"1"	"-205"	"0"	"-205"	"0"
"55"	""	"31"	"80"	"4"	"203"	"6"	"95"	"0"	"3"	"0"	"1"	"1"	"1"	"2"	"-396"	"0"	"-396"	"0"
"56"	""	"32"	"22"	"159"	"23"	"2"	"3"	"2"	"39"	"18"	"0"	"4"	"2"	"10"	"-284"	"0"	"-284"	"0"
"57"	""	"33"	"100"	"82"	"9"	"2"	"46"	"2"	"5"	"1"	"1"	"6"	"0"	"9"	"-263"	"0"	"-263"	"0"
"58"	""	"34"	"20"	"60"	"41"	"3"	"33"	"1"	"71"	"1"	"2"	"2"	"2"	"10"	"-246"	"0"	"-246"	"0"
"59"	""	"35"	"60"	"90"	"224"	"2"	"24"	"5"	"130"	"8"	"7"	"8"	"2"	"7"	"-567"	"0"	"-567"	"0"
"60"	""	"36"	"218"	"39"	"78"	"6"	"99"	"3"	"14"	"2"	"9"	"51"	"6"	"10"	"-535"	"0"	"-535"	"0"
"61"	""	"37"	"72"	"155"	"156"	"3"	"50"	"2"	"11"	"34"	"2"	"6"	"1"	"3"	"-495"	"0"	"-495"	"0"
"62"	""	"38"	"52"	"29"	"34"	"5"	"49"	"10"	"496"	"46"	"3"	"1"	"2"	"6"	"-733"	"0"	"-733"	"0"
"63"	""	"39"	"52"	"75"	"467"	"8"	"40"	"2"	"4"	"2"	"5"	"9"	"5"	"6"	"-675"	"0"	"-675"	"0"
"64"	""	"40"	"139"	"181"	"26"	"3"	"153"	"0"	"16"	"5"	"1"	"1"	"2"	"6"	"-533"	"0"	"-533"	"0"
"65"	"TOTAL"	""	"-1123"	"-1023"	"-1787"	"-67"	"-726"	"-50"	"-1329"	"-147"	"-45"	"-117"	"-30"	"-85"	"-6529"	"0"	"-6529"	"0"
"66"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"67"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"70"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"71"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"72"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"73"	"R
o u n d
4"	"41"	"61"	"15"	"124"	"5"	"118"	"3"	"86"	"3"	"2"	"11"	"3"	"8"	"-439"	"0"	"-439"	"0"
"74"	""	"42"	"9"	"99"	"64"	"3"	"22"	"3"	"15"	"2"	"2"	"14"	"7"	"14"	"-254"	"0"	"-254"	"0"
"75"	""	"43"	"7"	"48"	"353"	"10"	"1"	"4"	"11"	"2"	"1"	"2"	"0"	"1"	"-440"	"0"	"-440"	"0"
"76"	""	"44"	"146"	"82"	"76"	"3"	"1"	"8"	"13"	"1"	"1"	"3"	"0"	"2"	"-336"	"0"	"-336"	"0"
"77"	""	"45"	"173"	"43"	"75"	"7"	"20"	"1"	"44"	"24"	"0"	"2"	"3"	"14"	"-406"	"0"	"-406"	"0"
"78"	""	"46"	"103"	"175"	"153"	"3"	"59"	"3"	"15"	"4"	"1"	"9"	"5"	"6"	"-536"	"0"	"-536"	"0"
"79"	""	"47"	"268"	"13"	"13"	"0"	"90"	"1"	"111"	"1"	"1"	"1"	"0"	"10"	"-509"	"0"	"-509"	"0"
"80"	""	"48"	"82"	"43"	"23"	"4"	"71"	"6"	"4"	"7"	"5"	"9"	"404"	"22"	"-680"	"0"	"-680"	"0"
"81"	""	"49"	"90"	"118"	"28"	"10"	"205"	"4"	"9"	"16"	"5"	"13"	"156"	"24"	"-678"	"0"	"-678"	"0"
"82"	""	"50"	"73"	"230"	"227"	"11"	"145"	"5"	"22"	"14"	"2"	"34"	"13"	"24"	"-800"	"0"	"-800"	"0"
"83"	""	"51"	"32"	"118"	"187"	"3"	"2"	"5"	"21"	"4"	"1"	"4"	"71"	"2"	"-450"	"0"	"-450"	"0"
"84"	""	"52"	"86"	"53"	"12"	"0"	"19"	"2"	"351"	"8"	"2"	"2"	"2"	"1"	"-538"	"0"	"-538"	"0"
"85"	""	"53"	"62"	"58"	"197"	"4"	"33"	"4"	"123"	"10"	"1"	"12"	"7"	"14"	"-525"	"0"	"-525"	"0"
"86"	""	"54"	"101"	"280"	"89"	"1"	"24"	"1"	"41"	"1"	"4"	"6"	"63"	"5"	"-616"	"0"	"-616"	"0"
"87"	"TOTAL"	""	"-1293"	"-1375"	"-1621"	"-64"	"-810"	"-50"	"-866"	"-97"	"-28"	"-122"	"-734"	"-147"	"-7207"	"0"	"-7207"	"0"
"88"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"89"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"92"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"93"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"94"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"95"	"R
o u n d
5"	"55"	"218"	"18"	"47"	"1"	"41"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"-330"	"0"	"-330"	"0"
"96"	""	"56"	"30"	"38"	"314"	"15"	"4"	"5"	"107"	"6"	"5"	"3"	"5"	"19"	"-551"	"0"	"-551"	"0"
"97"	""	"57"	"153"	"185"	"87"	"8"	"54"	"5"	"19"	"8"	"2"	"7"	"6"	"21"	"-555"	"0"	"-555"	"0"
"98"	""	"58"	"106"	"123"	"48"	"1"	"18"	"4"	"6"	"1"	"0"	"3"	"3"	"6"	"-319"	"0"	"-319"	"0"
"99"	""	"59"	"38"	"122"	"200"	"9"	"6"	"0"	"6"	"1"	"0"	"16"	"3"	"4"	"-405"	"0"	"-405"	"0"
"100"	""	"60"	"137"	"91"	"393"	"4"	"16"	"2"	"9"	"2"	"2"	"14"	"5"	"23"	"-698"	"0"	"-698"	"0"
"101"	""	"61"	"183"	"100"	"141"	"10"	"17"	"4"	"10"	"1"	"1"	"4"	"2"	"66"	"-539"	"0"	"-539"	"0"
"102"	""	"62"	"70"	"374"	"108"	"4"	"22"	"1"	"14"	"2"	"3"	"8"	"15"	"8"	"-629"	"0"	"-629"	"0"
"103"	""	"63"	"228"	"173"	"79"	"9"	"159"	"5"	"6"	"2"	"4"	"5"	"4"	"4"	"-678"	"0"	"-678"	"0"
"104"	""	"64"	"99"	"114"	"152"	"4"	"31"	"7"	"2"	"1"	"0"	"8"	"6"	"6"	"-430"	"0"	"-430"	"0"
"105"	""	"65"	"182"	"169"	"93"	"6"	"71"	"5"	"19"	"4"	"2"	"4"	"4"	"5"	"-564"	"0"	"-564"	"0"
"106"	""	"66"	"56"	"70"	"103"	"5"	"111"	"3"	"4"	"1"	"3"	"4"	"2"	"3"	"-365"	"0"	"-365"	"0"
"107"	""	"67"	"93"	"78"	"312"	"7"	"11"	"5"	"6"	"3"	"5"	"13"	"1"	"6"	"-540"	"0"	"-540"	"0"
"108"	""	"68"	"63"	"82"	"291"	"4"	"38"	"3"	"47"	"0"	"2"	"7"	"3"	"4"	"-544"	"0"	"-544"	"0"
"109"	"TOTAL"	""	"-1656"	"-1737"	"-2368"	"-87"	"-599"	"-49"	"-256"	"-32"	"-30"	"-97"	"-61"	"-175"	"-7147"	"0"	"-7147"	"0"
"110"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"111"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"114"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"115"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"116"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"117"	"R
o u n d
6"	"69"	"21"	"99"	"154"	"3"	"11"	"3"	"188"	"1"	"1"	"17"	"1"	"1"	"-500"	"0"	"-500"	"0"
"118"	""	"70"	"106"	"7"	"5"	"3"	"56"	"1"	"13"	"0"	"3"	"4"	"41"	"4"	"-243"	"0"	"-243"	"0"
"119"	""	"71"	"130"	"92"	"226"	"5"	"166"	"4"	"11"	"2"	"1"	"6"	"3"	"1"	"-647"	"0"	"-647"	"0"
"120"	""	"72"	"166"	"3"	"7"	"3"	"6"	"2"	"161"	"3"	"0"	"0"	"1"	"4"	"-356"	"0"	"-356"	"0"
"121"	""	"73"	"76"	"155"	"39"	"0"	"40"	"1"	"29"	"1"	"1"	"4"	"3"	"3"	"-352"	"0"	"-352"	"0"
"122"	""	"74"	"286"	"69"	"39"	"4"	"8"	"1"	"5"	"0"	"2"	"7"	"2"	"4"	"-427"	"0"	"-427"	"0"
"123"	""	"75"	"84"	"75"	"252"	"8"	"4"	"5"	"197"	"3"	"3"	"13"	"7"	"7"	"-658"	"0"	"-658"	"0"
"124"	""	"76"	"17"	"38"	"738"	"5"	"1"	"1"	"18"	"1"	"1"	"4"	"1"	"2"	"-827"	"0"	"-827"	"0"
"125"	""	"77"	"115"	"70"	"91"	"13"	"6"	"2"	"77"	"5"	"4"	"84"	"39"	"19"	"-525"	"0"	"-525"	"0"
"126"	""	"78"	"193"	"63"	"178"	"3"	"2"	"0"	"5"	"1"	"0"	"1"	"0"	"0"	"-446"	"0"	"-446"	"0"
"127"	""	"79"	"31"	"30"	"14"	"3"	"0"	"13"	"523"	"9"	"0"	"4"	"2"	"1"	"-630"	"0"	"-630"	"0"
"128"	""	"80"	"242"	"213"	"137"	"21"	"3"	"3"	"0"	"0"	"0"	"14"	"19"	"4"	"-656"	"0"	"-656"	"0"
"129"	""	"81"	"94"	"29"	"276"	"12"	"3"	"1"	"4"	"3"	"3"	"6"	"22"	"7"	"-460"	"0"	"-460"	"0"
"130"	""	"82"	"41"	"51"	"11"	"1"	"28"	"8"	"177"	"2"	"2"	"1"	"1"	"4"	"-327"	"0"	"-327"	"0"
"131"	"TOTAL"	""	"-1602"	"-994"	"-2167"	"-84"	"-334"	"-45"	"-1408"	"-31"	"-21"	"-165"	"-142"	"-61"	"-7054"	"0"	"-7054"	"0"
"132"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"133"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"136"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"137"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"138"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"139"	"R
o u n d
7"	"83"	"46"	"31"	"262"	"12"	"51"	"7"	"100"	"4"	"2"	"3"	"6"	"9"	"-533"	"0"	"-533"	"0"
"140"	""	"84"	"117"	"253"	"102"	"7"	"59"	"10"	"45"	"8"	"3"	"12"	"13"	"20"	"-649"	"0"	"-649"	"0"
"141"	""	"85"	"13"	"174"	"227"	"9"	"2"	"1"	"3"	"2"	"3"	"8"	"2"	"6"	"-450"	"0"	"-450"	"0"
"142"	""	"86"	"189"	"91"	"15"	"2"	"10"	"5"	"83"	"2"	"1"	"17"	"1"	"5"	"-421"	"0"	"-421"	"0"
"143"	""	"87"	"234"	"29"	"325"	"9"	"10"	"2"	"6"	"2"	"7"	"14"	"1"	"3"	"-642"	"0"	"-642"	"0"
"144"	""	"88"	"8"	"76"	"253"	"6"	"12"	"2"	"31"	"1"	"1"	"4"	"2"	"6"	"-402"	"0"	"-402"	"0"
"145"	""	"89"	"56"	"120"	"352"	"13"	"13"	"5"	"66"	"3"	"5"	"12"	"39"	"4"	"-688"	"0"	"-688"	"0"
"146"	""	"90"	"45"	"96"	"174"	"2"	"13"	"0"	"4"	"2"	"0"	"10"	"1"	"0"	"-347"	"0"	"-347"	"0"
"147"	""	"91"	"31"	"11"	"197"	"4"	"6"	"2"	"72"	"1"	"1"	"5"	"0"	"2"	"-332"	"0"	"-332"	"0"
"148"	""	"92"	"31"	"48"	"4"	"2"	"66"	"9"	"311"	"6"	"0"	"2"	"2"	"3"	"-484"	"0"	"-484"	"0"
"149"	""	"93"	"66"	"165"	"27"	"10"	"11"	"4"	"8"	"7"	"3"	"46"	"10"	"8"	"-365"	"0"	"-365"	"0"
"150"	""	"94"	"60"	"71"	"121"	"13"	"6"	"3"	"5"	"2"	"6"	"114"	"16"	"16"	"-433"	"0"	"-433"	"0"
"151"	""	"95"	"159"	"88"	"14"	"8"	"14"	"3"	"6"	"4"	"1"	"25"	"16"	"5"	"-343"	"0"	"-343"	"0"
"152"	""	"96"	"114"	"135"	"337"	"9"	"4"	"3"	"26"	"3"	"2"	"7"	"0"	"7"	"-647"	"0"	"-647"	"0"
"153"	"TOTAL"	""	"-1169"	"-1388"	"-2410"	"-106"	"-277"	"-56"	"-766"	"-47"	"-35"	"-279"	"-109"	"-94"	"-6736"	"0"	"-6736"	"0"
"154"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""
"155"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"156"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"157"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"158"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"159"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"160"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"161"	"R
o u n d
8"	"97"	"173"	"83"	"87"	"2"	"1"	"0"	"9"	"2"	"2"	"3"	"0"	"0"	"-362"	"0"	"-362"	"0"
"162"	""	"98"	"224"	"4"	"65"	"1"	"117"	"6"	"9"	"1"	"0"	"2"	"0"	"2"	"-431"	"0"	"-431"	"0"
"163"	""	"99"	"337"	"25"	"16"	"6"	"19"	"3"	"17"	"2"	"2"	"25"	"245"	"16"	"-713"	"0"	"-713"	"0"
"164"	""	"100"	"55"	"125"	"190"	"6"	"13"	"1"	"2"	"0"	"3"	"46"	"83"	"7"	"-531"	"0"	"-531"	"0"
