"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"56"	"42"	"1"	"0"	"35"	"366"	"2"	"0"	"10"	"0"	"2"	"0"	"0"	"2"	"4"	"0"	"0"	"4"	"426"	"0"	"426"	""	""
"57"	"Round -3"	"1122"	"416"	"2487"	"8121"	"167"	"54"	"3977"	"62"	"74"	"47"	"68"	"92"	"200"	"100"	"99"	"177"	"17263"	"0"	"17263"	""	""
"58"	"43"	"63"	"23"	"17"	"119"	"14"	"2"	"46"	"1"	"7"	"2"	"1"	"2"	"8"	"2"	"8"	"10"	"325"	"0"	"325"	""	""
"59"	"44"	"19"	"27"	"166"	"286"	"5"	"2"	"17"	"1"	"6"	"2"	"4"	"3"	"7"	"9"	"4"	"2"	"560"	"0"	"560"	""	""
"60"	"45"	"6"	"3"	"76"	"205"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"2"	"4"	"7"	"0"	"4"	"318"	"0"	"318"	""	""
"61"	"46"	"3"	"0"	"91"	"118"	"2"	"3"	"23"	"0"	"0"	"3"	"0"	"1"	"4"	"5"	"1"	"1"	"255"	"0"	"255"	""	""
"62"	"47"	"3"	"54"	"32"	"175"	"3"	"2"	"17"	"1"	"0"	"0"	"0"	"1"	"6"	"2"	"1"	"4"	"301"	"0"	"301"	""	""
"63"	"48"	"26"	"20"	"95"	"90"	"7"	"1"	"106"	"5"	"3"	"2"	"3"	"3"	"4"	"3"	"1"	"7"	"376"	"0"	"376"	""	""
"64"	"49"	"37"	"12"	"8"	"88"	"3"	"1"	"64"	"1"	"2"	"1"	"0"	"1"	"5"	"0"	"4"	"12"	"239"	"0"	"239"	""	""
"65"	"50"	"6"	"1"	"109"	"197"	"4"	"2"	"8"	"0"	"4"	"3"	"9"	"3"	"15"	"10"	"1"	"3"	"375"	"0"	"375"	""	""
"66"	"51"	"6"	"3"	"72"	"220"	"4"	"1"	"70"	"2"	"0"	"3"	"0"	"3"	"7"	"2"	"3"	"12"	"408"	"0"	"408"	""	""
"67"	"52"	"9"	"2"	"31"	"191"	"6"	"1"	"6"	"1"	"1"	"0"	"2"	"1"	"6"	"0"	"3"	"1"	"261"	"0"	"261"	""	""
"68"	"53"	"0"	"2"	"108"	"49"	"1"	"0"	"36"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"202"	"0"	"202"	""	""
"69"	"54"	"14"	"2"	"133"	"352"	"8"	"5"	"19"	"1"	"2"	"2"	"3"	"6"	"15"	"10"	"4"	"9"	"585"	"0"	"585"	""	""
"70"	"55"	"31"	"6"	"193"	"187"	"7"	"1"	"68"	"3"	"2"	"3"	"2"	"1"	"9"	"10"	"2"	"5"	"530"	"0"	"530"	""	""
"71"	"56"	"43"	"15"	"49"	"228"	"5"	"1"	"133"	"6"	"2"	"3"	"4"	"3"	"7"	"3"	"1"	"10"	"513"	"0"	"513"	""	""
"72"	"Round -4"	"1388"	"586"	"3667"	"10626"	"237"	"77"	"4599"	"85"	"103"	"71"	"96"	"122"	"298"	"166"	"133"	"257"	"22511"	"0"	"22511"	""	""
"73"	"57"	"7"	"0"	"0"	"62"	"0"	"1"	"36"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"110"	"0"	"110"	""	""
"74"	"58"	"1"	"1"	"73"	"94"	"1"	"0"	"111"	"0"	"0"	"2"	"10"	"1"	"1"	"2"	"1"	"2"	"300"	"0"	"300"	""	""
"75"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"76"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"77"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"78"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"79"	"60"	"9"	"13"	"156"	"209"	"4"	"0"	"65"	"0"	"2"	"1"	"0"	"3"	"5"	"3"	"0"	"0"	"470"	"0"	"470"	""	""
"80"	"61"	"1"	"1"	"58"	"305"	"11"	"1"	"62"	"2"	"0"	"0"	"0"	"4"	"11"	"2"	"3"	"5"	"466"	"0"	"466"	""	""
"81"	"62"	"38"	"1"	"286"	"182"	"4"	"0"	"8"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"525"	"0"	"525"	""	""
"82"	"63"	"4"	"1"	"87"	"275"	"5"	"1"	"20"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"1"	"1"	"403"	"0"	"403"	""	""
"83"	"64"	"5"	"2"	"189"	"151"	"7"	"6"	"7"	"1"	"0"	"0"	"0"	"1"	"2"	"6"	"2"	"3"	"382"	"0"	"382"	""	""
"84"	"65"	"0"	"48"	"100"	"62"	"3"	"1"	"37"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"253"	"0"	"253"	""	""
"85"	"66"	"7"	"0"	"137"	"130"	"2"	"0"	"10"	"1"	"1"	"1"	"0"	"3"	"14"	"14"	"4"	"9"	"333"	"0"	"333"	""	""
"86"	"67"	"7"	"21"	"208"	"128"	"5"	"35"	"29"	"1"	"5"	"0"	"1"	"2"	"8"	"11"	"1"	"2"	"464"	"0"	"464"	""	""
"87"	"68"	"35"	"1"	"100"	"318"	"2"	"0"	"10"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"473"	"0"	"473"	""	""
"88"	"69"	"2"	"2"	"195"	"37"	"17"	"0"	"143"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"8"	"414"	"0"	"414"	""	""
"89"	"70"	"5"	"2"	"156"	"124"	"2"	"8"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"313"	"0"	"313"	""	""
"90"	"Round -5"	"1509"	"679"	"5412"	"12703"	"300"	"130"	"5149"	"94"	"113"	"83"	"108"	"139"	"348"	"208"	"151"	"291"	"27417"	"0"	"27417"	""	""
"91"	"71"	"30"	"1"	"199"	"159"	"4"	"1"	"37"	"2"	"0"	"2"	"1"	"1"	"2"	"1"	"2"	"0"	"442"	"0"	"442"	""	""
"92"	"72"	"60"	"7"	"181"	"156"	"6"	"1"	"40"	"1"	"3"	"2"	"0"	"2"	"5"	"4"	"1"	"5"	"474"	"0"	"474"	""	""
"93"	"73"	"8"	"5"	"36"	"287"	"11"	"0"	"20"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"373"	"0"	"373"	""	""
"94"	"74"	"10"	"17"	"12"	"89"	"1"	"1"	"211"	"1"	"0"	"1"	"1"	"0"	"11"	"1"	"4"	"5"	"365"	"0"	"365"	""	""
"95"	"75"	"9"	"0"	"150"	"64"	"11"	"1"	"32"	"3"	"4"	"0"	"4"	"0"	"11"	"7"	"0"	"9"	"305"	"0"	"305"	""	""
"96"	"76"	"0"	"4"	"40"	"463"	"1"	"0"	"13"	"1"	"0"	"1"	"1"	"1"	"10"	"1"	"2"	"3"	"541"	"0"	"541"	""	""
"97"	"77"	"4"	"7"	"40"	"230"	"1"	"3"	"200"	"0"	"2"	"2"	"1"	"0"	"8"	"1"	"2"	"0"	"501"	"0"	"501"	""	""
"98"	"78"	"11"	"4"	"106"	"224"	"4"	"5"	"153"	"9"	"2"	"2"	"6"	"2"	"12"	"7"	"6"	"8"	"561"	"0"	"561"	""	""
"99"	"79"	"30"	"5"	"99"	"162"	"4"	"2"	"87"	"0"	"0"	"1"	"2"	"1"	"4"	"3"	"3"	"7"	"410"	"0"	"410"	""	""
"100"	"80"	"2"	"4"	"33"	"99"	"9"	"2"	"146"	"2"	"2"	"1"	"7"	"2"	"8"	"2"	"3"	"1"	"323"	"0"	"323"	""	""
"101"	"81"	"11"	"44"	"63"	"51"	"6"	"3"	"55"	"25"	"2"	"3"	"3"	"1"	"3"	"1"	"1"	"0"	"272"	"0"	"272"	""	""
"102"	"82"	"14"	"5"	"67"	"244"	"5"	"4"	"39"	"0"	"0"	"0"	"0"	"1"	"8"	"2"	"2"	"3"	"394"	"0"	"394"	""	""
"103"	"83"	"20"	"39"	"46"	"319"	"5"	"2"	"36"	"1"	"3"	"2"	"0"	"1"	"8"	"2"	"0"	"2"	"486"	"0"	"486"	""	""
"104"	"84"	"2"	"3"	"22"	"11"	"1"	"1"	"461"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"502"	"0"	"502"	""	""
"105"	"Round -6"	"1720"	"824"	"6506"	"15261"	"369"	"156"	"6679"	"141"	"132"	"100"	"135"	"152"	"439"	"241"	"177"	"334"	"33366"	"0"	"33366"	""	""
"106"	"85"	"53"	"4"	"47"	"47"	"0"	"0"	"107"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"266"	"0"	"266"	""	""
"107"	"86"	"1"	"38"	"27"	"49"	"4"	"1"	"323"	"2"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"450"	"0"	"450"	""	""
"108"	"87"	"1"	"4"	"6"	"8"	"6"	"0"	"266"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"296"	"0"	"296"	""	""
"109"	"88"	"1"	"1"	"48"	"131"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"9"	"2"	"1"	"1"	"199"	"0"	"199"	""	""
"110"	"89"	"9"	"1"	"78"	"262"	"6"	"7"	"119"	"4"	"3"	"5"	"3"	"3"	"13"	"3"	"9"	"6"	"531"	"0"	"531"	""	""
"111"	"90"	"15"	"10"	"72"	"94"	"6"	"3"	"348"	"4"	"0"	"2"	"5"	"2"	"5"	"3"	"1"	"3"	"573"	"0"	"573"	""	""
"112"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"113"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"115"	"91"	"4"	"2"	"78"	"78"	"2"	"1"	"51"	"1"	"2"	"1"	"0"	"1"	"5"	"0"	"0"	"6"	"232"	"0"	"232"	""	""
"116"	"92"	"20"	"7"	"56"	"161"	"8"	"2"	"83"	"2"	"1"	"2"	"4"	"0"	"0"	"0"	"1"	"2"	"349"	"0"	"349"	""	""
"117"	"93"	"6"	"0"	"8"	"9"	"0"	"1"	"312"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"342"	"0"	"342"	""	""
"118"	"94"	"5"	"5"	"17"	"94"	"4"	"0"	"61"	"3"	"3"	"1"	"2"	"3"	"4"	"1"	"1"	"4"	"208"	"0"	"208"	""	""
"119"	"95"	"2"	"0"	"41"	"75"	"0"	"0"	"244"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"3"	"0"	"369"	"0"	"369"	""	""
"120"	"96"	"8"	"5"	"38"	"183"	"6"	"0"	"212"	"5"	"4"	"1"	"4"	"2"	"4"	"0"	"8"	"14"	"494"	"0"	"494"	""	""
"121"	"97"	"6"	"0"	"23"	"76"	"0"	"0"	"220"	"1"	"0"	"2"	"3"	"0"	"1"	"0"	"3"	"2"	"337"	"0"	"337"	""	""
"122"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"123"	"Round -7"	"1851"	"901"	"7045"	"16528"	"413"	"172"	"9026"	"169"	"149"	"117"	"161"	"164"	"484"	"252"	"206"	"374"	"38012"	"0"	"38012"	""	""
"124"	"99"	"9"	"1"	"23"	"176"	"20"	"1"	"76"	"9"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"319"	"0"	"319"	""	""
"125"	"100"	"9"	"3"	"28"	"65"	"32"	"9"	"238"	"8"	"2"	"9"	"4"	"1"	"5"	"4"	"4"	"15"	"436"	"0"	"436"	""	""
"126"	"101"	"5"	"1"	"17"	"28"	"2"	"1"	"230"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"288"	"0"	"288"	""	""
"127"	"102"	"9"	"2"	"297"	"78"	"9"	"0"	"15"	"0"	"3"	"0"	"7"	"0"	"0"	"0"	"1"	"1"	"422"	"0"	"422"	""	""
"128"	"103"	"9"	"3"	"12"	"133"	"20"	"2"	"140"	"4"	"1"	"3"	"3"	"1"	"5"	"1"	"9"	"8"	"354"	"0"	"354"	""	""
"129"	"104"	"9"	"2"	"45"	"64"	"4"	"8"	"572"	"1"	"6"	"3"	"3"	"2"	"3"	"2"	"3"	"3"	"730"	"0"	"730"	""	""
"130"	"105"	"2"	"2"	"4"	"49"	"2"	"1"	"84"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"149"	"0"	"149"	""	""
"131"	"106"	"4"	"2"	"79"	"141"	"3"	"0"	"106"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"347"	"0"	"347"	""	""
"132"	"107"	"6"	"0"	"117"	"228"	"3"	"0"	"13"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"372"	"0"	"372"	""	""
"133"	"108"	"6"	"1"	"83"	"188"	"14"	"4"	"30"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"3"	"336"	"0"	"336"	""	""
"134"	"109"	"16"	"2"	"33"	"201"	"2"	"3"	"110"	"4"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"5"	"383"	"0"	"383"	""	""
"135"	"110"	"1"	"1"	"29"	"107"	"49"	"4"	"221"	"5"	"1"	"4"	"2"	"1"	"4"	"4"	"2"	"8"	"443"	"0"	"443"	""	""
"136"	"111"	"7"	"2"	"71"	"350"	"12"	"5"	"30"	"1"	"0"	"1"	"1"	"1"	"10"	"0"	"0"	"2"	"493"	"0"	"493"	""	""
"137"	"112"	"12"	"1"	"27"	"308"	"5"	"3"	"89"	"3"	"0"	"2"	"1"	"0"	"3"	"0"	"1"	"2"	"457"	"0"	"457"	""	""
"138"	"Round -8"	"1955"	"924"	"7910"	"18644"	"590"	"213"	"10980"	"207"	"167"	"145"	"187"	"173"	"523"	"268"	"230"	"425"	"43541"	"0"	"43541"	""	""
"139"	"113"	"3"	"0"	"11"	"7"	"0"	"0"	"70"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"94"	"0"	"94"	""	""
"140"	"114"	"0"	"1"	"4"	"26"	"1"	"1"	"446"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"482"	"0"	"482"	""	""
"141"	"115"	"12"	"3"	"49"	"136"	"0"	"1"	"69"	"2"	"1"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"280"	"0"	"280"	""	""
"142"	"116"	"255"	"4"	"2"	"52"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"9"	"325"	"0"	"325"	""	""
"143"	"117"	"7"	"2"	"164"	"214"	"5"	"0"	"15"	"0"	"4"	"4"	"4"	"5"	"38"	"22"	"7"	"17"	"508"	"0"	"508"	""	""
"144"	"118"	"4"	"4"	"22"	"66"	"70"	"4"	"249"	"3"	"2"	"5"	"4"	"0"	"6"	"1"	"2"	"4"	"446"	"0"	"446"	""	""
"145"	"119"	"2"	"5"	"65"	"54"	"11"	"2"	"172"	"1"	"2"	"2"	"0"	"3"	"2"	"2"	"2"	"8"	"333"	"0"	"333"	""	""
"146"	"120"	"2"	"0"	"9"	"21"	"23"	"4"	"435"	"2"	"0"	"4"	"0"	"1"	"2"	"0"	"2"	"6"	"511"	"0"	"511"	""	""
"147"	"121"	"0"	"0"	"20"	"465"	"2"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"498"	"0"	"498"	""	""
"148"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
