"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"38"	"24"	"12"	"20"	"25"	"1"	"147"	"2"	"1"	"4"	"35"	"3"	"0"	"1"	"1"	"77"	"1"	"4"	"5"	"1"	"4"	"344"	"0"	"344"	"0"	""
"39"	"25"	"4"	"17"	"26"	"0"	"259"	"3"	"8"	"2"	"93"	"2"	"0"	"0"	"0"	"3"	"0"	"2"	"29"	"0"	"0"	"448"	"0"	"448"	"0"	""
"40"	"26"	"24"	"8"	"29"	"4"	"440"	"18"	"5"	"6"	"16"	"2"	"2"	"20"	"1"	"2"	"4"	"3"	"1"	"0"	"1"	"586"	"0"	"586"	"0"	""
"41"	"27"	"22"	"15"	"28"	"23"	"127"	"10"	"3"	"6"	"124"	"7"	"2"	"6"	"3"	"37"	"4"	"6"	"4"	"0"	"6"	"433"	"0"	"433"	"0"	""
"42"	"28"	"54"	"2"	"31"	"0"	"24"	"2"	"3"	"9"	"212"	"5"	"0"	"0"	"4"	"176"	"5"	"6"	"4"	"0"	"5"	"542"	"0"	"542"	"0"	""
"43"	";ksx"	"376"	"230"	"212"	"47"	"3177"	"68"	"34"	"44"	"1218"	"65"	"19"	"45"	"23"	"348"	"32"	"33"	"166"	"14"	"25"	"6176"	"0"	"6176"	"0"	""
"44"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"51"	"29"	"35"	"8"	"23"	"3"	"19"	"2"	"1"	"4"	"290"	"2"	"3"	"5"	"0"	"197"	"3"	"4"	"1"	"1"	"4"	"605"	"0"	"605"	"0"	""
"52"	"30"	"32"	"4"	"7"	"1"	"11"	"2"	"3"	"3"	"221"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"291"	"0"	"291"	"0"	""
"53"	"31"	"39"	"34"	"46"	"0"	"77"	"2"	"7"	"2"	"167"	"1"	"2"	"2"	"1"	"2"	"5"	"0"	"4"	"0"	"2"	"393"	"0"	"393"	"0"	""
"54"	"32"	"28"	"2"	"61"	"8"	"193"	"1"	"1"	"9"	"71"	"3"	"1"	"6"	"0"	"29"	"0"	"6"	"6"	"2"	"5"	"432"	"0"	"432"	"0"	""
"55"	"33"	"5"	"6"	"12"	"82"	"97"	"0"	"3"	"5"	"284"	"3"	"2"	"2"	"0"	"4"	"8"	"1"	"32"	"0"	"0"	"546"	"0"	"546"	"0"	""
"56"	"34"	"52"	"9"	"0"	"0"	"172"	"3"	"0"	"3"	"101"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"343"	"0"	"343"	"0"	""
"57"	"35"	"14"	"2"	"46"	"2"	"211"	"1"	"0"	"3"	"318"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"598"	"0"	"598"	"0"	""
"58"	"36"	"34"	"9"	"73"	"8"	"297"	"11"	"8"	"8"	"194"	"5"	"5"	"3"	"1"	"12"	"10"	"5"	"27"	"4"	"0"	"714"	"0"	"714"	"0"	""
"59"	"37"	"24"	"3"	"93"	"2"	"105"	"3"	"10"	"6"	"171"	"1"	"1"	"0"	"2"	"3"	"1"	"4"	"10"	"0"	"1"	"440"	"0"	"440"	"0"	""
"60"	"38"	"47"	"4"	"81"	"3"	"154"	"4"	"2"	"10"	"106"	"7"	"5"	"6"	"4"	"31"	"18"	"3"	"73"	"4"	"9"	"571"	"0"	"571"	"0"	""
"61"	"39"	"61"	"3"	"145"	"8"	"135"	"11"	"6"	"3"	"138"	"11"	"3"	"8"	"1"	"1"	"2"	"6"	"1"	"0"	"1"	"544"	"0"	"544"	"0"	""
"62"	"40"	"11"	"10"	"70"	"4"	"223"	"7"	"5"	"3"	"48"	"9"	"9"	"9"	"4"	"36"	"3"	"5"	"3"	"1"	"2"	"462"	"0"	"462"	"0"	""
"63"	"41"	"16"	"88"	"84"	"9"	"139"	"5"	"3"	"7"	"73"	"3"	"42"	"6"	"2"	"3"	"16"	"1"	"8"	"7"	"5"	"517"	"0"	"517"	"0"	""
"64"	"42"	"15"	"6"	"11"	"6"	"187"	"3"	"0"	"7"	"32"	"1"	"10"	"4"	"0"	"13"	"1"	"4"	"30"	"1"	"0"	"331"	"0"	"331"	"0"	""
"65"	";ksx"	"413"	"188"	"752"	"136"	"2020"	"55"	"49"	"73"	"2214"	"48"	"83"	"52"	"17"	"333"	"68"	"40"	"197"	"20"	"29"	"6787"	"0"	"6787"	"0"	""
"66"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"72"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"73"	"43"	"28"	"0"	"48"	"3"	"222"	"4"	"4"	"2"	"43"	"1"	"0"	"0"	"2"	"5"	"1"	"4"	"4"	"0"	"1"	"372"	"0"	"372"	"0"	""
"74"	"44"	"19"	"35"	"12"	"5"	"263"	"4"	"1"	"1"	"144"	"2"	"3"	"3"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"497"	"0"	"497"	"0"	""
"75"	"45"	"17"	"142"	"58"	"2"	"51"	"4"	"4"	"12"	"333"	"6"	"7"	"3"	"3"	"2"	"18"	"11"	"20"	"1"	"2"	"696"	"0"	"696"	"0"	""
"76"	"46"	"4"	"2"	"64"	"0"	"23"	"3"	"0"	"2"	"435"	"3"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"3"	"546"	"0"	"546"	"0"	""
"77"	"47"	"56"	"4"	"37"	"7"	"281"	"15"	"12"	"7"	"37"	"2"	"8"	"20"	"5"	"19"	"5"	"18"	"5"	"3"	"5"	"546"	"0"	"546"	"0"	""
"78"	"48"	"16"	"16"	"40"	"9"	"247"	"3"	"5"	"5"	"21"	"0"	"3"	"5"	"2"	"5"	"0"	"8"	"1"	"2"	"0"	"388"	"0"	"388"	"0"	""
"79"	"49"	"9"	"48"	"72"	"2"	"328"	"1"	"0"	"1"	"15"	"1"	"1"	"2"	"0"	"5"	"4"	"0"	"12"	"0"	"0"	"501"	"0"	"501"	"0"	""
"80"	"50"	"25"	"32"	"13"	"0"	"296"	"17"	"2"	"3"	"11"	"3"	"5"	"7"	"1"	"27"	"2"	"2"	"3"	"2"	"4"	"455"	"0"	"455"	"0"	""
"81"	"51"	"79"	"16"	"42"	"3"	"254"	"17"	"3"	"3"	"11"	"5"	"7"	"12"	"5"	"4"	"3"	"12"	"6"	"3"	"5"	"490"	"0"	"490"	"0"	""
"82"	"52"	"99"	"17"	"116"	"2"	"160"	"5"	"4"	"2"	"9"	"4"	"3"	"7"	"1"	"4"	"3"	"2"	"1"	"0"	"1"	"440"	"0"	"440"	"0"	""
"83"	"53"	"86"	"9"	"31"	"10"	"223"	"8"	"2"	"3"	"8"	"3"	"3"	"5"	"1"	"7"	"0"	"1"	"1"	"5"	"1"	"407"	"0"	"407"	"0"	""
"84"	"54"	"28"	"4"	"104"	"7"	"355"	"15"	"2"	"6"	"31"	"6"	"2"	"8"	"7"	"75"	"6"	"8"	"2"	"0"	"9"	"675"	"0"	"675"	"0"	""
"85"	"55"	"13"	"2"	"117"	"5"	"268"	"154"	"5"	"2"	"6"	"8"	"3"	"1"	"1"	"10"	"2"	"5"	"6"	"6"	"17"	"631"	"0"	"631"	"0"	""
"86"	"56"	"26"	"9"	"163"	"51"	"144"	"13"	"2"	"2"	"2"	"3"	"1"	"1"	"0"	"5"	"2"	"0"	"3"	"1"	"4"	"432"	"0"	"432"	"0"	""
"87"	";ksx"	"505"	"336"	"917"	"106"	"3115"	"263"	"46"	"51"	"1106"	"47"	"48"	"75"	"30"	"168"	"47"	"74"	"66"	"24"	"52"	"7076"	"0"	"7076"	"0"	""
"88"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"94"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"95"	"57"	"26"	"5"	"131"	"4"	"208"	"22"	"15"	"1"	"57"	"1"	"2"	"2"	"4"	"31"	"3"	"7"	"4"	"2"	"0"	"525"	"0"	"525"	"0"	""
"96"	"58"	"32"	"3"	"177"	"3"	"176"	"8"	"4"	"8"	"44"	"9"	"6"	"0"	"4"	"65"	"3"	"5"	"0"	"1"	"3"	"551"	"0"	"551"	"0"	""
"97"	"59"	"17"	"4"	"332"	"42"	"157"	"22"	"10"	"18"	"24"	"2"	"2"	"5"	"5"	"6"	"11"	"31"	"9"	"0"	"7"	"704"	"0"	"704"	"0"	""
"98"	"60"	"34"	"15"	"221"	"31"	"260"	"8"	"3"	"2"	"12"	"3"	"5"	"2"	"6"	"6"	"3"	"8"	"2"	"0"	"1"	"622"	"0"	"622"	"0"	""
"99"	"61"	"82"	"8"	"153"	"12"	"161"	"26"	"6"	"2"	"42"	"8"	"5"	"12"	"8"	"6"	"5"	"8"	"14"	"6"	"10"	"574"	"0"	"574"	"0"	""
"100"	"62"	"28"	"14"	"292"	"20"	"347"	"10"	"7"	"2"	"27"	"8"	"4"	"2"	"5"	"4"	"2"	"9"	"1"	"1"	"7"	"790"	"0"	"790"	"0"	""
"101"	"63"	"38"	"12"	"125"	"13"	"461"	"14"	"7"	"6"	"10"	"5"	"4"	"12"	"5"	"6"	"3"	"12"	"1"	"1"	"1"	"736"	"0"	"736"	"0"	""
"102"	"64"	"128"	"7"	"241"	"28"	"43"	"5"	"16"	"3"	"67"	"4"	"9"	"7"	"8"	"13"	"9"	"18"	"4"	"2"	"2"	"614"	"0"	"614"	"0"	""
"103"	"65"	"13"	"0"	"47"	"34"	"334"	"43"	"42"	"9"	"21"	"7"	"7"	"6"	"8"	"13"	"13"	"16"	"11"	"0"	"1"	"625"	"0"	"625"	"0"	""
"104"	"66"	"29"	"18"	"68"	"10"	"111"	"9"	"53"	"7"	"94"	"4"	"3"	"6"	"3"	"0"	"2"	"1"	"52"	"0"	"1"	"471"	"0"	"471"	"0"	""
"105"	"67"	"4"	"7"	"184"	"17"	"71"	"16"	"1"	"3"	"23"	"5"	"5"	"7"	"2"	"1"	"2"	"2"	"1"	"4"	"17"	"372"	"0"	"372"	"0"	""
"106"	"68"	"47"	"91"	"139"	"13"	"63"	"10"	"10"	"4"	"148"	"6"	"3"	"5"	"3"	"8"	"8"	"10"	"11"	"1"	"2"	"582"	"0"	"582"	"0"	""
"107"	"69"	"14"	"2"	"81"	"33"	"57"	"5"	"92"	"8"	"108"	"5"	"5"	"14"	"8"	"8"	"19"	"8"	"88"	"6"	"6"	"567"	"0"	"567"	"0"	""
"108"	"70"	"3"	"7"	"10"	"14"	"106"	"2"	"42"	"2"	"39"	"0"	"3"	"4"	"1"	"1"	"5"	"1"	"16"	"2"	"0"	"258"	"0"	"258"	"0"	""
"109"	";ksx"	"495"	"193"	"2201"	"274"	"2555"	"200"	"308"	"75"	"716"	"67"	"63"	"84"	"70"	"168"	"88"	"136"	"214"	"26"	"58"	"7991"	"0"	"7991"	"0"	""
"110"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"116"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"117"	"71"	"45"	"123"	"53"	"12"	"13"	"2"	"13"	"5"	"18"	"1"	"2"	"3"	"3"	"2"	"10"	"4"	"87"	"5"	"6"	"407"	"0"	"407"	"0"	""
"118"	"72"	"57"	"25"	"83"	"13"	"84"	"7"	"28"	"11"	"121"	"6"	"8"	"16"	"10"	"10"	"15"	"50"	"16"	"6"	"4"	"570"	"0"	"570"	"0"	""
