"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Election to the Vidhan Sabha from the 152-Bihpur Assembly constituency: Total No. of Electors in Assembly constituency:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"S. No. of
Polling"	"ASHOK KUMAR
SHARM"	"KANCHA N SINGH"	"SHALAISH KUMAR
ALIAS BULO"	"MADHUK AR
YADAV"	"SHAILESH PRASAD
SINGH"	"AJAY KUMAR
DAS"	"MAHENDR A SINGH"	"RAJENDR A
MANDAL"	"VIJAY KUMA
R"	"BINDES HWARI
PD."	"SURES H
PANDI"	"Total No. of
valid"	"No. of rejected
botes"	"Total"	"No. of tendered
votes"
"75"	"60"	"24"	"534"	"9"	"1"	"168"	"4"	"7"	"16"	"7"	"4"	"18"	""	""	"792"	""
"76"	"61"	"252"	"25"	"109"	"6"	"206"	"7"	"5"	"12"	"2"	"3"	"23"	""	""	"650"	""
"77"	"62"	"58"	"95"	"239"	"9"	"165"	"8"	"16"	"13"	"11"	"14"	"30"	""	""	"658"	""
"78"	"63"	"52"	"177"	"141"	"11"	"112"	"6"	"4"	"12"	"7"	"6"	"12"	""	""	"540"	""
"79"	"64"	"805"	"11"	"7"	"3"	"146"	"5"	"1"	"3"	"6"	"5"	"13"	""	""	"1005"	""
"80"	"65"	"553"	"12"	"2"	"3"	"92"	"2"	"0"	"2"	"2"	"4"	"15"	""	""	"687"	""
"81"	"66"	"101"	"130"	"183"	"17"	"104"	"5"	"3"	"13"	"2"	"0"	"8"	""	""	"566"	""
"82"	"67"	"144"	"21"	"34"	"9"	"106"	"5"	"10"	"18"	"5"	"8"	"16"	""	""	"376"	""
"83"	"68"	"408"	"32"	"16"	"6"	"326"	"4"	"2"	"6"	"3"	"3"	"3"	""	""	"809"	""
"84"	"69"	"121"	"155"	"200"	"15"	"414"	"7"	"10"	"12"	"10"	"11"	"16"	""	""	"971"	""
"85"	"70"	"136"	"69"	"134"	"5"	"442"	"9"	"7"	"16"	"5"	"2"	"10"	""	""	"835"	""
"86"	"71"	"21"	"7"	"77"	"3"	"701"	"3"	"1"	"5"	"3"	"0"	"0"	""	""	"821"	""
"87"	"72"	"8"	"3"	"32"	"3"	"540"	"3"	"5"	"3"	"1"	"0"	"3"	""	""	"601"	""
"88"	"CF"	"12792"	"3914"	"16596"	"413"	"10106"	"265"	"264"	"500"	"242"	"179"	"638"	""	""	"45909"	""
"89"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Serial
No. of Polling"	"ASHOK
KUMAR SHARM"	"KANCHA N SINGH"	"SHALAISH
KUMAR ALIAS BULO"	"MADHUK
AR YADAV"	"SHAILESH
PRASAD SINGH"	"AJAY
KUMAR DAS"	"MAHENDR A SINGH"	"RAJENDR
A MANDAL"	"VIJAY
KUMA R"	"BINDES
HWARI PD."	"SURES
H PANDI"	"Total
No. of valid"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"91"	"B F"	"12792"	"3914"	"16596"	"413"	"10106"	"265"	"264"	"500"	"242"	"179"	"638"	""	""	"45909"	""
"92"	"73"	"9"	"13"	"130"	"2"	"398"	"5"	"0"	"3"	"2"	"0"	"8"	""	""	"570"	""
"93"	"74"	"65"	"30"	"208"	"16"	"292"	"8"	"21"	"26"	"11"	"14"	"64"	""	""	"755"	""
"94"	"75"	"2"	"0"	"274"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	""	""	"281"	""
"95"	"76"	"0"	"42"	"514"	"3"	"14"	"1"	"0"	"1"	"0"	"0"	"0"	""	""	"575"	""
"96"	"77"	"6"	"69"	"189"	"2"	"9"	"4"	"0"	"3"	"1"	"1"	"7"	""	""	"291"	""
"97"	"78"	"78"	"381"	"110"	"18"	"175"	"12"	"7"	"10"	"7"	"5"	"17"	""	""	"820"	""
"98"	"79"	"83"	"248"	"127"	"11"	"115"	"7"	"7"	"21"	"8"	"15"	"25"	""	""	"667"	""
"99"	"80"	"24"	"103"	"454"	"10"	"76"	"2"	"3"	"4"	"4"	"4"	"7"	""	""	"691"	""
"100"	"81"	"185"	"250"	"185"	"17"	"95"	"7"	"3"	"22"	"19"	"16"	"37"	""	""	"836"	""
"101"	"82"	"38"	"135"	"605"	"6"	"64"	"2"	"1"	"1"	"4"	"2"	"7"	""	""	"865"	""
"102"	"83"	"55"	"229"	"90"	"4"	"66"	"4"	"5"	"3"	"1"	"5"	"4"	""	""	"466"	""
"103"	"84"	"88"	"149"	"254"	"16"	"133"	"5"	"1"	"21"	"3"	"2"	"9"	""	""	"681"	""
"104"	"85"	"30"	"122"	"176"	"13"	"252"	"14"	"7"	"6"	"10"	"4"	"9"	""	""	"643"	""
"105"	"86"	"53"	"90"	"882"	"21"	"32"	"3"	"2"	"3"	"5"	"6"	"4"	""	""	"1101"	""
"106"	"87"	"200"	"20"	"55"	"5"	"362"	"5"	"2"	"9"	"3"	"2"	"7"	""	""	"670"	""
"107"	"88"	"62"	"1"	"0"	"1"	"558"	"2"	"0"	"1"	"1"	"0"	"2"	""	""	"628"	""
"108"	"89"	"113"	"7"	"10"	"4"	"595"	"15"	"10"	"15"	"91"	"8"	"9"	""	""	"877"	""
"109"	"90"	"323"	"14"	"43"	"1"	"212"	"1"	"0"	"7"	"12"	"1"	"6"	""	""	"620"	""
"110"	"91"	"13"	"344"	"65"	"7"	"67"	"10"	"7"	"6"	"4"	"6"	"5"	""	""	"534"	""
"111"	"92"	"347"	"24"	"8"	"1"	"404"	"4"	"0"	"4"	"13"	"2"	"10"	""	""	"817"	""
"112"	"93"	"26"	"39"	"62"	"10"	"174"	"9"	"4"	"4"	"3"	"2"	"10"	""	""	"343"	""
"113"	"94"	"200"	"205"	"171"	"5"	"24"	"2"	"2"	"3"	"3"	"0"	"5"	""	""	"620"	""
"114"	"95"	"174"	"43"	"5"	"4"	"47"	"0"	"1"	"2"	"3"	"1"	"3"	""	""	"283"	""
"115"	"96"	"54"	"247"	"288"	"13"	"68"	"7"	"7"	"6"	"11"	"8"	"34"	""	""	"743"	""
"116"	"CF"	"15020"	"6719"	"21501"	"604"	"14338"	"395"	"354"	"682"	"462"	"283"	"928"	""	""	"61286"	""
"117"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Serial"	"ASHOK"	"KANCHA"	"SHALAISH"	"MADHUK"	"SHAILESH"	"AJAY"	"MAHENDR"	"RAJENDR"	"VIJAY"	"BINDES"	"SURES"	"Total"	"No. of"	"Total"	"No. of"
"119"	"No. of"	"KUMAR"	""	"KUMAR"	""	""	""	""	""	""	"HWARI"	"H"	"No. of"	""	""	""
"120"	"Polling"	"SHARM"	""	"ALIAS BULO"	"AR"	"PRASAD"	"KUMAR"	""	"A"	"KUMA"	"PD."	"PANDI"	"valid"	"rejected"	""	"tendered"
"121"	"Station"	"A"	"N SINGH"	"MANDAL"	"YADAV"	"SINGH"	"DAS"	"A SINGH"	"MANDAL"	"R"	"SINGH"	"T"	"votes"	"botes"	""	"votes"
"122"	"B F"	"15020"	"6719"	"21501"	"604"	"14338"	"395"	"354"	"682"	"462"	"283"	"928"	""	""	"61286"	""
"123"	"97"	"12"	"150"	"162"	"8"	"184"	"6"	"7"	"7"	"5"	"6"	"4"	""	""	"551"	""
"124"	"98"	"218"	"15"	"20"	"2"	"499"	"7"	"4"	"7"	"4"	"1"	"12"	""	""	"789"	""
"125"	"99"	"266"	"9"	"29"	"2"	"238"	"0"	"0"	"2"	"2"	"0"	"3"	""	""	"551"	""
"126"	"100"	"214"	"42"	"270"	"10"	"32"	"4"	"4"	"4"	"8"	"10"	"18"	""	""	"616"	""
"127"	"101"	"64"	"17"	"477"	"9"	"11"	"4"	"1"	"7"	"3"	"1"	"12"	""	""	"606"	""
"128"	"102"	"14"	"7"	"394"	"2"	"7"	"0"	"0"	"0"	"1"	"0"	"1"	""	""	"426"	""
"129"	"103"	"117"	"16"	"720"	"3"	"15"	"1"	"0"	"1"	"0"	"1"	"1"	""	""	"875"	""
"130"	"104"	"771"	"5"	"16"	"2"	"202"	"3"	"1"	"3"	"1"	"0"	"1"	""	""	"1005"	""
"131"	"105"	"405"	"31"	"128"	"5"	"76"	"2"	"1"	"2"	"2"	"1"	"2"	""	""	"655"	""
"132"	"106"	"53"	"21"	"223"	"9"	"45"	"2"	"1"	"1"	"3"	"2"	"5"	""	""	"365"	""
"133"	"107"	"15"	"6"	"159"	"4"	"41"	"1"	"2"	"2"	"2"	"2"	"1"	""	""	"235"	""
"134"	"108"	"93"	"37"	"188"	"12"	"133"	"7"	"4"	"7"	"4"	"1"	"4"	""	""	"490"	""
"135"	"109"	"30"	"263"	"80"	"5"	"83"	"2"	"3"	"3"	"3"	"7"	"7"	""	""	"486"	""
"136"	"110"	"1"	"2"	"481"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"485"	""
"137"	"111"	"0"	"1"	"762"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"770"	""
"138"	"112"	"2"	"3"	"834"	"1"	"14"	"0"	"0"	"0"	"1"	"0"	"0"	""	""	"855"	""
"139"	"113"	"7"	"5"	"479"	"15"	"24"	"2"	"0"	"1"	"1"	"1"	"3"	""	""	"538"	""
"140"	"114"	"7"	"1"	"183"	"117"	"3"	"1"	"2"	"3"	"2"	"0"	"6"	""	""	"325"	""
"141"	"115"	"56"	"6"	"885"	"6"	"31"	"2"	"1"	"3"	"2"	"2"	"7"	""	""	"1001"	""
"142"	"116"	"709"	"8"	"152"	"10"	"169"	"7"	"4"	"4"	"3"	"4"	"11"	""	""	"1081"	""
"143"	"117"	"236"	"8"	"14"	"2"	"61"	"1"	"0"	"0"	"2"	"0"	"7"	""	""	"331"	""
"144"	"118"	"78"	"6"	"646"	"3"	"16"	"0"	"0"	"0"	"2"	"2"	"2"	""	""	"755"	""
"145"	"119"	"526"	"5"	"98"	"3"	"57"	"1"	"4"	"2"	"2"	"1"	"12"	""	""	"711"	""
"146"	"120"	"22"	"20"	"493"	"9"	"58"	"2"	"4"	"0"	"4"	"2"	"8"	""	""	"622"	""
"147"	"CF"	"18936"	"7403"	"29394"	"845"	"16343"	"450"	"397"	"741"	"519"	"327"	"1055"	""	""	"76410"	""
"148"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Serial"	"ASHOK"	"KANCHA"	"SHALAISH"	"MADHUK"	"SHAILESH"	"AJAY"	"MAHENDR"	"RAJENDR"	"VIJAY"	"BINDES"	"SURES"	"Total"	"No. of"	"Total"	"No. of"
"150"	"No. of"	"KUMAR"	""	"KUMAR"	""	""	""	""	""	""	"HWARI"	"H"	"No. of"	""	""	""
"151"	"Polling"	"SHARM"	""	"ALIAS BULO"	"AR"	"PRASAD"	"KUMAR"	""	"A"	"KUMA"	"PD."	"PANDI"	"valid"	"rejected"	""	"tendered"
"152"	"Station"	"A"	"N SINGH"	"MANDAL"	"YADAV"	"SINGH"	"DAS"	"A SINGH"	"MANDAL"	"R"	"SINGH"	"T"	"votes"	"botes"	""	"votes"
"153"	"B F"	"18936"	"7403"	"29394"	"845"	"16343"	"450"	"397"	"741"	"519"	"327"	"1055"	""	""	"76410"	""
"154"	"121"	"38"	"3"	"424"	"7"	"154"	"4"	"3"	"11"	"4"	"4"	"9"	""	""	"661"	""
"155"	"122"	"18"	"1"	"763"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	""	""	"785"	""
"156"	"123"	"21"	"2"	"359"	"4"	"15"	"0"	"0"	"0"	"1"	"0"	"3"	""	""	"405"	""
"157"	"124"	"0"	"14"	"269"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"3"	""	""	"297"	""
"158"	"125"	"31"	"6"	"809"	"1"	"23"	"0"	"1"	"5"	"0"	"1"	"4"	""	""	"881"	""
"159"	"126"	"132"	"19"	"458"	"15"	"52"	"5"	"2"	"8"	"5"	"4"	"5"	""	""	"705"	""
"160"	"127"	"168"	"42"	"271"	"14"	"52"	"3"	"1"	"6"	"4"	"4"	"13"	""	""	"578"	""
"161"	"128"	"949"	"1"	"6"	"0"	"68"	"0"	"0"	"1"	"0"	"0"	"2"	""	""	"1027"	""
"162"	"129"	"135"	"19"	"256"	"6"	"71"	"13"	"9"	"5"	"5"	"4"	"24"	""	""	"547"	""
"163"	"130"	"62"	"84"	"311"	"10"	"28"	"4"	"6"	"5"	"2"	"6"	"9"	""	""	"527"	""
"164"	"131"	"7"	"3"	"563"	"2"	"20"	"1"	"1"	"1"	"2"	"4"	"0"	""	""	"604"	""
"165"	"132"	"315"	"1"	"106"	"2"	"35"	"4"	"0"	"3"	"0"	"2"	"3"	""	""	"471"	""
"166"	"133"	"282"	"1"	"60"	"0"	"105"	"0"	"0"	"1"	"1"	"0"	"0"	""	""	"450"	""
"167"	"134"	"260"	"6"	"122"	"5"	"111"	"0"	"1"	"2"	"0"	"0"	"3"	""	""	"510"	""
"168"	"135"	"27"	"2"	"368"	"2"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	""	""	"406"	""
"169"	"136"	"659"	"13"	"88"	"7"	"198"	"7"	"2"	"2"	"3"	"2"	"9"	""	""	"990"	""
"170"	"137"	"482"	"12"	"26"	"7"	"142"	"8"	"7"	"8"	"5"	"2"	"23"	""	""	"722"	""
"171"	"138"	"579"	"45"	"23"	"2"	"123"	"5"	"2"	"9"	"5"	"2"	"19"	""	""	"814"	""
"172"	"139"	"18"	"8"	"792"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"831"	""
"173"	"140"	"8"	"9"	"879"	"3"	"39"	"0"	"0"	"0"	"0"	"2"	"0"	""	""	"940"	""
"174"	"141"	"2"	"2"	"994"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	""	""	"1001"	""
"175"	"142"	"36"	"4"	"469"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	""	""	"513"	""
"176"	"143"	"20"	"1"	"630"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"659"	""
"177"	"144"	"0"	"12"	"883"	"4"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	""	""	"902"	""
"178"	"CF"	"23185"	"7713"	"39323"	"946"	"17610"	"505"	"432"	"810"	"561"	"366"	"1185"	""	""	"92636"	""
"179"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Serial"	"ASHOK"	"KANCHA"	"SHALAISH"	"MADHUK"	"SHAILESH"	"AJAY"	"MAHENDR"	"RAJENDR"	"VIJAY"	"BINDES"	"SURES"	"Total"	"No. of"	"Total"	"No. of"
"181"	"No. of"	"KUMAR"	""	"KUMAR"	""	""	""	""	""	""	"HWARI"	"H"	"No. of"	""	""	""
"182"	"Polling"	"SHARM"	""	"ALIAS BULO"	"AR"	"PRASAD"	"KUMAR"	""	"A"	"KUMA"	"PRASAD"	"PANDI"	"valid"	"rejected"	""	"tendered"
"183"	"Station"	"A"	"N SINGH"	"MANDAL"	"YADAV"	"SINGH"	"DAS"	"A SINGH"	"MANDAL"	"R"	"SINGH"	"T"	"votes"	"botes"	""	"votes"
"184"	"B F"	"23185"	"7713"	"39323"	"946"	"17610"	"505"	"432"	"810"	"561"	"366"	"1185"	""	""	"92636"	""
"185"	"145"	"2"	"5"	"716"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	""	""	"726"	""
"186"	"146"	"2"	"17"	"524"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"545"	""
"187"	"147"	"0"	"2"	"1070"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	"1081"	""
"188"	"148"	"0"	"10"	"1009"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"1022"	""
"189"	"149"	"9"	"9"	"577"	"4"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	""	""	"603"	""
"190"	"150"	"4"	"37"	"563"	"6"	"2"	"0"	"4"	"0"	"1"	"1"	"6"	""	""	"624"	""
"191"	"151"	"1"	"4"	"881"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	""	""	"891"	""
"192"	"152"	"3"	"0"	"704"	"5"	"1"	"3"	"0"	"1"	"0"	"1"	"1"	""	""	"719"	""
"193"	"153"	"666"	"12"	"48"	"2"	"7"	"0"	"0"	"0"	"8"	"0"	"3"	""	""	"746"	""
"194"	"154"	"0"	"0"	"1045"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"1045"	""
"195"	"155"	"0"	"1"	"938"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	""	""	"946"	""
"196"	"156"	"20"	"9"	"596"	"11"	"3"	"1"	"2"	"3"	"2"	"6"	"8"	""	""	"661"	""
"197"	"157"	"11"	"12"	"529"	"13"	"5"	"1"	"1"	"0"	"2"	"2"	"9"	""	""	"585"	""
"198"	"158"	"2"	"3"	"592"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	""	""	"601"	""
"199"	""	"23905"	"7834"	"49115"	"1004"	"17637"	"512"	"439"	"814"	"577"	"377"	"1217"	""	""	"1E+05"	""
