"62"	""	"40"	"26"	"2"	"2"	"77"	"90"	"143"	"1"	"0"	"8"	"0"	"0"	"1"	"0"	""	"0"	"0"	"33"	""	"-383"	""	"0"	""	"-383"	""	"0"
"63"	""	"41"	"234"	"11"	"12"	"20"	"94"	"193"	"6"	"11"	"3"	"2"	"4"	"4"	"4"	""	"5"	"9"	"21"	""	"-633"	""	"0"	""	"-633"	""	"0"
"64"	""	"42"	"55"	"10"	"69"	"46"	"89"	"185"	"8"	"3"	"12"	"4"	"7"	"3"	"3"	""	"10"	"4"	"17"	""	"-525"	""	"0"	""	"-525"	""	"0"
"65"	"TOTAL"	""	"-1715"	"-62"	"-262"	"-601"	"-1589"	"-2135"	"-105"	"-45"	"-54"	"-16"	"-20"	"-23"	"-14"	""	"-21"	"-39"	"-118"	""	"-6819"	""	"0"	""	"-6819"	""	"0"
"66"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"71"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"72"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"73"	"R
o u n d
4"	"43"	"15"	"2"	"8"	"26"	"211"	"252"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	""	"0"	"0"	"0"	""	"-516"	""	"0"	""	"-516"	""	"0"
"74"	""	"44"	"44"	"0"	"6"	"1"	"402"	"32"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	""	"0"	"1"	"1"	""	"-492"	""	"0"	""	"-492"	""	"0"
"75"	""	"45"	"17"	"1"	"19"	"104"	"338"	"199"	"12"	"0"	"4"	"1"	"0"	"4"	"4"	""	"2"	"0"	"0"	""	"-705"	""	"0"	""	"-705"	""	"0"
"76"	""	"46"	"54"	"18"	"138"	"114"	"34"	"80"	"38"	"0"	"1"	"1"	"1"	"0"	"1"	""	"5"	"3"	"5"	""	"-493"	""	"0"	""	"-493"	""	"0"
"77"	""	"47"	"48"	"8"	"215"	"141"	"1"	"5"	"11"	"0"	"0"	"0"	"0"	"3"	"1"	""	"6"	"2"	"1"	""	"-442"	""	"0"	""	"-442"	""	"0"
"78"	""	"48"	"75"	"3"	"3"	"150"	"137"	"188"	"2"	"2"	"137"	"5"	"1"	"6"	"4"	""	"6"	"2"	"15"	""	"-736"	""	"0"	""	"-736"	""	"0"
"79"	""	"49"	"60"	"8"	"191"	"51"	"35"	"135"	"7"	"1"	"9"	"0"	"0"	"0"	"2"	""	"45"	"4"	"4"	""	"-552"	""	"0"	""	"-552"	""	"0"
"80"	""	"50"	"21"	"121"	"139"	"23"	"101"	"123"	"3"	"3"	"1"	"2"	"2"	"2"	"4"	""	"7"	"3"	"0"	""	"-555"	""	"0"	""	"-555"	""	"0"
"81"	""	"51"	"4"	"13"	"4"	"8"	"194"	"156"	"3"	"1"	"3"	"0"	"0"	"0"	"1"	""	"0"	"0"	"0"	""	"-387"	""	"0"	""	"-387"	""	"0"
"82"	""	"52"	"18"	"5"	"15"	"71"	"98"	"238"	"8"	"3"	"2"	"3"	"0"	"2"	"6"	""	"4"	"1"	"5"	""	"-479"	""	"0"	""	"-479"	""	"0"
"83"	""	"53"	"0"	"1"	"7"	"8"	"155"	"565"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"5"	""	"-749"	""	"0"	""	"-749"	""	"0"
"84"	""	"54"	"41"	"8"	"48"	"4"	"186"	"291"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	""	"16"	"1"	"0"	""	"-601"	""	"0"	""	"-601"	""	"0"
"85"	""	"55"	"132"	"11"	"24"	"8"	"160"	"234"	"7"	"4"	"31"	"1"	"1"	"2"	"2"	""	"2"	"3"	"2"	""	"-624"	""	"0"	""	"-624"	""	"0"
"86"	""	"56"	"5"	"2"	"1"	"1"	"22"	"659"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	""	"0"	"0"	"1"	""	"-696"	""	"0"	""	"-696"	""	"0"
"87"	"TOTAL"	""	"-534"	"-201"	"-818"	"-710"	"-2074"	"-3157"	"-103"	"-16"	"-189"	"-14"	"-7"	"-24"	"-28"	""	"-93"	"-20"	"-39"	""	"-8027"	""	"0"	""	"-8027"	""	"0"
"88"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"93"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"94"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"95"	"R
o u n d
5"	"57"	"117"	"9"	"6"	"44"	"112"	"103"	"3"	"0"	"18"	"2"	"2"	"6"	"8"	""	"15"	"1"	"25"	""	"-471"	""	"0"	""	"-471"	""	"0"
"96"	""	"58"	"42"	"6"	"30"	"5"	"163"	"84"	"3"	"0"	"4"	"0"	"0"	"1"	"3"	""	"72"	"8"	"14"	""	"-435"	""	"0"	""	"-435"	""	"0"
"97"	""	"59"	"8"	"5"	"3"	"46"	"330"	"180"	"2"	"1"	"12"	"1"	"0"	"3"	"1"	""	"3"	"1"	"7"	""	"-603"	""	"0"	""	"-603"	""	"0"
"98"	""	"60"	"19"	"1"	"4"	"70"	"316"	"18"	"4"	"2"	"3"	"1"	"1"	"11"	"3"	""	"0"	"0"	"8"	""	"-461"	""	"0"	""	"-461"	""	"0"
"99"	""	"61"	"9"	"2"	"0"	"3"	"73"	"376"	"1"	"0"	"1"	"1"	"1"	"10"	"0"	""	"0"	"2"	"12"	""	"-491"	""	"0"	""	"-491"	""	"0"
"100"	""	"62"	"6"	"1"	"2"	"4"	"902"	"10"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	""	"0"	"0"	"1"	""	"-931"	""	"0"	""	"-931"	""	"0"
"101"	""	"63"	"18"	"2"	"5"	"11"	"609"	"114"	"1"	"1"	"3"	"0"	"0"	"3"	"1"	""	"0"	"0"	"3"	""	"-771"	""	"0"	""	"-771"	""	"0"
"102"	""	"64"	"0"	"0"	"0"	"0"	"938"	"1"	"0"	"0"	"8"	"0"	"0"	"1"	"2"	""	"0"	"0"	"0"	""	"-950"	""	"0"	""	"-950"	""	"0"
"103"	""	"65"	"48"	"31"	"5"	"130"	"225"	"187"	"11"	"5"	"44"	"4"	"0"	"2"	"8"	""	"4"	"1"	"12"	""	"-717"	""	"0"	""	"-717"	""	"0"
"104"	""	"66"	"143"	"8"	"18"	"48"	"120"	"84"	"20"	"2"	"52"	"5"	"2"	"3"	"3"	""	"90"	"8"	"21"	""	"-627"	""	"0"	""	"-627"	""	"0"
"105"	""	"67"	"0"	"0"	"2"	"690"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	""	"0"	"0"	"0"	""	"-696"	""	"0"	""	"-696"	""	"0"
"106"	""	"68"	"61"	"4"	"60"	"6"	"162"	"128"	"3"	"2"	"1"	"0"	"0"	"4"	"1"	""	"2"	"0"	"3"	""	"-437"	""	"0"	""	"-437"	""	"0"
"107"	""	"69"	"157"	"12"	"30"	"35"	"55"	"218"	"7"	"12"	"83"	"3"	"3"	"3"	"7"	""	"3"	"1"	"15"	""	"-644"	""	"0"	""	"-644"	""	"0"
"108"	""	"70"	"240"	"3"	"39"	"42"	"66"	"134"	"2"	"0"	"3"	"2"	"1"	"4"	"2"	""	"1"	"7"	"33"	""	"-579"	""	"0"	""	"-579"	""	"0"
"109"	"TOTAL"	""	"-868"	"-84"	"-204"	"-1134"	"-4072"	"-1638"	"-60"	"-25"	"-232"	"-19"	"-10"	"-54"	"-40"	""	"-190"	"-29"	"-154"	""	"-8813"	""	"0"	""	"-8813"	""	"0"
"110"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"115"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"116"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"117"	"R
o u n d
6"	"71"	"43"	"5"	"16"	"81"	"17"	"66"	"2"	"1"	"11"	"5"	"1"	"3"	"8"	""	"157"	"5"	"6"	""	"-427"	""	"0"	""	"-427"	""	"0"
"118"	""	"72"	"24"	"28"	"12"	"50"	"16"	"14"	"1"	"2"	"42"	"2"	"1"	"4"	"3"	""	"190"	"7"	"6"	""	"-402"	""	"0"	""	"-402"	""	"0"
"119"	""	"73"	"44"	"14"	"9"	"15"	"4"	"63"	"5"	"8"	"95"	"2"	"1"	"2"	"10"	""	"308"	"5"	"6"	""	"-591"	""	"0"	""	"-591"	""	"0"
"120"	""	"74"	"28"	"25"	"28"	"45"	"23"	"4"	"0"	"2"	"19"	"3"	"0"	"1"	"3"	""	"250"	"4"	"5"	""	"-440"	""	"0"	""	"-440"	""	"0"
"121"	""	"75"	"106"	"6"	"2"	"20"	"5"	"215"	"3"	"1"	"5"	"1"	"1"	"5"	"5"	""	"219"	"2"	"10"	""	"-606"	""	"0"	""	"-606"	""	"0"
"122"	""	"76"	"195"	"1"	"10"	"21"	"1"	"230"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	""	"34"	"6"	"3"	""	"-505"	""	"0"	""	"-505"	""	"0"
"123"	""	"77"	"22"	"31"	"131"	"125"	"34"	"100"	"19"	"3"	"4"	"1"	"4"	"7"	"6"	""	"40"	"3"	"20"	""	"-550"	""	"0"	""	"-550"	""	"0"
"124"	""	"78"	"10"	"11"	"181"	"37"	"161"	"23"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	""	"52"	"1"	"2"	""	"-481"	""	"0"	""	"-481"	""	"0"
"125"	""	"79"	"16"	"32"	"36"	"91"	"30"	"136"	"5"	"9"	"0"	"2"	"4"	"1"	"4"	""	"24"	"5"	"9"	""	"-404"	""	"0"	""	"-404"	""	"0"
