"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency 194010                                                  Round No. 1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"25"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Total No.of Electores in Assembly Constituency- 194010                                                  Round No.-2"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"29"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"30"	"15"	"243"	"13"	"176"	"8"	"4"	"2"	"4"	"8"	"458"	"0"	"458"	"0"
"31"	"16"	"152"	"18"	"109"	"84"	"9"	"5"	"14"	"8"	"399"	"0"	"399"	"0"
"32"	"17"	"195"	"15"	"83"	"108"	"13"	"8"	"12"	"19"	"453"	"0"	"453"	"0"
"33"	"18"	"115"	"4"	"91"	"119"	"13"	"4"	"11"	"7"	"364"	"0"	"364"	"0"
"34"	"19"	"111"	"53"	"199"	"63"	"9"	"6"	"11"	"12"	"464"	"0"	"464"	"0"
"35"	"20"	"185"	"30"	"240"	"43"	"13"	"8"	"9"	"24"	"552"	"0"	"552"	"0"
"36"	"21"	"226"	"13"	"143"	"7"	"1"	"2"	"5"	"10"	"407"	"0"	"407"	"0"
"37"	"22"	"402"	"37"	"85"	"31"	"1"	"3"	"5"	"6"	"570"	"0"	"570"	"0"
"38"	"23"	"122"	"20"	"133"	"171"	"15"	"12"	"19"	"21"	"513"	"0"	"513"	"0"
"39"	"24"	"201"	"25"	"69"	"112"	"20"	"6"	"11"	"29"	"473"	"0"	"473"	"0"
"40"	"25"	"238"	"22"	"186"	"81"	"10"	"10"	"9"	"14"	"570"	"0"	"570"	"0"
"41"	"26"	"227"	"21"	"204"	"39"	"4"	"11"	"10"	"21"	"537"	"0"	"537"	"0"
"42"	"27"	"218"	"15"	"115"	"16"	"5"	"4"	"6"	"18"	"397"	"0"	"397"	"0"
"43"	"28"	"481"	"7"	"27"	"11"	"2"	"0"	"4"	"9"	"541"	"0"	"541"	"0"
"44"	"Round
Total"	"3116"	"293"	"1860"	"893"	"119"	"81"	"130"	"206"	"6698"	"0"	"6698"	"0"
"45"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Total No.of Electores in Assembly Constituency -194010                                                  Round No.-3"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"50"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"51"	"29"	"100"	"19"	"114"	"97"	"7"	"8"	"18"	"23"	"386"	"0"	"386"	"0"
"52"	"30"	"90"	"8"	"251"	"26"	"14"	"5"	"6"	"17"	"417"	"0"	"417"	"0"
"53"	"31"	"349"	"13"	"115"	"15"	"4"	"6"	"2"	"22"	"526"	"0"	"526"	"0"
"54"	"32"	"110"	"10"	"29"	"8"	"7"	"1"	"1"	"15"	"181"	"0"	"181"	"0"
"55"	"33"	"97"	"7"	"186"	"91"	"4"	"2"	"4"	"3"	"394"	"0"	"394"	"0"
"56"	"34"	"569"	"6"	"18"	"39"	"2"	"0"	"0"	"3"	"637"	"0"	"637"	"0"
"57"	"35"	"577"	"13"	"24"	"129"	"2"	"0"	"2"	"7"	"754"	"0"	"754"	"0"
"58"	"36"	"246"	"3"	"59"	"10"	"2"	"0"	"0"	"5"	"325"	"0"	"325"	"0"
"59"	"37"	"253"	"21"	"61"	"65"	"1"	"2"	"9"	"15"	"427"	"0"	"427"	"0"
"60"	"38"	"338"	"9"	"40"	"59"	"3"	"0"	"6"	"5"	"460"	"0"	"460"	"0"
"61"	"39"	"473"	"12"	"9"	"94"	"1"	"4"	"6"	"16"	"615"	"0"	"615"	"0"
"62"	"40"	"166"	"24"	"38"	"26"	"4"	"2"	"6"	"14"	"280"	"0"	"280"	"0"
"63"	"41"	"419"	"16"	"22"	"82"	"2"	"1"	"7"	"7"	"556"	"0"	"556"	"0"
"64"	"42"	"329"	"3"	"27"	"28"	"0"	"0"	"1"	"3"	"391"	"0"	"391"	"0"
"65"	"Round
Total"	"4116"	"164"	"993"	"769"	"53"	"31"	"68"	"155"	"6349"	"0"	"6349"	"0"
"66"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Total No.of Electores in Assembly Constituency- 194010                                                  Round No.-4"	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"71"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"72"	"43"	"448"	"47"	"25"	"21"	"5"	"3"	"3"	"25"	"577"	"0"	"577"	"0"
"73"	"44"	"536"	"32"	"32"	"17"	"4"	"3"	"8"	"37"	"669"	"0"	"669"	"0"
"74"	"45"	"52"	"11"	"94"	"90"	"6"	"4"	"10"	"14"	"281"	"0"	"281"	"0"
"75"	"46"	"48"	"5"	"70"	"73"	"3"	"1"	"9"	"5"	"214"	"0"	"214"	"0"
"76"	"47"	"549"	"9"	"56"	"28"	"3"	"0"	"8"	"7"	"660"	"0"	"660"	"0"
"77"	"48"	"371"	"18"	"144"	"98"	"3"	"4"	"2"	"17"	"657"	"0"	"657"	"0"
"78"	"49"	"145"	"2"	"160"	"65"	"5"	"3"	"0"	"6"	"386"	"0"	"386"	"0"
"79"	"50"	"146"	"79"	"104"	"76"	"6"	"6"	"5"	"8"	"430"	"0"	"430"	"0"
"80"	"51"	"111"	"15"	"194"	"42"	"9"	"8"	"8"	"5"	"392"	"0"	"392"	"0"
"81"	"52"	"179"	"7"	"186"	"27"	"3"	"4"	"4"	"1"	"411"	"0"	"411"	"0"
"82"	"53"	"178"	"9"	"332"	"54"	"8"	"6"	"14"	"16"	"617"	"0"	"617"	"0"
"83"	"54"	"113"	"5"	"2"	"13"	"0"	"0"	"5"	"2"	"140"	"0"	"140"	"0"
"84"	"55"	"92"	"10"	"147"	"42"	"3"	"3"	"7"	"8"	"312"	"0"	"312"	"0"
"85"	"56"	"155"	"16"	"127"	"277"	"21"	"2"	"25"	"17"	"640"	"0"	"640"	"0"
"86"	"Round
Total"	"3123"	"265"	"1673"	"923"	"79"	"47"	"108"	"168"	"6386"	"0"	"6386"	"0"
"87"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No. 5"	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"92"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"93"	"57"	"191"	"4"	"207"	"19"	"2"	"3"	"0"	"7"	"433"	"0"	"433"	"0"
"94"	"58"	"189"	"5"	"193"	"42"	"4"	"3"	"3"	"6"	"445"	"0"	"445"	"0"
"95"	"59"	"28"	"19"	"189"	"59"	"3"	"1"	"2"	"1"	"302"	"0"	"302"	"0"
"96"	"60"	"154"	"9"	"29"	"84"	"3"	"6"	"22"	"5"	"312"	"0"	"312"	"0"
"97"	"61"	"136"	"21"	"131"	"114"	"13"	"3"	"17"	"13"	"448"	"0"	"448"	"0"
"98"	"62"	"154"	"18"	"70"	"33"	"10"	"1"	"17"	"7"	"310"	"0"	"310"	"0"
"99"	"63"	"209"	"3"	"90"	"54"	"2"	"2"	"6"	"3"	"369"	"0"	"369"	"0"
"100"	"64"	"249"	"13"	"34"	"22"	"2"	"1"	"2"	"7"	"330"	"0"	"330"	"0"
"101"	"65"	"136"	"18"	"160"	"30"	"5"	"8"	"9"	"33"	"399"	"0"	"399"	"0"
"102"	"66"	"524"	"6"	"25"	"25"	"5"	"2"	"6"	"11"	"604"	"0"	"604"	"0"
"103"	"67"	"37"	"1"	"131"	"51"	"6"	"3"	"5"	"7"	"241"	"0"	"241"	"0"
"104"	"68"	"152"	"20"	"203"	"155"	"16"	"11"	"24"	"20"	"601"	"0"	"601"	"0"
"105"	"69"	"207"	"26"	"197"	"78"	"7"	"16"	"11"	"40"	"582"	"0"	"582"	"0"
"106"	"70"	"223"	"16"	"345"	"119"	"14"	"11"	"24"	"32"	"784"	"0"	"784"	"0"
"107"	"Round
Total"	"2589"	"179"	"2004"	"885"	"92"	"71"	"148"	"192"	"6160"	"0"	"6160"	"0"
"108"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Total No.of Electores in Assembly Constituency - 194010                                                 Round No. 6"	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"113"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"114"	"71"	"168"	"11"	"309"	"26"	"4"	"1"	"7"	"3"	"529"	"0"	"529"	"0"
"115"	"72"	"204"	"18"	"239"	"89"	"12"	"8"	"12"	"35"	"617"	"0"	"617"	"0"
"116"	"73"	"210"	"19"	"261"	"68"	"10"	"5"	"6"	"6"	"585"	"0"	"585"	"0"
"117"	"74"	"103"	"10"	"232"	"113"	"13"	"9"	"17"	"21"	"518"	"0"	"518"	"0"
"118"	"75"	"131"	"12"	"175"	"84"	"12"	"7"	"18"	"12"	"451"	"0"	"451"	"0"
"119"	"76"	"48"	"11"	"160"	"16"	"6"	"2"	"1"	"7"	"251"	"0"	"251"	"0"
"120"	"77"	"150"	"15"	"328"	"31"	"13"	"11"	"9"	"32"	"589"	"0"	"589"	"0"
"121"	"78"	"254"	"16"	"178"	"61"	"15"	"15"	"17"	"35"	"591"	"0"	"591"	"0"
"122"	"79"	"14"	"5"	"109"	"78"	"2"	"0"	"6"	"5"	"219"	"0"	"219"	"0"
"123"	"80"	"412"	"22"	"39"	"22"	"6"	"7"	"5"	"17"	"530"	"0"	"530"	"0"
"124"	"81"	"260"	"9"	"51"	"13"	"1"	"2"	"3"	"2"	"341"	"0"	"341"	"0"
"125"	"82"	"208"	"7"	"77"	"110"	"3"	"2"	"1"	"8"	"416"	"0"	"416"	"0"
"126"	"83"	"460"	"30"	"59"	"26"	"8"	"8"	"9"	"24"	"624"	"0"	"624"	"0"
"127"	"84"	"22"	"13"	"328"	"43"	"5"	"7"	"8"	"17"	"443"	"0"	"443"	"0"
"128"	"Round
Total"	"2644"	"198"	"2545"	"780"	"110"	"84"	"119"	"224"	"6704"	"0"	"6704"	"0"
"129"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No. 7"	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"134"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"135"	"85"	"45"	"3"	"89"	"7"	"0"	"2"	"2"	"3"	"151"	"0"	"151"	"0"
"136"	"86"	"69"	"3"	"223"	"41"	"3"	"1"	"3"	"9"	"352"	"0"	"352"	"0"
"137"	"87"	"214"	"25"	"243"	"38"	"6"	"7"	"4"	"10"	"547"	"0"	"547"	"0"
"138"	"88"	"47"	"1"	"225"	"13"	"0"	"2"	"2"	"1"	"291"	"0"	"291"	"0"
"139"	"89"	"174"	"7"	"89"	"174"	"4"	"3"	"1"	"3"	"455"	"0"	"455"	"0"
"140"	"90"	"182"	"17"	"128"	"90"	"4"	"3"	"10"	"3"	"437"	"0"	"437"	"0"
"141"	"91"	"312"	"3"	"38"	"48"	"0"	"0"	"0"	"2"	"403"	"0"	"403"	"0"
"142"	"92"	"51"	"2"	"281"	"40"	"2"	"2"	"1"	"1"	"380"	"0"	"380"	"0"
"143"	"93"	"309"	"26"	"277"	"39"	"12"	"6"	"8"	"14"	"691"	"0"	"691"	"0"
"144"	"94"	"92"	"2"	"262"	"12"	"1"	"3"	"1"	"4"	"377"	"0"	"377"	"0"
"145"	"95"	"150"	"16"	"110"	"159"	"21"	"10"	"13"	"26"	"505"	"0"	"505"	"0"
"146"	"96"	"55"	"5"	"347"	"12"	"1"	"1"	"0"	"1"	"422"	"0"	"422"	"0"
"147"	"97"	"102"	"10"	"355"	"64"	"5"	"2"	"7"	"9"	"554"	"0"	"554"	"0"
"148"	"98"	"84"	"7"	"254"	"18"	"3"	"2"	"6"	"11"	"385"	"0"	"385"	"0"
"149"	"Round
Total"	"1886"	"127"	"2921"	"755"	"62"	"44"	"58"	"97"	"5950"	"0"	"5950"	"0"
"150"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-8"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"155"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"156"	"99"	"98"	"5"	"379"	"7"	"1"	"3"	"0"	"5"	"498"	"0"	"498"	"0"
"157"	"100"	"70"	"10"	"339"	"35"	"4"	"8"	"8"	"13"	"487"	"0"	"487"	"0"
"158"	"101"	"268"	"11"	"42"	"110"	"5"	"2"	"8"	"13"	"459"	"0"	"459"	"0"
"159"	"102"	"20"	"1"	"98"	"1"	"2"	"2"	"5"	"10"	"139"	"0"	"139"	"0"
"160"	"103"	"57"	"8"	"214"	"82"	"6"	"1"	"3"	"3"	"374"	"0"	"374"	"0"
"161"	"104"	"124"	"1"	"44"	"83"	"0"	"0"	"2"	"1"	"255"	"0"	"255"	"0"
"162"	"105"	"53"	"4"	"473"	"20"	"3"	"4"	"4"	"3"	"564"	"0"	"564"	"0"
"163"	"106"	"183"	"2"	"399"	"22"	"4"	"2"	"0"	"9"	"621"	"0"	"621"	"0"
"164"	"107"	"66"	"4"	"277"	"14"	"1"	"4"	"2"	"5"	"373"	"0"	"373"	"0"
"165"	"108"	"194"	"3"	"125"	"28"	"1"	"2"	"5"	"9"	"367"	"0"	"367"	"0"
"166"	"109"	"65"	"7"	"447"	"18"	"0"	"7"	"0"	"3"	"547"	"0"	"547"	"0"
"167"	"110"	"73"	"5"	"286"	"6"	"2"	"4"	"4"	"6"	"386"	"0"	"386"	"0"
"168"	"111"	"105"	"1"	"191"	"12"	"1"	"5"	"0"	"3"	"318"	"0"	"318"	"0"
"169"	"112"	"126"	"6"	"285"	"16"	"2"	"2"	"2"	"7"	"446"	"0"	"446"	"0"
"170"	"Round
Total"	"1502"	"68"	"3599"	"454"	"32"	"46"	"43"	"90"	"5834"	"0"	"5834"	"0"
"171"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-9"	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"176"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"177"	"113"	"247"	"4"	"72"	"46"	"0"	"0"	"1"	"2"	"372"	"0"	"372"	"0"
"178"	"114"	"351"	"7"	"187"	"53"	"6"	"1"	"6"	"5"	"616"	"0"	"616"	"0"
"179"	"115"	"251"	"12"	"11"	"89"	"3"	"2"	"3"	"11"	"382"	"0"	"382"	"0"
"180"	"116"	"268"	"5"	"15"	"73"	"1"	"4"	"0"	"4"	"370"	"0"	"370"	"0"
"181"	"117"	"34"	"0"	"189"	"18"	"3"	"7"	"2"	"5"	"258"	"0"	"258"	"0"
"182"	"118"	"60"	"1"	"162"	"17"	"1"	"0"	"1"	"3"	"245"	"0"	"245"	"0"
"183"	"119"	"244"	"18"	"108"	"98"	"2"	"2"	"3"	"5"	"480"	"0"	"480"	"0"
"184"	"120"	"63"	"6"	"207"	"27"	"1"	"4"	"4"	"8"	"320"	"0"	"320"	"0"
"185"	"121"	"29"	"4"	"82"	"8"	"2"	"2"	"1"	"6"	"134"	"0"	"134"	"0"
"186"	"122"	"122"	"9"	"222"	"53"	"0"	"2"	"4"	"15"	"427"	"0"	"427"	"0"
"187"	"123"	"159"	"12"	"240"	"57"	"8"	"4"	"11"	"32"	"523"	"0"	"523"	"0"
"188"	"124"	"237"	"7"	"30"	"70"	"10"	"9"	"8"	"66"	"437"	"0"	"437"	"0"
"189"	"125"	"175"	"4"	"37"	"58"	"2"	"4"	"1"	"3"	"284"	"0"	"284"	"0"
"190"	"126"	"211"	"2"	"171"	"16"	"0"	"2"	"2"	"4"	"408"	"0"	"408"	"0"
"191"	"Round
Total"	"2451"	"91"	"1733"	"683"	"39"	"43"	"47"	"169"	"5256"	"0"	"5256"	"0"
"192"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Total No.of Electores in Assembly Constituency - 194010                                                  Round No.-10"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"197"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"198"	"127"	"151"	"6"	"56"	"51"	"3"	"2"	"2"	"9"	"280"	"0"	"280"	"0"
"199"	"128"	"167"	"2"	"63"	"27"	"3"	"2"	"2"	"7"	"273"	"0"	"273"	"0"
"200"	"129"	"169"	"7"	"90"	"105"	"3"	"0"	"4"	"2"	"380"	"0"	"380"	"0"
"201"	"130"	"100"	"4"	"237"	"13"	"5"	"4"	"3"	"14"	"380"	"0"	"380"	"0"
"202"	"131"	"81"	"6"	"283"	"19"	"8"	"4"	"6"	"19"	"426"	"0"	"426"	"0"
"203"	"132"	"64"	"0"	"137"	"20"	"0"	"0"	"1"	"2"	"224"	"0"	"224"	"0"
"204"	"133"	"155"	"8"	"229"	"7"	"4"	"1"	"1"	"7"	"412"	"0"	"412"	"0"
"205"	"134"	"186"	"6"	"61"	"31"	"4"	"4"	"1"	"1"	"294"	"0"	"294"	"0"
"206"	"135"	"173"	"6"	"188"	"42"	"4"	"7"	"5"	"11"	"436"	"0"	"436"	"0"
"207"	"136"	"243"	"8"	"81"	"34"	"6"	"1"	"3"	"4"	"380"	"0"	"380"	"0"
"208"	"137"	"79"	"5"	"220"	"19"	"4"	"2"	"2"	"7"	"338"	"0"	"338"	"0"
"209"	"138"	"201"	"13"	"28"	"38"	"0"	"1"	"1"	"2"	"284"	"0"	"284"	"0"
"210"	"139"	"228"	"3"	"36"	"4"	"1"	"0"	"1"	"2"	"275"	"0"	"275"	"0"
"211"	"140"	"149"	"2"	"103"	"52"	"6"	"5"	"4"	"15"	"336"	"0"	"336"	"0"
"212"	"Round
Total"	"2146"	"76"	"1812"	"462"	"51"	"33"	"36"	"102"	"4718"	"0"	"4718"	"0"
"213"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
