"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Tender.ed.Votes"
"90"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"91"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"93"	"57"	"izkFkfed fo|ky; ,dlkjh ch?kk"	"16"	"18"	"37"	"3"	"7"	"1"	"12"	"246"	"8"	"132"	"4"	"10"	"494"	""
"94"	"58"	"izkFkfed fo|ky; rjNk"	"11"	"237"	"334"	"16"	"6"	"2"	"17"	"20"	"9"	"9"	"5"	"16"	"682"	""
"95"	"59"	"izk0 fo0 [kkaM+ ij ¼iw0 Hkkx½"	"10"	"282"	"35"	"35"	"7"	"3"	"47"	"7"	"22"	"5"	"7"	"4"	"464"	""
"96"	"60"	"izk0 fo0 [kkaM+ ij ¼i0 Hkkx½"	"8"	"683"	"100"	"15"	"3"	"2"	"35"	"2"	"8"	"4"	"2"	"3"	"865"	""
"97"	"61"	"izkFkfed fo|ky; gluxat"	"1"	"280"	"53"	"10"	"2"	"1"	"17"	"2"	"4"	"7"	"0"	"1"	"378"	""
"98"	"62"	"gfjtu lk0 Hkou egknso uxj"	"17"	"21"	"232"	"7"	"6"	"3"	"17"	"334"	"2"	"17"	"2"	"7"	"665"	""
"99"	"63"	"g0 lk0 Hkou pdnhoku ¼nk;k Hkkx½"	"12"	"14"	"329"	"5"	"4"	"1"	"2"	"11"	"4"	"25"	"2"	"12"	"421"	""
"100"	"64"	"g0 lk0 Hkou pdnhoku ¼ok;k¡ Hkkx½"	"2"	"3"	"145"	"3"	"0"	"0"	"6"	"25"	"12"	"76"	"9"	"34"	"315"	""
"101"	"65"	"gfjtu izk0 fo0] dVjk ¼m0 Hkkx½"	"14"	"48"	"260"	"3"	"3"	"4"	"11"	"39"	"2"	"24"	"7"	"11"	"426"	""
"102"	"65 d"	"gfjtu izk0 fo0] dVjk ¼fu0 Hkk0½"	"4"	"63"	"221"	"6"	"3"	"5"	"18"	"53"	"0"	"44"	"0"	"4"	"421"	""
"103"	"66"	"izkFkfed fo|ky;] csyNh vuqlwfpr
tkfr Vksyk"	"13"	"50"	"226"	"21"	"1"	"2"	"4"	"4"	"3"	"20"	"2"	"12"	"358"	""
"104"	"67"	"iqLrdky; Hkou] csyNh"	"5"	"34"	"198"	"4"	"1"	"1"	"5"	"75"	"2"	"22"	"5"	"10"	"362"	""
"105"	"Total No. of votes recorded at Polling Stations"	""	"113"	"1733"	"2170"	"128"	"43"	"25"	"191"	"818"	"76"	"385"	"45"	"124"	"5851"	"0"
"106"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"109"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"111"	"68"	"izkFkfed fo|ky; Hkou] HkkstMhg"	"46"	"182"	"198"	"14"	"12"	"9"	"23"	"24"	"11"	"9"	"4"	"12"	"544"	""
"112"	"69"	"izkFkfed fo|ky;] eudkSy"	"2"	"428"	"16"	"9"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"7"	"467"	""
"113"	"70"	"mRØfer e/; fo|ky;] luS;k"	"5"	"181"	"139"	"10"	"5"	"3"	"72"	"3"	"5"	"7"	"4"	"7"	"441"	""
"114"	"71"	"vuw0 tkfr leqnkf;d Hkou] luS;k"	"73"	"34"	"28"	"2"	"1"	"2"	"90"	"5"	"1"	"2"	"0"	"3"	"241"	""
"115"	"72"	"e/; fo|ky;] gqlSukckn"	"7"	"473"	"35"	"5"	"0"	"0"	"16"	"1"	"2"	"0"	"3"	"1"	"543"	""
"116"	"73"	"lkoZtfud iqLrdky;] gqlSukckn"	"8"	"181"	"84"	"5"	"3"	"1"	"31"	"6"	"3"	"2"	"1"	"6"	"331"	""
"117"	"74"	"jktLo rglhy dpgjh] gqlSukckn"	"0"	"469"	"20"	"1"	"0"	"0"	"4"	"4"	"2"	"1"	"0"	"0"	"501"	""
"118"	"75"	"e/; fo|ky;] uohuxj ddjkM+"	"22"	"167"	"115"	"14"	"5"	"0"	"16"	"109"	"10"	"13"	"6"	"19"	"496"	""
"119"	"76"	"e/; fo|ky;] uohuxj ddjkM+"	"2"	"96"	"28"	"4"	"0"	"1"	"1"	"94"	"9"	"2"	"2"	"4"	"243"	""
"120"	"77"	"izkFkfed fo|ky;] /kudkSy"	"19"	"197"	"35"	"13"	"2"	"6"	"30"	"31"	"10"	"126"	"11"	"17"	"497"	""
"121"	"78"	"mPp fo|ky;] ,sQuh"	"6"	"50"	"5"	"2"	"4"	"10"	"327"	"13"	"8"	"5"	"6"	"9"	"445"	""
"122"	"79"	"iapk;r Hkou] ,sQuh"	"0"	"1"	"0"	"0"	"0"	"0"	"382"	"5"	"1"	"9"	"0"	"0"	"398"	""
"123"	"Total No. of votes recorded at Polling Stations"	""	"190"	"2459"	"703"	"79"	"32"	"32"	"993"	"295"	"66"	"176"	"37"	"85"	"5147"	"0"
"124"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"127"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"129"	"80"	"izkFkfed fo|ky;] deych?kk"	"4"	"893"	"9"	"2"	"0"	"1"	"4"	"1"	"0"	"1"	"1"	"0"	"916"	""
"130"	"81"	"izkFkfed fo|ky;] yVduk"	"5"	"43"	"19"	"1"	"0"	"5"	"5"	"26"	"4"	"157"	"2"	"4"	"271"	""
"131"	"82"	"e/; fo|ky; dlkj"	"10"	"330"	"52"	"14"	"6"	"3"	"6"	"8"	"22"	"15"	"22"	"40"	"528"	""
"132"	"83"	"izkFkfed fo|ky;] csygkjh"	"1"	"395"	"18"	"1"	"0"	"1"	"14"	"11"	"0"	"7"	"0"	"0"	"448"	""
"133"	"84"	"dU;k mPp fo|ky;] dlkj"	"9"	"380"	"193"	"23"	"4"	"2"	"2"	"9"	"11"	"7"	"11"	"12"	"663"	""
"134"	"85"	"e/; fo|ky;] llcguk"	"18"	"671"	"12"	"6"	"2"	"6"	"1"	"3"	"7"	"3"	"7"	"8"	"744"	""
"135"	"86"	"e/; fo|ky;] ?kqldqjh ¼iwohZ Hkkx½"	"0"	"11"	"2"	"0"	"0"	"2"	"464"	"0"	"1"	"0"	"1"	"9"	"490"	""
"136"	"87"	"e/; fo|ky;] ?kqldqjh ¼if'pe Hkkx½"	"1"	"1"	"2"	"0"	"0"	"0"	"442"	"0"	"0"	"1"	"0"	"2"	"449"	""
"137"	"88"	"izk0 fo0 o`Unkou"	"17"	"64"	"49"	"8"	"3"	"1"	"1"	"19"	"6"	"5"	"5"	"7"	"185"	""
"138"	"89"	"izkFkfed fo|ky;] pk¡nh"	"38"	"442"	"25"	"15"	"7"	"3"	"12"	"57"	"10"	"5"	"6"	"10"	"630"	""
"139"	"90"	"izkFkfed fo|ky;] djdh"	"85"	"64"	"164"	"6"	"0"	"1"	"9"	"104"	"1"	"43"	"1"	"13"	"491"	""
"140"	"91"	"lkeqnkf;d Hkou] mljh"	"15"	"146"	"54"	"7"	"4"	"1"	"24"	"54"	"12"	"3"	"5"	"8"	"333"	""
"141"	"Total No. of votes recorded at Polling Stations"	""	"203"	"3440"	"599"	"83"	"26"	"26"	"984"	"292"	"74"	"247"	"61"	"113"	"6148"	"0"
"142"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"145"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"147"	"92"	"izk0 fo0 Hkou] dekyiqj ¼jsmrk½"	"4"	"89"	"50"	"8"	"6"	"0"	"14"	"5"	"7"	"84"	"3"	"12"	"282"	""
"148"	"93"	"izkFkfed fo|ky;] vfj;jh"	"19"	"81"	"133"	"13"	"4"	"2"	"10"	"16"	"4"	"51"	"3"	"8"	"344"	""
"149"	"94"	"izkFkfed fo|ky;] Mygj"	"66"	"115"	"37"	"2"	"2"	"2"	"1"	"24"	"7"	"8"	"2"	"3"	"269"	""
"150"	"95"	"e/; fo|ky;] foeku"	"12"	"154"	"175"	"9"	"4"	"1"	"6"	"11"	"2"	"3"	"3"	"13"	"393"	""
"151"	"96"	"izkFkfed fo|ky;] jkeiqj ¼fgUnh½"	"15"	"50"	"124"	"8"	"0"	"10"	"4"	"39"	"5"	"47"	"4"	"8"	"314"	""
"152"	"97"	"e/; fo|ky;] Mhgk"	"3"	"77"	"212"	"12"	"8"	"0"	"2"	"4"	"9"	"52"	"3"	"19"	"401"	""
"153"	"98"	"izkFkfed fo|ky;] Mhgk"	"6"	"179"	"40"	"9"	"2"	"3"	"48"	"1"	"5"	"2"	"5"	"5"	"305"	""
"154"	"99"	"iz[kaM dk;kZy; Hkou] vfj;jh"	"42"	"55"	"160"	"7"	"5"	"3"	"107"	"46"	"10"	"60"	"9"	"9"	"513"	""
"155"	"100"	"izkFkfed fo|ky;] cSdBiqj"	"56"	"118"	"48"	"9"	"3"	"12"	"371"	"16"	"6"	"27"	"8"	"15"	"689"	""
