"PS.NO"	"PREM.CHANDRA.BAITHA"	"RAMAI.RAM"	"SHIV.NATH.CHOUDHARY"	"AWDHESH.PASWAN"	"MANOJ.KUMAR.RAM"	"SHIV.NATH.PASWAN"	"ANJU.PRABHA"	"MANJEY.LAL.RAJAK"	"RAVI.SHANKAR.PASWAN"	"SAKHI.CHAN.PASWAN"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"50"	49	12	217	207	34	2	0	1	13	6	11	-503	""	""
"51"	50	29	352	146	25	12	5	5	13	5	10	-602	""	""
"52"	51	18	235	120	32	6	5	5	10	7	14	-452	""	""
"53"	52	5	158	78	20	8	1	4	2	3	11	-290	""	""
"54"	53	18	398	251	41	1	2	7	19	8	9	-754	""	""
"55"	54	8	367	89	28	2	0	2	3	4	5	-508	""	""
"56"	55	32	257	175	64	35	6	3	11	12	25	-620	""	""
"57"	56	37	170	143	89	13	9	9	11	9	6	-496	""	""
"58"	57	15	187	323	56	14	6	10	11	10	6	-638	""	""
"59"	58	19	221	148	30	7	2	14	9	3	7	-460	""	""
"60"	59	16	331	97	6	2	4	1	4	1	4	-466	""	""
"61"	60	25	170	369	36	6	7	9	23	23	18	-686	""	""
"62"	61	24	187	362	33	6	4	8	14	17	16	-671	""	""
"63"	62	7	241	164	41	4	2	1	9	9	4	-482	""	""
"64"	63	9	133	257	48	3	2	4	3	1	6	-466	""	""
"65"	64	10	113	139	8	4	2	1	5	4	2	-288	""	""
"66"	65	23	234	173	20	5	2	4	3	7	10	-481	""	""
"67"	66	28	416	222	55	11	4	7	13	8	21	-785	""	""
"68"	67	5	644	38	33	0	2	1	2	0	6	-731	""	""
"69"	68	26	280	221	102	10	3	10	21	18	16	-707	""	""
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"71"	69	25	94	342	64	5	3	9	8	9	22	-581	""	""
"72"	70	8	34	291	13	4	0	5	21	12	15	-403	""	""
"73"	71	19	145	235	29	7	18	3	16	12	19	-503	""	""
"74"	72	20	209	266	49	7	1	5	7	8	13	-585	""	""
"75"	73	12	96	151	31	1	1	3	9	4	5	-313	""	""
"76"	74	24	326	193	18	13	5	11	7	14	21	-632	""	""
"77"	75	21	232	283	38	6	5	7	11	12	22	-637	""	""
"78"	76	30	422	145	12	4	3	0	12	9	17	-654	""	""
"79"	77	7	87	109	4	2	1	1	3	6	5	-225	""	""
"80"	78	7	101	332	12	9	4	0	14	3	1	-483	""	""
"81"	79	27	257	154	16	6	6	4	10	4	4	-488	""	""
"82"	80	34	240	94	44	8	5	9	10	10	23	-477	""	""
"83"	81	12	276	64	24	5	0	6	7	9	26	-429	""	""
"84"	82	20	286	200	8	28	6	7	12	20	34	-621	""	""
"85"	83	55	361	112	33	9	8	6	18	4	11	-617	""	""
"86"	84	17	249	250	49	14	8	8	9	10	16	-630	""	""
"87"	85	25	209	276	19	3	6	10	19	19	20	-606	""	""
"88"	86	21	276	250	12	8	1	3	15	14	9	-609	""	""
"89"	87	11	186	87	33	16	4	1	3	2	14	-357	""	""
"90"	88	28	221	58	71	6	5	8	9	10	20	-436	""	""
"91"	89	14	64	76	160	4	4	8	10	4	10	-354	""	""
"92"	90	10	341	77	18	2	2	4	4	6	6	-470	""	""
"93"	91	5	95	118	6	5	2	0	6	6	8	-251	""	""
"94"	92	22	250	35	2	10	3	3	5	7	12	-349	""	""
"95"	93	25	424	61	77	6	8	11	6	8	13	-639	""	""
"96"	94	19	102	69	26	117	21	14	15	12	24	-419	""	""
"97"	95	31	92	76	9	72	6	13	8	8	10	-325	""	""
"98"	96	34	47	77	62	126	19	5	12	9	19	-410	""	""
"99"	97	8	104	83	72	146	34	33	25	29	50	-584	""	""
"100"	98	13	26	102	45	96	10	14	14	7	20	-347	""	""
"101"	99	25	93	82	70	78	10	15	13	7	15	-408	""	""
"102"	100	1	347	21	1	5	0	1	1	0	0	-377	""	""
"103"	101	30	408	50	72	28	12	8	4	7	12	-631	""	""
"104"	102	28	383	39	31	3	38	3	5	11	6	-547	""	""
"105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"106"	103	16	231	37	12	6	107	11	7	11	34	-472	""	""
"107"	104	10	48	214	126	14	3	7	16	8	11	-457	""	""
"108"	105	27	206	84	8	3	1	5	8	14	25	-381	""	""
"109"	106	11	106	64	48	9	2	8	9	2	7	-266	""	""
"110"	107	22	286	171	85	14	15	24	20	15	24	-676	""	""
"111"	108	7	117	153	8	12	3	3	12	1	12	-328	""	""
"112"	109	17	404	55	17	2	10	5	1	8	5	-524	""	""
"113"	110	1	542	12	22	4	4	2	0	2	1	-590	""	""
"114"	111	24	449	66	47	45	13	13	7	15	18	-697	""	""
"115"	112	32	429	132	9	16	6	5	14	9	27	-679	""	""
"116"	113	20	236	117	11	16	4	8	11	15	21	-459	""	""
"117"	114	17	285	127	62	6	12	7	11	3	5	-535	""	""
"118"	115	42	268	303	26	10	10	19	20	15	32	-745	""	""
"119"	116	22	130	154	132	14	5	13	11	6	13	-500	""	""
"120"	117	14	155	319	8	23	1	5	12	5	12	-554	""	""
"121"	118	31	157	164	47	95	9	11	13	11	11	-549	""	""
"122"	119	38	252	171	19	7	2	8	22	16	18	-553	""	""
"123"	120	24	123	354	16	5	3	9	22	13	16	-585	""	""
"124"	121	25	159	358	47	8	3	7	11	10	2	-630	""	""
"125"	122	24	272	312	37	26	12	27	22	33	27	-792	""	""
"126"	123	37	213	243	14	10	9	12	33	34	42	-647	""	""
"127"	124	27	264	212	33	15	9	9	7	16	29	-621	""	""
"128"	125	26	297	107	44	17	23	7	14	9	8	-552	""	""
"129"	126	32	104	103	87	72	8	5	3	1	11	-426	""	""
"130"	127	49	260	148	163	32	9	18	9	10	16	-714	""	""
"131"	128	41	248	170	121	13	5	9	10	5	11	-633	""	""
"132"	129	5	469	95	20	1	2	4	0	3	2	-601	""	""
"133"	130	40	485	46	2	3	13	6	2	7	11	-615	""	""
"134"	131	10	159	118	172	4	7	8	10	6	6	-500	""	""
"135"	132	13	631	37	19	1	5	2	1	3	6	-718	""	""
"136"	133	26	216	122	128	8	9	12	6	13	31	-571	""	""
"137"	134	12	265	15	170	1	14	6	2	0	2	-487	""	""
"138"	135	7	444	51	6	0	7	1	1	1	3	-521	""	""
"139"	136	26	442	42	53	7	7	11	3	9	14	-614	""	""
"140"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"141"	137	25	237	141	87	73	16	NA	14	27	44	-685	""	""
"142"	138	19	230	159	49	8	2	NA	12	4	10	-495	""	""
"143"	139	5	172	75	29	30	2	NA	5	6	11	-337	""	""
"144"	140	13	166	245	88	23	9	NA	9	6	12	-584	""	""
"145"	141	16	128	163	86	8	3	9	14	8	21	-456	""	""
"146"	142	16	317	129	85	4	1	8	12	12	21	-605	""	""
"147"	143	17	111	334	111	12	2	8	20	7	8	-630	""	""
"148"	144	10	160	112	5	11	2	0	3	4	6	-313	""	""
"149"	145	23	250	58	134	11	7	29	5	14	14	-545	""	""
"150"	146	16	154	38	112	10	1	6	3	3	4	-347	""	""
"151"	147	23	171	44	168	20	10	18	8	9	10	-481	""	""
"152"	148	10	370	74	32	17	5	7	14	10	14	-553	""	""
"153"	149	33	276	71	242	45	22	27	18	18	61	-813	""	""
"154"	150	14	137	145	40	18	2	5	12	12	17	-402	""	""
"155"	151	15	238	222	58	28	2	13	11	9	25	-621	""	""
"156"	152	23	206	38	245	13	8	17	2	22	39	-613	""	""
"157"	153	57	230	87	184	12	11	28	10	7	21	-647	""	""
"158"	154	44	254	259	65	5	9	15	19	26	38	-734	""	""
"159"	155	28	273	118	29	12	9	12	10	16	48	-555	""	""
"160"	156	16	486	177	12	34	7	3	6	6	6	-753	""	""
"161"	157	21	252	81	20	11	1	3	1	2	13	-405	""	""
"162"	158	17	212	151	36	5	8	5	7	18	20	-479	""	""
"163"	159	17	204	118	5	0	2	7	4	1	9	-367	""	""
"164"	160	18	169	95	83	22	3	9	10	17	27	-453	""	""
"165"	161	12	114	118	60	10	6	11	10	13	12	-366	""	""
"166"	162	27	272	235	57	43	6	13	31	21	28	-733	""	""
"167"	163	22	129	287	95	46	7	13	13	15	31	-658	""	""
"168"	NA	6	62	63	82	8	5	7	6	2	5	-246	""	""
"169"	164	20	264	174	46	2	4	7	6	11	10	-544	""	""
"170"	165	15	194	145	43	5	2	3	8	0	5	-420	""	""
"171"	166	15	224	99	81	2	5	8	8	6	16	-464	""	""
"172"	167	24	237	305	33	4	6	12	16	17	19	-673	""	""
"173"	168	35	307	157	24	6	13	8	8	6	12	-576	""	""
"174"	169	20	183	60	211	15	4	16	3	4	13	-529	""	""
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"176"	170	13	94	193	147	11	5	19	9	9	14	-514	""	""
"177"	171	36	216	161	47	12	11	6	19	11	12	-531	""	""
"178"	172	18	198	146	71	9	8	9	14	15	18	-506	""	""
"179"	173	15	78	164	158	19	5	13	8	12	12	-484	""	""
"180"	174	25	188	95	17	22	5	5	8	13	27	-405	""	""
"181"	175	16	148	198	17	40	6	1	8	5	6	-445	""	""
"182"	176	27	185	122	33	5	6	7	5	7	7	-404	""	""
"183"	177	9	123	154	74	7	9	13	11	4	5	-409	""	""
"184"	178	16	191	177	38	4	1	5	7	2	6	-447	""	""
"185"	179	21	192	116	199	11	4	17	8	5	9	-582	""	""
"186"	180	22	504	78	13	6	3	6	4	16	21	-673	""	""
"187"	181	18	644	137	40	9	23	19	19	7	24	-940	""	""
"188"	182	15	562	153	51	10	4	8	19	13	20	-855	""	""
"189"	183	19	343	133	32	3	9	3	10	6	19	-577	""	""
"190"	184	18	134	144	77	9	2	5	9	8	9	-415	""	""
"191"	185	17	227	186	66	2	1	6	11	6	10	-532	""	""
"192"	186	53	364	118	58	3	8	8	10	5	13	-640	""	""
"193"	187	35	298	226	40	2	5	7	4	7	7	-631	""	""
"194"	188	11	285	127	28	7	1	6	4	13	12	-494	""	""
"195"	189	22	213	92	43	6	10	19	14	18	20	-457	""	""
"196"	190	11	243	189	12	7	10	7	21	13	14	-527	""	""
"197"	191	21	197	207	31	13	6	16	19	31	36	-577	""	""
"198"	192	48	282	168	50	14	7	20	28	14	21	-652	""	""
"199"	193	17	287	109	55	4	5	8	7	18	22	-532	""	""
"200"	194	17	177	85	32	3	4	4	3	11	22	-358	""	""
"201"	195	19	377	60	12	4	23	6	5	4	1	-511	""	""
"202"	196	25	325	294	19	6	5	3	14	3	9	-703	""	""
"203"	197	14	234	138	22	1	2	6	5	0	3	-425	""	""
"204"	198	18	201	145	14	5	4	1	12	10	11	-421	""	""
"205"	199	16	228	302	7	2	2	3	16	16	14	-606	""	""
"206"	200	28	260	149	33	5	4	9	9	13	11	-521	""	""
"207"	201	34	201	128	38	7	15	8	7	2	5	-445	""	""
"208"	202	10	257	51	49	3	2	2	4	4	6	-388	""	""
"209"	203	5	662	24	2	5	3	1	5	0	5	-712	""	""
"210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"211"	204	23	256	160	8	3	5	8	9	32	64	-568	""	""
"212"	205	0	402	11	2	0	0	0	0	0	0	-415	""	""
"213"	206	28	176	224	11	3	10	9	23	15	16	-515	""	""
"214"	207	16	288	68	27	4	6	0	5	8	12	-434	""	""
"215"	208	20	221	104	2	4	2	7	13	13	16	-402	""	""
"216"	209	11	278	63	70	5	3	8	3	14	12	-467	""	""
"217"	210	7	325	23	6	0	0	0	2	0	4	-367	""	""
"218"	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	""	""
"219"	212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	""	""
"220"	-112253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	112253	NA	NA	""	""
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	""	""
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	112254	NA	NA	""	""
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"225"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
