"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"73"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"74"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"75"	"57"	"73"	"363"	"10"	"103"	"15"	"9"	"8"	"6"	"16"	"603"	""	"603"	""
"76"	"58"	"51"	"345"	"11"	"12"	"5"	"3"	"6"	"96"	"9"	"538"	""	"538"	""
"77"	"59"	"93"	"146"	"8"	"53"	"4"	"4"	"11"	"126"	"30"	"475"	""	"475"	""
"78"	"60"	"64"	"256"	"12"	"43"	"14"	"10"	"9"	"12"	"11"	"431"	""	"431"	""
"79"	"61"	"90"	"125"	"11"	"148"	"21"	"10"	"16"	"15"	"21"	"457"	""	"457"	""
"80"	"62"	"115"	"119"	"7"	"104"	"7"	"8"	"11"	"9"	"23"	"403"	""	"403"	""
"81"	"63"	"299"	"110"	"7"	"73"	"8"	"7"	"12"	"12"	"41"	"569"	""	"569"	""
"82"	"64"	"135"	"126"	"9"	"36"	"36"	"4"	"16"	"7"	"14"	"383"	""	"383"	""
"83"	"65"	"145"	"143"	"5"	"20"	"18"	"7"	"9"	"13"	"16"	"376"	""	"376"	""
"84"	"66"	"180"	"262"	"13"	"89"	"3"	"8"	"7"	"4"	"6"	"572"	""	"572"	""
"85"	"67"	"83"	"140"	"24"	"12"	"3"	"2"	"2"	"7"	"21"	"294"	""	"294"	""
"86"	"68"	"180"	"224"	"28"	"17"	"21"	"5"	"7"	"5"	"17"	"504"	""	"504"	""
"87"	"69"	"149"	"299"	"15"	"27"	"37"	"10"	"7"	"52"	"21"	"617"	""	"617"	""
"88"	"70"	"28"	"759"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"795"	""	"795"	""
"89"	"Total Round 5"	"1685"	"3417"	"160"	"742"	"195"	"87"	"121"	"364"	"246"	"7017"	"0"	"7017"	"0"
"90"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"92"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"93"	"71"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"94"	"72"	"208"	"189"	"22"	"24"	"10"	"7"	"14"	"44"	"32"	"550"	""	"550"	""
"95"	"73"	"86"	"368"	"8"	"25"	"1"	"9"	"6"	"11"	"21"	"535"	""	"535"	""
"96"	"74"	"34"	"173"	"22"	"86"	"31"	"7"	"9"	"57"	"14"	"433"	""	"433"	""
"97"	"75"	"29"	"75"	"8"	"206"	"14"	"7"	"11"	"50"	"11"	"411"	""	"411"	""
"98"	"76"	"104"	"263"	"7"	"63"	"5"	"5"	"7"	"22"	"12"	"488"	""	"488"	""
"99"	"77"	"42"	"293"	"11"	"26"	"4"	"2"	"3"	"5"	"5"	"391"	""	"391"	""
"100"	"78"	"31"	"739"	"0"	"56"	"2"	"2"	"0"	"0"	"0"	"830"	""	"830"	""
"101"	"79"	"109"	"331"	"12"	"24"	"18"	"8"	"2"	"4"	"16"	"524"	""	"524"	""
"102"	"80"	"267"	"126"	"5"	"39"	"6"	"1"	"9"	"3"	"14"	"470"	""	"470"	""
"103"	"81"	"249"	"108"	"6"	"101"	"10"	"3"	"4"	"5"	"6"	"492"	""	"492"	""
"104"	"82"	"40"	"57"	"5"	"48"	"290"	"17"	"13"	"5"	"17"	"492"	""	"492"	""
"105"	"83"	"10"	"72"	"6"	"17"	"147"	"7"	"3"	"5"	"13"	"280"	""	"280"	""
"106"	"84"	"19"	"60"	"12"	"283"	"50"	"9"	"8"	"4"	"5"	"450"	""	"450"	""
"107"	"Total Round 6"	"1228"	"2854"	"124"	"998"	"588"	"84"	"89"	"215"	"166"	"6346"	"0"	"6346"	"0"
"108"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"109"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"111"	"85"	"39"	"228"	"9"	"75"	"34"	"6"	"2"	"25"	"5"	"423"	""	"423"	""
"112"	"86"	"51"	"226"	"12"	"49"	"26"	"9"	"9"	"29"	"9"	"420"	""	"420"	""
"113"	"87"	"18"	"187"	"5"	"5"	"15"	"3"	"2"	"1"	"3"	"239"	""	"239"	""
"114"	"88"	"13"	"104"	"7"	"177"	"11"	"8"	"3"	"4"	"2"	"329"	""	"329"	""
"115"	"89"	"105"	"357"	"13"	"20"	"107"	"8"	"6"	"13"	"18"	"647"	""	"647"	""
"116"	"90"	"78"	"239"	"11"	"17"	"53"	"2"	"1"	"1"	"3"	"405"	""	"405"	""
"117"	"91"	"36"	"167"	"3"	"13"	"12"	"10"	"3"	"18"	"18"	"280"	""	"280"	""
"118"	"92"	"78"	"169"	"7"	"31"	"34"	"5"	"1"	"4"	"9"	"338"	""	"338"	""
"119"	"93"	"246"	"116"	"39"	"15"	"78"	"9"	"5"	"5"	"17"	"530"	""	"530"	""
"120"	"94"	"50"	"193"	"8"	"74"	"51"	"4"	"5"	"25"	"5"	"415"	""	"415"	""
"121"	"95"	"37"	"123"	"14"	"436"	"32"	"15"	"12"	"4"	"27"	"700"	""	"700"	""
"122"	"96"	"37"	"30"	"9"	"256"	"14"	"20"	"9"	"9"	"17"	"401"	""	"401"	""
"123"	"97"	"39"	"22"	"4"	"436"	"14"	"4"	"19"	"4"	"5"	"547"	""	"547"	""
"124"	"98"	"95"	"159"	"12"	"124"	"71"	"16"	"7"	"9"	"23"	"516"	""	"516"	""
"125"	"Total Round 7"	"922"	"2320"	"153"	"1728"	"552"	"119"	"84"	"151"	"161"	"6190"	"0"	"6190"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"129"	"99"	"72"	"184"	"10"	"30"	"44"	"3"	"5"	"5"	"9"	"362"	""	"362"	""
"130"	"100"	"17"	"31"	"1"	"545"	"22"	"4"	"3"	"2"	"2"	"627"	""	"627"	""
"131"	"101"	"161"	"168"	"17"	"146"	"77"	"15"	"14"	"28"	"63"	"689"	""	"689"	""
"132"	"102"	"96"	"284"	"3"	"44"	"3"	"5"	"1"	"0"	"5"	"441"	""	"441"	""
"133"	"103"	"2"	"571"	"1"	"6"	"32"	"0"	"0"	"0"	"1"	"613"	""	"613"	""
"134"	"104"	"425"	"53"	"4"	"17"	"13"	"3"	"1"	"1"	"1"	"518"	""	"518"	""
"135"	"105"	"93"	"317"	"9"	"68"	"6"	"4"	"4"	"5"	"13"	"519"	""	"519"	""
"136"	"106"	"22"	"284"	"4"	"105"	"7"	"5"	"2"	"2"	"4"	"435"	""	"435"	""
"137"	"107"	"21"	"172"	"5"	"27"	"1"	"1"	"3"	"2"	"3"	"235"	""	"235"	""
"138"	"108"	"123"	"156"	"6"	"74"	"2"	"4"	"5"	"3"	"17"	"390"	""	"390"	""
"139"	"109"	"53"	"220"	"11"	"71"	"5"	"3"	"4"	"7"	"9"	"383"	""	"383"	""
"140"	"110"	"189"	"62"	"12"	"114"	"10"	"13"	"8"	"4"	"13"	"425"	""	"425"	""
"141"	"111"	"137"	"236"	"14"	"24"	"5"	"8"	"14"	"15"	"29"	"482"	""	"482"	""
"142"	"112"	"161"	"111"	"15"	"182"	"13"	"13"	"10"	"7"	"11"	"523"	""	"523"	""
"143"	"Total Round 8"	"1572"	"2849"	"112"	"1453"	"240"	"81"	"74"	"81"	"180"	"6642"	"0"	"6642"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"145"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"147"	"113"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"148"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"149"	"115"	"161"	"97"	"4"	"14"	"1"	"1"	"1"	"23"	"4"	"306"	""	"306"	""
"150"	"116"	"93"	"121"	"14"	"8"	"1"	"3"	"1"	"31"	"8"	"280"	""	"280"	""
"151"	"117"	"354"	"108"	"4"	"13"	"1"	"2"	"2"	"2"	"4"	"490"	""	"490"	""
"152"	"118"	"199"	"127"	"7"	"21"	"15"	"10"	"9"	"7"	"23"	"418"	""	"418"	""
"153"	"119"	"103"	"89"	"32"	"32"	"3"	"2"	"7"	"21"	"45"	"334"	""	"334"	""
"154"	"120"	"79"	"300"	"6"	"156"	"7"	"11"	"9"	"7"	"7"	"582"	""	"582"	""
"155"	"121"	"92"	"223"	"18"	"47"	"15"	"3"	"14"	"16"	"33"	"461"	""	"461"	""
"156"	"122"	"440"	"63"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"506"	""	"506"	""
"157"	"123"	"189"	"51"	"8"	"96"	"8"	"10"	"5"	"5"	"12"	"384"	""	"384"	""
"158"	"124"	"41"	"145"	"3"	"222"	"10"	"3"	"0"	"1"	"6"	"431"	""	"431"	""
"159"	"125"	"55"	"149"	"7"	"159"	"6"	"10"	"11"	"6"	"14"	"417"	""	"417"	""
"160"	"126"	"142"	"122"	"2"	"19"	"4"	"2"	"2"	"5"	"4"	"302"	""	"302"	""
"161"	"Total Round 9"	"1948"	"1595"	"105"	"789"	"71"	"57"	"61"	"125"	"160"	"4911"	"0"	"4911"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"163"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"165"	"127"	"106"	"162"	"16"	"67"	"7"	"8"	"9"	"7"	"14"	"396"	""	"396"	""
"166"	"128"	"9"	"501"	"1"	"47"	"2"	"4"	"3"	"2"	"1"	"570"	""	"570"	""
"167"	"129"	"126"	"341"	"10"	"76"	"7"	"5"	"7"	"9"	"8"	"589"	""	"589"	""
"168"	"130"	"276"	"113"	"4"	"28"	"5"	"0"	"0"	"1"	"1"	"428"	""	"428"	""
"169"	"131"	"224"	"159"	"11"	"178"	"9"	"6"	"7"	"6"	"3"	"603"	""	"603"	""
"170"	"132"	"118"	"93"	"3"	"8"	"1"	"6"	"0"	"3"	"2"	"234"	""	"234"	""
"171"	"133"	"111"	"211"	"11"	"111"	"7"	"3"	"4"	"4"	"7"	"469"	""	"469"	""
"172"	"134"	"148"	"90"	"3"	"41"	"2"	"6"	"1"	"5"	"8"	"304"	""	"304"	""
"173"	"135"	"158"	"179"	"10"	"22"	"7"	"5"	"5"	"14"	"30"	"430"	""	"430"	""
"174"	"136"	"77"	"237"	"7"	"132"	"11"	"5"	"12"	"9"	"10"	"500"	""	"500"	""
"175"	"137"	"152"	"180"	"11"	"79"	"7"	"7"	"11"	"7"	"5"	"459"	""	"459"	""
"176"	"138"	"248"	"197"	"10"	"14"	"6"	"5"	"9"	"13"	"29"	"531"	""	"531"	""
"177"	"139"	"131"	"125"	"6"	"64"	"12"	"5"	"7"	"17"	"25"	"392"	""	"392"	""
"178"	"140"	"240"	"225"	"7"	"19"	"10"	"6"	"3"	"7"	"12"	"529"	""	"529"	""
"179"	"Total Round 10"	"2124"	"2813"	"110"	"886"	"93"	"71"	"78"	"104"	"155"	"6434"	"0"	"6434"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"183"	"141"	"75"	"78"	"8"	"204"	"10"	"7"	"11"	"5"	"11"	"409"	""	"409"	""
"184"	"142"	"166"	"179"	"3"	"16"	"8"	"3"	"4"	"29"	"6"	"414"	""	"414"	""
"185"	"143"	"96"	"60"	"5"	"27"	"1"	"4"	"4"	"3"	"1"	"201"	""	"201"	""
"186"	"144"	"112"	"127"	"7"	"68"	"8"	"4"	"6"	"18"	"15"	"365"	""	"365"	""
"187"	"145"	"2"	"281"	"2"	"6"	"0"	"3"	"0"	"4"	"6"	"304"	""	"304"	""
"188"	"146"	"180"	"199"	"18"	"136"	"6"	"6"	"12"	"8"	"28"	"593"	""	"593"	""
"189"	"147"	"172"	"362"	"3"	"14"	"1"	"9"	"5"	"20"	"23"	"609"	""	"609"	""
"190"	"148"	"184"	"201"	"3"	"7"	"7"	"5"	"5"	"8"	"17"	"437"	""	"437"	""
"191"	"149"	"172"	"240"	"18"	"69"	"12"	"10"	"12"	"10"	"22"	"565"	""	"565"	""
"192"	"150"	"92"	"32"	"3"	"7"	"0"	"2"	"1"	"5"	"4"	"146"	""	"146"	""
"193"	"151"	"198"	"121"	"14"	"117"	"7"	"9"	"10"	"7"	"9"	"492"	""	"492"	""
"194"	"152"	"36"	"336"	"23"	"86"	"9"	"12"	"5"	"3"	"11"	"521"	""	"521"	""
"195"	"153"	"229"	"86"	"7"	"31"	"1"	"2"	"0"	"4"	"20"	"380"	""	"380"	""
"196"	"154"	"4"	"120"	"5"	"769"	"1"	"0"	"9"	"0"	"3"	"911"	""	"911"	""
"197"	"Total Round 11"	"1718"	"2422"	"119"	"1557"	"71"	"76"	"84"	"124"	"176"	"6347"	"0"	"6347"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"199"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"201"	"155"	"14"	"152"	"0"	"405"	"0"	"1"	"8"	"0"	"0"	"580"	""	"580"	""
"202"	"156"	"101"	"266"	"14"	"48"	"17"	"4"	"3"	"5"	"25"	"483"	""	"483"	""
"203"	"157"	"71"	"202"	"5"	"47"	"5"	"3"	"1"	"1"	"3"	"338"	""	"338"	""
"204"	"158"	"57"	"125"	"6"	"206"	"17"	"9"	"4"	"2"	"14"	"440"	""	"440"	""
"205"	"159"	"30"	"114"	"4"	"122"	"4"	"5"	"5"	"2"	"3"	"289"	""	"289"	""
"206"	"160"	"36"	"229"	"7"	"56"	"11"	"3"	"7"	"0"	"3"	"352"	""	"352"	""
"207"	"161"	"103"	"420"	"12"	"59"	"9"	"4"	"4"	"6"	"4"	"621"	""	"621"	""
"208"	"162"	"146"	"225"	"2"	"11"	"3"	"0"	"0"	"3"	"3"	"393"	""	"393"	""
"209"	"163"	"137"	"140"	"2"	"9"	"15"	"4"	"4"	"19"	"11"	"341"	""	"341"	""
"210"	"164"	"137"	"310"	"14"	"28"	"11"	"5"	"1"	"7"	"11"	"524"	""	"524"	""
"211"	"165"	"90"	"83"	"2"	"3"	"10"	"3"	"1"	"10"	"9"	"211"	""	"211"	""
"212"	"166"	"43"	"140"	"4"	"192"	"1"	"1"	"6"	"3"	"6"	"396"	""	"396"	""
"213"	"167"	"99"	"53"	"10"	"186"	"13"	"11"	"8"	"6"	"14"	"400"	""	"400"	""
"214"	"168"	"59"	"360"	"4"	"11"	"19"	"5"	"1"	"4"	"4"	"467"	""	"467"	""
"215"	"Total Round 12"	"1123"	"2819"	"86"	"1383"	"135"	"58"	"53"	"68"	"110"	"5835"	"0"	"5835"	"0"
