"No..and.Name.of.Assembly.segment..........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"16"	"10"	"2"	"378"	"7"	"1"	"55"	"1"	"1"	"0"	"445"	"0"	"445"	"0"
"17"	"11"	"8"	"103"	"251"	"2"	"222"	"4"	"0"	"2"	"592"	"0"	"592"	"0"
"18"	"12"	"13"	"65"	"345"	"8"	"219"	"9"	"13"	"15"	"687"	"0"	"687"	"0"
"19"	"13"	"9"	"61"	"109"	"7"	"169"	"11"	"8"	"8"	"382"	"0"	"382"	"0"
"20"	"14"	"63"	"71"	"83"	"19"	"440"	"14"	"6"	"24"	"720"	"0"	"720"	"0"
"21"	"15"	"7"	"12"	"281"	"9"	"101"	"13"	"11"	"17"	"451"	"0"	"451"	"0"
"22"	"16"	"6"	"462"	"58"	"5"	"78"	"3"	"1"	"3"	"616"	"0"	"616"	"0"
"23"	"17"	"4"	"217"	"35"	"1"	"246"	"4"	"1"	"1"	"509"	"0"	"509"	"0"
"24"	"18"	"7"	"287"	"20"	"1"	"76"	"3"	"3"	"3"	"400"	"0"	"400"	"0"
"25"	"19"	"19"	"134"	"61"	"14"	"271"	"9"	"11"	"17"	"536"	"0"	"536"	"0"
"26"	"20"	"24"	"86"	"14"	"10"	"244"	"10"	"15"	"41"	"444"	"0"	"444"	"0"
"27"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"30"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"31"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"32"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"34"	"21"	"14"	"252"	"12"	"4"	"103"	"2"	"1"	"9"	"397"	"0"	"397"	"0"
"35"	"22"	"33"	"197"	"99"	"9"	"89"	"15"	"14"	"22"	"478"	"0"	"478"	"0"
"36"	"23"	"10"	"126"	"28"	"8"	"204"	"10"	"6"	"13"	"405"	"0"	"405"	"0"
"37"	"24"	"42"	"126"	"121"	"23"	"185"	"42"	"34"	"39"	"612"	"0"	"612"	"0"
"38"	"25"	"26"	"362"	"81"	"6"	"138"	"8"	"10"	"10"	"641"	"0"	"641"	"0"
"39"	"26"	"44"	"93"	"32"	"11"	"307"	"21"	"4"	"14"	"526"	"0"	"526"	"0"
"40"	"27"	"36"	"185"	"31"	"9"	"131"	"10"	"12"	"39"	"453"	"0"	"453"	"0"
"41"	"28"	"15"	"125"	"11"	"14"	"140"	"23"	"13"	"22"	"363"	"0"	"363"	"0"
"42"	"29"	"22"	"197"	"33"	"10"	"111"	"7"	"10"	"16"	"406"	"0"	"406"	"0"
"43"	"30"	"20"	"159"	"17"	"9"	"111"	"11"	"7"	"17"	"351"	"0"	"351"	"0"
"44"	"31"	"8"	"77"	"212"	"3"	"199"	"7"	"3"	"5"	"514"	"0"	"514"	"0"
"45"	"32"	"15"	"82"	"325"	"4"	"197"	"8"	"2"	"0"	"633"	"0"	"633"	"0"
"46"	"33"	"22"	"269"	"182"	"14"	"125"	"12"	"6"	"9"	"639"	"0"	"639"	"0"
"47"	"34"	"32"	"103"	"122"	"10"	"100"	"6"	"5"	"6"	"384"	"0"	"384"	"0"
"48"	"35"	"20"	"64"	"56"	"8"	"183"	"8"	"10"	"16"	"365"	"0"	"365"	"0"
"49"	"36"	"18"	"180"	"13"	"10"	"245"	"25"	"4"	"19"	"514"	"0"	"514"	"0"
"50"	"37"	"14"	"155"	"14"	"10"	"163"	"13"	"10"	"28"	"407"	"0"	"407"	"0"
"51"	"38"	"20"	"174"	"123"	"7"	"284"	"26"	"11"	"62"	"707"	"0"	"707"	"0"
"52"	"39"	"39"	"335"	"13"	"6"	"112"	"13"	"13"	"14"	"545"	"0"	"545"	"0"
"53"	"40"	"60"	"376"	"23"	"15"	"139"	"16"	"11"	"21"	"661"	"0"	"661"	"0"
"54"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"57"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"58"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"59"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"60"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"61"	"41"	"6"	"644"	"8"	"0"	"24"	"4"	"7"	"8"	"701"	"0"	"701"	"0"
"62"	"42"	"17"	"189"	"10"	"4"	"146"	"17"	"13"	"39"	"435"	"0"	"435"	"0"
"63"	"43"	"11"	"291"	"77"	"4"	"82"	"9"	"3"	"3"	"480"	"0"	"480"	"0"
"64"	"44"	"12"	"81"	"27"	"7"	"121"	"8"	"4"	"8"	"268"	"0"	"268"	"0"
"65"	"45"	"21"	"219"	"58"	"9"	"114"	"11"	"10"	"15"	"457"	"0"	"457"	"0"
"66"	"46"	"22"	"246"	"98"	"12"	"234"	"27"	"15"	"18"	"672"	"0"	"672"	"0"
"67"	"47"	"11"	"55"	"118"	"4"	"201"	"16"	"16"	"24"	"445"	"0"	"445"	"0"
"68"	"48"	"32"	"104"	"68"	"13"	"331"	"17"	"18"	"27"	"610"	"0"	"610"	"0"
"69"	"49"	"22"	"174"	"64"	"3"	"122"	"12"	"6"	"10"	"413"	"0"	"413"	"0"
"70"	"50"	"22"	"62"	"158"	"16"	"223"	"17"	"30"	"28"	"556"	"0"	"556"	"0"
"71"	"51"	"23"	"175"	"67"	"7"	"240"	"21"	"14"	"17"	"564"	"0"	"564"	"0"
"72"	"52"	"1"	"388"	"4"	"0"	"43"	"3"	"1"	"1"	"441"	"0"	"441"	"0"
"73"	"53"	"14"	"280"	"64"	"7"	"27"	"3"	"2"	"3"	"400"	"0"	"400"	"0"
"74"	"54"	"11"	"39"	"130"	"13"	"125"	"14"	"16"	"14"	"362"	"0"	"362"	"0"
"75"	"55"	"14"	"60"	"161"	"9"	"103"	"2"	"12"	"20"	"381"	"0"	"381"	"0"
"76"	"56"	"16"	"52"	"122"	"8"	"126"	"9"	"9"	"14"	"356"	"0"	"356"	"0"
"77"	"57"	"15"	"42"	"157"	"13"	"96"	"6"	"14"	"8"	"351"	"0"	"351"	"0"
"78"	"58"	"1"	"13"	"321"	"3"	"34"	"2"	"9"	"2"	"385"	"0"	"385"	"0"
"79"	"59"	"38"	"154"	"22"	"8"	"242"	"12"	"4"	"6"	"486"	"0"	"486"	"0"
"80"	"60"	"7"	"514"	"7"	"0"	"61"	"3"	"5"	"4"	"601"	"0"	"601"	"0"
"81"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"84"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"85"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"86"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"88"	"61"	"23"	"180"	"87"	"11"	"95"	"12"	"15"	"30"	"453"	"0"	"453"	"0"
"89"	"62"	"12"	"44"	"170"	"1"	"181"	"4"	"3"	"7"	"422"	"0"	"422"	"0"
"90"	"63"	"17"	"11"	"256"	"8"	"190"	"7"	"11"	"23"	"523"	"0"	"523"	"0"
"91"	"64"	"12"	"291"	"42"	"9"	"61"	"9"	"17"	"17"	"458"	"0"	"458"	"0"
"92"	"65"	"25"	"62"	"157"	"14"	"235"	"12"	"3"	"8"	"516"	"0"	"516"	"0"
"93"	"66"	"10"	"35"	"343"	"7"	"130"	"11"	"11"	"18"	"565"	"0"	"565"	"0"
"94"	"67"	"4"	"14"	"230"	"6"	"86"	"8"	"7"	"3"	"358"	"0"	"358"	"0"
"95"	"68"	"4"	"47"	"301"	"3"	"22"	"0"	"3"	"3"	"383"	"0"	"383"	"0"
"96"	"69"	"12"	"159"	"57"	"2"	"79"	"4"	"3"	"3"	"319"	"0"	"319"	"0"
"97"	"70"	"5"	"8"	"113"	"3"	"211"	"5"	"6"	"1"	"352"	"0"	"352"	"0"
"98"	"71"	"3"	"593"	"0"	"0"	"9"	"0"	"0"	"0"	"605"	"0"	"605"	"0"
"99"	"72"	"11"	"95"	"93"	"4"	"96"	"7"	"6"	"6"	"318"	"0"	"318"	"0"
"100"	"73"	"23"	"256"	"54"	"3"	"97"	"4"	"1"	"3"	"441"	"0"	"441"	"0"
"101"	"74"	"25"	"151"	"44"	"8"	"224"	"6"	"2"	"17"	"477"	"0"	"477"	"0"
"102"	"75"	"24"	"87"	"188"	"11"	"186"	"22"	"15"	"17"	"550"	"0"	"550"	"0"
"103"	"76"	"30"	"113"	"100"	"13"	"103"	"12"	"14"	"15"	"400"	"0"	"400"	"0"
"104"	"77"	"23"	"140"	"168"	"12"	"201"	"9"	"7"	"5"	"565"	"0"	"565"	"0"
"105"	"78"	"8"	"43"	"163"	"3"	"78"	"4"	"12"	"9"	"320"	"0"	"320"	"0"
"106"	"79"	"43"	"71"	"53"	"14"	"204"	"24"	"6"	"17"	"432"	"0"	"432"	"0"
"107"	"80"	"14"	"53"	"277"	"14"	"72"	"11"	"8"	"4"	"453"	"0"	"453"	"0"
"108"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"111"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"112"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"113"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"115"	"81"	"30"	"77"	"165"	"16"	"45"	"19"	"17"	"10"	"379"	"0"	"379"	"0"
"116"	"82"	"22"	"184"	"69"	"3"	"54"	"3"	"7"	"6"	"348"	"0"	"348"	"0"
"117"	"83"	"24"	"166"	"226"	"5"	"140"	"18"	"16"	"16"	"611"	"0"	"611"	"0"
"118"	"84"	"11"	"37"	"69"	"3"	"331"	"12"	"6"	"8"	"477"	"0"	"477"	"0"
"119"	"85"	"8"	"410"	"8"	"3"	"64"	"8"	"6"	"9"	"516"	"0"	"516"	"0"
"120"	"86"	"1"	"553"	"6"	"1"	"42"	"1"	"0"	"0"	"604"	"0"	"604"	"0"
"121"	"87"	"13"	"63"	"215"	"7"	"225"	"5"	"6"	"1"	"535"	"0"	"535"	"0"
"122"	"88"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"123"	"89"	"1"	"59"	"363"	"2"	"53"	"0"	"5"	"2"	"485"	"0"	"485"	"0"
"124"	"90"	"11"	"75"	"88"	"6"	"97"	"14"	"8"	"24"	"323"	"0"	"323"	"0"
"125"	"91"	"24"	"191"	"68"	"1"	"155"	"6"	"3"	"9"	"457"	"0"	"457"	"0"
"126"	"92"	"14"	"50"	"89"	"4"	"118"	"11"	"6"	"8"	"300"	"0"	"300"	"0"
"127"	"93"	"28"	"104"	"60"	"11"	"71"	"10"	"8"	"16"	"308"	"0"	"308"	"0"
"128"	"94"	"25"	"116"	"48"	"6"	"90"	"7"	"6"	"3"	"301"	"0"	"301"	"0"
"129"	"95"	"4"	"86"	"93"	"1"	"57"	"3"	"9"	"8"	"261"	"0"	"261"	"0"
"130"	"96"	"15"	"208"	"23"	"3"	"30"	"5"	"3"	"11"	"298"	"0"	"298"	"0"
"131"	"97"	"15"	"141"	"29"	"10"	"151"	"14"	"5"	"16"	"381"	"0"	"381"	"0"
"132"	"98"	"11"	"123"	"44"	"3"	"110"	"9"	"10"	"11"	"321"	"0"	"321"	"0"
"133"	"98(K)"	"28"	"115"	"121"	"7"	"159"	"9"	"12"	"14"	"465"	"0"	"465"	"0"
"134"	"99"	"20"	"117"	"115"	"10"	"232"	"16"	"13"	"19"	"542"	"0"	"542"	"0"
"135"	"100"	"28"	"57"	"111"	"11"	"282"	"19"	"9"	"13"	"530"	"0"	"530"	"0"
"136"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"139"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"140"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"141"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"143"	"101"	"29"	"113"	"19"	"3"	"241"	"18"	"1"	"21"	"445"	"0"	"445"	"0"
"144"	"102"	"7"	"382"	"13"	"4"	"48"	"2"	"5"	"18"	"479"	"0"	"479"	"0"
"145"	"103"	"21"	"142"	"39"	"6"	"109"	"3"	"6"	"11"	"337"	"0"	"337"	"0"
"146"	"104"	"32"	"94"	"102"	"7"	"276"	"9"	"3"	"6"	"529"	"0"	"529"	"0"
"147"	"105"	"22"	"531"	"40"	"4"	"43"	"6"	"4"	"2"	"652"	"0"	"652"	"0"
"148"	"106"	"10"	"54"	"121"	"4"	"379"	"9"	"5"	"7"	"589"	"0"	"589"	"0"
"149"	"107"	"17"	"190"	"26"	"5"	"246"	"9"	"4"	"8"	"505"	"0"	"505"	"0"
"150"	"108"	"12"	"476"	"81"	"6"	"10"	"2"	"5"	"3"	"595"	"0"	"595"	"0"
"151"	"109"	"41"	"208"	"146"	"27"	"139"	"10"	"14"	"12"	"597"	"0"	"597"	"0"
"152"	"110"	"2"	"511"	"3"	"0"	"6"	"1"	"0"	"1"	"524"	"0"	"524"	"0"
"153"	"111"	"35"	"456"	"27"	"17"	"158"	"4"	"11"	"15"	"723"	"0"	"723"	"0"
"154"	"112"	"32"	"287"	"109"	"15"	"32"	"16"	"5"	"9"	"505"	"0"	"505"	"0"
"155"	"113"	"18"	"211"	"93"	"8"	"33"	"10"	"15"	"11"	"399"	"0"	"399"	"0"
"156"	"114"	"41"	"502"	"32"	"13"	"201"	"24"	"13"	"15"	"841"	"0"	"841"	"0"
"157"	"115"	"29"	"173"	"231"	"14"	"95"	"14"	"26"	"17"	"599"	"0"	"599"	"0"
"158"	"116"	"37"	"236"	"42"	"9"	"208"	"13"	"15"	"28"	"588"	"0"	"588"	"0"
"159"	"117"	"22"	"133"	"66"	"3"	"124"	"12"	"11"	"28"	"399"	"0"	"399"	"0"
"160"	"118"	"20"	"141"	"141"	"4"	"36"	"11"	"12"	"16"	"381"	"0"	"381"	"0"
"161"	"119"	"23"	"118"	"108"	"8"	"341"	"6"	"8"	"20"	"632"	"0"	"632"	"0"
"162"	"120"	"28"	"264"	"153"	"5"	"187"	"9"	"4"	"14"	"664"	"0"	"664"	"0"
"163"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"166"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"167"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"168"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"170"	"121"	"15"	"26"	"14"	"9"	"160"	"8"	"4"	"30"	"266"	"0"	"266"	"0"
"171"	"122"	"3"	"44"	"223"	"2"	"131"	"3"	"5"	"4"	"415"	"0"	"415"	"0"
"172"	"123"	"51"	"267"	"46"	"10"	"36"	"7"	"9"	"12"	"438"	"0"	"438"	"0"
"173"	"124"	"15"	"70"	"16"	"5"	"96"	"3"	"6"	"21"	"232"	"0"	"232"	"0"
"174"	"125"	"14"	"111"	"194"	"5"	"89"	"13"	"14"	"41"	"481"	"0"	"481"	"0"
"175"	"126"	"9"	"126"	"153"	"10"	"18"	"2"	"9"	"11"	"338"	"0"	"338"	"0"
"176"	"127"	"16"	"90"	"215"	"9"	"24"	"10"	"9"	"24"	"397"	"0"	"397"	"0"
"177"	"128"	"16"	"357"	"14"	"6"	"178"	"8"	"5"	"5"	"589"	"0"	"589"	"0"
"178"	"129"	"21"	"224"	"12"	"7"	"101"	"7"	"5"	"6"	"383"	"0"	"383"	"0"
"179"	"130"	"12"	"156"	"144"	"3"	"22"	"6"	"5"	"5"	"353"	"0"	"353"	"0"
"180"	"131"	"7"	"85"	"75"	"8"	"154"	"7"	"10"	"7"	"353"	"0"	"353"	"0"
"181"	"132"	"6"	"17"	"285"	"0"	"49"	"0"	"3"	"1"	"361"	"0"	"361"	"0"
"182"	"133"	"31"	"104"	"187"	"10"	"235"	"13"	"11"	"6"	"597"	"0"	"597"	"0"
"183"	"134"	"5"	"43"	"377"	"4"	"176"	"10"	"7"	"4"	"626"	"0"	"626"	"0"
"184"	"135"	"9"	"360"	"6"	"5"	"55"	"2"	"5"	"3"	"445"	"0"	"445"	"0"
"185"	"136"	"49"	"113"	"31"	"16"	"203"	"29"	"11"	"14"	"466"	"0"	"466"	"0"
"186"	"137"	"20"	"221"	"22"	"17"	"285"	"16"	"11"	"18"	"610"	"0"	"610"	"0"
"187"	"138"	"45"	"178"	"65"	"16"	"314"	"8"	"2"	"9"	"637"	"0"	"637"	"0"
"188"	"139"	"18"	"39"	"333"	"7"	"248"	"20"	"8"	"8"	"681"	"0"	"681"	"0"
"189"	"140"	"12"	"120"	"69"	"5"	"240"	"3"	"6"	"7"	"462"	"0"	"462"	"0"
"190"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"193"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"194"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"195"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"196"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"197"	"141"	"14"	"142"	"13"	"7"	"97"	"5"	"9"	"13"	"300"	"0"	"300"	"0"
"198"	"142"	"35"	"456"	"40"	"3"	"55"	"9"	"13"	"14"	"625"	"0"	"625"	"0"
"199"	"143"	"41"	"148"	"105"	"18"	"320"	"21"	"10"	"26"	"689"	"0"	"689"	"0"
"200"	"144"	"37"	"108"	"68"	"15"	"297"	"16"	"9"	"14"	"564"	"0"	"564"	"0"
"201"	"145"	"14"	"108"	"50"	"12"	"214"	"16"	"12"	"16"	"442"	"0"	"442"	"0"
"202"	"146"	"5"	"415"	"23"	"17"	"53"	"3"	"2"	"12"	"530"	"0"	"530"	"0"
"203"	"147"	"10"	"222"	"39"	"6"	"141"	"3"	"3"	"6"	"430"	"0"	"430"	"0"
"204"	"148"	"8"	"295"	"137"	"3"	"158"	"7"	"8"	"4"	"620"	"0"	"620"	"0"
"205"	"149"	"9"	"58"	"134"	"6"	"353"	"10"	"8"	"8"	"586"	"0"	"586"	"0"
"206"	"150"	"23"	"640"	"11"	"2"	"18"	"6"	"5"	"10"	"715"	"0"	"715"	"0"
"207"	"151"	"42"	"246"	"63"	"26"	"286"	"20"	"12"	"22"	"717"	"0"	"717"	"0"
"208"	"152"	"14"	"257"	"63"	"6"	"206"	"3"	"5"	"12"	"566"	"0"	"566"	"0"
"209"	"153"	"4"	"181"	"54"	"6"	"186"	"9"	"3"	"7"	"450"	"0"	"450"	"0"
"210"	"154"	"29"	"215"	"41"	"4"	"153"	"7"	"8"	"27"	"484"	"0"	"484"	"0"
"211"	"155"	"8"	"121"	"23"	"10"	"281"	"10"	"3"	"11"	"467"	"0"	"467"	"0"
"212"	"156"	"27"	"278"	"22"	"13"	"248"	"12"	"6"	"12"	"618"	"0"	"618"	"0"
"213"	"157"	"30"	"294"	"53"	"18"	"210"	"9"	"7"	"18"	"639"	"0"	"639"	"0"
"214"	"158"	"7"	"250"	"53"	"5"	"153"	"6"	"6"	"7"	"487"	"0"	"487"	"0"
"215"	"159"	"14"	"466"	"20"	"4"	"34"	"1"	"8"	"10"	"557"	"0"	"557"	"0"
"216"	"160"	"28"	"173"	"29"	"10"	"274"	"14"	"11"	"5"	"544"	"0"	"544"	"0"
"217"	"No. and Name of Assembly segment  :-      50- Mahua (SC)"	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"220"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"221"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"222"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"223"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"224"	"161"	"21"	"123"	"14"	"10"	"240"	"17"	"7"	"38"	"470"	"0"	"470"	"0"
"225"	"162"	"19"	"112"	"43"	"8"	"256"	"13"	"9"	"32"	"492"	"0"	"492"	"0"
"226"	"163"	"9"	"83"	"110"	"3"	"191"	"2"	"7"	"8"	"413"	"0"	"413"	"0"
"227"	"164"	"15"	"123"	"40"	"5"	"344"	"20"	"2"	"22"	"571"	"0"	"571"	"0"
"228"	"165"	"18"	"165"	"12"	"8"	"152"	"5"	"14"	"6"	"380"	"0"	"380"	"0"
