"ernku.dsUnz.dh.ÿå.laå"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonŸk.erksa.dh.laå"
"11"	"10"	"7"	"3"	"1"	"0"	"1"	"2"	"14"	"68"	"20"	"7"	"1"	"5"	"5"	"0"	"5"	"17"	"2"	"0"	"0"	"2"	"6"	"0"	"1"	"1"	"5"	"3"	"94"	"270"	""	"270"	""
"12"	"11"	"13"	"36"	"53"	"0"	"7"	"0"	"43"	"45"	"23"	"6"	"11"	"7"	"1"	"1"	"3"	"34"	"4"	"4"	"3"	"2"	"7"	"1"	"0"	"2"	"1"	"2"	"145"	"454"	""	"454"	""
"13"	"12"	"7"	"27"	"252"	"7"	"2"	"4"	"54"	"33"	"0"	"0"	"10"	"1"	"2"	"3"	"10"	"3"	"16"	"4"	"19"	"12"	"23"	"3"	"1"	"4"	"3"	"3"	"37"	"540"	""	"540"	""
"14"	"13"	"7"	"91"	"213"	"9"	"2"	"2"	"61"	"18"	"9"	"7"	"33"	"5"	"4"	"5"	"10"	"16"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"51"	"550"	""	"550"	""
"15"	"14"	"16"	"21"	"25"	"1"	"4"	"2"	"15"	"152"	"15"	"0"	"8"	"3"	"2"	"0"	"3"	"8"	"9"	"4"	"4"	"9"	"2"	"1"	"3"	"5"	"5"	"5"	"143"	"465"	""	"465"	""
"16"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"17"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"18"	"15"	"13"	"37"	"206"	"3"	"6"	"3"	"43"	"15"	"2"	"1"	"4"	"1"	"1"	"2"	"5"	"8"	"3"	"1"	"2"	"4"	"10"	"0"	"1"	"2"	"0"	"2"	"69"	"444"	"0"	"444"	""
"19"	"16"	"10"	"42"	"296"	"8"	"9"	"36"	"72"	"28"	"9"	"8"	"23"	"12"	"6"	"7"	"16"	"8"	"10"	"4"	"4"	"9"	"21"	"5"	"4"	"4"	"3"	"3"	"53"	"710"	""	"710"	""
"20"	"17"	"16"	"8"	"25"	"3"	"3"	"2"	"31"	"66"	"14"	"2"	"4"	"3"	"0"	"0"	"2"	"27"	"10"	"10"	"1"	"2"	"6"	"3"	"2"	"3"	"9"	"8"	"312"	"572"	""	"572"	""
"21"	"18"	"21"	"12"	"105"	"6"	"6"	"4"	"72"	"21"	"46"	"1"	"3"	"3"	"2"	"3"	"8"	"12"	"5"	"4"	"2"	"1"	"5"	"1"	"1"	"0"	"0"	"1"	"155"	"500"	""	"500"	""
"22"	"19"	"2"	"17"	"108"	"8"	"5"	"0"	"19"	"0"	"3"	"0"	"1"	"1"	"5"	"0"	"3"	"2"	"1"	"3"	"1"	"0"	"9"	"1"	"1"	"0"	"0"	"0"	"119"	"309"	""	"309"	""
"23"	"20"	"9"	"101"	"125"	"5"	"2"	"0"	"18"	"10"	"5"	"1"	"2"	"3"	"0"	"2"	"5"	"5"	"3"	"5"	"4"	"5"	"11"	"0"	"1"	"1"	"4"	"4"	"90"	"421"	""	"421"	""
"24"	"21"	"5"	"15"	"112"	"6"	"1"	"1"	"82"	"11"	"6"	"0"	"1"	"4"	"1"	"2"	"1"	"6"	"1"	"1"	"2"	"0"	"11"	"1"	"1"	"0"	"0"	"2"	"79"	"352"	""	"352"	""
"25"	"22"	"14"	"119"	"262"	"7"	"7"	"3"	"75"	"37"	"7"	"3"	"8"	"10"	"4"	"4"	"3"	"8"	"10"	"12"	"5"	"1"	"26"	"4"	"1"	"3"	"2"	"4"	"71"	"710"	""	"710"	""
"26"	"23"	"9"	"53"	"333"	"10"	"5"	"7"	"22"	"15"	"4"	"3"	"4"	"4"	"2"	"6"	"8"	"18"	"19"	"7"	"14"	"10"	"16"	"3"	"4"	"6"	"4"	"6"	"71"	"663"	""	"663"	""
"27"	"24"	"16"	"8"	"110"	"4"	"24"	"13"	"373"	"6"	"7"	"5"	"2"	"12"	"2"	"4"	"2"	"5"	"7"	"26"	"2"	"10"	"54"	"3"	"6"	"5"	"0"	"1"	"11"	"718"	""	"718"	""
"28"	"25"	"9"	"102"	"53"	"1"	"4"	"1"	"30"	"3"	"4"	"1"	"5"	"3"	"0"	"0"	"1"	"5"	"7"	"2"	"2"	"9"	"12"	"1"	"2"	"0"	"0"	"7"	"135"	"399"	""	"399"	""
"29"	"26"	"6"	"34"	"132"	"4"	"2"	"0"	"15"	"0"	"3"	"1"	"3"	"1"	"1"	"1"	"7"	"8"	"1"	"1"	"2"	"7"	"4"	"0"	"1"	"0"	"1"	"1"	"84"	"320"	""	"320"	""
"30"	"27"	"17"	"12"	"179"	"11"	"2"	"2"	"34"	"5"	"17"	"5"	"2"	"1"	"7"	"2"	"19"	"18"	"7"	"5"	"5"	"2"	"5"	"2"	"1"	"2"	"1"	"3"	"271"	"637"	""	"637"	""
"31"	"28"	"15"	"36"	"163"	"7"	"13"	"2"	"14"	"10"	"30"	"5"	"7"	"16"	"12"	"9"	"14"	"41"	"10"	"2"	"5"	"7"	"2"	"1"	"0"	"2"	"2"	"3"	"209"	"637"	""	"637"	""
"32"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"33"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"34"	"29"	"17"	"46"	"391"	"98"	"7"	"4"	"36"	"3"	"17"	"4"	"2"	"5"	"1"	"2"	"14"	"17"	"6"	"3"	"1"	"5"	"4"	"1"	"3"	"1"	"1"	"2"	"110"	"801"	"0"	"801"	""
"35"	"30"	"0"	"7"	"34"	"14"	"9"	"5"	"316"	"12"	"4"	"0"	"0"	"0"	"5"	"1"	"1"	"1"	"4"	"1"	"3"	"0"	"38"	"3"	"3"	"3"	"0"	"0"	"9"	"473"	""	"473"	""
"36"	"31"	"6"	"42"	"248"	"7"	"2"	"7"	"50"	"5"	"8"	"7"	"7"	"3"	"8"	"13"	"14"	"28"	"8"	"2"	"7"	"5"	"12"	"3"	"1"	"1"	"4"	"3"	"78"	"579"	""	"579"	""
"37"	"32"	"15"	"36"	"55"	"4"	"5"	"1"	"30"	"3"	"14"	"2"	"1"	"4"	"4"	"4"	"4"	"21"	"36"	"8"	"8"	"9"	"33"	"8"	"8"	"8"	"6"	"19"	"314"	"660"	""	"660"	""
"38"	"33"	"2"	"24"	"250"	"8"	"12"	"14"	"75"	"6"	"5"	"2"	"0"	"1"	"2"	"0"	"0"	"4"	"8"	"7"	"7"	"12"	"33"	"4"	"0"	"3"	"0"	"3"	"80"	"562"	""	"562"	""
"39"	"34"	"19"	"66"	"68"	"8"	"6"	"1"	"21"	"0"	"7"	"0"	"8"	"2"	"1"	"2"	"4"	"7"	"11"	"11"	"3"	"8"	"19"	"2"	"0"	"0"	"1"	"5"	"115"	"395"	""	"395"	""
"40"	"35"	"13"	"87"	"169"	"60"	"12"	"2"	"30"	"3"	"2"	"0"	"2"	"2"	"1"	"4"	"3"	"3"	"8"	"8"	"7"	"11"	"23"	"0"	"5"	"3"	"4"	"7"	"90"	"559"	""	"559"	""
"41"	"36"	"11"	"34"	"42"	"6"	"7"	"1"	"55"	"6"	"9"	"0"	"33"	"4"	"0"	"11"	"6"	"8"	"9"	"2"	"4"	"5"	"18"	"4"	"0"	"0"	"2"	"3"	"88"	"368"	""	"368"	""
"42"	"37"	"4"	"61"	"116"	"5"	"4"	"3"	"46"	"5"	"7"	"0"	"4"	"0"	"0"	"2"	"6"	"6"	"5"	"1"	"4"	"7"	"12"	"2"	"0"	"2"	"2"	"3"	"66"	"373"	""	"373"	""
"43"	"38"	"0"	"3"	"189"	"3"	"4"	"3"	"24"	"1"	"0"	"1"	"1"	"2"	"2"	"5"	"5"	"4"	"8"	"23"	"18"	"11"	"12"	"3"	"6"	"1"	"3"	"0"	"9"	"341"	""	"341"	""
"44"	"39"	"17"	"16"	"391"	"16"	"6"	"28"	"21"	"4"	"8"	"2"	"0"	"5"	"8"	"6"	"24"	"4"	"10"	"20"	"11"	"16"	"15"	"0"	"7"	"5"	"5"	"5"	"29"	"679"	""	"679"	""
"45"	"40"	"6"	"3"	"169"	"9"	"6"	"1"	"114"	"1"	"3"	"2"	"3"	"9"	"6"	"5"	"7"	"19"	"26"	"14"	"10"	"61"	"87"	"12"	"3"	"8"	"4"	"4"	"58"	"650"	""	"650"	""
"46"	"41"	"6"	"6"	"263"	"5"	"8"	"2"	"53"	"7"	"6"	"3"	"2"	"7"	"0"	"3"	"15"	"4"	"8"	"10"	"11"	"21"	"28"	"4"	"3"	"0"	"2"	"3"	"44"	"524"	""	"524"	""
"47"	"42"	"11"	"293"	"149"	"6"	"7"	"1"	"42"	"3"	"11"	"3"	"30"	"3"	"3"	"2"	"3"	"0"	"4"	"5"	"1"	"3"	"3"	"1"	"4"	"0"	"1"	"0"	"47"	"636"	""	"636"	""
"48"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"49"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"50"	"43"	"4"	"207"	"108"	"29"	"12"	"0"	"60"	"11"	"14"	"3"	"16"	"10"	"8"	"4"	"5"	"10"	"17"	"2"	"7"	"20"	"26"	"3"	"6"	"5"	"5"	"4"	"65"	"661"	"0"	"661"	""
"51"	"44"	"2"	"195"	"101"	"9"	"2"	"0"	"12"	"0"	"5"	"2"	"1"	"2"	"1"	"0"	"1"	"2"	"3"	"1"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"105"	"458"	""	"458"	""
"52"	"45"	"9"	"75"	"287"	"3"	"11"	"3"	"13"	"2"	"1"	"2"	"16"	"3"	"5"	"5"	"5"	"11"	"13"	"0"	"12"	"9"	"2"	"0"	"2"	"1"	"1"	"3"	"71"	"565"	""	"565"	""
"53"	"46"	"8"	"182"	"47"	"6"	"1"	"1"	"71"	"4"	"8"	"3"	"4"	"7"	"3"	"5"	"1"	"5"	"11"	"9"	"2"	"56"	"59"	"7"	"1"	"3"	"4"	"5"	"101"	"614"	""	"614"	""
"54"	"47"	"3"	"273"	"145"	"3"	"11"	"1"	"43"	"2"	"4"	"1"	"36"	"0"	"0"	"3"	"1"	"5"	"1"	"1"	"3"	"8"	"3"	"0"	"0"	"0"	"0"	"2"	"67"	"616"	""	"616"	""
"55"	"48"	"5"	"213"	"81"	"26"	"1"	"3"	"52"	"5"	"4"	"0"	"13"	"1"	"0"	"10"	"0"	"3"	"5"	"10"	"2"	"2"	"9"	"4"	"2"	"0"	"0"	"5"	"52"	"508"	""	"508"	""
"56"	"49"	"11"	"136"	"163"	"2"	"24"	"8"	"270"	"10"	"9"	"2"	"5"	"9"	"2"	"2"	"7"	"4"	"5"	"6"	"6"	"4"	"30"	"0"	"2"	"2"	"2"	"1"	"25"	"747"	""	"747"	""
"57"	"50"	"4"	"117"	"51"	"5"	"8"	"1"	"200"	"11"	"7"	"3"	"11"	"6"	"3"	"4"	"6"	"17"	"5"	"29"	"6"	"3"	"36"	"7"	"15"	"4"	"1"	"4"	"62"	"626"	""	"626"	""
"58"	"51"	"15"	"238"	"74"	"68"	"19"	"1"	"75"	"6"	"7"	"6"	"7"	"3"	"3"	"2"	"4"	"10"	"1"	"74"	"2"	"3"	"6"	"1"	"3"	"1"	"2"	"3"	"82"	"716"	""	"716"	""
"59"	"52"	"4"	"143"	"47"	"18"	"9"	"4"	"73"	"4"	"3"	"2"	"2"	"2"	"2"	"3"	"4"	"10"	"9"	"137"	"9"	"9"	"24"	"4"	"4"	"3"	"4"	"4"	"87"	"624"	""	"624"	""
"60"	"53"	"1"	"140"	"97"	"8"	"4"	"1"	"117"	"1"	"2"	"1"	"11"	"5"	"0"	"9"	"1"	"9"	"5"	"7"	"0"	"3"	"17"	"1"	"1"	"2"	"1"	"1"	"44"	"489"	""	"489"	""
"61"	"53 A"	"4"	"172"	"89"	"4"	"6"	"0"	"63"	"2"	"6"	"2"	"21"	"2"	"5"	"4"	"5"	"15"	"3"	"2"	"7"	"4"	"19"	"1"	"1"	"0"	"0"	"4"	"68"	"509"	""	"509"	""
"62"	"54"	"9"	"236"	"182"	"1"	"1"	"1"	"35"	"5"	"2"	"0"	"12"	"4"	"2"	"3"	"6"	"4"	"10"	"2"	"6"	"27"	"6"	"0"	"0"	"0"	"0"	"1"	"28"	"583"	""	"583"	""
"63"	"55"	"2"	"222"	"164"	"4"	"6"	"1"	"33"	"0"	"0"	"1"	"50"	"5"	"0"	"16"	"1"	"5"	"9"	"0"	"8"	"3"	"4"	"0"	"2"	"0"	"2"	"1"	"44"	"583"	""	"583"	""
"64"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"65"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"66"	"56"	"14"	"161"	"290"	"8"	"14"	"14"	"32"	"1"	"9"	"5"	"10"	"4"	"6"	"20"	"7"	"20"	"13"	"19"	"24"	"12"	"19"	"4"	"1"	"4"	"7"	"6"	"92"	"816"	"0"	"816"	""
"67"	"57"	"3"	"190"	"167"	"4"	"12"	"1"	"40"	"1"	"4"	"1"	"4"	"3"	"4"	"8"	"7"	"9"	"12"	"11"	"29"	"6"	"18"	"4"	"8"	"4"	"6"	"6"	"31"	"593"	""	"593"	""
"68"	"58"	"4"	"133"	"125"	"1"	"7"	"2"	"26"	"3"	"1"	"1"	"1"	"2"	"1"	"12"	"3"	"3"	"10"	"3"	"17"	"7"	"16"	"3"	"4"	"2"	"4"	"3"	"22"	"416"	""	"416"	""
"69"	"59"	"7"	"135"	"139"	"3"	"6"	"0"	"115"	"3"	"1"	"0"	"1"	"1"	"1"	"3"	"3"	"1"	"6"	"3"	"5"	"6"	"43"	"1"	"2"	"1"	"2"	"2"	"29"	"519"	""	"519"	""
"70"	"60"	"5"	"107"	"156"	"3"	"4"	"4"	"162"	"2"	"4"	"2"	"5"	"3"	"3"	"5"	"6"	"12"	"1"	"2"	"1"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"9"	"510"	""	"510"	""
"71"	"61"	"4"	"71"	"55"	"3"	"3"	"2"	"226"	"6"	"2"	"0"	"2"	"4"	"5"	"1"	"1"	"11"	"2"	"0"	"1"	"2"	"22"	"2"	"0"	"0"	"0"	"4"	"85"	"514"	""	"514"	""
"72"	"62"	"3"	"121"	"91"	"6"	"6"	"0"	"52"	"1"	"5"	"0"	"3"	"0"	"3"	"0"	"1"	"6"	"2"	"3"	"4"	"0"	"9"	"0"	"1"	"0"	"3"	"1"	"103"	"424"	""	"424"	""
"73"	"63"	"3"	"40"	"44"	"0"	"3"	"0"	"53"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"3"	"2"	"9"	"0"	"1"	"0"	"0"	"0"	"18"	"187"	""	"187"	""
"74"	"64"	"4"	"123"	"187"	"8"	"9"	"1"	"128"	"0"	"1"	"2"	"0"	"4"	"1"	"2"	"6"	"2"	"3"	"1"	"3"	"8"	"29"	"0"	"2"	"3"	"2"	"0"	"25"	"554"	""	"554"	""
"75"	"65"	"20"	"150"	"323"	"14"	"25"	"4"	"115"	"4"	"3"	"2"	"7"	"10"	"9"	"12"	"13"	"19"	"14"	"6"	"9"	"5"	"22"	"3"	"4"	"1"	"0"	"1"	"21"	"816"	""	"816"	""
"76"	"66"	"2"	"131"	"243"	"4"	"2"	"0"	"95"	"2"	"0"	"1"	"4"	"1"	"1"	"1"	"0"	"1"	"6"	"6"	"13"	"1"	"16"	"2"	"1"	"2"	"1"	"0"	"22"	"558"	""	"558"	""
"77"	"67"	"8"	"189"	"213"	"7"	"3"	"2"	"90"	"6"	"3"	"1"	"3"	"1"	"5"	"2"	"2"	"3"	"12"	"5"	"16"	"9"	"32"	"1"	"3"	"1"	"0"	"0"	"28"	"645"	""	"645"	""
"78"	"68"	"3"	"121"	"96"	"7"	"5"	"2"	"122"	"4"	"1"	"0"	"3"	"0"	"4"	"1"	"2"	"2"	"2"	"0"	"2"	"3"	"18"	"1"	"1"	"0"	"0"	"0"	"14"	"414"	""	"414"	""
"79"	"69"	"6"	"92"	"96"	"1"	"9"	"0"	"74"	"0"	"2"	"2"	"1"	"0"	"2"	"2"	"0"	"9"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"13"	"317"	""	"317"	""
"80"	"ernku dsUnz dh ÿå laå"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonŸk erksa dh laå"
"81"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"82"	"70"	"1"	"37"	"69"	"2"	"5"	"0"	"110"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"1"	"5"	"2"	"10"	"0"	"0"	"1"	"0"	"0"	"31"	"285"	"0"	"285"	""
"83"	"71"	"4"	"227"	"267"	"4"	"7"	"5"	"138"	"1"	"1"	"3"	"3"	"1"	"0"	"0"	"2"	"3"	"3"	"1"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"2"	"23"	"707"	""	"707"	""
"84"	"72"	"1"	"254"	"162"	"3"	"31"	"0"	"36"	"1"	"0"	"0"	"19"	"1"	"2"	"2"	"0"	"2"	"0"	"3"	"0"	"2"	"1"	"1"	"1"	"1"	"4"	"0"	"10"	"537"	""	"537"	""
"85"	"73"	"1"	"109"	"25"	"0"	"30"	"2"	"40"	"0"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"20"	"244"	""	"244"	""
"86"	"74"	"4"	"235"	"63"	"1"	"251"	"2"	"103"	"4"	"4"	"1"	"2"	"7"	"2"	"2"	"1"	"4"	"0"	"7"	"0"	"1"	"11"	"1"	"0"	"1"	"0"	"1"	"17"	"725"	""	"725"	""
"87"	"75"	"3"	"28"	"37"	"1"	"30"	"2"	"88"	"2"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"0"	"5"	"2"	"1"	"0"	"10"	"1"	"0"	"0"	"0"	"1"	"5"	"223"	""	"223"	""
"88"	"76"	"4"	"119"	"89"	"6"	"8"	"1"	"17"	"3"	"4"	"1"	"4"	"2"	"1"	"3"	"0"	"4"	"5"	"130"	"3"	"4"	"1"	"2"	"2"	"0"	"1"	"3"	"90"	"507"	""	"507"	""
"89"	"77"	"3"	"237"	"70"	"3"	"28"	"0"	"20"	"1"	"2"	"0"	"3"	"1"	"0"	"1"	"0"	"3"	"2"	"58"	"2"	"2"	"4"	"1"	"0"	"1"	"0"	"2"	"32"	"476"	""	"476"	""
"90"	"77 A"	"4"	"150"	"80"	"10"	"53"	"2"	"70"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"0"	"23"	"1"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"15"	"426"	""	"426"	""
"91"	"78"	"6"	"212"	"65"	"8"	"10"	"2"	"30"	"1"	"0"	"3"	"2"	"3"	"1"	"1"	"2"	"6"	"7"	"120"	"1"	"6"	"2"	"3"	"1"	"2"	"0"	"0"	"32"	"526"	""	"526"	""
