"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"20"	"11"	"14"	"3"	"191"	"6"	"96"	"3"	"18"	"0"	"3"	"334"	""	"334"	""
"21"	"12"	"86"	"3"	"92"	"3"	"24"	"5"	"195"	"6"	"3"	"417"	""	"417"	""
"22"	"13"	"376"	"9"	"127"	"4"	"28"	"3"	"8"	"1"	"5"	"561"	""	"561"	""
"23"	"14"	"323"	"6"	"79"	"2"	"5"	"5"	"3"	"3"	"6"	"432"	""	"432"	""
"24"	"TOTAL"	"1068"	"145"	"2132"	"108"	"2161"	"152"	"1283"	"74"	"176"	"7299"	"0"	"7299"	"0"
"25"	"ASSISTANT RETURNING OFFICER/RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"27"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"29"	"15"	"72"	"7"	"101"	"2"	"40"	"8"	"126"	"4"	"9"	"369"	""	"369"	""
"30"	"16"	"157"	"5"	"53"	"16"	"20"	"19"	"189"	"12"	"40"	"511"	""	"511"	""
"31"	"17"	"105"	"6"	"185"	"13"	"204"	"8"	"32"	"1"	"10"	"564"	""	"564"	""
"32"	"18"	"23"	"6"	"194"	"14"	"31"	"19"	"126"	"7"	"21"	"441"	""	"441"	""
"33"	"19"	"88"	"3"	"44"	"4"	"31"	"1"	"17"	"0"	"0"	"188"	""	"188"	""
"34"	"20"	"147"	"2"	"140"	"9"	"128"	"10"	"125"	"2"	"7"	"570"	""	"570"	""
"35"	"21"	"126"	"17"	"77"	"5"	"72"	"5"	"53"	"5"	"10"	"370"	""	"370"	""
"36"	"22"	"595"	"8"	"18"	"3"	"28"	"3"	"18"	"4"	"18"	"695"	""	"695"	""
"37"	"23"	"568"	"7"	"14"	"1"	"11"	"3"	"24"	"5"	"10"	"643"	""	"643"	""
"38"	"24"	"29"	"33"	"242"	"7"	"130"	"11"	"70"	"6"	"8"	"536"	""	"536"	""
"39"	"25"	"144"	"13"	"88"	"3"	"39"	"25"	"224"	"4"	"8"	"548"	""	"548"	""
"40"	"26"	"38"	"15"	"119"	"14"	"242"	"33"	"103"	"5"	"16"	"585"	""	"585"	""
"41"	"27"	"211"	"12"	"214"	"16"	"86"	"9"	"140"	"52"	"16"	"756"	""	"756"	""
"42"	"28"	"83"	"7"	"268"	"6"	"45"	"7"	"57"	"6"	"11"	"490"	""	"490"	""
"43"	"TOTAL"	"2386"	"141"	"1757"	"113"	"1107"	"161"	"1304"	"113"	"184"	"7266"	"0"	"7266"	"0"
"44"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"45"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"47"	"29"	"234"	"9"	"72"	"4"	"28"	"5"	"3"	"2"	"5"	"362"	""	"362"	""
"48"	"30"	"43"	"10"	"359"	"5"	"10"	"4"	"15"	"2"	"4"	"452"	""	"452"	""
"49"	"31"	"193"	"8"	"435"	"10"	"31"	"6"	"22"	"6"	"20"	"731"	""	"731"	""
"50"	"32"	"269"	"7"	"183"	"13"	"23"	"7"	"28"	"0"	"4"	"534"	""	"534"	""
"51"	"33"	"39"	"11"	"583"	"14"	"5"	"3"	"30"	"2"	"7"	"694"	""	"694"	""
"52"	"34"	"108"	"5"	"549"	"12"	"9"	"3"	"7"	"4"	"16"	"713"	""	"713"	""
"53"	"35"	"36"	"11"	"522"	"8"	"12"	"5"	"12"	"5"	"6"	"617"	""	"617"	""
"54"	"36"	"121"	"4"	"165"	"3"	"89"	"8"	"30"	"5"	"8"	"433"	""	"433"	""
"55"	"37"	"272"	"8"	"59"	"7"	"209"	"7"	"8"	"2"	"9"	"581"	""	"581"	""
"56"	"38"	"89"	"12"	"199"	"13"	"36"	"16"	"206"	"7"	"37"	"615"	""	"615"	""
"57"	"39"	"482"	"8"	"133"	"8"	"24"	"10"	"108"	"2"	"6"	"781"	""	"781"	""
"58"	"40"	"350"	"17"	"40"	"7"	"145"	"13"	"82"	"5"	"20"	"679"	""	"679"	""
"59"	"41"	"365"	"6"	"22"	"1"	"43"	"8"	"43"	"0"	"5"	"493"	""	"493"	""
"60"	"42"	"160"	"4"	"30"	"9"	"33"	"13"	"249"	"5"	"19"	"522"	""	"522"	""
"61"	"TOTAL"	"2761"	"120"	"3351"	"114"	"697"	"108"	"843"	"47"	"166"	"8207"	"0"	"8207"	"0"
"62"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"63"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"64"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"65"	"43"	"192"	"9"	"64"	"9"	"20"	"24"	"410"	"13"	"46"	"787"	""	"787"	""
"66"	"44"	"247"	"27"	"44"	"13"	"67"	"13"	"102"	"9"	"28"	"550"	""	"550"	""
"67"	"45"	"166"	"21"	"112"	"11"	"43"	"11"	"120"	"8"	"26"	"518"	""	"518"	""
"68"	"46"	"113"	"8"	"166"	"11"	"145"	"20"	"120"	"14"	"16"	"613"	""	"613"	""
"69"	"47"	"226"	"13"	"225"	"11"	"16"	"12"	"30"	"6"	"11"	"550"	""	"550"	""
"70"	"48"	"37"	"51"	"218"	"8"	"85"	"5"	"8"	"2"	"12"	"426"	""	"426"	""
"71"	"49"	"0"	"0"	"16"	"3"	"472"	"3"	"0"	"0"	"2"	"496"	""	"496"	""
"72"	"50"	"19"	"6"	"228"	"11"	"191"	"7"	"9"	"8"	"8"	"487"	""	"487"	""
"73"	"51"	"112"	"14"	"315"	"9"	"23"	"9"	"127"	"5"	"5"	"619"	""	"619"	""
"74"	"52"	"25"	"10"	"175"	"7"	"90"	"7"	"27"	"5"	"18"	"364"	""	"364"	""
"75"	"53"	"9"	"6"	"76"	"5"	"238"	"16"	"124"	"11"	"23"	"508"	""	"508"	""
"76"	"54"	"39"	"32"	"97"	"23"	"161"	"21"	"167"	"9"	"22"	"571"	""	"571"	""
"77"	"55"	"22"	"94"	"33"	"13"	"189"	"11"	"120"	"12"	"13"	"507"	""	"507"	""
"78"	"56"	"20"	"34"	"33"	"1"	"129"	"9"	"61"	"2"	"6"	"295"	""	"295"	""
"79"	"TOTAL"	"1227"	"325"	"1802"	"135"	"1869"	"168"	"1425"	"104"	"236"	"7291"	"0"	"7291"	"0"
"80"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"81"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"82"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"83"	"57"	"16"	"10"	"15"	"13"	"116"	"10"	"251"	"7"	"14"	"452"	""	"452"	""
"84"	"58"	"24"	"30"	"121"	"14"	"175"	"20"	"58"	"3"	"15"	"460"	""	"460"	""
"85"	"59"	"11"	"11"	"65"	"10"	"157"	"15"	"195"	"2"	"0"	"466"	""	"466"	""
"86"	"60"	"127"	"11"	"71"	"101"	"140"	"21"	"126"	"18"	"35"	"650"	""	"650"	""
"87"	"61"	"22"	"1"	"34"	"14"	"139"	"17"	"245"	"3"	"3"	"478"	""	"478"	""
"88"	"62"	"222"	"6"	"38"	"2"	"111"	"1"	"25"	"0"	"1"	"406"	""	"406"	""
"89"	"63"	"246"	"11"	"72"	"3"	"29"	"3"	"32"	"5"	"12"	"413"	""	"413"	""
"90"	"64"	"15"	"7"	"52"	"9"	"12"	"23"	"553"	"12"	"22"	"705"	""	"705"	""
"91"	"65"	"194"	"11"	"90"	"9"	"47"	"27"	"285"	"7"	"7"	"677"	""	"677"	""
"92"	"66"	"56"	"11"	"106"	"4"	"293"	"10"	"5"	"6"	"10"	"501"	""	"501"	""
"93"	"67"	"9"	"0"	"22"	"0"	"203"	"6"	"19"	"1"	"3"	"263"	""	"263"	""
"94"	"68"	"7"	"8"	"36"	"8"	"283"	"16"	"57"	"5"	"9"	"429"	""	"429"	""
"95"	"69"	"111"	"3"	"145"	"5"	"192"	"7"	"210"	"3"	"8"	"684"	""	"684"	""
"96"	"70"	"14"	"6"	"59"	"3"	"217"	"20"	"386"	"8"	"10"	"723"	""	"723"	""
"97"	"TOTAL"	"1074"	"126"	"926"	"195"	"2114"	"196"	"2447"	"80"	"149"	"7307"	"0"	"7307"	"0"
"98"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"99"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"101"	"71"	"36"	"52"	"91"	"19"	"161"	"22"	"353"	"16"	"29"	"779"	""	"779"	""
"102"	"72"	"60"	"2"	"113"	"13"	"88"	"27"	"246"	"9"	"34"	"592"	""	"592"	""
"103"	"73"	"178"	"8"	"123"	"15"	"152"	"16"	"192"	"9"	"14"	"707"	""	"707"	""
"104"	"74"	"81"	"6"	"63"	"9"	"117"	"14"	"221"	"2"	"4"	"517"	""	"517"	""
"105"	"75"	"150"	"7"	"27"	"6"	"48"	"10"	"102"	"8"	"10"	"368"	""	"368"	""
"106"	"76"	"499"	"25"	"112"	"7"	"23"	"4"	"32"	"4"	"11"	"717"	""	"717"	""
"107"	"77"	"78"	"4"	"140"	"10"	"159"	"10"	"52"	"13"	"17"	"483"	""	"483"	""
"108"	"78"	"50"	"15"	"126"	"22"	"104"	"14"	"124"	"8"	"15"	"478"	""	"478"	""
"109"	"79"	"77"	"21"	"158"	"11"	"155"	"13"	"53"	"7"	"29"	"524"	""	"524"	""
"110"	"80"	"56"	"4"	"49"	"7"	"288"	"12"	"41"	"9"	"4"	"470"	""	"470"	""
"111"	"81"	"43"	"11"	"154"	"29"	"97"	"22"	"171"	"13"	"21"	"561"	""	"561"	""
"112"	"82"	"6"	"4"	"45"	"3"	"16"	"13"	"389"	"13"	"16"	"505"	""	"505"	""
"113"	"83"	"2"	"7"	"18"	"2"	"25"	"19"	"384"	"6"	"9"	"472"	""	"472"	""
"114"	"84"	"16"	"6"	"25"	"11"	"23"	"34"	"404"	"14"	"28"	"561"	""	"561"	""
"115"	"TOTAL"	"1332"	"172"	"1244"	"164"	"1456"	"230"	"2764"	"131"	"241"	"7734"	"0"	"7734"	"0"
"116"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"117"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"119"	"85"	"15"	"5"	"34"	"12"	"44"	"31"	"309"	"10"	"20"	"480"	""	"480"	""
"120"	"86"	"129"	"5"	"90"	"6"	"47"	"0"	"10"	"1"	"12"	"300"	""	"300"	""
"121"	"87"	"98"	"1"	"57"	"1"	"191"	"2"	"4"	"1"	"0"	"355"	""	"355"	""
"122"	"88"	"18"	"10"	"163"	"8"	"62"	"1"	"5"	"1"	"3"	"271"	""	"271"	""
"123"	"89"	"11"	"10"	"215"	"4"	"5"	"3"	"9"	"2"	"3"	"262"	""	"262"	""
"124"	"90"	"17"	"9"	"132"	"10"	"5"	"15"	"174"	"8"	"8"	"378"	""	"378"	""
"125"	"91"	"4"	"10"	"40"	"8"	"6"	"20"	"357"	"7"	"9"	"461"	""	"461"	""
"126"	"92"	"473"	"10"	"36"	"6"	"9"	"4"	"11"	"5"	"18"	"572"	""	"572"	""
"127"	"93"	"364"	"4"	"25"	"2"	"1"	"5"	"18"	"5"	"16"	"440"	""	"440"	""
"128"	"94"	"93"	"4"	"22"	"4"	"111"	"11"	"163"	"3"	"3"	"414"	""	"414"	""
"129"	"95"	"20"	"4"	"183"	"1"	"25"	"10"	"43"	"3"	"10"	"299"	""	"299"	""
"130"	"96"	"355"	"5"	"9"	"4"	"10"	"10"	"121"	"2"	"14"	"530"	""	"530"	""
"131"	"97"	"128"	"8"	"52"	"12"	"14"	"34"	"197"	"7"	"25"	"477"	""	"477"	""
"132"	"98"	"18"	"9"	"19"	"11"	"32"	"28"	"429"	"10"	"22"	"578"	""	"578"	""
"133"	"TOTAL"	"1743"	"94"	"1077"	"89"	"562"	"174"	"1850"	"65"	"163"	"5817"	"0"	"5817"	"0"
"134"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"135"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"136"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"137"	"99"	"69"	"5"	"139"	"3"	"78"	"5"	"12"	"8"	"10"	"329"	""	"329"	""
"138"	"100"	"29"	"8"	"135"	"7"	"21"	"6"	"77"	"10"	"12"	"305"	""	"305"	""
"139"	"101"	"4"	"1"	"336"	"4"	"127"	"12"	"44"	"0"	"4"	"532"	""	"532"	""
"140"	"102"	"19"	"10"	"80"	"6"	"260"	"19"	"143"	"7"	"12"	"556"	""	"556"	""
"141"	"103"	"8"	"3"	"43"	"12"	"90"	"8"	"29"	"1"	"9"	"203"	""	"203"	""
"142"	"104"	"21"	"15"	"131"	"7"	"24"	"22"	"284"	"10"	"19"	"533"	""	"533"	""
"143"	"105"	"18"	"2"	"50"	"6"	"204"	"18"	"148"	"2"	"12"	"460"	""	"460"	""
"144"	"106"	"13"	"11"	"40"	"4"	"26"	"18"	"398"	"9"	"9"	"528"	""	"528"	""
"145"	"107"	"1"	"0"	"7"	"2"	"2"	"3"	"655"	"3"	"4"	"677"	""	"677"	""
"146"	"108"	"20"	"1"	"31"	"12"	"4"	"22"	"544"	"6"	"14"	"654"	""	"654"	""
"147"	"109"	"19"	"4"	"92"	"12"	"4"	"25"	"234"	"7"	"15"	"412"	""	"412"	""
"148"	"110"	"1"	"1"	"12"	"1"	"0"	"6"	"657"	"2"	"4"	"684"	""	"684"	""
"149"	"111"	"6"	"10"	"152"	"10"	"9"	"24"	"533"	"5"	"8"	"757"	""	"757"	""
"150"	"112"	"2"	"1"	"11"	"2"	"0"	"7"	"726"	"2"	"8"	"759"	""	"759"	""
"151"	"TOTAL"	"230"	"72"	"1259"	"88"	"849"	"195"	"4484"	"72"	"140"	"7389"	"0"	"7389"	"0"
"152"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"153"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"154"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"155"	"113"	"10"	"3"	"36"	"5"	"4"	"14"	"421"	"6"	"11"	"510"	""	"510"	""
"156"	"114"	"38"	"9"	"190"	"6"	"133"	"7"	"9"	"9"	"16"	"417"	""	"417"	""
"157"	"115"	"15"	"10"	"137"	"9"	"107"	"5"	"11"	"5"	"21"	"320"	""	"320"	""
"158"	"116"	"44"	"7"	"66"	"12"	"515"	"18"	"30"	"12"	"47"	"751"	""	"751"	""
"159"	"117"	"8"	"4"	"114"	"16"	"474"	"16"	"5"	"5"	"12"	"654"	""	"654"	""
"160"	"118"	"64"	"14"	"115"	"13"	"277"	"13"	"28"	"4"	"18"	"546"	""	"546"	""
"161"	"119"	"28"	"9"	"84"	"8"	"198"	"8"	"15"	"3"	"7"	"360"	""	"360"	""
"162"	"120"	"286"	"8"	"193"	"9"	"3"	"0"	"5"	"0"	"5"	"509"	""	"509"	""
"163"	"121"	"100"	"19"	"212"	"22"	"15"	"24"	"240"	"25"	"60"	"717"	""	"717"	""
"164"	"122"	"279"	"7"	"164"	"15"	"76"	"15"	"110"	"17"	"52"	"735"	""	"735"	""
"165"	"123"	"64"	"0"	"75"	"3"	"210"	"10"	"5"	"8"	"29"	"404"	""	"404"	""
"166"	"124"	"37"	"8"	"50"	"10"	"297"	"10"	"5"	"2"	"24"	"443"	""	"443"	""
"167"	"125"	"."	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"168"	"126"	"14"	"10"	"187"	"15"	"177"	"11"	"11"	"12"	"13"	"450"	""	"450"	""
"169"	"TOTAL"	"987"	"108"	"1623"	"143"	"2486"	"151"	"895"	"108"	"315"	"6816"	"0"	"6816"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"171"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"173"	"127"	"44"	"18"	"90"	"8"	"52"	"15"	"161"	"4"	"12"	"404"	""	"404"	""
"174"	"128"	"47"	"29"	"162"	"12"	"39"	"10"	"128"	"7"	"5"	"439"	""	"439"	""
"175"	"129"	"61"	"7"	"45"	"9"	"7"	"9"	"121"	"7"	"13"	"279"	""	"279"	""
"176"	"130"	"6"	"13"	"115"	"5"	"21"	"4"	"16"	"4"	"4"	"188"	""	"188"	""
"177"	"131"	"26"	"3"	"98"	"12"	"329"	"16"	"51"	"15"	"38"	"588"	""	"588"	""
"178"	"132"	"11"	"2"	"120"	"7"	"447"	"14"	"24"	"4"	"10"	"639"	""	"639"	""
"179"	"133"	"17"	"7"	"78"	"9"	"265"	"24"	"152"	"13"	"9"	"574"	""	"574"	""
"180"	"134"	"20"	"6"	"97"	"14"	"229"	"17"	"190"	"6"	"8"	"587"	""	"587"	""
"181"	"135"	"31"	"8"	"76"	"5"	"19"	"27"	"238"	"11"	"20"	"435"	""	"435"	""
"182"	"136"	"147"	"4"	"47"	"6"	"34"	"15"	"82"	"4"	"24"	"363"	""	"363"	""
"183"	"137"	"181"	"6"	"57"	"4"	"16"	"9"	"27"	"8"	"23"	"331"	""	"331"	""
"184"	"138"	"16"	"6"	"28"	"10"	"11"	"23"	"385"	"8"	"37"	"524"	""	"524"	""
"185"	"139"	"49"	"3"	"21"	"3"	"152"	"13"	"162"	"4"	"16"	"423"	""	"423"	""
"186"	"140"	"2"	"0"	"18"	"0"	"34"	"4"	"535"	"1"	"1"	"595"	""	"595"	""
"187"	"TOTAL"	"658"	"112"	"1052"	"104"	"1655"	"200"	"2272"	"96"	"220"	"6369"	"0"	"6369"	"0"
"188"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"189"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"190"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"191"	"141"	"508"	"6"	"53"	"6"	"16"	"13"	"83"	"6"	"7"	"698"	""	"698"	""
"192"	"142"	"226"	"3"	"25"	"3"	"3"	"13"	"90"	"1"	"11"	"375"	""	"375"	""
"193"	"143"	"248"	"5"	"77"	"8"	"81"	"13"	"92"	"4"	"24"	"552"	""	"552"	""
"194"	"144"	"362"	"11"	"28"	"2"	"9"	"4"	"15"	"3"	"8"	"442"	""	"442"	""
"195"	"145"	"352"	"8"	"25"	"4"	"3"	"0"	"13"	"2"	"5"	"412"	""	"412"	""
"196"	"146"	"122"	"7"	"56"	"1"	"13"	"8"	"59"	"14"	"197"	"477"	""	"477"	""
"197"	"147"	"252"	"5"	"141"	"4
2"	"7"	"3"	"41"	"0"	"12"	"465"	""	"465"	""
"198"	"148"	"661"	"17"	"5"	""	"3"	"6"	"14"	"10"	"38"	"756"	""	"756"	""
"199"	"149"	"631"	"11"	"7"	"2"	"3"	"4"	"28"	"3"	"39"	"728"	""	"728"	""
"200"	"150"	"285"	"16"	"60"	"9"	"87"	"8"	"67"	"13"	"35"	"580"	""	"580"	""
"201"	"151"	"300"	"15"	"56"	"9"	"15"	"15"	"98"	"15"	"62"	"585"	""	"585"	""
"202"	"152"	"576"	"9"	"6"	"2"	"8"	"0"	"10"	"2"	"12"	"625"	""	"625"	""
"203"	"153"	"47"	"12"	"130"	"10"	"20"	"13"	"478"	"10"	"33"	"753"	""	"753"	""
"204"	"154"	"20"	"19"	"97"	"11"	"100"	"30"	"131"	"6"	"16"	"430"	""	"430"	""
"205"	"TOTAL"	"4590"	"144"	"766"	"73"	"368"	"130"	"1219"	"89"	"499"	"7878"	"0"	"7878"	"0"
"206"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"207"	""	"PANNA LAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"209"	"155"	"102"	"13"	"56"	"4"	"51"	"21"	"400"	"14"	"21"	"682"	""	"682"	""
"210"	"156"	"130"	"14"	"125"	"14"	"11"	"16"	"310"	"22"	"38"	"680"	""	"680"	""
"211"	"157"	"119"	"12"	"209"	"20"	"65"	"14"	"217"	"4"	"22"	"682"	""	"682"	""
"212"	"158"	"232"	"6"	"103"	"6"	"3"	"11"	"45"	"8"	"12"	"426"	""	"426"	""
