"Total..No..of.Electors.in.Assembly.consitiuency...201806"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Name of Assembly - 84-  MANIGACHHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [ (SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"25"	"17"	"17"	"5"	"4"	"150"	"3"	"66"	"0"	"1"	"3"	"17"	"1"	"4"	"1"	"0"	"255"	"0"	"255"	"0"
"26"	"18"	"18"	"13"	"4"	"60"	"0"	"19"	"2"	"0"	"2"	"79"	"3"	"2"	"9"	"2"	"195"	"0"	"195"	"0"
"27"	"19"	"19"	"23"	"6"	"390"	"7"	"58"	"4"	"1"	"5"	"12"	"1"	"6"	"10"	"4"	"527"	"0"	"527"	"0"
"28"	"20"	"20"	"243"	"10"	"36"	"3"	"59"	"3"	"6"	"11"	"137"	"4"	"6"	"19"	"15"	"552"	"0"	"552"	"0"
"29"	"21"	"21"	"315"	"7"	"197"	"6"	"11"	"0"	"2"	"3"	"19"	"3"	"13"	"15"	"21"	"612"	"0"	"612"	"0"
"30"	"22"	"22"	"77"	"9"	"224"	"11"	"125"	"7"	"3"	"24"	"28"	"7"	"26"	"14"	"34"	"589"	"0"	"589"	"0"
"31"	"23"	"23"	"303"	"4"	"68"	"1"	"1"	"3"	"0"	"0"	"11"	"1"	"2"	"3"	"14"	"411"	"0"	"411"	"0"
"32"	"24"	"24"	"3"	"2"	"96"	"2"	"5"	"1"	"1"	"6"	"395"	"2"	"4"	"34"	"10"	"561"	"0"	"561"	"0"
"33"	"25"	"25"	"6"	"1"	"42"	"1"	"6"	"1"	"1"	"15"	"494"	"1"	"1"	"17"	"2"	"588"	"0"	"588"	"0"
"34"	"26"	"26"	"1"	"0"	"55"	"1"	"3"	"2"	"2"	"3"	"449"	"4"	"2"	"14"	"1"	"537"	"0"	"537"	"0"
"35"	"27"	"27"	"30"	"10"	"269"	"10"	"34"	"9"	"8"	"14"	"197"	"14"	"20"	"65"	"36"	"716"	"0"	"716"	"0"
"36"	"28"	"28"	"44"	"11"	"71"	"12"	"184"	"9"	"4"	"15"	"23"	"6"	"22"	"13"	"23"	"437"	"0"	"437"	"0"
"37"	"29"	"29"	"218"	"9"	"103"	"10"	"55"	"2"	"5"	"8"	"55"	"4"	"3"	"15"	"22"	"509"	"0"	"509"	"0"
"38"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"39"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"41"	"30"	"30"	"86"	"4"	"66"	"2"	"12"	"4"	"3"	"5"	"99"	"2"	"3"	"23"	"8"	"317"	"0"	"317"	"0"
"42"	"31"	"31"	"241"	"11"	"66"	"1"	"31"	"2"	"2"	"3"	"58"	"4"	"3"	"21"	"12"	"455"	"0"	"455"	"0"
"43"	"32"	"32"	"172"	"3"	"22"	"2"	"1"	"1"	"2"	"6"	"70"	"1"	"0"	"31"	"5"	"316"	"0"	"316"	"0"
"44"	"33"	"33"	"210"	"12"	"128"	"8"	"11"	"6"	"0"	"3"	"33"	"5"	"6"	"18"	"5"	"445"	"0"	"445"	"0"
"45"	"34"	"34"	"6"	"2"	"309"	"0"	"22"	"2"	"2"	"6"	"266"	"0"	"3"	"11"	"1"	"630"	"0"	"630"	"0"
"46"	"35"	"35"	"3"	"1"	"214"	"2"	"4"	"0"	"3"	"6"	"144"	"1"	"7"	"12"	"18"	"415"	"0"	"415"	"0"
"47"	"36"	"36"	"2"	"2"	"119"	"2"	"3"	"2"	"1"	"4"	"211"	"3"	"0"	"22"	"2"	"373"	"0"	"373"	"0"
"48"	"37"	"37"	"4"	"6"	"110"	"3"	"13"	"0"	"2"	"5"	"124"	"3"	"3"	"8"	"8"	"289"	"0"	"289"	"0"
"49"	"38"	"38"	"44"	"8"	"523"	"8"	"16"	"0"	"1"	"2"	"1"	"1"	"0"	"1"	"4"	"609"	"0"	"609"	"0"
"50"	"39"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"51"	"40"	"40"	"255"	"12"	"248"	"16"	"92"	"2"	"4"	"7"	"20"	"4"	"11"	"16"	"10"	"697"	"0"	"697"	"0"
"52"	"41"	"41"	"21"	"11"	"92"	"7"	"38"	"2"	"4"	"14"	"123"	"2"	"6"	"14"	"7"	"341"	"0"	"341"	"0"
"53"	"42"	"42"	"21"	"2"	"56"	"7"	"263"	"9"	"3"	"12"	"39"	"6"	"9"	"13"	"14"	"454"	"0"	"454"	"0"
"54"	"43"	"43"	"12"	"7"	"120"	"0"	"60"	"2"	"0"	"2"	"13"	"1"	"0"	"2"	"7"	"226"	"0"	"226"	"0"
"55"	"44"	"44"	"17"	"1"	"302"	"3"	"18"	"4"	"1"	"4"	"1"	"0"	"2"	"2"	"5"	"360"	"0"	"360"	"0"
"56"	"45"	"45"	"2"	"6"	"529"	"2"	"5"	"0"	"0"	"3"	"3"	"0"	"1"	"0"	"2"	"553"	"0"	"553"	"0"
"57"	"46"	"46"	"18"	"5"	"14"	"2"	"196"	"2"	"6"	"5"	"41"	"5"	"8"	"13"	"15"	"330"	"0"	"330"	"0"
"58"	"47"	"47"	"60"	"15"	"277"	"21"	"18"	"3"	"6"	"4"	"61"	"8"	"9"	"12"	"28"	"522"	"0"	"522"	"0"
"59"	"48"	"48"	"40"	"11"	"250"	"12"	"47"	"2"	"3"	"4"	"17"	"5"	"3"	"9"	"18"	"421"	"0"	"421"	"0"
"60"	"49"	"49"	"44"	"9"	"173"	"10"	"147"	"8"	"4"	"13"	"48"	"3"	"13"	"7"	"16"	"495"	"0"	"495"	"0"
"61"	"50"	"50"	"105"	"9"	"97"	"16"	"341"	"7"	"6"	"17"	"18"	"3"	"9"	"15"	"13"	"656"	"0"	"656"	"0"
"62"	"51"	"51"	"147"	"10"	"132"	"58"	"171"	"10"	"6"	"8"	"22"	"3"	"11"	"5"	"14"	"597"	"0"	"597"	"0"
"63"	"52"	"52"	"63"	"3"	"80"	"24"	"160"	"6"	"3"	"10"	"12"	"3"	"12"	"13"	"14"	"403"	"0"	"403"	"0"
"64"	"53"	"53"	"52"	"2"	"19"	"74"	"210"	"7"	"3"	"12"	"8"	"5"	"6"	"4"	"23"	"425"	"0"	"425"	"0"
"65"	"54"	"54"	"25"	"6"	"204"	"9"	"129"	"2"	"0"	"1"	"5"	"1"	"11"	"4"	"4"	"401"	"0"	"401"	"0"
"66"	"55"	"55"	"46"	"9"	"110"	"19"	"99"	"6"	"2"	"5"	"26"	"7"	"14"	"11"	"36"	"390"	"0"	"390"	"0"
"67"	"56"	"56"	"356"	"2"	"67"	"2"	"6"	"0"	"0"	"0"	"12"	"1"	"1"	"4"	"2"	"453"	"0"	"453"	"0"
"68"	"57"	"57"	"713"	"0"	"23"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"737"	"0"	"737"	"0"
"69"	"58"	"58"	"287"	"7"	"60"	"3"	"4"	"1"	"1"	"2"	"4"	"1"	"1"	"3"	"5"	"379"	"0"	"379"	"0"
"70"	"59"	"59"	"55"	"16"	"182"	"19"	"209"	"10"	"12"	"16"	"12"	"2"	"10"	"5"	"13"	"561"	"0"	"561"	"0"
"71"	"60"	"60"	"13"	"2"	"489"	"10"	"10"	"0"	"0"	"5"	"2"	"1"	"2"	"3"	"4"	"541"	"0"	"541"	"0"
"72"	"61"	"61"	"292"	"6"	"120"	"4"	"8"	"1"	"1"	"2"	"3"	"3"	"1"	"8"	"6"	"455"	"0"	"455"	"0"
"73"	"62"	"62"	"9"	"7"	"394"	"2"	"25"	"0"	"1"	"5"	"8"	"1"	"4"	"13"	"2"	"471"	"0"	"471"	"0"
"74"	"63"	"63"	"608"	"7"	"40"	"6"	"6"	"1"	"0"	"0"	"2"	"1"	"1"	"6"	"11"	"689"	"0"	"689"	"0"
"75"	"64"	"64"	"113"	"14"	"304"	"17"	"23"	"4"	"7"	"8"	"8"	"11"	"22"	"18"	"23"	"572"	"0"	"572"	"0"
"76"	"65"	"65"	"14"	"5"	"104"	"5"	"7"	"2"	"5"	"4"	"165"	"6"	"4"	"24"	"11"	"356"	"0"	"356"	"0"
"77"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"78"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"79"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"80"	"66"	"66"	"180"	"6"	"44"	"2"	"2"	"0"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"241"	"0"	"241"	"0"
"81"	"67"	"67"	"179"	"17"	"222"	"17"	"13"	"3"	"6"	"8"	"13"	"2"	"3"	"6"	"3"	"492"	"0"	"492"	"0"
"82"	"68"	"68"	"239"	"11"	"144"	"7"	"17"	"7"	"4"	"11"	"90"	"2"	"1"	"23"	"9"	"565"	"0"	"565"	"0"
"83"	"69"	"69"	"150"	"1"	"242"	"7"	"10"	"2"	"3"	"4"	"14"	"3"	"3"	"7"	"24"	"470"	"0"	"470"	"0"
"84"	"70"	"70"	"227"	"4"	"366"	"12"	"15"	"4"	"3"	"1"	"4"	"3"	"8"	"6"	"6"	"659"	"0"	"659"	"0"
"85"	"71"	"71"	"243"	"13"	"128"	"12"	"54"	"5"	"3"	"17"	"22"	"10"	"16"	"26"	"53"	"602"	"0"	"602"	"0"
"86"	"72"	"72"	"261"	"15"	"390"	"19"	"20"	"3"	"7"	"8"	"35"	"2"	"6"	"10"	"9"	"785"	"0"	"785"	"0"
"87"	"73"	"73"	"547"	"1"	"145"	"2"	"48"	"1"	"1"	"2"	"6"	"0"	"1"	"7"	"4"	"765"	"0"	"765"	"0"
"88"	"74"	"74"	"196"	"10"	"210"	"9"	"28"	"4"	"5"	"8"	"9"	"8"	"20"	"17"	"40"	"564"	"0"	"564"	"0"
"89"	"75"	"75"	"417"	"17"	"143"	"17"	"7"	"6"	"5"	"6"	"5"	"2"	"0"	"3"	"7"	"635"	"0"	"635"	"0"
"90"	"76"	"76"	"210"	"13"	"134"	"12"	"30"	"4"	"1"	"4"	"8"	"1"	"6"	"15"	"13"	"451"	"0"	"451"	"0"
"91"	"77"	"77"	"121"	"4"	"89"	"4"	"9"	"4"	"0"	"2"	"3"	"1"	"12"	"5"	"36"	"290"	"0"	"290"	"0"
"92"	"78"	"78"	"273"	"7"	"112"	"13"	"21"	"5"	"3"	"2"	"2"	"3"	"0"	"0"	"10"	"451"	"0"	"451"	"0"
"93"	"79"	"79"	"180"	"9"	"439"	"22"	"15"	"6"	"6"	"3"	"7"	"3"	"1"	"2"	"5"	"698"	"0"	"698"	"0"
"94"	"80"	"80"	"35"	"11"	"634"	"24"	"38"	"4"	"10"	"5"	"9"	"4"	"11"	"7"	"11"	"803"	"0"	"803"	"0"
"95"	"81"	"81"	"31"	"2"	"81"	"8"	"6"	"1"	"1"	"12"	"79"	"2"	"3"	"28"	"10"	"264"	"0"	"264"	"0"
"96"	"82"	"82"	"138"	"9"	"152"	"6"	"15"	"3"	"0"	"2"	"3"	"3"	"3"	"7"	"4"	"345"	"0"	"345"	"0"
"97"	"83"	"83"	"120"	"15"	"195"	"8"	"52"	"2"	"4"	"7"	"7"	"1"	"1"	"4"	"11"	"427"	"0"	"427"	"0"
"98"	"84"	"84"	"281"	"8"	"110"	"10"	"9"	"0"	"3"	"1"	"3"	"0"	"3"	"8"	"9"	"445"	"0"	"445"	"0"
"99"	"85"	"85"	"47"	"2"	"229"	"8"	"15"	"5"	"2"	"5"	"4"	"3"	"2"	"7"	"12"	"341"	"0"	"341"	"0"
"100"	"86"	"86"	"197"	"3"	"46"	"0"	"4"	"0"	"1"	"0"	"3"	"1"	"1"	"4"	"4"	"264"	"0"	"264"	"0"
"101"	"87"	"87"	"149"	"8"	"85"	"5"	"2"	"2"	"0"	"4"	"3"	"1"	"3"	"6"	"10"	"278"	"0"	"278"	"0"
"102"	"88"	"88"	"46"	"4"	"255"	"6"	"6"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"6"	"328"	"0"	"328"	"0"
"103"	"89"	"89"	"223"	"10"	"92"	"8"	"64"	"5"	"4"	"11"	"11"	"0"	"12"	"14"	"27"	"481"	"0"	"481"	"0"
"104"	"90"	"90"	"166"	"10"	"193"	"15"	"13"	"3"	"4"	"3"	"8"	"4"	"10"	"9"	"58"	"496"	"0"	"496"	"0"
"105"	"91"	"91"	"165"	"12"	"111"	"9"	"44"	"2"	"2"	"11"	"16"	"6"	"9"	"19"	"30"	"436"	"0"	"436"	"0"
"106"	"92"	"92"	"162"	"14"	"217"	"15"	"25"	"3"	"4"	"11"	"38"	"8"	"11"	"25"	"45"	"578"	"0"	"578"	"0"
"107"	"93"	"93"	"78"	"9"	"179"	"15"	"55"	"5"	"3"	"6"	"53"	"6"	"12"	"32"	"32"	"485"	"0"	"485"	"0"
"108"	"94"	"94"	"352"	"21"	"78"	"5"	"6"	"1"	"0"	"2"	"9"	"1"	"2"	"12"	"22"	"511"	"0"	"511"	"0"
"109"	"95"	"95"	"448"	"1"	"25"	"2"	"5"	"1"	"1"	"0"	"2"	"1"	"0"	"3"	"18"	"507"	"0"	"507"	"0"
"110"	"96"	"96"	"123"	"9"	"340"	"8"	"9"	"7"	"3"	"4"	"5"	"10"	"7"	"6"	"16"	"547"	"0"	"547"	"0"
"111"	"97"	"97"	"39"	"5"	"467"	"24"	"15"	"2"	"3"	"2"	"4"	"7"	"21"	"9"	"43"	"641"	"0"	"641"	"0"
"112"	"98"	"98"	"432"	"10"	"70"	"9"	"8"	"2"	"1"	"0"	"3"	"3"	"4"	"4"	"7"	"553"	"0"	"553"	"0"
"113"	"99"	"99"	"340"	"9"	"107"	"6"	"39"	"4"	"3"	"6"	"14"	"8"	"9"	"23"	"36"	"604"	"0"	"604"	"0"
"114"	"100"	"100"	"309"	"7"	"125"	"12"	"7"	"4"	"3"	"5"	"11"	"1"	"1"	"20"	"30"	"535"	"0"	"535"	"0"
"115"	"101"	"101"	"285"	"11"	"29"	"2"	"8"	"9"	"4"	"11"	"12"	"6"	"4"	"11"	"23"	"415"	"0"	"415"	"0"
"116"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"117"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"119"	"102"	"102"	"204"	"9"	"90"	"10"	"70"	"4"	"3"	"6"	"8"	"8"	"5"	"2"	"7"	"426"	"0"	"426"	"0"
"120"	"103"	"103"	"533"	"12"	"26"	"2"	"9"	"1"	"0"	"5"	"5"	"1"	"1"	"10"	"15"	"620"	"0"	"620"	"0"
"121"	"104"	"104"	"270"	"21"	"189"	"12"	"7"	"7"	"5"	"3"	"7"	"4"	"8"	"9"	"26"	"568"	"0"	"568"	"0"
"122"	"105"	"105"	"193"	"4"	"27"	"4"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"3"	"27"	"264"	"0"	"264"	"0"
"123"	"106"	"106"	"347"	"11"	"48"	"1"	"2"	"4"	"1"	"7"	"2"	"4"	"3"	"11"	"16"	"457"	"0"	"457"	"0"
"124"	"107"	"107"	"314"	"23"	"200"	"8"	"28"	"2"	"8"	"3"	"9"	"3"	"1"	"4"	"2"	"605"	"0"	"605"	"0"
"125"	"108"	"108"	"344"	"14"	"237"	"15"	"6"	"0"	"4"	"6"	"2"	"5"	"6"	"10"	"11"	"660"	"0"	"660"	"0"
"126"	"109"	"109"	"606"	"10"	"56"	"6"	"3"	"1"	"2"	"1"	"1"	"3"	"4"	"7"	"31"	"731"	"0"	"731"	"0"
"127"	"110"	"110"	"494"	"12"	"73"	"4"	"8"	"3"	"3"	"4"	"2"	"4"	"3"	"9"	"17"	"636"	"0"	"636"	"0"
"128"	"111"	"111"	"403"	"7"	"128"	"5"	"2"	"3"	"4"	"0"	"4"	"1"	"4"	"5"	"34"	"600"	"0"	"600"	"0"
"129"	"112"	"112"	"209"	"10"	"151"	"9"	"10"	"3"	"0"	"5"	"11"	"7"	"3"	"13"	"8"	"439"	"0"	"439"	"0"
"130"	"113"	"113"	"7"	"5"	"220"	"5"	"45"	"1"	"1"	"2"	"205"	"2"	"4"	"20"	"6"	"523"	"0"	"523"	"0"
"131"	"114"	"114"	"21"	"2"	"131"	"1"	"24"	"2"	"3"	"10"	"217"	"3"	"4"	"29"	"7"	"454"	"0"	"454"	"0"
"132"	"115"	"115"	"179"	"21"	"254"	"15"	"16"	"2"	"5"	"11"	"22"	"14"	"2"	"18"	"21"	"580"	"0"	"580"	"0"
"133"	"116"	"116"	"223"	"9"	"158"	"4"	"23"	"2"	"1"	"6"	"14"	"1"	"4"	"6"	"4"	"455"	"0"	"455"	"0"
"134"	"117"	"117"	"309"	"7"	"82"	"3"	"24"	"4"	"4"	"5"	"31"	"5"	"4"	"19"	"22"	"519"	"0"	"519"	"0"
"135"	"118"	"118"	"363"	"1"	"111"	"1"	"6"	"2"	"1"	"1"	"9"	"2"	"0"	"2"	"3"	"502"	"0"	"502"	"0"
"136"	"119"	"119"	"247"	"10"	"128"	"17"	"103"	"10"	"2"	"7"	"2"	"2"	"7"	"5"	"7"	"547"	"0"	"547"	"0"
"137"	"120"	"120"	"167"	"7"	"173"	"27"	"103"	"7"	"0"	"14"	"16"	"3"	"9"	"9"	"12"	"547"	"0"	"547"	"0"
"138"	"121"	"121"	"77"	"10"	"174"	"11"	"44"	"2"	"1"	"6"	"5"	"6"	"4"	"2"	"17"	"359"	"0"	"359"	"0"
"139"	"122"	"122"	"43"	"6"	"233"	"7"	"26"	"7"	"2"	"10"	"26"	"1"	"13"	"6"	"15"	"395"	"0"	"395"	"0"
"140"	"123"	"123"	"16"	"3"	"125"	"7"	"81"	"2"	"1"	"6"	"9"	"3"	"8"	"5"	"18"	"284"	"0"	"284"	"0"
"141"	"124"	"124"	"73"	"11"	"175"	"4"	"57"	"3"	"5"	"7"	"14"	"10"	"9"	"12"	"31"	"411"	"0"	"411"	"0"
"142"	"125"	"125"	"5"	"3"	"41"	"2"	"76"	"1"	"2"	"4"	"7"	"0"	"3"	"1"	"0"	"145"	"0"	"145"	"0"
"143"	"126"	"126"	"231"	"3"	"39"	"6"	"55"	"3"	"1"	"7"	"0"	"3"	"6"	"10"	"6"	"370"	"0"	"370"	"0"
"144"	"127"	"127"	"157"	"8"	"238"	"9"	"12"	"7"	"1"	"4"	"7"	"7"	"12"	"15"	"23"	"500"	"0"	"500"	"0"
"145"	"128"	"128"	"294"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"5"	"311"	"0"	"311"	"0"
"146"	"129"	"129"	"396"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"406"	"0"	"406"	"0"
"147"	"130"	"130"	"113"	"18"	"318"	"15"	"37"	"6"	"3"	"11"	"6"	"6"	"11"	"7"	"17"	"568"	"0"	"568"	"0"
"148"	"131"	"131"	"388"	"9"	"148"	"12"	"7"	"4"	"3"	"1"	"5"	"1"	"5"	"7"	"12"	"602"	"0"	"602"	"0"
"149"	"132"	"132"	"468"	"7"	"93"	"3"	"6"	"4"	"1"	"3"	"2"	"0"	"2"	"2"	"1"	"592"	"0"	"592"	"0"
"150"	"133"	"133"	"629"	"5"	"59"	"5"	"0"	"0"	"2"	"3"	"3"	"1"	"1"	"2"	"7"	"717"	"0"	"717"	"0"
"151"	"134"	"134"	"265"	"5"	"72"	"2"	"7"	"2"	"1"	"3"	"1"	"1"	"1"	"3"	"6"	"369"	"0"	"369"	"0"
"152"	"135"	"135"	"184"	"1"	"118"	"3"	"3"	"1"	"1"	"1"	"3"	"1"	"1"	"5"	"4"	"326"	"0"	"326"	"0"
"153"	"136"	"136"	"310"	"7"	"25"	"4"	"1"	"1"	"1"	"0"	"3"	"5"	"0"	"7"	"31"	"395"	"0"	"395"	"0"
"154"	"137"	"137"	"460"	"8"	"106"	"7"	"4"	"2"	"2"	"1"	"3"	"3"	"5"	"10"	"17"	"628"	"0"	"628"	"0"
"155"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"156"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"157"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"158"	"138"	"138"	"534"	"9"	"94"	"5"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"3"	"8"	"662"	"0"	"662"	"0"
"159"	"139"	"139"	"233"	"29"	"321"	"21"	"17"	"10"	"10"	"4"	"5"	"4"	"7"	"4"	"11"	"676"	"0"	"676"	"0"
"160"	"140"	"140"	"299"	"10"	"96"	"6"	"11"	"3"	"2"	"6"	"11"	"1"	"6"	"11"	"33"	"495"	"0"	"495"	"0"
